EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3Assists,ShortMidRangePctBlocked,ShortMidRangePctAssisted,Offensive Fouls,SecondChanceAtRimPctAssisted,Travels,LongMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,Defensive 3 Seconds Violations,Clear Path Fouls,on,Blocked3s,BlockedArc3,3SecondViolations,SecondChanceArc3PctAssisted,HeaveAttempts,ThreePtShootingFoulsDrawn,BlockedCorner3,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,3661.0,61,12,122,113,59,62,12,235,10,13,1.0,3.0,2.0,5.0,2.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,24,1.0,2.0,8.0,39,108,1.0,3.0,1.0,1.0,2.0,7.0,2.0,8,1.0,2.0,4.0,11,22.0,6.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,4.0,1.0,2.0,3.0,1.0,6.0,6.0,12,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,9.0,4.0,1.0,11,59,1.0,0.7857142857142857,0.8461538461538461,1.0,0.5,1.0,0.5,0.5,0.5833333333333334,0.3333333333333333,0.25,0.5961538461538461,0.625,0.35,0.6290322580645161,0.7,0.4583333333333333,0.07692307692307693,0.041666666666666664,0.07692307692307693,25.185185185185183,0.5,0.2,0.16666666666666666,0.07894736842105263,0.11428571428571428,0.11764705882352941,0.09090909090909091,0.09090909090909091,0.10869565217391304,0.14285714285714285,0.18181818181818182,0.058823529411764705,0.1111111111111111,0.06666666666666667,0.11764705882352941,0.14285714285714285,0.1,0.5,0.7692307692307693,0.8333333333333334,0.9,0.15384615384615385,0.5,0.5,0.2692307692307692,0.2857142857142857,0.2857142857142857,1.0,0.038461538461538464,1.0,1.0,1.0,0.038461538461538464,0.75,0.3333333333333333,0.25,1.0,1.0,0.5,0.4,0.1,1.0,0.1,0.5769230769230769,0.5190923076923076,0.5453333333333333,0.52514,0.13333333333333333,0.14285714285714285,0.1794871794871795,0.28205128205128205,6.5874999999999995,23.799999999999997,0.48360655737704916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,10193.0,170,-50,341,342,162,208,34,683,22,26,5.0,5.0,10.0,11.0,,3.0,6.0,13.0,2.0,4.0,,,2.0,3.0,10.0,3.0,28,42,6.0,14.0,22.0,96,380,6.0,6.0,1.0,2.0,3.0,18.0,13.0,16,3.0,6.0,10.0,45,32.0,24.0,15.0,8.0,10.0,2.0,9.0,1.0,10.0,1.0,4.0,21.0,,7.0,1.0,,15.0,1.0,16.0,8.0,24,,18.0,12.0,6.0,6.0,1.0,,1.0,7.0,3.0,4.0,7.0,30.0,13.0,3.0,45,162,2.0,0.5714285714285714,0.6666666666666666,0.8333333333333334,0.42857142857142855,0.5,0.5,0.42857142857142855,0.6666666666666666,1.0,0.8125,0.6607142857142857,0.9375,0.7954545454545454,0.6884057971014492,0.9,0.8148148148148148,0.25,0.047619047619047616,0.07692307692307693,20.052770448548813,0.8571428571428571,0.0625,0.0625,0.1271186440677966,0.06140350877192982,,,0.10948905109489052,0.05223880597014925,0.11764705882352941,0.037037037037037035,0.03773584905660377,,0.1111111111111111,0.1,,,0.4642857142857143,0.8461538461538461,0.9166666666666666,0.5,0.05357142857142857,,,0.23214285714285715,0.46153846153846156,0.46153846153846156,0.8333333333333334,0.07142857142857142,0.5,0.5,1.0,0.17857142857142858,0.625,1.0,,,,0.5,0.9090909090909091,0.13636363636363635,0.6666666666666666,0.13636363636363635,0.7142857142857143,0.5332,0.54690625,0.5740568181818181,0.19696969696969696,0.25,0.1875,0.46875,6.209523809523809,24.44285714285714,0.4750733137829912,4.0,1.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,17.0,8.0,2.0,7.0,17.0,6.0,1.0,0.1875,0.35294117647058826,0.4,0.4,0.75,0.25,0.5,0.3333333333333333,0.4,,,,,,,,,,,,True,,,,,,,,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,13690.0,228,14,453,447,218,221,54,900,13,23,5.0,7.0,8.0,14.0,2.0,8.0,6.0,11.0,,3.0,,,,,14.0,7.0,21,42,4.0,17.0,10.0,64,450,5.0,8.0,,1.0,2.0,12.0,12.0,23,1.0,7.0,3.0,30,30.0,12.0,12.0,8.0,14.0,7.0,9.0,3.0,12.0,,5.0,27.0,2.0,11.0,3.0,3.0,23.0,8.0,34.0,16.0,50,2.0,7.0,4.0,3.0,6.0,4.0,,3.0,10.0,6.0,13.0,21.0,12.0,4.0,1.0,30,218,3.0,0.7142857142857143,0.8823529411764706,1.0,0.23529411764705882,,0.14285714285714285,0.23529411764705882,0.5,0.625,0.5217391304347826,0.4576271186440678,0.5555555555555556,0.45,0.484375,0.5454545454545454,0.46774193548387094,0.288135593220339,0.16666666666666666,0.13043478260869565,14.258188824662811,0.6,0.34782608695652173,0.17647058823529413,0.13690476190476192,0.0658682634730539,0.1111111111111111,0.06896551724137931,0.13333333333333333,0.0663265306122449,0.03389830508474576,0.05128205128205128,0.10144927536231885,0.08695652173913043,0.12,0.14705882352941177,0.16666666666666666,0.07407407407407407,0.3898305084745763,0.5652173913043478,0.65,0.5384615384615384,0.13559322033898305,0.25,0.5,0.1864406779661017,0.5454545454545454,0.5454545454545454,1.0,0.05084745762711865,,,,0.23728813559322035,0.7777777777777778,0.7142857142857143,,,,0.4666666666666667,0.5714285714285714,,,0.23333333333333334,0.6779661016949152,0.5007661016949151,0.5300333333333334,0.5046400000000001,0.06349206349206349,0.08695652173913043,0.1875,0.46875,6.419047619047619,25.305882352941175,0.48123620309050774,4.0,,1.0,1.0,,4.0,2.0,2.0,4.0,3.0,1.0,2.0,,2.0,1.0,,1.0,,1.0,,,0.14,,0.2857142857142857,0.2857142857142857,1.0,0.1111111111111111,,0.14285714285714285,0.2857142857142857,3.0,0.5,1.0,,,,,,,,,True,,,,,,,,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,13055.0,218,-33,431,432,201,216,48,863,17,32,2.0,5.0,6.0,15.0,1.0,9.0,17.0,47.0,1.0,1.0,,,1.0,1.0,5.0,5.0,35,88,2.0,6.0,16.0,92,455,3.0,9.0,,,1.0,7.0,12.0,37,2.0,6.0,4.0,34,56.0,14.0,3.0,2.0,5.0,4.0,13.0,1.0,14.0,1.0,9.0,29.0,,4.0,,2.0,10.0,,12.0,4.0,16,,8.0,5.0,3.0,13.0,8.0,3.0,3.0,21.0,8.0,10.0,18.0,27.0,14.0,,34,201,3.0,0.8,0.8235294117647058,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3977272727272727,0.3333333333333333,0.32432432432432434,0.40425531914893614,0.3333333333333333,0.3488372093023256,0.42990654205607476,0.35,0.3617021276595745,0.06382978723404255,0.045454545454545456,0.03125,26.175869120654397,0.6190476190476191,,,0.06535947712418301,0.025,0.08695652173913043,,0.06818181818181818,0.02197802197802198,0.018867924528301886,0.05405405405405406,0.014285714285714285,,0.05263157894736842,0.05714285714285714,0.11764705882352941,,0.3404255319148936,0.53125,0.5483870967741935,0.8235294117647058,0.09574468085106383,0.1111111111111111,0.16666666666666666,0.5,0.3617021276595745,0.3617021276595745,0.7647058823529411,0.010638297872340425,1.0,1.0,1.0,0.05319148936170213,0.5555555555555556,0.4,,,,0.3488372093023256,0.4,0.023255813953488372,1.0,0.11627906976744186,0.40425531914893614,0.45932340425531926,0.46265555555555565,0.457053488372093,0.1308411214953271,0.13861386138613863,0.07608695652173914,0.3695652173913043,11.119318181818182,25.100000000000005,0.46635730858468677,1.0,,,1.0,3.0,1.0,1.0,3.0,3.0,10.0,1.0,,1.0,,4.0,2.0,1.0,1.0,4.0,1.0,,0.08888888888888889,0.25,0.2,0.2,,,,0.2,0.2,,0.3333333333333333,1.0,2.0,0.5,,,,,,,True,,,,,,,,,,,,,
2306,1610612762,Carlos Arroyo,Carlos Arroyo,2306,UTA,17031.0,284,-14,563,556,273,284,64,1119,22,33,1.0,1.0,9.0,13.0,9.0,24.0,16.0,45.0,1.0,1.0,,,,,6.0,4.0,47,102,3.0,7.0,18.0,121,570,6.0,8.0,,,,12.0,19.0,46,2.0,4.0,6.0,50,24.0,70.0,3.0,6.0,6.0,8.0,50.0,3.0,53.0,3.0,28.0,109.0,2.0,9.0,,5.0,10.0,,15.0,11.0,26,2.0,12.0,4.0,8.0,16.0,14.0,2.0,7.0,30.0,19.0,11.0,28.0,22.0,10.0,2.0,50,273,7.0,0.2553191489361702,0.2727272727272727,0.3333333333333333,0.42857142857142855,,0.5,0.42857142857142855,0.46078431372549017,0.75,0.41304347826086957,0.4724770642201835,0.75,0.44,0.5084033613445378,0.75,0.46296296296296297,0.06422018348623854,0.0784313725490196,0.09090909090909091,23.317683881064163,0.5333333333333333,,,0.04926108374384237,0.04433497536945813,0.13157894736842105,0.06060606060606061,0.06224066390041494,0.046610169491525424,0.045454545454545456,0.08163265306122448,0.022727272727272728,0.037037037037037035,,0.06818181818181818,0.14285714285714285,0.04,0.30275229357798167,0.6666666666666666,0.7333333333333333,0.22727272727272727,0.22018348623853212,0.375,0.42857142857142855,0.41284403669724773,0.35555555555555557,0.37209302325581395,0.1875,0.009174311926605505,1.0,1.0,1.0,0.05504587155963303,0.125,1.0,,,,0.26,0.6923076923076923,,,0.08,0.3669724770642202,0.44769537037037027,0.39468333333333333,0.42968699999999993,0.08547008547008547,0.09090909090909091,0.09917355371900827,0.4132231404958678,10.115686274509805,27.571428571428573,0.4849023090586146,2.0,,,2.0,6.0,2.0,7.0,15.0,5.0,9.0,4.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,0.07272727272727272,1.0,0.3333333333333333,0.3333333333333333,,,,0.5,0.3333333333333333,,0.125,0.4444444444444444,3.0,,2.0,0.044444444444444446,0.16666666666666666,0.1,,,True,,,,,,,,,,,,,
384,1610612762,Calbert Cheaney,Calbert Cheaney,384,UTA,3219.0,54,-1,105,100,71,54,14,205,2,4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,2.0,1.0,4,9,,2.0,,8,104,1.0,1.0,,,,2.0,1.0,3,,1.0,,2,8.0,,,,2.0,2.0,2.0,1.0,3.0,,,7.0,,2.0,,,2.0,,2.0,2.0,4,,4.0,3.0,1.0,1.0,2.0,,1.0,3.0,3.0,2.0,7.0,,,,2,71,2.0,1.0,1.0,,,,,,0.4444444444444444,1.0,0.3333333333333333,0.36363636363636365,1.0,0.25,0.36363636363636365,1.0,0.25,0.18181818181818182,0.2222222222222222,0.5,11.570247933884298,0.3333333333333333,,,0.046511627906976744,0.047619047619047616,,,0.0392156862745098,0.041666666666666664,0.14285714285714285,,,,,0.045454545454545456,,,0.36363636363636365,0.5,1.0,1.0,0.18181818181818182,0.5,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,0.18181818181818182,1.0,1.0,,,,0.5,0.5,,,0.25,0.5454545454545454,0.4846681818181818,0.8431,0.5571375000000001,,,0.25,0.25,8.933333333333334,26.950000000000003,0.6761904761904762,,,,,,,2.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,0.14285714285714285,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,True,,,,,,,,,,,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,3061.0,51,36,94,90,40,27,17,184,4,7,2.0,5.0,2.0,3.0,1.0,3.0,,,,,,,,,,,5,10,,,1.0,11,69,2.0,5.0,,,,4.0,2.0,4,,,,4,6.0,4.0,,4.0,,,,,,,,,,5.0,,1.0,9.0,,10.0,5.0,15,1.0,,,,2.0,,,1.0,2.0,1.0,5.0,5.0,4.0,1.0,1.0,4,40,,0.6,1.0,,,,,,0.5,0.4,0.5,0.5,0.4,0.5,0.4583333333333333,0.4,0.4,,,,12.389380530973453,1.0,,,0.24324324324324326,0.14285714285714285,0.14285714285714285,,0.22727272727272727,0.125,0.45454545454545453,,,,0.09090909090909091,0.3125,0.16666666666666666,0.2,0.7,0.5714285714285714,0.5714285714285714,0.5,0.3,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,0.4,,,,0.75,0.6666666666666666,,,,0.7,0.50774,0.55728,0.5601999999999999,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.36363636363636365,3.4,,0.425531914893617,,,,,,,,,,1.0,,,,,2.0,1.0,,1.0,2.0,1.0,,0.3,0.5,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,2515.0,42,-24,80,81,59,42,7,161,5,6,,,3.0,3.0,2.0,4.0,4.0,7.0,,,,,,,,,11,17,,,8.0,30,99,1.0,2.0,,,,2.0,6.0,9,,,7.0,19,12.0,10.0,,,,,6.0,,6.0,,4.0,12.0,,,,3.0,4.0,2.0,9.0,,9,,2.0,,2.0,1.0,2.0,,,3.0,3.0,1.0,5.0,10.0,5.0,1.0,19,59,3.0,0.5454545454545454,0.5454545454545454,,,,,,0.6470588235294118,0.5,0.6666666666666666,0.6470588235294118,0.5,0.6666666666666666,0.7142857142857143,0.5,0.7307692307692307,,,,27.272727272727273,0.3333333333333333,0.5,,0.18181818181818182,,0.23076923076923078,,0.2,,,,,,0.16666666666666666,0.14285714285714285,0.18181818181818182,,0.35294117647058826,0.8333333333333334,0.8333333333333334,0.6,0.23529411764705882,0.5,0.5,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,,,,,,,,,,,0.3333333333333333,1.0,,,,0.35294117647058826,0.46197058823529413,0.4424,0.46346666666666664,0.25,0.25,0.06666666666666667,0.6333333333333333,8.982352941176472,,0.7375,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,0.5,1.0,,,,,0.5,1.0,,True,,,,,,,,,,,,,
680,1610612762,John Amaechi,John Amaechi,680,UTA,8918.0,149,-17,295,294,121,133,27,589,5,14,,2.0,4.0,5.0,3.0,9.0,1.0,2.0,,,,,,,,,9,25,,,9.0,27,299,,3.0,,,,,6.0,10,,,7.0,19,12.0,6.0,,,,5.0,5.0,,5.0,,4.0,10.0,,4.0,,8.0,19.0,1.0,28.0,4.0,32,,4.0,2.0,2.0,3.0,3.0,,2.0,6.0,1.0,10.0,14.0,16.0,6.0,3.0,19,121,2.0,0.6666666666666666,0.6666666666666666,,,,,,0.36,,0.6,0.36,,0.6,0.421875,,0.6333333333333333,,0.2,0.21428571428571427,11.55015197568389,0.5,0.125,,0.17117117117117117,0.038461538461538464,0.4,,0.20610687022900764,0.03389830508474576,0.03125,0.08,0.02127659574468085,,0.25,0.1111111111111111,0.3333333333333333,,0.56,0.35714285714285715,0.45454545454545453,0.8,0.36,0.3333333333333333,0.42857142857142855,0.08,0.5,0.5,1.0,,,,,,0.6666666666666666,,,,,0.5,0.8,,,,0.56,0.446284,0.42806666666666665,0.40278,0.20689655172413793,0.20689655172413793,,0.7037037037037037,4.124,,0.4101694915254237,,,,,,,,1.0,2.0,1.0,,,2.0,,1.0,,1.0,,1.0,,,0.17647058823529413,,,,,,,,,,0.2222222222222222,0.3333333333333333,,,1.0,,,0.6,,,True,,,,,,,,,,,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,1509.0,25,12,50,49,25,23,8,99,4,6,1.0,1.0,1.0,1.0,,,,,,,,,,,,,4,6,,,3.0,11,41,1.0,1.0,,,,2.0,1.0,1,,,2.0,4,4.0,4.0,,2.0,,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,,,,1.0,1,,1.0,1.0,,,,,,,,3.0,3.0,3.0,1.0,1.0,4,25,,0.5,0.6666666666666666,,,,,,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.7857142857142857,1.0,1.0,,0.16666666666666666,0.16666666666666666,11.666666666666668,,,,,0.047619047619047616,,,,0.045454545454545456,0.1111111111111111,,,,,,,,1.0,0.6666666666666666,0.8,0.5,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,0.5792833333333333,0.582,0.6469,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.36363636363636365,1.5166666666666666,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
