EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Fg3aBlocked,OffTwoPtRebounds,FTOffRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,SecondChanceAtRimFGA,PenaltyAtRimFGA,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFGM,PenaltyAtRimFGM,FtPoints,PenaltyFtPoints,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,LiveBallTurnoverPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShootingFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,LongMidRangePctBlocked,on,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,PtsPutbacks,HeaveAttempts,Corner3Assists,ShortMidRangeAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceFg2Pct,DefFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,SecondChanceFtPoints,SecondChanceTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,3SecondViolations,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceCorner3FGM,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Arc3PctBlocked,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,OffensiveGoaltends
1032,1610612737,Darvin Ham,Darvin Ham,1032,ATL,791.0,13,4.0,28,28,19.0,27.0,5.0,56,1.0,1.0,1.0,1.0,2.0,2.0,19.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,5.555555555555555,0.125,1.0,0.1111111111111111,0.05555555555555555,1.0,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,0.5,0.43825,7.35,0.6785714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,1610612737,Brandon Williams,Brandon Williams,1585,ATL,1196.0,20,-3.0,41,40,28.0,27.0,6.0,81,,1.0,3.0,1.0,6.0,2.0,31.0,2.0,1.0,,,,2.0,2.0,2.0,2.0,4.0,28.0,,1.0,1.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.16666666666666666,,20.0,,,,0.041666666666666664,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.3638285714285714,12.266666666666666,0.6829268292682927,3.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,0.2,0.16666666666666666,0.16666666666666666,0.14285714285714285,1.0,0.3333333333333333,1.0,1.0,0.045454545454545456,0.1,0.25,0.42857142857142855,0.14285714285714285,0.16666666666666666,0.31839999999999996,0.3566666666666667,1.0,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612737,Nazr Mohammed,Nazr Mohammed,1737,ATL,567.0,9,-1.0,20,20,17.0,11.0,3.0,40,2.0,,,,3.0,,16.0,,1.0,,3.0,3.0,1.0,4.0,,,,17.0,,,,,,,0.3333333333333333,0.5,13.043478260869565,0.375,,0.3333333333333333,0.1111111111111111,,0.5,0.6666666666666666,,,,,0.6666666666666666,0.5136333333333333,2.066666666666667,0.85,1.0,,,,2.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,0.125,,,0.3333333333333333,,,0.49575,0.5136333333333333,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.3333333333333333,0.4,1.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1610612737,Jermaine Jackson,Jermaine Jackson,1983,ATL,1063.0,18,,37,36,28.0,27.0,6.0,73,4.0,,1.0,2.0,6.0,8.0,26.0,2.0,1.0,,4.0,5.0,,5.0,2.0,1.0,,28.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.25,19.565217391304348,0.3076923076923077,,0.35714285714285715,,,0.2857142857142857,0.6666666666666666,0.16666666666666666,,,,0.6666666666666666,0.5663499999999999,4.866666666666666,0.7567567567567568,1.0,,,,,2.0,4.0,,8.0,,,,,,,1.0,1.0,,,8.0,0.5,0.5,0.6666666666666666,,,,,,,,,0.16666666666666666,,,,0.5946499999999999,1.0,,,3.0,,,,,,,0.2,,,0.75,2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,1610612737,Dan Dickau,Dan Dickau,2424,ATL,1002.0,17,-2.0,34,33,25.0,24.0,6.0,67,2.0,1.0,3.0,4.0,8.0,13.0,26.0,2.0,,,2.0,2.0,1.0,3.0,1.0,1.0,2.0,25.0,1.0,0.25,0.25,0.5,0.55,0.5909090909090909,,,27.906976744186046,0.18181818181818182,,0.16666666666666666,0.045454545454545456,,0.4,0.2,0.3,0.3333333333333333,0.3333333333333333,,0.4,0.442025,9.35,0.7352941176470589,3.0,1.0,1.0,2.0,,2.0,5.0,2.0,9.0,,1.0,,,,,1.0,1.0,,,9.0,0.4,0.5,0.5625,0.2,,,,,0.05,0.1111111111111111,,0.3,0.1,0.14285714285714285,0.449325,0.4430214285714286,0.6923076923076923,24.65,,1.0,,,,,,,,,,0.14285714285714285,2.0,1.0,2.0,2.0,6.0,1.0,,1.0,,,1.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,0.3333333333333333,0.3333333333333333,0.1,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,0.23076923076923078,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1610612737,Ira Newble,Ira Newble,1956,ATL,68.0,1,,2,1,2.0,1.0,1.0,3,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,428.0,7,-7.0,15,14,12.0,8.0,3.0,29,,,1.0,,3.0,1.0,13.0,,2.0,,2.0,2.0,1.0,3.0,,,,12.0,,,,,,0.125,0.6666666666666666,,21.05263157894737,0.3333333333333333,,0.3333333333333333,0.08333333333333333,,,,0.3333333333333333,,,,,0.36023333333333335,8.5,0.8,2.0,,,,1.0,,3.0,,1.0,,1.0,,,,,,,,,1.0,,,0.125,,,0.5,,,0.09090909090909091,0.2,,0.6666666666666666,,,0.3522,0.36023333333333335,1.0,,,,,,,,,,0.5,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1610612737,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,ATL,273.0,5,-1.0,8,8,1.0,4.0,,16,,,2.0,,3.0,,7.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,44.44444444444444,,,,,,,,0.6666666666666666,,,,,0.3889,12.766666666666666,0.125,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1610612737,Glenn Robinson,Glenn Robinson,299,ATL,132.0,2,2.0,5,5,5.0,3.0,,10,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,40.0,,,,,,,,,,,,1.0,0.3561,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,0.3561,,25.6,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,1610612737,Theo Ratliff,Theo Ratliff,689,ATL,194.0,3,-1.0,7,7,3.0,3.0,,14,,,,,,,5.0,,,,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,0.2,,0.2,,,0.25,,,,,,,,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
