EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceFG2A,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondChanceShotQualityAvg,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefAtRimReboundPct,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeFGM,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,ThreePtAssists,Corner3Assists,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,OffShortMidRangeReboundPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,on,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3A,NonHeaveArc3FGA,Fg3aBlocked,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Clear Path Fouls
133,1610612740,David Wesley,David Wesley,133,NOH,420.0,7,1.0,13,12,3.0,2.0,25,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0,13,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5833333333333334,0.2,40.0,0.2,1.0,1.0,1.0,0.2,0.4,0.2,1.0,1.0,1.0,0.4,0.51574,0.3858,0.16666666666666666,0.2,13.0,22.7,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612740,Robert Traylor,Robert Traylor,1714,NOH,318.0,5,4.0,11,10,,2.0,21,,,,1.0,,,,1.0,,,,,6,,,,2.0,,,,,,,,,,,,,7.692307692307692,,,,,,1.0,,,,,,0.356,,,,20.0,,,4.0,1.0,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,1.0,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1610612740,Jamal Mashburn,Jamal Mashburn,469,NOH,420.0,7,1.0,13,12,3.0,2.0,25,,1.0,,1.0,,,,2.0,,,,,13,,,,,,,3.0,,,,,,,,,,13.333333333333334,0.5,,,,,0.5,,,,,0.5,0.51455,,,,7.85,,0.23076923076923078,,,1.0,1.0,1.0,,0.2,0.14285714285714285,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612740,Elden Campbell,Elden Campbell,922,NOH,478.0,8,1.0,14,14,4.0,2.0,28,,1.0,1.0,,,,,2.0,,,1.0,1.0,13,,,,,2.0,1.0,4.0,,,,,,,,0.16666666666666666,,18.75,0.5,,,,0.5,,,,,,0.5,0.44285,,0.3333333333333333,0.3333333333333333,4.95,,0.2857142857142857,,1.0,1.0,3.0,3.0,,0.2,0.42857142857142855,0.3333333333333333,0.3774,1.0,1.0,,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,1610612740,Randy Livingston,Randy Livingston,988,NOH,709.0,12,1.0,22,21,4.0,4.0,43,1.0,2.0,1.0,1.0,,,2.0,4.0,,,2.0,6.0,19,1.0,4.0,,,2.0,,4.0,1.0,1.0,,,,0.5,0.5,0.6,,19.23076923076923,0.5,0.5,0.5,1.0,0.25,0.25,,,,,0.5,0.53715,0.4068,,,9.15,,0.18181818181818182,4.0,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612740,Jamaal Magloire,Jamaal Magloire,2048,NOH,139.0,2,2.0,4,4,4.0,,8,,,,,,,,,,,,,2,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612740,George Lynch,George Lynch,248,NOH,541.0,9,-5.0,16,16,1.0,4.0,32,2.0,2.0,,1.0,,,3.0,3.0,,,,6.0,17,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,15.0,0.6666666666666666,1.0,1.0,,,0.3333333333333333,,,,,0.6666666666666666,0.5037666666666667,,,,7.266666666666667,,0.0625,4.0,2.0,1.0,1.0,4.0,1.0,0.16666666666666666,0.125,,0.5504500000000001,1.0,1.0,1.0,2.0,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,2.0,2.0,2.0,4.0,6.0,4.0,3.0,3.0,1.0,1.0,1.0,0.2727272727272727,0.25,0.6666666666666666,0.2,1.0,1.0,0.6666666666666666,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2042,1610612740,Courtney Alexander,Courtney Alexander,2042,NOH,231.0,4,,8,7,,2.0,15,,,,1.0,,1.0,,1.0,,1.0,,,6,,,,,,,,,,,,,,,,0.5,20.0,,,,,,0.5,0.5,,,,0.5,0.399475,,,,14.0,23.4,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.25,0.2,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612740,Stacey Augmon,Stacey Augmon,278,NOH,289.0,5,,9,9,1.0,2.0,18,,,,2.0,,,,2.0,,,,,6,1.0,,,,,,1.0,,,,,,,,,,27.272727272727273,,,,,,1.0,,,,,,0.3375,0.3679,,,17.8,,0.1111111111111111,4.0,,1.0,2.0,2.0,,0.3333333333333333,0.5,,,,,,,0.5,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1610612740,Robert Pack,Robert Pack,123,NOH,26280.0,438,-83.0,824,830,255.0,114.0,1654,21.0,48.0,18.0,58.0,,1.0,52.0,124.0,,5.0,41.0,145.0,889,35.0,62.0,,35.0,55.0,15.0,255.0,0.5961538461538461,0.5961538461538461,,,,0.41935483870967744,0.40310077519379844,0.46474358974358976,0.03875968992248062,20.437956204379564,0.37209302325581395,0.4375,0.5675675675675675,0.3333333333333333,0.13953488372093023,0.4496124031007752,0.007751937984496124,,,,0.4108527131782946,0.46857343749999986,0.46773552631578946,0.1048951048951049,0.10869565217391304,9.99193548387097,27.04,0.3094660194174757,258.0,13.0,28.0,40.0,51.0,6.0,0.0875,0.09725685785536159,0.11347517730496454,0.4757346153846154,61.0,81.0,21.0,182.0,0.08080808080808081,15.0,33.0,11.0,25.0,8.0,,,,,0.12096774193548387,0.22916666666666666,0.13580246913580246,0.12280701754385964,0.16666666666666666,,24.0,14.0,15.0,43.0,20.0,9.0,13.0,43.0,0.4,0.3684210526315789,0.4387755102040816,0.41379310344827586,0.42857142857142855,0.8333333333333334,0.296551724137931,2.0,6.0,6.0,15.0,42.0,,10.0,11.0,0.46153846153846156,0.42857142857142855,0.46875,0.029585798816568046,0.0275,0.03260869565217391,0.023529411764705882,0.42857142857142855,0.3333333333333333,0.10344827586206896,0.039473684210526314,6.0,15.0,40.0,False,6.0,15.0,7.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,4.0,1.0,11.0,7.0,1.0,1.0,1.0,17.0,25.0,12.0,1.0,13.0,5.0,4.0,10.0,1.0,2.0,1.0,10.0,0.2,0.1111111111111111,0.034482758620689655,0.25,0.625,0.038461538461538464,0.016129032258064516,0.022222222222222223,0.05,0.01694915254237288,0.3888888888888889,0.4375,0.5714285714285714,0.031007751937984496,0.07142857142857142,0.39473684210526316,0.4,0.02631578947368421,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
