EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffFTReboundPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,OffensiveGoaltends,3SecondViolations,SecondChanceArc3FGM,ThreePtShootingFoulsDrawn,Corner3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Blocked3s,BlockedCorner3,HeaveMakes,on,BlockedArc3
124,1610612758,Vlade Divac,Vlade Divac,124,SAC,31069.0,518,144,999,1005,206,146,109,2004,29,45,9.0,16.0,6.0,10.0,18.0,55,16.0,47,1.0,1.0,8.0,4.0,63,147,1.0,9.0,53,182,907,13.0,26.0,5.0,31.0,11,27,4.0,18.0,40,68.0,58,3.0,16.0,8.0,1.0,17.0,55,12.0,67,6.0,6.0,29.0,7.0,19.0,146,4.0,25.0,19.0,76,8.0,103,29.0,132,8.0,13.0,11.0,2.0,26.0,3.0,13.0,14.0,3.0,13.0,2.0,40,2.0,4.0,13,33,6.0,5.0,72,4.0,34.0,4.0,17.0,11.0,1.0,5.0,17.0,10.0,1.0,40,206,4.0,0.5396825396825397,0.6181818181818182,1.0,0.1111111111111111,0.1111111111111111,0.42857142857142855,0.5,0.4074074074074074,0.41346153846153844,0.5,0.3548387096774194,0.4789473684210526,0.5344827586206896,0.45454545454545453,0.057692307692307696,0.11564625850340136,0.08888888888888889,0.21818181818181817,0.02127659574468085,20.372010628875113,0.65,0.23529411764705882,0.16521739130434782,0.07142857142857142,0.17757009345794392,0.043010752688172046,0.1675485008818342,0.0654627539503386,0.0989010989010989,0.06521739130434782,0.059880239520958084,0.05660377358490566,0.025,0.0875,0.2331288343558282,0.14285714285714285,0.21428571428571427,0.043478260869565216,0.1111111111111111,0.5882352941176471,0.28846153846153844,0.6444444444444445,0.7073170731707317,0.5517241379310345,0.3525641025641026,0.32727272727272727,0.4186046511627907,0.2777777777777778,0.30128205128205127,0.3404255319148936,0.34782608695652173,0.8125,0.00641025641025641,0.05128205128205128,0.125,0.125,1.0,0.6153846153846154,0.5625,0.2222222222222222,0.3225806451612903,0.6,0.12903225806451613,0.34615384615384615,0.125,0.4459657051282052,0.49335909090909097,0.4413919354838709,0.1827956989247312,0.192090395480226,0.17032967032967034,0.21978021978021978,8.702040816326532,25.66666666666667,0.2062062062062062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1444,1610612758,Lawrence Funderburke,Lawrence Funderburke,1444,SAC,5748.0,96,-25,194,193,77,95,30,387,5,9,,,2.0,6.0,4.0,8,4.0,16,,,,,13,33,,,2,28,206,2.0,3.0,1.0,5.0,5,18,,1.0,11,18.0,8,,,,,3.0,3,,3,,,1.0,1.0,1.0,6,1.0,4.0,1.0,15,2.0,18,6.0,24,1.0,,,,,2.0,,3.0,1.0,,,3,,2.0,3,7,2.0,,5,1.0,2.0,1.0,6.0,2.0,,4.0,6.0,4.0,,11,77,1.0,0.6923076923076923,0.6923076923076923,,,,0.3939393939393939,0.6666666666666666,0.2777777777777778,0.3939393939393939,0.6666666666666666,0.2777777777777778,0.4,0.625,0.2894736842105263,,0.09090909090909091,0.2222222222222222,0.125,,16.740088105726873,,0.18181818181818182,0.15306122448979592,0.05555555555555555,0.1,0.05,0.14814814814814814,0.05434782608695652,0.05555555555555555,,0.075,,0.1111111111111111,0.11764705882352941,0.2,0.13043478260869565,0.14285714285714285,,0.06666666666666667,0.6666666666666666,0.2727272727272727,0.5555555555555556,0.7142857142857143,1.0,0.24242424242424243,0.5,0.5714285714285714,0.5,0.48484848484848486,0.25,0.25,0.5,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.2727272727272727,,0.4279545454545455,0.3817,0.43362777777777783,0.058823529411764705,0.058823529411764705,0.17857142857142858,0.39285714285714285,10.490909090909092,,0.39690721649484534,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,48467.0,808,37,1567,1564,409,382,203,3131,56,90,3.0,8.0,14.0,18.0,15.0,37,44.0,113,55.0,18.0,54.0,23.0,115,240,37.0,109.0,62,403,1527,11.0,26.0,11.0,39.0,23,47,40.0,28.0,122,110.0,120,90.0,6.0,49.0,18.0,18.0,61,18.0,79,7.0,11.0,26.0,6.0,29.0,176,6.0,20.0,12.0,57,2.0,71,26.0,97,3.0,32.0,18.0,14.0,39.0,3.0,30.0,19.0,7.0,9.0,2.0,58,4.0,17.0,25,63,3.0,4.0,75,7.0,30.0,10.0,1.0,1.0,,,1.0,,,122,409,8.0,0.4782608695652174,0.49107142857142855,0.8108108108108109,0.3394495412844037,0.3557692307692308,0.4791666666666667,0.4230769230769231,0.48936170212765956,0.4885386819484241,0.4,0.5402298850574713,0.524869109947644,0.4642857142857143,0.5980392156862745,0.3123209169054441,0.075,0.12222222222222222,0.16216216216216217,0.008849557522123894,24.349750968456004,0.6724137931034483,0.03225806451612903,0.08571428571428572,0.03289473684210526,0.07792207792207792,0.04225352112676056,0.08424908424908426,0.034666666666666665,0.03289473684210526,0.04861111111111111,0.02564102564102564,0.058823529411764705,0.017543859649122806,0.06428571428571428,0.07657657657657657,0.10231023102310231,0.07692307692307693,0.08108108108108109,0.01818181818181818,,0.25787965616045844,0.6222222222222222,0.7088607594936709,0.5892857142857143,0.10601719197707736,0.40540540540540543,0.4838709677419355,0.26666666666666666,0.3237822349570201,0.3893805309734513,0.39285714285714285,0.4090909090909091,0.15759312320916904,0.15472779369627507,0.3333333333333333,0.34615384615384615,0.7222222222222222,0.22857142857142856,0.375,,0.20689655172413793,0.7777777777777778,0.26436781609195403,0.5702005730659025,0.3673469387755102,0.5021642857142857,0.4867568965517242,0.48833231707317076,0.08064516129032258,0.11406844106463879,0.0967741935483871,0.3027295285359802,10.21583333333333,25.533944954128433,0.2610082961072112,,,19.0,2.0,5.0,8.0,17.0,4.0,8.0,2.0,9.0,16.0,21.0,5.0,2.0,2.0,2.0,0.2222222222222222,0.4,0.01834862385321101,0.037037037037037035,0.34545454545454546,0.34545454545454546,0.8947368421052632,0.14285714285714285,0.4,1.0,0.11428571428571428,0.19540229885057472,0.47058823529411764,0.34782608695652173,,,,,,,,,,,,,True,
1721,1610612758,Keon Clark,Keon Clark,1721,SAC,106713.0,1779,195,3475,3477,910,795,419,6952,130,192,28.0,50.0,28.0,42.0,47.0,131,49.0,124,,,4.0,3.0,226,447,,4.0,84,536,3346,41.0,69.0,6.0,88.0,47,94,3.0,29.0,123,298.0,154,,48.0,,,30.0,61,19.0,80,11.0,8.0,40.0,4.0,17.0,179,29.0,101.0,62.0,219,32.0,313,138.0,451,9.0,38.0,19.0,19.0,52.0,11.0,25.0,42.0,13.0,27.0,4.0,94,10.0,15.0,158,227,17.0,10.0,128,10.0,57.0,12.0,150.0,60.0,9.0,81.0,150.0,84.0,4.0,123,910,8.0,0.6592920353982301,0.7376237623762376,,,,0.5055928411633109,0.5942028985507246,0.5,0.5011086474501109,0.5942028985507246,0.4845360824742268,0.5254901960784314,0.6027397260273972,0.5082644628099173,0.008869179600886918,0.06711409395973154,0.078125,0.10687022900763359,0.008064516129032258,15.24482584553256,0.5531914893617021,0.27350427350427353,0.14436387607119314,0.0772762050497322,0.18618618618618618,0.09119496855345911,0.1518918918918919,0.08,0.06031746031746032,0.11206896551724138,0.06677018633540373,0.09895833333333333,0.07936507936507936,0.10652920962199312,0.16634050880626222,0.14405594405594405,0.18106995884773663,0.2,0.04736842105263158,0.56,0.42572062084257206,0.6770833333333334,0.7344632768361582,0.7230769230769231,0.29046563192904656,0.35877862595419846,0.4017094017094017,0.5319148936170213,0.2749445676274945,0.3951612903225806,0.3983739837398374,0.6122448979591837,,0.008869179600886918,,,,0.7246376811594203,0.56,0.25,0.4329896907216495,0.6666666666666666,0.030927835051546393,0.43458980044345896,,0.4684284116331096,0.5064622950819673,0.4721276595744681,0.1144578313253012,0.11538461538461539,0.16417910447761194,0.2294776119402985,7.075391498881428,65.2,0.26187050359712233,8.0,0.07766990291262135,,,,,,,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,True,
57,1610612758,Doug Christie,Doug Christie,57,SAC,58149.0,969,211,1908,1908,528,454,212,3816,37,52,4.0,10.0,8.0,8.0,5.0,14,29.0,65,26.0,18.0,54.0,17.0,71,131,29.0,80.0,56,285,1780,7.0,17.0,3.0,29.0,16,26,23.0,30.0,80,72.0,70,72.0,4.0,52.0,18.0,3.0,114,25.0,139,13.0,12.0,53.0,18.0,43.0,303,5.0,16.0,20.0,90,3.0,113,21.0,134,3.0,68.0,50.0,18.0,34.0,14.0,26.0,32.0,2.0,8.0,5.0,66,6.0,22.0,23,65,2.0,9.0,72,5.0,22.0,9.0,11.0,2.0,4.0,5.0,11.0,3.0,,80,528,9.0,0.5070422535211268,0.5217391304347826,0.8275862068965517,0.3625,0.3717948717948718,0.5419847328244275,0.4117647058823529,0.6153846153846154,0.542654028436019,0.52,0.5102040816326531,0.5819327731092437,0.5370370370370371,0.6015625,0.3791469194312796,0.022900763358778626,0.057692307692307696,,,14.12639405204461,0.5151515151515151,0.05357142857142857,0.1125,0.023809523809523808,0.10050251256281408,0.029239766081871343,0.11011011011011011,0.02491103202846975,0.01875,0.01694915254237288,0.029850746268656716,0.029411764705882353,0.028985507246376812,0.08024691358024691,0.10975609756097561,0.12755102040816327,0.1048951048951049,0.08928571428571429,0.0297029702970297,0.2727272727272727,0.24644549763033174,0.7115384615384616,0.7551020408163265,0.43243243243243246,0.06635071090047394,0.35714285714285715,0.35714285714285715,0.6,0.3080568720379147,0.4461538461538462,0.4461538461538462,0.5862068965517241,0.12322274881516587,0.2559241706161137,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.4,0.4,0.25,0.16326530612244897,1.0,0.3469387755102041,0.6255924170616114,0.34615384615384615,0.5272937799043064,0.5072595238095238,0.4861521276595745,0.10043668122270742,0.14864864864864866,0.10175438596491228,0.2807017543859649,10.633587786259543,25.151249999999997,0.27672955974842767,,,11.0,1.0,1.0,3.0,6.0,7.0,3.0,4.0,8.0,6.0,15.0,2.0,1.0,12.0,1.0,0.5,0.2608695652173913,0.0125,,0.4230769230769231,0.44,0.8181818181818182,0.04,1.0,1.0,0.28,0.12244897959183673,0.5,0.17647058823529413,,1.0,3.0,1.0,0.038461538461538464,0.42857142857142855,1.0,0.012345679012345678,,,,,True,
1800,1610612758,Damon Jones,Damon Jones,1800,SAC,31562.0,526,32,1006,1005,162,170,132,2011,10,19,,1.0,1.0,1.0,6.0,9,14.0,39,36.0,15.0,56.0,13.0,30,67,31.0,92.0,15,168,985,3.0,5.0,2.0,23.0,3,9,15.0,2.0,29,26.0,34,81.0,,56.0,15.0,3.0,47,12.0,59,4.0,8.0,20.0,5.0,22.0,130,1.0,6.0,7.0,36,,43,7.0,50,,14.0,10.0,4.0,10.0,2.0,4.0,6.0,,6.0,1.0,16,,3.0,12,32,,2.0,19,,8.0,2.0,1.0,,1.0,,1.0,1.0,1.0,29,162,2.0,0.43333333333333335,0.43333333333333335,0.8709677419354839,0.33695652173913043,0.33695652173913043,0.44776119402985076,0.6,0.3333333333333333,0.4811320754716981,0.7,0.5625,0.4970414201183432,0.71875,0.5576923076923077,0.5786163522012578,0.04477611940298507,0.15789473684210525,,,16.05902777777778,0.625,,0.07894736842105263,0.015267175572519083,0.0875,0.008695652173913044,0.08022388059701492,0.013779527559055118,0.0375,0.017391304347826087,0.005050505050505051,,0.024390243902439025,0.07462686567164178,0.03821656050955414,0.10775862068965517,0.05,0.2,,1.0,0.11949685534591195,0.5263157894736842,0.625,0.5,0.05660377358490566,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.24528301886792453,0.358974358974359,0.358974358974359,0.42857142857142855,0.22641509433962265,0.3522012578616352,0.26785714285714285,0.26785714285714285,0.8,0.06666666666666667,,,0.041666666666666664,1.0,0.5416666666666666,0.6981132075471698,0.26785714285714285,0.5279084905660376,0.5223807692307691,0.4914104166666667,0.04790419161676647,0.10666666666666667,0.13690476190476192,0.17261904761904762,12.768656716417908,24.416304347826085,0.1610337972166998,,,16.0,2.0,3.0,,2.0,7.0,7.0,5.0,10.0,7.0,12.0,,1.0,,,0.5,0.4666666666666667,0.010869565217391304,,0.4444444444444444,0.45714285714285713,0.9375,0.2,0.6666666666666666,1.0,0.4666666666666667,0.08333333333333333,,0.5384615384615384,,,3.0,,0.027777777777777776,0.42857142857142855,0.6666666666666666,,1.0,,,,True,
2222,1610612758,Gerald Wallace,Gerald Wallace,2222,SAC,18349.0,306,28,614,614,176,181,84,1228,41,68,10.0,15.0,5.0,11.0,5.0,13,5.0,26,2.0,,1.0,1.0,51,107,1.0,3.0,25,130,568,13.0,20.0,6.0,32.0,8,22,2.0,7.0,23,70.0,32,3.0,14.0,,,12.0,6,8.0,14,4.0,4.0,3.0,1.0,2.0,36,4.0,18.0,8.0,35,4.0,47,23.0,70,4.0,16.0,9.0,7.0,9.0,1.0,1.0,15.0,4.0,8.0,3.0,24,1.0,10.0,18,40,4.0,6.0,40,2.0,20.0,1.0,5.0,1.0,1.0,3.0,6.0,3.0,,23,176,5.0,0.6862745098039216,0.7954545454545454,1.0,0.3333333333333333,0.5,0.4766355140186916,0.65,0.36363636363636365,0.4772727272727273,0.65,0.3333333333333333,0.5038759689922481,0.6666666666666666,0.4107142857142857,0.02727272727272727,0.11214953271028037,0.11764705882352941,0.23076923076923078,0.038461538461538464,21.51898734177215,0.375,0.17391304347826086,0.12915129151291513,0.0759493670886076,0.1509433962264151,0.06779661016949153,0.13271604938271606,0.07432432432432433,0.11267605633802817,0.05357142857142857,0.06363636363636363,0.09523809523809523,,0.09090909090909091,0.10465116279069768,0.16153846153846155,0.18421052631578946,0.06666666666666667,0.08888888888888889,0.5,0.6181818181818182,0.6029411764705882,0.6833333333333333,0.6585365853658537,0.11818181818181818,0.38461538461538464,0.5,0.6,0.23636363636363636,0.19230769230769232,0.2,1.0,0.01818181818181818,0.00909090909090909,,,,0.75,0.6666666666666666,0.4,0.4583333333333333,0.45454545454545453,0.041666666666666664,0.6454545454545455,,0.5428522935779816,0.5670705882352942,0.4936326086956521,0.15625,0.16,0.24615384615384617,0.17692307692307693,5.397196261682243,29.866666666666664,0.28664495114006516,1.0,0.047619047619047616,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,0.5,0.5,1.0,,,,,0.041666666666666664,,,,,,,,,,,,1.0,1.0,,True,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,33371.0,556,121,1109,1112,395,285,118,2221,22,40,1.0,1.0,6.0,14.0,12.0,24,42.0,97,21.0,15.0,21.0,9.0,76,161,26.0,42.0,57,287,1052,5.0,6.0,6.0,16.0,21,48,20.0,33.0,102,86.0,66,69.0,2.0,20.0,15.0,10.0,59,16.0,75,8.0,8.0,27.0,12.0,20.0,166,1.0,5.0,6.0,23,,29,6.0,35,,20.0,8.0,12.0,28.0,9.0,15.0,20.0,1.0,13.0,,48,2.0,19.0,14,45,1.0,9.0,66,2.0,22.0,11.0,4.0,2.0,1.0,1.0,4.0,1.0,,102,395,10.0,0.5657894736842105,0.5733333333333334,0.8846153846153846,0.6190476190476191,0.6341463414634146,0.4720496894409938,0.8333333333333334,0.4375,0.5665024630541872,0.7142857142857143,0.5073529411764706,0.6111111111111112,0.8,0.5862068965517241,0.20689655172413793,0.062111801242236024,0.15,0.041666666666666664,0.030927835051546393,22.668810289389068,0.5833333333333334,,0.047325102880658436,0.013192612137203167,0.05,0.01,0.04785478547854786,0.012526096033402923,0.030303030303030304,,0.01098901098901099,0.019230769230769232,,0.02702702702702703,0.04487179487179487,0.0593607305936073,0.06976744186046512,,,0.25,0.19704433497536947,0.55,0.6470588235294118,0.5909090909090909,0.11822660098522167,0.5,0.5217391304347826,0.4166666666666667,0.47783251231527096,0.4329896907216495,0.44680851063829785,0.5952380952380952,0.10344827586206896,0.10344827586206896,0.7142857142857143,0.75,0.8666666666666667,0.14285714285714285,1.0,1.0,0.20588235294117646,0.42857142857142855,0.1323529411764706,0.4039408866995074,0.75,0.4817650990099011,0.40155,0.4895873134328359,0.09865470852017937,0.12154696132596685,0.05574912891986063,0.3554006968641115,12.650931677018635,25.261904761904763,0.35617673579801623,,,11.0,,,6.0,11.0,1.0,3.0,,1.0,9.0,9.0,1.0,1.0,2.0,,,0.45,0.023809523809523808,0.047619047619047616,0.5238095238095238,0.5238095238095238,0.9090909090909091,,,,0.14285714285714285,0.16176470588235295,0.5454545454545454,0.3333333333333333,,,,,,,,,,,,,True,
2045,1610612758,Hedo Turkoglu,Hedo Turkoglu,2045,SAC,40018.0,667,-2,1299,1302,276,282,172,2601,30,48,1.0,2.0,3.0,6.0,11.0,35,39.0,91,8.0,14.0,38.0,13.0,80,174,16.0,46.0,54,262,1286,12.0,22.0,3.0,33.0,13,27,15.0,14.0,52,72.0,88,48.0,4.0,38.0,14.0,7.0,48,14.0,62,5.0,9.0,23.0,4.0,21.0,138,5.0,14.0,17.0,67,5.0,89,19.0,108,5.0,18.0,11.0,7.0,20.0,5.0,17.0,13.0,2.0,3.0,1.0,33,2.0,6.0,31,59,2.0,4.0,68,4.0,32.0,4.0,6.0,,2.0,4.0,6.0,5.0,1.0,52,276,1.0,0.45,0.46153846153846156,1.0,0.34782608695652173,0.34782608695652173,0.45977011494252873,0.5454545454545454,0.48148148148148145,0.4727272727272727,0.5555555555555556,0.4523809523809524,0.5198412698412699,0.55,0.5098039215686274,0.20909090909090908,0.040229885057471264,0.08333333333333333,0.08571428571428572,,19.050802139037433,0.6060606060606061,0.10638297872340426,0.11472602739726027,0.02676864244741874,0.13934426229508196,0.04065040650406504,0.11898016997167139,0.029411764705882353,,0.042682926829268296,0.02857142857142857,0.02631578947368421,0.06382978723404255,0.08163265306122448,0.12987012987012986,0.11372549019607843,0.15555555555555556,0.09375,0.042735042735042736,0.8333333333333334,0.21818181818181817,0.625,0.6818181818181818,0.43333333333333335,0.1590909090909091,0.3142857142857143,0.34375,0.36363636363636365,0.41363636363636364,0.42857142857142855,0.42857142857142855,0.48717948717948717,0.03636363636363636,0.17272727272727273,0.3684210526315789,0.3684210526315789,1.0,0.07407407407407407,0.5,,0.14285714285714285,0.5,0.30952380952380953,0.42727272727272725,0.3684210526315789,0.4764934090909089,0.43764782608695646,0.4674511904761903,0.12903225806451613,0.15841584158415842,0.12595419847328243,0.1984732824427481,11.701724137931036,24.689130434782605,0.21247113163972287,,,2.0,,1.0,1.0,2.0,4.0,3.0,2.0,5.0,4.0,,,,,,0.4,0.26666666666666666,,,0.25,0.25,1.0,0.037037037037037035,,,0.14814814814814814,0.047619047619047616,0.5,0.23076923076923078,,,2.0,,,0.5,1.0,,,,,,True,
754,1610612758,Jim Jackson,Jim Jackson,754,SAC,56830.0,947,73,1801,1807,368,305,226,3608,51,92,16.0,31.0,5.0,16.0,33.0,82,41.0,115,39.0,7.0,17.0,5.0,125,289,29.0,56.0,35,372,1772,24.0,56.0,5.0,59.0,11,37,8.0,10.0,41,126.0,124,78.0,32.0,15.0,7.0,17.0,66,28.0,94,16.0,12.0,31.0,12.0,23.0,216,4.0,50.0,20.0,112,10.0,142,55.0,197,10.0,22.0,7.0,15.0,32.0,14.0,23.0,30.0,1.0,9.0,5.0,62,8.0,13.0,41,88,2.0,8.0,41,9.0,22.0,3.0,4.0,,1.0,3.0,4.0,4.0,1.0,41,368,4.0,0.504,0.5779816513761468,0.896551724137931,0.5178571428571429,0.5370370370370371,0.43252595155709345,0.42857142857142855,0.2972972972972973,0.48840579710144927,0.421875,0.34444444444444444,0.5152354570637119,0.44696969696969696,0.41,0.16231884057971013,0.058823529411764705,0.10869565217391304,0.07317073170731707,0.008695652173913044,20.346320346320347,0.5161290322580645,0.16666666666666666,0.14507772020725387,0.06747638326585695,0.1111111111111111,0.028169014084507043,0.13865546218487396,0.061155152887882216,0.09248554913294797,0.05583756345177665,0.06199460916442048,0.03571428571428571,0.017241379310344827,0.14285714285714285,0.11235955056179775,0.16986301369863013,0.12,0.09090909090909091,0.05813953488372093,1.0,0.26666666666666666,0.5543478260869565,0.6219512195121951,0.5490196078431373,0.23768115942028986,0.4024390243902439,0.4342105263157895,0.3333333333333333,0.3333333333333333,0.3565217391304348,0.35964912280701755,0.5853658536585366,0.11304347826086956,0.04927536231884058,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.484375,0.5161290322580645,0.0625,0.35555555555555557,0.3125,0.1111111111111111,0.4289855072463768,0.4666666666666667,0.4766763848396503,0.499507627118644,0.502367441860465,0.061452513966480445,0.0728476821192053,0.1586021505376344,0.11021505376344086,10.013148788927335,24.710714285714285,0.20433092726263188,1.0,0.022222222222222223,22.0,2.0,6.0,2.0,3.0,2.0,1.0,2.0,8.0,3.0,9.0,2.0,,,,0.25,0.375,,,0.5641025641025641,0.5641025641025641,0.9090909090909091,0.09375,0.3333333333333333,1.0,0.03125,0.06666666666666667,0.6666666666666666,0.2,,1.0,,,,,,,,,,,True,
