EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangePctBlocked,ShortMidRangePctAssisted,PenaltyCorner3FGM,Travels,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,DefensiveGoaltends,3SecondViolations,OffensiveGoaltends,on,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls
109,1610612747,Robert Horry,Robert Horry,109,LAL,31503.0,525,-6,981,994,235,248,128,1975,18.0,27,7.0,12.0,6.0,10.0,5,15,3.0,15.0,4.0,13.0,1.0,1.0,10.0,23.0,1.0,1.0,4.0,26,57,14.0,36.0,20.0,114,1025,11.0,17,2.0,2.0,24.0,6.0,13.0,1.0,5.0,4.0,19.0,20,32,39.0,3.0,10.0,23.0,10.0,1.0,41,13.0,54,11.0,2.0,18.0,8.0,15,121,7.0,25.0,4.0,11.0,70,10.0,91,36,127,1.0,24.0,14.0,10.0,13,3.0,11.0,8.0,1.0,2.0,21,1.0,3,24,56,5.0,3.0,25.0,2.0,13.0,18.0,15.0,1.0,2.0,18.0,12.0,19.0,235,8,0.38461538461538464,0.47619047619047616,0.9285714285714286,0.3888888888888889,0.2,0.3888888888888889,0.45614035087719296,0.6470588235294118,0.46153846153846156,0.5053763440860215,0.5789473684210527,0.4166666666666667,0.5480769230769231,0.6,0.475,0.3870967741935484,0.017543859649122806,0.037037037037037035,11.032656663724625,0.6190476190476191,0.2702702702702703,0.12903225806451613,0.17857142857142858,0.07267441860465117,0.13414634146341464,0.06542056074766354,0.17088607594936708,0.07095343680709534,0.031914893617021274,0.10784313725490197,0.07432432432432433,0.06578947368421052,0.06451612903225806,0.15873015873015872,0.21138211382113822,0.16783216783216784,0.1076923076923077,0.23529411764705882,0.020833333333333332,0.6666666666666666,0.2903225806451613,0.6666666666666666,0.6923076923076923,0.4444444444444444,0.16129032258064516,0.3333333333333333,0.3333333333333333,0.16129032258064516,0.2,0.2,0.6666666666666666,0.13978494623655913,0.3076923076923077,0.3076923076923077,1.0,0.24731182795698925,0.43478260869565216,0.43478260869565216,0.9,0.631578947368421,0.5833333333333334,0.2857142857142857,0.05263157894736842,0.05263157894736842,0.5555555555555556,0.6,0.05555555555555555,0.2222222222222222,0.25,0.6774193548387096,0.43478260869565216,0.499062365591398,0.4944766666666667,0.5145611111111111,0.125,0.19117647058823528,0.21052631578947367,0.16666666666666666,7.212280701754386,24.8,0.23955147808358818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
145,1610612747,Tracy Murray,Tracy Murray,145,LAL,5213.0,87,-3,178,181,75,107,26,359,4.0,7,1.0,2.0,3.0,4.0,1,2,4.0,9.0,,1.0,,,6.0,21.0,1.0,2.0,9.0,9,18,6.0,22.0,3.0,39,195,3.0,4,1.0,,6.0,5.0,7.0,2.0,9.0,1.0,17.0,16,2,15.0,3.0,2.0,21.0,6.0,1.0,6,1.0,7,1.0,,2.0,2.0,2,15,,3.0,,,7,,7,3,10,,1.0,1.0,,3,,3.0,1.0,1.0,,4,,1,6,7,,,4.0,,2.0,,,,,,,17.0,75,1,0.8888888888888888,1.0,0.8333333333333334,0.2727272727272727,0.2222222222222222,0.2727272727272727,0.5,0.75,0.7142857142857143,0.45,0.6,0.5,0.4642857142857143,0.6,0.5,0.55,0.05555555555555555,,21.904761904761905,0.75,,,0.1076923076923077,0.05,,,0.09333333333333334,0.03488372093023256,,0.08,0.043478260869565216,,,0.1111111111111111,0.1111111111111111,0.10344827586206896,,,,,0.175,0.5714285714285714,0.5714285714285714,0.75,0.05,0.5,1.0,0.225,0.4444444444444444,0.4444444444444444,1.0,0.025,,,,0.525,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.4,0.5,,,0.2,0.25,0.75,,0.5625,0.2222222222222222,0.725,0.2857142857142857,0.52351375,0.51955,0.5302,0.047619047619047616,0.1,0.15384615384615385,0.4358974358974359,9.955555555555557,25.109090909090902,0.42134831460674155,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,33972.0,566,-78,1062,1076,228,284,134,2138,26.0,41,6.0,13.0,3.0,7.0,7,21,17.0,62.0,5.0,12.0,2.0,2.0,14.0,37.0,2.0,1.0,8.0,50,124,19.0,49.0,23.0,180,1148,7.0,17,4.0,6.0,20.0,8.0,22.0,2.0,10.0,6.0,28.0,72,28,54.0,3.0,4.0,37.0,14.0,11.0,29,14.0,43,10.0,4.0,14.0,5.0,10,100,8.0,20.0,1.0,12.0,48,8.0,68,29,97,3.0,18.0,9.0,9.0,9,2.0,7.0,13.0,1.0,2.0,22,3.0,4,31,73,3.0,7.0,29.0,2.0,9.0,15.0,6.0,4.0,5.0,15.0,7.0,28.0,228,8,0.72,0.75,0.9473684210526315,0.3877551020408163,0.2,0.3877551020408163,0.4032258064516129,0.4117647058823529,0.36363636363636365,0.45375722543352603,0.3333333333333333,0.34375,0.4838709677419355,0.4166666666666667,0.3888888888888889,0.2832369942196532,0.08870967741935484,0.17073170731707318,16.99346405228758,0.4090909090909091,0.25806451612903225,0.03225806451612903,0.11188811188811189,0.05128205128205128,0.13953488372093023,0.06666666666666667,0.11650485436893204,0.054901960784313725,0.030612244897959183,0.06504065040650407,0.05325443786982249,0.03225806451612903,0.18518518518518517,0.11278195488721804,0.11678832116788321,0.1069182389937107,0.11764705882352941,0.2222222222222222,0.033707865168539325,0.4666666666666667,0.23699421965317918,0.6341463414634146,0.7647058823529411,0.6153846153846154,0.12138728323699421,0.3333333333333333,0.3684210526315789,0.3583815028901734,0.27419354838709675,0.2833333333333333,0.8823529411764706,0.06936416184971098,0.4166666666666667,0.4166666666666667,0.8,0.2138728323699422,0.3783783783783784,0.3783783783783784,1.0,0.6190476190476191,0.46153846153846156,0.5,0.09523809523809523,0.09523809523809523,0.21875,0.42857142857142855,0.0625,0.25,0.125,0.5202312138728323,0.3783783783783784,0.48276889534883727,0.5283447368421053,0.46829687499999995,0.055248618784530384,0.06870229007633588,0.1111111111111111,0.15555555555555556,10.912096774193548,25.104081632653056,0.21468926553672316,0.09523809523809523,0.7142857142857143,1.0,2.0,1.0,5.0,1.0,0.03225806451612903,0.5,0.02,,,,,,,,,,,,,,,,,,,True,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,16891.0,282,-60,566,559,94,176,69,1125,8.0,10,1.0,3.0,2.0,2.0,4,20,13.0,28.0,1.0,4.0,1.0,1.0,10.0,28.0,4.0,1.0,11.0,25,58,11.0,32.0,4.0,87,595,1.0,6,5.0,2.0,13.0,2.0,5.0,1.0,12.0,2.0,9.0,22,28,33.0,,,27.0,10.0,5.0,30,6.0,36,6.0,,16.0,10.0,4,78,,6.0,1.0,6.0,26,1.0,33,7,40,,10.0,7.0,3.0,17,7.0,15.0,10.0,2.0,2.0,27,1.0,3,5,14,,,4.0,,1.0,5.0,4.0,,1.0,5.0,2.0,9.0,94,1,0.44,0.44,1.0,0.34375,0.08333333333333333,0.3548387096774194,0.43103448275862066,0.16666666666666666,0.4,0.46111111111111114,0.5,0.20588235294117646,0.47282608695652173,0.5416666666666666,0.25,0.35555555555555557,0.08620689655172414,0.1,18.364197530864196,0.6296296296296297,0.04,0.07142857142857142,0.11818181818181818,0.028037383177570093,0.1276595744680851,,0.1198501872659176,0.021739130434782608,0.04,0.03529411764705882,0.012658227848101266,,,0.11842105263157894,0.15942028985507245,0.08,0.13513513513513514,0.1,,0.4,0.1111111111111111,0.8,0.8888888888888888,0.5,0.2222222222222222,0.2,0.25,0.3111111111111111,0.4642857142857143,0.4642857142857143,0.5384615384615384,0.044444444444444446,0.25,0.25,1.0,0.3111111111111111,0.35714285714285715,0.37037037037037035,1.0,0.2727272727272727,0.3333333333333333,1.0,0.09090909090909091,0.36363636363636365,0.11764705882352941,1.0,0.058823529411764705,0.6470588235294118,0.09090909090909091,0.4666666666666667,0.37037037037037035,0.46924269662921353,0.5100611111111111,0.494903125,0.01098901098901099,0.01694915254237288,0.14942528735632185,0.10344827586206896,12.31896551724138,25.903125000000003,0.16607773851590105,0.2,,,,,1.0,,,,,3.0,3.0,1.0,1.0,0.6,0.03125,0.03571428571428571,0.75,1.0,,,,,,,,,,True,,,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,52472.0,875,-89,1684,1702,444,581,224,3386,35.0,54,6.0,11.0,14.0,16.0,12,40,30.0,82.0,2.0,18.0,4.0,6.0,17.0,50.0,3.0,2.0,11.0,77,176,19.0,68.0,16.0,227,1794,8.0,19,7.0,1.0,20.0,23.0,39.0,2.0,17.0,6.0,58.0,104,50,57.0,,8.0,50.0,17.0,10.0,54,14.0,68,12.0,2.0,25.0,16.0,13,150,8.0,18.0,,10.0,57,1.0,68,26,94,1.0,10.0,7.0,3.0,34,12.0,26.0,29.0,2.0,8.0,63,4.0,12,36,71,,7.0,23.0,3.0,8.0,10.0,6.0,,4.0,11.0,7.0,58.0,444,8,0.6753246753246753,0.7123287671232876,1.0,0.27941176470588236,0.11764705882352941,0.27941176470588236,0.4375,0.42105263157894735,0.5897435897435898,0.4323770491803279,0.36538461538461536,0.4642857142857143,0.4468503937007874,0.37037037037037035,0.48333333333333334,0.2786885245901639,0.056818181818181816,0.09259259259259259,16.1734693877551,0.5396825396825397,0.014925373134328358,,0.08702290076335878,0.028662420382165606,0.07246376811594203,0.043243243243243246,0.08448928121059268,0.03198031980319803,0.03636363636363636,0.02830188679245283,0.02390438247011952,0.029197080291970802,0.08333333333333333,0.06565656565656566,0.09313725490196079,0.09881422924901186,0.07339449541284404,0.06896551724137931,0.007407407407407408,0.6363636363636364,0.22131147540983606,0.6481481481481481,0.7142857142857143,0.6857142857142857,0.16393442622950818,0.3,0.34285714285714286,0.3360655737704918,0.36585365853658536,0.36585365853658536,0.7333333333333333,0.07377049180327869,0.1111111111111111,0.1111111111111111,1.0,0.20491803278688525,0.34,0.34,1.0,0.4230769230769231,0.5454545454545454,0.16666666666666666,0.15384615384615385,0.11538461538461539,0.2857142857142857,0.875,0.10714285714285714,0.19642857142857142,0.18181818181818182,0.5,0.34,0.4761489754098359,0.4935404761904762,0.4778812500000001,0.0321285140562249,0.04419889502762431,0.0881057268722467,0.2555066079295154,10.77954545454545,25.03676470588235,0.26365795724465557,0.125,0.5,,2.0,,5.0,2.0,,,,,1.0,,,0.14285714285714285,,,,,1.0,1.0,1.0,0.25,1.0,,,,,True,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,28755.0,479,-40,906,930,264,294,123,1836,35.0,64,8.0,13.0,14.0,30.0,24,60,49.0,120.0,2.0,6.0,2.0,4.0,14.0,44.0,2.0,4.0,14.0,108,244,16.0,50.0,92.0,356,986,10.0,20,4.0,13.0,42.0,31.0,66.0,6.0,18.0,54.0,134.0,72,144,27.0,21.0,6.0,42.0,14.0,14.0,51,12.0,63,6.0,6.0,25.0,9.0,17,138,5.0,11.0,1.0,9.0,50,9.0,68,17,85,4.0,21.0,14.0,7.0,22,3.0,11.0,15.0,2.0,11.0,37,3.0,5,7,28,,8.0,106.0,8.0,40.0,7.0,3.0,,4.0,8.0,4.0,134.0,264,7,0.3333333333333333,0.34285714285714286,0.5625,0.32,0.3333333333333333,0.3333333333333333,0.4426229508196721,0.5,0.4696969696969697,0.4489795918367347,0.6041666666666666,0.47619047619047616,0.5162241887905604,0.6612903225806451,0.5900900900900901,0.17006802721088435,0.05737704918032787,0.140625,35.338345864661655,0.5945945945945946,0.21428571428571427,0.037037037037037035,0.1440922190201729,0.03216374269005848,0.1111111111111111,0.05154639175257732,0.1378504672897196,0.03644646924829157,0.05319148936170213,0.01904761904761905,0.027972027972027972,0.04477611940298507,0.06666666666666667,0.16666666666666666,0.07964601769911504,0.18115942028985507,0.1111111111111111,0.1111111111111111,0.02666666666666667,0.5,0.21768707482993196,0.546875,0.6363636363636364,0.42857142857142855,0.20408163265306123,0.4,0.42857142857142855,0.40816326530612246,0.4083333333333333,0.4117647058823529,0.2857142857142857,0.02040816326530612,0.3333333333333333,0.3333333333333333,0.5,0.14965986394557823,0.3181818181818182,0.32558139534883723,0.5714285714285714,0.5416666666666666,0.6153846153846154,0.25,0.08333333333333333,0.08333333333333333,0.35714285714285715,0.4666666666666667,0.047619047619047616,0.16666666666666666,0.2857142857142857,0.3877551020408163,0.3333333333333333,0.45862923875432543,0.5159342105263158,0.4915172839506171,0.12269938650306748,0.14492753623188406,0.11797752808988764,0.37640449438202245,11.383196721311478,26.802,0.2913907284768212,0.06666666666666667,0.2916666666666667,2.0,,,13.0,1.0,0.008333333333333333,0.5,,2.0,3.0,2.0,1.0,0.75,0.02,0.022727272727272728,1.0,0.5,1.0,1.0,1.0,0.5,1.0,8.0,2.0,,,True,,,,
2058,1610612747,Mark Madsen,Mark Madsen,2058,LAL,9326.0,155,-61,311,312,103,187,45,623,16.0,24,10.0,15.0,6.0,9.0,3,15,1.0,4.0,,,,,,,,,,20,43,,,2.0,42,360,10.0,18,,1.0,21.0,7.0,14.0,,,1.0,15.0,20,20,,,18.0,,,5.0,6,3.0,9,3.0,,3.0,,3,21,2.0,17.0,,5.0,8,4.0,17,19,36,4.0,4.0,2.0,2.0,6,,3.0,2.0,1.0,3.0,8,1.0,6,10,25,2.0,1.0,6.0,2.0,4.0,9.0,5.0,1.0,3.0,9.0,5.0,15.0,103,8,0.5,0.9090909090909091,,,,,0.46511627906976744,0.5555555555555556,0.5,0.46511627906976744,0.5555555555555556,0.5,0.4666666666666667,0.5526315789473685,0.5,,0.11627906976744186,0.08333333333333333,14.021164021164022,0.75,0.25,,0.08,0.12686567164179105,0.2,0.05128205128205128,0.104,0.10982658959537572,0.2777777777777778,0.06818181818181818,0.07407407407407407,0.058823529411764705,,0.08,0.12903225806451613,0.045454545454545456,0.2222222222222222,0.14285714285714285,0.2222222222222222,0.5555555555555556,0.5581395348837209,0.6666666666666666,0.7272727272727273,0.4375,0.3488372093023256,0.2,0.25,0.09302325581395349,0.25,0.25,1.0,,,,,,,,,0.8333333333333334,0.6666666666666666,0.1,,,0.6428571428571429,0.6666666666666666,,,,0.5581395348837209,,0.49870465116279067,0.5552928571428571,0.5237214285714286,0.08888888888888889,0.08888888888888889,0.5,0.35714285714285715,4.0302325581395335,,0.3311897106109325,0.2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,12588.0,210,-28,409,413,147,167,53,822,1.0,4,,,1.0,2.0,6,11,12.0,22.0,3.0,7.0,,3.0,5.0,12.0,2.0,3.0,5.0,19,37,8.0,19.0,6.0,68,452,3.0,4,2.0,,12.0,6.0,10.0,5.0,8.0,1.0,28.0,20,18,24.0,,,11.0,5.0,,21,5.0,26,5.0,,14.0,5.0,2,57,2.0,,,2.0,18,2.0,22,2,24,,10.0,5.0,5.0,11,1.0,10.0,3.0,1.0,1.0,14,1.0,5,4,15,1.0,1.0,7.0,1.0,3.0,2.0,1.0,1.0,,2.0,1.0,28.0,147,3,0.5263157894736842,0.5263157894736842,1.0,0.42105263157894735,0.625,0.4444444444444444,0.5135135135135135,0.75,0.6,0.5535714285714286,1.0,0.75,0.576271186440678,1.0,0.7368421052631579,0.3392857142857143,,,15.5982905982906,0.7857142857142857,0.13333333333333333,,0.11320754716981132,,0.07692307692307693,0.0425531914893617,0.10810810810810811,0.011235955056179775,,,,0.05555555555555555,,0.058823529411764705,0.0851063829787234,0.18032786885245902,0.1,,,0.5,0.07142857142857142,0.25,0.25,,0.19642857142857142,0.5454545454545454,0.5454545454545454,0.39285714285714285,0.5454545454545454,0.5454545454545454,0.75,0.125,0.42857142857142855,0.42857142857142855,1.0,0.21428571428571427,0.4166666666666667,0.4166666666666667,1.0,,,,,0.3333333333333333,0.1111111111111111,0.5,0.16666666666666666,0.2777777777777778,0.6,0.4107142857142857,0.45454545454545453,0.45874727272727284,0.43834,0.46055,0.05172413793103448,0.07692307692307693,0.17647058823529413,0.4117647058823529,14.832432432432434,25.263157894736842,0.3594132029339853,,0.16666666666666666,2.0,,,1.0,,,0.6666666666666666,,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,True,,,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,7294.0,122,16,254,251,77,126,38,505,7.0,9,,,3.0,4.0,1,5,8.0,17.0,,2.0,,1.0,7.0,13.0,1.0,2.0,3.0,16,31,7.0,15.0,,53,251,1.0,2,1.0,,5.0,4.0,9.0,2.0,4.0,,14.0,20,12,15.0,6.0,,13.0,7.0,2.0,10,5.0,15,4.0,1.0,5.0,3.0,2,35,1.0,1.0,,3.0,11,,14,2,16,,9.0,3.0,6.0,7,2.0,5.0,3.0,,2.0,10,,4,6,17,,,,,,1.0,,,1.0,1.0,1.0,14.0,77,3,0.625,0.625,0.7142857142857143,0.4666666666666667,0.5,0.4666666666666667,0.5161290322580645,0.5,0.4444444444444444,0.5760869565217391,0.8333333333333334,0.5384615384615384,0.5760869565217391,0.8333333333333334,0.5384615384615384,0.32608695652173914,0.06451612903225806,0.1111111111111111,18.666666666666668,0.7,,,0.13924050632911392,0.01020408163265306,0.11538461538461539,0.03333333333333333,0.13333333333333333,0.015625,,,0.021739130434782608,0.045454545454545456,,0.13636363636363635,0.14285714285714285,0.1388888888888889,0.08695652173913043,0.3333333333333333,,1.0,0.1956521739130435,0.7777777777777778,0.875,0.5714285714285714,0.10869565217391304,0.2,0.25,0.3695652173913043,0.47058823529411764,0.47058823529411764,0.625,0.043478260869565216,,,,0.2826086956521739,0.5384615384615384,0.5384615384615384,0.7142857142857143,,,,,0.3333333333333333,0.3076923076923077,0.75,0.07692307692307693,0.23076923076923078,0.6666666666666666,0.5217391304347826,0.5384615384615384,0.49555434782608704,0.31315,0.4743961538461538,,,0.09433962264150944,0.2641509433962264,11.91935483870968,23.34,0.3031496062992126,0.2,1.0,,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,True,,,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,25327.0,422,40,816,818,258,254,109,1634,86.0,125,21.0,31.0,24.0,37.0,49,107,,,,,,,,,,,,135,232,,,72.0,342,848,24.0,40,,19.0,67.0,40.0,71.0,,,34.0,114.0,172,98,,,36.0,,,9.0,34,12.0,46,12.0,,17.0,5.0,12,104,9.0,35.0,1.0,17.0,50,8.0,75,45,120,11.0,5.0,1.0,4.0,25,2.0,13.0,18.0,3.0,12.0,43,7.0,14,30,43,,6.0,112.0,19.0,59.0,32.0,12.0,2.0,18.0,32.0,14.0,114.0,258,1,0.6370370370370371,0.7350427350427351,,,,,0.5818965517241379,0.6,0.5633802816901409,0.5818965517241379,0.6,0.5633802816901409,0.6129032258064516,0.6320754716981132,0.6129032258064516,,0.03879310344827586,0.048,34.218916046758764,0.5813953488372093,0.2962962962962963,0.03225806451612903,0.15151515151515152,0.12367491166077739,0.2786885245901639,0.1125,0.17135549872122763,0.12121212121212122,0.24096385542168675,0.06306306306306306,0.0898876404494382,0.11864406779661017,0.09523809523809523,0.11904761904761904,0.16666666666666666,0.1597222222222222,0.32,0.09090909090909091,0.125,0.4375,0.5387931034482759,0.688,0.7226890756302521,0.6511627906976745,0.46120689655172414,0.45794392523364486,0.47115384615384615,,,,,,,,,,,,,0.775,0.6774193548387096,0.14285714285714285,,,0.5211267605633803,0.6486486486486487,,,,0.5387931034482759,,0.485690948275862,0.5274228571428572,0.48788873239436625,0.21691176470588236,0.21691176470588236,0.195906432748538,0.3333333333333333,3.482327586206897,,0.3161764705882353,0.028037383177570093,0.6122448979591837,,2.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,True,,,,
