EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,HeaveAttempts,ShortMidRangePctBlocked,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Clear Path Fouls,on,BlockedArc3,3pt And 1 Free Throw Trips
109,1610612747,Robert Horry,Robert Horry,109,LAL,60534.0,1009,108,1960,1948,717,722,252,3908,36,60,12.0,28.0,17,25,10.0,32.0,16.0,35.0,3.0,17.0,1.0,1.0,4.0,13.0,56.0,1.0,7.0,2.0,15.0,62,127,16.0,73.0,58.0,230,1997,16.0,37.0,1.0,8.0,13.0,48.0,21,38,3.0,19.0,21.0,72,76,48.0,48.0,18.0,56.0,13.0,6.0,81.0,25.0,106.0,20.0,5.0,35.0,17.0,29.0,237.0,15.0,64.0,7.0,24.0,106,11.0,141,86.0,227,3.0,39.0,21.0,18.0,21.0,10.0,19.0,20.0,3.0,2.0,2.0,41.0,1.0,18.0,55,107,8.0,4.0,77.0,7.0,33.0,9.0,28.0,1.0,17.0,1.0,1.0,10.0,29.0,15.0,72,717,15.0,0.6129032258064516,0.7169811320754716,1.0,0.2191780821917808,0.125,0.15789473684210525,0.2191780821917808,0.4881889763779528,0.43243243243243246,0.5526315789473685,0.43,0.3888888888888889,0.4473684210526316,0.48936170212765956,0.4444444444444444,0.5070422535211268,0.365,0.047244094488188976,0.08333333333333333,0.02857142857142857,12.20159151193634,0.5121951219512195,0.18032786885245902,0.09090909090909091,0.1407702523240372,0.0906515580736544,0.11822660098522167,0.07009345794392523,0.13598326359832635,0.08586956521739131,0.03296703296703297,0.11203319502074689,0.10954063604240283,0.06,0.09375,0.09424083769633508,0.156,0.15705128205128205,0.11764705882352941,0.12,0.02702702702702703,0.5172413793103449,0.3,0.6,0.6545454545454545,0.6111111111111112,0.16,0.3125,0.3125,0.4,0.175,0.45714285714285713,0.47058823529411764,0.75,0.085,0.17647058823529413,0.17647058823529413,1.0,0.28,0.23214285714285715,0.23214285714285715,1.0,0.6222222222222222,0.42857142857142855,0.08333333333333333,0.022222222222222223,0.15555555555555556,0.14285714285714285,1.0,0.43859649122807015,0.68,0.07017543859649122,0.25,0.2631578947368421,0.13333333333333333,0.665,0.23214285714285715,0.49921049999999995,0.5221526315789472,0.5000175438596491,0.14601769911504425,0.21568627450980393,0.20869565217391303,0.3130434782608696,7.132283464566929,24.943835616438356,0.36581632653061225,,,,,,,,,,,,,,,,,,,True,,
145,1610612747,Tracy Murray,Tracy Murray,145,LAL,1414.0,24,-23,52,49,27,36,5,101,1,1,,,1,1,,,2.0,3.0,,2.0,,,2.0,,1.0,,,,1.0,3,4,,3.0,2.0,8,58,,,,,,,1,1,,3.0,,2,6,,,,1.0,,,,,,,,,,,,,,,2.0,1,,3,,3,,,,,1.0,,1.0,1.0,1.0,,,2.0,,,2,4,1.0,,2.0,,1.0,,,,,,,,,,2,27,1.0,1.0,1.0,,,,,,0.75,,1.0,0.42857142857142855,,0.25,0.5,,0.25,0.42857142857142855,,,,17.54385964912281,0.5,,,0.07692307692307693,,0.3333333333333333,,0.15789473684210525,,,,,,,0.25,,,0.5,,,,0.14285714285714285,1.0,1.0,1.0,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,,,,0.14285714285714285,,,,,,,,,,,0.25,1.0,0.5,,0.25,,0.5714285714285714,,0.4781857142857143,,0.5442,0.125,0.2,,0.25,14.675,24.566666666666666,0.5192307692307693,,,,,,,,,,,,,,,,,,,True,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,15481.0,258,-18,503,506,168,166,65,1009,4,9,1.0,2.0,1,2,3.0,13.0,11.0,19.0,1.0,3.0,1.0,,,10.0,23.0,1.0,3.0,5.0,9.0,18,41,11.0,26.0,2.0,71,493,2.0,7.0,1.0,4.0,2.0,9.0,3,7,5.0,9.0,2.0,23,22,14.0,30.0,,22.0,10.0,3.0,18.0,7.0,25.0,6.0,1.0,8.0,2.0,8.0,57.0,,5.0,,4.0,19,,23,5.0,28,,7.0,5.0,2.0,7.0,2.0,7.0,6.0,,,1.0,13.0,,4.0,10,21,,2.0,5.0,1.0,2.0,1.0,5.0,,3.0,,,2.0,5.0,2.0,23,168,6.0,0.6111111111111112,0.6111111111111112,0.9090909090909091,0.4230769230769231,0.25,0.5555555555555556,0.44,0.43902439024390244,0.2857142857142857,0.42857142857142855,0.5149253731343284,0.3181818181818182,0.65625,0.5144927536231884,0.34615384615384615,0.6764705882352942,0.3880597014925373,0.07317073170731707,0.2222222222222222,,14.13793103448276,0.5384615384615384,,,0.10497237569060773,0.025,0.08333333333333333,,0.10043668122270742,0.019083969465648856,,0.047619047619047616,0.013888888888888888,,,0.05128205128205128,0.17567567567567569,0.058823529411764705,0.08108108108108109,0.09090909090909091,,0.4,0.13432835820895522,0.4444444444444444,0.5714285714285714,0.75,0.19402985074626866,0.23076923076923078,0.25,,0.2835820895522388,0.5789473684210527,0.5789473684210527,0.7272727272727273,0.04477611940298507,0.3333333333333333,0.3333333333333333,1.0,0.34328358208955223,0.43478260869565216,0.43478260869565216,0.9,0.18181818181818182,0.5,1.0,0.09090909090909091,0.2727272727272727,0.3333333333333333,1.0,0.125,0.5,,,0.5625,0.5555555555555556,0.5223880597014925,0.45454545454545453,0.47322499999999995,0.46462499999999995,0.4950466666666667,0.029411764705882353,0.047619047619047616,0.1267605633802817,0.323943661971831,11.44390243902439,26.219230769230766,0.33399602385685884,3.0,1.0,0.07692307692307693,,,,,,,,,,,,,,,,True,,
296,1610612747,Rick Fox,Rick Fox,296,LAL,131007.0,2183,129,4229,4228,1257,1112,546,8457,76,124,13.0,28.0,20,32,32.0,86.0,49.0,131.0,34.0,86.0,9.0,9.0,26.0,71.0,194.0,9.0,25.0,24.0,65.0,157,341,105.0,280.0,52.0,681,4440,24.0,47.0,14.0,34.0,2.0,92.0,36,89,33.0,91.0,24.0,195,216,98.0,303.0,26.0,192.0,71.0,23.0,220.0,33.0,253.0,22.0,11.0,127.0,44.0,49.0,539.0,8.0,47.0,9.0,51.0,168,40.0,259,64.0,323,4.0,69.0,51.0,18.0,72.0,23.0,55.0,49.0,6.0,17.0,1.0,121.0,9.0,31.0,100,215,6.0,12.0,69.0,10.0,34.0,6.0,14.0,,7.0,,1.0,6.0,14.0,6.0,195,1257,30.0,0.6878980891719745,0.75,0.9619047619047619,0.375,0.4117647058823529,0.3626373626373626,0.3776978417266187,0.4604105571847507,0.5106382978723404,0.4044943820224719,0.5064412238325282,0.5555555555555556,0.475,0.5230414746543779,0.5542168674698795,0.5,0.45088566827697263,0.06744868035190615,0.08064516129032258,0.015267175572519083,15.750766087844738,0.5950413223140496,0.3305785123966942,0.05421686746987952,0.10275229357798166,0.02991725015913431,0.1223021582733813,0.018475750577367205,0.1067251461988304,0.027445109780439122,0.04819277108433735,0.01639344262295082,0.029654036243822075,0.022727272727272728,0.008,0.10182767624020887,0.12,0.08974358974358974,0.10828025477707007,0.1650485436893204,0.012232415902140673,0.42857142857142855,0.1996779388083736,0.6129032258064516,0.6666666666666666,0.6578947368421053,0.13848631239935588,0.37209302325581395,0.4266666666666667,0.53125,0.2109500805152979,0.37404580152671757,0.3798449612403101,0.8367346938775511,0.13848631239935588,0.3953488372093023,0.4,0.9411764705882353,0.31239935587761675,0.36597938144329895,0.3697916666666667,0.971830985915493,0.345679012345679,0.4642857142857143,0.07692307692307693,0.1111111111111111,0.30864197530864196,0.36,0.8888888888888888,0.17777777777777778,0.625,0.14444444444444443,0.34615384615384615,0.3611111111111111,0.36923076923076925,0.6505636070853462,0.3697916666666667,0.5142841680129242,0.5221708333333334,0.5112820224719101,0.05271317829457364,0.09315068493150686,0.13509544787077826,0.28634361233480177,9.502932551319649,24.721071428571435,0.29723338850792147,12.0,2.0,0.12790697674418605,5.0,3.0,0.010714285714285714,0.011627906976744186,0.010309278350515464,0.5555555555555556,0.8,,,,,,,,,True,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,114193.0,1903,138,3691,3679,1084,923,476,7370,41,80,2.0,7.0,12,24,18.0,44.0,111.0,272.0,30.0,70.0,5.0,10.0,20.0,26.0,72.0,6.0,14.0,9.0,26.0,170,396,56.0,142.0,67.0,575,3907,12.0,26.0,9.0,19.0,4.0,55.0,54,120,19.0,46.0,34.0,199,214,126.0,162.0,4.0,72.0,26.0,12.0,148.0,46.0,194.0,35.0,11.0,78.0,29.0,41.0,434.0,8.0,15.0,3.0,23.0,107,7.0,137,26.0,163,5.0,60.0,31.0,29.0,33.0,11.0,25.0,23.0,2.0,8.0,,56.0,1.0,14.0,40,117,4.0,6.0,85.0,7.0,29.0,12.0,10.0,,3.0,,3.0,4.0,10.0,6.0,199,1084,20.0,0.6294117647058823,0.6369047619047619,0.9642857142857143,0.39436619718309857,0.47368421052631576,0.41304347826086957,0.39436619718309857,0.4292929292929293,0.46153846153846156,0.45,0.4721189591078067,0.5666666666666667,0.49698795180722893,0.49738675958188155,0.5729166666666666,0.5268817204301075,0.26394052044609667,0.030303030303030304,0.1,0.011029411764705883,14.754098360655737,0.5892857142857143,0.07,0.020689655172413793,0.07498248072880168,0.011111111111111112,0.0625,0.021164021164021163,0.07242339832869081,0.013310185185185185,0.011019283746556474,0.006493506493506494,0.015238095238095238,0.026119402985074626,0.00909090909090909,0.058997050147492625,0.07415254237288135,0.08441558441558442,0.05776173285198556,0.07692307692307693,0.016835016835016835,0.6,0.14869888475836432,0.5125,0.5694444444444444,0.43902439024390244,0.08178438661710037,0.4090909090909091,0.4186046511627907,0.3333333333333333,0.5055762081784386,0.40808823529411764,0.41263940520446096,0.7477477477477478,0.13011152416356878,0.42857142857142855,0.42857142857142855,0.9666666666666667,0.13382899628252787,0.3611111111111111,0.3611111111111111,0.9615384615384616,0.15555555555555556,0.2857142857142857,0.5,0.1111111111111111,0.3111111111111111,0.42857142857142855,1.0,0.14457831325301204,0.5,0.12048192771084337,0.5,0.1566265060240964,0.34615384615384615,0.41263940520446096,0.3611111111111111,0.48012574349442383,0.49860263157894746,0.4669578313253011,0.05516014234875445,0.06937799043062201,0.09565217391304348,0.34608695652173915,14.139646464646459,24.190845070422537,0.29368734760227583,6.0,,0.022727272727272728,3.0,,,,,0.6,1.0,4.0,2.0,1.0,0.013888888888888888,,,,,True,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,122849.0,2047,149,3967,3968,1171,1039,510,7935,154,234,20.0,36.0,46,75,96.0,231.0,182.0,450.0,3.0,13.0,2.0,2.0,6.0,63.0,152.0,2.0,10.0,20.0,63.0,432,915,66.0,165.0,320.0,1382,4181,34.0,83.0,4.0,12.0,27.0,107.0,118,255,22.0,69.0,148.0,450,336,528.0,129.0,24.0,149.0,63.0,43.0,230.0,61.0,291.0,32.0,29.0,120.0,49.0,61.0,643.0,12.0,39.0,4.0,47.0,216,3.0,266,55.0,321,10.0,107.0,65.0,42.0,98.0,23.0,55.0,66.0,12.0,43.0,5.0,164.0,5.0,46.0,33,138,3.0,20.0,388.0,34.0,151.0,38.0,44.0,2.0,20.0,2.0,8.0,16.0,46.0,23.0,450,1171,21.0,0.3888888888888889,0.4,0.6515151515151515,0.4,0.3333333333333333,0.3188405797101449,0.4074074074074074,0.4721311475409836,0.40963855421686746,0.4627450980392157,0.49166666666666664,0.42105263157894735,0.4660493827160494,0.5464458804523424,0.4724770642201835,0.5485074626865671,0.1527777777777778,0.046994535519125684,0.08974358974358974,0.0044444444444444444,30.522875816993466,0.5975609756097561,0.026785714285714284,0.026143790849673203,0.13980582524271845,0.026404874746106973,0.12207792207792208,0.03007518796992481,0.13626943005181347,0.027185501066098083,0.04113110539845758,0.0196078431372549,0.02249134948096886,0.039568345323741004,0.008264462809917356,0.10136986301369863,0.13813229571984437,0.16216216216216217,0.14583333333333334,0.05154639175257732,0.019120458891013385,0.5,0.21666666666666667,0.6581196581196581,0.7230046948356808,0.4155844155844156,0.21388888888888888,0.4155844155844156,0.4549763033175355,0.2708333333333333,0.4166666666666667,0.40444444444444444,0.40625,0.42857142857142855,0.012037037037037037,0.23076923076923078,0.23076923076923078,1.0,0.14074074074074075,0.4144736842105263,0.42,0.6349206349206349,0.37894736842105264,0.5555555555555556,0.2,0.021052631578947368,0.10526315789473684,0.2,0.5,0.23148148148148148,0.6133333333333333,0.018518518518518517,0.3333333333333333,0.19444444444444445,0.31746031746031744,0.36944444444444446,0.4228187919463087,0.46214358736059485,0.4767993243243243,0.45987140625,0.12833333333333333,0.14631782945736435,0.07742402315484805,0.3256150506512301,11.532568306010928,25.955151515151513,0.2951852785480212,69.0,3.0,0.08658008658008658,2.0,2.0,0.012121212121212121,,0.013157894736842105,1.0,1.0,36.0,3.0,1.0,0.017857142857142856,2.0,1.0,,,True,,
1904,1610612747,Devean George,Devean George,1904,LAL,5535.0,92,-24,187,189,118,74,28,376,1,5,,4.0,1,3,1.0,5.0,1.0,5.0,1.0,2.0,,,,3.0,6.0,,,1.0,4.0,3,15,4.0,8.0,16.0,34,222,,4.0,,,4.0,4.0,2,9,1.0,4.0,12.0,19,4,2.0,9.0,,6.0,3.0,1.0,8.0,2.0,10.0,1.0,1.0,3.0,2.0,3.0,22.0,2.0,7.0,,4.0,7,2.0,13,9.0,22,3.0,3.0,1.0,2.0,,,,,,,,,,,4,15,1.0,,18.0,,4.0,5.0,2.0,,1.0,,1.0,,2.0,1.0,19,118,6.0,0.6666666666666666,0.6666666666666666,0.75,0.5,,0.25,0.5,0.2,,0.2222222222222222,0.391304347826087,,0.2692307692307692,0.53125,0.3333333333333333,0.475,0.34782608695652173,0.06666666666666667,,,14.414414414414413,,0.2857142857142857,,0.14285714285714285,0.11864406779661017,0.2,0.06060606060606061,0.15942028985507245,0.09782608695652174,0.3333333333333333,0.06666666666666667,0.0625,0.06896551724137931,,,0.21428571428571427,0.14814814814814814,0.1875,0.25,0.2,0.5,0.21739130434782608,0.2,0.2,1.0,0.21739130434782608,0.2,0.25,,0.21739130434782608,0.2,0.2,1.0,0.08695652173913043,0.5,0.5,1.0,0.2608695652173913,0.5,0.5,0.6666666666666666,1.0,,,,,,,0.23076923076923078,0.3333333333333333,,,0.3076923076923077,0.25,0.5652173913043478,0.5,0.4631326086956522,0.5507333333333333,0.46806538461538455,0.14814814814814814,0.21052631578947367,0.11764705882352941,0.5588235294117647,10.033333333333333,25.525,0.6310160427807486,3.0,,0.2,,,,,,,,,,,,,,,,True,,
2416,1610612747,Kareem Rush,Kareem Rush,2416,LAL,10768.0,179,-7,352,356,115,133,46,708,8,13,3.0,4.0,4,5,2.0,10.0,7.0,19.0,,5.0,2.0,,,2.0,9.0,,,,1.0,17,42,2.0,14.0,4.0,44,344,3.0,4.0,,2.0,,6.0,7,16,,1.0,2.0,16,24,10.0,6.0,4.0,9.0,2.0,2.0,11.0,,11.0,,,4.0,4.0,3.0,22.0,2.0,5.0,,2.0,16,,18,7.0,25,,3.0,2.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,10.0,,3.0,6,16,,1.0,6.0,,1.0,2.0,1.0,,1.0,,,,1.0,1.0,16,115,5.0,0.7058823529411765,0.8,1.0,0.14285714285714285,,,0.14285714285714285,0.40476190476190477,0.75,0.4375,0.35714285714285715,0.5,0.4117647058823529,0.3728813559322034,0.5,0.4444444444444444,0.25,0.047619047619047616,0.07692307692307693,,16.82926829268293,0.5,,,0.11594202898550725,0.036231884057971016,0.06451612903225806,0.05263157894736842,0.10650887573964497,0.03977272727272727,0.07317073170731707,0.019230769230769232,0.022222222222222223,,0.16666666666666666,0.08823529411764706,0.14285714285714285,0.10909090909090909,0.08695652173913043,,,1.0,0.23214285714285715,0.6153846153846154,0.6666666666666666,0.75,0.17857142857142858,0.2,0.2222222222222222,0.5,0.3392857142857143,0.3684210526315789,0.3684210526315789,0.7142857142857143,0.08928571428571429,,,,0.16071428571428573,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,,,,0.29411764705882354,0.8,,,0.058823529411764705,,0.48214285714285715,0.2222222222222222,0.4796312500000001,0.605,0.4603705882352941,0.017543859649122806,0.023255813953488372,0.13636363636363635,0.36363636363636365,10.578571428571431,24.642857142857142,0.32670454545454547,,,0.1,,,,,,,,,,1.0,,,,,,True,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,3241.0,54,2,108,108,51,46,16,216,1,3,,,1,2,,2.0,5.0,8.0,,1.0,,,,,,,,,,6,13,,1.0,,12,106,1.0,2.0,,,,2.0,5,9,,,,10,12,,,,,,1.0,6.0,,6.0,,,2.0,1.0,3.0,12.0,1.0,1.0,,1.0,3,,4,2.0,6,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,2,8,,,,,,,2.0,,,,1.0,1.0,2.0,1.0,10,51,2.0,1.0,1.0,,,,,,0.46153846153846156,0.5,0.5555555555555556,0.42857142857142855,0.5,0.5555555555555556,0.42857142857142855,0.5,0.5555555555555556,0.07142857142857142,0.07692307692307693,,,11.811023622047244,1.0,,,0.08333333333333333,0.022222222222222223,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.034482758620689655,,0.06666666666666667,,0.1,,,0.07142857142857142,0.11764705882352941,,0.2,,0.5,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,,,,0.5714285714285714,0.625,0.625,1.0,0.07142857142857142,,,,,,,,,,,,,,,0.2222222222222222,0.5,,,,,0.2857142857142857,,0.44744642857142847,0.41495,0.4307666666666667,,,0.16666666666666666,0.8333333333333334,12.246153846153847,23.0,0.4722222222222222,,,0.5,,,,,,,,,,,,,,,,True,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,99575.0,1660,185,3215,3208,900,715,399,6423,333,447,98.0,126.0,87,119,125.0,350.0,,7.0,,,,,,,,,,,,458,804,,,242.0,1158,3376,109.0,155.0,,,48.0,266.0,115,194,,,95.0,325,598,318.0,,148.0,,,31.0,87.0,39.0,126.0,30.0,9.0,46.0,10.0,31.0,291.0,40.0,136.0,2.0,65.0,241,26.0,332,178.0,510,37.0,24.0,11.0,13.0,49.0,9.0,27.0,74.0,8.0,22.0,10.0,123.0,13.0,38.0,79,139,17.0,29.0,407.0,62.0,196.0,38.0,98.0,,55.0,,1.0,42.0,98.0,60.0,325,900,12.0,0.6528384279475983,0.7786458333333334,,,,,,0.5696517412935324,0.7032258064516129,0.5927835051546392,0.5696517412935324,0.7032258064516129,0.5927835051546392,0.5932377049180327,0.7112299465240641,0.6086142322097379,,0.03855721393034826,0.05145413870246085,0.2857142857142857,29.654614139233672,0.3983739837398374,0.3170731707317073,0.016,0.1917263325377884,0.11785095320623917,0.20376175548589343,0.13114754098360656,0.19416243654822335,0.12063056888279644,0.19811320754716982,0.08393285371702638,0.09069212410501193,0.12264150943396226,0.15053763440860216,0.17328519855595667,0.18352941176470589,0.2072072072072072,0.1935483870967742,0.23943661971830985,0.1189710610932476,0.6122448979591837,0.5559701492537313,0.7449664429530202,0.785377358490566,0.6636636636636637,0.43532338308457713,0.35714285714285715,0.3633720930232558,0.624,0.008706467661691543,,,,,,,,,,,,0.8129032258064516,0.7777777777777778,0.1836734693877551,,,,,0.6134020618556701,0.7310924369747899,,,,,0.5559701492537313,,0.4924931592039802,0.5366558139534884,0.5074154639175258,0.208955223880597,0.208955223880597,0.229706390328152,0.28065630397236613,3.5123134328358203,,0.27993779160186627,,,0.017142857142857144,,,,,,,,1.0,,6.0,,8.0,5.0,11.0,,True,,
