EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedLongMidRange,Blocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,SelfORebPct,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Technical Free Throw Trips,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,on,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,HeaveMakes,Clear Path Fouls
1425,1610612751,Aaron Williams,Aaron Williams,1425,NJN,185.0,3,-5,7,8,8,3,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,11,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,0.5,1.0,20.0,0.5,0.25,0.5,0.16666666666666666,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.42935,0.4616,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1533,1610612751,Anthony Johnson,Anthony Johnson,1533,NJN,2120.0,35,18,66,64,18,15,130,3.0,4.0,,,3.0,4.0,9.0,11.0,54,,,,4.0,,1.0,,,1.0,1.0,0.4444444444444444,,0.5,,0.5,,15.66265060240964,,0.030303030303030304,,0.02702702702702703,0.14285714285714285,,0.36363636363636365,0.75,0.75,0.2727272727272727,,,0.5454545454545454,0.5157909090909091,,,8.100000000000001,21.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,5.0,1.0,6.0,1.0,5.0,13.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,21.0,1.0,0.5,0.5,1.0,0.5,0.5,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.3333333333333333,1.0,0.4731,23.4,0.3181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2210,1610612751,Richard Jefferson,Richard Jefferson,2210,NJN,24519.0,409,96,803,799,144,98,1602,40.0,61.0,5.0,8.0,40.0,63.0,114.0,178.0,753,6.0,11.0,20.0,40.0,4.0,9.0,41.0,50.0,13.0,63.0,0.5526315789473685,0.5454545454545454,0.5375,0.5454545454545454,0.5973154362416108,0.6666666666666666,19.093851132686083,0.11815561959654179,0.02903225806451613,0.11435523114355231,0.03513513513513514,0.03571428571428571,0.08108108108108109,0.5083333333333333,0.6557377049180327,0.7692307692307693,0.3333333333333333,0.7272727272727273,0.625,0.5583333333333333,0.5407279166666666,0.5023,0.11235955056179775,7.693859649122807,245.0,15.0,13.0,17.0,4.0,,2.0,1.0,6.0,30.0,86.0,3.0,2.0,,25.0,7.0,32.0,3.0,14.0,71.0,1.0,14.0,11.0,15.0,28.0,7.0,11.0,30.0,9.0,2.0,11.0,245.0,3.0,0.6825396825396826,0.7049180327868853,1.0,0.16666666666666666,0.16666666666666666,0.05,0.022727272727272728,0.75,0.10833333333333334,0.425,0.425,0.6470588235294118,0.03333333333333333,0.016666666666666666,,,,0.46875,,0.5529703125,23.366666666666664,0.30510585305105853,9.0,6.0,1.0,1.0,1.0,49.0,8.0,18.0,2.0,17.0,53.0,12.0,4.0,5.0,6.0,4.0,6.0,3.0,3.0,13.0,4.0,6.0,2.0,7.0,4.0,2.0,2.0,5.0,63.0,7.0,30.0,6.0,2.0,2.0,4.0,3.0,6.0,53.0,0.6,0.5625,0.6162790697674418,0.10526315789473684,0.14754098360655737,0.23076923076923078,0.4642857142857143,0.15789473684210525,0.09375,0.06666666666666667,0.045871559633027525,0.008547008547008548,0.09090909090909091,0.1388888888888889,0.13414634146341464,0.10416666666666667,0.0625,0.5454545454545454,0.46153846153846156,0.6,0.3333333333333333,0.25,0.25,1.0,0.6,0.6,0.03125,0.03125,0.2097902097902098,0.21897810218978103,0.29775280898876405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2447,1610612751,Tamar Slay,Tamar Slay,2447,NJN,185.0,3,-5,7,8,8,3,15,,,,,1.0,,1.0,,11,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,0.5,,,0.5,0.45362500000000006,,,19.7,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
87,1610612751,Dikembe Mutombo,Dikembe Mutombo,87,NJN,30883.0,515,100,998,1002,204,125,2000,29.0,67.0,14.0,30.0,10.0,49.0,131.0,138.0,960,17.0,37.0,44.0,50.0,26.0,49.0,81.0,99.0,54.0,153.0,0.37404580152671757,0.4594594594594595,0.37404580152671757,0.4594594594594595,0.4394904458598726,0.5,16.536796536796537,0.1888111888111888,0.12468193384223919,0.18860510805500982,0.11416490486257928,0.11711711711711711,0.16535433070866143,0.5114503816793893,0.43283582089552236,0.5576923076923077,0.07633587786259542,0.8108108108108109,0.4666666666666667,0.5114503816793893,0.4767839694656489,0.4967029411764705,0.3188405797101449,4.648091603053436,293.0,19.0,54.0,1.0,,,,,,35.0,48.0,,,,12.0,7.0,19.0,6.0,6.0,45.0,5.0,4.0,3.0,22.0,34.0,12.0,28.0,54.0,37.0,,37.0,293.0,3.0,0.4897959183673469,0.6666666666666666,,,,,0.07575757575757576,0.5172413793103449,0.4122137404580153,0.1,0.1,,,,,,,0.5428571428571428,,0.4527628571428572,,0.2935871743486974,9.0,19.0,,,,40.0,10.0,14.0,,22.0,50.0,16.0,1.0,,6.0,5.0,15.0,3.0,1.0,12.0,,6.0,2.0,6.0,6.0,7.0,6.0,7.0,55.0,3.0,16.0,13.0,,,36.0,1.0,24.0,50.0,0.4,0.4,0.5,0.12213740458015267,0.22388059701492538,0.018518518518518517,0.35294117647058826,0.13636363636363635,0.1875,0.0625,0.14814814814814814,0.10884353741496598,0.05172413793103448,0.2376237623762376,0.1791044776119403,0.22033898305084745,0.09523809523809523,0.6486486486486487,0.35185185185185186,0.3584905660377358,0.47368421052631576,,,,0.14285714285714285,0.47368421052631576,,,0.1111111111111111,0.1111111111111111,0.36231884057971014,,,,1.0,3.0,10.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2243,1610612751,Brian Scalabrine,Brian Scalabrine,2243,NJN,727.0,12,-5,25,24,5,1,49,,,,,,,,2.0,23,,,,,,,1.0,2.0,,2.0,,,,,0.5,,7.692307692307692,0.16666666666666666,,0.08333333333333333,,,1.0,,,,,,,1.0,0.6108,,,,5.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,23.2,0.2,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2030,1610612751,Kenyon Martin,Kenyon Martin,2030,NJN,24453.0,408,94,794,798,146,94,1592,41.0,63.0,5.0,9.0,49.0,75.0,161.0,180.0,751,7.0,16.0,18.0,46.0,6.0,9.0,47.0,64.0,11.0,75.0,0.4658385093167702,0.4375,0.4789156626506024,0.5,0.4864864864864865,0.47368421052631576,22.950819672131146,0.13864306784660768,0.028846153846153848,0.1475826972010178,0.03021978021978022,0.021739130434782608,0.13725490196078433,0.3795180722891566,0.6507936507936508,0.7592592592592593,0.29518072289156627,0.5294117647058824,0.5555555555555556,0.40963855421686746,0.48207891566265065,0.46064285714285713,0.1,8.290062111801243,214.0,17.0,49.0,16.0,1.0,2.0,4.0,3.0,5.0,35.0,104.0,9.0,4.0,2.0,18.0,4.0,22.0,4.0,11.0,48.0,2.0,14.0,7.0,15.0,25.0,5.0,14.0,45.0,8.0,1.0,8.0,214.0,2.0,0.6933333333333334,0.7222222222222222,1.0,0.6,0.6,0.030120481927710843,0.02666666666666667,0.8048780487804879,0.29518072289156627,0.32653061224489793,0.3333333333333333,0.5,0.006024096385542169,0.024096385542168676,0.5,0.5,1.0,0.4594594594594595,0.5,0.5300378378378379,25.14,0.2695214105793451,12.0,18.0,1.0,,2.0,21.0,1.0,20.0,2.0,7.0,50.0,13.0,,3.0,4.0,2.0,11.0,6.0,7.0,10.0,3.0,6.0,2.0,4.0,5.0,2.0,1.0,5.0,39.0,1.0,18.0,2.0,,,5.0,2.0,5.0,50.0,0.5714285714285714,0.581081081081081,0.5681818181818182,0.08074534161490683,0.14285714285714285,0.061224489795918366,0.4,0.46153846153846156,0.2037037037037037,0.038461538461538464,0.046296296296296294,0.017857142857142856,0.05128205128205128,0.12941176470588237,0.14473684210526316,0.175,0.2857142857142857,0.625,0.3673469387755102,0.391304347826087,0.6111111111111112,1.0,1.0,1.0,0.2,0.7058823529411765,,0.05405405405405406,0.09836065573770492,0.10112359550561797,0.2777777777777778,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.02040816326530612,0.058823529411764705,1.0,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,
446,1610612751,Lucious Harris,Lucious Harris,446,NJN,7512.0,125,26,233,237,81,35,470,4.0,6.0,1.0,1.0,20.0,12.0,27.0,51.0,236,2.0,4.0,6.0,10.0,2.0,2.0,6.0,7.0,2.0,9.0,0.4444444444444444,0.5,0.5,0.5,0.5681818181818182,0.6,16.78571428571429,0.05263157894736842,0.021505376344086023,0.051094890510948905,0.01694915254237288,,0.07407407407407407,0.16666666666666666,0.6666666666666666,0.8,0.5555555555555556,0.25,1.0,0.4166666666666667,0.476475,0.43275,0.11764705882352941,14.28888888888889,102.0,4.0,1.0,8.0,5.0,2.0,4.0,4.0,9.0,12.0,14.0,9.0,4.0,2.0,5.0,3.0,8.0,1.0,3.0,19.0,,2.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,102.0,,0.5833333333333334,0.6363636363636364,0.75,0.4444444444444444,0.4444444444444444,0.25,,0.25,0.027777777777777776,0.4,0.42105263157894735,0.75,0.1388888888888889,0.1111111111111111,0.5,0.5,0.5,0.26666666666666666,0.5,0.49173000000000006,24.2,0.43776824034334766,3.0,,2.0,3.0,,15.0,2.0,5.0,3.0,12.0,25.0,3.0,2.0,1.0,1.0,,1.0,,,2.0,,2.0,1.0,,,1.0,,,17.0,,2.0,6.0,,,,,,25.0,0.4166666666666667,0.43333333333333335,0.5681818181818182,0.1111111111111111,0.16666666666666666,1.0,0.6666666666666666,,0.043478260869565216,,0.02857142857142857,0.03333333333333333,,,0.06896551724137931,0.05555555555555555,,,,,,0.4,0.4,1.0,,0.75,0.2,,0.05263157894736842,0.06896551724137931,0.49019607843137253,,,,,,,,,,,,1.0,,,0.3333333333333333,0.05,,,,,1.0,3.0,1.0,0.3333333333333333,,,,,,,,,,True,,,,,,,
915,1610612751,Rodney Rogers,Rodney Rogers,915,NJN,8752.0,146,26,268,273,62,43,541,10.0,23.0,4.0,9.0,9.0,14.0,40.0,59.0,275,4.0,10.0,16.0,4.0,2.0,8.0,17.0,22.0,10.0,32.0,0.35,0.4,0.40350877192982454,0.4,0.4609375,0.5714285714285714,22.25705329153605,0.13821138211382114,0.07079646017699115,0.1342281879194631,0.06338028169014084,0.03225806451612903,0.125,0.40350877192982454,0.43478260869565216,0.5263157894736842,0.15789473684210525,0.9,0.4444444444444444,0.7017543859649122,0.5133464912280702,0.5654444444444444,0.2711864406779661,5.74,82.0,10.0,8.0,2.0,3.0,5.0,14.0,6.0,17.0,14.0,24.0,18.0,14.0,5.0,6.0,2.0,8.0,2.0,6.0,18.0,2.0,7.0,6.0,,7.0,2.0,11.0,23.0,3.0,1.0,3.0,82.0,3.0,0.8571428571428571,0.9230769230769231,1.0,0.35294117647058826,0.35294117647058826,0.2982456140350877,0.06451612903225806,0.9,0.14035087719298245,0.2222222222222222,0.2222222222222222,1.0,0.05263157894736842,0.24561403508771928,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.35714285714285715,0.5289842105263157,24.758823529411764,0.30597014925373134,4.0,2.0,1.0,,5.0,13.0,8.0,5.0,5.0,4.0,17.0,6.0,,,,1.0,3.0,2.0,1.0,7.0,,6.0,,1.0,,,3.0,,14.0,,6.0,1.0,,,1.0,1.0,2.0,17.0,0.35714285714285715,0.34210526315789475,0.40476190476190477,0.15,0.17391304347826086,0.25,1.0,0.25,0.11538461538461539,0.034482758620689655,0.07142857142857142,0.1,,0.16129032258064516,0.13333333333333333,0.11764705882352941,0.1111111111111111,0.6666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.75,0.4,,0.2631578947368421,0.09523809523809523,0.13043478260869565,0.288135593220339,,,,,,,0.14285714285714285,,,1.0,,1.0,1.0,,0.2,,,,,0.2,,,,,1.0,0.09090909090909091,,,,,,,,True,,,,,,,
467,1610612751,Jason Kidd,Jason Kidd,467,NJN,29441.0,491,97,955,958,187,118,1913,25.0,47.0,2.0,8.0,67.0,69.0,145.0,248.0,914,3.0,16.0,9.0,90.0,2.0,15.0,63.0,78.0,18.0,96.0,0.47586206896551725,0.1875,0.49748743718592964,0.225,0.545662100456621,0.225,23.662737987307345,0.15517241379310345,0.03978779840848806,0.15289256198347106,0.039735099337748346,0.037383177570093455,0.09243697478991597,0.23618090452261306,0.5319148936170213,0.5813953488372093,0.33668341708542715,0.4,0.25,0.507537688442211,0.5046010152284264,0.5171710526315789,0.036290322580645164,10.489655172413793,284.0,15.0,31.0,31.0,12.0,17.0,42.0,20.0,54.0,39.0,48.0,51.0,41.0,17.0,102.0,18.0,120.0,13.0,68.0,258.0,5.0,26.0,14.0,14.0,42.0,18.0,6.0,25.0,1.0,,2.0,284.0,2.0,0.34782608695652173,0.35294117647058826,0.85,0.37037037037037035,0.37735849056603776,0.271356783919598,0.04950495049504951,0.48,0.15577889447236182,0.4626865671641791,0.4626865671641791,0.25806451612903225,0.06030150753768844,0.21105527638190955,0.40476190476190477,0.40476190476190477,0.8823529411764706,0.2542372881355932,0.4146341463414634,0.5029289473684211,25.48888888888889,0.2973821989528796,9.0,13.0,3.0,1.0,19.0,50.0,,20.0,20.0,24.0,82.0,6.0,5.0,14.0,20.0,3.0,11.0,4.0,12.0,28.0,7.0,18.0,2.0,10.0,1.0,4.0,1.0,2.0,55.0,3.0,15.0,8.0,1.0,1.0,1.0,,1.0,82.0,0.5128205128205128,0.4915254237288136,0.5652173913043478,0.041379310344827586,0.0851063829787234,0.06451612903225806,0.6666666666666666,0.18181818181818182,0.14102564102564102,0.039473684210526314,0.03937007874015748,0.04195804195804196,0.03636363636363636,0.16,0.1925133689839572,0.1724137931034483,0.05,0.5,0.41935483870967744,0.4482758620689655,0.3076923076923077,0.25,0.25,0.6666666666666666,0.5,0.6,0.01694915254237288,0.3220338983050847,0.07582938388625593,0.09554140127388536,0.33064516129032256,3.0,4.0,0.15,,,,0.047619047619047616,,1.0,6.0,1.0,6.0,,0.25,0.3,,0.05,,,0.3157894736842105,,9.0,11.0,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.018518518518518517,True,,,,,,,
