EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,SecondChanceTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,OffensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Corner3FGA,FG3A,DefThreePtRebounds,NonShootingPenaltyNonTakeFouls,FG3APct,AtRimPctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Avg3ptShotDistance,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,Steals,BadPassSteals,BadPassTurnovers,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,Arc3Frequency,PenaltyArc3Frequency,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGA,FG3M,PtsAssisted3s,FTDefRebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LostBallSteals,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,FTOffRebounds,OffFTReboundPct,on,PenaltyCorner3FGM,Arc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,PenaltyFg3Pct,LongMidRangePctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,3SecondViolations,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,Technical Free Throw Trips,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,Corner3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes
1032,1610612737,Darvin Ham,Darvin Ham,1032,ATL,662.0,11,5.0,23,23,15.0,9,3.0,46,2.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,23,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.625,0.3333333333333333,23.07692307692308,0.5,0.1538461538461538,0.1428571428571428,0.1538461538461538,0.1111111111111111,0.25,0.1428571428571428,0.3333333333333333,0.5,1.0,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,0.565975,0.5635666666666667,0.25,0.25,0.4,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,1610612737,Mikki Moore,Mikki Moore,1630,ATL,1858.0,31,-3.0,62,62,23.0,34,7.0,124,2.0,4.0,1.0,2.0,5.0,12.0,8.0,18.0,71,2.0,5.0,10.0,8.0,4.0,2.0,2.0,5.0,7.0,2.0,,1.0,2.0,,2.0,,1.0,1.0,10.0,,4.0,10.0,23.0,0.8,1.0,0.4166666666666667,0.4,0.4166666666666667,0.4,0.5294117647058824,0.5555555555555556,27.142857142857142,,0.0714285714285714,0.2,0.064516129032258,0.2083333333333333,0.2857142857142857,,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.4,0.5,0.3333333333333333,0.491475,0.50426,0.25,0.25,0.5555555555555556,0.3709677419354839,1.0,1.0,1.0,3.0,7.0,1.0,1.0,4.0,6.0,6.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0833333333333333,1.0,0.25,0.2,0.3333333333333333,0.2857142857142857,0.0833333333333333,0.5833333333333334,0.4285714285714285,0.4285714285714285,1.0,1.0,1.0,0.7045,0.3333333333333333,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1610612737,Ira Newble,Ira Newble,1956,ATL,1846.0,31,-4.0,61,62,23.0,34,7.0,123,3.0,4.0,2.0,3.0,3.0,6.0,4.0,10.0,71,2.0,3.0,5.0,6.0,,3.0,5.0,,5.0,,,,,,,,5.0,8.0,5.0,1.0,3.0,5.0,23.0,1.0,1.0,0.5,0.6666666666666666,0.4285714285714285,0.6666666666666666,0.5555555555555556,0.8333333333333334,13.043478260869566,,0.1071428571428571,,0.1612903225806451,,,0.1666666666666666,,,0.5714285714285714,0.75,1.0,1.0,1.0,0.6666666666666666,0.7142857142857143,0.5168928571428572,0.5806,0.3333333333333333,0.375,0.5,0.3770491803278688,,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,0.1666666666666666,,,,,0.1428571428571428,0.1428571428571428,0.1428571428571428,,,,1.0,,0.4677,,4.283333333333334,1.0,1.0,2.0,3.0,0.1428571428571428,0.25,0.6666666666666666,0.5,1.0,0.1428571428571428,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1610612737,Jermaine Jackson,Jermaine Jackson,1983,ATL,1702.0,28,,56,56,23.0,28,7.0,112,4.0,4.0,,,7.0,10.0,3.0,17.0,64,1.0,3.0,4.0,8.0,,2.0,2.0,,2.0,,1.0,,1.0,,2.0,,,,5.0,1.0,2.0,4.0,23.0,0.5714285714285714,0.5714285714285714,0.7,0.3333333333333333,0.6363636363636364,0.25,0.6538461538461539,0.4,23.4375,0.5,0.08,,0.0714285714285714,,,0.0833333333333333,0.1428571428571428,,0.3636363636363636,1.0,1.0,0.5,,,0.4545454545454545,0.49451,0.3617666666666666,0.1666666666666666,0.1818181818181818,0.2352941176470588,0.4107142857142857,,,,3.0,6.0,1.0,1.0,,2.0,2.0,6.0,,,1.0,1.0,1.0,,2.0,,,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,,,0.5454545454545454,0.5,0.5,0.6666666666666666,,,,0.1176470588235294,11.4,,1.0,,,0.0909090909090909,,,,,,60.8,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.5,0.0909090909090909,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,1610612737,Dan Dickau,Dan Dickau,2424,ATL,1536.0,26,4.0,50,49,17.0,24,7.0,99,,2.0,,2.0,3.0,5.0,,9.0,54,1.0,3.0,2.0,,,1.0,2.0,,2.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,2.0,17.0,,,0.6,0.3333333333333333,0.5625,0.25,0.5625,0.25,15.517241379310343,1.0,0.0454545454545454,,0.04,,,0.0909090909090909,,,0.25,,,,0.5,,0.625,0.522325,0.55335,,,0.2222222222222222,0.34,,,1.0,2.0,2.0,,,,,,6.0,,1.0,4.0,4.0,2.0,2.0,8.0,,,,,,,,,,,0.2,,,,,,0.125,0.25,1.0,1.0,,,,,,9.82,3.0,3.0,,,0.375,0.5,,,,0.375,23.4,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1610612737,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,ATL,116.0,2,-1.0,5,4,4.0,2,,9,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,322.0,5,-7.0,12,13,6.0,10,,25,,,,,2.0,3.0,2.0,6.0,17,,,2.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,2.0,,1.0,2.0,6.0,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.75,1.0,50.0,0.5,0.1666666666666666,,0.1666666666666666,,,,0.3333333333333333,,,,,,,,,0.4196333333333333,,0.25,0.25,0.3333333333333333,0.5,,,1.0,1.0,2.0,,,,,2.0,2.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,,,,15.466666666666669,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1610612737,Dion Glover,Dion Glover,1901,ATL,547.0,9,-5.0,19,20,2.0,8,2.0,39,,,,,,,,3.0,24,,,,,,3.0,3.0,,3.0,,,,,,,,,,,,,,2.0,,,,,0.75,,0.75,,9.523809523809524,,0.3333333333333333,,0.3333333333333333,,,,0.5,,,,,,,,1.0,0.6012,,,,,0.1052631578947368,,,,,,,,,3.0,,,,,3.0,4.0,1.0,2.0,9.0,,,,,,,,,1.5,1.5,,,,,,0.3333333333333333,,,,,,,,0.69075,1.0,,1.0,2.0,,,1.0,,,,,0.5,24.35,1.0,,,,1.0,,,,,,0.5,,,1.0,,1.0,,,,0.5,0.5,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,1610612737,Theo Ratliff,Theo Ratliff,689,ATL,156.0,3,-3.0,6,6,,6,,12,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,545.0,9,-1.0,16,15,2.0,15,2.0,31,,,,,,2.0,,,16,,,,,,2.0,3.0,1.0,4.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,15.789473684210526,1.0,0.4,,0.375,,,0.3333333333333333,1.0,,,,,,,,,0.39745,,,,,0.125,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,15.45,,,1.0,,,,0.3333333333333333,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
