EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,AtRimPctBlocked,LiveBallTurnoverPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,Corner3Assists,Technical Free Throw Trips,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceTurnovers,Offensive Fouls,DefensiveGoaltends,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,on,BlockedLongMidRange,HeaveMakes,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3PctAssisted,Clear Path Fouls,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedCorner3,OffensiveGoaltends
1073,1610612750,Reggie Slater,Reggie Slater,1073,MIN,1921.0,32,-11,74,75,63,62,10,149,7.0,8,1.0,1.0,7.0,8.0,1.0,4.0,1,8,13,10.0,26,73,1.0,1.0,4.0,6.0,8,12,9.0,25,12.0,4.0,1.0,4.0,1.0,2.0,2,1.0,5,5.0,10,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,18.0,8.0,1.0,25,63,1.0,0.75,0.75,0.6153846153846154,1.0,0.6666666666666666,0.6153846153846154,1.0,0.6666666666666666,0.5909090909090909,0.5,0.625,0.07692307692307693,0.25,27.906976744186046,0.5,0.125,0.08333333333333333,0.13333333333333333,0.2857142857142857,0.12903225806451613,0.125,0.1,0.16666666666666666,0.14285714285714285,0.125,0.3333333333333333,0.16666666666666666,1.0,0.5,0.6153846153846154,0.875,0.875,0.8571428571428571,0.3076923076923077,0.25,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,0.6666666666666666,0.875,0.6153846153846154,0.5097076923076923,0.4848,0.52125,0.38095238095238093,0.38095238095238093,0.23076923076923078,0.9615384615384616,3.607692307692308,0.8513513513513513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1531,1610612750,Marc Jackson,Marc Jackson,1531,MIN,7528.0,125,52,246,246,100,96,24,492,8.0,15,3.0,5.0,4.0,7.0,4.0,9.0,18,16,42,10.0,42,205,3.0,6.0,,6.0,5,12,4.0,14,26.0,6.0,1.0,6.0,,1.0,12,1.0,14,6.0,20,1.0,8.0,5.0,3.0,3.0,1.0,6.0,2.0,5.0,10.0,17.0,9.0,,14,100,,0.8125,1.0,0.38095238095238093,0.5,0.4166666666666667,0.38095238095238093,0.5,0.4166666666666667,0.42,0.5,0.4666666666666667,0.023809523809523808,,20.588235294117645,0.14285714285714285,,0.11320754716981132,0.06976744186046512,0.05555555555555555,0.10483870967741936,0.06521739130434782,0.15789473684210525,,0.057692307692307696,0.05714285714285714,0.16666666666666666,0.08333333333333333,,0.04,0.35714285714285715,0.5333333333333333,0.5714285714285714,0.625,0.21428571428571427,0.4444444444444444,0.4444444444444444,0.42857142857142855,0.8333333333333334,0.6,,0.5833333333333334,0.5714285714285714,0.35714285714285715,0.45033571428571423,0.5304666666666668,0.50765,0.18,0.18,0.14285714285714285,0.3333333333333333,9.135714285714286,0.4065040650406504,4.0,6.0,7.0,7.0,1.0,2.0,4.0,14.0,3.0,2.0,1.0,1.0,2.0,1.0,6.0,6.0,6.0,4.0,1.0,0.06666666666666667,0.5,0.12195121951219512,0.6666666666666666,1.0,0.2222222222222222,0.2222222222222222,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,1304.0,22,2,51,51,39,35,7,102,1.0,2,,,1.0,2.0,,,6,2,8,2.0,6,41,,,,,2,5,1.0,5,,4.0,,,,,3,,3,,3,,2.0,2.0,,1.0,,4.0,4.0,,,2.0,,,5,39,,,,0.25,,0.4,0.2222222222222222,,0.3333333333333333,0.2222222222222222,,0.3333333333333333,,,22.413793103448278,,,0.16666666666666666,,,0.13636363636363635,,,,,,,,,,0.2222222222222222,0.5,0.5,,,,,0.6666666666666666,,,,0.3333333333333333,0.5,0.3333333333333333,0.42795000000000005,,0.49446,,,,0.8333333333333334,14.850000000000001,0.7647058823529411,1.0,,1.0,3.0,1.0,,,8.0,3.0,3.0,1.0,,,,,,,,,,0.75,0.25,,,0.16666666666666666,0.16666666666666666,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2080,1610612750,Igor Rakocevic,Igor Rakocevic,2080,MIN,14397.0,240,48,483,484,244,229,46,967,9.0,17,,1.0,7.0,13.0,3.0,5.0,24,17,46,29.0,78,449,,2.0,2.0,5.0,11,25,13.0,47,16.0,18.0,5.0,2.0,,4.0,9,,13,4.0,17,2.0,4.0,2.0,2.0,9.0,2.0,23.0,10.0,6.0,25.0,36.0,13.0,6.0,47,244,3.0,0.47058823529411764,0.47058823529411764,0.3695652173913043,,0.44,0.4224137931034483,0.5,0.5151515151515151,0.52,0.5,0.573170731707317,0.10869565217391304,0.2,18.164794007490638,,,0.0481283422459893,0.012048192771084338,0.09302325581395349,0.05652173913043478,0.02127659574468085,,,0.023529411764705882,0.04918032786885246,0.019230769230769232,0.0967741935483871,0.08333333333333333,0.06666666666666667,0.29310344827586204,0.5294117647058824,0.6428571428571429,0.3333333333333333,0.08620689655172414,0.6,0.75,0.41379310344827586,0.3333333333333333,,,0.3939393939393939,0.5384615384615384,0.5,0.4788310344827584,0.5311666666666667,0.4932833333333333,0.18840579710144928,0.22807017543859648,0.0641025641025641,0.6025641025641025,10.310869565217393,0.505175983436853,5.0,,30.0,33.0,18.0,1.0,11.0,69.0,14.0,11.0,2.0,3.0,,2.0,,,,,,0.17647058823529413,0.6086956521739131,0.06756756756756757,,0.3333333333333333,0.20833333333333334,0.21739130434782608,0.8,9.0,6.0,12.0,8.0,9.0,3.0,2.0,1.0,,0.20689655172413793,0.15517241379310345,0.18181818181818182,25.458333333333332,1.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,1.0,4.0,12.0,3.0,4.0,2.0,3.0,0.8,0.4166666666666667,1.0,0.5,0.4166666666666667,0.041666666666666664,0.09090909090909091,0.0625,0.16666666666666666,0.05172413793103448,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,0.4444444444444444,0.75,0.3333333333333333,1.0,1.0,0.06060606060606061,0.5,0.5,0.4444444444444444,,,,,,,,,,,True,,,,,,,,,,,,,,
383,1610612750,Kendall Gill,Kendall Gill,383,MIN,7817.0,130,41,265,267,123,126,27,532,7.0,14,1.0,3.0,4.0,8.0,3.0,5.0,23,19,42,7.0,51,242,1.0,6.0,1.0,3.0,9,18,6.0,27,30.0,8.0,,2.0,,4.0,9,,13,2.0,15,1.0,8.0,4.0,4.0,3.0,,8.0,5.0,5.0,14.0,12.0,6.0,,27,123,3.0,0.7894736842105263,0.7894736842105263,0.4523809523809524,0.16666666666666666,0.5,0.44,0.16666666666666666,0.4772727272727273,0.45535714285714285,0.21428571428571427,0.5192307692307693,,,21.694915254237287,,,0.08737864077669903,0.022988505747126436,0.2,0.10569105691056911,0.019230769230769232,,,0.05128205128205128,0.02631578947368421,0.08,0.21428571428571427,0.16666666666666666,0.034482758620689655,0.28,0.5,0.5,0.5714285714285714,0.1,0.6,0.6,0.46,0.5,0.3333333333333333,1.0,0.36363636363636365,0.5,0.44,0.4818839999999999,0.4892166666666667,0.48952954545454547,0.10714285714285714,0.125,0.058823529411764705,0.5294117647058824,11.261904761904763,0.4641509433962264,9.0,,9.0,11.0,1.0,3.0,5.0,24.0,5.0,3.0,1.0,2.0,3.0,,1.0,1.0,1.0,1.0,,,0.625,0.15,1.0,1.0,0.391304347826087,0.391304347826087,0.8888888888888888,4.0,4.0,8.0,4.0,4.0,2.0,,2.0,,0.16,0.08,0.18181818181818182,24.474999999999998,1.0,4.0,,,,,1.0,1.0,2.0,,,1.0,6.0,,1.0,,,1.0,0.25,,0.25,0.25,,,,,0.08,0.25,0.25,1.0,0.25,0.25,1.0,,,,,,0.25,0.25,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,
2254,1610612750,Loren Woods,Loren Woods,2254,MIN,2028.0,34,8,72,75,62,57,5,147,2.0,3,,,2.0,3.0,1.0,3.0,3,3,9,2.0,8,59,,1.0,,,3,9,2.0,8,4.0,2.0,,,1.0,,6,3.0,9,1.0,10,,2.0,2.0,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,8,62,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.4,,0.4,,,13.924050632911392,0.6,0.3333333333333333,0.17142857142857143,,,0.14634146341463414,,,,,0.1111111111111111,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4677777777777778,0.361,0.4677777777777778,0.1111111111111111,0.1111111111111111,,1.0,8.855555555555554,0.8611111111111112,,,2.0,2.0,2.0,,,4.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,1.0,,,1.0,0.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,7944.0,132,-14,259,264,135,113,21,523,,1,,,,1.0,,2.0,20,12,23,5.0,50,273,1.0,3.0,,2.0,4,12,5.0,28,20.0,4.0,,2.0,,3.0,9,,12,3.0,15,,4.0,2.0,2.0,2.0,,7.0,3.0,7.0,11.0,7.0,2.0,1.0,28,135,1.0,0.8333333333333334,0.8333333333333334,0.5217391304347826,0.3333333333333333,0.3333333333333333,0.6428571428571429,0.3333333333333333,0.5476190476190477,0.6447368421052632,0.3333333333333333,0.5625,,,16.071428571428573,,,0.0891089108910891,0.02247191011235955,0.10714285714285714,0.09302325581395349,0.03,,,0.04081632653061224,0.03571428571428571,0.05714285714285714,0.1,0.125,,0.02857142857142857,,,,0.05714285714285714,,,0.5714285714285714,,,,0.047619047619047616,,0.37142857142857144,0.4353542857142858,0.3676,0.4377809523809524,0.05405405405405406,0.08,0.04,0.56,16.821739130434786,0.5212355212355212,12.0,,16.0,16.0,4.0,9.0,3.0,32.0,5.0,3.0,2.0,2.0,,,1.0,,1.0,,,,0.7142857142857143,0.15789473684210525,,,0.6,0.6,0.8333333333333334,10.0,7.0,12.0,9.0,10.0,,,,1.0,0.34285714285714286,0.2857142857142857,0.3333333333333333,25.433333333333334,2.0,2.0,,,2.0,2.0,5.0,3.0,7.0,,,5.0,21.0,,5.0,1.0,,1.0,0.5833333333333334,,0.5555555555555556,0.5833333333333334,,0.09090909090909091,,0.5,0.05714285714285714,1.0,1.0,1.0,0.5,0.5,1.0,,,,0.09523809523809523,1.0,0.42857142857142855,0.5,,,,1.0,,,,,,,True,,,,,,,,,,,,,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,6475.0,108,15,225,225,105,112,16,450,11.0,11,3.0,3.0,4.0,4.0,10.0,18.0,9,24,38,10.0,58,218,3.0,4.0,2.0,8.0,9,14,1.0,19,26.0,22.0,2.0,3.0,1.0,1.0,14,4.0,19,5.0,24,,3.0,3.0,,5.0,,9.0,5.0,7.0,13.0,17.0,9.0,1.0,19,105,1.0,0.5416666666666666,0.6190476190476191,0.631578947368421,0.75,0.6428571428571429,0.6153846153846154,0.75,0.6,0.6304347826086957,0.8,0.5277777777777778,0.05263157894736842,0.1111111111111111,22.727272727272727,0.4444444444444444,0.07692307692307693,0.17073170731707318,0.046875,0.08333333333333333,0.1595744680851064,0.05555555555555555,0.07692307692307693,,0.05555555555555555,0.125,0.15,0.1111111111111111,,,0.28205128205128205,1.0,1.0,0.5454545454545454,0.46153846153846156,0.5555555555555556,0.625,0.23076923076923078,0.75,1.0,,0.26666666666666666,1.0,0.3076923076923077,0.42663717948717955,0.5106666666666667,0.41611666666666663,0.2,0.20454545454545456,0.13793103448275862,0.3275862068965517,7.955263157894737,0.4666666666666667,3.0,6.0,8.0,10.0,,2.0,6.0,22.0,4.0,2.0,1.0,2.0,,3.0,3.0,3.0,3.0,1.0,,,0.4444444444444444,0.21052631578947367,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,0.02564102564102564,0.02564102564102564,0.06666666666666667,26.8,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.125,,0.5,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,True,,,,,,,,,,,,,,
393,1610612750,Rod Strickland,Rod Strickland,393,MIN,1574.0,26,17,58,57,42,41,6,115,2.0,3,,,2.0,3.0,,,3,3,6,4.0,10,45,,,,,3,5,4.0,10,4.0,2.0,,,,,2,,2,,2,,1.0,1.0,,2.0,,3.0,2.0,,1.0,4.0,1.0,1.0,10,42,,0.6666666666666666,0.6666666666666666,0.5,,0.6,0.5,,0.6,0.625,,0.7142857142857143,,,16.666666666666664,,,0.10526315789473684,,,0.08333333333333333,,,,,0.125,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,0.5,,,,0.6,0.6666666666666666,0.5,0.5325333333333333,,0.5606199999999999,0.14285714285714285,0.14285714285714285,,1.0,8.899999999999999,0.7241379310344828,1.0,,7.0,7.0,3.0,1.0,3.0,14.0,1.0,1.0,2.0,,,,,,,,,,0.3333333333333333,0.14285714285714285,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1725,1610612750,Rasho Nesterovic,Rasho Nesterovic,1725,MIN,3754.0,63,2,117,120,53,49,14,237,4.0,5,1.0,1.0,3.0,4.0,3.0,7.0,2,8,14,,16,119,2.0,3.0,,4.0,3,6,,6,12.0,4.0,1.0,4.0,,1.0,5,2.0,8,4.0,12,,1.0,,1.0,1.0,1.0,2.0,,4.0,5.0,,,,6,53,1.0,0.75,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.5,0.07142857142857142,,12.030075187969924,0.2,,0.12195121951219512,0.0851063829787234,0.06666666666666667,0.10714285714285714,0.07692307692307693,0.18181818181818182,0.07692307692307693,0.043478260869565216,0.06666666666666667,0.07142857142857142,0.1,,,0.35714285714285715,0.8,1.0,0.75,0.5,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.3333333333333333,1.0,,0.6666666666666666,0.75,0.35714285714285715,0.4598499999999999,0.49616666666666664,0.5184833333333333,,,0.25,0.375,6.978571428571428,0.452991452991453,1.0,2.0,3.0,4.0,2.0,,1.0,9.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,,0.2,0.5,0.25,0.5,0.6666666666666666,0.5,0.5,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
