EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,DefensiveGoaltends,on,OffensiveGoaltends,BlockedCorner3
1542,1610612760,Predrag Drobnjak,Predrag Drobnjak,1542,SEA,57930.0,966,-38.0,1745,1746,260.0,289.0,250.0,3491,47.0,81.0,17.0,23.0,8.0,16.0,40.0,104.0,81.0,198.0,4.0,15.0,1.0,1.0,1.0,5.0,17.0,48.0,3.0,7.0,4.0,10.0,168.0,383.0,21.0,63.0,45.0,444.0,1870,28.0,50.0,4.0,8.0,14.0,82.0,16.0,43.0,5.0,15.0,17.0,64.0,246.0,90.0,63.0,20.0,48.0,17.0,25.0,33.0,15.0,48.0,9.0,6.0,12.0,4.0,17.0,111.0,8.0,35.0,1.0,25.0,62.0,4.0,91.0,44.0,135.0,1.0,23.0,19.0,4.0,14.0,2.0,7.0,18.0,2.0,7.0,8.0,32,4.0,5.0,44.0,87.0,4.0,5.0,55.0,7.0,27.0,4.0,20.0,1.0,1.0,11.0,1.0,8.0,21.0,14.0,5.0,64.0,260.0,6.0,0.7321428571428571,0.7784810126582279,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.4386422976501306,0.56,0.37209302325581395,0.44730941704035876,0.5862068965517241,0.4051724137931034,0.4723404255319149,0.6307692307692307,0.48484848484848486,0.1412556053811659,0.06527415143603134,0.1111111111111111,0.14423076923076922,0.005050505050505051,24.463937621832358,0.4375,0.13333333333333333,0.018867924528301886,0.10163934426229508,0.049575070821529746,0.13440860215053763,0.03669724770642202,0.1092964824120603,0.046536796536796536,0.05421686746987952,0.06097560975609756,0.03741496598639456,0.0440251572327044,0.01694915254237288,0.08387096774193549,0.12371134020618557,0.09578544061302682,0.1259259259259259,0.1568627450980392,0.004329004329004329,0.6666666666666666,0.18161434977578475,0.5802469135802469,0.6527777777777778,0.5531914893617021,0.23318385650224216,0.38461538461538464,0.449438202247191,0.55,0.4439461883408072,0.4090909090909091,0.41116751269035534,0.9259259259259259,0.033632286995515695,0.26666666666666666,0.26666666666666666,1.0,0.10762331838565023,0.3541666666666667,0.3541666666666667,1.0,0.39655172413793105,0.7391304347826086,0.29411764705882354,0.017241379310344827,1.0,1.0,0.1206896551724138,0.42857142857142855,1.0,0.27586206896551724,0.5,0.08620689655172414,0.2,0.1724137931034483,0.4,0.32286995515695066,0.3541666666666667,0.4512043721973094,0.4848714285714285,0.48075086206896545,0.05793991416309013,0.06699751861042183,0.18468468468468469,0.14414414414414414,11.547258485639686,24.893650793650792,0.1489971346704871,,,,,,,,,,,,,True,,
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,SEA,13589.0,226,-12.0,404,418,172.0,187.0,58.0,822,8.0,19.0,,1.0,3.0,7.0,1.0,9.0,14.0,31.0,,,,,,,1.0,1.0,,,1.0,1.0,23.0,59.0,1.0,1.0,13.0,62.0,428,2.0,4.0,,,,4.0,9.0,23.0,1.0,1.0,12.0,33.0,34.0,12.0,3.0,,1.0,1.0,5.0,20.0,15.0,35.0,12.0,3.0,9.0,2.0,9.0,85.0,,1.0,,8.0,9.0,,17.0,1.0,18.0,,9.0,8.0,1.0,3.0,2.0,2.0,7.0,1.0,1.0,,10,,3.0,3.0,19.0,1.0,4.0,16.0,2.0,4.0,5.0,,,,,,,,,,33.0,172.0,2.0,0.7391304347826086,0.7391304347826086,1.0,1.0,,1.0,1.0,0.3898305084745763,0.5,0.391304347826087,0.4083333333333333,0.5,0.4375,0.4626865671641791,0.5,0.532258064516129,0.016666666666666666,0.0847457627118644,0.15789473684210525,0.2222222222222222,,16.348195329087048,0.3,,,0.06521739130434782,0.006711409395973154,0.1509433962264151,,0.08900523560209424,0.005128205128205128,,0.020833333333333332,,,,0.058823529411764705,0.08888888888888889,0.05084745762711865,0.15,0.15384615384615385,,,0.31666666666666665,0.42105263157894735,0.5,0.625,0.15,0.1111111111111111,0.14285714285714285,,0.5166666666666667,0.45161290322580644,0.45161290322580644,0.8571428571428571,,,,,0.016666666666666666,1.0,1.0,1.0,0.25,,,,,,,,,0.2916666666666667,0.42857142857142855,,,0.041666666666666664,1.0,0.3333333333333333,1.0,0.4342858333333333,0.35296666666666665,0.42786875,0.06451612903225806,0.06557377049180328,0.06451612903225806,0.532258064516129,11.208474576271188,26.0,0.42574257425742573,,,,,,,,,,,,,True,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,64564.0,1076,-30.0,1932,1941,345.0,324.0,285.0,3873,56.0,87.0,9.0,16.0,8.0,12.0,77.0,158.0,44.0,112.0,14.0,35.0,4.0,11.0,2.0,5.0,14.0,32.0,2.0,5.0,2.0,5.0,177.0,357.0,28.0,67.0,76.0,514.0,2087,26.0,51.0,6.0,16.0,10.0,80.0,22.0,43.0,4.0,10.0,23.0,79.0,226.0,128.0,84.0,20.0,31.0,14.0,18.0,39.0,13.0,52.0,10.0,3.0,15.0,6.0,18.0,117.0,8.0,35.0,1.0,25.0,71.0,9.0,105.0,44.0,149.0,10.0,39.0,32.0,7.0,23.0,2.0,11.0,22.0,2.0,12.0,5.0,45,4.0,10.0,31.0,67.0,8.0,12.0,96.0,7.0,34.0,13.0,11.0,,,10.0,,1.0,11.0,6.0,,79.0,345.0,3.0,0.6384180790960452,0.6766467065868264,1.0,0.417910447761194,0.375,0.4,0.42424242424242425,0.4957983193277311,0.5098039215686274,0.5116279069767442,0.5165094339622641,0.5223880597014925,0.5283018867924528,0.5473118279569893,0.5555555555555556,0.572463768115942,0.1580188679245283,0.05042016806722689,0.05747126436781609,0.0759493670886076,0.008928571428571428,22.3292469352014,0.5111111111111111,0.23076923076923078,0.014925373134328358,0.10471976401179942,0.04569190600522193,0.1111111111111111,0.03669724770642202,0.10631229235880399,0.04369918699186992,0.05555555555555555,0.04,0.04501607717041801,0.04878048780487805,,0.1130952380952381,0.09565217391304348,0.10714285714285714,0.10059171597633136,0.14285714285714285,0.05025125628140704,0.5454545454545454,0.20518867924528303,0.6436781609195402,0.6829268292682927,0.7321428571428571,0.37264150943396224,0.4873417721518987,0.5273972602739726,0.4935064935064935,0.2641509433962264,0.39285714285714285,0.3963963963963964,0.7727272727272727,0.08254716981132075,0.4,0.4,1.0,0.07547169811320754,0.4375,0.4375,1.0,0.23880597014925373,0.5625,0.3333333333333333,0.16417910447761194,0.36363636363636365,1.0,0.07462686567164178,0.4,1.0,0.22641509433962265,0.6666666666666666,0.09433962264150944,0.4,0.09433962264150944,0.4,0.3632075471698113,0.45161290322580644,0.4585264775413708,0.47516896551724147,0.4664788461538461,0.07743362831858407,0.08854166666666667,0.1556420233463035,0.15369649805447472,9.580112044817929,24.82835820895523,0.17857142857142858,1.0,6.0,1.0,0.014705882352941176,,,,,,,,,True,,
2209,1610612760,Vladimir Radmanovic,Vladimir Radmanovic,2209,SEA,17214.0,287,39.0,528,536,199.0,236.0,74.0,1064,13.0,19.0,4.0,6.0,4.0,5.0,5.0,21.0,5.0,25.0,5.0,12.0,,,2.0,3.0,14.0,36.0,1.0,1.0,6.0,15.0,23.0,65.0,19.0,48.0,7.0,110.0,509,4.0,12.0,1.0,1.0,,11.0,9.0,18.0,8.0,18.0,3.0,45.0,24.0,22.0,51.0,2.0,34.0,14.0,4.0,9.0,5.0,14.0,2.0,3.0,5.0,,4.0,33.0,3.0,7.0,,7.0,31.0,,38.0,10.0,48.0,3.0,11.0,6.0,5.0,13.0,1.0,6.0,8.0,2.0,7.0,,21,2.0,7.0,8.0,18.0,1.0,2.0,10.0,2.0,5.0,1.0,2.0,,,1.0,,1.0,2.0,2.0,,45.0,199.0,1.0,0.5217391304347826,0.5454545454545454,0.8947368421052632,0.3958333333333333,1.0,0.4444444444444444,0.41304347826086957,0.35384615384615387,0.3333333333333333,0.5,0.4557522123893805,0.4230769230769231,0.5833333333333334,0.4700854700854701,0.4230769230769231,0.5921052631578947,0.4247787610619469,0.06153846153846154,0.10526315789473684,0.09523809523809523,,22.4390243902439,0.6190476190476191,,,0.16939890710382513,0.03608247422680412,0.1111111111111111,0.04411764705882353,0.15447154471544716,0.03816793893129771,0.05660377358490566,0.03125,0.025974025974025976,0.0392156862745098,0.058823529411764705,0.12,0.14545454545454545,0.21794871794871795,0.0851063829787234,0.1875,0.047619047619047616,1.0,0.168141592920354,0.6842105263157895,0.7647058823529411,0.6153846153846154,0.18584070796460178,0.23809523809523808,0.2631578947368421,,0.22123893805309736,0.2,0.2,0.8,0.10619469026548672,0.4166666666666667,0.4166666666666667,1.0,0.3185840707964602,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.46153846153846156,0.6666666666666666,0.5,,,,0.07692307692307693,1.0,,0.1388888888888889,0.8,0.08333333333333333,0.6666666666666666,0.4166666666666667,0.4,0.5929203539823009,0.4117647058823529,0.4789763636363634,0.46155,0.47436818181818174,0.04310344827586207,0.07352941176470588,0.1,0.4090909090909091,9.980000000000002,26.11458333333334,0.3768939393939394,2.0,,,,6.0,,,,,,,,True,,
2501,1610612760,Reggie Evans,Reggie Evans,2501,SEA,82155.0,1369,-12.0,2471,2487,531.0,543.0,367.0,4958,51.0,94.0,20.0,43.0,10.0,20.0,6.0,25.0,9.0,21.0,,,,,,,,,,,,,66.0,140.0,,,80.0,212.0,2604,25.0,52.0,,,27.0,77.0,13.0,30.0,,,22.0,48.0,60.0,72.0,,40.0,,,30.0,22.0,12.0,34.0,8.0,4.0,9.0,3.0,10.0,80.0,29.0,131.0,7.0,46.0,213.0,19.0,278.0,167.0,445.0,7.0,38.0,22.0,16.0,13.0,2.0,5.0,39.0,4.0,8.0,7.0,52,11.0,20.0,57.0,173.0,27.0,18.0,154.0,15.0,70.0,15.0,11.0,,,6.0,1.0,4.0,11.0,5.0,4.0,48.0,531.0,20.0,0.45454545454545453,0.6521739130434783,,,,,,0.4714285714285714,0.4807692307692308,0.43333333333333335,0.4714285714285714,0.4807692307692308,0.43333333333333335,0.5047619047619047,0.5202702702702703,0.47058823529411764,,0.21428571428571427,0.24468085106382978,0.28,,8.944482522275532,0.25,0.3958333333333333,0.08139534883720931,0.2437070938215103,0.1317907444668008,0.1597222222222222,0.10247349823321555,0.22289156626506024,0.12529365700861395,0.16956521739130434,0.1329479768786127,0.11004784688995216,0.11904761904761904,0.0547945205479452,0.273972602739726,0.25874125874125875,0.2140921409214092,0.16355140186915887,0.14864864864864866,0.1590909090909091,0.45454545454545453,0.6714285714285714,0.5425531914893617,0.7183098591549296,0.4117647058823529,0.17857142857142858,0.24,0.3333333333333333,0.16666666666666666,0.15,0.42857142857142855,0.42857142857142855,0.8888888888888888,,,,,,,,,0.8269230769230769,0.46511627906976744,,,,,,,,0.6666666666666666,0.5,,,,,0.6714285714285714,,0.4872478571428571,0.5246249999999999,0.4814866666666667,0.358974358974359,0.358974358974359,0.3632075471698113,0.22641509433962265,3.899285714285714,,0.21489275596924323,,,,,,6.0,,,,,,,True,,
2218,1610612760,Joseph Forte,Joseph Forte,2218,SEA,1100.0,18,5.0,34,34,23.0,16.0,6.0,68,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,4.0,,,2.0,4.0,23,,,,,,,,2.0,,,2.0,2.0,2.0,,,,,,,1.0,,1.0,,,,,1.0,2.0,,,,,1.0,,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,3,,2.0,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,2.0,23.0,1.0,1.0,1.0,,,,,,0.25,,,0.25,,,0.4,,0.3333333333333333,,,,,,19.047619047619047,0.6666666666666666,,,0.1,,,,0.0625,,,,,,,,,0.25,,,,,,,,,0.5,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.34132500000000005,,0.3163,,,,0.5,11.325,,0.6764705882352942,,,,,,,,,,,,,True,,
699,1610612760,Brent Barry,Brent Barry,699,SEA,57270.0,954,-19.0,1720,1727,237.0,281.0,244.0,3447,41.0,61.0,3.0,9.0,7.0,9.0,8.0,24.0,10.0,34.0,10.0,18.0,,1.0,3.0,4.0,34.0,107.0,3.0,12.0,6.0,10.0,59.0,119.0,44.0,125.0,44.0,294.0,1837,3.0,13.0,3.0,13.0,,15.0,8.0,13.0,9.0,14.0,10.0,53.0,52.0,66.0,120.0,,107.0,34.0,17.0,126.0,37.0,163.0,27.0,10.0,49.0,28.0,49.0,363.0,6.0,10.0,,21.0,62.0,,83.0,16.0,99.0,3.0,43.0,28.0,15.0,23.0,13.0,15.0,32.0,3.0,8.0,3.0,55,4.0,7.0,39.0,79.0,2.0,12.0,58.0,4.0,23.0,6.0,10.0,,,7.0,1.0,2.0,10.0,6.0,,53.0,237.0,3.0,0.4406779661016949,0.4406779661016949,0.9090909090909091,0.352,0.23076923076923078,0.6428571428571429,0.352,0.4957983193277311,0.23076923076923078,0.6153846153846154,0.5122950819672131,0.28846153846153844,0.7962962962962963,0.5427509293680297,0.28846153846153844,0.828125,0.5122950819672131,0.14285714285714285,0.14754098360655737,0.3333333333333333,,16.111387369467927,0.41818181818181815,,,0.10299003322259136,0.015015015015015015,0.1044776119402985,0.02702702702702703,0.10336239103362391,0.018018018018018018,0.018292682926829267,0.008438818565400843,0.018867924528301886,0.023809523809523808,0.037037037037037035,0.04430379746835443,0.12690355329949238,0.1214574898785425,0.12080536912751678,0.057692307692307696,0.024390243902439025,0.6,0.25,0.6721311475409836,0.7884615384615384,0.43902439024390244,0.09836065573770492,0.3333333333333333,0.5,0.125,0.13934426229508196,0.29411764705882354,0.29411764705882354,0.7,0.07377049180327869,0.5555555555555556,0.5555555555555556,1.0,0.4385245901639344,0.3177570093457944,0.3177570093457944,0.8823529411764706,0.34615384615384615,0.3333333333333333,0.3333333333333333,0.038461538461538464,,,0.46153846153846156,0.25,1.0,0.3333333333333333,0.7777777777777778,0.14814814814814814,0.75,0.37037037037037035,0.6,0.7622950819672131,0.3177570093457944,0.5239187242798353,0.5464194444444445,0.518262962962963,0.08745247148288973,0.16666666666666666,0.05102040816326531,0.18027210884353742,7.629411764705883,25.523200000000003,0.1377906976744186,,4.0,,,12.0,,,,,,,,True,,
951,1610612760,Ray Allen,Ray Allen,951,SEA,41299.0,688,-1.0,1244,1256,256.0,272.0,181.0,2500,30.0,56.0,4.0,11.0,7.0,10.0,42.0,89.0,32.0,69.0,14.0,36.0,1.0,4.0,2.0,7.0,23.0,79.0,2.0,8.0,2.0,14.0,104.0,214.0,37.0,115.0,74.0,393.0,1337,12.0,30.0,3.0,12.0,9.0,42.0,21.0,41.0,4.0,21.0,25.0,79.0,40.0,168.0,105.0,6.0,79.0,23.0,17.0,74.0,26.0,100.0,13.0,13.0,25.0,15.0,34.0,226.0,7.0,25.0,,18.0,43.0,,61.0,32.0,93.0,12.0,30.0,20.0,10.0,27.0,8.0,18.0,19.0,3.0,9.0,2.0,46,5.0,11.0,18.0,34.0,2.0,3.0,78.0,7.0,25.0,7.0,1.0,,,,,1.0,1.0,1.0,,79.0,256.0,3.0,0.19230769230769232,0.19801980198019803,0.9459459459459459,0.3217391304347826,0.25,0.19047619047619047,0.3217391304347826,0.48598130841121495,0.4,0.5121951219512195,0.4848024316109423,0.39285714285714285,0.43548387096774194,0.5323033707865169,0.44565217391304346,0.5277777777777778,0.3495440729483283,0.0794392523364486,0.10714285714285714,0.07865168539325842,0.057971014492753624,27.428180574555405,0.5869565217391305,,,0.10287081339712918,0.05399568034557235,0.125,0.03535353535353535,0.10854092526690391,0.048411497730711045,0.07633587786259542,0.024096385542168676,0.06626506024096386,0.027586206896551724,0.05660377358490566,0.10091743119266056,0.0625,0.13259668508287292,0.14285714285714285,0.0625,0.07142857142857142,1.0,0.1702127659574468,0.5357142857142857,0.6,0.3333333333333333,0.270516717325228,0.47191011235955055,0.5121951219512195,0.14285714285714285,0.20972644376899696,0.463768115942029,0.49230769230769234,0.125,0.1094224924012158,0.3888888888888889,0.4,0.9285714285714286,0.24012158054711247,0.2911392405063291,0.2948717948717949,0.9565217391304348,0.2619047619047619,0.36363636363636365,,0.09523809523809523,0.25,1.0,0.19047619047619047,0.25,1.0,0.16129032258064516,0.7,0.11290322580645161,0.2857142857142857,0.22580645161290322,0.14285714285714285,0.5197568389057751,0.2911392405063291,0.48613704268292723,0.4797983870967742,0.46860081967213113,0.07736389684813753,0.10775862068965517,0.10687022900763359,0.2010178117048346,9.575233644859813,24.79391304347826,0.2057877813504823,,15.0,2.0,0.017094017094017096,6.0,,2.0,0.017391304347826087,0.027777777777777776,0.012658227848101266,,,True,,
1738,1610612760,Ansu Sesay,Ansu Sesay,1738,SEA,2048.0,34,-6.0,61,65,28.0,25.0,12.0,126,1.0,3.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,6.0,,,,4.0,61,1.0,2.0,,,,2.0,,1.0,,,,,4.0,,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,5.0,,2.0,,2.0,,1.0,3.0,2.0,5.0,,,,,2.0,,1.0,,,1.0,,2,,1.0,1.0,3.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,28.0,1.0,1.0,1.0,,,,,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,,0.16666666666666666,0.3333333333333333,,,10.526315789473685,1.0,0.5,,,0.06666666666666667,0.18181818181818182,,0.07407407407407407,0.06060606060606061,0.2222222222222222,,,,,,,,0.14285714285714285,0.25,,,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,1.0,0.5,1.0,,,,,,,1.0,,,,,,0.5,,0.4766166666666667,0.5151,0.505,,,0.5,,7.966666666666666,,0.45901639344262296,,,,,,,,,,,,,True,,
72,1610612760,Kenny Anderson,Kenny Anderson,72,SEA,4567.0,76,19.0,144,144,54.0,51.0,24.0,288,2.0,5.0,2.0,3.0,,,3.0,8.0,6.0,15.0,,,,,,,,,,,,,11.0,28.0,,,10.0,32.0,133,2.0,4.0,,,,4.0,3.0,9.0,,,2.0,8.0,16.0,6.0,,2.0,,,3.0,7.0,2.0,9.0,1.0,1.0,3.0,1.0,3.0,20.0,,1.0,,2.0,3.0,,5.0,1.0,6.0,,6.0,1.0,5.0,,2.0,,4.0,2.0,,,4,,3.0,4.0,8.0,,,10.0,,4.0,1.0,,,,,,,,,,8.0,54.0,1.0,0.7272727272727273,0.8,,,,,,0.39285714285714285,0.5,0.3333333333333333,0.39285714285714285,0.5,0.3333333333333333,0.48484848484848486,0.5,0.4,,0.10714285714285714,0.2,0.25,,21.38728323699422,,,,0.046153846153846156,0.016129032258064516,0.10526315789473684,,0.05952380952380952,0.014285714285714285,,,0.02857142857142857,,,,0.09090909090909091,0.037037037037037035,0.14285714285714285,,,,0.17857142857142858,0.4,0.5,0.5,0.2857142857142857,0.375,0.5,0.3333333333333333,0.5357142857142857,0.4,0.4,1.0,,,,,,,,,0.75,0.6666666666666666,0.5,,,,,,,,,,,,,0.17857142857142858,,0.4334928571428572,0.5502499999999999,0.3775,0.125,0.125,0.125,0.25,11.51785714285714,,0.375,,,,,,,,,,,2.0,,True,,
