EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,SecondChanceTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,3SecondViolations,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Blocked3s,BlockedArc3,DefensiveGoaltends,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes,BlockedCorner3,3pt And 1 Free Throw Trips
1565,1610612739,Michael Stewart,Michael Stewart,1565,CLE,1159.0,19.0,-17.0,38,38.0,11,17.0,4.0,76,2.0,2.0,46.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,2.0,8.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,11,1.0,1.0,7.142857142857143,1.0,0.2857142857142857,0.1538461538461538,0.25,0.2777777777777778,0.1428571428571428,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,0.2894736842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1729,1610612739,Ricky Davis,Ricky Davis,1729,CLE,44952.0,749.0,-139.0,1473,1468.0,461,465.0,220.0,2941,93.0,420.0,1543.0,13.0,60.0,19.0,10.0,50.0,3.0,63.0,22.0,85.0,32.0,78.0,28.0,45.0,,5.0,123.0,46.0,461,0.4813953488372093,0.5357142857142857,29.221902017291065,0.0625,0.0905797101449275,0.0286144578313253,0.08,0.0886262924667651,0.0290055248618784,0.0242718446601941,0.0177935943060498,0.0797546012269938,0.1071428571428571,0.0714285714285714,0.1108433734939759,0.1197916666666666,0.1428571428571428,0.3129667345553292,57.0,95.0,11.0,18.0,25.0,35.0,24.0,74.0,63.0,178.0,1.0,5.0,1.0,1.0,1.0,1.0,12.0,26.0,2.0,2.0,2.0,7.0,144.0,347.0,13.0,31.0,19.0,46.0,3.0,3.0,54.0,117.0,3.0,8.0,47.0,164.0,162.0,126.0,18.0,21.0,14.0,1.0,25.0,12.0,15.0,71.0,11.0,82.0,5.0,6.0,26.0,12.0,33.0,175.0,2.0,1.0,8.0,30.0,19.0,11.0,46.0,7.0,32.0,8.0,14.0,8.0,6.0,24.0,9.0,11.0,15.0,6.0,2.0,2.0,2.0,6.0,6.0,1.0,1.0,164.0,5.0,0.5625,0.5912408759124088,0.4615384615384615,0.4193548387096774,1.0,0.375,0.4333333333333333,0.414985590778098,0.4130434782608695,0.4615384615384615,0.4325396825396825,0.4795918367346938,0.468,0.5298013245033113,0.082010582010582,0.0432276657060518,0.0947368421052631,0.054054054054054,0.0112359550561797,0.5897435897435898,0.0181818181818181,0.0333333333333333,0.0508474576271186,0.0434782608695652,0.085972850678733,0.0975609756097561,0.0396039603960396,1.0,0.2513227513227513,0.6,0.6627906976744186,0.6140350877192983,0.1957671957671957,0.3243243243243243,0.3428571428571428,0.4166666666666667,0.4708994708994709,0.3539325842696629,0.3579545454545454,0.5714285714285714,0.0132275132275132,0.2,0.2,1.0,0.0687830687830687,0.4615384615384615,0.4615384615384615,0.4166666666666667,0.3673469387755102,0.6111111111111112,0.1818181818181818,0.0204081632653061,1.0,1.0,0.0408163265306122,1.0,0.5,0.28,0.7142857142857143,0.008,1.0,0.056,0.2857142857142857,0.3333333333333333,0.48,0.4732502652519894,0.4549287234042553,0.467091935483871,0.3904761904761905,11.277521613832851,26.24516129032258,,,,,True,,,,,,,,,,,
1908,1610612739,Jumaine Jones,Jumaine Jones,1908,CLE,24322.0,405.0,-3.0,792,782.0,269,299.0,114.0,1574,9.0,96.0,807.0,5.0,9.0,10.0,13.0,33.0,5.0,51.0,13.0,64.0,5.0,14.0,18.0,26.0,1.0,2.0,12.0,5.0,269,0.4660194174757281,0.375,12.580645161290322,0.15625,0.1170212765957446,0.0307692307692307,0.1688311688311688,0.128133704735376,0.0354223433242506,0.0377358490566037,0.023076923076923,0.0263157894736842,0.1547619047619047,0.22,0.0490196078431372,0.0657894736842105,0.09375,0.3396464646464646,8.0,15.0,2.0,5.0,3.0,5.0,,7.0,22.0,49.0,7.0,13.0,,,2.0,5.0,2.0,13.0,,2.0,,3.0,30.0,71.0,9.0,26.0,2.0,7.0,,2.0,10.0,21.0,2.0,8.0,3.0,29.0,54.0,6.0,24.0,3.0,2.0,,13.0,2.0,4.0,24.0,2.0,26.0,1.0,1.0,11.0,4.0,9.0,54.0,3.0,,1.0,9.0,6.0,3.0,9.0,,7.0,2.0,2.0,,,5.0,,,1.0,1.0,1.0,,,1.0,1.0,,,29.0,1.0,0.9,0.9310344827586208,0.8888888888888888,0.3461538461538461,,0.25,0.3461538461538461,0.4225352112676056,0.2857142857142857,0.4761904761904761,0.4484536082474227,0.2222222222222222,0.4482758620689655,0.4677419354838709,0.268041237113402,0.056338028169014,0.1333333333333333,0.1428571428571428,0.0204081632653061,0.6428571428571429,,0.0714285714285714,0.0337078651685393,0.0303030303030303,0.1475409836065573,0.074074074074074,0.0192307692307692,1.0,0.1546391752577319,0.5333333333333333,0.6153846153846154,0.625,0.0721649484536082,,,,0.5051546391752577,0.4489795918367347,0.4583333333333333,1.0,0.134020618556701,0.5384615384615384,0.5384615384615384,1.0,0.134020618556701,0.1538461538461538,0.1538461538461538,0.5,0.5555555555555556,0.4,,,,,0.2222222222222222,,,0.1724137931034483,0.6,0.1724137931034483,0.4,0.1034482758620689,,0.422680412371134,0.1538461538461538,0.4837329896907216,0.5831785714285714,0.4865758620689655,0.3020833333333333,13.78732394366197,24.330769230769228,1.0,0.2222222222222222,,,True,,,,,,,,,,,
1960,1610612739,Milt Palacio,Milt Palacio,1960,CLE,18565.0,309.0,-89.0,606,612.0,196,214.0,86.0,1218,12.0,64.0,640.0,1.0,3.0,7.0,2.0,18.0,2.0,22.0,9.0,31.0,12.0,20.0,10.0,30.0,,5.0,20.0,8.0,196,0.4266666666666667,0.25,13.47517730496454,0.0909090909090909,0.079646017699115,0.025,0.0465116279069767,0.0743494423791821,0.0301003344481605,0.0121951219512195,0.0166666666666666,0.044776119402985,0.1081081081081081,0.074074074074074,0.1095890410958904,0.1159420289855072,0.046875,0.3234323432343234,7.0,19.0,1.0,1.0,,2.0,,2.0,16.0,40.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,,1.0,3.0,23.0,61.0,2.0,4.0,1.0,5.0,,,1.0,11.0,2.0,4.0,5.0,13.0,30.0,16.0,,6.0,2.0,,3.0,1.0,7.0,37.0,2.0,39.0,,2.0,17.0,7.0,13.0,80.0,2.0,,,8.0,8.0,,8.0,3.0,6.0,,2.0,3.0,,6.0,,,2.0,8.0,4.0,1.0,3.0,8.0,3.0,,,13.0,4.0,0.6521739130434783,0.6818181818181818,,0.5,,0.5,0.5,0.3770491803278688,0.2,0.0909090909090909,0.4,0.2,0.2666666666666666,0.3421052631578947,0.0615384615384615,0.1147540983606557,0.3684210526315789,,,0.4,,0.1052631578947368,0.0512820512820512,0.1538461538461538,0.0823529411764705,,,0.375,0.2923076923076923,0.3684210526315789,0.5833333333333334,0.5714285714285714,0.0307692307692307,,,,0.6153846153846154,0.4,0.4,0.6875,0.0153846153846153,1.0,1.0,,0.0461538461538461,0.3333333333333333,0.3333333333333333,,0.2,1.0,,,,,,,,0.1333333333333333,,0.0666666666666666,1.0,0.2,0.3333333333333333,0.3538461538461538,0.3333333333333333,0.4725953846153847,0.4902499999999999,0.4422266666666666,0.203125,11.963934426229509,24.25,,,,,True,,,,,,,,,,,
238,1610612739,Tyrone Hill,Tyrone Hill,238,CLE,51450.0,858.0,-151.0,1681,1674.0,499,510.0,245.0,3355,33.0,203.0,1738.0,12.0,62.0,60.0,24.0,151.0,22.0,197.0,70.0,267.0,31.0,52.0,45.0,104.0,10.0,7.0,45.0,21.0,499,0.4677419354838709,0.5636363636363636,13.627152988855116,0.3793103448275862,0.2435483870967742,0.0794701986754966,0.1690140845070422,0.2296587926509186,0.079326923076923,0.0791666666666666,0.0744336569579288,0.2228571428571428,0.2169312169312169,0.1808510638297872,0.0985915492957746,0.0985915492957746,0.3054187192118227,0.2968471148126115,41.0,74.0,22.0,36.0,14.0,22.0,19.0,59.0,25.0,64.0,,,,,,,,,,,,,85.0,197.0,,,25.0,48.0,,,20.0,48.0,,,19.0,59.0,106.0,64.0,,,34.0,,,,24.0,26.0,6.0,32.0,5.0,1.0,8.0,8.0,10.0,70.0,6.0,4.0,3.0,31.0,22.0,9.0,21.0,11.0,13.0,1.0,8.0,7.0,7.0,19.0,5.0,,4.0,19.0,17.0,,2.0,19.0,7.0,,2.0,59.0,18.0,0.6235294117647059,0.7794117647058824,,,,,,0.4314720812182741,0.5208333333333334,0.4166666666666667,0.4314720812182741,0.5208333333333334,0.4166666666666667,0.4916666666666666,,0.1218274111675127,0.2027027027027027,0.1525423728813559,,0.4038461538461538,0.0666666666666666,0.0779220779220779,0.087378640776699,0.081967213114754,0.27734375,0.1458333333333333,0.0352941176470588,0.3684210526315789,0.3756345177664975,0.5540540540540541,0.6949152542372882,0.3902439024390244,0.299492385786802,0.3220338983050847,0.38,0.7894736842105263,0.3248730964467005,0.390625,0.390625,0.88,,,,,,,,,0.75,0.6111111111111112,0.1818181818181818,,,,,,,0.4583333333333333,0.6363636363636364,,,,,0.3756345177664975,,0.4668527918781723,0.5319422222222223,0.4715583333333333,0.2906403940886699,8.456345177664973,,1.0,0.0625,,,True,,,,,,,,,,,
2470,1610612739,Smush Parker,Smush Parker,2470,CLE,11664.0,194.0,-73.0,388,385.0,112,103.0,55.0,773,12.0,52.0,434.0,,2.0,3.0,5.0,9.0,2.0,16.0,4.0,20.0,8.0,20.0,8.0,20.0,,,14.0,5.0,112,0.4333333333333333,0.5,17.582417582417584,0.1428571428571428,0.0681818181818181,0.0184049079754601,0.1515151515151515,0.0848484848484848,0.0210526315789473,,0.0175438596491228,0.024390243902439,0.0857142857142857,0.15,0.1016949152542373,0.119047619047619,0.0384615384615384,0.2886597938144329,14.0,28.0,1.0,2.0,5.0,11.0,,3.0,,7.0,,,,,,,4.0,16.0,,,1.0,4.0,14.0,38.0,4.0,16.0,1.0,2.0,,,5.0,14.0,1.0,4.0,8.0,21.0,8.0,20.0,12.0,,,1.0,15.0,4.0,7.0,22.0,2.0,24.0,1.0,1.0,14.0,2.0,6.0,50.0,1.0,,1.0,7.0,1.0,6.0,12.0,4.0,7.0,,5.0,,,7.0,1.0,,1.0,2.0,1.0,,1.0,2.0,2.0,,,21.0,1.0,0.2857142857142857,0.2857142857142857,1.0,0.25,,0.25,0.2666666666666666,0.3684210526315789,0.5,0.3571428571428571,0.3703703703703703,0.5,0.3611111111111111,0.4772727272727273,0.2962962962962963,0.1842105263157894,0.1428571428571428,0.6666666666666666,0.1428571428571428,0.6,,0.037037037037037,0.0344827586206896,0.0416666666666666,0.0892857142857142,0.1538461538461538,0.0357142857142857,1.0,0.5185185185185185,0.5,0.5833333333333334,0.2857142857142857,0.0555555555555555,,,,0.1296296296296296,,,,,,,,0.2962962962962963,0.25,0.25,1.0,1.0,0.5,,,,,,,,0.6111111111111112,0.4545454545454545,,,0.2222222222222222,0.25,0.8148148148148148,0.2666666666666666,0.5462415094339622,0.63655,0.503170588235294,0.4038461538461538,4.613157894736843,26.9,,,1.0,0.0588235294117647,True,,,,,,,,,,,
902,1610612739,Bimbo Coles,Bimbo Coles,902,CLE,18647.0,311.0,-10.0,581,578.0,178,161.0,82.0,1159,16.0,73.0,565.0,2.0,10.0,5.0,6.0,18.0,1.0,25.0,5.0,30.0,4.0,9.0,10.0,26.0,,1.0,21.0,4.0,178,0.4533333333333333,0.5,12.334801762114536,0.0476190476190476,0.0769230769230769,0.0178571428571428,0.1333333333333333,0.086021505376344,0.0168918918918918,,0.0080645161290322,0.046875,0.1,0.1290322580645161,0.0555555555555555,0.0677966101694915,0.136986301369863,0.306368330464716,2.0,7.0,,1.0,,3.0,5.0,16.0,11.0,32.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,3.0,18.0,55.0,7.0,13.0,1.0,6.0,2.0,3.0,4.0,14.0,2.0,4.0,5.0,19.0,26.0,10.0,12.0,9.0,,,9.0,4.0,3.0,37.0,1.0,38.0,1.0,,7.0,10.0,20.0,77.0,,,1.0,6.0,3.0,3.0,5.0,2.0,5.0,,,,,1.0,,7.0,3.0,1.0,,1.0,,1.0,1.0,,,19.0,3.0,0.7222222222222222,0.7222222222222222,0.5714285714285714,0.5384615384615384,0.6666666666666666,0.5,0.5384615384615384,0.3272727272727272,0.1666666666666666,0.2857142857142857,0.4191176470588235,0.4444444444444444,0.3888888888888889,0.4318181818181818,0.1911764705882352,0.0545454545454545,0.2857142857142857,0.0625,,0.5555555555555556,,,0.0666666666666666,,0.08,0.1428571428571428,0.0256410256410256,1.0,0.1029411764705882,0.2857142857142857,0.4,1.0,0.2352941176470588,0.3125,0.3333333333333333,0.4,0.4705882352941176,0.34375,0.34375,0.8181818181818182,0.0588235294117647,0.75,0.75,1.0,0.1323529411764706,0.4444444444444444,0.4444444444444444,0.25,0.1111111111111111,,,0.2222222222222222,0.5,1.0,0.1111111111111111,1.0,,0.1666666666666666,,0.0555555555555555,1.0,0.1666666666666666,0.3333333333333333,0.2941176470588235,0.4444444444444444,0.4427779411764704,0.49926875,0.4667694444444445,0.2602739726027397,12.874545454545457,24.85384615384616,,,,,True,,,,,,,,,,,
2032,1610612739,Darius Miles,Darius Miles,2032,CLE,21720.0,362.0,-70.0,706,702.0,150,186.0,103.0,1408,16.0,104.0,682.0,,20.0,21.0,8.0,30.0,7.0,45.0,24.0,69.0,11.0,31.0,14.0,29.0,1.0,4.0,30.0,11.0,150,0.4601769911504424,0.5,17.125748502994014,0.3043478260869565,0.1107011070110701,0.0610465116279069,0.1311475409836065,0.1144578313253012,0.0652173913043478,0.0789473684210526,0.0551724137931034,0.131578947368421,0.0879120879120879,0.0909090909090909,0.102803738317757,0.1037735849056603,0.1923076923076923,0.2124645892351274,30.0,48.0,7.0,14.0,8.0,11.0,9.0,27.0,5.0,23.0,,1.0,,,,,,,,,,,44.0,98.0,,1.0,10.0,19.0,,,8.0,18.0,,,10.0,26.0,50.0,38.0,,,14.0,,,,10.0,37.0,1.0,38.0,1.0,,20.0,6.0,11.0,77.0,3.0,,5.0,13.0,9.0,4.0,20.0,2.0,10.0,2.0,10.0,2.0,,9.0,3.0,,6.0,14.0,7.0,2.0,5.0,14.0,10.0,,1.0,26.0,3.0,0.5681818181818182,0.6756756756756757,,,,,,0.4489795918367347,0.5263157894736842,0.4444444444444444,0.4444444444444444,0.5263157894736842,0.4444444444444444,0.52,0.0101010101010101,0.1020408163265306,0.1666666666666666,0.074074074074074,,0.6451612903225806,,0.125,0.0470588235294117,0.1052631578947368,0.1153846153846153,0.2352941176470588,0.1136363636363636,0.7142857142857143,0.4848484848484848,0.625,0.75,0.6333333333333333,0.2727272727272727,0.3333333333333333,0.36,0.4444444444444444,0.2323232323232323,0.217391304347826,0.217391304347826,0.4,0.0101010101010101,,,,,,,,0.7368421052631579,0.5,0.2857142857142857,,,,,,,0.6111111111111112,0.7272727272727273,,,,,0.494949494949495,,0.5041893939393939,0.5197882352941177,0.5469888888888889,0.25,6.738775510204081,24.3,,0.2,,,True,,,,,,,,,,,
2402,1610612739,Dajuan Wagner,Dajuan Wagner,2402,CLE,18266.0,304.0,-107.0,621,622.0,170,158.0,91.0,1243,32.0,155.0,687.0,3.0,14.0,5.0,2.0,4.0,,6.0,5.0,11.0,12.0,21.0,18.0,27.0,,1.0,41.0,16.0,170,0.4873417721518987,0.6363636363636364,24.79224376731302,,0.0189573459715639,0.0192307692307692,0.0363636363636363,0.0225563909774436,0.0162337662337662,,0.0105263157894736,0.0188679245283018,0.0161290322580645,0.0555555555555555,0.1038961038961039,0.1379310344827586,0.0903225806451612,0.2737520128824476,24.0,50.0,1.0,1.0,9.0,15.0,12.0,36.0,6.0,16.0,3.0,8.0,,,1.0,1.0,10.0,30.0,1.0,3.0,2.0,8.0,42.0,102.0,13.0,38.0,4.0,6.0,1.0,3.0,15.0,31.0,3.0,9.0,16.0,55.0,36.0,48.0,36.0,3.0,2.0,,30.0,10.0,16.0,24.0,4.0,28.0,3.0,1.0,10.0,4.0,10.0,60.0,,,1.0,14.0,9.0,5.0,9.0,2.0,3.0,5.0,6.0,2.0,2.0,6.0,2.0,1.0,4.0,2.0,1.0,,1.0,2.0,1.0,,,55.0,4.0,0.4285714285714285,0.4390243902439024,0.9230769230769232,0.3421052631578947,0.3333333333333333,0.3333333333333333,0.3421052631578947,0.4117647058823529,0.6666666666666666,0.4838709677419355,0.4392857142857143,0.6111111111111112,0.4875,0.55,0.2714285714285714,0.1568627450980392,0.24,0.0833333333333333,0.0625,0.4285714285714285,,,0.0493827160493827,,0.0208333333333333,,0.0144927536231884,0.5,0.3571428571428571,0.48,0.631578947368421,0.625,0.2571428571428571,0.3333333333333333,0.3636363636363636,0.1666666666666666,0.1142857142857142,0.375,0.4,0.1666666666666666,0.0571428571428571,0.375,0.375,0.6666666666666666,0.2142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.375,0.6,0.025,1.0,0.2,0.25,0.6285714285714286,0.3333333333333333,0.5328964285714284,0.5025214285714286,0.53041125,0.3548387096774194,6.159803921568626,24.876315789473683,,,,,True,,,,,,,,,,,
2036,1610612739,Chris Mihm,Chris Mihm,2036,CLE,655.0,11.0,-2.0,21,20.0,5,4.0,7.0,41,1.0,3.0,20.0,1.0,3.0,1.0,,,,,2.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,5,0.5,0.75,17.24137931034483,,,0.0833333333333333,,,0.1428571428571428,,0.2,,,,0.3333333333333333,0.3333333333333333,1.0,0.238095238095238,1.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,3.0,,,1.0,2.0,,,,,,,,,,2.0,,,2.0,,,,,2.0,,2.0,,,1.0,1.0,,4.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,,,,,,,0.5,,0.5,,0.5,,,,1.0,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,0.6666666666666666,,0.5810333333333333,0.6409,,,6.033333333333332,,,,,,True,,,,,,,,,,,
