EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,BlockedAtRim,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,Corner3FGM,ShortMidRangeAssists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3Assists,Technical Free Throw Trips,OffArc3ReboundPct,DefensiveGoaltends,BlockedLongMidRange,on,PtsUnassisted3s,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveMakes,HeaveAttempts,Fg3aBlocked,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct
1073,1610612750,Reggie Slater,Reggie Slater,1073,MIN,8533.0,142,4.0,290,286,144,158,42,576,23.0,39,4.0,9.0,11.0,16.0,3.0,8.0,1.0,3,27,50,27.0,81,293,4.0,9.0,9.0,17.0,12.0,21.0,19.0,43.0,40,14.0,4.0,9.0,4.0,4.0,3.0,1.0,8.0,2.0,15.0,1.0,2.0,10.0,1.0,13.0,18.0,31.0,4.0,6.0,3.0,3.0,2.0,1.0,1.0,7.0,1.0,3.0,9.0,1.0,5.0,10.0,31.0,3.0,3.0,45.0,1.0,17.0,6.0,1.0,1.0,1.0,1.0,3.0,43.0,144,5.0,0.7407407407407407,0.8,0.54,0.4444444444444444,0.5714285714285714,0.54,0.4444444444444444,0.5714285714285714,0.5625,0.425,0.581081081081081,0.18,0.1794871794871795,0.25,23.615160349854225,0.2222222222222222,0.16666666666666666,0.05263157894736842,0.09803921568627451,0.11811023622047244,0.05405405405405406,0.18181818181818182,0.08633093525179857,0.12318840579710146,0.125,0.12,0.1111111111111111,0.5,0.03571428571428571,0.11764705882352941,0.12280701754385964,0.038461538461538464,0.09090909090909091,0.2857142857142857,1.0,0.78,0.5897435897435898,0.71875,0.782608695652174,0.16,0.375,0.5,0.3333333333333333,0.06,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4444444444444444,0.5,0.7619047619047619,0.6875,0.78,0.5306120000000001,0.519775,0.5321809523809524,0.25757575757575757,0.25757575757575757,0.20987654320987653,0.5308641975308642,2.4600000000000004,0.496551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,1610612750,Marc Jackson,Marc Jackson,1531,MIN,2433.0,41,-16.0,80,82,41,45,13,162,4.0,8,2.0,4.0,3.0,6.0,,2.0,3.0,6,7,16,6.0,20,94,2.0,4.0,,4.0,4.0,10.0,2.0,10.0,8,6.0,4.0,1.0,,1.0,,,3.0,,4.0,,1.0,1.0,,2.0,4.0,6.0,,1.0,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,2.0,4.0,1.0,1.0,10.0,,5.0,,1.0,,1.0,1.0,,10.0,41,,0.5714285714285714,0.8,0.4375,0.5,0.4,0.4375,0.5,0.4,0.47619047619047616,0.5,0.4166666666666667,0.0625,0.125,,24.46808510638298,0.5,,,0.043478260869565216,0.10810810810810811,0.1111111111111111,,0.0625,0.1,0.08333333333333333,,0.15789473684210525,,,0.25,,0.2,,,1.0,0.5,0.5,0.5714285714285714,0.5,0.125,,,,0.375,0.5,0.5,0.6666666666666666,1.0,0.5,,0.6,0.5,0.5,0.45250625,0.47575,0.47095000000000004,0.23809523809523808,0.23809523809523808,0.2,0.5,7.362500000000001,0.5125,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,3914.0,65,5.0,135,129,47,64,22,264,2.0,4,,,2.0,2.0,5.0,9.0,8.0,13,15,26,3.0,36,132,2.0,2.0,,4.0,5.0,9.0,2.0,12.0,20,10.0,,1.0,9.0,10.0,6.0,3.0,21.0,,1.0,,,2.0,,2.0,1.0,3.0,,1.0,,1.0,4.0,1.0,3.0,2.0,1.0,,6.0,1.0,3.0,1.0,3.0,,,4.0,,1.0,1.0,,,,,,12.0,47,1.0,0.6666666666666666,0.6666666666666666,0.5769230769230769,1.0,0.5555555555555556,0.55,1.0,0.45454545454545453,0.5625,1.0,0.5,0.038461538461538464,,0.1111111111111111,23.89937106918239,0.6666666666666666,,,0.046511627906976744,0.016666666666666666,,,0.03125,0.015151515151515152,,,0.043478260869565216,,0.1111111111111111,,0.038461538461538464,,,,,0.13333333333333333,0.5,0.5,1.0,0.3,0.5555555555555556,0.625,0.2,0.43333333333333335,0.6153846153846154,0.6153846153846154,0.875,,,,0.18181818181818182,1.0,0.26666666666666666,0.4496344827586207,0.39115,0.46559,0.03225806451612903,0.037037037037037035,0.1111111111111111,0.3333333333333333,13.307692307692305,0.34814814814814815,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,0.25,0.25,0.13333333333333333,0.03333333333333333,0.1,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,0.09090909090909091,0.3333333333333333,27.325000000000003,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,1610612750,Igor Rakocevic,Igor Rakocevic,2080,MIN,1921.0,32,-11.0,74,75,63,62,10,149,1.0,5,,,1.0,5.0,1.0,1.0,,3,2,9,7.0,11,73,,1.0,,,2.0,8.0,5.0,9.0,4,,,3.0,5.0,5.0,4.0,1.0,10.0,,2.0,,,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,,2.0,,2.0,2.0,,1.0,4.0,,2.0,,1.0,,,8.0,,2.0,2.0,,,,,,9.0,63,,1.0,1.0,0.2222222222222222,,0.25,0.2,,0.2222222222222222,0.39285714285714285,,0.375,0.3333333333333333,0.4,,20.930232558139537,0.5,,,0.041666666666666664,0.06666666666666667,,,0.03225806451612903,0.0625,,,0.14285714285714285,,,,0.07692307692307693,,,0.2,,0.5,0.2,0.3333333333333333,1.0,0.1,1.0,1.0,1.0,0.3,,,,,,,0.5555555555555556,0.2,0.6,0.5234800000000001,0.4002,0.5384777777777778,0.16666666666666666,0.18181818181818182,,0.8181818181818182,6.155555555555556,0.8513513513513513,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,0.1,,0.1,,,,,0.1111111111111111,,25.8,1.0,0.3333333333333333,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1610612750,Kendall Gill,Kendall Gill,383,MIN,5031.0,84,-1.0,164,160,66,83,27,324,5.0,15,,1.0,1.0,6.0,1.0,2.0,5.0,19,11,36,6.0,31,172,,2.0,2.0,2.0,2.0,15.0,2.0,6.0,16,6.0,,3.0,2.0,2.0,1.0,,4.0,,2.0,,4.0,2.0,,6.0,2.0,8.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,,3.0,4.0,,,8.0,,3.0,1.0,1.0,,1.0,1.0,,6.0,66,1.0,0.7272727272727273,0.7272727272727273,0.3055555555555556,,0.13333333333333333,0.33783783783783783,,0.13333333333333333,0.3780487804878049,0.3333333333333333,0.17647058823529413,0.08333333333333333,0.13333333333333333,,21.608040201005025,0.5,,,0.03508771929824561,0.024691358024691357,0.2,,0.07792207792207792,0.023529411764705882,,,0.06060606060606061,,,,0.058823529411764705,0.15384615384615385,0.2857142857142857,,1.0,0.40540540540540543,0.3333333333333333,0.38461538461538464,0.6,0.05405405405405406,0.5,0.5,,0.5135135135135135,0.2631578947368421,0.2777777777777778,1.0,0.5,,,0.4,0.16666666666666666,0.43243243243243246,0.49638378378378367,0.44475,0.45814000000000005,0.075,0.07692307692307693,0.06451612903225806,0.1935483870967742,11.28888888888889,0.4024390243902439,,,1.0,1.0,,,,,1.0,1.0,,3.0,,,1.0,1.0,1.0,0.02702702702702703,0.02702702702702703,,,,,,,,23.7,1.0,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,4503.0,75,,149,147,75,80,19,296,3.0,3,2.0,2.0,1.0,1.0,,,2.0,14,5,17,1.0,29,162,2.0,2.0,1.0,5.0,1.0,6.0,,14.0,6,4.0,2.0,1.0,11.0,12.0,4.0,4.0,25.0,,2.0,,4.0,5.0,,9.0,2.0,11.0,,2.0,2.0,,2.0,,1.0,2.0,1.0,,4.0,,3.0,,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,14.0,75,2.0,0.6,0.75,0.29411764705882354,1.0,0.16666666666666666,0.4666666666666667,1.0,0.5384615384615384,0.48333333333333334,1.25,0.5384615384615384,0.058823529411764705,,,19.767441860465116,0.5,,,0.09433962264150944,0.034482758620689655,0.2,,0.1232876712328767,0.03076923076923077,0.05263157894736842,0.1,,,0.07142857142857142,0.125,0.0967741935483871,0.26666666666666666,,,,0.1,1.0,1.0,0.6666666666666666,,,,,0.4666666666666667,0.14285714285714285,0.15384615384615385,0.5,1.0,1.0,0.5,0.07692307692307693,1.0,0.5333333333333333,0.4856616666666667,0.6026,0.4747961538461539,0.03333333333333333,0.058823529411764705,0.1724137931034483,0.4827586206896552,15.541176470588232,0.5033557046979866,1.0,1.0,,2.0,1.0,6.0,11.0,6.0,6.0,13.0,7.0,18.0,11.0,6.0,1.0,0.46153846153846156,0.46153846153846156,0.43333333333333335,0.06666666666666667,0.36666666666666664,0.5454545454545454,0.5454545454545454,1.0,0.07692307692307693,0.46153846153846156,0.5454545454545454,25.069230769230767,,0.07142857142857142,,3.0,,,,4.0,4.0,0.5714285714285714,0.6666666666666666,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1610612750,Rod Strickland,Rod Strickland,393,MIN,4553.0,76,9.0,148,149,72,64,16,297,3.0,3,,,2.0,2.0,2.0,4.0,3.0,7,8,14,4.0,20,156,,1.0,,,3.0,7.0,3.0,9.0,6,10.0,,,10.0,13.0,3.0,4.0,29.0,,,,,7.0,,7.0,,7.0,,2.0,2.0,,4.0,1.0,2.0,1.0,2.0,,5.0,,2.0,1.0,6.0,1.0,,6.0,,1.0,2.0,,,,,,9.0,72,1.0,0.375,0.375,0.5714285714285714,,0.42857142857142855,0.5714285714285714,,0.42857142857142855,0.5882352941176471,,0.5,,,,12.790697674418604,0.8,,,0.12962962962962962,,,,0.09859154929577464,,,,,,0.13333333333333333,0.2,0.10344827586206896,,,,,0.21428571428571427,1.0,1.0,0.6666666666666666,0.2857142857142857,0.5,0.5,,0.5,0.42857142857142855,0.42857142857142855,0.3333333333333333,,,,0.2857142857142857,1.0,0.21428571428571427,0.4567642857142857,0.3816,0.48695714285714287,0.06666666666666667,0.06666666666666667,,0.45,12.571428571428571,0.4864864864864865,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,4639.0,77,26.0,158,152,67,88,24,310,4.0,7,,1.0,1.0,2.0,5.0,11.0,2.0,5,11,23,17.0,39,150,1.0,4.0,,2.0,4.0,9.0,13.0,21.0,12,10.0,2.0,1.0,17.0,18.0,11.0,5.0,37.0,2.0,3.0,,7.0,12.0,4.0,23.0,5.0,28.0,1.0,8.0,5.0,3.0,2.0,,1.0,,1.0,,2.0,,1.0,,4.0,1.0,,21.0,2.0,6.0,5.0,2.0,,2.0,2.0,,21.0,67,2.0,0.5454545454545454,0.6,0.4782608695652174,0.25,0.4444444444444444,0.4782608695652174,0.25,0.4444444444444444,0.59375,0.25,0.625,0.043478260869565216,,0.09090909090909091,17.80104712041885,1.0,1.0,,0.21818181818181817,0.04411764705882353,0.30434782608695654,0.25,0.24358974358974358,0.06578947368421052,0.03333333333333333,,0.08,0.3333333333333333,0.29411764705882354,0.08333333333333333,0.23076923076923078,0.25,0.42857142857142855,0.09090909090909091,1.0,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.5,0.4782608695652174,0.45454545454545453,0.5,0.8,0.21739130434782608,0.4,0.4,,0.25,,,0.2222222222222222,0.5,0.30434782608695654,0.4338347826086957,0.46995,0.42812222222222224,0.2222222222222222,0.2222222222222222,0.05128205128205128,0.5384615384615384,7.965217391304349,0.4240506329113924,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.2,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,342.0,6,-17.0,12,15,2,3,1,27,1.0,1,,,,,,,,2,1,3,,2,25,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1.0,1.0,0.3333333333333333,,,0.25,,,0.25,,,,,,28.57142857142857,,,,,,,,,,,,,,,,,,,,,0.25,1.0,1.0,1.0,,,,,0.5,,,,,,,,,0.5,0.45975,,0.5523,,,,,14.1,0.16666666666666666,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,0.25,0.25,,,,,1.0,,,22.6,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254,1610612750,Loren Woods,Loren Woods,2254,MIN,2027.0,34,8.0,70,70,46,45,8,140,2.0,5,,1.0,2.0,5.0,1.0,2.0,1.0,4,4,11,1.0,9,53,,2.0,1.0,1.0,3.0,10.0,,6.0,6,2.0,,,3.0,3.0,2.0,1.0,6.0,,1.0,1.0,1.0,9.0,1.0,11.0,2.0,13.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,1.0,,2.0,,2.0,1.0,,6.0,46,,0.75,0.75,0.36363636363636365,,0.3,0.36363636363636365,,0.3,0.375,0.16666666666666666,0.3,,,,16.455696202531644,1.0,0.3333333333333333,0.25,0.2727272727272727,0.030303030303030304,0.14285714285714285,,0.25,0.027777777777777776,0.0625,,,,0.14285714285714285,0.5,0.25,0.2,,,0.5,0.45454545454545453,0.4,0.4,1.0,0.18181818181818182,0.5,0.5,,0.36363636363636365,0.25,0.25,1.0,0.5,,,0.5,0.4,0.45454545454545453,0.4705272727272727,0.43975,0.47679,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.6666666666666666,8.354545454545454,0.6571428571428571,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
