EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,DefensiveGoaltends,OffFTReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,HeaveMakes,Arc3PctBlocked,OffensiveGoaltends,BlockedCorner3,on,Clear Path Fouls,3pt And 1 Free Throw Trips
1496,1610612755,Keith Van Horn,Keith Van Horn,1496,PHI,53158.0,886,121.0,1687,1665,418,368,233,3352,94.0,150.0,24.0,41.0,24.0,39.0,40.0,94.0,25.0,64.0,9.0,22.0,1.0,2.0,2.0,5.0,12.0,35.0,1.0,3.0,4.0,8.0,159.0,308.0,21.0,57.0,88.0,469.0,1703,28.0,50.0,2.0,5.0,12.0,74.0,35.0,68.0,6.0,13.0,35.0,123.0,218.0,100.0,63.0,42.0,35.0,12.0,26.0,29.0,2.0,31.0,2.0,11.0,4.0,14.0,64.0,8.0,50.0,33.0,91.0,10.0,134,58.0,192,8.0,23.0,15.0,8.0,20.0,1.0,9.0,25.0,11.0,7.0,45.0,4.0,10.0,39.0,94,6.0,6.0,108.0,9.0,3.0,48.0,9.0,16.0,12.0,1.0,3.0,16.0,9.0,6.0,1.0,123.0,418,7.0,0.6855345911949685,0.7898550724637681,1.0,0.3684210526315789,0.4,0.46153846153846156,0.3684210526315789,0.5162337662337663,0.56,0.5147058823529411,0.5219178082191781,0.5636363636363636,0.5432098765432098,0.5653753026634383,0.578125,0.6288659793814433,0.15616438356164383,0.08441558441558442,0.14,0.05319148936170213,23.41513292433538,0.4444444444444444,0.2564102564102564,0.15041322314049588,0.0744047619047619,0.18232044198895028,0.064,0.15776081424936386,0.07277289836888332,0.10666666666666667,0.049019607843137254,0.06584362139917696,0.05952380952380952,0.07317073170731707,0.13142857142857142,0.17412935323383086,0.14410480349344978,0.21232876712328766,0.05714285714285714,0.05063291139240506,0.5625,0.410958904109589,0.6266666666666667,0.7286821705426356,0.7021276595744681,0.25753424657534246,0.425531914893617,0.449438202247191,0.575,0.17534246575342466,0.390625,0.390625,0.8,0.06027397260273973,0.4090909090909091,0.4090909090909091,1.0,0.0958904109589041,0.34285714285714286,0.34285714285714286,1.0,0.7454545454545455,0.5853658536585366,0.16666666666666666,0.03636363636363636,0.5,1.0,0.05454545454545454,0.3333333333333333,1.0,0.48148148148148145,0.6153846153846154,0.06172839506172839,0.4,0.09876543209876543,0.5,0.5671232876712329,0.34285714285714286,0.4953964383561643,0.5402061224489796,0.505670987654321,0.1188118811881188,0.138328530259366,0.15778251599147122,0.2622601279317697,6.511363636363637,24.787719298245612,0.24777711914641376,,,,,,,,,,,,,,,,,,,,True,,
1730,1610612755,Brian Skinner,Brian Skinner,1730,PHI,22739.0,379,28.0,714,719,252,278,98,1433,38.0,59.0,14.0,20.0,15.0,20.0,13.0,40.0,,3.0,,,,,,,,,,,,,51.0,102.0,,,24.0,126.0,684,17.0,26.0,,,4.0,38.0,19.0,38.0,,,8.0,46.0,66.0,36.0,,22.0,,,12.0,5.0,1.0,6.0,,4.0,1.0,,13.0,3.0,24.0,15.0,41.0,8.0,64,29.0,93,1.0,20.0,9.0,11.0,9.0,,2.0,10.0,7.0,2.0,19.0,3.0,3.0,17.0,41,7.0,3.0,39.0,3.0,,18.0,3.0,17.0,12.0,1.0,4.0,18.0,10.0,3.0,2.0,46.0,252,5.0,0.6470588235294118,0.825,,,,,,0.5,0.6538461538461539,0.5,0.5,0.6538461538461539,0.5,0.525,0.7037037037037037,0.5111111111111111,,0.11764705882352941,0.11864406779661017,0.125,16.746987951807228,0.47368421052631576,0.2857142857142857,0.16015625,0.08247422680412371,0.21428571428571427,0.05555555555555555,0.17177914110429449,0.0782608695652174,0.11956521739130435,0.06542056074766354,0.06521739130434782,0.07894736842105263,,0.19753086419753085,0.14444444444444443,0.1411764705882353,0.17647058823529413,0.3157894736842105,0.02564102564102564,0.5555555555555556,0.5784313725490197,0.6440677966101694,0.7307692307692307,0.6052631578947368,0.39215686274509803,0.325,0.37142857142857144,0.7692307692307693,0.029411764705882353,,,,,,,,,,,,0.7692307692307693,0.7,0.21428571428571427,,,,,,,0.5263157894736842,0.75,,,,,0.5784313725490197,,0.49289313725490197,0.5058666666666666,0.48708684210526326,0.15384615384615385,0.15384615384615385,0.30158730158730157,0.36507936507936506,3.7323529411764715,,0.35294117647058826,1.0,2.0,2.0,1.0,1.0,4.0,0.07692307692307693,,,,,,,,,,,,,True,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,52992.0,883,168.0,1694,1688,560,592,217,3382,40.0,70.0,4.0,7.0,11.0,19.0,15.0,43.0,32.0,82.0,9.0,31.0,,,3.0,11.0,6.0,18.0,1.0,1.0,3.0,5.0,87.0,195.0,15.0,49.0,40.0,259.0,1610,6.0,16.0,1.0,1.0,2.0,17.0,27.0,56.0,6.0,16.0,17.0,89.0,100.0,74.0,45.0,6.0,17.0,6.0,21.0,73.0,14.0,87.0,9.0,36.0,15.0,22.0,188.0,5.0,17.0,28.0,77.0,13.0,118,22.0,140,4.0,52.0,34.0,18.0,24.0,2.0,11.0,9.0,13.0,2.0,33.0,4.0,8.0,26.0,66,,3.0,45.0,5.0,,18.0,7.0,3.0,2.0,1.0,,3.0,2.0,,2.0,89.0,560,14.0,0.5747126436781609,0.5952380952380952,1.0,0.30612244897959184,1.0,0.375,0.3125,0.4461538461538462,0.375,0.48214285714285715,0.4487704918032787,0.4411764705882353,0.5,0.49053030303030304,0.4722222222222222,0.5426829268292683,0.20081967213114754,0.1076923076923077,0.2,0.11627906976744186,15.19959058341863,0.7272727272727273,0.23214285714285715,0.12300319488817892,0.024890190336749635,0.14659685863874344,0.04,0.12851897184822522,0.027227722772277228,0.03375527426160337,0.014423076923076924,0.025210084033613446,0.03571428571428571,0.04878048780487805,0.08602150537634409,0.11737089201877934,0.15859030837004406,0.14084507042253522,0.16326530612244897,0.03418803418803419,0.6666666666666666,0.28688524590163933,0.5714285714285714,0.7142857142857143,0.65,0.1762295081967213,0.3488372093023256,0.39473684210526316,0.06666666666666667,0.3360655737704918,0.3902439024390244,0.4,0.71875,0.12704918032786885,0.2903225806451613,0.3103448275862069,1.0,0.07377049180327869,0.3333333333333333,0.3333333333333333,1.0,0.4117647058823529,0.5714285714285714,0.25,,,,0.058823529411764705,1.0,1.0,0.2638888888888889,0.5789473684210527,0.1527777777777778,0.2727272727272727,0.06944444444444445,0.6,0.48770491803278687,0.35294117647058826,0.48270082644628115,0.46476874999999995,0.45589857142857143,0.07003891050583658,0.08653846153846154,0.06563706563706563,0.3436293436293436,9.640512820512821,24.96530612244898,0.3305785123966942,5.0,,1.0,,,,,1.0,2.0,0.04081632653061224,0.024390243902439025,0.06451612903225806,,,,,,,,True,,
727,1610612755,Eric Snow,Eric Snow,727,PHI,84287.0,1405,203.0,2679,2659,746,748,355,5338,80.0,132.0,1.0,8.0,23.0,36.0,22.0,78.0,57.0,132.0,1.0,3.0,,,1.0,3.0,2.0,10.0,,,2.0,8.0,159.0,342.0,3.0,13.0,167.0,494.0,2633,7.0,31.0,,,12.0,26.0,45.0,92.0,3.0,11.0,76.0,175.0,186.0,132.0,9.0,2.0,8.0,2.0,26.0,201.0,36.0,237.0,27.0,100.0,32.0,69.0,510.0,4.0,28.0,29.0,79.0,,108,33.0,141,10.0,54.0,23.0,31.0,45.0,12.0,33.0,32.0,12.0,4.0,77.0,3.0,21.0,45.0,97,5.0,4.0,201.0,11.0,13.0,68.0,30.0,5.0,4.0,,1.0,5.0,,,1.0,175.0,746,13.0,0.5849056603773585,0.5886075949367089,1.0,0.23076923076923078,,0.2727272727272727,0.2727272727272727,0.4649122807017544,0.22580645161290322,0.4891304347826087,0.46056338028169014,0.22580645161290322,0.48058252427184467,0.54627539503386,0.33783783783783783,0.5816326530612245,0.036619718309859155,0.07602339181286549,0.15151515151515152,0.0641025641025641,16.81759379042691,0.5844155844155844,,0.08178053830227744,0.025830258302583026,0.10283687943262411,0.022598870056497175,0.08653846153846154,0.025376685170499604,0.028328611898016998,0.0243161094224924,0.024875621890547265,0.031496062992125984,,0.07446808510638298,0.08463949843260188,0.08493150684931507,0.11162790697674418,0.07462686567164178,0.06289308176100629,,0.37183098591549296,0.6060606060606061,0.7142857142857143,0.4875,0.21971830985915494,0.28205128205128205,0.3013698630136986,0.5909090909090909,0.37183098591549296,0.4318181818181818,0.4351145038167939,0.7192982456140351,0.008450704225352112,0.3333333333333333,0.3333333333333333,1.0,0.028169014084507043,0.2,0.2,1.0,0.25806451612903225,0.125,,,,,,,,0.34951456310679613,0.6388888888888888,0.02912621359223301,0.3333333333333333,0.07766990291262135,0.25,0.4084507042253521,0.25,0.47220085227272723,0.4217172413793103,0.45245149999999995,0.16707021791767554,0.17042606516290726,0.05263157894736842,0.354251012145749,8.922807017543859,29.807692307692307,0.2784621127286301,9.0,1.0,9.0,,,,0.01282051282051282,2.0,,,0.007575757575757576,,1.0,0.07142857142857142,,,,,,True,,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,104538.0,1742,248.0,3325,3309,977,1012,444,6634,116.0,196.0,47.0,75.0,27.0,44.0,49.0,140.0,36.0,95.0,6.0,15.0,2.0,5.0,1.0,5.0,16.0,52.0,2.0,6.0,5.0,16.0,201.0,431.0,22.0,67.0,134.0,602.0,3244,62.0,101.0,4.0,11.0,31.0,167.0,39.0,89.0,6.0,21.0,57.0,153.0,240.0,162.0,66.0,78.0,52.0,16.0,47.0,78.0,9.0,87.0,6.0,47.0,15.0,16.0,183.0,22.0,126.0,51.0,227.0,21.0,299,151.0,450,19.0,53.0,39.0,14.0,58.0,15.0,36.0,38.0,22.0,3.0,96.0,8.0,19.0,102.0,171,7.0,8.0,171.0,9.0,1.0,69.0,21.0,68.0,51.0,,17.0,69.0,43.0,5.0,9.0,153.0,977,12.0,0.5970149253731343,0.7407407407407407,1.0,0.3283582089552239,0.36363636363636365,0.2857142857142857,0.3283582089552239,0.46635730858468677,0.6138613861386139,0.43820224719101125,0.46987951807228917,0.6071428571428571,0.43636363636363634,0.5189982728842832,0.6423076923076924,0.5275862068965518,0.13453815261044177,0.10904872389791183,0.14285714285714285,0.11428571428571428,17.509727626459146,0.6041666666666666,0.21428571428571427,0.18775847808105872,0.09271523178807947,0.14782608695652175,0.09606986899563319,0.1788931788931789,0.09319899244332494,0.11231101511879049,0.0970873786407767,0.07024793388429752,0.07453416149068323,0.14705882352941177,0.16434540389972144,0.1964735516372796,0.1986754966887417,0.1520912547528517,0.13414634146341464,0.084070796460177,0.6231884057971014,0.39357429718875503,0.5918367346938775,0.6904761904761905,0.5603448275862069,0.28112449799196787,0.35,0.3951612903225806,0.5306122448979592,0.19076305220883535,0.37894736842105264,0.391304347826087,0.8055555555555556,0.030120481927710843,0.4,0.4,1.0,0.10441767068273092,0.3076923076923077,0.3076923076923077,1.0,0.6696428571428571,0.6266666666666667,0.1276595744680851,0.044642857142857144,0.4,1.0,0.05357142857142857,0.3333333333333333,1.0,0.4,0.6136363636363636,0.045454545454545456,0.2,0.14545454545454545,0.3125,0.5281124497991968,0.3076923076923077,0.470595281124498,0.5207833333333334,0.47128318181818185,0.12365591397849462,0.14052953156822812,0.27740863787375414,0.2541528239202658,6.97610208816705,25.205970149253734,0.2938345864661654,3.0,3.0,5.0,1.0,1.0,4.0,0.0297029702970297,,,,0.031578947368421054,,,,,,,,,True,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,94743.0,1579,229.0,3034,3014,908,938,403,6048,148.0,273.0,6.0,16.0,33.0,75.0,48.0,125.0,137.0,347.0,4.0,15.0,1.0,4.0,1.0,6.0,30.0,115.0,3.0,13.0,8.0,30.0,333.0,745.0,34.0,130.0,272.0,1040.0,2971,27.0,67.0,4.0,17.0,22.0,88.0,87.0,204.0,9.0,36.0,135.0,336.0,238.0,428.0,87.0,2.0,112.0,29.0,41.0,180.0,17.0,197.0,7.0,104.0,26.0,50.0,411.0,4.0,21.0,32.0,96.0,7.0,135,27.0,162,7.0,107.0,68.0,39.0,68.0,20.0,47.0,55.0,21.0,6.0,123.0,8.0,41.0,22.0,57,1.0,11.0,347.0,21.0,12.0,134.0,41.0,5.0,2.0,2.0,1.0,6.0,3.0,,1.0,336.0,908,6.0,0.35735735735735735,0.35843373493975905,0.8529411764705882,0.26153846153846155,0.23529411764705882,0.25,0.2578125,0.4469798657718121,0.40298507462686567,0.4264705882352941,0.43885714285714283,0.39285714285714285,0.41875,0.501454898157129,0.4444444444444444,0.5219435736677116,0.14857142857142858,0.05503355704697987,0.09523809523809523,0.04,32.78409090909091,0.5528455284552846,0.07954545454545454,0.08905380333951762,0.01710097719869707,0.1038961038961039,0.0182648401826484,0.09235209235209235,0.017277125086385625,0.02122641509433962,0.019662921348314606,0.011160714285714286,0.025806451612903226,,0.04075235109717868,0.09295774647887324,0.12376237623762376,0.09205020920502092,0.14492753623188406,0.01511879049676026,0.5,0.312,0.5421245421245421,0.5991902834008097,0.33783783783783783,0.14285714285714285,0.384,0.4,0.2708333333333333,0.3965714285714286,0.39481268011527376,0.4065281899109792,0.40875912408759124,0.017142857142857144,0.26666666666666666,0.26666666666666666,1.0,0.13142857142857142,0.2608695652173913,0.2608695652173913,0.8333333333333334,0.19047619047619047,0.375,0.5,0.047619047619047616,0.25,1.0,0.15476190476190477,0.23076923076923078,1.0,0.3125,0.44,0.025,0.16666666666666666,0.125,0.26666666666666666,0.4605714285714286,0.25892857142857145,0.4879558419243987,0.4546282894736843,0.4761060669456067,0.13737373737373737,0.1561771561771562,0.08461538461538462,0.3230769230769231,10.069261744966441,25.78461538461539,0.2992748846407383,10.0,2.0,11.0,1.0,1.0,1.0,0.02247191011235955,2.0,,,0.02881844380403458,,2.0,0.015151515151515152,15.0,1.0,,,,True,,
1761,1610612755,Greg Buckner,Greg Buckner,1761,PHI,37393.0,623,112.0,1174,1171,365,419,149,2345,45.0,70.0,14.0,22.0,13.0,21.0,11.0,38.0,18.0,39.0,1.0,8.0,,,,2.0,2.0,11.0,1.0,2.0,,6.0,74.0,147.0,3.0,19.0,21.0,178.0,1119,17.0,29.0,1.0,2.0,1.0,38.0,22.0,39.0,,8.0,10.0,54.0,94.0,54.0,6.0,18.0,9.0,2.0,11.0,34.0,8.0,42.0,6.0,18.0,7.0,9.0,92.0,1.0,32.0,7.0,47.0,5.0,59,34.0,93,,23.0,11.0,12.0,10.0,5.0,7.0,16.0,3.0,4.0,26.0,1.0,10.0,33.0,75,8.0,4.0,29.0,3.0,,11.0,5.0,5.0,3.0,,2.0,5.0,4.0,,1.0,54.0,365,14.0,0.6351351351351351,0.7230769230769231,0.6666666666666666,0.15789473684210525,0.5,,0.17647058823529413,0.5034013605442177,0.5862068965517241,0.5641025641025641,0.47289156626506024,0.5967741935483871,0.46808510638297873,0.4972067039106145,0.6129032258064516,0.5,0.1144578313253012,0.07482993197278912,0.08571428571428572,0.13157894736842105,15.19644180874722,0.38461538461538464,0.14285714285714285,0.1070615034168565,0.06823027718550106,0.058333333333333334,0.013333333333333334,0.09660107334525939,0.06066176470588235,0.08280254777070063,0.06535947712418301,0.05660377358490566,0.018867924528301886,,0.12605042016806722,0.08666666666666667,0.11176470588235295,0.043478260869565216,0.10714285714285714,,0.8,0.42168674698795183,0.6428571428571429,0.703125,0.5111111111111111,0.2289156626506024,0.2894736842105263,0.3333333333333333,0.7272727272727273,0.23493975903614459,0.46153846153846156,0.46153846153846156,0.8888888888888888,0.04819277108433735,0.125,0.125,1.0,0.06626506024096386,0.18181818181818182,0.2,0.5,0.7096774193548387,0.6363636363636364,0.21428571428571427,,,,0.06451612903225806,0.5,,0.44680851063829785,0.6190476190476191,0.0425531914893617,,0.1276595744680851,,0.536144578313253,0.2222222222222222,0.4906731707317074,0.5369875,0.5004911111111111,0.06321839080459771,0.07096774193548387,0.21348314606741572,0.30337078651685395,7.035374149659862,26.594736842105267,0.31090289608177174,2.0,1.0,3.0,,,,0.022727272727272728,2.0,1.0,0.05263157894736842,,,,,3.0,,0.09090909090909091,,,True,,
1903,1610612755,Kenny Thomas,Kenny Thomas,1903,PHI,39433.0,657,130.0,1256,1239,359,375,170,2495,53.0,95.0,15.0,33.0,14.0,25.0,19.0,50.0,9.0,23.0,,,,,,,,,,,,,81.0,168.0,,,43.0,205.0,1207,18.0,41.0,,,13.0,49.0,18.0,40.0,,,16.0,52.0,110.0,52.0,,24.0,,,16.0,33.0,1.0,34.0,1.0,17.0,7.0,9.0,69.0,7.0,57.0,18.0,80.0,12.0,110,64.0,174,6.0,23.0,18.0,5.0,22.0,1.0,12.0,15.0,10.0,2.0,37.0,5.0,8.0,23.0,53,4.0,5.0,58.0,6.0,,25.0,7.0,10.0,3.0,1.0,6.0,10.0,7.0,3.0,,52.0,359,4.0,0.6790123456790124,0.7971014492753623,,,,,,0.48214285714285715,0.43902439024390244,0.45,0.48214285714285715,0.43902439024390244,0.45,0.5283505154639175,0.5104166666666666,0.5098039215686274,,0.09523809523809523,0.1368421052631579,0.06,15.7679180887372,0.5945945945945946,0.34285714285714286,0.17167381974248927,0.10775047258979206,0.13636363636363635,0.1044776119402985,0.16387959866220736,0.10738255033557047,0.11173184357541899,0.13496932515337423,0.08021390374331551,0.10416666666666667,0.10526315789473684,0.15217391304347827,0.18120805369127516,0.1787709497206704,0.12871287128712872,0.16129032258064516,0.08450704225352113,0.7,0.5654761904761905,0.5578947368421052,0.6463414634146342,0.7169811320754716,0.2976190476190476,0.38,0.40425531914893614,0.5263157894736842,0.13690476190476192,0.391304347826087,0.391304347826087,0.7777777777777778,,,,,,,,,0.8048780487804879,0.45454545454545453,0.26666666666666666,,,,,,,0.625,0.56,,,,,0.5654761904761905,,0.495617857142857,0.5418425,0.528145,0.13368983957219252,0.13368983957219252,0.23902439024390243,0.25365853658536586,4.919047619047619,,0.285828025477707,,,2.0,,,1.0,,,,,,,,,,,,1.0,,True,,
2261,1610612755,Kenny Satterfield,Kenny Satterfield,2261,PHI,857.0,14,-5.0,24,26,14,13,8,50,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,2.0,28,,1.0,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,2.0,1.0,3.0,1.0,2.0,,,7.0,1.0,1.0,1.0,,,1,2.0,3,,1.0,,1.0,,,,,,,,,,2.0,3,,,,,,,,,,,,,,,,2.0,14,1.0,1.0,1.0,,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,,5.555555555555555,,,,0.05263157894736842,0.5,0.5,0.1,0.09523809523809523,,,0.16666666666666666,0.5,,,,,1.0,,,,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,0.5,,0.5684,0.4233,0.5684,,,,1.0,7.25,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,True,,
2422,1610612755,John Salmons,John Salmons,2422,PHI,8963.0,149,29.0,286,289,121,134,38,575,2.0,6.0,1.0,1.0,,1.0,1.0,4.0,1.0,5.0,1.0,6.0,,,,2.0,1.0,4.0,,,1.0,2.0,4.0,15.0,2.0,10.0,5.0,19.0,251,1.0,2.0,,,,2.0,1.0,4.0,1.0,4.0,4.0,9.0,4.0,4.0,6.0,2.0,4.0,1.0,1.0,6.0,1.0,7.0,,2.0,2.0,2.0,15.0,1.0,1.0,6.0,11.0,,17,2.0,19,1.0,4.0,2.0,2.0,3.0,,3.0,,,,3.0,1.0,1.0,5.0,13,2.0,,6.0,,,3.0,,,,,,1.0,1.0,,,9.0,121,1.0,0.5,0.6666666666666666,1.0,0.2,,0.25,0.2,0.26666666666666666,0.5,0.25,0.28,0.5,0.3125,0.3392857142857143,0.5,0.45,0.4,0.06666666666666667,0.16666666666666666,,9.393939393939394,1.0,,0.09243697478991597,0.009174311926605505,0.18181818181818182,0.03571428571428571,0.1118421052631579,0.014598540145985401,,0.047619047619047616,,0.05555555555555555,,0.044444444444444446,0.20689655172413793,0.06666666666666667,0.16666666666666666,0.2222222222222222,0.058823529411764705,1.0,0.24,0.3333333333333333,0.4,0.5,0.16,0.25,0.25,1.0,0.2,0.2,0.2,,0.24,0.16666666666666666,0.16666666666666666,1.0,0.16,0.25,0.25,1.0,0.5,1.0,,,,,,,,0.125,,0.25,,0.25,0.5,0.64,0.25,0.5053562500000001,0.43975,0.47719285714285714,0.10714285714285714,0.16666666666666666,0.10526315789473684,0.47368421052631576,8.873333333333335,25.07,0.4230769230769231,1.0,,,1.0,,,,,,,,,,,,,,,1.0,True,,
