EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefRebounds,Rebounds,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG2M,FG3M,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2A,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimPctBlocked,OffShortMidRangeReboundPct,SecondChanceFtPoints,PenaltyFtPoints,OffThreePtRebounds,NonShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGA,PenaltyCorner3FGA,DefShortMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,on,SecondChanceAtRimFGM,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Corner3PctBlocked,BlockedCorner3
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,403.0,7,2.0,14,12,7.0,6.0,5.0,26,1.0,1.0,1.0,1.0,1.0,11,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,0.5,1.0,1.0,10.0,0.5,0.5,1.0,0.5,0.466725,0.50985,9.5,24.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,1610612761,Vince Carter,Vince Carter,1713,TOR,320.0,5,3.0,12,11,3.0,3.0,3.0,23,,1.0,,,1.0,9,,1.0,,,,,,,,,,3.0,1.0,,,6.25,,1.0,,1.0,0.6387,,,24.7,0.25,1.0,1.0,1.0,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747,1610612761,Rafer Alston,Rafer Alston,1747,TOR,498.0,8,1.0,15,14,8.0,3.0,3.0,29,,2.0,2.0,3.0,2.0,10,2.0,2.0,,,,,,,,,,8.0,0.4,,,26.31578947368421,,0.4,0.5,0.8,0.47773000000000004,0.4635625,6.066666666666666,25.3,0.5333333333333333,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,5.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.6666666666666666,0.5,0.7,1.5,0.625,0.7,1.5,0.625,0.4,1.0,1.0,0.5,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.25,1.0,0.5,0.5,0.42857142857142855,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1610612761,Zendon Hamilton,Zendon Hamilton,1985,TOR,668.0,11,2.0,22,21,11.0,6.0,5.0,43,,,,5.0,,17,,,,,,,,,,1.0,,11.0,,,,24.999999999999996,,,,1.0,0.6325999999999999,0.6367333333333334,,,0.5,1.0,3.0,4.0,0.5,0.3,,2.0,5.0,1.0,3.0,,,,,,2.0,,6.0,,,,1.0,3.0,,2.0,,4.0,,,2.0,,,,,,,,0.4,0.3333333333333333,0.4,,0.3333333333333333,0.5,,0.3333333333333333,1.0,0.4,0.4,,,,,,,,,1.0,0.3333333333333333,,,,0.3333333333333333,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,0.09090909090909091,0.0625,0.14285714285714285,0.5,1.0,1.0,0.5545,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,98.0,2,,3,3,,,1.0,6,1.0,,,3.0,,2,,,2.0,,,,,,,,,,,0.6666666666666666,1.0,60.0,0.3333333333333333,,,0.6666666666666666,0.46799999999999997,,1.9333333333333333,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,0.25,0.25,,,,1.0,0.5437,,,0.5,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,1610612761,Voshon Lenard,Voshon Lenard,702,TOR,518.0,9,,17,17,11.0,6.0,4.0,34,,1.0,1.0,2.0,1.0,15,1.0,1.0,1.0,,,,,,,1.0,1.0,11.0,0.3333333333333333,0.5,,23.80952380952381,,0.3333333333333333,1.0,1.0,0.5211333333333333,0.4386,,26.2,0.6470588235294118,,,2.0,,,,1.0,2.0,,,,,,,,1.0,,6.0,,,2.0,,,,2.0,2.0,,,,2.0,1.0,1.0,,,,,,0.5,,0.3333333333333333,,,0.6,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,4.0,1.0,,,2.0,,,,,,,4.0,1.0,,,0.18181818181818182,,,,1.0,0.5818,0.25,0.3333333333333333,0.5,,2.0,2.0,2.0,1.0,0.4,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2214,1610612761,Michael Bradley,Michael Bradley,2214,TOR,537.0,9,1.0,16,15,8.0,3.0,4.0,31,,,,1.0,1.0,12,1.0,,,,,,,,,,,8.0,0.5,,,15.0,,,,1.0,0.54295,0.4542,,23.3,0.5,,2.0,3.0,,0.2222222222222222,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,1.0,1.0,,,0.25,,0.08333333333333333,,0.25,,,,,,,,,,1.0,,0.2,0.25,1.0,1.0,0.3333333333333333,0.5,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,33.0,1,1.0,3,3,3.0,3.0,,6,,,,,,3,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,265.0,4,,8,9,4.0,,,17,,,,1.0,,6,,,,1.0,,1.0,,1.0,2.0,,,4.0,,,,12.5,,,,,0.3823,,19.0,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,158142.0,2636,-259.0,4919,4927,1124.0,1139.0,662.0,9846,185.0,134.0,27.0,758.0,145.0,5336,29.0,133.0,33.0,328.0,86.0,414.0,55.0,140.0,914.0,110.0,38.0,1124.0,0.16057585825027684,0.04353562005277045,0.06486486486486487,19.71363715732495,0.20487264673311184,0.14839424141749724,0.12385321100917432,0.31450719822812845,0.4466701219512195,0.4283426267281106,13.116094986807388,25.25241379310345,0.2285017279934946,26.0,190.0,245.0,0.07262569832402235,0.07964989059080962,0.08076923076923077,73.0,139.0,15.0,37.0,434.0,43.0,6.0,13.0,9.0,348.0,48.0,1027.0,6.0,13.0,102.0,76.0,189.0,10.0,263.0,252.0,444.0,66.0,43.0,263.0,0.3620689655172414,0.3761194029850746,0.4583333333333333,0.3310344827586207,0.46153846153846156,0.3448275862068966,0.3333333333333333,0.45910290237467016,0.4021164021164021,0.46511627906976744,0.49473684210526314,0.41743119266055045,0.503988035892323,0.505,0.4961832061068702,0.1539313399778516,0.5251798561151079,0.5983606557377049,0.3150684931506849,0.4806201550387597,0.3208955223880597,0.3233082706766917,0.4418604651162791,0.1368421052631579,0.46153846153846156,0.6666666666666666,0.16972477064220184,0.40540540540540543,0.3333333333333333,0.3233082706766917,0.09931840311587146,0.2560856864654333,22.0,187.0,82.0,40.0,156.0,55.0,72.0,46.0,128.0,33.0,170.0,8.0,239.0,85.0,0.08095485210171251,0.01981178801386825,0.021844660194174758,0.029469548133595286,0.08244274809160305,0.05102040816326531,0.23157894736842105,0.4426493333333333,0.08856848609680741,0.10303030303030303,0.1223021582733813,0.02936096718480138,8.0,81.0,14.0,32.0,0.03090507726269316,0.03625377643504532,11.0,2.0,0.07507507507507508,0.012181616832779624,0.009174311926605505,False,12.0,81.0,194.0,5.0,1.0,38.0,78.0,26.0,1.0,1.0,31.0,46.0,142.0,1.0,8.0,15.0,82.0,22.0,53.0,8.0,29.0,2.0,13.0,97.0,7.0,18.0,20.0,1.0,21.0,14.0,1.0,6.0,21.0,9.0,1.0,1.0,23.0,0.4634146341463415,0.006896551724137931,0.009216589861751152,0.007462686567164179,0.640625,0.053691275167785234,0.005813953488372093,0.008592910848549946,0.01639344262295082,0.0858085808580858,0.032467532467532464,0.42857142857142855,0.43783783783783786,0.4682080924855491,0.18518518518518517,0.4470046082949309,0.4511627906976744,0.4536082474226804,0.45454545454545453,0.45454545454545453,0.6,0.5454545454545454,0.5,0.00684931506849315,,,,,,,,,,,,,,,
