EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,HeaveAttempts,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,SecondChanceTurnovers,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,Clear Path Fouls,DefensiveGoaltends,SecondChanceArc3FGM,PtsUnassisted3s,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,on,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Blocked3s,BlockedCorner3,HeaveMakes,ThreePtShootingFoulsDrawn,BlockedArc3,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
101110,1610612757,Martell Webster,Martell Webster,101110,POR,11616.0,194,-5.0,343,344,120.0,98.0,53.0,687,2.0,9.0,5.0,4.0,5.0,24.0,5.0,13.0,1.0,1.0,1.0,3.0,3.0,16.0,1.0,1.0,9.0,7.0,33.0,8.0,29.0,11.0,49.0,365,1.0,8.0,1.0,2.0,3.0,8.0,1.0,8.0,2.0,12.0,4.0,12.0,8.0,6.0,24.0,16.0,3.0,4.0,6.0,1.0,7.0,1.0,3.0,3.0,15.0,5.0,1.0,14.0,15.0,5.0,20.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,9.0,16.0,1.0,3.0,13.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,12.0,120.0,1.0,2.0,0.5714285714285714,0.5714285714285714,1.0,0.2758620689655172,0.5,0.1666666666666666,0.2758620689655172,0.2121212121212121,0.125,0.125,0.3064516129032258,0.25,0.2,0.3602941176470588,0.3333333333333333,0.2608695652173913,0.4677419354838709,0.1212121212121212,0.2222222222222222,0.0833333333333333,17.39130434782609,0.5,0.1021897810218978,0.0367647058823529,0.0434782608695652,0.09375,0.0289017341040462,0.0535714285714285,0.037037037037037,0.108695652173913,0.1875,0.0555555555555555,0.0238095238095238,0.3333333333333333,0.1451612903225806,0.2222222222222222,0.2857142857142857,0.3870967741935484,0.2083333333333333,0.2272727272727272,0.8,0.2096774193548387,0.3846153846153846,0.3846153846153846,1.0,0.2580645161290322,0.1875,0.1875,1.0,0.5,0.1,1.0,1.0,0.1,0.2,0.15,0.3333333333333333,0.45,0.1111111111111111,0.6129032258064516,0.1875,0.4887774193548387,0.5195166666666666,0.4859875,0.0615384615384615,0.1111111111111111,0.1632653061224489,0.2448979591836734,13.730303030303032,24.20344827586208,0.3498542274052478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
101127,1610612757,Jarrett Jack,Jarrett Jack,101127,POR,39459.0,658,-123.0,1193,1219,385.0,359.0,157.0,2412,21.0,42.0,4.0,14.0,29.0,69.0,4.0,13.0,1.0,2.0,,2.0,4.0,16.0,,1.0,5.0,70.0,146.0,8.0,29.0,38.0,202.0,1321,3.0,9.0,1.0,2.0,4.0,13.0,20.0,45.0,1.0,7.0,11.0,54.0,44.0,96.0,24.0,15.0,4.0,7.0,69.0,15.0,84.0,7.0,30.0,29.0,183.0,4.0,22.0,48.0,75.0,7.0,82.0,2.0,19.0,7.0,23.0,15.0,18.0,3.0,41.0,15.0,30.0,59.0,44.0,,6.0,55.0,6.0,22.0,5.0,,,,,,54.0,385.0,5.0,5.0,0.3142857142857143,0.3142857142857143,1.0,0.2758620689655172,0.5,0.1428571428571428,0.2857142857142857,0.4794520547945205,0.3333333333333333,0.4444444444444444,0.4685714285714286,0.4090909090909091,0.4134615384615384,0.5076530612244898,0.5,0.4416666666666666,0.1657142857142857,0.047945205479452,0.1428571428571428,,17.26147123088128,0.5609756097560976,0.1066666666666666,0.0086580086580086,0.176,0.1217391304347826,0.0109689213893967,0.0117647058823529,0.0112359550561797,0.09375,0.1222222222222222,0.1518987341772152,0.0232558139534883,,0.24,0.5,0.5833333333333334,0.3942857142857143,0.4202898550724637,0.4202898550724637,0.4482758620689655,0.0742857142857142,0.3076923076923077,0.3076923076923077,1.0,0.0914285714285714,0.25,0.25,1.0,0.3636363636363636,0.1818181818181818,0.5,1.0,,0.2692307692307692,0.0384615384615384,,0.0961538461538461,0.2,0.4057142857142857,0.2666666666666666,0.4571359195402299,0.475925,0.4395539215686274,0.1151832460732984,0.1358024691358024,0.0643564356435643,0.2673267326732673,11.345205479452057,24.74827586206896,0.3227158424140821,1.0,5.0,20.0,35.0,1.0,8.0,10.0,2.0,1.0,5.0,12.0,5.0,8.0,1.0,1.0,1.0,5.0,7.0,0.0285714285714285,0.131578947368421,0.0142857142857142,0.0235294117647058,0.0175438596491228,0.0357142857142857,0.1,0.217391304347826,0.2857142857142857,0.2,0.5714285714285714,0.5882352941176471,0.15,0.25,0.3571428571428571,,,,,,,,,,,,,,,True,,,,,,,,,,,
1520,1610612757,Charles Smith,Charles Smith,1520,POR,3975.0,66,4.0,117,114,33.0,25.0,18.0,231,2.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,,2.0,3.0,10.0,,2.0,4.0,5.0,9.0,4.0,14.0,2.0,24.0,114,1.0,3.0,1.0,1.0,,5.0,,1.0,2.0,6.0,,6.0,10.0,,12.0,10.0,3.0,1.0,2.0,,2.0,,1.0,1.0,4.0,1.0,,6.0,7.0,2.0,9.0,,,,1.0,1.0,1.0,,2.0,,5.0,13.0,3.0,,,4.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,33.0,2.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.3333333333333333,0.2857142857142857,0.5555555555555556,0.3333333333333333,,0.4782608695652174,0.625,0.4285714285714285,0.48,0.625,0.375,0.6086956521739131,0.1111111111111111,0.2,,19.42446043165468,0.5,0.12,0.0232558139534883,,0.1016949152542373,0.0344827586206896,,0.0714285714285714,0.0666666666666666,0.0952380952380952,,,0.5,0.217391304347826,0.4,0.5,0.1304347826086956,1.0,1.0,1.0,0.1739130434782608,0.25,0.25,1.0,0.4347826086956521,0.3,0.3,1.0,0.75,0.25,1.0,1.0,,0.1428571428571428,0.2857142857142857,,0.5714285714285714,0.5,0.8260869565217391,0.3,0.5060543478260869,0.623775,0.50085,0.0416666666666666,0.1,0.2083333333333333,0.25,7.055555555555555,24.571428571428573,0.282051282051282,1.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,0.5,,0.0666666666666666,0.0909090909090909,,0.2142857142857142,,1.0,0.0434782608695652,,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,63374.0,1056,-149.0,1900,1931,672.0,644.0,256.0,3831,160.0,262.0,50.0,86.0,2.0,16.0,,,,,,,,7.0,,,4.0,188.0,372.0,,7.0,138.0,514.0,2129,34.0,62.0,,,13.0,81.0,63.0,126.0,,4.0,63.0,189.0,186.0,190.0,,3.0,,50.0,48.0,12.0,60.0,3.0,37.0,10.0,132.0,61.0,31.0,46.0,81.0,73.0,154.0,14.0,42.0,14.0,39.0,17.0,43.0,4.0,82.0,32.0,23.0,79.0,169.0,9.0,8.0,226.0,23.0,97.0,28.0,12.0,6.0,4.0,12.0,7.0,189.0,672.0,14.0,23.0,0.4946808510638298,0.5740740740740741,,,,,,0.5053763440860215,0.5483870967741935,0.5,0.496042216358839,0.5483870967741935,0.4846153846153846,0.5343035343035343,0.54,0.5279329608938548,0.0184696569920844,0.1344086021505376,0.148854961832061,0.125,25.36101083032491,0.4756097560975609,0.0667634252539912,0.0820995962314939,0.1476190476190476,0.0856507230255839,0.0820980615735461,0.0640569395017793,0.0722021660649819,0.0707964601769911,0.0569395017793594,0.1642857142857142,0.1076923076923077,0.5833333333333334,0.6912928759894459,0.6106870229007634,0.7174887892376681,0.0422163588390501,0.125,0.1428571428571428,1.0,,,,,0.0184696569920844,,,,0.8064516129032258,,,,,0.6615384615384615,,,0.0307692307692307,,0.7097625329815304,,0.5173798128342246,0.5042857142857143,0.5048527559055118,0.2141280353200883,0.2174887892376681,0.1575875486381323,0.367704280155642,2.9075268817204303,49.41428571428571,0.3536842105263157,32.0,54.0,26.0,94.0,4.0,9.0,1.0,11.0,1.0,4.0,28.0,5.0,22.0,4.0,10.0,6.0,13.0,,0.0957446808510638,0.0625,0.0103092783505154,0.0820895522388059,0.0842105263157894,0.0769230769230769,0.0769230769230769,0.1142857142857142,0.5,0.2480211081794195,0.2765957446808511,0.3058823529411765,0.4230769230769231,0.64,0.627906976744186,0.1875,52.0,4.0,2.0,3.0,5.0,0.1243243243243243,,,,,,,,True,,,,,,,,,,,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,17823.0,297,-10.0,518,526,185.0,175.0,75.0,1044,22.0,39.0,17.0,10.0,,,,,,,,,,,,,,25.0,43.0,,,16.0,66.0,563,9.0,17.0,,,2.0,20.0,6.0,11.0,,,6.0,18.0,32.0,18.0,,,,4.0,9.0,1.0,10.0,1.0,4.0,3.0,21.0,34.0,10.0,43.0,58.0,38.0,96.0,1.0,3.0,,7.0,3.0,7.0,1.0,14.0,1.0,14.0,36.0,33.0,3.0,,30.0,3.0,14.0,3.0,27.0,22.0,5.0,27.0,16.0,18.0,185.0,7.0,3.0,0.64,0.8421052631578947,,,,,,0.5813953488372093,0.5294117647058824,0.5454545454545454,0.5813953488372093,0.5294117647058824,0.5454545454545454,0.5789473684210527,0.4761904761904761,0.5,,0.0930232558139534,0.1025641025641025,,11.544715447154472,0.5,0.2009345794392523,0.1538461538461538,0.1923076923076923,0.1992481203007518,0.1451612903225806,0.1463414634146341,0.160919540229885,0.1587301587301587,0.1931818181818181,0.2432432432432432,0.0714285714285714,0.5925925925925926,0.9069767441860463,0.5641025641025641,0.6285714285714286,,,,,,,,,,,,,1.0,,,,,0.9090909090909092,,,,,0.9069767441860463,,0.5416953488372093,0.555525,0.5216545454545455,0.2592592592592592,0.2592592592592592,0.303030303030303,0.2727272727272727,0.8697674418604651,,0.3571428571428571,9.0,6.0,3.0,4.0,,,2.0,2.0,2.0,5.0,3.0,,4.0,,1.0,6.0,4.0,,,0.2631578947368421,0.08,0.074074074074074,0.0833333333333333,,0.2539682539682539,0.0666666666666666,0.6818181818181818,0.0930232558139534,0.75,0.75,0.3333333333333333,0.5294117647058824,0.6,0.3333333333333333,12.0,2.0,,1.0,1.0,0.1538461538461538,1.0,5.0,,,,,,True,,,,,,,,,,,
2581,1610612757,Steve Blake,Steve Blake,2581,POR,20103.0,335,-78.0,607,620,260.0,287.0,79.0,1227,4.0,10.0,,1.0,11.0,32.0,4.0,7.0,1.0,2.0,4.0,7.0,8.0,20.0,1.0,3.0,8.0,16.0,50.0,12.0,27.0,20.0,88.0,732,,5.0,1.0,3.0,,3.0,9.0,19.0,7.0,15.0,18.0,57.0,12.0,20.0,36.0,20.0,8.0,3.0,44.0,9.0,53.0,5.0,22.0,17.0,115.0,7.0,9.0,15.0,28.0,7.0,35.0,3.0,8.0,1.0,10.0,9.0,3.0,,13.0,6.0,11.0,16.0,17.0,,2.0,23.0,,1.0,10.0,4.0,,3.0,4.0,2.0,57.0,260.0,1.0,10.0,0.375,0.375,1.0,0.4444444444444444,0.3333333333333333,0.4666666666666667,0.4444444444444444,0.32,,0.4736842105263157,0.4415584415584415,0.1875,0.5735294117647058,0.4943181818181818,0.1875,0.6363636363636364,0.3506493506493506,0.06,,0.03125,14.326241134751774,0.7692307692307693,0.0728155339805825,0.0301724137931034,0.1125,0.0839160839160839,0.025735294117647,0.0114942528735632,0.0465116279069767,,0.0978260869565217,0.0545454545454545,0.0652173913043478,0.5,0.1298701298701298,0.4,0.4,0.4155844155844156,0.34375,0.3548387096774194,0.1818181818181818,0.0909090909090909,0.5714285714285714,0.5714285714285714,1.0,0.2597402597402597,0.4,0.4,1.0,,0.25,0.5,1.0,0.125,0.0294117647058823,0.2058823529411764,0.5714285714285714,0.2352941176470588,0.375,0.4805194805194805,0.4,0.457337012987013,0.4540214285714286,0.4517220588235293,0.0128205128205128,0.0196078431372549,0.034090909090909,0.6477272727272727,14.03,24.444444444444443,0.42833607907743,,1.0,1.0,8.0,,4.0,5.0,,,4.0,7.0,1.0,1.0,,,,1.0,1.0,0.25,0.1818181818181818,,,,,0.0967741935483871,0.24,0.75,0.1038961038961039,0.125,0.1666666666666666,1.0,,1.0,,,,1.0,,,0.0338983050847457,,,,,,,,True,,,,,,,,,,,
2775,1610612757,Ha Ha,Ha Ha,2775,POR,2781.0,46,-12.0,81,82,21.0,29.0,13.0,163,2.0,6.0,1.0,2.0,,,,,,,,,,,,,,2.0,7.0,,,2.0,6.0,97,,1.0,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,1.0,1.0,9.0,11.0,1.0,12.0,,,,,,4.0,1.0,4.0,3.0,6.0,11.0,2.0,,,4.0,,1.0,1.0,2.0,2.0,,2.0,,,21.0,2.0,,1.0,1.0,,,,,,0.2857142857142857,,,0.2857142857142857,,,0.3333333333333333,,,,,,,13.68421052631579,,0.3333333333333333,0.03125,0.1666666666666666,0.303030303030303,0.024390243902439,,,0.1428571428571428,0.2307692307692307,0.1666666666666666,,,0.8571428571428571,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,1.0,,,,,0.8571428571428571,,0.5001857142857142,0.5379,0.522,0.125,0.125,,,1.3714285714285714,,0.2592592592592592,,,,1.0,,,,,,1.0,,,,,,1.0,2.0,,,0.5,,,,,0.7142857142857143,,1.0,0.1428571428571428,,,,,,,,,,,,0.1,,1.0,,,,,,True,,,,,,,,,,,
689,1610612757,Theo Ratliff,Theo Ratliff,689,POR,30997.0,517,-55.0,929,950,343.0,316.0,117.0,1879,17.0,27.0,11.0,10.0,3.0,6.0,,,,,,,,,,,,35.0,65.0,,,28.0,98.0,1019,8.0,17.0,,,8.0,24.0,9.0,18.0,,,14.0,32.0,36.0,34.0,,,,6.0,11.0,3.0,14.0,2.0,5.0,5.0,31.0,30.0,16.0,57.0,78.0,40.0,118.0,2.0,4.0,,4.0,1.0,11.0,1.0,15.0,2.0,34.0,55.0,50.0,6.0,11.0,39.0,1.0,15.0,5.0,33.0,25.0,8.0,33.0,24.0,32.0,343.0,3.0,5.0,0.5142857142857142,0.6206896551724138,,,,,,0.5384615384615384,0.4705882352941176,0.5,0.5384615384615384,0.4705882352941176,0.5,0.5833333333333334,0.5217391304347826,0.5714285714285714,,0.0923076923076923,0.1111111111111111,,9.192200557103064,0.2666666666666666,0.1623931623931624,0.088235294117647,0.1481481481481481,0.1590413943355119,0.087378640776699,0.0697674418604651,0.0782608695652174,0.1640625,0.1925925925925926,0.1594202898550724,0.0833333333333333,0.7272727272727273,0.4153846153846154,0.6296296296296297,0.7083333333333334,0.0923076923076923,0.5,0.5,1.0,,,,,,,,,0.6470588235294118,,,,,0.5555555555555556,,,,,0.4153846153846154,,0.445236923076923,0.4838133333333333,0.4631222222222223,0.189873417721519,0.189873417721519,0.2448979591836734,0.3265306122448979,4.9692307692307685,,0.3692142088266953,5.0,6.0,15.0,32.0,,1.0,1.0,6.0,4.0,5.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,,0.09375,0.1724137931034483,0.0833333333333333,0.0833333333333333,0.0980392156862745,0.0476190476190476,0.1136363636363636,0.1282051282051282,0.5882352941176471,0.4923076923076923,0.46875,0.5172413793103449,0.3333333333333333,0.4545454545454545,0.6,,12.0,3.0,,2.0,1.0,0.125,,5.0,,,,,,True,,,,,,,,,,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,10372.0,173,-5.0,315,327,128.0,115.0,42.0,642,19.0,35.0,4.0,13.0,11.0,30.0,,1.0,,,,1.0,,1.0,,,1.0,39.0,81.0,,2.0,16.0,94.0,345,6.0,10.0,,,1.0,13.0,14.0,30.0,,2.0,12.0,40.0,38.0,40.0,,1.0,,8.0,10.0,3.0,13.0,1.0,6.0,2.0,29.0,5.0,10.0,21.0,36.0,6.0,42.0,1.0,5.0,3.0,9.0,8.0,11.0,1.0,20.0,10.0,6.0,16.0,18.0,1.0,,28.0,2.0,9.0,6.0,5.0,2.0,1.0,5.0,4.0,40.0,128.0,,5.0,0.4871794871794871,0.5135135135135135,,,,,,0.4814814814814814,0.6,0.4666666666666667,0.4698795180722891,0.6,0.4375,0.4895833333333333,0.5909090909090909,0.5,0.0240963855421686,0.0987654320987654,0.1714285714285714,0.0333333333333333,31.78082191780822,0.45,0.1779661016949152,0.0454545454545454,0.2272727272727272,0.191358024691358,0.0461538461538461,0.0816326530612244,0.027027027027027,0.1794871794871795,0.1698113207547169,0.25,0.0277777777777777,0.8,0.4216867469879518,0.5428571428571428,0.6551724137931034,0.3614457831325301,0.3666666666666666,0.3793103448275862,0.7272727272727273,0.0120481927710843,,,,0.0120481927710843,,,,0.4,,,,,0.40625,0.03125,,0.03125,,0.4457831325301205,,0.4572939759036145,0.4729,0.46269375,0.1,0.1022727272727272,0.1382978723404255,0.425531914893617,8.596296296296297,23.05,0.4063492063492063,3.0,7.0,9.0,16.0,,2.0,2.0,1.0,,5.0,2.0,2.0,1.0,,2.0,,5.0,,0.0625,0.3333333333333333,,0.05,0.0588235294117647,,0.1923076923076923,0.1666666666666666,0.4210526315789473,0.1927710843373494,0.5625,0.6,0.3333333333333333,0.75,0.5384615384615384,0.3333333333333333,4.0,1.0,2.0,,1.0,,,,,,,,,True,,,,,,,,,,,
2413,1610612757,Juan Dixon,Juan Dixon,2413,POR,31141.0,519,-103.0,949,957,343.0,376.0,132.0,1906,28.0,47.0,4.0,16.0,40.0,96.0,8.0,13.0,1.0,2.0,1.0,4.0,14.0,38.0,2.0,3.0,12.0,78.0,173.0,22.0,51.0,43.0,265.0,1113,6.0,18.0,2.0,4.0,8.0,26.0,26.0,65.0,4.0,16.0,26.0,90.0,58.0,98.0,60.0,38.0,14.0,11.0,37.0,8.0,45.0,4.0,24.0,8.0,98.0,4.0,10.0,35.0,48.0,4.0,52.0,,16.0,8.0,19.0,12.0,12.0,2.0,31.0,7.0,17.0,45.0,36.0,,1.0,55.0,3.0,15.0,10.0,2.0,1.0,1.0,2.0,,90.0,343.0,11.0,10.0,0.3717948717948718,0.3766233766233766,0.9090909090909092,0.4313725490196078,0.5,0.25,0.4313725490196078,0.4508670520231214,0.3333333333333333,0.4,0.4955357142857143,0.4090909090909091,0.3950617283950617,0.524390243902439,0.5,0.4578947368421052,0.2276785714285714,0.0635838150289017,0.1276595744680851,0.03125,25.0,0.6129032258064516,0.1186440677966101,0.0106382978723404,0.0847457627118644,0.1089588377723971,0.009009009009009,0.02,,0.1428571428571428,0.1507936507936507,0.0897435897435897,,,0.2098214285714285,0.5957446808510638,0.6829268292682927,0.4285714285714285,0.4166666666666667,0.4301075268817204,0.375,0.0580357142857142,0.6153846153846154,0.6153846153846154,1.0,0.1696428571428571,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.1818181818181818,0.0909090909090909,0.5,1.0,0.0909090909090909,0.1975308641975308,0.0493827160493827,0.25,0.1481481481481481,0.25,0.4375,0.3684210526315789,0.4663035874439462,0.45515,0.4568907407407408,0.0635593220338983,0.081081081081081,0.0981132075471698,0.3396226415094339,12.069942196531793,24.550980392156852,0.3614330874604847,3.0,10.0,10.0,30.0,,4.0,5.0,,,3.0,8.0,3.0,7.0,,4.0,2.0,3.0,8.0,0.0666666666666666,0.0967741935483871,,,,,0.0470588235294117,0.075,0.4285714285714285,0.1339285714285714,0.3333333333333333,0.3571428571428571,0.2,0.75,0.625,0.3333333333333333,2.0,3.0,,,1.0,0.0109890109890109,,,1.0,6.0,0.5,1.0,,True,,,,,,,,,,,
