EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyOffPossPct,Corner3FGA,AtRimAssists,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,Corner3Frequency,LongMidRangeFGM,LongMidRangeFGA,FtPoints,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,OffRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,on,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3Assists,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGA,PenaltyFG3A,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,BlockedCorner3,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,235.0,4.0,8,8,7.0,1.0,1.0,15,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.22222222222222,0.25,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.3915,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,1610612747,Laron Profit,Laron Profit,1919,LAL,235.0,4.0,8,8,7.0,1.0,1.0,15,,,,,3.0,6.0,,1.0,,1.0,1.0,,,1.0,,,1.5,1.5,11.11111111111111,,0.5,0.16666666666666666,,0.5,,,,0.62625,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62625,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,374.0,6.0,14,14,11.0,1.0,3.0,25,,1.0,1.0,2.0,2.0,6.0,,,,,,,,1.0,,0.5,0.5,0.5,12.5,,,,,,0.5,,,0.4975,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,374.0,6.0,14,14,11.0,1.0,3.0,25,,,1.0,1.0,2.0,6.0,2.0,,,,,,1.0,1.0,,1.0,0.5,0.5,18.75,,,,,,,,,0.64905,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,23.5,1.0,1.0,1.0,,2.0,2.0,1.0,4.0,1.0,,,0.5,1.0,1.0,,0.07142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,363.0,6.0,12,13,11.0,1.0,3.0,24,1.0,2.0,3.0,4.0,7.0,6.0,2.0,1.0,1.0,2.0,3.0,,,,,0.75,0.75,0.875,26.666666666666668,0.2,0.25,0.2222222222222222,,,0.5,0.5,0.5,0.407775,13.399999999999999,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,3.0,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,139.0,2.0,6,6,4.0,,2.0,10,,1.0,1.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,,,,0.5,0.5,0.5,28.57142857142857,,0.5,0.3333333333333333,,,0.5,,,0.34655,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4326,,,1.0,,,,,,,,1.0,,,,,,,0.16666666666666666,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,0.5,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.2605,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,1610612747,Kwame Brown,Kwame Brown,2198,LAL,11.0,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,11.0,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,128.0,2.0,4,5,4.0,,2.0,9,,,1.0,2.0,2.0,,2.0,,,,1.0,,,1.0,,0.5,0.5,0.5,33.333333333333336,,,,,,,,,0.5005,9.2,,,,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.5,,0.5811,1.0,,,1.0,1.0,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,0.3333333333333333,0.25,0.5,,,0.5,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,20298.0,338.0,-47,644,651.0,249.0,80.0,1295,11.0,31.0,33.0,82.0,74.0,678.0,28.0,7.0,34.0,46.0,80.0,12.0,17.0,56.0,3.0,0.4024390243902439,0.4024390243902439,0.3978494623655914,14.864864864864865,0.14166666666666666,0.1044776119402985,0.13355048859934854,0.08,0.23076923076923078,0.3780487804878049,0.3548387096774194,0.36666666666666664,0.48567073170731695,3.395121951219512,,,,,,,,,19.0,,,,23.0,,,,,0.34782608695652173,0.3392857142857143,,,,,,,,,0.5975609756097561,,0.5231105263157896,0.25675675675675674,,200.0,22.0,49.0,38.0,6.0,9.0,1.0,21.0,200.0,0.5757575757575758,0.6551724137931034,0.5975609756097561,0.4489795918367347,0.6470588235294118,0.6363636363636364,0.3105590062111801,,4.0,4.0,3.0,5.0,1.0,0.29411764705882354,,,2.0,8.0,3.0,3.0,25.0,34.0,27.0,5.0,16.0,0.1091703056768559,0.10248447204968944,0.13432835820895522,0.20202020202020202,0.07407407407407407,0.024390243902439025,,,,0.17204301075268819,0.17204301075268819,23.0,11.0,23.0,26.0,26.0,0.4782608695652174,0.4782608695652174,0.41935483870967744,0.5170782608695653,0.35135135135135137,5.0,18.0,8.0,8.0,0.34782608695652173,0.782608695652174,0.2777777777777778,False,9.0,17.0,3.0,4.0,16.0,1.0,8.0,1.0,5.0,2.0,1.0,4.0,2.0,3.0,3.0,6.0,34.0,2.0,2.0,1.0,22.0,14.0,1.0,7.0,22.0,13.0,4.0,6.0,0.1951219512195122,0.30612244897959184,0.03225806451612903,0.25,0.037037037037037035,0.08602150537634409,0.13513513513513514,0.06818181818181818,0.08450704225352113,0.09090909090909091,0.12121212121212122,0.0625,0.5909090909090909,0.45454545454545453,0.2,0.7391304347826086,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
