EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APct,AtRimPctBlocked,OffFTReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Arc3Assists,ShortMidRangeAssists,Offensive Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Frequency,Corner3PctAssisted,SecondChanceCorner3FGA,FTDefRebounds,BadPassSteals,DefFTReboundPct,SecondChanceCorner3Frequency,BlockedShortMidRange,ShortMidRangePctAssisted,OffLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,3SecondViolations,on,SelfOReb,BlockedLongMidRange,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,Fg3aBlocked,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,BlockedCorner3,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Technical Free Throw Trips
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,1399.0,23,-13,47,47,25,31,8,94,6.0,6.0,3.0,3.0,1.0,4.0,7.0,10,3.0,17,56,2.0,2.0,3.0,4.0,2.0,8.0,8.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,5.0,7.0,11.0,3.0,7.0,8.0,25,1.0,0.5714285714285714,0.5714285714285714,0.7,0.75,0.7,0.75,0.6071428571428571,0.3333333333333333,0.5,0.1,0.25,32.72727272727273,0.5,0.06666666666666667,0.15384615384615385,0.2,0.14285714285714285,0.1,0.15,0.4,0.14285714285714285,0.2,1.0,0.6,1.0,1.0,0.6666666666666666,0.4,0.25,0.3333333333333333,0.75,1.0,0.6,0.49596999999999997,0.5447,0.5,0.5,0.11764705882352941,0.47058823529411764,3.6800000000000006,0.5319148936170213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101144,1610612747,Von Wafer,Von Wafer,101144,LAL,4364.0,73,-25,139,140,56,68,25,279,1.0,7.0,1.0,4.0,,3.0,4.0,21,6.0,20,148,2.0,6.0,3.0,11.0,,9.0,2.0,6.0,4.0,3.0,,1.0,2.0,3.0,5.0,8.0,3.0,3.0,1.0,,,,,1.0,1.0,9.0,12.0,8.0,8.0,,3.0,9.0,56,,0.25,0.3333333333333333,0.19047619047619047,0.2727272727272727,0.18421052631578946,0.21428571428571427,0.23809523809523808,0.42857142857142855,0.20454545454545456,0.19047619047619047,0.3333333333333333,26.219512195121954,1.0,0.03571428571428571,,0.07142857142857142,0.125,0.04285714285714286,0.04225352112676056,,0.13043478260869565,,0.3333333333333333,0.18421052631578946,0.14285714285714285,0.25,,0.07894736842105263,,,0.19047619047619047,0.25,0.631578947368421,0.4610216216216215,0.4287724999999999,0.07317073170731707,0.125,0.3,0.45,11.561904761904762,0.4028776978417266,1.0,3.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,16.0,9.0,2.0,17.0,2.0,5.0,1.0,10.0,3.0,3.0,2.0,1.0,15.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.11764705882352941,0.1,0.125,0.4,0.4,0.4473684210526316,0.42857142857142855,0.16666666666666666,0.10526315789473684,0.2894736842105263,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.02631578947368421,1.0,1.0,0.42105263157894735,0.0625,0.0625,1.0,0.6,0.3333333333333333,0.047619047619047616,1.0,0.42857142857142855,0.06666666666666667,0.44915,27.111764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101209,1610612747,Devin Green,Devin Green,101209,LAL,1118.0,19,-16,39,39,24,33,7,78,,,,,,1.0,,3,5.0,5,49,,,,1.0,4.0,4.0,,,,,2.0,2.0,3.0,5.0,2.0,7.0,,,,,1.0,,1.0,1.0,,1.0,2.0,4.0,8.0,,4.0,4.0,24,,,,,,,,0.35714285714285715,,0.6666666666666666,,,17.391304347826086,,0.2727272727272727,0.2,0.2857142857142857,,0.2777777777777778,0.14285714285714285,,,0.3333333333333333,,,,,,0.3333333333333333,,,,,,0.353,0.374,0.5714285714285714,0.5714285714285714,,0.8,15.9,0.6153846153846154,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,0.5,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,2321.0,39,-17,74,74,30,32,12,148,1.0,1.0,,,1.0,4.0,2.0,6,1.0,8,75,,2.0,,2.0,1.0,1.0,,4.0,1.0,3.0,1.0,3.0,6.0,9.0,4.0,13.0,,,1.0,,1.0,,,2.0,,1.0,3.0,1.0,2.0,,,1.0,30,,,,0.3333333333333333,,0.35,,0.36363636363636365,0.3333333333333333,0.125,0.16666666666666666,0.25,14.942528735632184,0.5,0.2,0.03333333333333333,0.3333333333333333,0.17647058823529413,0.23076923076923078,0.0851063829787234,,0.17647058823529413,0.2222222222222222,0.5,0.1,1.0,1.0,,0.4,0.25,0.3333333333333333,,,0.5,0.476825,0.46880000000000005,,,0.25,0.125,7.166666666666667,0.40540540540540543,1.0,1.0,,1.0,,,,,1.0,4.0,1.0,1.0,4.0,1.0,2.0,,1.0,,3.0,2.0,,4.0,1.0,3.0,2.0,5.0,1.0,,2.0,12.0,,1.0,,1.0,,1.0,1.0,,0.25,,0.25,0.5,0.3333333333333333,0.4,,,0.1,0.1,,,,,,,0.4,0.25,0.25,,0.3333333333333333,1.0,,,0.3333333333333333,0.25,0.5913,25.775,0.1,0.2727272727272727,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,1660.0,28,-2,51,50,24,22,9,101,,2.0,,1.0,1.0,1.0,2.0,4,2.0,9,49,,,1.0,2.0,2.0,7.0,,4.0,1.0,,,1.0,3.0,4.0,,4.0,,,,,,,,,,,1.0,1.0,2.0,,1.0,7.0,24,,,,0.5,0.5,0.35,0.5,0.4090909090909091,,0.5833333333333334,0.25,,18.0327868852459,,0.13636363636363635,,0.125,,0.13333333333333333,,,,,,0.2,,,,0.1,1.0,1.0,0.2,,0.8,0.51349,0.50834,0.09090909090909091,0.2,,0.7777777777777778,6.074999999999999,0.47058823529411764,,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,2.0,1.0,6.0,,,1.0,3.0,3.0,,,,5.0,,2.0,1.0,3.0,,,2.0,7.0,,,,,,,,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,0.6,0.5,,0.1111111111111111,0.1,1.0,1.0,,0.1,1.0,1.0,0.5,,,,,,0.2,1.0,0.4,,,24.583333333333332,,0.25,0.16666666666666666,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,1610612747,Laron Profit,Laron Profit,1919,LAL,443.0,7,-8,17,17,4,17,2,34,1.0,1.0,1.0,1.0,,,1.0,1,2.0,4,24,,,1.0,1.0,2.0,4.0,,2.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,3.0,3.0,1.0,1.0,4.0,4,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,15.789473684210526,1.0,,,0.25,,0.14285714285714285,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5509,0.5509,1.0,1.0,,1.0,,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,2551.0,43,-19,81,84,33,45,13,165,,,,,,,2.0,3,2.0,6,87,,2.0,,,,,4.0,,,,,,4.0,5.0,1.0,6.0,2.0,,2.0,,,,,2.0,,,1.0,1.0,2.0,,1.0,,33,1.0,1.0,1.0,0.6666666666666666,,0.5,,0.6,0.5,,,,7.526881720430107,1.0,0.12121212121212122,,,,0.10526315789473684,,,,0.1,,,,,,,,,,,0.25,0.46675,,0.2,0.25,0.3333333333333333,,17.633333333333336,0.4074074074074074,,,2.0,3.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,0.5,0.25,,0.1,0.1,0.75,0.6666666666666666,0.6666666666666666,1.0,0.25,,,,,,,,,,,,,0.5326,23.0,,0.15384615384615385,,,1.0,,,,,,,,,,,,1.0,1.0,2.0,0.3333333333333333,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,865.0,14,-18,28,27,17,18,6,55,1.0,3.0,,1.0,1.0,1.0,3.0,5,,6,32,,,,1.0,,,2.0,4.0,1.0,,,,2.0,2.0,,2.0,,,,,,,,,,2.0,4.0,,,,,,17,2.0,0.3333333333333333,0.3333333333333333,0.6,,0.6,,0.6,,,0.2,,14.705882352941176,,0.18181818181818182,,,,0.125,,,,0.3333333333333333,,0.6,0.3333333333333333,0.5,,0.2,1.0,1.0,1.0,,0.6,0.5033,0.5878,,,,,5.5600000000000005,0.6071428571428571,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,0.3333333333333333,,0.5,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,1703.0,28,-3,53,56,13,14,9,109,,3.0,,,,1.0,2.0,7,4.0,8,52,,,,,2.0,2.0,2.0,2.0,3.0,,3.0,,2.0,2.0,3.0,5.0,,,1.0,1.0,,,,1.0,,2.0,4.0,2.0,4.0,,1.0,2.0,13,,0.5,0.5,0.2857142857142857,,0.2857142857142857,,0.4444444444444444,,1.0,0.42857142857142855,1.0,16.39344262295082,1.0,0.08,0.17647058823529413,,,0.07692307692307693,0.12,0.5,,,,0.42857142857142855,,,,0.14285714285714285,,,,,0.42857142857142855,0.44507142857142856,,0.125,0.125,,0.25,10.314285714285715,0.24528301886792453,,1.0,2.0,3.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,2.0,,,2.0,4.0,,,,,,1.0,1.0,,,,,,,,0.6666666666666666,,0.125,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,1.0,,,,,,,,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,454.0,8,-4,17,17,12,15,3,34,,,,,,,1.0,2,6.0,8,21,,,1.0,2.0,4.0,6.0,,2.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,3.0,6.0,,2.0,6.0,12,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.6,,,30.0,,0.16666666666666666,,,0.25,0.16666666666666666,0.09090909090909091,,0.25,,,,,,,,,,,,0.3333333333333333,0.4421333333333333,0.4421333333333333,0.4,0.5,,0.75,18.65,0.7058823529411765,,,1.0,2.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,,0.5,0.6666666666666666,0.5,0.5,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
