EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Corner3Assists,OffThreePtRebounds,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Travels,Loose Ball Fouls Drawn,FTOffRebounds,Blocked3s,BlockedCorner3,3SecondViolations,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,HeaveAttempts,Clear Path Fouls,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,Corner3PctBlocked,3pt And 1 Free Throw Trips
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,9645.0,161,-3,294,295,57.0,56,37,589,19,32,4.0,7.0,2.0,6.0,4.0,15.0,1.0,7.0,24,54,19.0,67,295,4.0,9.0,1.0,9.0,3.0,9.0,4.0,10.0,28.0,20.0,12.0,5.0,2.0,7.0,2.0,2.0,1.0,2.0,16.0,6.0,2.0,13.0,4.0,19.0,6.0,25.0,3.0,4.0,3.0,1.0,8.0,4.0,3.0,10.0,1.0,5.0,1.0,18.0,1.0,4.0,14.0,24,2.0,3.0,22,1.0,30.0,2.0,15.0,1.0,5.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,10.0,57.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.49264705882352944,0.45,0.4166666666666667,0.2222222222222222,0.15625,0.3333333333333333,0.2857142857142857,25.519287833827892,0.4444444444444444,0.36363636363636365,0.1262135922330097,0.05,0.07692307692307693,0.11627906976744186,0.043478260869565216,0.07142857142857142,0.06060606060606061,0.022222222222222223,0.09090909090909091,0.25,0.07142857142857142,0.05,0.16666666666666666,0.16666666666666666,0.4,0.5925925925925926,0.59375,0.7037037037037037,0.631578947368421,0.2777777777777778,0.26666666666666666,0.4,0.5,0.12962962962962962,0.14285714285714285,0.2,0.7777777777777778,0.5714285714285714,0.5,0.6666666666666666,0.3333333333333333,0.5925925925925926,0.48690000000000005,0.4971625,0.45320000000000005,0.22388059701492538,0.22388059701492538,0.13432835820895522,0.14925373134328357,4.698148148148148,0.19387755102040816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
101194,1610612763,Anthony Roberson,Anthony Roberson,101194,MEM,1314.0,22,-5,38,38,7.0,7,6,76,1,3,,,,1.0,,,1.0,3.0,2,6,,7,39,,,,,,3.0,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,7.0,,,,,0.3333333333333333,,,0.4375,,,0.4375,,,0.3333333333333333,0.6666666666666666,,,18.181818181818183,,,,,,,,,,,,,,,,,,0.375,0.3333333333333333,1.0,,,,,,0.375,0.3333333333333333,0.3333333333333333,,,,0.25,,0.625,0.4925625,,0.481475,,,,,9.716666666666667,0.18421052631578946,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.5,0.5,0.25,0.125,1.0,1.0,1.0,0.125,0.25,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,22357.0,373,39,648,647,116.0,82,89,1295,12,26,1.0,2.0,4.0,7.0,6.0,9.0,12.0,33.0,30,68,25.0,148,666,2.0,5.0,2.0,24.0,6.0,11.0,14.0,32.0,4.0,56.0,4.0,37.0,13.0,50.0,5.0,18.0,6.0,13.0,113.0,3.0,4.0,9.0,,13.0,5.0,18.0,1.0,9.0,6.0,3.0,7.0,1.0,5.0,3.0,,2.0,,10.0,,1.0,9.0,27,,2.0,26,1.0,28.0,2.0,6.0,5.0,2.0,,1.0,1.0,2.0,1.0,,,,32.0,116.0,2.0,6.0,0.06666666666666667,0.06896551724137931,0.4411764705882353,0.4,0.5454545454545454,0.45555555555555555,0.7857142857142857,0.45,0.4895833333333333,0.8,0.5714285714285714,0.058823529411764705,0.15384615384615385,,,20.588235294117645,0.7,,0.035856573705179286,0.014285714285714285,0.056338028169014086,0.040372670807453416,0.01607717041800643,0.02666666666666667,,0.01282051282051282,0.023255813953488372,0.04918032786885246,0.038461538461538464,0.06382978723404255,0.041666666666666664,0.012658227848101266,0.5,0.1925925925925926,0.46153846153846156,0.5454545454545454,,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.24444444444444444,0.36363636363636365,0.36363636363636365,0.14285714285714285,0.5,,0.35,0.5714285714285714,0.6888888888888889,0.5179833333333334,0.5421954545454545,0.5145375,0.04316546762589928,0.08333333333333333,0.16216216216216217,0.21621621621621623,10.861764705882353,0.17901234567901234,1.0,6.0,61.0,8.0,21.0,67.0,9.0,54.0,61.0,0.8571428571428571,0.31343283582089554,0.31343283582089554,0.4962962962962963,0.044444444444444446,0.16666666666666666,0.16666666666666666,1.0,0.45185185185185184,0.4,24.83731343283582,1.0,20.0,6.0,9.0,2.0,6.0,9.0,2.0,9.0,2.0,20.0,8.0,2.0,8.0,0.6666666666666666,0.2222222222222222,0.019801980198019802,0.013157894736842105,0.04,0.08333333333333333,0.32786885245901637,0.32786885245901637,0.85,0.6428571428571429,0.6666666666666666,0.6666666666666666,0.05,0.25,0.32786885245901637,,,,,,,,,,,,,,,,,,,,,,,True,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,17315.0,289,-29,519,521,118.0,101,63,1040,20,32,3.0,4.0,2.0,4.0,,5.0,8.0,33.0,28,70,17.0,76,513,3.0,6.0,1.0,7.0,2.0,13.0,7.0,11.0,18.0,38.0,7.0,10.0,4.0,14.0,2.0,8.0,1.0,1.0,32.0,5.0,2.0,18.0,,20.0,5.0,25.0,,11.0,4.0,7.0,8.0,1.0,6.0,5.0,1.0,2.0,,13.0,1.0,4.0,12.0,29,4.0,2.0,20,4.0,24.0,3.0,9.0,4.0,2.0,1.0,,1.0,2.0,1.0,2.0,,1.0,11.0,118.0,1.0,3.0,0.32142857142857145,0.34615384615384615,0.4,0.5,0.15384615384615385,0.3782051282051282,0.5,0.13333333333333333,0.4318181818181818,0.5,0.275,0.1,0.1875,0.2,,16.88963210702341,0.6153846153846154,,0.09836065573770492,0.02336448598130841,0.044444444444444446,0.08771929824561403,0.019305019305019305,0.014492753623188406,0.05660377358490566,0.010869565217391304,0.07017543859649122,0.041666666666666664,0.15384615384615385,0.05714285714285714,,,0.5,0.41025641025641024,0.625,0.7692307692307693,0.15,0.0641025641025641,,,,0.4230769230769231,0.24242424242424243,0.24242424242424243,0.6666666666666666,0.75,,0.26666666666666666,0.5,0.5128205128205128,0.487271153846154,0.53294,0.4578033333333334,0.10714285714285714,0.11842105263157894,0.09210526315789473,0.14473684210526316,9.515714285714287,0.22736030828516376,1.0,8.0,,,1.0,8.0,2.0,3.0,,1.0,0.125,0.125,0.10256410256410256,0.10256410256410256,0.125,0.125,1.0,,,23.225,2.0,,,,,,,,,4.0,,2.0,,,,,,,,0.75,,,,,,,0.13333333333333333,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,101334.0,1689,141,2957,2960,603.0,522,388,5917,135,212,46.0,73.0,17.0,33.0,32.0,102.0,27.0,90.0,194,404,66.0,454,2956,57.0,97.0,16.0,130.0,29.0,65.0,20.0,78.0,270.0,118.0,44.0,30.0,18.0,48.0,8.0,23.0,3.0,4.0,114.0,101.0,42.0,187.0,24.0,253.0,142.0,395.0,6.0,52.0,22.0,30.0,33.0,4.0,19.0,34.0,6.0,14.0,,67.0,13.0,12.0,94.0,201,22.0,16.0,105,9.0,117.0,17.0,60.0,7.0,45.0,35.0,2.0,8.0,46.0,25.0,4.0,1.0,4.0,78.0,603.0,12.0,5.0,0.6958762886597938,0.8653846153846154,0.4801980198019802,0.5876288659793815,0.4461538461538462,0.47783251231527096,0.5816326530612245,0.43283582089552236,0.49780701754385964,0.5909090909090909,0.4875,0.10891089108910891,0.16981132075471697,0.058823529411764705,0.022222222222222223,15.355255431591308,0.4925373134328358,0.2962962962962963,0.16346153846153846,0.09573459715639811,0.14334470989761092,0.1593597773138483,0.0970873786407767,0.1184573002754821,0.10862619808306709,0.0633245382585752,0.14594594594594595,0.19047619047619047,0.16041666666666668,0.14423076923076922,0.1411764705882353,0.03592814371257485,0.5434782608695652,0.5221674876847291,0.6367924528301887,0.7670454545454546,0.6370370370370371,0.2512315270935961,0.3137254901960784,0.3333333333333333,0.78125,0.22167487684729065,0.3,0.3068181818181818,0.7448979591836735,0.6301369863013698,0.15217391304347827,0.4925373134328358,0.5151515151515151,0.5270935960591133,0.47712573891625604,0.525526582278481,0.47466940298507454,0.133630289532294,0.1342281879194631,0.28634361233480177,0.17180616740088106,6.0873762376237615,0.203922894825837,,,2.0,2.0,,2.0,2.0,,2.0,,,,0.0049261083743842365,,,,,0.0049261083743842365,0.029850746268656716,29.1,,,,1.0,,,1.0,,,76.0,,10.0,39.0,,,,0.10077519379844961,0.0842911877394636,0.1349206349206349,0.8888888888888888,,,,0.01020408163265306,,,,,,3.0,19.0,2.0,1.0,1.0,3.0,0.020618556701030927,,,,,,,,,,,,,,,,True,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,44419.0,740,34,1298,1294,368.0,310,168,2592,42,68,6.0,12.0,12.0,18.0,4.0,16.0,32.0,74.0,78,158,50.0,353,1302,8.0,16.0,4.0,32.0,19.0,39.0,19.0,93.0,70.0,86.0,12.0,55.0,15.0,70.0,9.0,32.0,6.0,17.0,155.0,13.0,23.0,78.0,11.0,112.0,21.0,133.0,4.0,15.0,12.0,3.0,25.0,6.0,17.0,25.0,5.0,8.0,1.0,50.0,5.0,13.0,20.0,47,1.0,7.0,59,9.0,63.0,8.0,27.0,4.0,11.0,8.0,1.0,2.0,11.0,6.0,,,,93.0,368.0,6.0,4.0,0.44871794871794873,0.47297297297297297,0.4936708860759494,0.5,0.48717948717948717,0.5652985074626866,0.5384615384615384,0.5522388059701493,0.5927835051546392,0.5925925925925926,0.6,0.0759493670886076,0.1323529411764706,0.1875,,22.916666666666664,0.5,0.2619047619047619,0.15476190476190477,0.02813852813852814,0.16911764705882354,0.1578125,0.03164556962025317,0.05325443786982249,0.024390243902439025,0.0058823529411764705,0.12837837837837837,0.16535433070866143,0.16593886462882096,0.16831683168316833,0.17142857142857143,0.031496062992125984,0.5454545454545454,0.2537313432835821,0.6176470588235294,0.711864406779661,0.38095238095238093,0.05970149253731343,0.25,0.3076923076923077,0.5,0.27611940298507465,0.43243243243243246,0.43243243243243246,0.46153846153846156,0.5,,0.26865671641791045,0.6666666666666666,0.664179104477612,0.5082097014925374,0.5153568181818182,0.49643059701492537,0.09407665505226481,0.15254237288135594,0.0906515580736544,0.26345609065155806,10.16392405063291,0.2835130970724191,2.0,11.0,99.0,25.0,49.0,110.0,28.0,132.0,99.0,0.8979591836734694,0.44545454545454544,0.44545454545454544,0.41044776119402987,0.041044776119402986,0.18181818181818182,0.18181818181818182,1.0,0.3694029850746269,0.373134328358209,25.009999999999998,3.0,47.0,4.0,9.0,12.0,4.0,10.0,12.0,15.0,8.0,47.0,6.0,7.0,9.0,0.4,0.42857142857142855,0.041176470588235294,0.05263157894736842,0.017857142857142856,0.53125,0.47474747474747475,0.47474747474747475,0.8936170212765957,0.34615384615384615,0.4444444444444444,1.0,0.04477611940298507,0.48,0.47474747474747475,3.0,,1.0,,,,0.018867924528301886,1.0,0.038461538461538464,,,,,,,,,,,,,,True,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,67327.0,1122,97,1959,1961,332.0,285,261,3920,48,79,2.0,6.0,8.0,13.0,13.0,42.0,25.0,63.0,86,184,65.0,405,1973,7.0,21.0,2.0,34.0,11.0,23.0,12.0,73.0,106.0,66.0,22.0,70.0,20.0,90.0,14.0,31.0,20.0,19.0,200.0,13.0,21.0,99.0,1.0,121.0,17.0,138.0,3.0,61.0,45.0,16.0,23.0,5.0,19.0,19.0,1.0,4.0,1.0,42.0,6.0,5.0,33.0,90,4.0,9.0,95,12.0,88.0,9.0,38.0,3.0,11.0,8.0,1.0,2.0,11.0,8.0,,,,73.0,332.0,1.0,3.0,0.6162790697674418,0.6309523809523809,0.4673913043478261,0.3333333333333333,0.4782608695652174,0.4709141274238227,0.4,0.5,0.5075949367088608,0.4146341463414634,0.5367647058823529,0.11956521739130435,0.1518987341772152,0.14285714285714285,0.06349206349206349,19.361984935755427,0.5476190476190477,0.021739130434782608,0.13306451612903225,0.01925925925925926,0.10880829015544041,0.128068303094984,0.017671517671517672,0.022026431718061675,0.01818181818181818,0.017543859649122806,0.07874015748031496,0.14720812182741116,0.17064846416382254,0.13333333333333333,0.05172413793103448,0.015463917525773196,0.7272727272727273,0.2188365650969529,0.6075949367088608,0.7164179104477612,0.6041666666666666,0.11634349030470914,0.30952380952380953,0.3611111111111111,0.3076923076923077,0.1745152354570637,0.3968253968253968,0.423728813559322,0.15,0.3333333333333333,0.5,0.21311475409836064,0.6153846153846154,0.7091412742382271,0.5197614206128134,0.5077250000000001,0.5380203389830508,0.10204081632653061,0.1784037558685446,0.08395061728395062,0.18024691358024691,8.568478260869567,0.16947422154160285,23.0,66.0,111.0,21.0,56.0,177.0,38.0,159.0,109.0,0.9464285714285714,0.3163841807909605,0.32,0.4903047091412742,0.18282548476454294,0.3484848484848485,0.3484848484848485,0.9565217391304348,0.3074792243767313,0.3442622950819672,24.642937853107345,17.0,33.0,3.0,11.0,6.0,6.0,19.0,13.0,9.0,4.0,33.0,6.0,4.0,9.0,0.3157894736842105,0.34210526315789475,0.013937282229965157,0.010416666666666666,0.021052631578947368,0.8,0.2972972972972973,0.2972972972972973,0.9393939393939394,0.275,0.2727272727272727,1.0,0.2786885245901639,0.2857142857142857,0.30275229357798167,1.0,5.0,,,,,,8.0,0.2,3.0,7.0,2.0,3.0,2.0,0.375,0.6666666666666666,0.4117647058823529,0.0111731843575419,,,,,True,,
757,1610612763,Damon Stoudamire,Damon Stoudamire,757,MEM,30699.0,512,32,894,890,199.0,199,133,1784,18,46,2.0,4.0,5.0,12.0,6.0,17.0,17.0,47.0,41,110,11.0,144,903,4.0,12.0,,20.0,10.0,28.0,4.0,36.0,24.0,58.0,10.0,52.0,17.0,69.0,11.0,24.0,10.0,18.0,155.0,10.0,10.0,27.0,,37.0,15.0,52.0,8.0,11.0,4.0,7.0,16.0,5.0,10.0,13.0,1.0,6.0,,29.0,1.0,3.0,12.0,27,,1.0,14,1.0,14.0,2.0,4.0,1.0,,,,,,,,,,36.0,199.0,4.0,1.0,0.2926829268292683,0.3,0.37272727272727274,0.3333333333333333,0.35714285714285715,0.40797546012269936,0.5,0.3902439024390244,0.42168674698795183,0.5,0.4166666666666667,0.09090909090909091,0.15217391304347827,0.11764705882352941,0.02127659574468085,18.51851851851852,0.5517241379310345,,0.07627118644067797,0.027472527472527472,0.136986301369863,0.08665105386416862,0.03164556962025317,0.0546875,0.017241379310344827,0.008333333333333333,0.07751937984496124,0.0975609756097561,0.06293706293706294,0.12727272727272726,0.16666666666666666,0.08602150537634409,,0.2822085889570552,0.391304347826087,0.46153846153846156,0.2222222222222222,0.10429447852760736,0.35294117647058826,0.4,,0.2883435582822086,0.3617021276595745,0.3695652173913043,0.2,0.5,,0.2926829268292683,0.4166666666666667,0.6073619631901841,0.5005383435582822,0.5119588235294118,0.4892682926829268,0.024242424242424242,0.03571428571428571,0.1388888888888889,0.25,9.722727272727273,0.2225950782997763,3.0,7.0,46.0,12.0,17.0,53.0,13.0,42.0,46.0,0.8235294117647058,0.32075471698113206,0.32075471698113206,0.32515337423312884,0.04294478527607362,0.42857142857142855,0.42857142857142855,1.0,0.2822085889570552,0.2926829268292683,24.843396226415095,1.0,14.0,2.0,5.0,4.0,4.0,8.0,4.0,9.0,2.0,14.0,6.0,5.0,6.0,0.5,0.3076923076923077,0.045454545454545456,0.05194805194805195,0.030303030303030304,0.47058823529411764,0.30434782608695654,0.30434782608695654,0.7857142857142857,0.25,0.4,1.0,0.024390243902439025,0.3333333333333333,0.30434782608695654,5.0,1.0,,,,,,3.0,0.15,2.0,,,,,0.6666666666666666,1.0,,,,,,,True,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,41992.0,700,110,1245,1250,251.0,234,146,2495,24,59,1.0,4.0,,4.0,8.0,25.0,24.0,74.0,56,158,36.0,280,1187,2.0,11.0,1.0,29.0,9.0,29.0,10.0,61.0,26.0,86.0,16.0,67.0,19.0,86.0,16.0,40.0,4.0,23.0,191.0,6.0,22.0,65.0,1.0,88.0,13.0,101.0,5.0,23.0,12.0,11.0,33.0,6.0,25.0,14.0,2.0,8.0,1.0,47.0,5.0,10.0,24.0,57,3.0,1.0,56,6.0,51.0,4.0,23.0,5.0,1.0,1.0,,,1.0,1.0,,,,61.0,251.0,5.0,6.0,0.23214285714285715,0.23636363636363636,0.35443037974683544,0.18181818181818182,0.3103448275862069,0.4468864468864469,0.5,0.3923076923076923,0.4713804713804714,0.5,0.41216216216216217,0.10126582278481013,0.22033898305084745,0.08,0.013513513513513514,24.27459306440198,0.7021276595744681,0.03125,0.13319672131147542,0.014563106796116505,0.18032786885245902,0.14262295081967213,0.022222222222222223,0.013605442176870748,0.017241379310344827,0.013422818791946308,0.10638297872340426,0.12403100775193798,0.1559633027522936,0.16666666666666666,0.21875,0.033112582781456956,1.0,0.21611721611721613,0.4067796610169492,0.5217391304347826,0.20833333333333334,0.09157509157509157,0.32,0.34782608695652173,,0.27106227106227104,0.32432432432432434,0.3287671232876712,0.14285714285714285,0.25,1.0,0.06153846153846154,,0.6373626373626373,0.49945759259259265,0.5156105263157895,0.4580967741935484,0.07876712328767123,0.12994350282485875,0.10357142857142858,0.21785714285714286,10.403164556962029,0.20160642570281123,14.0,39.0,76.0,22.0,44.0,115.0,36.0,120.0,73.0,0.9090909090909091,0.3826086956521739,0.39285714285714285,0.42124542124542125,0.14285714285714285,0.358974358974359,0.358974358974359,1.0,0.2783882783882784,0.3384615384615385,25.34695652173913,14.0,30.0,6.0,10.0,7.0,8.0,17.0,11.0,12.0,2.0,30.0,3.0,7.0,,0.47058823529411764,0.3055555555555556,0.04046242774566474,0.04716981132075472,0.029850746268656716,0.3333333333333333,0.39473684210526316,0.39473684210526316,0.8666666666666667,0.35714285714285715,0.6,0.8333333333333334,0.2153846153846154,0.3181818181818182,0.410958904109589,3.0,3.0,,,,,,7.0,0.25,2.0,4.0,3.0,,,0.2857142857142857,1.0,0.2857142857142857,,,,,,True,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,74658.0,1244,153,2164,2174,382.0,331,279,4338,56,95,21.0,33.0,4.0,7.0,25.0,60.0,15.0,36.0,96,191,70.0,355,2131,26.0,41.0,4.0,68.0,10.0,18.0,28.0,66.0,106.0,86.0,16.0,48.0,20.0,68.0,12.0,24.0,8.0,16.0,156.0,45.0,21.0,80.0,2.0,103.0,62.0,165.0,8.0,37.0,22.0,15.0,20.0,2.0,12.0,18.0,2.0,8.0,1.0,38.0,2.0,4.0,49.0,81,6.0,7.0,95,20.0,91.0,8.0,32.0,16.0,45.0,38.0,2.0,5.0,49.0,28.0,,,,66.0,382.0,3.0,13.0,0.5520833333333334,0.6463414634146342,0.5026178010471204,0.6341463414634146,0.5555555555555556,0.5238970588235294,0.6666666666666666,0.475,0.5670926517571885,0.68,0.559322033898305,0.08376963350785341,0.14736842105263157,0.016666666666666666,0.027777777777777776,14.07942238267148,0.5263157894736842,0.03333333333333333,0.09345794392523364,0.05867014341590613,0.09333333333333334,0.09343200740055504,0.05587121212121212,0.058365758754863814,0.0641025641025641,0.05434782608695652,0.10469314079422383,0.05429864253393665,0.10893854748603352,0.09032258064516129,0.1,0.064,0.5714285714285714,0.3492647058823529,0.5894736842105263,0.691358024691358,0.5714285714285714,0.22058823529411764,0.4166666666666667,0.423728813559322,0.32,0.1323529411764706,0.4166666666666667,0.42857142857142855,0.6875,0.6363636363636364,0.3333333333333333,0.175,0.5714285714285714,0.6470588235294118,0.4967177121771219,0.5291928571428572,0.5209051282051282,0.1111111111111111,0.14883720930232558,0.19154929577464788,0.18591549295774648,5.747120418848167,0.17652495378927913,25.0,59.0,22.0,6.0,31.0,81.0,22.0,87.0,21.0,0.9354838709677419,0.38271604938271603,0.3875,0.2977941176470588,0.21691176470588236,0.423728813559322,0.423728813559322,0.96,0.08088235294117647,0.15,23.97901234567901,16.0,6.0,1.0,3.0,,4.0,7.0,6.0,6.0,28.0,6.0,8.0,14.0,,0.5714285714285714,0.2727272727272727,0.04844290657439446,0.05670103092783505,0.031578947368421054,0.8666666666666667,0.2727272727272727,0.2727272727272727,0.8333333333333334,0.0625,0.3333333333333333,,0.4,,0.2857142857142857,5.0,10.0,3.0,4.0,1.0,,0.04477611940298507,4.0,0.08333333333333333,3.0,6.0,1.0,,1.0,0.75,1.0,0.375,0.012195121951219513,3.0,,,,True,,
