EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,PtsPutbacks,NonHeaveArc3FGA,FTOffRebounds,FG3APct,OffFTReboundPct,ShortMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGA,BlockedLongMidRange,DefensiveGoaltends,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,3SecondViolations,Blocked3s,BlockedArc3,on,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,3pt And 1 Free Throw Trips
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,18399.0,307,-63.0,574,578,179,220,75,1152,22.0,49,4.0,12.0,2.0,7.0,8.0,36.0,4.0,15.0,34,100,31.0,99,606,6.0,15.0,4.0,16.0,4.0,21.0,15.0,23.0,36.0,32.0,16.0,11.0,4.0,15.0,3.0,1.0,5.0,6.0,34.0,4.0,15.0,8.0,23.0,14.0,45.0,19.0,64.0,3.0,6.0,3.0,3.0,8.0,3.0,4.0,15.0,1.0,4.0,3.0,5.0,23.0,1.0,6.0,24.0,43.0,4.0,2.0,44.0,2.0,3.0,50.0,4.0,25.0,2.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,23.0,179,6.0,2.0,0.5294117647058824,0.5294117647058824,0.34,0.4,0.19047619047619047,0.34,0.4,0.19047619047619047,0.4024390243902439,0.42105263157894735,0.3709677419354839,0.16,0.16326530612244897,0.16666666666666666,0.13333333333333333,22.087745839636913,0.34782608695652173,0.4117647058823529,0.1270718232044199,0.06276150627615062,0.14545454545454545,0.08888888888888889,0.13135593220338984,0.06690140845070422,0.0945945945945946,0.0641025641025641,0.034482758620689655,0.08571428571428572,0.1,0.07017543859649122,0.1875,0.13157894736842105,0.13953488372093023,0.16666666666666666,0.06,0.75,0.49,0.4489795918367347,0.5365853658536586,0.7727272727272727,0.36,0.2222222222222222,0.26666666666666666,0.15,0.26666666666666666,0.3076923076923077,0.25,0.8,0.3333333333333333,0.75,0.3333333333333333,0.2857142857142857,0.49,0.4746760000000001,0.5370642857142858,0.477095238095238,0.2066115702479339,0.2066115702479339,0.16161616161616163,0.23232323232323232,5.702000000000001,0.3118466898954704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
101160,1610612763,Lawrence Roberts,Lawrence Roberts,101160,MEM,7822.0,130,-15.0,250,254,98,102,30,504,9.0,15,3.0,3.0,3.0,5.0,3.0,8.0,4.0,10.0,16,33,7.0,39,250,3.0,5.0,,6.0,6.0,15.0,5.0,17.0,24.0,8.0,3.0,1.0,2.0,3.0,2.0,,1.0,,8.0,4.0,13.0,8.0,11.0,2.0,21.0,19.0,40.0,,4.0,2.0,2.0,3.0,,1.0,1.0,,2.0,,,4.0,,1.0,9.0,17.0,1.0,1.0,10.0,1.0,,12.0,2.0,7.0,,2.0,2.0,,2.0,1.0,,,17.0,98,3.0,,0.75,0.9230769230769231,0.48484848484848486,0.6,0.4,0.47058823529411764,0.6,0.375,0.5,0.6,0.4473684210526316,0.09090909090909091,0.2,,,15.034965034965035,0.75,0.10526315789473684,0.1375,0.14285714285714285,0.26666666666666666,0.18181818181818182,0.17272727272727273,0.1504424778761062,0.09523809523809523,0.12,0.17777777777777778,0.14285714285714285,0.25,0.06451612903225806,0.16666666666666666,0.1935483870967742,0.3076923076923077,,,0.5,0.4411764705882353,0.6,0.75,0.6666666666666666,0.23529411764705882,0.375,0.375,0.29411764705882354,0.4,0.4,0.75,0.6,1.0,,0.3125,0.6,0.47058823529411764,0.45523333333333343,0.50488,0.4294266666666667,0.1794871794871795,0.18421052631578946,0.15384615384615385,0.4358974358974359,7.506060606060607,0.392,1.0,1.0,1.0,1.0,6.0,1.0,2.0,0.029411764705882353,0.2,1.0,0.029411764705882353,0.0625,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
101194,1610612763,Anthony Roberson,Anthony Roberson,101194,MEM,4941.0,82,-1.0,153,161,54,70,14,314,2.0,6,,,,2.0,,1.0,6.0,12.0,8,19,2.0,33,144,2.0,2.0,,4.0,4.0,9.0,2.0,13.0,10.0,6.0,1.0,4.0,1.0,5.0,1.0,,,3.0,11.0,,,1.0,3.0,2.0,6.0,,6.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,3.0,,1.0,,6.0,,,4.0,,,2.0,,1.0,,,,,,,,,13.0,54,2.0,,0.625,0.625,0.42105263157894735,1.0,0.4444444444444444,0.5535714285714286,1.0,0.4230769230769231,0.5689655172413793,1.0,0.4642857142857143,0.05263157894736842,0.16666666666666666,,,19.16167664670659,0.6666666666666666,0.18181818181818182,0.05555555555555555,,0.04,,0.05063291139240506,,,,,,,,,0.10714285714285714,0.045454545454545456,,,,0.21428571428571427,0.3333333333333333,0.4,,0.03571428571428571,,,0.42857142857142855,0.5,0.5,0.8333333333333334,,,,0.15384615384615385,,0.5357142857142857,0.46728571428571425,0.35245000000000004,0.44162692307692303,0.034482758620689655,0.05,0.12121212121212122,0.3939393939393939,12.178947368421053,0.35294117647058826,7.0,4.0,9.0,4.0,,7.0,,0.32142857142857145,,,0.25,0.3076923076923077,24.87777777777778,2.0,2.0,3.0,1.0,5.0,1.0,15.0,3.0,1.0,1.0,0.5555555555555556,0.25,0.5555555555555556,0.07142857142857142,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,1.0,0.25,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,11080.0,185,-9.0,336,335,65,71,39,671,19.0,29,7.0,11.0,1.0,5.0,3.0,9.0,1.0,3.0,23,41,16.0,62,346,7.0,11.0,9.0,23.0,2.0,8.0,2.0,6.0,30.0,16.0,5.0,2.0,1.0,3.0,,1.0,,2.0,7.0,1.0,19.0,3.0,26.0,1.0,30.0,21.0,51.0,2.0,4.0,3.0,1.0,5.0,,2.0,2.0,1.0,3.0,,1.0,7.0,,1.0,15.0,27.0,4.0,,18.0,1.0,1.0,25.0,3.0,13.0,1.0,9.0,7.0,2.0,9.0,3.0,,1.0,6.0,65,2.0,1.0,0.6521739130434783,0.8823529411764706,0.5609756097560976,0.6363636363636364,0.25,0.5609756097560976,0.6363636363636364,0.25,0.5961538461538461,0.71875,0.3,0.12195121951219512,0.1724137931034483,,,15.364583333333334,0.7142857142857143,0.09090909090909091,0.21311475409836064,0.14074074074074075,0.0967741935483871,0.04,0.1895424836601307,0.125,0.14,0.0625,0.18867924528301888,0.05263157894736842,,0.2558139534883721,0.1891891891891892,0.19047619047619047,0.13043478260869565,,0.16666666666666666,0.3333333333333333,0.7073170731707317,0.6551724137931034,0.7916666666666666,0.5789473684210527,0.21951219512195122,0.3333333333333333,0.3333333333333333,0.07317073170731707,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6363636363636364,,0.625,0.2,0.7073170731707317,0.49993902439024385,0.5566181818181819,0.470425,0.2549019607843137,0.2549019607843137,0.3709677419354839,0.0967741935483871,2.714634146341463,0.19345238095238096,,,,,12.0,,1.0,,0.08333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,58010.0,967,-127.0,1765,1762,482,511,197,3527,60.0,98,12.0,18.0,10.0,17.0,8.0,33.0,38.0,111.0,106,242,60.0,281,1828,19.0,31.0,1.0,39.0,16.0,54.0,23.0,55.0,96.0,116.0,22.0,25.0,14.0,39.0,6.0,8.0,16.0,5.0,92.0,2.0,16.0,23.0,58.0,3.0,84.0,20.0,104.0,1.0,38.0,15.0,23.0,21.0,4.0,13.0,29.0,5.0,8.0,3.0,4.0,50.0,2.0,15.0,40.0,108.0,8.0,11.0,77.0,1.0,17.0,93.0,8.0,44.0,6.0,15.0,10.0,4.0,15.0,5.0,,2.0,55.0,482,16.0,4.0,0.4528301886792453,0.48484848484848486,0.4380165289256198,0.6129032258064516,0.2962962962962963,0.42015209125475284,0.6129032258064516,0.25806451612903225,0.460655737704918,0.609375,0.34810126582278483,0.09090909090909091,0.15306122448979592,0.12121212121212122,0.02702702702702703,17.758879439719863,0.42,0.04054054054054054,0.09982788296041308,0.024615384615384615,0.11557788944723618,0.011976047904191617,0.10384615384615385,0.022031823745410038,0.02336448598130841,0.05113636363636364,0.007692307692307693,0.016129032258064516,,0.08290155440414508,0.0718954248366013,0.13191489361702127,0.11564625850340136,0.11538461538461539,0.007874015748031496,0.3333333333333333,0.3726235741444867,0.6122448979591837,0.7228915662650602,0.2,0.12547528517110265,0.24242424242424243,0.27586206896551724,0.4220532319391635,0.34234234234234234,0.35185185185185186,0.8421052631578947,0.5806451612903226,0.6666666666666666,,0.27419354838709675,0.5882352941176471,0.4524714828897338,0.4750254752851713,0.494,0.44392661290322577,0.14715719063545152,0.15827338129496402,0.1387900355871886,0.19572953736654805,9.836363636363634,0.27308781869688387,1.0,1.0,21.0,8.0,14.0,1.0,2.0,0.07984790874524715,0.023529411764705882,0.5,0.0038022813688212928,0.016129032258064516,23.43809523809524,3.0,20.0,,,3.0,,9.0,,4.0,1.0,0.14285714285714285,,0.14285714285714285,0.07604562737642585,0.15,0.15,1.0,,,,,,7.0,1.0,6.0,0.11290322580645161,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2766,1610612763,Antonio Burks,Antonio Burks,2766,MEM,16591.0,277,-4.0,508,516,164,178,53,1024,10.0,22,,1.0,2.0,6.0,3.0,9.0,15.0,39.0,28,70,6.0,65,496,1.0,3.0,,5.0,8.0,19.0,3.0,22.0,8.0,48.0,2.0,27.0,14.0,41.0,10.0,4.0,11.0,13.0,96.0,1.0,1.0,3.0,12.0,1.0,16.0,2.0,18.0,1.0,17.0,2.0,15.0,12.0,4.0,7.0,8.0,2.0,5.0,,1.0,20.0,,6.0,6.0,19.0,2.0,,21.0,4.0,5.0,11.0,3.0,6.0,1.0,,,,,,,,22.0,164,5.0,1.0,0.14285714285714285,0.14285714285714285,0.4,0.3333333333333333,0.42105263157894735,0.4041095890410959,0.625,0.4523809523809524,0.42207792207792205,0.625,0.4583333333333333,0.02857142857142857,0.09090909090909091,,,16.987740805604204,0.6,0.034482758620689655,0.06936416184971098,0.0051813471502590676,0.04918032786885246,0.03225806451612903,0.0641025641025641,0.008928571428571428,,0.019230769230769232,,0.041666666666666664,,0.07407407407407407,0.020833333333333332,0.09859154929577464,0.021739130434782608,0.13333333333333333,0.02631578947368421,,0.3013698630136986,0.45454545454545453,0.5,,0.1232876712328767,0.3333333333333333,0.3333333333333333,0.5342465753424658,0.38461538461538464,0.38461538461538464,0.2,0.25,,,0.2857142857142857,0.3333333333333333,0.3424657534246575,0.45091549295774647,0.36045,0.45585499999999995,0.07894736842105263,0.0821917808219178,0.07692307692307693,0.3384615384615385,11.85285714285714,0.3228346456692913,3.0,2.0,3.0,2.0,,2.0,,0.0410958904109589,,0.3333333333333333,0.0410958904109589,0.09523809523809523,36.46666666666666,,,1.0,1.0,1.0,1.0,,1.0,3.0,,0.3333333333333333,0.5,0.5,,,,,0.3333333333333333,0.3333333333333333,,0.5,0.5,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,True,,,,,,,,,
757,1610612763,Damon Stoudamire,Damon Stoudamire,757,MEM,6349.0,106,-8.0,198,188,99,78,27,386,4.0,7,,1.0,2.0,4.0,,3.0,2.0,5.0,6,15,8.0,32,207,,2.0,,,4.0,10.0,6.0,23.0,,12.0,2.0,13.0,1.0,14.0,1.0,,10.0,2.0,29.0,1.0,1.0,6.0,8.0,,14.0,2.0,16.0,1.0,1.0,,1.0,2.0,1.0,1.0,6.0,,1.0,,1.0,8.0,,4.0,1.0,6.0,,1.0,5.0,,,10.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,,23.0,99,2.0,2.0,,,0.4,,0.4,0.41379310344827586,,0.4722222222222222,0.453125,,0.5238095238095238,0.13333333333333333,0.2857142857142857,,,17.24137931034483,0.25,,0.12903225806451613,0.0136986301369863,0.3157894736842105,0.05,0.1728395061728395,0.021505376344086023,0.03225806451612903,,,0.05555555555555555,,0.1111111111111111,0.23076923076923078,0.09090909090909091,0.2727272727272727,0.375,0.058823529411764705,1.0,0.2413793103448276,0.5714285714285714,0.8,,0.10344827586206896,,,0.1724137931034483,0.4,0.4,,0.25,,,0.2222222222222222,0.5,0.7241379310344828,0.47943620689655175,0.5035333333333333,0.45790277777777777,0.03333333333333333,0.0625,,0.71875,7.653333333333333,0.5,13.0,8.0,14.0,8.0,,13.0,,0.4827586206896552,,,0.4482758620689655,0.4444444444444444,25.164285714285718,1.0,1.0,3.0,3.0,4.0,3.0,6.0,3.0,1.0,0.5,0.2857142857142857,0.375,0.2857142857142857,0.034482758620689655,1.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.375,0.23076923076923078,,,,,,2.0,,2.0,6.0,,,0.5,,4.0,,,,,,,,,,,,True,,,,,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,29560.0,493,-60.0,896,897,189,229,96,1793,18.0,47,2.0,6.0,3.0,10.0,6.0,21.0,17.0,58.0,41,126,30.0,199,923,2.0,11.0,,25.0,5.0,23.0,10.0,35.0,20.0,62.0,17.0,35.0,13.0,48.0,9.0,4.0,15.0,15.0,109.0,4.0,7.0,13.0,34.0,3.0,50.0,12.0,62.0,5.0,15.0,10.0,5.0,24.0,6.0,14.0,9.0,,10.0,,,33.0,2.0,4.0,20.0,41.0,1.0,2.0,42.0,1.0,4.0,44.0,3.0,20.0,3.0,1.0,1.0,,1.0,1.0,,1.0,35.0,189,1.0,3.0,0.24390243902439024,0.24390243902439024,0.3253968253968254,0.18181818181818182,0.21739130434782608,0.4121951219512195,0.5,0.2976190476190476,0.44,0.5,0.35,0.1349206349206349,0.2978723404255319,0.09523809523809523,0.017241379310344827,25.470763131813676,0.7272727272727273,0.08333333333333333,0.1152542372881356,0.022727272727272728,0.1326530612244898,0.0380952380952381,0.11959287531806616,0.026634382566585957,0.030303030303030304,0.0375,0.007751937984496124,0.05333333333333334,,0.08602150537634409,0.1527777777777778,0.11538461538461539,0.13513513513513514,0.125,0.044642857142857144,1.0,0.22926829268292684,0.3829787234042553,0.5454545454545454,0.2222222222222222,0.1024390243902439,0.2857142857142857,0.3157894736842105,0.28292682926829266,0.29310344827586204,0.2982456140350877,0.29411764705882354,0.24,0.3333333333333333,0.5,0.23809523809523808,0.3,0.6146341463414634,0.48736170731707323,0.5500499999999999,0.4332869047619048,0.09009009009009009,0.13986013986013987,0.12562814070351758,0.17587939698492464,9.983333333333336,0.2109375,57.0,16.0,79.0,19.0,,57.0,1.0,0.3853658536585366,0.022222222222222223,0.16666666666666666,0.2780487804878049,0.38095238095238093,24.969620253164557,10.0,22.0,19.0,4.0,29.0,5.0,69.0,19.0,5.0,0.7931034482758621,0.3670886075949367,0.2631578947368421,0.3670886075949367,0.1073170731707317,0.45454545454545453,0.45454545454545453,0.9,0.3333333333333333,0.3333333333333333,0.7368421052631579,0.25,0.3333333333333333,3.0,,,0.07142857142857142,3.0,6.0,7.0,14.0,18.0,,0.5,0.24,0.5,2.0,4.0,8.0,1.0,0.32,0.5,1.0,0.6666666666666666,0.3333333333333333,,,,True,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,34382.0,573,-102.0,1038,1029,229,242,103,2067,32.0,48,2.0,6.0,6.0,10.0,1.0,5.0,29.0,66.0,62,119,42.0,283,1088,3.0,10.0,4.0,13.0,10.0,24.0,7.0,45.0,50.0,74.0,6.0,48.0,8.0,56.0,6.0,2.0,28.0,13.0,120.0,2.0,6.0,17.0,58.0,15.0,90.0,11.0,101.0,2.0,12.0,9.0,3.0,18.0,4.0,13.0,20.0,5.0,5.0,,1.0,38.0,3.0,9.0,12.0,35.0,,9.0,44.0,4.0,3.0,50.0,7.0,21.0,4.0,6.0,4.0,2.0,6.0,4.0,,,45.0,229,2.0,2.0,0.4032258064516129,0.4032258064516129,0.5210084033613446,0.3,0.4166666666666667,0.5821256038647343,0.20454545454545456,0.5428571428571428,0.6155555555555555,0.2826086956521739,0.5769230769230769,0.05042016806722689,0.10416666666666667,0.2,,22.613929492691312,0.47368421052631576,0.35714285714285715,0.17522658610271905,0.01643835616438356,0.1559633027522936,0.01818181818181818,0.17045454545454544,0.016842105263157894,0.03389830508474576,,0.012658227848101266,0.023529411764705882,,0.1111111111111111,0.2839506172839506,0.16541353383458646,0.15,0.1724137931034483,0.02040816326530612,0.6666666666666666,0.2318840579710145,0.6666666666666666,0.7441860465116279,0.3125,0.024154589371980676,0.2,0.25,0.3188405797101449,0.4393939393939394,0.4393939393939394,0.5172413793103449,0.2727272727272727,0.3333333333333333,,0.2857142857142857,0.6,0.6570048309178744,0.5091562801932368,0.5410974999999999,0.4822114285714286,0.09502262443438914,0.15789473684210525,0.045936395759717315,0.15901060070671377,11.565546218487397,0.220616570327553,79.0,8.0,88.0,11.0,,79.0,3.0,0.4251207729468599,0.05555555555555555,,0.38164251207729466,0.22857142857142856,24.843181818181822,4.0,9.0,35.0,4.0,39.0,6.0,96.0,35.0,7.0,0.8205128205128205,0.4431818181818182,0.5454545454545454,0.4431818181818182,0.043478260869565216,0.4444444444444444,0.4444444444444444,1.0,0.4430379746835443,0.4430379746835443,0.8,0.5,0.4430379746835443,3.0,,,0.08571428571428572,1.0,10.0,1.0,12.0,21.0,,0.08333333333333333,0.45454545454545453,0.1,7.0,,2.0,2.0,0.09090909090909091,,,1.0,0.6666666666666666,,,,True,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,23297.0,388,-67.0,710,700,202,180,81,1410,20.0,33,7.0,12.0,4.0,7.0,9.0,24.0,8.0,16.0,37,73,23.0,121,725,11.0,16.0,1.0,26.0,6.0,18.0,7.0,28.0,52.0,22.0,5.0,8.0,7.0,15.0,5.0,2.0,4.0,2.0,37.0,3.0,17.0,9.0,24.0,3.0,36.0,20.0,56.0,3.0,12.0,9.0,3.0,7.0,2.0,2.0,9.0,,5.0,,3.0,16.0,,5.0,21.0,35.0,3.0,3.0,44.0,4.0,9.0,38.0,3.0,14.0,6.0,13.0,10.0,2.0,13.0,9.0,,,28.0,202,4.0,4.0,0.7027027027027027,0.8125,0.5068493150684932,0.6875,0.3333333333333333,0.532608695652174,0.6944444444444444,0.4375,0.555045871559633,0.7222222222222222,0.4827586206896552,0.0684931506849315,0.09090909090909091,0.08333333333333333,,15.489467162329616,0.4375,0.15,0.1038961038961039,0.0648854961832061,0.09574468085106383,0.04285714285714286,0.10153846153846154,0.060240963855421686,0.08247422680412371,0.06349206349206349,0.049019607843137254,0.02,0.1,0.0945945945945946,0.10606060606060606,0.10989010989010989,0.1076923076923077,0.06896551724137931,0.07317073170731707,0.6923076923076923,0.358695652173913,0.6060606060606061,0.6666666666666666,0.7,0.2608695652173913,0.375,0.4090909090909091,0.17391304347826086,0.5,0.5,1.0,0.6666666666666666,0.5833333333333334,0.42857142857142855,0.2916666666666667,0.5714285714285714,0.5652173913043478,0.48325217391304337,0.5451035714285715,0.4804124999999999,0.13592233009708737,0.16666666666666666,0.21487603305785125,0.23140495867768596,6.187671232876711,0.28450704225352114,11.0,4.0,19.0,6.0,10.0,11.0,,0.20652173913043478,,0.4444444444444444,0.11956521739130435,0.16666666666666666,24.189473684210526,4.0,8.0,4.0,2.0,8.0,3.0,24.0,4.0,2.0,1.0,0.42105263157894735,0.5,0.42105263157894735,0.08695652173913043,0.5,0.5,1.0,0.36363636363636365,0.36363636363636365,1.0,0.5,0.36363636363636365,2.0,1.0,,0.08333333333333333,,,1.0,2.0,,,0.5,,,1.0,1.0,2.0,1.0,0.1111111111111111,0.5,1.0,,0.5,1.0,,,True,,,,,,,,,
