EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyFtPoints,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceFtPoints,PtsUnassisted3s,Fg3aBlocked,Clear Path Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations,BlockedCorner3,on,Corner3PctBlocked
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,5426.0,90,5,176,172,80,80,26,348,5.0,11.0,2.0,4.0,4.0,8.0,3.0,8.0,16,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,13.0,30,2.0,6.0,1.0,33,197,2.0,5.0,1.0,1.0,7.0,5.0,14.0,2.0,3.0,16,10.0,16.0,6.0,4.0,3.0,2.0,1.0,3,1.0,4,1.0,3.0,9,4,1.0,2,10,1.0,13,5,18,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,5,2.0,10,23,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,80,4,0.38461538461538464,0.45454545454545453,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.43333333333333335,0.4,0.35714285714285715,0.4444444444444444,0.5833333333333334,0.47058823529411764,0.4583333333333333,0.5833333333333334,0.47058823529411764,0.16666666666666666,0.03333333333333333,0.09090909090909091,19.71153846153846,0.8,0.125,0.125,0.17857142857142858,0.06153846153846154,0.1,0.15789473684210525,0.04938271604938271,0.09090909090909091,0.0625,0.037037037037037035,0.125,0.17391304347826086,0.23529411764705882,0.15384615384615385,0.05555555555555555,1.0,0.3055555555555556,0.45454545454545453,0.5,0.2,0.08333333333333333,0.4444444444444444,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,0.47058823529411764,0.5,0.058823529411764705,0.11764705882352941,1.0,0.4722222222222222,0.6666666666666666,0.45325138888888894,0.5105666666666666,0.49372941176470586,0.027777777777777776,0.03333333333333333,0.21212121212121213,0.48484848484848486,10.606666666666664,24.45,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,12926.0,215,33,426,427,184,146,58,853,12.0,27.0,3.0,4.0,7.0,13.0,7.0,6.0,17,3.0,1.0,,1.0,,,,,19.0,51,1.0,4.0,12.0,53,454,3.0,8.0,1.0,1.0,9.0,9.0,23.0,1.0,1.0,25,20.0,18.0,3.0,4.0,1.0,,4.0,17,6.0,23,4.0,9.0,52,8,,6,12,2.0,20,10,30,1.0,16.0,10.0,5.0,,5.0,10.0,,15,11.0,11,22,,13,19.0,,7.0,3.0,2.0,3.0,1.0,,25,184,2,0.5263157894736842,0.5882352941176471,1.0,0.25,1.0,1.0,0.25,0.37254901960784315,0.375,0.391304347826087,0.37272727272727274,0.5,0.4375,0.4140625,0.5,0.4807692307692308,0.07272727272727272,0.0784313725490196,0.14814814814814814,16.056910569105693,0.3333333333333333,0.15384615384615385,,0.09448818897637795,0.058394160583941604,0.1276595744680851,0.10344827586206896,0.055248618784530384,0.09615384615384616,,0.061224489795918366,0.024390243902439025,0.075,0.17391304347826086,0.15384615384615385,0.03225806451612903,0.3333333333333333,0.4909090909090909,0.4444444444444444,0.5217391304347826,0.5,0.12727272727272726,0.3090909090909091,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.05454545454545454,0.01818181818181818,,,,0.4444444444444444,0.75,,,,0.5416666666666666,0.5384615384615384,0.041666666666666664,,,0.5636363636363636,,0.5135145454545454,0.4310875,0.5279458333333334,0.11290322580645161,0.1206896551724138,0.16981132075471697,0.4716981132075472,7.7784313725490195,23.8,0.431924882629108,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,0.045454545454545456,0.05714285714285714,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,109694.0,1828,182,3552,3522,1463,1226,451,7074,96.0,147.0,3.0,6.0,36.0,57.0,93.0,35.0,120,18.0,5.0,12.0,57.0,,10.0,6.0,18.0,166.0,360,16.0,75.0,236.0,616,3854,7.0,22.0,,13.0,24.0,67.0,139.0,7.0,23.0,291,96.0,236.0,36.0,2.0,57.0,12.0,21.0,158,75.0,233,58.0,81.0,541,13,,34,81,1.0,116,17,133,5.0,44.0,15.0,31.0,13.0,20.0,28.0,11.0,59,26.0,33,71,1.0,220,278.0,26.0,100.0,8.0,3.0,8.0,3.0,,291,1463,8,0.2891566265060241,0.2909090909090909,0.75,0.21333333333333335,,0.30434782608695654,0.21333333333333335,0.46111111111111114,0.3181818181818182,0.48201438848920863,0.4367816091954023,0.2,0.4783950617283951,0.5466786355475763,0.3,0.6111111111111112,0.1724137931034483,0.058333333333333334,0.10204081632653061,15.068493150684931,0.5254237288135594,0.006944444444444444,,0.07117750439367311,0.01098901098901099,0.08651399491094147,0.07511430437622468,0.010773130544993664,0.013477088948787063,0.015432098765432098,0.006147540983606557,0.0783132530120482,0.052083333333333336,0.08293838862559241,0.08239700374531835,0.022222222222222223,0.375,0.33793103448275863,0.6530612244897959,0.7272727272727273,0.3229166666666667,0.21379310344827587,0.27586206896551724,0.2916666666666667,0.2916666666666667,0.34285714285714286,0.041379310344827586,0.1310344827586207,0.21052631578947367,0.21428571428571427,0.6666666666666666,0.17142857142857143,0.5,0.2857142857142857,,,0.35185185185185186,0.631578947368421,0.030864197530864196,0.1111111111111111,0.3333333333333333,0.5103448275862069,0.21052631578947367,0.49130646651270204,0.47019107142857147,0.48706500000000014,0.19646365422396855,0.2304147465437788,0.03896103896103896,0.4724025974025974,8.490833333333335,25.56533333333333,0.41188063063063063,35.0,4.0,,3.0,1.0,136.0,17.0,20.0,57.0,4.0,29.0,2.0,4.0,5.0,7.0,33.0,48.0,4.0,45.0,0.010126582278481013,0.009900990099009901,0.09523809523809523,0.3763440860215054,0.40229885057471265,0.2222222222222222,0.2222222222222222,1.0,0.08571428571428572,,,0.2,10.0,12.0,1.0,1.0,3.0,7.0,1.0,0.013333333333333334,0.06451612903225806,0.017543859649122806,0.010869565217391304,0.14285714285714285,,,,,,,,,,,,,,True,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,175412.0,2924,242,5723,5666,1895,1621,788,11389,183.0,302.0,58.0,91.0,58.0,96.0,311.0,142.0,374,79.0,27.0,106.0,258.0,11.0,22.0,29.0,81.0,460.0,987,135.0,337.0,200.0,1525,6181,90.0,166.0,12.0,25.0,250.0,133.0,270.0,43.0,108.0,499,580.0,340.0,390.0,110.0,257.0,106.0,49.0,100,36.0,136,29.0,53.0,308,103,14.0,83,381,73.0,537,154,691,25.0,76.0,32.0,68.0,11.0,40.0,50.0,28.0,118,44.0,109,165,7.0,241,273.0,26.0,96.0,10.0,8.0,10.0,2.0,3.0,499,1895,11,0.6304347826086957,0.7160493827160493,0.9629629629629629,0.40059347181008903,0.48,0.39814814814814814,0.4017857142857143,0.46605876393110435,0.5421686746987951,0.4925925925925926,0.5003776435045317,0.5654450261780105,0.5224867724867724,0.527681660899654,0.5924170616113744,0.5569196428571429,0.2545317220543807,0.04964539007092199,0.07947019867549669,23.4297706490781,0.576271186440678,0.365,0.06511627906976744,0.1984375,0.05002428363283147,0.1416382252559727,0.18515562649640863,0.05202526941657377,0.07154213036565978,0.04690117252931323,0.03601440576230492,0.18216318785578747,0.21967213114754097,0.19284802043422733,0.13526570048309178,0.03731343283582089,0.2,0.2280966767371601,0.6059602649006622,0.658273381294964,0.5792349726775956,0.2348942598187311,0.2824773413897281,0.37967914438502676,0.3806970509383378,0.823943661971831,0.05966767371601209,0.19486404833836857,0.4108527131782946,0.4140625,0.9528301886792453,0.47643979057591623,0.6373626373626373,0.11518324607329843,0.5,1.0,0.25396825396825395,0.6041666666666666,0.07142857142857142,0.21428571428571427,0.35802469135802467,0.4826283987915408,0.41245136186770426,0.4815789174867523,0.5085605633802818,0.4839343999999998,0.07229778095919828,0.09082308420056764,0.16393442622950818,0.32721311475409837,10.054609929078016,25.14836795252225,0.33112004193604755,135.0,29.0,1.0,3.0,14.0,104.0,7.0,15.0,32.0,37.0,44.0,7.0,9.0,8.0,15.0,19.0,48.0,1.0,45.0,0.058544303797468354,0.05719921104536489,0.1569767441860465,0.4340836012861736,0.47038327526132406,0.3670886075949367,0.3670886075949367,1.0,0.015706806282722512,0.3333333333333333,1.0,0.5185185185185185,34.0,15.0,2.0,1.0,32.0,,1.0,0.005934718100890208,0.07717041800643087,0.007751937984496124,0.064,0.4962962962962963,1.0,1.0,2.0,5.0,1.0,0.00267379679144385,0.15517241379310345,0.014705882352941176,,,,,,True,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,203069.0,3384,207,6594,6554,2205,1914,896,13148,253.0,419.0,23.0,46.0,80.0,141.0,173.0,234.0,536,59.0,27.0,178.0,481.0,7.0,26.0,55.0,169.0,547.0,1128,199.0,540.0,655.0,2346,7094,42.0,93.0,8.0,32.0,164.0,177.0,361.0,65.0,196.0,867,308.0,786.0,360.0,18.0,478.0,178.0,58.0,381,103.0,484,77.0,192.0,1071,43,1.0,56,155,10.0,221,59,280,16.0,161.0,64.0,150.0,34.0,104.0,147.0,46.0,297,90.0,113,286,9.0,597,799.0,64.0,318.0,22.0,12.0,25.0,14.0,,867,2205,61,0.28153564899451555,0.2862453531598513,0.6030150753768844,0.3685185185185185,0.25,0.33163265306122447,0.37057728119180633,0.4849290780141844,0.45161290322580644,0.4903047091412742,0.50689448441247,0.432,0.49281867145421904,0.5751617720258835,0.5225806451612903,0.580952380952381,0.3237410071942446,0.051418439716312055,0.09069212410501193,30.052151238591915,0.5050505050505051,0.04149377593360996,0.0038461538461538464,0.07029478458049887,0.018120522545301308,0.08034433285509325,0.07270847691247416,0.01872175597159458,0.024965325936199722,0.019287833827893175,0.012269938650306749,0.06301824212271974,0.05807365439093484,0.08482142857142858,0.08074534161490683,0.019138755980861243,0.56,0.2511990407673861,0.60381861575179,0.6640419947506562,0.2924901185770751,0.10371702637889688,0.3213429256594724,0.43656716417910446,0.44234404536862004,0.2948717948717949,0.03537170263788969,0.2883693045563549,0.3700623700623701,0.3731656184486373,0.5730337078651685,0.368,0.5,0.208,0.2692307692307692,0.8571428571428571,0.25314183123877915,0.5673758865248227,0.04847396768402154,0.30341113105924594,0.3254437869822485,0.5749400479616307,0.3723849372384937,0.4915435697115385,0.5091675925925925,0.47710650994575055,0.1690871369294606,0.2301013024602026,0.06990622335890878,0.3695652173913043,10.469148936170217,25.531111111111095,0.3343949044585987,60.0,21.0,1.0,6.0,10.0,318.0,26.0,67.0,122.0,15.0,97.0,10.0,19.0,20.0,48.0,32.0,81.0,5.0,77.0,0.020689655172413793,0.012027491408934709,0.0794392523364486,0.3468208092485549,0.375,0.3559322033898305,0.3559322033898305,0.8571428571428571,0.048,0.16666666666666666,1.0,0.37037037037037035,56.0,237.0,4.0,1.0,6.0,43.0,5.0,0.007407407407407408,0.07514450867052024,0.008316008316008316,0.055944055944055944,0.18333333333333332,3.0,3.0,2.0,8.0,1.0,0.013059701492537313,0.34782608695652173,0.014652014652014652,3.0,3.0,,,,True,
1916,1610612764,Calvin Booth,Calvin Booth,1916,WAS,10731.0,179,16,348,335,146,156,51,683,7.0,11.0,4.0,6.0,2.0,5.0,5.0,5.0,15,,,1.0,1.0,,,1.0,1.0,13.0,31,1.0,1.0,4.0,33,375,4.0,9.0,,,9.0,4.0,12.0,1.0,1.0,12,18.0,8.0,3.0,6.0,1.0,1.0,1.0,7,2.0,9,2.0,2.0,20,9,1.0,5,12,5.0,22,14,36,1.0,8.0,3.0,4.0,1.0,2.0,2.0,2.0,6,1.0,21,33,1.0,8,7.0,1.0,4.0,7.0,2.0,7.0,4.0,,12,146,6,0.6923076923076923,0.9,1.0,1.0,,1.0,1.0,0.41935483870967744,0.4444444444444444,0.3333333333333333,0.453125,0.4444444444444444,0.4230769230769231,0.4714285714285714,0.5,0.42857142857142855,0.03125,0.03225806451612903,0.09090909090909091,10.073710073710073,0.6666666666666666,0.3125,0.06666666666666667,0.10810810810810811,0.07964601769911504,0.1388888888888889,0.11564625850340136,0.08387096774193549,0.08333333333333333,0.0625,0.08771929824561403,0.10810810810810811,0.16666666666666666,0.08,0.14285714285714285,0.058823529411764705,0.5714285714285714,0.34375,0.6363636363636364,0.7,0.42857142857142855,0.15625,0.46875,0.3333333333333333,0.3333333333333333,1.0,,0.03125,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.38461538461538464,0.4,,0.07692307692307693,1.0,0.375,1.0,0.46127187499999994,0.4845285714285715,0.4696230769230769,0.11428571428571428,0.11764705882352941,0.2727272727272727,0.36363636363636365,9.916129032258064,25.7,0.41954022988505746,1.0,,,,,1.0,,,5.0,4.0,5.0,,1.0,1.0,,2.0,,5.0,,0.09523809523809523,0.08571428571428572,0.125,0.2,0.2,,,,,,,,1.0,,,,1.0,,,,,,0.14285714285714285,1.0,,,,,,,,,,,,,,True,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,105791.0,1763,97,3379,3358,915,699,479,6737,159.0,246.0,74.0,119.0,44.0,65.0,150.0,2.0,12,,,,,,,,,208.0,408,,,120.0,536,3574,78.0,134.0,,,179.0,50.0,89.0,,,152,206.0,210.0,,136.0,,,28.0,29,15.0,44,12.0,11.0,103,151,4.0,54,168,31.0,253,190,443,16.0,28.0,9.0,31.0,3.0,6.0,60.0,25.0,91,31.0,132,219,19.0,196,202.0,15.0,86.0,98.0,49.0,98.0,53.0,1.0,152,915,18,0.4951923076923077,0.7357142857142858,,,,,,0.5098039215686274,0.582089552238806,0.5617977528089888,0.5098039215686274,0.582089552238806,0.5617977528089888,0.5338645418326693,0.5774193548387097,0.5714285714285714,,0.06862745098039216,0.056910569105691054,14.92311570456264,0.34065934065934067,0.30097087378640774,0.03389830508474576,0.1344,0.11448066717210008,0.16666666666666666,0.14104193138500634,0.11117752540346683,0.15422885572139303,0.10594315245478036,0.09056603773584905,0.07849829351535836,0.12560386473429952,0.1712707182320442,0.18061674008810572,0.09411764705882353,0.5408163265306123,0.6029411764705882,0.6463414634146342,0.6853448275862069,0.5031446540880503,0.36764705882352944,0.029411764705882353,0.16666666666666666,0.2,,,,,,,0.8880597014925373,0.6218487394957983,,,,0.7303370786516854,0.676923076923077,,,,0.6029411764705882,,0.5162414215686274,0.5678940170940171,0.5562314606741573,0.17954070981210857,0.17954070981210857,0.333955223880597,0.2835820895522388,3.6828431372549018,,0.27079017460787214,47.0,,,,,52.0,3.0,3.0,15.0,35.0,19.0,1.0,19.0,18.0,21.0,35.0,23.0,46.0,22.0,0.09887005649717515,0.10416666666666667,0.13402061855670103,0.31333333333333335,0.34057971014492755,,,,,,,,23.0,,,,24.0,,3.0,,0.08,,0.07575757575757576,0.48936170212765956,,2.0,,,6.0,0.16666666666666666,0.0945945945945946,,,,3.0,10.0,,True,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,139904.0,2332,162,4565,4523,1580,1340,620,9088,157.0,258.0,34.0,58.0,45.0,72.0,181.0,153.0,372,15.0,5.0,31.0,80.0,4.0,9.0,10.0,29.0,378.0,811,35.0,95.0,244.0,1105,4916,53.0,107.0,5.0,13.0,154.0,99.0,225.0,10.0,34.0,359,376.0,380.0,69.0,50.0,77.0,31.0,50.0,122,39.0,161,30.0,72.0,361,75,1.0,79,202,15.0,296,104,400,14.0,109.0,45.0,56.0,14.0,35.0,89.0,21.0,145,49.0,74,202,7.0,211,282.0,17.0,113.0,17.0,13.0,17.0,10.0,,359,1580,39,0.4973544973544973,0.5325779036827195,0.6571428571428571,0.3684210526315789,0.38461538461538464,0.29411764705882354,0.3804347826086957,0.46609124537607893,0.4953271028037383,0.44,0.47516556291390727,0.5041666666666667,0.44015444015444016,0.5323359073359073,0.5620437956204379,0.5392749244712991,0.10485651214128035,0.06165228113440197,0.10465116279069768,22.257821334338484,0.38620689655172413,0.08875739644970414,0.005988023952095809,0.13760217983651227,0.04542701393095094,0.15612648221343872,0.14235055724417425,0.04849340866290019,0.05078125,0.056768558951965066,0.033773861967694566,0.10804020100502512,0.1137855579868709,0.17455138662316477,0.1676300578034682,0.03263403263403263,0.5882352941176471,0.2847682119205298,0.6085271317829457,0.6796536796536796,0.5605095541401274,0.1997792494481236,0.4105960264900662,0.4112903225806452,0.4135135135135135,0.5032679738562091,0.016556291390728478,0.08830022075055188,0.3875,0.3924050632911392,0.6129032258064516,0.48333333333333334,0.5862068965517241,0.075,0.4444444444444444,0.5,0.277992277992278,0.625,0.019305019305019305,0.11196911196911197,0.3448275862068966,0.38962472406181015,0.4025974025974026,0.4689012763596004,0.49343068181818184,0.45728984375,0.11365902293120637,0.12458654906284454,0.13936651583710408,0.3248868778280543,10.693464858199754,27.19263157894737,0.34611171960569553,68.0,4.0,1.0,4.0,,131.0,9.0,16.0,34.0,28.0,64.0,11.0,19.0,11.0,29.0,13.0,33.0,3.0,34.0,0.05919661733615222,0.05526315789473684,0.13125,0.3756906077348066,0.425,0.26666666666666666,0.26666666666666666,1.0,0.03333333333333333,0.25,1.0,,33.0,36.0,1.0,,11.0,3.0,1.0,0.010526315789473684,0.11602209944751381,0.0125,0.07526881720430108,0.3382352941176471,3.0,1.0,,1.0,6.0,0.005376344086021506,0.11764705882352941,0.010416666666666666,,,,3.0,,True,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,49876.0,831,12,1615,1607,506,490,223,3222,80.0,127.0,29.0,43.0,20.0,30.0,54.0,1.0,5,,,,,,,,,96.0,186,,,48.0,240,1751,30.0,49.0,,,71.0,23.0,40.0,,,72,94.0,98.0,,46.0,,,26.0,9,2.0,11,1.0,6.0,24,53,3.0,35,79,20.0,134,72,206,1.0,17.0,5.0,16.0,,,16.0,16.0,32,10.0,69,119,10.0,78,86.0,8.0,36.0,53.0,28.0,53.0,30.0,,72,506,17,0.4895833333333333,0.6438356164383562,,,,,,0.5161290322580645,0.6122448979591837,0.575,0.5161290322580645,0.6122448979591837,0.575,0.5333333333333333,0.6016949152542372,0.5901639344262295,,0.13978494623655913,0.14960629921259844,13.699360341151385,0.5,0.36363636363636365,0.046875,0.15134099616858238,0.09185441941074524,0.18716577540106952,0.1607898448519041,0.09067017082785808,0.10344827586206896,0.08641975308641975,0.08713692946058091,0.1232876712328767,0.1907514450867052,0.13793103448275862,0.19047619047619047,0.015873015873015872,0.5660377358490566,0.6827956989247311,0.6299212598425197,0.7407407407407407,0.5,0.2903225806451613,0.026881720430107527,0.2,0.2,,,,,,,0.8775510204081632,0.6744186046511628,,,,0.75,0.6666666666666666,,,,0.6827956989247311,,0.5295037634408604,0.5793,0.5448974999999999,0.16822429906542055,0.16822429906542055,0.29583333333333334,0.3,3.0166666666666675,,0.31331269349845203,15.0,,,,,26.0,1.0,1.0,2.0,16.0,12.0,2.0,3.0,4.0,7.0,7.0,11.0,25.0,11.0,0.08695652173913043,0.09395973154362416,0.18032786885245902,0.2777777777777778,0.3191489361702128,,,,,,,,11.0,,,,9.0,,,,0.12962962962962962,,0.05714285714285714,0.4666666666666667,,,,,2.0,,0.1724137931034483,,,,,2.0,,True,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,46238.0,771,18,1499,1512,621,620,214,3011,25.0,50.0,17.0,34.0,10.0,22.0,4.0,,2,,,,1.0,,,,1.0,25.0,56,,1.0,26.0,76,1640,17.0,38.0,,,45.0,10.0,26.0,,1.0,42,20.0,30.0,,30.0,1.0,,6.0,12,5.0,17,5.0,7.0,39,76,4.0,23,80,19.0,122,101,223,5.0,17.0,9.0,11.0,2.0,5.0,18.0,6.0,29,8.0,76,144,10.0,50,55.0,3.0,18.0,27.0,19.0,27.0,13.0,2.0,42,621,18,0.4,1.0,,,,,,0.44642857142857145,0.4473684210526316,0.38461538461538464,0.43859649122807015,0.4473684210526316,0.37037037037037035,0.4578313253012048,0.4787234042553192,0.45652173913043476,0.017543859649122806,0.10714285714285714,0.08,6.385404789053592,0.3793103448275862,0.23170731707317074,0.05333333333333334,0.18306636155606407,0.15079365079365079,0.14285714285714285,0.17224080267558528,0.1416058394160584,0.21428571428571427,0.18181818181818182,0.09049773755656108,0.1917808219178082,0.175,0.18128654970760233,0.15384615384615385,0.21739130434782608,0.48148148148148145,0.8771929824561403,0.5,0.5434782608695652,0.4,0.07017543859649122,0.03508771929824561,,,,,0.017543859649122806,,,,0.8947368421052632,0.5,,,,0.8148148148148148,0.45454545454545453,,0.037037037037037035,,0.8947368421052632,,0.5392464285714287,0.5382783783783784,0.53235,0.25,0.2535211267605634,0.5921052631578947,0.5526315789473685,2.2285714285714286,36.3,0.4142761841227485,,,,,,22.0,,1.0,4.0,21.0,8.0,2.0,1.0,4.0,9.0,14.0,11.0,8.0,10.0,0.11602209944751381,0.09154929577464789,0.11363636363636363,,,,,,,,,,11.0,,,,10.0,,,,0.5,,0.20512820512820512,,,,,,,,0.11764705882352941,,,,1.0,,,True,
