EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,on,OffensiveGoaltends,Clear Path Fouls,Blocked3s,BlockedArc3
101143,1610612753,Travis Diener,Travis Diener,101143,ORL,8352.0,139,-6,258,251,85,65,35,509,4.0,7.0,3.0,5.0,2.0,3.0,7.0,21.0,2.0,2.0,8.0,4.0,7,10.0,26.0,38,276,1.0,1.0,2.0,2,1.0,1.0,4.0,11.0,14.0,8.0,24.0,6.0,1.0,20.0,7.0,5.0,3.0,8.0,3.0,3.0,2.0,19.0,2.0,7,9,9,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,2.0,4,14,5,2.0,14.0,85,4.0,1.0,1.0,0.8,0.38461538461538464,0.36363636363636365,0.4,0.5714285714285714,1.0,1.0,0.5757575757575758,0.3333333333333333,0.5833333333333334,0.5757575757575758,0.3333333333333333,0.5833333333333334,0.7878787878787878,12.751677852348994,0.2,0.0945945945945946,0.07142857142857142,0.08823529411764706,0.13043478260869565,0.10810810810810811,0.07692307692307693,0.06666666666666667,0.21212121212121213,0.5714285714285714,0.5714285714285714,1.0,0.15151515151515152,0.6,0.6,1.0,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.25,0.7878787878787878,0.35,0.49331875,0.48678333333333335,0.5003545454545455,0.05263157894736842,0.3684210526315789,19.714285714285715,26.169230769230772,0.32945736434108525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,10003.0,167,-18,292,294,75,89,32,586,2.0,6.0,,,,,,,,,,13.0,27,,,37,329,2.0,9.0,,6,7.0,9.0,,,22.0,20.0,,,,,,2.0,3.0,5.0,3.0,1.0,1.0,13.0,8.0,14,29,44,,,,3.0,,2.0,2.0,,5.0,1.0,12,20,17,4.0,22.0,75,5.0,0.7692307692307693,0.8333333333333334,,,,,0.48148148148148145,0.2222222222222222,0.7777777777777778,0.48148148148148145,0.2222222222222222,0.7777777777777778,0.5441176470588235,0.3,0.8461538461538461,,11.641791044776118,0.6,0.12844036697247707,0.26666666666666666,0.15827338129496402,0.06451612903225806,0.12,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4,1.0,,,,,,,,,,,,,,0.4444444444444444,,0.466925925925926,0.5082,0.4772666666666667,0.16216216216216217,0.5945945945945946,6.281481481481482,,0.2568493150684932,7.0,12.0,1.0,5.0,4.0,5.0,4.0,9.0,11.0,2.0,8.0,6.0,2.0,2.0,2.0,13.0,7.0,15.0,1.0,1.0,1.0,1.0,1.0,16.0,2.0,8.0,1.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,0.07407407407407407,0.08333333333333333,0.16666666666666666,0.4117647058823529,0.125,0.07142857142857142,0.11363636363636363,0.17857142857142858,0.09090909090909091,0.1111111111111111,0.10526315789473684,0.21428571428571427,0.08333333333333333,0.75,0.4444444444444444,0.5833333333333334,0.6363636363636364,0.8571428571428571,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.2,0.5555555555555556,0.8,0.24242424242424243,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1727,1610612753,Pat Garrity,Pat Garrity,1727,ORL,56247.0,937,-9,1734,1715,638,561,222,3449,33.0,73.0,9.0,21.0,2.0,7.0,41.0,108.0,7.0,6.0,33.0,51.0,113,50.0,129.0,282,1836,13.0,22.0,9.0,38,17.0,34.0,8.0,40.0,74.0,74.0,150.0,,,108.0,41.0,27.0,11.0,38.0,9.0,18.0,7.0,87.0,22.0,46,77,108,12.0,9.0,3.0,20.0,3.0,14.0,18.0,,38.0,17.0,50,108,35,8.0,74.0,638,12.0,0.7254901960784313,0.8043478260869565,1.0,0.3875968992248062,0.2,0.3875968992248062,0.45132743362831856,0.5909090909090909,0.5,0.5206611570247934,0.5645161290322581,0.3918918918918919,0.5447470817120622,0.59375,0.4457831325301205,0.5330578512396694,14.801806322127446,0.5263157894736842,0.0798611111111111,0.12716763005780346,0.09078771695594126,0.0855614973262032,0.07279693486590039,0.15126050420168066,0.07407407407407407,0.30165289256198347,0.4520547945205479,0.4520547945205479,0.9696969696969697,0.08677685950413223,0.42857142857142855,0.42857142857142855,1.0,0.4462809917355372,0.37962962962962965,0.38317757009345793,1.0,0.22580645161290322,0.0945945945945946,0.2857142857142857,0.44594594594594594,0.18181818181818182,0.6074380165289256,0.37962962962962965,0.47015516528925627,0.4935180000000001,0.46240810810810806,0.1347517730496454,0.2624113475177305,14.025663716814162,25.201550387596896,0.3679354094579008,8.0,18.0,6.0,10.0,3.0,6.0,10.0,22.0,30.0,3.0,16.0,28.0,10.0,4.0,8.0,21.0,9.0,31.0,2.0,6.0,2.0,8.0,5.0,37.0,2.0,8.0,8.0,9.0,7.0,2.0,9.0,4.0,,4.0,8.0,0.035398230088495575,0.1111111111111111,,0.10344827586206896,0.036395147313691506,0.04678362573099415,0.03877005347593583,0.03431372549019608,0.06923076923076923,0.0205761316872428,0.04316546762589928,0.0859375,0.014925373134328358,0.4444444444444444,0.0743801652892562,0.4444444444444444,0.5,0.375,0.09090909090909091,0.45454545454545453,0.5,0.2,0.3225806451612903,0.6,0.08108108108108109,0.5,0.03614457831325301,0.06722689075630252,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,11.0,4.0,1.0,0.3333333333333333,0.007751937984496124,0.09090909090909091,0.009259259259259259,0.02531645569620253,0.0625,0.16666666666666666,0.06451612903225806,0.42857142857142855,1.0,0.007692307692307693,,,,,,True,,,,
1883,1610612753,Steve Francis,Steve Francis,1883,ORL,28259.0,471,31,881,867,382,337,118,1748,13.0,44.0,2.0,5.0,,,1.0,11.0,1.0,1.0,6.0,64.0,136,3.0,16.0,235,927,9.0,16.0,1.0,23,28.0,59.0,1.0,6.0,116.0,30.0,6.0,3.0,,11.0,1.0,40.0,27.0,67.0,21.0,21.0,16.0,161.0,5.0,26,33,53,15.0,10.0,5.0,26.0,6.0,18.0,24.0,2.0,50.0,23.0,17,49,85,4.0,116.0,382,11.0,0.234375,0.25862068965517243,0.6666666666666666,0.1875,0.16666666666666666,0.1875,0.47058823529411764,0.5625,0.4745762711864407,0.4506578947368421,0.5294117647058824,0.45384615384615384,0.5759803921568627,0.575,0.6105263157894737,0.10526315789473684,24.92639842983317,0.52,0.09420289855072464,0.05813953488372093,0.0856353591160221,0.047058823529411764,0.14516129032258066,0.06153846153846154,0.047619047619047616,0.2894736842105263,0.29545454545454547,0.29545454545454547,0.15384615384615385,0.03289473684210526,0.4,0.4,1.0,0.07236842105263158,0.09090909090909091,0.09090909090909091,,0.058823529411764705,,,0.09230769230769231,0.16666666666666666,0.6447368421052632,0.09090909090909091,0.5174203947368422,0.5834958333333333,0.5283153846153847,0.09787234042553192,0.49361702127659574,6.614705882352942,25.09375,0.4335981838819523,48.0,82.0,7.0,12.0,24.0,41.0,3.0,10.0,98.0,5.0,57.0,98.0,12.0,7.0,5.0,15.0,2.0,20.0,4.0,8.0,7.0,2.0,1.0,116.0,12.0,50.0,14.0,1.0,1.0,,1.0,,,1.0,13.0,0.051470588235294115,0.08536585365853659,,0.04,0.05244755244755245,0.05263157894736842,0.05249343832020997,0.07207207207207207,0.03333333333333333,0.043478260869565216,0.028169014084507043,0.05970149253731343,0.05333333333333334,,0.5394736842105263,0.5853658536585366,0.64,0.2708333333333333,0.06578947368421052,0.3,0.3,,0.7058823529411765,0.5833333333333334,0.6307692307692307,0.5853658536585366,0.2631578947368421,0.28735632183908044,,,,,6.0,3.0,,1.0,5.0,5.0,,,,,,,,0.125,,,,,,1.0,,,,,True,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,33969.0,566,-27,1060,1037,418,376,143,2097,31.0,71.0,5.0,12.0,2.0,6.0,15.0,42.0,4.0,4.0,16.0,62.0,150,20.0,54.0,244,1142,10.0,19.0,5.0,34,27.0,57.0,6.0,22.0,95.0,52.0,60.0,,,42.0,15.0,36.0,8.0,44.0,3.0,16.0,18.0,96.0,7.0,41,61,81,9.0,6.0,3.0,12.0,7.0,5.0,18.0,1.0,30.0,5.0,30,63,53,3.0,95.0,418,16.0,0.41935483870967744,0.4482758620689655,1.0,0.37037037037037035,0.2727272727272727,0.37037037037037035,0.41333333333333333,0.5263157894736842,0.47368421052631576,0.45098039215686275,0.6041666666666666,0.45569620253164556,0.5170940170940171,0.6538461538461539,0.521978021978022,0.2647058823529412,21.56862745098039,0.4,0.11781609195402298,0.06666666666666667,0.10596026490066225,0.08771929824561403,0.13333333333333333,0.06349206349206349,0.07142857142857142,0.3480392156862745,0.43661971830985913,0.44285714285714284,0.5161290322580645,0.058823529411764705,0.4166666666666667,0.4166666666666667,1.0,0.20588235294117646,0.35714285714285715,0.35714285714285715,1.0,0.16666666666666666,0.0759493670886076,0.3333333333333333,0.20253164556962025,0.25,0.5392156862745098,0.35714285714285715,0.45572574257425746,0.47579333333333335,0.43711858974358986,0.13934426229508196,0.38934426229508196,10.078666666666667,25.62962962962963,0.39433962264150946,24.0,56.0,5.0,10.0,10.0,21.0,7.0,23.0,60.0,5.0,23.0,72.0,8.0,10.0,6.0,13.0,13.0,20.0,2.0,7.0,2.0,1.0,8.0,68.0,4.0,27.0,7.0,3.0,3.0,,3.0,1.0,,,7.0,0.06666666666666667,0.10714285714285714,0.014084507042253521,0.24074074074074073,0.037900874635568516,0.049586776859504134,0.040948275862068964,0.06722689075630252,0.0136986301369863,0.026490066225165563,0.041666666666666664,0.13095238095238096,0.01904761904761905,0.3333333333333333,0.27450980392156865,0.42857142857142855,0.48,0.375,0.11274509803921569,0.30434782608695654,0.35,0.14285714285714285,0.4166666666666667,0.5,0.26582278481012656,0.47619047619047616,0.11894273127753303,0.15606936416184972,1.0,2.0,3.0,,5.0,2.0,1.0,3.0,3.0,3.0,4.0,,0.6,,0.13043478260869565,,0.017857142857142856,0.08,,0.041666666666666664,0.5,1.0,,,1.0,1.0,1.0,,True,,,,
2052,1610612753,DeShawn Stevenson,DeShawn Stevenson,2052,ORL,27505.0,458,-122,834,837,306,280,96,1671,21.0,56.0,,1.0,,1.0,1.0,5.0,,,3.0,52.0,120,1.0,6.0,140,964,8.0,17.0,,17,21.0,40.0,,4.0,57.0,78.0,3.0,,2.0,3.0,1.0,24.0,6.0,30.0,5.0,11.0,8.0,66.0,8.0,20,28,35,9.0,7.0,2.0,16.0,1.0,7.0,14.0,2.0,30.0,10.0,16,37,35,7.0,57.0,306,3.0,0.75,0.7647058823529411,1.0,0.16666666666666666,,0.25,0.43333333333333335,0.47058823529411764,0.525,0.4246031746031746,0.47058823529411764,0.4772727272727273,0.47297297297297297,0.5,0.5277777777777778,0.047619047619047616,18.677859391395593,0.5333333333333333,0.072992700729927,0.0975609756097561,0.07865168539325842,0.03225806451612903,0.09090909090909091,0.1111111111111111,0.07142857142857142,0.4444444444444444,0.375,0.375,0.9047619047619048,0.007936507936507936,,,,0.03968253968253968,0.2,0.2,1.0,,0.022727272727272728,,0.06818181818181818,,0.5,0.3333333333333333,0.4840004032258064,0.47932857142857144,0.5017190476190476,0.12142857142857143,0.40714285714285714,9.374999999999998,34.73333333333333,0.3669064748201439,29.0,57.0,6.0,10.0,12.0,21.0,2.0,7.0,33.0,1.0,15.0,26.0,2.0,10.0,4.0,2.0,,7.0,2.0,9.0,1.0,,,47.0,3.0,22.0,3.0,5.0,3.0,,5.0,2.0,,,3.0,0.08333333333333333,0.17543859649122806,,,0.006920415224913495,0.05970149253731343,0.016853932584269662,0.009174311926605505,,0.007874015748031496,0.07142857142857142,0.1,0.03389830508474576,0.4,0.4523809523809524,0.5087719298245614,0.6170212765957447,0.6551724137931034,0.05555555555555555,0.2857142857142857,0.2857142857142857,0.5,0.5882352941176471,0.6,0.4772727272727273,0.5714285714285714,0.15172413793103448,0.15827338129496402,,,,,1.0,5.0,1.0,1.0,1.0,7.0,,,,,,,0.02702702702702703,,0.3333333333333333,,,,,,,,,2.0,True,,,,
278,1610612753,Stacey Augmon,Stacey Augmon,278,ORL,9509.0,158,51,295,291,122,90,30,586,1.0,4.0,,,,,,,,,,9.0,26,,,26,269,1.0,3.0,,4,2.0,10.0,,,12.0,12.0,,,,,,5.0,2.0,7.0,2.0,,4.0,16.0,3.0,13,17,24,4.0,2.0,2.0,3.0,,,,,3.0,1.0,6,18,13,4.0,12.0,122,2.0,0.6666666666666666,0.6666666666666666,,,,,0.34615384615384615,0.3333333333333333,0.2,0.34615384615384615,0.3333333333333333,0.2,0.40625,0.4,0.375,,10.606060606060607,1.0,0.11926605504587157,0.1111111111111111,0.11764705882352941,0.07407407407407407,0.14035087719298245,0.1,0.14285714285714285,0.15384615384615385,0.25,0.25,1.0,,,,,,,,,,,,,,0.46153846153846156,,0.4512038461538461,0.5433,0.47830000000000006,0.15384615384615385,0.46153846153846156,5.711538461538461,,0.4135593220338983,6.0,12.0,1.0,2.0,1.0,6.0,2.0,10.0,8.0,2.0,8.0,6.0,,4.0,,7.0,1.0,7.0,3.0,3.0,,2.0,1.0,13.0,1.0,4.0,3.0,3.0,3.0,,3.0,2.0,,,3.0,0.15384615384615385,0.25,,0.08333333333333333,0.07142857142857142,,0.0603448275862069,0.029411764705882353,0.06666666666666667,0.11764705882352941,,0.12,0.23076923076923078,0.6666666666666666,0.46153846153846156,0.5,0.6666666666666666,0.8333333333333334,0.38461538461538464,0.2,0.2222222222222222,,0.6666666666666666,0.5,0.6,0.16666666666666666,0.13793103448275862,0.13793103448275862,,,,,,1.0,,,2.0,,,,,,0.1,,,,,,,,,,,,,,True,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,18411.0,307,1,563,553,225,168,72,1116,16.0,42.0,2.0,4.0,1.0,3.0,1.0,13.0,1.0,1.0,10.0,45.0,97,3.0,17.0,141,589,3.0,6.0,1.0,13,15.0,35.0,2.0,13.0,57.0,18.0,6.0,3.0,,13.0,1.0,18.0,9.0,27.0,9.0,11.0,5.0,63.0,2.0,23,27,30,9.0,6.0,3.0,14.0,3.0,9.0,13.0,,27.0,10.0,11,28,50,4.0,57.0,225,7.0,0.2,0.2,0.6666666666666666,0.17647058823529413,0.15384615384615385,0.17647058823529413,0.4639175257731959,0.5,0.42857142857142855,0.4342105263157895,0.42857142857142855,0.375,0.5108695652173914,0.5909090909090909,0.4672131147540984,0.14912280701754385,25.700934579439252,0.5185185185185185,0.11330049261083744,0.03636363636363636,0.09689922480620156,0.14492753623188406,0.0898876404494382,0.046511627906976744,,0.3684210526315789,0.38095238095238093,0.3902439024390244,0.25,0.03508771929824561,0.5,0.5,1.0,0.11403508771929824,0.07692307692307693,0.07692307692307693,,0.14285714285714285,0.0625,0.3333333333333333,0.20833333333333334,0.1,0.5087719298245614,0.07692307692307693,0.4662916666666667,0.49063571428571423,0.43234374999999997,0.09219858156028368,0.40425531914893614,9.567010309278352,25.13529411764706,0.3996447602131439,24.0,41.0,3.0,4.0,9.0,15.0,5.0,14.0,42.0,7.0,21.0,72.0,,8.0,,2.0,2.0,3.0,1.0,5.0,4.0,,2.0,52.0,4.0,22.0,6.0,,,,,,,,6.0,0.08247422680412371,0.14634146341463414,0.023809523809523808,0.06666666666666667,0.010752688172043012,,0.008333333333333333,,0.05128205128205128,,,0.1111111111111111,0.017857142857142856,,0.35964912280701755,0.5853658536585366,0.6857142857142857,0.20833333333333334,0.12280701754385964,0.35714285714285715,0.38461538461538464,,0.5714285714285714,0.75,0.3125,0.6,0.16666666666666666,0.19130434782608696,,,,,,2.0,1.0,2.0,3.0,1.0,,,,,0.07142857142857142,,0.03571428571428571,,0.6666666666666666,,,,,,,,,,True,,,,
2242,1610612753,Terence Morris,Terence Morris,2242,ORL,5455.0,91,9,166,170,53,38,27,336,4.0,10.0,,,,,,1.0,1.0,,,10.0,20,,1.0,21,165,1.0,3.0,1.0,2,4.0,5.0,,,8.0,16.0,,,,1.0,,3.0,,3.0,,1.0,2.0,6.0,2.0,11,16,22,4.0,3.0,1.0,2.0,,2.0,2.0,,4.0,,6,11,2,,8.0,53,2.0,0.8,0.8888888888888888,,,,,0.5,0.3333333333333333,0.8,0.47619047619047616,0.25,0.8,0.5,0.25,0.8,0.047619047619047616,12.56281407035176,0.5,0.18032786885245902,0.125,0.16883116883116883,0.16666666666666666,0.16666666666666666,,0.4,0.47619047619047616,0.4,0.4,1.0,,,,,0.047619047619047616,,,,0.25,,,,,0.5238095238095238,,0.5124404761904761,0.5535625,0.56738,0.09523809523809523,0.38095238095238093,9.325,25.6,0.3192771084337349,6.0,10.0,1.0,3.0,3.0,4.0,,,1.0,,,4.0,2.0,1.0,,6.0,3.0,6.0,1.0,,,,1.0,1.0,1.0,1.0,,3.0,,,3.0,2.0,,,,0.05,0.1,,0.42857142857142855,0.10526315789473684,,0.08,0.05,0.125,0.14285714285714285,,0.2857142857142857,0.1,0.6666666666666666,0.47619047619047616,0.6,0.6666666666666666,0.6666666666666666,,,,,0.75,0.3333333333333333,0.8,0.75,0.047619047619047616,0.05,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,3.0,True,,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,5112.0,85,12,158,154,44,32,19,312,6.0,14.0,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,17.0,34,2.0,3.0,48,170,3.0,5.0,1.0,10,3.0,9.0,1.0,2.0,9.0,2.0,,6.0,,2.0,2.0,13.0,1.0,14.0,,10.0,2.0,29.0,,1,1,3,2.0,,2.0,2.0,1.0,1.0,1.0,,3.0,1.0,4,7,11,1.0,9.0,44,,0.058823529411764705,0.0625,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6,0.3333333333333333,0.5405405405405406,0.75,0.4090909090909091,0.5581395348837209,0.8333333333333334,0.4090909090909091,0.08108108108108109,25.414364640883978,0.6666666666666666,0.021739130434782608,,0.01639344262295082,0.1111111111111111,,,,0.3783783783783784,0.42857142857142855,0.42857142857142855,0.16666666666666666,0.02702702702702703,,,,0.05405405405405406,1.0,1.0,,0.16666666666666666,0.09090909090909091,,0.09090909090909091,1.0,0.2972972972972973,1.0,0.44265675675675675,0.44405,0.42418636363636364,0.20833333333333334,0.1875,10.591176470588238,24.53333333333333,0.27848101265822783,4.0,8.0,1.0,1.0,,1.0,7.0,12.0,8.0,1.0,,32.0,2.0,1.0,,2.0,,2.0,1.0,1.0,,,,15.0,3.0,9.0,,,,,,,,,,0.029411764705882353,,,,0.04081632653061224,,0.03076923076923077,,,0.09090909090909091,,,0.0625,,0.21621621621621623,0.5,0.5,,0.32432432432432434,0.5833333333333334,0.6363636363636364,,0.16666666666666666,1.0,0.09090909090909091,,0.20930232558139536,0.225,,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,0.08333333333333333,,,,,,1.0,,,,,,,,True,,,,
