EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,OffThreePtRebounds,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,FTOffRebounds,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,Blocked3s,BlockedArc3,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Clear Path Fouls
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,10488.0,175,-45.0,327,330,78,94.0,39,657,19.0,35.0,2.0,2.0,2.0,5.0,5.0,10.0,5.0,20.0,4.0,11.0,1.0,2.0,1.0,3.0,6.0,19.0,3.0,4.0,1.0,6.0,29.0,65,10.0,30.0,11.0,99.0,352,3.0,6.0,4.0,6.0,18.0,2.0,7,2.0,9.0,3.0,13.0,36.0,22.0,30.0,19.0,6.0,2.0,7.0,2.0,9.0,1.0,1.0,2.0,1.0,4.0,20.0,2.0,12.0,1.0,13.0,2.0,15.0,1.0,6.0,4.0,2.0,8.0,6.0,3.0,2.0,2.0,11.0,1.0,6.0,7.0,17.0,2.0,1.0,15.0,1.0,1.0,16.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,13.0,78,3.0,0.6206896551724138,0.6206896551724138,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.4461538461538462,0.5,0.2857142857142857,0.4631578947368421,0.75,0.3125,0.48514851485148514,0.75,0.35294117647058826,0.3157894736842105,0.03076923076923077,0.05714285714285714,30.352303523035232,0.7272727272727273,0.08333333333333333,0.08759124087591241,0.016260162601626018,0.07547169811320754,0.012345679012345678,0.04,0.018518518518518517,0.12962962962962962,0.09803921568627451,0.0196078431372549,1.0,0.3684210526315789,0.5428571428571428,0.5757575757575758,0.6842105263157895,0.10526315789473684,0.5,0.5,0.6,0.21052631578947367,0.25,0.25,0.4,0.11578947368421053,0.36363636363636365,0.36363636363636365,1.0,0.2,0.3157894736842105,0.3157894736842105,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,1.0,0.3333333333333333,0.75,1.0,0.3125,0.4,0.1875,0.3333333333333333,0.375,0.16666666666666666,0.6842105263157895,0.3157894736842105,0.5101005263157895,0.46422777777777774,0.47696250000000007,0.0891089108910891,0.1267605633802817,0.18181818181818182,0.13131313131313133,6.846153846153845,24.90666666666667,0.23853211009174313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
101152,1610612750,Bracey Wright,Bracey Wright,101152,MIN,268.0,4,2.0,13,13,13,,2,26,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,2.0,4,,1.0,1.0,5.0,12,,,,,,2.0,4,,1.0,1.0,5.0,4.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,5.0,13,,1.0,1.0,,,,,,0.5,,0.5,0.4,,0.4,0.4166666666666667,,0.4166666666666667,0.2,0.25,0.5,40.0,,,,,,,,,,,,,0.4,0.5,1.0,1.0,0.2,,,,0.2,1.0,1.0,1.0,,,,,0.2,,,,,,,,,,,,,0.4,0.5,,,0.2,,0.6,,0.51651,,0.51651,0.16666666666666666,0.2,,1.0,5.8,25.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1853,1610612750,Anthony Carter,Anthony Carter,1853,MIN,35338.0,589,-41.0,1082,1102,331,379.0,138,2184,22.0,49.0,4.0,6.0,6.0,16.0,5.0,6.0,22.0,67.0,,2.0,,,,,4.0,13.0,2.0,3.0,,6.0,49.0,122,4.0,15.0,40.0,150.0,1147,8.0,14.0,2.0,3.0,28.0,13.0,35,,6.0,17.0,43.0,48.0,50.0,6.0,10.0,4.0,6.0,87.0,14.0,101.0,9.0,5.0,32.0,9.0,46.0,216.0,8.0,38.0,2.0,53.0,9.0,62.0,,24.0,10.0,14.0,18.0,14.0,22.0,4.0,3.0,40.0,1.0,13.0,26.0,71.0,5.0,4.0,44.0,2.0,1.0,55.0,5.0,,20.0,9.0,2.0,9.0,6.0,43.0,331,12.0,0.4897959183673469,0.5217391304347826,0.5,0.26666666666666666,0.6666666666666666,,0.3333333333333333,0.4016393442622951,0.5714285714285714,0.37142857142857144,0.40145985401459855,0.6470588235294118,0.3170731707317073,0.46296296296296297,0.6666666666666666,0.41346153846153844,0.10948905109489052,0.04918032786885246,0.12244897959183673,16.157556270096464,0.45,0.038461538461538464,0.09112709832134293,0.018518518518518517,0.099609375,0.017578125,0.023809523809523808,0.01834862385321101,0.05732484076433121,0.12101910828025478,,0.6666666666666666,0.35766423357664234,0.4489795918367347,0.5116279069767442,0.36363636363636365,0.043795620437956206,0.8333333333333334,0.8333333333333334,,0.48905109489051096,0.3283582089552239,0.3283582089552239,0.7272727272727273,0.014598540145985401,,,,0.0948905109489051,0.3076923076923077,0.3076923076923077,0.5,0.35294117647058826,0.6666666666666666,,,,,0.17647058823529413,0.6666666666666666,,0.3902439024390244,0.375,,,0.14634146341463414,,0.46715328467153283,0.4,0.48632330827067677,0.46854999999999997,0.47655,0.13157894736842105,0.145985401459854,0.18666666666666668,0.2866666666666667,10.930327868852459,32.233333333333334,0.30591497227356745,6.0,6.0,6.0,3.0,1.0,13.0,9.0,5.0,1.0,10.0,5.0,2.0,9.0,0.1368421052631579,0.0125,0.015384615384615385,0.016129032258064516,0.0970873786407767,0.11594202898550725,0.19230769230769232,,,,,,,,,,True,,,,,,,,,,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,13581.0,226,13.0,408,424,104,111.0,71,832,5.0,13.0,1.0,4.0,,2.0,4.0,5.0,,,,,,,,,,,,,,,9.0,18,,,6.0,24.0,431,1.0,4.0,,,8.0,,2,,,6.0,6.0,8.0,10.0,,,,3.0,2.0,,2.0,,,,,2.0,4.0,15.0,30.0,2.0,34.0,20.0,54.0,,10.0,5.0,5.0,2.0,1.0,4.0,1.0,,6.0,2.0,5.0,23.0,42.0,4.0,2.0,14.0,3.0,2.0,11.0,1.0,,1.0,9.0,9.0,9.0,8.0,6.0,104,5.0,0.4444444444444444,0.5,,,,,,0.5,0.25,,0.5,0.25,,0.5217391304347826,0.5,0.42857142857142855,,0.16666666666666666,0.23076923076923078,5.894308943089431,0.3333333333333333,0.10526315789473684,0.18404907975460122,0.08241758241758242,0.15841584158415842,0.08450704225352113,0.14814814814814814,0.10101010101010101,0.25,0.136986301369863,,0.8888888888888888,0.7222222222222222,0.38461538461538464,0.5,0.4,0.2777777777777778,0.8,0.8,0.5,,,,,,,,,,,,,1.0,0.25,,,,,,,,1.0,,,,,,0.7222222222222222,,0.51315,0.5238499999999999,0.5629500000000001,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.25,1.9500000000000002,,0.2549019607843137,6.0,,2.0,,3.0,2.0,,,,5.0,,,4.0,0.05128205128205128,0.0967741935483871,0.017857142857142856,0.10344827586206896,0.17647058823529413,0.06896551724137931,,2.0,2.0,1.0,0.14285714285714285,,,,,,True,,,,,,,,,,
2648,1610612750,Ronald Dupree,Ronald Dupree,2648,MIN,2641.0,44,,88,90,36,40.0,11,178,6.0,9.0,3.0,3.0,4.0,5.0,,1.0,2.0,2.0,,,,,,,,,,,,,8.0,12,,,6.0,22.0,86,4.0,4.0,,,9.0,5.0,6,,,3.0,13.0,6.0,10.0,,,,3.0,2.0,1.0,3.0,,1.0,2.0,,,7.0,6.0,,2.0,3.0,8.0,11.0,,5.0,4.0,1.0,,,1.0,,,1.0,,,2.0,7.0,1.0,,9.0,,1.0,14.0,,,7.0,,,,,13.0,36,1.0,0.375,0.5,,,,,,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.5789473684210527,0.9,0.8125,,0.25,0.2222222222222222,20.2020202020202,,0.5,,0.2,0.027777777777777776,0.19444444444444445,0.14285714285714285,0.17647058823529413,,,,,0.75,0.6666666666666666,0.8571428571428571,0.3333333333333333,0.08333333333333333,,,,0.16666666666666666,1.0,1.0,0.5,,,,,,,,,0.75,1.0,,,,,,,,0.8333333333333334,0.8,,,,,0.75,,0.5551583333333333,0.6034,0.6026,0.3684210526315789,0.3684210526315789,0.4090909090909091,0.5909090909090909,3.9166666666666665,,0.4090909090909091,1.0,,4.0,,1.0,1.0,,,,,,,,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.16666666666666666,,0.25,,1.0,1.0,,0.2,1.0,,,,,True,,,,,,,,,,
1548,1610612750,Mark Blount,Mark Blount,1548,MIN,5980.0,100,-25.0,182,182,55,71.0,18,364,6.0,10.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,5.0,,,,,,,,,,,,,10.0,19,,,3.0,23.0,212,2.0,5.0,,,5.0,2.0,4,,,,4.0,16.0,4.0,,,,1.0,1.0,,1.0,,,,,1.0,2.0,3.0,7.0,1.0,10.0,3.0,13.0,,1.0,1.0,,2.0,1.0,4.0,1.0,1.0,6.0,,3.0,11.0,17.0,,1.0,7.0,,,6.0,2.0,,4.0,3.0,2.0,3.0,2.0,4.0,55,2.0,0.8,0.8,,,,,,0.5263157894736842,0.4,0.5,0.5263157894736842,0.4,0.5,0.5476190476190477,0.4166666666666667,0.5,,0.05263157894736842,0.1,13.432835820895523,0.3333333333333333,0.14285714285714285,0.125,0.04477611940298507,0.1111111111111111,0.0410958904109589,,0.029411764705882353,0.047619047619047616,0.19047619047619047,,0.6666666666666666,0.5263157894736842,0.6,0.6666666666666666,0.6666666666666666,0.21052631578947367,0.5,0.5,1.0,0.2631578947368421,0.4,0.4,1.0,,,,,,,,,0.8,0.5,0.5,,,,,,,0.75,0.3333333333333333,,,,,0.5263157894736842,,0.46864210526315786,0.55952,0.538025,0.19047619047619047,0.19047619047619047,0.21739130434782608,0.17391304347826086,6.43157894736842,,0.3021978021978022,1.0,,,,,2.0,1.0,,,,,1.0,,0.08,,0.09090909090909091,,0.14285714285714285,0.0625,0.1111111111111111,,1.0,1.0,,,,,,,True,,,,,,,,,,
1729,1610612750,Ricky Davis,Ricky Davis,1729,MIN,12425.0,207,-31.0,386,393,96,135.0,58,779,15.0,25.0,1.0,1.0,2.0,5.0,4.0,8.0,27.0,63.0,1.0,2.0,,,,1.0,1.0,10.0,,3.0,,3.0,46.0,96,2.0,12.0,18.0,116.0,424,6.0,10.0,,3.0,14.0,12.0,26,,4.0,6.0,30.0,64.0,28.0,6.0,10.0,1.0,4.0,18.0,2.0,20.0,2.0,,6.0,7.0,5.0,42.0,1.0,10.0,7.0,21.0,3.0,24.0,1.0,6.0,3.0,3.0,10.0,6.0,6.0,4.0,1.0,16.0,1.0,4.0,6.0,14.0,,1.0,15.0,,1.0,23.0,3.0,2.0,10.0,2.0,1.0,2.0,1.0,30.0,96,3.0,0.6956521739130435,0.6956521739130435,1.0,0.16666666666666666,,,0.16666666666666666,0.4791666666666667,0.6,0.46153846153846156,0.4537037037037037,0.46153846153846156,0.4,0.48717948717948717,0.5,0.4264705882352941,0.1111111111111111,0.041666666666666664,0.16,29.10284463894967,0.625,0.3333333333333333,0.07575757575757576,0.005681818181818182,0.08139534883720931,0.010471204188481676,,0.01020408163265306,0.08333333333333333,0.07547169811320754,0.01818181818181818,0.5,0.23148148148148148,0.6,0.7142857142857143,0.8,0.07407407407407407,0.5,0.5,,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.7407407407407407,0.018518518518518517,0.5,0.5,1.0,0.09259259259259259,0.1,0.1,1.0,0.07692307692307693,1.0,1.0,,,,0.23076923076923078,,,0.16666666666666666,0.4,0.03333333333333333,,0.1,,0.3425925925925926,0.1,0.45976495327102807,0.41226250000000003,0.4293583333333333,0.08695652173913043,0.0970873786407767,0.1206896551724138,0.25862068965517243,13.50625,26.649999999999995,0.24870466321243523,2.0,,,,1.0,4.0,3.0,1.0,,2.0,1.0,,2.0,0.1,0.06666666666666667,,0.07692307692307693,0.06451612903225806,0.10714285714285714,0.08333333333333333,1.0,,,0.07142857142857142,,,,,,True,,,,,,,,,,
2060,1610612750,Marko Jaric,Marko Jaric,2060,MIN,10390.0,173,61.0,319,320,110,133.0,35,639,7.0,12.0,,,4.0,6.0,2.0,5.0,6.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,,,1.0,2.0,15.0,32,3.0,11.0,12.0,51.0,289,,3.0,1.0,1.0,4.0,6.0,12,2.0,3.0,8.0,26.0,14.0,16.0,6.0,8.0,1.0,2.0,17.0,3.0,20.0,,3.0,5.0,8.0,4.0,43.0,7.0,7.0,1.0,12.0,8.0,20.0,4.0,12.0,6.0,6.0,4.0,3.0,5.0,1.0,,9.0,2.0,2.0,5.0,18.0,,2.0,13.0,,,16.0,,,5.0,1.0,1.0,1.0,1.0,26.0,110,5.0,0.4666666666666667,0.4666666666666667,0.6666666666666666,0.2727272727272727,1.0,0.6666666666666666,0.3,0.46875,,0.5,0.45348837209302323,0.375,0.6,0.5,0.4,0.65,0.2558139534883721,0.0625,,16.75977653631285,0.4444444444444444,0.0625,0.056,0.06666666666666667,0.07006369426751592,0.06060606060606061,0.12,0.02127659574468085,0.044444444444444446,0.09090909090909091,0.18181818181818182,1.0,0.27906976744186046,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.11627906976744186,0.4,0.5,,0.3488372093023256,0.4,0.42857142857142855,0.5,0.046511627906976744,1.0,1.0,1.0,0.20930232558139536,0.1111111111111111,0.1111111111111111,,,,,0.25,1.0,1.0,,,,0.4,0.6666666666666666,0.06666666666666667,1.0,0.13333333333333333,0.5,0.5348837209302325,0.125,0.4687107142857144,0.434175,0.4669766666666667,0.10416666666666667,0.13513513513513514,0.0784313725490196,0.5098039215686274,10.928124999999998,27.681818181818183,0.3448275862068966,1.0,3.0,,1.0,1.0,4.0,2.0,1.0,,3.0,,,3.0,0.125,0.037037037037037035,0.09090909090909091,0.043478260869565216,0.027777777777777776,0.125,0.125,,,,,0.2,0.06666666666666667,,,,True,,,,,,,,,,
2770,1610612750,Justin Reed,Justin Reed,2770,MIN,3167.0,53,7.0,99,102,21,32.0,11,201,3.0,9.0,,2.0,1.0,2.0,2.0,3.0,4.0,6.0,,,,,,,,,,,,,9.0,18,,,7.0,25.0,101,1.0,3.0,,,2.0,2.0,4,,,,4.0,10.0,8.0,,,,3.0,1.0,,1.0,,,,,1.0,2.0,5.0,2.0,2.0,4.0,5.0,9.0,,4.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,,7.0,12.0,1.0,,6.0,,1.0,8.0,,,4.0,,,,,4.0,21,1.0,0.5555555555555556,0.5555555555555556,,,,,,0.5,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5681818181818182,0.3333333333333333,0.5,,0.16666666666666666,0.3333333333333333,22.01834862385321,0.5,0.3333333333333333,0.06060606060606061,0.13157894736842105,0.05,0.12195121951219512,0.2857142857142857,0.17647058823529413,0.125,,,,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,0.6666666666666666,,,,,,,,,0.5,0.5,,,,,0.5,,0.4769888888888889,0.4938666666666667,0.4997,0.18181818181818182,0.18181818181818182,0.08,0.16,7.75,,0.21212121212121213,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,25621.0,427,-21.0,788,798,255,297.0,92,1586,30.0,54.0,7.0,12.0,9.0,19.0,29.0,56.0,33.0,77.0,,,,,,,1.0,2.0,,,,,92.0,187,1.0,2.0,63.0,250.0,829,9.0,28.0,,,29.0,32.0,61,,,31.0,95.0,122.0,62.0,,2.0,1.0,8.0,36.0,3.0,39.0,2.0,1.0,25.0,2.0,9.0,81.0,29.0,78.0,15.0,104.0,32.0,136.0,7.0,12.0,7.0,5.0,10.0,8.0,19.0,2.0,4.0,29.0,,7.0,16.0,35.0,2.0,3.0,73.0,3.0,3.0,74.0,6.0,2.0,25.0,15.0,13.0,15.0,8.0,95.0,255,6.0,0.6630434782608695,0.7093023255813954,,0.5,,,0.5,0.4919786096256685,0.32142857142857145,0.5245901639344263,0.4947089947089947,0.32142857142857145,0.5245901639344263,0.5585585585585585,0.4264705882352941,0.6103896103896104,0.010582010582010581,0.0427807486631016,0.1111111111111111,27.827050997782706,0.3448275862068966,0.375,0.26,0.0914826498422713,0.2445054945054945,0.08516483516483517,0.0625,0.09316770186335403,0.17307692307692307,0.3135593220338983,0.08433734939759036,0.5333333333333333,0.2857142857142857,0.5555555555555556,0.625,0.6333333333333333,0.2962962962962963,0.5178571428571429,0.5370370370370371,0.5172413793103449,0.4074074074074074,0.42857142857142855,0.42857142857142855,0.8181818181818182,,,,,0.010582010582010581,0.5,0.5,,0.42857142857142855,0.5833333333333334,,,,,,,,0.3114754098360656,0.47368421052631576,,,,,0.2962962962962963,0.5,0.42788994708994704,0.4257296296296297,0.40605901639344266,0.1201923076923077,0.12135922330097088,0.116,0.38,10.364171122994655,24.5,0.3236040609137056,11.0,3.0,12.0,,2.0,11.0,7.0,1.0,,14.0,,2.0,12.0,0.171875,0.0425531914893617,0.10869565217391304,0.02857142857142857,0.2948717948717949,0.17391304347826086,0.16666666666666666,1.0,3.0,,0.03571428571428571,0.03571428571428571,,0.08333333333333333,,,True,,,,,,,,,,
