EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Travels,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,SecondChanceArc3Frequency,PenaltyArc3Accuracy,BlockedLongMidRange,Technical Free Throw Trips,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,Blocked3s,BlockedCorner3,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FTOffRebounds,Clear Path Fouls,BlockedArc3,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,Corner3PctBlocked,HeaveMakes
1000,1610612748,Shandon Anderson,Shandon Anderson,1000,MIA,38285.0,638,-6,1181,1192,407,406,134.0,2373,17.0,31.0,3.0,6.0,3.0,6.0,8.0,20.0,24.0,56.0,4.0,11.0,1.0,1.0,2.0,5.0,1.0,8.0,6.0,49.0,107,5.0,19.0,13.0,126,1259,5.0,10.0,1.0,1.0,3.0,16.0,12.0,25.0,2.0,11.0,3.0,33.0,80.0,18.0,15.0,8.0,8.0,1.0,7.0,21.0,9.0,30.0,4.0,5.0,17.0,2.0,2.0,69.0,1.0,17.0,11.0,44.0,8.0,63.0,18.0,81.0,3.0,17.0,10.0,7.0,17.0,5.0,10.0,7.0,7.0,1.0,24,1.0,2.0,40.0,75.0,4.0,19,1.0,4.0,18,4.0,11.0,6.0,4.0,2.0,6.0,3.0,33.0,407,13.0,0.8163265306122449,0.8888888888888888,1.0,0.2631578947368421,1.0,0.18181818181818182,0.2631578947368421,0.45794392523364486,0.5,0.48,0.44841269841269843,0.5909090909090909,0.4166666666666667,0.47368421052631576,0.6666666666666666,0.4342105263157895,0.15079365079365079,0.06542056074766354,0.0967741935483871,0.15,0.017857142857142856,11.822289156626507,0.7083333333333334,0.1702127659574468,0.10891089108910891,0.046831955922865015,0.0728476821192053,0.0078125,0.0990990990990991,0.03665987780040733,0.06140350877192982,0.018518518518518517,0.05673758865248227,0.010101010101010102,0.09821428571428571,0.09345794392523364,0.12432432432432433,0.08571428571428572,0.043478260869565216,0.046875,0.5,0.24603174603174602,0.5483870967741935,0.6071428571428571,0.7647058823529411,0.15873015873015872,0.4,0.47058823529411764,0.75,0.4444444444444444,0.42857142857142855,0.43636363636363634,0.875,0.0873015873015873,0.36363636363636365,0.36363636363636365,1.0,0.06349206349206349,0.125,0.125,1.0,0.5454545454545454,0.5,0.09090909090909091,1.0,1.0,0.16666666666666666,0.5,0.1388888888888889,0.4,0.16666666666666666,0.3968253968253968,0.125,0.4587753968253969,0.49115,0.46686388888888897,0.08270676691729323,0.09649122807017543,0.12698412698412698,0.2619047619047619,11.335514018691583,24.157894736842106,0.34462320067739205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
101134,1610612748,Wayne Simien,Wayne Simien,101134,MIA,6337.0,106,-22,197,196,57,71,25.0,393,11.0,14.0,5.0,5.0,3.0,4.0,6.0,19.0,3.0,10.0,,,,,,,,,,20.0,43,,,9.0,49,207,7.0,7.0,,,5.0,19.0,6.0,14.0,,,7.0,19.0,18.0,22.0,,8.0,,,5.0,1.0,,1.0,,,,1.0,,2.0,1.0,8.0,2.0,10.0,,12.0,9.0,21.0,1.0,2.0,1.0,1.0,3.0,,1.0,2.0,2.0,,5,,2.0,7.0,13.0,1.0,8,,1.0,10,2.0,4.0,,,,,,19.0,57,2.0,0.45,0.5625,,,,,,0.46511627906976744,1.0,0.42857142857142855,0.46511627906976744,1.0,0.42857142857142855,0.5212765957446809,1.0555555555555556,0.5277777777777778,,0.11627906976744186,0.14285714285714285,0.15789473684210525,,23.008849557522126,0.6,,0.16129032258064516,0.10256410256410256,0.09090909090909091,0.06666666666666667,0.14285714285714285,0.0967741935483871,0.18181818181818182,0.15384615384615385,0.04878048780487805,,0.21428571428571427,0.25,0.09375,0.15384615384615385,,0.05555555555555555,,0.32558139534883723,0.7857142857142857,0.9166666666666666,0.45454545454545453,0.4418604651162791,0.3157894736842105,0.375,0.3333333333333333,0.23255813953488372,0.3,0.3,0.6666666666666666,,,,,,,,,0.7142857142857143,1.0,,,,0.2857142857142857,0.75,,,,0.32558139534883723,,0.4259279069767442,0.5075285714285714,0.40404285714285715,0.08888888888888889,0.08888888888888889,0.3877551020408163,0.3877551020408163,8.372093023255815,,0.2893401015228426,1.0,1.0,2.0,1.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1507,1610612748,Derek Anderson,Derek Anderson,1507,MIA,10450.0,174,-37,312,318,100,102,45.0,630,5.0,10.0,,1.0,3.0,3.0,,6.0,3.0,11.0,7.0,17.0,,,2.0,6.0,5.0,15.0,7.0,8.0,27,12.0,32.0,17.0,69,373,,6.0,,1.0,,,3.0,8.0,4.0,13.0,4.0,22.0,10.0,6.0,33.0,,15.0,5.0,3.0,17.0,2.0,19.0,,2.0,9.0,,8.0,40.0,1.0,5.0,5.0,11.0,,16.0,6.0,22.0,1.0,2.0,,2.0,7.0,,4.0,3.0,3.0,,10,,4.0,11.0,23.0,,18,2.0,3.0,18,,7.0,,,,,,22.0,100,3.0,0.625,0.625,0.9166666666666666,0.375,,0.3076923076923077,0.375,0.2962962962962963,,0.375,0.4406779661016949,,0.42857142857142855,0.5073529411764706,,0.4782608695652174,0.5423728813559322,0.1111111111111111,0.3,,,21.606648199445985,0.7,,0.11224489795918367,0.05263157894736842,0.14705882352941177,0.023809523809523808,0.12121212121212122,0.043795620437956206,0.13793103448275862,0.03571428571428571,,0.034482758620689655,0.05,0.0967741935483871,0.14893617021276595,0.09090909090909091,0.25,0.029411764705882353,,0.1694915254237288,0.5,0.7142857142857143,0.8,0.1016949152542373,,,,0.1864406779661017,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.288135593220339,0.4117647058823529,0.4117647058823529,1.0,0.2542372881355932,0.3333333333333333,0.3333333333333333,0.8,0.14285714285714285,,,,,0.14285714285714285,1.0,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.711864406779661,0.3333333333333333,0.5097728813559322,0.42964,0.5196595238095238,0.10606060606060606,0.20588235294117646,,0.3188405797101449,9.577777777777776,24.05,0.32051282051282054,,1.0,2.0,2.0,,,1.0,2.0,3.0,2.0,0.14285714285714285,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,True,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,8434.0,141,-63,251,260,87,102,30.0,511,3.0,6.0,2.0,3.0,2.0,3.0,2.0,5.0,10.0,23.0,,,,,,,,,,15.0,34,,,5.0,35,278,3.0,5.0,,,1.0,7.0,4.0,10.0,,,1.0,9.0,24.0,6.0,,4.0,,,2.0,7.0,,7.0,,,2.0,1.0,4.0,14.0,,7.0,8.0,17.0,5.0,30.0,7.0,37.0,,7.0,6.0,1.0,,1.0,,2.0,,,2,,,9.0,15.0,2.0,6,,2.0,8,,2.0,2.0,1.0,,2.0,1.0,9.0,87,1.0,0.8,0.9230769230769231,,,,,,0.4411764705882353,0.6,0.4,0.4411764705882353,0.6,0.4,0.4605263157894737,0.5833333333333334,0.4090909090909091,,0.058823529411764705,0.3333333333333333,,,14.035087719298245,,0.5555555555555556,0.18085106382978725,0.07216494845360824,0.2857142857142857,,0.20491803278688525,0.05737704918032787,,0.07407407407407407,0.11363636363636363,,0.19047619047619047,0.2727272727272727,0.13725490196078433,0.38095238095238093,,,0.5,0.17647058823529413,0.5,0.75,0.3333333333333333,0.14705882352941177,0.4,0.4,0.5,0.6764705882352942,0.43478260869565216,0.43478260869565216,1.0,,,,,,,,,0.6,0.6666666666666666,,,,0.3,0.6666666666666666,,,,0.17647058823529413,,0.4178352941176471,0.48074000000000006,0.42336999999999997,0.05555555555555555,0.05555555555555555,0.2,0.2571428571428571,13.626470588235293,,0.3466135458167331,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,True,,
1899,1610612748,James Posey,James Posey,1899,MIA,1127.0,19,-4,38,40,34,23,2.0,78,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,,,1.0,2.0,2.0,2.0,4,1.0,2.0,2.0,9,34,,,,,,,2.0,4.0,1.0,2.0,2.0,9.0,4.0,,3.0,,2.0,1.0,,2.0,,2.0,,,1.0,1.0,,4.0,,,3.0,2.0,1.0,6.0,,6.0,,2.0,2.0,,,1.0,,2.0,,,2,,2.0,1.0,3.0,,1,,1.0,2,,,1.0,1.0,,1.0,1.0,9.0,34,1.0,1.0,1.0,1.0,0.5,,0.5,0.5,0.5,,0.5,0.5833333333333334,,0.5833333333333334,0.5833333333333334,,0.5833333333333334,0.3333333333333333,,,,,20.51282051282051,,0.3333333333333333,0.15384615384615385,,0.3333333333333333,,0.22727272727272727,,,,,,,,0.18181818181818182,0.42857142857142855,,,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,0.3333333333333333,1.0,,,0.3333333333333333,0.6666666666666666,0.5,0.5258833333333333,,0.5258833333333333,,,,1.0,10.175,24.8,0.8947368421052632,,1.0,,,,,,1.0,,,,0.5,,2.0,,,,,,,,,,,,,,,,,,,,True,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,19216.0,320,33,595,598,225,218,67.0,1193,50.0,80.0,6.0,7.0,16.0,28.0,8.0,20.0,25.0,68.0,2.0,3.0,,1.0,1.0,1.0,2.0,10.0,4.0,83.0,168,4.0,13.0,86.0,264,622,9.0,11.0,,1.0,6.0,24.0,27.0,57.0,3.0,5.0,44.0,107.0,50.0,116.0,9.0,6.0,8.0,2.0,8.0,38.0,8.0,46.0,4.0,4.0,22.0,3.0,13.0,100.0,3.0,4.0,11.0,25.0,,36.0,7.0,43.0,1.0,16.0,9.0,7.0,17.0,6.0,10.0,19.0,7.0,1.0,36,3.0,15.0,6.0,20.0,1.0,80,1.0,1.0,109,9.0,43.0,6.0,4.0,1.0,6.0,3.0,107.0,225,4.0,0.30120481927710846,0.3125,0.75,0.3076923076923077,,0.6,0.36363636363636365,0.49404761904761907,0.8181818181818182,0.47368421052631576,0.49171270718232046,0.75,0.5080645161290323,0.5720524017467249,0.8,0.6022727272727273,0.0718232044198895,0.047619047619047616,0.075,0.05,0.014705882352941176,39.55223880597015,0.4722222222222222,,0.1201923076923077,0.022988505747126436,0.13580246913580246,0.047619047619047616,0.1245674740484429,0.029535864978902954,0.046875,0.02127659574468085,,0.02127659574468085,0.09859154929577464,0.09090909090909091,0.15853658536585366,0.06666666666666667,0.3333333333333333,0.012048192771084338,0.5,0.4419889502762431,0.625,0.6756756756756757,0.38,0.11049723756906077,0.4,0.42105263157894735,0.25,0.3756906077348066,0.36764705882352944,0.373134328358209,0.16,0.016574585635359115,0.6666666666666666,0.6666666666666666,1.0,0.055248618784530384,0.2,0.2,0.5,0.5833333333333334,0.8571428571428571,0.08333333333333333,,,0.45161290322580644,0.5714285714285714,0.016129032258064516,1.0,0.06451612903225806,0.5138121546961326,0.25,0.48523595505617967,0.4619071428571429,0.4777467213114754,0.2037037037037037,0.21287128712871287,0.09090909090909091,0.4053030303030303,8.508333333333333,30.523076923076925,0.37815126050420167,2.0,6.0,13.0,12.0,0.125,,,2.0,3.0,3.0,,0.5,1.0,3.0,2.0,1.0,0.07142857142857142,,,,,,,,,,,,,,,,,True,,
2574,1610612748,Jason Kapono,Jason Kapono,2574,MIA,5333.0,89,-16,172,174,43,71,16.0,346,2.0,2.0,,,2.0,2.0,,2.0,5.0,12.0,,1.0,,,,,1.0,4.0,2.0,7.0,16,1.0,5.0,4.0,21,168,1.0,3.0,,,,2.0,2.0,3.0,,2.0,2.0,6.0,8.0,6.0,3.0,2.0,4.0,1.0,,5.0,1.0,6.0,1.0,,2.0,1.0,2.0,13.0,1.0,1.0,3.0,4.0,,7.0,2.0,9.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,,,3,,2.0,8.0,13.0,,5,,1.0,6,,2.0,,,,,,6.0,43,,0.5714285714285714,0.6666666666666666,1.0,0.2,,,0.2,0.4375,0.3333333333333333,0.6666666666666666,0.40476190476190477,0.3333333333333333,0.4,0.4375,0.3333333333333333,0.42857142857142855,0.23809523809523808,,,,,14.285714285714286,0.3333333333333333,,0.08,0.015625,0.15789473684210525,0.06666666666666667,0.10144927536231885,0.02531645569620253,,,0.03225806451612903,0.07692307692307693,0.14285714285714285,0.07142857142857142,0.06896551724137931,0.14285714285714285,0.2,,,0.09523809523809523,1.0,1.0,0.5,0.09523809523809523,,,,0.5714285714285714,0.4166666666666667,0.4166666666666667,0.6,0.047619047619047616,,,,0.19047619047619047,0.25,0.25,1.0,,,,,,0.4,1.0,,,0.4,0.3333333333333333,0.25,0.4514404761904761,0.40853333333333336,0.49334,0.08695652173913043,0.1111111111111111,0.09523809523809523,0.2857142857142857,15.225,24.68,0.25,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
56,1610612748,Gary Payton,Gary Payton,56,MIA,25420.0,424,-6,775,783,260,247,97.0,1558,17.0,27.0,1.0,3.0,5.0,8.0,6.0,18.0,10.0,17.0,2.0,7.0,,,1.0,3.0,2.0,20.0,5.0,33.0,62,4.0,27.0,12.0,90,824,3.0,5.0,1.0,2.0,,9.0,8.0,17.0,1.0,8.0,3.0,22.0,22.0,44.0,12.0,2.0,20.0,2.0,4.0,34.0,12.0,46.0,5.0,7.0,14.0,6.0,14.0,104.0,1.0,3.0,14.0,27.0,1.0,42.0,4.0,46.0,,21.0,11.0,10.0,6.0,3.0,2.0,7.0,4.0,1.0,13,,6.0,14.0,30.0,,17,,3.0,16,1.0,7.0,2.0,2.0,,3.0,1.0,22.0,260,3.0,0.3333333333333333,0.34375,1.0,0.14814814814814814,0.5,0.125,0.14814814814814814,0.532258064516129,0.6,0.47058823529411764,0.43820224719101125,0.6428571428571429,0.38,0.4635416666666667,0.6428571428571429,0.39285714285714285,0.30337078651685395,0.06451612903225806,0.07407407407407407,0.05555555555555555,0.058823529411764705,12.35827664399093,0.46153846153846156,0.03225806451612903,0.10037174721189591,0.012096774193548387,0.1308411214953271,0.011363636363636364,0.10904255319148937,0.011904761904761904,0.01282051282051282,0.025974025974025976,,0.014492753623188406,0.08333333333333333,0.1111111111111111,0.104,0.1111111111111111,0.17142857142857143,,0.3333333333333333,0.30337078651685395,0.6296296296296297,0.68,0.23529411764705882,0.20224719101123595,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.19101123595505617,0.5882352941176471,0.625,0.5,0.07865168539325842,0.2857142857142857,0.2857142857142857,1.0,0.2247191011235955,0.1,0.1,1.0,0.42857142857142855,0.3333333333333333,,,,0.32,0.625,0.12,0.3333333333333333,0.2,0.6067415730337079,0.1,0.5007994382022473,0.493825,0.49340999999999996,0.07368421052631578,0.10294117647058823,0.1,0.24444444444444444,7.758064516129031,24.844444444444438,0.33548387096774196,1.0,1.0,1.0,1.0,,,2.0,,,,0.2857142857142857,,,1.0,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,True,,
406,1610612748,Shaquille O'Neal,Shaquille O'Neal,406,MIA,15540.0,259,58,480,477,149,131,64.0,957,50.0,68.0,15.0,18.0,11.0,15.0,11.0,29.0,,,,,,,,,,,,61.0,97,,,34.0,156,504,16.0,22.0,,,8.0,40.0,13.0,20.0,,,18.0,44.0,64.0,58.0,,22.0,,,5.0,17.0,8.0,25.0,7.0,1.0,15.0,1.0,1.0,58.0,8.0,17.0,22.0,22.0,9.0,53.0,25.0,78.0,5.0,3.0,3.0,,12.0,4.0,7.0,20.0,5.0,,32,4.0,4.0,11.0,25.0,1.0,60,2.0,,68,14.0,29.0,14.0,6.0,8.0,14.0,6.0,44.0,149,4.0,0.5245901639344263,0.64,,,,,,0.6288659793814433,0.7272727272727273,0.65,0.6288659793814433,0.7272727272727273,0.65,0.6290322580645161,0.6896551724137931,0.6111111111111112,,0.05154639175257732,0.04411764705882353,0.06896551724137931,,28.415300546448087,0.375,0.375,0.14102564102564102,0.1328125,0.3333333333333333,0.1568627450980392,0.1981981981981982,0.13966480446927373,0.18,0.13953488372093023,0.05714285714285714,0.14634146341463414,0.05714285714285714,0.13636363636363635,0.18181818181818182,0.2916666666666667,0.4444444444444444,0.16129032258064516,0.42857142857142855,0.7010309278350515,0.7352941176470589,0.7692307692307693,0.56,0.29896907216494845,0.3793103448275862,0.4074074074074074,0.36363636363636365,,,,,,,,,,,,,0.8181818181818182,0.8333333333333334,,,,0.75,0.7333333333333333,,,,0.7010309278350515,,0.5088587628865979,0.5595176470588235,0.530105,0.25892857142857145,0.25892857142857145,0.2564102564102564,0.28205128205128205,2.4608247422680414,,0.3104166666666667,1.0,6.0,12.0,9.0,0.2,0.2,,,,,,,,,,,,,,,,,1.0,1.0,5.0,2.0,,,,,,,,True,,
2853,1610612748,Earl Barron,Earl Barron,2853,MIA,351.0,6,-7,11,9,11,7,3.0,20,,1.0,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,3,,,2.0,4,13,1.0,1.0,,,,2.0,1.0,3.0,,,2.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1,,1.0,,1.0,,1,,,2,,,,,,,,4.0,11,,1.0,1.0,,,,,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.5,,0.3333333333333333,1.0,,,38.46153846153846,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.3693,0.2626,0.3693,,,0.5,1.0,12.833333333333334,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,
