EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,FTOffRebounds,SecondChanceTurnovers,Offensive Fouls Drawn,DefensiveGoaltends,OffFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangeAssists,Loose Ball Fouls Drawn,PtsUnassisted3s,HeaveAttempts,ThreePtAssists,Arc3Assists,SecondChanceCorner3FGA,Corner3Assists,SecondChanceCorner3Frequency,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3FGA,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Travels,BlockedLongMidRange,on,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,BlockedArc3,OffensiveGoaltends,Clear Path Fouls
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,1917.0,32,6,67,67,41,9.0,6,134,6.0,9.0,4.0,7.0,1.0,4.0,2.0,6.0,1.0,3.0,7.0,13.0,2.0,6.0,1.0,21.0,66,5.0,10.0,1.0,3.0,1.0,14.0,8.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,9.0,9.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,14.0,41,0.5714285714285714,0.5714285714285714,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5384615384615384,0.5,0.5263157894736842,0.5,0.5263157894736842,0.5,0.3157894736842105,0.07692307692307693,0.1111111111111111,30.263157894736842,0.25,0.28,0.2,0.2571428571428571,0.14285714285714285,0.42857142857142855,0.25,0.47368421052631576,0.6666666666666666,0.75,0.6666666666666666,0.21052631578947367,0.25,0.25,0.3157894736842105,0.3333333333333333,0.3333333333333333,1.0,0.5384615384615384,0.5714285714285714,0.23076923076923078,0.3333333333333333,0.7894736842105263,0.3333333333333333,0.5412394736842104,0.5463423076923076,0.05263157894736842,0.07692307692307693,0.6666666666666666,5.523076923076923,25.250000000000004,0.6119402985074627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
101152,1610612750,Bracey Wright,Bracey Wright,101152,MIN,8106.0,135,-10,251,252,79,63.0,30,503,4.0,6.0,3.0,4.0,9.0,20.0,5.0,14.0,1.0,3.0,15.0,34.0,6.0,17.0,14.0,62.0,246,6.0,12.0,1.0,3.0,6.0,21.0,18.0,12.0,18.0,14.0,5.0,3.0,5.0,5.0,1.0,10.0,2.0,12.0,15.0,18.0,1.0,,5.0,2.0,3.0,8.0,4.0,4.0,8.0,,2.0,11.0,16.0,,,7.0,21.0,79,0.6,0.6,1.0,0.35294117647058826,0.3333333333333333,0.35294117647058826,0.4411764705882353,0.5,0.47058823529411764,0.5,0.5254237288135594,0.5526315789473685,0.3333333333333333,0.08823529411764706,0.16666666666666666,23.10344827586207,0.625,0.12371134020618557,0.06060606060606061,0.1076923076923077,0.034482758620689655,0.13636363636363635,0.034482758620689655,0.11764705882352941,0.6666666666666666,0.8,0.5,0.39215686274509803,0.45,0.45,0.27450980392156865,0.35714285714285715,0.35714285714285715,1.0,0.26666666666666666,0.75,0.2,0.3333333333333333,0.45098039215686275,0.35714285714285715,0.4505225490196078,0.43698333333333333,0.1206896551724138,0.17073170731707318,0.3387096774193548,13.076470588235296,25.17058823529411,0.3147410358565737,2.0,8.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,7.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5833333333333334,0.25,0.16666666666666666,0.022988505747126436,0.02857142857142857,0.02459016393442623,0.044444444444444446,0.03333333333333333,0.20833333333333334,0.25,0.04,0.1568627450980392,0.25,0.3333333333333333,0.5,0.6666666666666666,0.058823529411764705,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,1.0,0.32901,0.11290322580645161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1548,1610612750,Mark Blount,Mark Blount,1548,MIN,1964.0,33,16,60,58,18,11.0,8,118,3.0,4.0,,,5.0,7.0,,,,,8.0,11.0,,,4.0,20.0,50,,1.0,,,,,12.0,4.0,,,,,,,,,,2.0,3.0,8.0,3.0,2.0,3.0,1.0,2.0,5.0,3.0,,3.0,,2.0,5.0,5.0,1.0,,3.0,,18,0.75,0.8571428571428571,,,,,0.7272727272727273,,0.7272727272727273,,0.7692307692307693,,,,,24.65753424657534,0.6,0.08695652173913043,,0.058823529411764705,,0.18181818181818182,,0.36363636363636365,0.75,0.75,0.3333333333333333,0.6363636363636364,0.7142857142857143,0.7142857142857143,,,,,,,,,0.36363636363636365,,0.46349999999999997,0.3715,0.23076923076923078,0.23076923076923078,,11.60909090909091,,0.3,,,,,,,1.0,2.0,,,2.0,4.0,,1.0,3.0,1.0,5.0,1.0,1.0,,2.0,,,,,0.5,0.5,0.6666666666666666,,0.3333333333333333,0.15789473684210525,0.14285714285714285,0.15384615384615385,,,,,0.3333333333333333,,,,,1.0,,,,,,,,0.58815,0.2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,4183.0,70,-18,132,128,33,35.0,20,260,2.0,3.0,,,,2.0,,7.0,,,2.0,11.0,,7.0,1.0,5.0,134,,1.0,,,1.0,1.0,4.0,,,7.0,,2.0,1.0,1.0,,2.0,2.0,7.0,10.0,12.0,1.0,,1.0,1.0,2.0,3.0,1.0,4.0,11.0,1.0,,7.0,8.0,,,3.0,1.0,33,1.0,1.0,,,,,0.18181818181818182,,0.1111111111111111,,0.11363636363636363,0.125,0.3888888888888889,0.18181818181818182,0.3333333333333333,15.822784810126581,0.3333333333333333,0.15217391304347827,0.13333333333333333,0.14754098360655737,0.38461538461538464,0.08333333333333333,0.14285714285714285,0.16666666666666666,0.6666666666666666,1.0,1.0,0.1111111111111111,,,0.3888888888888889,,,,,,,,0.5555555555555556,,0.46310833333333334,0.363,0.14285714285714285,0.21428571428571427,0.2,6.345454545454545,24.957142857142856,0.25,,6.0,,,,3.0,,1.0,,3.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,,1.0,2.0,1.0,,,,0.08333333333333333,0.16666666666666666,0.5,0.0425531914893617,,0.028169014084507043,0.041666666666666664,,,,,0.3333333333333333,,,,,,,,,0.75,,,0.4375833333333334,0.2,,,,,,2.0,,,,0.07692307692307693,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,7143.0,119,-15,217,217,57,55.0,25,434,1.0,2.0,,1.0,5.0,15.0,1.0,6.0,,2.0,10.0,26.0,1.0,7.0,6.0,29.0,213,2.0,4.0,,2.0,4.0,8.0,10.0,10.0,,5.0,1.0,2.0,12.0,18.0,6.0,42.0,2.0,10.0,12.0,16.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,4.0,,1.0,8.0,9.0,1.0,,4.0,8.0,57,0.5,0.5,,0.14285714285714285,,0.16666666666666666,0.38461538461538464,0.5,0.3484848484848485,0.3333333333333333,0.3918918918918919,0.4444444444444444,0.21212121212121213,0.07692307692307693,0.5,16.867469879518072,0.6,0.11627906976744186,0.06451612903225806,0.10256410256410256,0.08333333333333333,0.175,0.07407407407407407,0.06060606060606061,0.5,1.0,1.0,0.45454545454545453,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.16666666666666666,0.16666666666666666,,0.16666666666666666,,0.3333333333333333,,0.2727272727272727,0.2,0.40298593750000006,0.40756,0.1111111111111111,0.13793103448275862,0.27586206896551724,13.934615384615386,27.75714285714286,0.2626728110599078,4.0,9.0,,1.0,,,1.0,3.0,,,,2.0,5.0,,4.0,,4.0,,,1.0,1.0,1.0,,1.0,,0.3333333333333333,0.3333333333333333,0.25,0.1111111111111111,,0.05333333333333334,,0.0380952380952381,0.05,,0.045454545454545456,,,0.2727272727272727,0.4444444444444444,0.5,0.25,0.6,0.030303030303030304,,,,,,,0.3579666666666667,0.06896551724137931,,,,,1.0,,,,0.07142857142857142,0.047619047619047616,,,,1.0,1.0,3.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2060,1610612750,Marko Jaric,Marko Jaric,2060,MIN,2687.0,45,4,80,81,29,36.0,15,161,2.0,5.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,6.0,12.0,1.0,5.0,3.0,18.0,77,2.0,5.0,1.0,1.0,,7.0,2.0,10.0,3.0,4.0,1.0,2.0,6.0,8.0,5.0,18.0,,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,,1.0,,1.0,4.0,4.0,,,2.0,7.0,29,0.16666666666666666,0.2,1.0,0.2,1.0,0.2,0.5,0.4,0.4411764705882353,0.5833333333333334,0.47368421052631576,0.5833333333333334,0.29411764705882354,0.16666666666666666,0.4,22.0,0.6666666666666666,0.07407407407407407,,0.046511627906976744,0.3333333333333333,,,0.29411764705882354,0.4,0.6666666666666666,0.5,0.17647058823529413,0.6666666666666666,0.6666666666666666,0.23529411764705882,0.25,0.25,1.0,0.3333333333333333,0.5,0.16666666666666666,1.0,0.5882352941176471,0.25,0.48028529411764703,0.46316666666666667,0.10526315789473684,0.14285714285714285,0.3888888888888889,6.883333333333333,24.7,0.3625,2.0,4.0,,1.0,,,1.0,3.0,,1.0,,2.0,,,5.0,,6.0,2.0,,,1.0,,,,,0.3333333333333333,0.25,0.25,,,0.15625,,0.12195121951219512,0.13333333333333333,,,,0.25,0.23529411764705882,0.5,0.5,,,0.058823529411764705,,,,,,,0.5116625,0.1111111111111111,1.0,2.0,2.0,1.0,,1.0,,0.25,0.25,0.1111111111111111,,0.5,0.5,1.0,,,,2.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2556,1610612750,Marcus Banks,Marcus Banks,2556,MIN,3246.0,54,-1,96,96,28,27.0,7,192,4.0,6.0,1.0,2.0,5.0,8.0,3.0,5.0,2.0,3.0,9.0,15.0,3.0,5.0,8.0,35.0,100,2.0,3.0,2.0,3.0,5.0,15.0,4.0,14.0,3.0,5.0,3.0,1.0,4.0,6.0,3.0,14.0,5.0,4.0,9.0,9.0,2.0,1.0,6.0,3.0,2.0,8.0,1.0,2.0,6.0,,1.0,7.0,9.0,,1.0,3.0,15.0,28,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.675,0.8333333333333334,0.7083333333333334,0.8333333333333334,0.25,0.06666666666666667,0.16666666666666666,29.906542056074766,0.75,0.10526315789473684,0.35714285714285715,0.17307692307692307,0.14285714285714285,0.07142857142857142,0.3076923076923077,0.3,0.6666666666666666,0.8,0.25,0.4,0.625,0.625,0.25,0.6,0.6,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.55,0.6,0.48613999999999996,0.5000916666666666,0.13043478260869565,0.16666666666666666,0.42857142857142855,11.979999999999999,25.560000000000002,0.2916666666666667,,1.0,,,,,,,,,,,1.0,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,0.1,1.0,,0.05,,,,0.2,,,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,119.0,2,-1,6,6,6,6.0,1,12,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1853,1610612750,Anthony Carter,Anthony Carter,1853,MIN,268.0,4,2,13,13,13,,2,26,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,2.0,2.0,1.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,13,,,,,,,,,,,,,,,,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
2648,1610612750,Ronald Dupree,Ronald Dupree,2648,MIN,4668.0,78,-29,142,146,30,36.0,20,288,9.0,13.0,3.0,3.0,2.0,7.0,,,,,12.0,22.0,,1.0,2.0,26.0,155,4.0,6.0,,,1.0,9.0,10.0,14.0,,,,4.0,3.0,5.0,1.0,12.0,3.0,6.0,9.0,15.0,6.0,5.0,,,4.0,4.0,,5.0,9.0,,3.0,6.0,6.0,,,3.0,9.0,30,0.4166666666666667,0.5555555555555556,,,,,0.5454545454545454,0.6666666666666666,0.5217391304347826,0.6666666666666666,0.5,0.6428571428571429,0.043478260869565216,0.18181818181818182,0.23076923076923078,18.181818181818183,,0.11764705882352941,0.16666666666666666,0.13043478260869565,0.11764705882352941,0.1,0.17647058823529413,0.5652173913043478,0.6923076923076923,0.9,0.3333333333333333,0.30434782608695654,0.2857142857142857,0.2857142857142857,,,,,0.5,1.0,,,0.6086956521739131,,0.5464369565217391,0.5837833333333333,0.11538461538461539,0.12,0.34615384615384615,7.35,23.3,0.2112676056338028,1.0,2.0,,1.0,,,4.0,4.0,,,2.0,10.0,1.0,3.0,3.0,,6.0,,1.0,1.0,,,,,,1.0,1.0,0.8333333333333334,0.5,,0.05660377358490566,0.13043478260869565,0.07894736842105263,,0.1,0.14285714285714285,,,0.08695652173913043,0.5,1.0,1.0,0.5,0.043478260869565216,,,,,,,0.5273,0.38461538461538464,2.0,2.0,6.0,,,1.0,,,0.09090909090909091,0.125,0.3333333333333333,0.5,1.0,1.0,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
