EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Steals,BadPassSteals,Loose Ball Fouls,DefensiveGoaltends,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,LongMidRangeAssists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,ThreePtAssists,Arc3Assists,SecondChanceAtRimPctAssisted,Corner3Assists,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,on,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,OffensiveGoaltends,ShortMidRangePctBlocked,LongMidRangePctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,4381.0,73,24.0,141,140,58,40,15.0,281,11.0,15.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,8.0,2.0,1.0,15.0,25.0,2.0,9.0,39.0,139,3.0,4.0,1.0,7.0,5.0,8.0,1.0,3.0,13.0,16.0,14.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,1.0,7.0,1.0,7.0,1.0,9.0,8.0,17.0,2.0,3.0,2.0,3.0,1.0,1.0,4.0,8.0,1.0,9.0,1.0,11.0,3.0,6.0,1.0,13.0,58,1.0,1.0,0.5333333333333333,0.6666666666666666,0.6,0.75,0.625,0.5555555555555556,0.75,0.5555555555555556,0.6290322580645161,0.7,0.65,0.07407407407407407,0.08,0.13333333333333333,21.38364779874214,0.16666666666666666,0.12962962962962962,0.19444444444444445,0.0625,0.07142857142857142,0.11428571428571428,0.16,0.21428571428571427,0.2727272727272727,0.09090909090909091,0.125,0.18181818181818182,0.125,0.08333333333333333,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.7333333333333333,0.8461538461538461,0.45454545454545453,0.07407407407407407,0.5,0.5,1.0,0.2962962962962963,0.375,0.375,0.6666666666666666,0.07407407407407407,1.0,0.75,0.4444444444444444,1.0,0.1111111111111111,0.6296296296296297,0.5312629629629629,0.566025,0.5428611111111111,0.2,0.21428571428571427,0.1794871794871795,0.3333333333333333,6.816,26.05,0.41134751773049644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
101212,1610612737,Esteban Batista,Esteban Batista,101212,ATL,2857.0,48,16.0,96,93,36,23,13.0,189,5.0,5.0,1.0,1.0,5.0,5.0,,,,,,,5.0,5.0,,1.0,11.0,99,1.0,1.0,,2.0,5.0,5.0,,1.0,11.0,6.0,4.0,2.0,,,,,,,,1.0,2.0,5.0,9.0,1.0,15.0,3.0,18.0,,3.0,1.0,3.0,,,3.0,11.0,2.0,5.0,,3.0,1.0,1.0,1.0,11.0,36,2.0,1.0,0.6,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,,,,8.108108108108107,0.5,0.3,0.07692307692307693,0.3333333333333333,0.08333333333333333,0.3111111111111111,0.07894736842105263,0.1,,0.1,,0.3076923076923077,,0.35714285714285715,0.5,,1.0,1.0,1.0,0.6,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,0.61902,,0.61902,0.2,0.2,0.18181818181818182,1.0,,,0.375,1.0,1.0,2.0,1.0,0.1,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
101219,1610612737,Anthony Grundy,Anthony Grundy,101219,ATL,6479.0,108,29.0,215,211,86,50,23.0,426,12.0,15.0,,,5.0,7.0,2.0,5.0,,3.0,11.0,3.0,14.0,23.0,15.0,9.0,52.0,213,1.0,1.0,1.0,9.0,5.0,11.0,5.0,2.0,18.0,10.0,18.0,,11.0,1.0,9.0,9.0,6.0,1.0,18.0,,1.0,2.0,14.0,,16.0,1.0,17.0,,7.0,,9.0,,3.0,5.0,14.0,4.0,12.0,,14.0,2.0,7.0,1.0,18.0,86,,1.0,0.35714285714285715,0.35714285714285715,0.6086956521739131,1.0,0.45454545454545453,0.5657894736842105,1.3333333333333333,0.5,0.5909090909090909,1.125,0.5294117647058824,0.39473684210526316,0.043478260869565216,0.06666666666666667,21.810699588477366,,0.17721518987341772,0.017857142857142856,0.06666666666666667,,0.14678899082568808,0.012345679012345678,0.043478260869565216,,,,0.08333333333333333,,0.34375,0.05555555555555555,,0.39473684210526316,0.8,0.8571428571428571,0.3333333333333333,0.13157894736842105,0.4,0.4,0.5,0.07894736842105263,,,,0.2894736842105263,,,0.4375,0.7142857142857143,0.1875,0.7894736842105263,0.5316513157894737,0.4395166666666667,0.510434375,0.16279069767441862,0.25,0.17307692307692307,0.34615384615384615,4.352173913043479,25.080000000000002,0.4,7.0,5.0,,,,0.08333333333333333,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,12.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,1.0,0.4,0.3333333333333333,0.2222222222222222,0.10526315789473684,0.25,0.25,1.0,0.36363636363636365,0.36363636363636365,0.75,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.125,0.5,0.3333333333333333,0.36363636363636365,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
1731,1610612737,Tyronn Lue,Tyronn Lue,1731,ATL,943.0,16,2.0,29,29,4,3,3.0,58,,1.0,,,,,,,2.0,2.0,3.0,,2.0,3.0,3.0,,4.0,27,,,,,1.0,1.0,,,2.0,,4.0,,3.0,,2.0,2.0,1.0,,4.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,4.0,,,,,,2.0,4,,,,,0.6666666666666666,,1.0,0.3333333333333333,,1.0,0.3333333333333333,,1.0,0.5,,,17.64705882352941,,0.07142857142857142,,,,0.05263157894736842,,,,,,,0.5,,,,0.16666666666666666,,,,,,,,0.3333333333333333,1.0,1.0,,0.5,,,,,,0.6666666666666666,0.48160000000000003,,0.3742,,,,0.5,11.666666666666666,25.7,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2735,1610612737,Josh Childress,Josh Childress,2735,ATL,3259.0,54,4.0,105,102,24,23,12.0,207,3.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,,1.0,2.0,,6.0,10.0,2.0,5.0,20.0,108,2.0,2.0,1.0,5.0,2.0,2.0,,1.0,5.0,4.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,,4.0,,1.0,2.0,3.0,,5.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,6.0,1.0,7.0,,5.0,1.0,3.0,,5.0,24,1.0,,0.3333333333333333,0.4,0.6,1.0,1.0,0.625,1.0,1.0,0.7142857142857143,1.25,1.25,0.16666666666666666,0.1,0.2,12.5,,0.075,0.038461538461538464,0.14285714285714285,,0.09259259259259259,0.02564102564102564,0.08333333333333333,,,,0.10526315789473684,,0.06666666666666667,0.1111111111111111,,0.4166666666666667,0.6,0.75,0.3333333333333333,0.3333333333333333,0.75,0.75,0.3333333333333333,0.08333333333333333,,,,0.16666666666666666,0.5,1.0,0.5,1.0,,0.5833333333333334,0.4870708333333333,0.49055,0.49034999999999995,0.21428571428571427,0.25,0.25,0.25,3.95,25.35,0.22857142857142856,3.0,3.0,1.0,,,0.2,,,,,,,1.0,,,,1.0,,,,3.0,,1.0,,,,,,,,1.0,1.0,0.5,,,0.5,,,,,,0.5,0.5,1.0,,,,,,,,,,0.5,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,
2764,1610612737,Donta Smith,Donta Smith,2764,ATL,2005.0,33,17.0,70,71,31,21,8.0,141,7.0,8.0,1.0,1.0,4.0,4.0,,,,2.0,1.0,,7.0,10.0,1.0,3.0,20.0,74,1.0,1.0,,2.0,4.0,4.0,,1.0,9.0,10.0,4.0,,1.0,,3.0,4.0,3.0,,9.0,,,2.0,,,2.0,,2.0,,,,,,,3.0,3.0,,2.0,,3.0,1.0,2.0,,9.0,31,,,0.7142857142857143,0.7142857142857143,0.7,1.0,1.0,0.7727272727272727,1.0,1.0,0.8333333333333334,1.0,1.125,0.09090909090909091,,,14.814814814814813,,,,0.13333333333333333,,0.05405405405405406,,,,,,,,,0.1111111111111111,,0.7272727272727273,0.875,0.875,0.7142857142857143,,,,,0.18181818181818182,,,,0.09090909090909091,1.0,1.0,1.0,1.0,,0.8181818181818182,0.5467272727272727,0.5039,0.576475,0.16666666666666666,0.18181818181818182,0.1,0.45,3.3299999999999996,26.1,0.44285714285714284,4.0,2.0,,,,0.16666666666666666,,,,,,,1.0,,,,1.0,,,,3.0,,1.0,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,
1733,1610612737,Al Harrington,Al Harrington,1733,ATL,2604.0,43,16.0,81,77,20,14,6.0,158,2.0,4.0,,,,,4.0,7.0,4.0,7.0,,,10.0,18.0,,4.0,24.0,77,,,,,,,,,,6.0,14.0,,,2.0,1.0,2.0,1.0,,5.0,,,1.0,3.0,,4.0,,4.0,,1.0,,1.0,,1.0,5.0,5.0,,6.0,,11.0,1.0,5.0,1.0,,20,,1.0,0.3,0.3,0.5555555555555556,,,0.5555555555555556,,,0.5217391304347826,,,,0.1111111111111111,0.5,27.272727272727273,,0.09375,,0.06666666666666667,,0.0851063829787234,,,,,,0.11764705882352941,0.16666666666666666,,,,0.2222222222222222,0.5,1.0,,0.3888888888888889,0.5714285714285714,0.5714285714285714,0.25,0.3888888888888889,0.5714285714285714,0.5714285714285714,0.5,,,,,,,0.2222222222222222,0.4326555555555555,,,0.22727272727272727,0.22727272727272727,,,10.211111111111112,,0.24691358024691357,1.0,,,,,0.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,
2207,1610612737,Joe Johnson,Joe Johnson,2207,ATL,2963.0,49,4.0,104,101,57,20,14.0,205,3.0,4.0,,,1.0,1.0,,1.0,4.0,8.0,2.0,2.0,7.0,13.0,6.0,8.0,28.0,103,1.0,1.0,,2.0,2.0,3.0,5.0,6.0,16.0,4.0,10.0,,2.0,,4.0,7.0,3.0,,17.0,,,1.0,5.0,,6.0,1.0,7.0,,3.0,1.0,4.0,1.0,2.0,,2.0,1.0,7.0,,11.0,,2.0,3.0,16.0,57,1.0,3.0,0.2857142857142857,0.2857142857142857,0.5384615384615384,1.0,0.6666666666666666,0.5263157894736842,1.0,0.625,0.5625,1.0,0.6818181818181818,0.3157894736842105,,,23.333333333333336,,0.13157894736842105,,0.08333333333333333,,0.12,,,,,,0.05555555555555555,0.2,0.2,,,0.21052631578947367,0.75,0.75,0.6666666666666666,0.05263157894736842,,,,0.42105263157894735,0.5,0.5,,0.10526315789473684,,,0.125,1.0,0.25,0.5263157894736842,0.5082916666666666,0.401,0.5250785714285714,0.09523809523809523,0.13333333333333333,0.07142857142857142,0.5714285714285714,11.72307692307692,26.233333333333334,0.5480769230769231,1.0,1.0,,,,0.25,1.0,4.0,,,1.0,3.0,1.0,,,1.0,2.0,,,2.0,3.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,,0.5,0.3333333333333333,,0.4,0.3333333333333333,0.25,0.21052631578947367,0.25,0.25,1.0,0.5,0.5,,,,,,,,0.375,0.3333333333333333,0.5,0.5,,,,,,3.0,2.0,,1.0,1.0,1.0,0.07692307692307693,,,,True,,,,,,,,,,,,,,,,
2585,1610612737,Zaza Pachulia,Zaza Pachulia,2585,ATL,1393.0,23,-7.0,45,46,25,4,6.0,91,1.0,6.0,1.0,1.0,,4.0,,1.0,,,,,1.0,7.0,,3.0,5.0,44,1.0,1.0,2.0,4.0,,4.0,,3.0,3.0,,2.0,2.0,,2.0,,,,,,1.0,2.0,1.0,3.0,,4.0,3.0,7.0,,2.0,,4.0,2.0,3.0,2.0,3.0,1.0,3.0,,4.0,,1.0,1.0,3.0,25,,1.0,,,0.14285714285714285,1.0,,0.14285714285714285,1.0,,0.2777777777777778,1.0,0.25,,0.2857142857142857,0.3333333333333333,25.49019607843137,,0.2,0.14285714285714285,0.25,0.2,0.21052631578947367,0.15789473684210525,0.2857142857142857,,,0.25,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.5,,0.8571428571428571,0.16666666666666666,0.25,,0.14285714285714285,,,,,,,,,1.0,1.0,1.0,,,0.8571428571428571,0.5508857142857143,0.6519,0.559625,0.125,0.125,0.8,0.6,0.9,,0.5555555555555556,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,True,,,,,,,,,,,,,,,,
2823,1610612737,John Edwards,John Edwards,2823,ATL,776.0,13,,27,26,21,9,,53,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,4.0,8.0,33,,,,,1.0,1.0,,2.0,4.0,4.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,,,1.0,3.0,,2.0,,4.0,,1.0,1.0,4.0,21,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,14.814814814814813,,0.2,,,,0.18181818181818182,,,,,,0.3333333333333333,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,,0.5,0.50215,,0.578,0.3333333333333333,0.3333333333333333,,0.5,6.9,,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,
