EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedAtRim,3SecondViolations,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGA,Fg3aBlocked,OffThreePtRebounds,FTDefRebounds,SelfOReb,Travels,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,on,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Clear Path Fouls,Corner3PctBlocked
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,3477.0,58.0,7.0,103.0,107.0,28.0,35.0,14.0,210.0,7.0,14.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,3.0,5.0,1.0,1.0,2.0,4.0,9.0,24.0,3.0,6.0,27.0,102.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,2.0,4.0,8.0,8.0,10.0,9.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,28.0,0.4444444444444444,0.4444444444444444,1.0,0.5,1.0,0.5,0.6,0.375,0.25,0.2,0.45,0.5,0.4444444444444444,0.45,0.5,0.4444444444444444,0.2,0.0416666666666666,0.0714285714285714,28.205128205128208,0.6666666666666666,0.0714285714285714,0.0769230769230769,0.0727272727272727,0.0769230769230769,0.0909090909090909,0.0555555555555555,0.0909090909090909,1.0,0.4666666666666667,0.5,0.5384615384615384,0.4285714285714285,0.1,0.3333333333333333,0.3333333333333333,0.2333333333333333,0.1428571428571428,0.1428571428571428,1.0,0.0333333333333333,0.1666666666666666,0.6,0.6,1.0,0.4,0.5,1.0,0.2,1.0,1.0,0.1111111111111111,1.0,0.4444444444444444,0.5,0.6666666666666666,0.75,0.5129431034482759,0.5013,0.447325,0.0333333333333333,0.0416666666666666,0.1851851851851851,0.2962962962962963,6.4,27.216666666666665,0.2718446601941747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,6159.0,103.0,16.0,196.0,185.0,48.0,54.0,31.0,381.0,5.0,6.0,1.0,1.0,,,,6.0,8.0,21.0,,8.0,19.0,1.0,2.0,2.0,7.0,13.0,33.0,8.0,19.0,55.0,191.0,1.0,4.0,1.0,2.0,8.0,3.0,7.0,2.0,7.0,15.0,8.0,18.0,15.0,,19.0,8.0,1.0,9.0,3.0,12.0,,5.0,27.0,1.0,6.0,7.0,7.0,,,,4.0,2.0,6.0,10.0,2.0,12.0,2.0,15.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,48.0,0.3076923076923077,0.3076923076923077,0.625,0.4210526315789473,0.5,0.2857142857142857,0.4210526315789473,0.3939393939393939,0.25,0.4285714285714285,0.4807692307692308,0.4166666666666667,0.4285714285714285,0.5,0.5714285714285714,0.4666666666666667,0.3653846153846153,0.0303030303030303,,27.705627705627705,0.4,0.09375,0.04,0.0786516853932584,0.1923076923076923,,0.04,0.0526315789473684,1.0,0.1153846153846153,0.8333333333333334,0.8333333333333334,0.4,0.1153846153846153,,,0.4038461538461538,0.3809523809523809,0.3809523809523809,0.25,,0.3653846153846153,0.4210526315789473,0.4210526315789473,0.625,0.1666666666666666,1.0,,0.3333333333333333,0.5,1.0,,,0.5,0.2857142857142857,0.4807692307692308,0.4210526315789473,0.4365798076923077,0.37569,0.359375,0.0192307692307692,0.0303030303030303,0.1454545454545454,0.2727272727272727,13.51818181818182,25.13157894736842,0.2448979591836734,5.0,3.0,3.0,9.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1709,1610612750,Michael Olowokandi,Michael Olowokandi,1709,MIN,3742.0,62.0,31.0,120.0,113.0,33.0,39.0,16.0,233.0,6.0,8.0,3.0,4.0,3.0,4.0,5.0,13.0,,,,,,,,,,11.0,21.0,,,22.0,99.0,3.0,5.0,,,6.0,3.0,6.0,,,6.0,18.0,4.0,,,,,2.0,2.0,1.0,3.0,,,7.0,2.0,9.0,11.0,15.0,1.0,1.0,,1.0,,3.0,4.0,3.0,10.0,,4.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,6.0,33.0,0.8181818181818182,0.9,,,,,,0.5238095238095238,0.6,0.5,0.5238095238095238,0.6,0.5,0.5238095238095238,0.6,0.5,,0.0952380952380952,0.125,17.98561151079137,0.25,0.2045454545454545,0.1666666666666666,0.1964285714285714,0.0588235294117647,0.2,0.3181818181818182,0.1818181818181818,0.3333333333333333,0.3809523809523809,0.75,0.8571428571428571,0.6666666666666666,0.6190476190476191,0.3846153846153846,0.4166666666666667,,,,,,,,,,0.8,0.75,0.3333333333333333,,,,0.6666666666666666,0.75,,,0.3809523809523809,,0.4082380952380952,0.52725,0.4497833333333332,0.0952380952380952,0.0952380952380952,0.2727272727272727,0.2727272727272727,6.004761904761905,,0.275,,,,,1.0,,2.0,,1.0,1.0,,1.0,,,,3.0,,0.0769230769230769,2.0,4.0,4.0,2.0,1.0,2.0,2.0,0.1,0.0727272727272727,0.1666666666666666,0.0666666666666666,0.1052631578947368,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2204,1610612750,Eddie Griffin,Eddie Griffin,2204,MIN,7250.0,121.0,10.0,226.0,219.0,63.0,67.0,31.0,445.0,5.0,10.0,4.0,8.0,,,1.0,4.0,1.0,9.0,2.0,2.0,12.0,,1.0,1.0,5.0,7.0,23.0,2.0,14.0,22.0,227.0,5.0,10.0,,1.0,10.0,,,1.0,6.0,4.0,6.0,8.0,6.0,,12.0,2.0,2.0,4.0,2.0,6.0,,3.0,14.0,6.0,17.0,25.0,40.0,1.0,,1.0,4.0,1.0,3.0,7.0,7.0,13.0,,6.0,4.0,,1.0,12.0,2.0,12.0,8.0,4.0,63.0,0.4285714285714285,0.75,1.0,0.1428571428571428,,0.1666666666666666,0.1428571428571428,0.3043478260869565,0.5,,0.2702702702702703,0.4545454545454545,0.25,0.282051282051282,0.4545454545454545,0.2857142857142857,0.3783783783783784,0.0869565217391304,,17.624521072796934,0.5714285714285714,0.2048192771084337,0.2068965517241379,0.2053571428571428,0.1515151515151515,0.1818181818181818,0.2857142857142857,0.2272727272727272,0.6666666666666666,0.2702702702702703,0.5,0.5,0.2,0.1081081081081081,0.25,0.3333333333333333,0.2432432432432432,0.1111111111111111,0.125,1.0,0.054054054054054,0.3243243243243243,0.1666666666666666,0.1818181818181818,1.0,0.7272727272727273,0.5,,0.0909090909090909,,,,,0.8333333333333334,0.2,0.6486486486486487,0.1666666666666666,0.505783783783784,0.54800625,0.529125,0.0263157894736842,0.0416666666666666,0.4545454545454545,0.1818181818181818,9.286956521739128,24.842857142857145,0.2787610619469026,2.0,,1.0,,2.0,1.0,,,3.0,,2.0,1.0,1.0,,1.0,4.0,1.0,0.25,6.0,10.0,15.0,,1.0,9.0,1.0,0.136986301369863,0.1363636363636363,0.1379310344827586,0.1052631578947368,0.16,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,0.0714285714285714,0.1111111111111111,0.0833333333333333,0.3333333333333333,0.1351351351351351,0.1153846153846153,0.1818181818181818,0.1428571428571428,0.125,0.1666666666666666,,,,,,,,,,,True,,,,,,,,,,,,,,,
2499,1610612750,Richie Frahm,Richie Frahm,2499,MIN,13520.0,225.0,26.0,432.0,420.0,143.0,175.0,57.0,852.0,5.0,8.0,,1.0,2.0,3.0,,1.0,4.0,8.0,22.0,8.0,26.0,,,1.0,6.0,9.0,17.0,15.0,48.0,66.0,420.0,,2.0,,2.0,,4.0,5.0,5.0,16.0,26.0,14.0,4.0,45.0,,26.0,8.0,1.0,9.0,6.0,15.0,2.0,4.0,36.0,6.0,12.0,20.0,23.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,11.0,22.0,1.0,3.0,5.0,,,2.0,,2.0,1.0,26.0,143.0,0.7777777777777778,0.7777777777777778,1.0,0.3125,,0.3125,0.3125,0.5294117647058824,,0.8,0.4846153846153846,,0.5476190476190477,0.4925373134328358,,0.5652173913043478,0.7384615384615385,0.0588235294117647,0.125,14.314516129032258,0.75,0.0821917808219178,0.1276595744680851,0.0932642487046632,0.0508474576271186,0.0967741935483871,0.1071428571428571,0.1621621621621621,0.5,0.123076923076923,0.625,0.7142857142857143,0.6,0.0153846153846153,,,0.123076923076923,0.5,0.5,1.0,0.3384615384615385,0.4,0.3076923076923077,0.3076923076923077,1.0,0.25,,,,,,0.1428571428571428,0.6666666666666666,0.2857142857142857,0.1666666666666666,0.8615384615384616,0.3076923076923077,0.5225015384615385,0.5430666666666667,0.5083785714285715,,,,0.3939393939393939,9.241176470588234,24.531250000000004,0.3310185185185185,3.0,,3.0,,4.0,2.0,3.0,,1.0,,,1.0,,1.0,2.0,3.0,2.0,,,2.0,3.0,,,2.0,,0.014388489208633,0.0142180094786729,,,0.0350877192982456,,10.0,,1.0,2.0,1.0,,,,,,0.1111111111111111,0.0138888888888888,0.0208333333333333,,,0.0256410256410256,0.4761904761904761,7.0,2.0,4.0,0.3181818181818182,0.3181818181818182,1.0,0.5,0.4,,,True,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,5868.0,98.0,23.0,204.0,190.0,89.0,87.0,22.0,394.0,10.0,14.0,1.0,2.0,4.0,6.0,2.0,5.0,5.0,9.0,5.0,6.0,10.0,,,3.0,4.0,17.0,28.0,8.0,15.0,68.0,193.0,1.0,3.0,,,4.0,6.0,9.0,4.0,7.0,27.0,16.0,18.0,18.0,,10.0,6.0,2.0,3.0,5.0,8.0,3.0,2.0,21.0,1.0,5.0,9.0,13.0,4.0,3.0,1.0,6.0,5.0,2.0,8.0,4.0,8.0,,12.0,13.0,2.0,5.0,,,,,27.0,89.0,0.4705882352941176,0.4705882352941176,0.75,0.5333333333333333,,0.5714285714285714,0.5333333333333333,0.6071428571428571,0.3333333333333333,0.6666666666666666,0.6744186046511628,0.3333333333333333,0.75,0.6979166666666666,0.5,0.75,0.3488372093023256,0.0714285714285714,0.1428571428571428,24.669603524229075,0.75,0.087719298245614,0.0625,0.0821917808219178,0.1111111111111111,,0.0869565217391304,,,0.3255813953488372,0.7142857142857143,0.8333333333333334,0.5,0.1162790697674418,0.4,0.4,0.2093023255813953,0.5555555555555556,0.5555555555555556,0.4,0.1162790697674418,0.2325581395348837,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,,,,0.375,0.6666666666666666,0.25,0.75,0.6744186046511628,0.6,0.5103453488372094,0.6551,0.530834375,0.108695652173913,0.1612903225806451,0.0588235294117647,0.3970588235294117,7.325,25.12,0.4362745098039216,10.0,2.0,3.0,6.0,2.0,,1.0,,1.0,,1.0,,2.0,1.0,2.0,3.0,2.0,,,3.0,4.0,1.0,,,,0.0535714285714285,0.0434782608695652,0.0625,0.0714285714285714,0.0384615384615384,0.5,3.0,1.0,1.0,3.0,2.0,2.0,,0.0666666666666666,,0.1,0.2727272727272727,0.0277777777777777,0.0476190476190476,,0.5,0.1333333333333333,0.1875,2.0,,1.0,0.4,0.4,1.0,,0.3333333333333333,,,True,,,,,,,,,,,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,9433.0,157.0,27.0,309.0,304.0,111.0,136.0,33.0,613.0,13.0,21.0,3.0,6.0,5.0,10.0,7.0,17.0,15.0,28.0,1.0,1.0,4.0,,,1.0,2.0,35.0,66.0,1.0,5.0,95.0,302.0,4.0,9.0,,,8.0,10.0,24.0,1.0,3.0,31.0,32.0,38.0,3.0,1.0,3.0,1.0,5.0,16.0,5.0,21.0,1.0,11.0,47.0,7.0,22.0,37.0,47.0,12.0,9.0,3.0,5.0,5.0,4.0,9.0,4.0,16.0,1.0,25.0,27.0,1.0,11.0,6.0,,6.0,3.0,31.0,111.0,0.4571428571428571,0.5,1.0,0.2,,0.3333333333333333,0.25,0.5303030303030303,0.4444444444444444,0.4166666666666667,0.5140845070422535,0.4444444444444444,0.4259259259259259,0.5654761904761905,0.4444444444444444,0.5,0.0704225352112676,0.0757575757575757,0.1904761904761904,26.878612716763005,0.5555555555555556,0.2135922330097087,0.21875,0.2148148148148148,0.1707317073170731,0.28,0.2162162162162162,0.25,0.5,0.2957746478873239,0.6190476190476191,0.7647058823529411,0.3076923076923077,0.2394366197183098,0.4117647058823529,0.4117647058823529,0.3943661971830985,0.5357142857142857,0.5555555555555556,0.6666666666666666,0.0140845070422535,0.056338028169014,0.25,0.25,1.0,0.6666666666666666,0.5,,,,,0.3703703703703703,0.5,0.074074074074074,0.5,0.3661971830985915,0.3333333333333333,0.4220785714285714,0.4417,0.4225925925925927,0.1358024691358024,0.1447368421052631,0.0842105263157894,0.3263157894736842,9.9,35.96,0.3592233009708738,22.0,,8.0,,4.0,,5.0,,,,,3.0,1.0,,3.0,6.0,3.0,,6.0,6.0,10.0,1.0,,5.0,,0.0618556701030927,0.0699300699300699,0.1290322580645161,0.0333333333333333,0.0277777777777777,0.2857142857142857,1.0,,4.0,8.0,,2.0,1.0,,0.0357142857142857,,0.5714285714285714,0.0869565217391304,0.1034482758620689,0.0588235294117647,0.125,,0.037037037037037,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,3250.0,54.0,-14.0,93.0,92.0,18.0,38.0,20.0,185.0,6.0,9.0,3.0,4.0,2.0,3.0,,,,,,,,,,,,6.0,9.0,,,13.0,101.0,3.0,4.0,,,6.0,2.0,3.0,,,5.0,6.0,6.0,,,,,1.0,,1.0,1.0,,,3.0,1.0,6.0,7.0,16.0,2.0,2.0,,1.0,1.0,,1.0,5.0,13.0,,6.0,4.0,,1.0,1.0,,1.0,1.0,5.0,18.0,0.5,1.0,,,,,,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.5909090909090909,0.6,0.625,,0.1111111111111111,0.1111111111111111,10.526315789473683,1.0,0.1875,0.1,0.1666666666666666,0.25,0.1666666666666666,0.1428571428571428,0.125,1.0,1.0,0.6666666666666666,0.75,0.5,,,,,,,,,,,,,1.0,0.75,,,,,1.0,0.6666666666666666,,,1.0,,0.5419555555555555,0.540625,0.5236,0.1,0.1,0.4615384615384615,0.3846153846153846,0.3111111111111111,,0.1935483870967742,1.0,,1.0,,1.0,,,,,,,,3.0,,1.0,1.0,1.0,,6.0,5.0,9.0,3.0,1.0,1.0,,0.1428571428571428,0.1607142857142857,,0.3333333333333333,0.2,,,,4.0,,,,,,,,,0.1904761904761904,0.25,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1853,1610612750,Anthony Carter,Anthony Carter,1853,MIN,2759.0,46.0,14.0,86.0,84.0,32.0,33.0,13.0,170.0,1.0,6.0,,,1.0,3.0,1.0,2.0,2.0,3.0,,,,,,,,4.0,11.0,,,10.0,69.0,2.0,2.0,,,4.0,3.0,6.0,,,6.0,2.0,6.0,,,,,1.0,5.0,5.0,10.0,1.0,2.0,25.0,1.0,2.0,3.0,5.0,4.0,4.0,,3.0,2.0,2.0,5.0,2.0,5.0,1.0,4.0,4.0,,2.0,,,,,6.0,32.0,0.25,0.3333333333333333,,,,,,0.3636363636363636,1.0,0.5,0.3636363636363636,1.0,0.5,0.3846153846153846,1.0,0.5,,0.0909090909090909,0.1666666666666666,17.647058823529413,0.6,0.0555555555555555,0.1,0.0652173913043478,,,0.1333333333333333,0.1111111111111111,,0.5454545454545454,0.1666666666666666,0.2,,0.1818181818181818,0.5,0.5,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,0.5,0.3333333333333333,,,0.5454545454545454,,0.5288727272727273,0.3278,0.5139333333333332,0.1538461538461538,0.1538461538461538,0.4,0.6,6.572727272727272,,0.3720930232558139,2.0,,,,4.0,,3.0,1.0,1.0,,,4.0,,,,1.0,,,2.0,2.0,2.0,,,,,0.0526315789473684,0.0392156862745098,,0.1428571428571428,0.0666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2648,1610612750,Ronald Dupree,Ronald Dupree,2648,MIN,652.0,11.0,,21.0,22.0,8.0,11.0,3.0,43.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,15.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,2.0,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,0.693,0.693,0.693,,,,,,,0.3809523809523809,,,,,,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,0.125,0.1333333333333333,,,0.1666666666666666,,,,1.0,,,,,,,,,0.1428571428571428,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
