EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,StepOutOfBoundsTurnovers,3SecondViolations,OffCorner3ReboundPct,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,81729.0,1362,-111,2542,2536,677,720,277.0,5078,112.0,191.0,11.0,18.0,25.0,46.0,26.0,60.0,36.0,104.0,21.0,43.0,1.0,3.0,6.0,8.0,46.0,137.0,5.0,16.0,10.0,37.0,174.0,355,67.0,180.0,78.0,627.0,2653,16.0,32.0,6.0,19.0,6.0,56.0,36.0,80,16.0,45.0,25.0,145.0,192.0,156.0,186.0,15.0,10.0,2.0,135.0,46.0,25.0,1.0,55.0,8.0,63.0,7.0,1.0,26.0,9.0,20.0,134.0,5.0,24.0,28.0,82.0,4.0,114,29.0,143,9.0,44.0,26.0,18.0,34.0,5.0,24.0,52.0,7.0,10.0,8.0,86.0,6.0,22.0,58.0,176.0,9.0,29.0,92.0,2.0,5.0,106.0,8.0,3.0,49.0,7.0,22.0,9.0,6.0,7.0,22.0,12.0,2.0,145.0,677,21.0,7.0,0.5517241379310345,0.5680473372781065,0.9253731343283582,0.37222222222222223,0.3157894736842105,0.35555555555555557,0.37640449438202245,0.49014084507042255,0.5,0.45,0.5130841121495328,0.49019607843137253,0.48,0.5360205831903945,0.5185185185185185,0.5142857142857142,0.3364485981308411,0.005555555555555556,0.07042253521126761,0.09947643979057591,0.08333333333333333,0.009615384615384616,0.0072992700729927005,23.324022346368714,0.3953488372093023,0.04040404040404041,0.08241206030150754,0.026058631921824105,0.10852713178294573,0.020833333333333332,0.08778930566640064,0.024978466838931956,0.04924242424242424,0.025510204081632654,0.013015184381778741,0.025,0.07492795389048991,0.05737704918032787,0.10396039603960396,0.11224489795918367,0.0967741935483871,0.034482758620689655,0.5454545454545454,0.35700934579439253,0.5863874345549738,0.6511627906976745,0.625,0.11214953271028037,0.43333333333333335,0.4727272727272727,0.4230769230769231,0.19439252336448598,0.34615384615384615,0.34951456310679613,0.4166666666666667,0.08037383177570094,0.4883720930232558,0.4883720930232558,0.9523809523809523,0.2560747663551402,0.3357664233576642,0.3382352941176471,0.9130434782608695,0.35294117647058826,0.6111111111111112,0.5454545454545454,0.058823529411764705,0.3333333333333333,1.0,0.3137254901960784,0.3125,0.8,0.368,0.5434782608695652,0.064,0.75,0.296,0.2702702702702703,0.6934579439252336,0.34074074074074073,0.5063564727954968,0.4790128205128206,0.4883725806451612,0.08506944444444445,0.12373737373737374,0.08931419457735247,0.23125996810207336,6.977183098591549,25.121666666666666,0.26632572777340674,,,,,,,,,,,,True,,,
101152,1610612750,Bracey Wright,Bracey Wright,101152,MIN,1917.0,32,6,67,67,41,9,6.0,134,2.0,3.0,,,2.0,3.0,2.0,3.0,2.0,4.0,,,,,,,1.0,3.0,,,1.0,2.0,6.0,10,1.0,3.0,4.0,19.0,66,,1.0,,,,,5.0,8,1.0,2.0,2.0,15.0,8.0,4.0,3.0,,,,3.0,1.0,1.0,,1.0,,1.0,,,1.0,,,2.0,,,1.0,1.0,1.0,3,,3,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,3.0,,,6.0,,,3.0,,,,,,,,,15.0,41,,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.6,,0.625,0.5769230769230769,,0.65,0.59375,,0.625,0.23076923076923078,,0.1,0.3333333333333333,,,,22.36842105263158,,0.5,0.04,,0.1,,0.05714285714285714,,,,,,,,0.07142857142857142,0.125,,,,0.23076923076923078,0.6666666666666666,1.0,0.5,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.3076923076923077,0.5,0.5,1.0,,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.3,0.6666666666666666,,,0.2,0.5,0.46153846153846156,0.3333333333333333,0.4709153846153846,0.3978,0.47427,0.1875,0.23076923076923078,,0.7894736842105263,9.67,25.099999999999998,0.6119402985074627,,,,,,,,,,,,True,,,
1548,1610612750,Mark Blount,Mark Blount,1548,MIN,29679.0,495,-28,922,912,197,208,90.0,1834,24.0,40.0,8.0,18.0,3.0,7.0,10.0,36.0,29.0,58.0,,,,,,,,,,,,,63.0,134,,,33.0,159.0,963,12.0,27.0,,,6.0,30.0,10.0,31,,,11.0,31.0,100.0,26.0,,,14.0,,,,6.0,,13.0,1.0,14.0,1.0,,7.0,,6.0,29.0,5.0,22.0,14.0,47.0,8.0,69,27.0,96,5.0,10.0,5.0,5.0,9.0,1.0,3.0,26.0,2.0,6.0,6.0,35.0,4.0,4.0,33.0,69.0,7.0,6.0,43.0,5.0,4.0,49.0,3.0,,23.0,3.0,20.0,17.0,,3.0,20.0,8.0,2.0,31.0,197,5.0,3.0,0.7936507936507936,0.8928571428571429,,,,,,0.4701492537313433,0.4444444444444444,0.3225806451612903,0.4701492537313433,0.4444444444444444,0.3225806451612903,0.5063694267515924,0.4838709677419355,0.3974358974358974,,,0.04477611940298507,0.1,0.027777777777777776,0.017241379310344827,,18.786692759295498,0.2571428571428571,0.2962962962962963,0.13742690058479531,0.06896551724137931,0.13592233009708737,0.09090909090909091,0.13707865168539327,0.07219251336898395,0.11363636363636363,0.04477611940298507,0.054878048780487805,0.06818181818181818,0.11206896551724138,0.19736842105263158,0.12666666666666668,0.14473684210526316,0.1111111111111111,0.08064516129032258,0.4,0.29850746268656714,0.6,0.6666666666666666,0.6666666666666666,0.26865671641791045,0.2777777777777778,0.2857142857142857,0.6,0.43283582089552236,0.5,0.5087719298245614,0.9655172413793104,,,,,,,,,0.6666666666666666,0.4444444444444444,0.25,,,,,,,0.22580645161290322,0.42857142857142855,,,,,0.29850746268656714,,0.4466888059701492,0.5182625,0.4205677419354839,0.14935064935064934,0.14935064935064934,0.18867924528301888,0.1949685534591195,9.936567164179102,,0.21366594360086769,1.0,10.0,0.18181818181818182,,,,,,,,,True,,,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,15614.0,260,-15,480,484,124,147,64.0,964,6.0,11.0,2.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,,6.0,13,,,6.0,18.0,481,2.0,3.0,,,2.0,6.0,,1,,,2.0,2.0,8.0,4.0,,,4.0,,,,2.0,,4.0,1.0,5.0,1.0,,2.0,,2.0,11.0,6.0,13.0,4.0,27.0,,31,19.0,50,,6.0,3.0,3.0,6.0,,2.0,5.0,,4.0,,11.0,1.0,4.0,18.0,36.0,3.0,3.0,25.0,5.0,11.0,12.0,,,3.0,3.0,6.0,5.0,,1.0,6.0,4.0,1.0,2.0,124,2.0,3.0,0.6666666666666666,1.0,,,,,,0.46153846153846156,0.6666666666666666,,0.46153846153846156,0.6666666666666666,,0.47368421052631576,0.6,0.2,,,0.15384615384615385,0.18181818181818182,,,,5.44464609800363,0.5454545454545454,,0.15,0.07222222222222222,0.08163265306122448,0.1,0.13537117903930132,0.07916666666666666,0.047619047619047616,0.125,0.07058823529411765,0.11320754716981132,0.2,0.12244897959183673,0.14285714285714285,0.09523809523809523,,,0.6666666666666666,0.8461538461538461,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.15384615384615385,,,,,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,1.0,,,,,,0.8461538461538461,,0.504423076923077,0.4808333333333333,0.5806,0.1875,0.1875,0.3333333333333333,0.1111111111111111,1.5,,0.25833333333333336,,2.0,,,,,,,,,,True,,,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,26453.0,441,-29,832,817,305,296,91.0,1649,19.0,30.0,6.0,10.0,3.0,5.0,7.0,23.0,15.0,39.0,,,,,,,1.0,5.0,,,1.0,1.0,41.0,92,1.0,5.0,35.0,120.0,900,9.0,19.0,,,1.0,19.0,9.0,28,1.0,1.0,13.0,34.0,44.0,38.0,3.0,,6.0,2.0,3.0,1.0,7.0,,34.0,10.0,44.0,9.0,1.0,21.0,3.0,10.0,98.0,,16.0,6.0,19.0,5.0,30,16.0,46,2.0,11.0,8.0,3.0,11.0,,7.0,9.0,1.0,4.0,4.0,20.0,,6.0,17.0,33.0,1.0,2.0,36.0,2.0,1.0,47.0,3.0,,21.0,4.0,4.0,3.0,,1.0,4.0,3.0,1.0,34.0,305,5.0,4.0,0.5365853658536586,0.5789473684210527,1.0,0.2,,1.0,0.3333333333333333,0.44565217391304346,0.47368421052631576,0.32142857142857145,0.4381443298969072,0.47368421052631576,0.3620689655172414,0.5042016806722689,0.475,0.425,0.05154639175257732,,0.07608695652173914,0.2,,0.02564102564102564,,14.787234042553191,0.55,0.14705882352941177,0.060126582278481014,0.05460750853242321,0.06451612903225806,,0.061124694376528114,0.04395604395604396,0.0821917808219178,0.05714285714285714,0.04,,0.0782608695652174,0.0379746835443038,0.05737704918032787,0.04225352112676056,0.13636363636363635,0.045454545454545456,0.75,0.30927835051546393,0.6333333333333333,0.7916666666666666,0.5263157894736842,0.23711340206185566,0.30434782608695654,0.30434782608695654,0.2857142857142857,0.4020618556701031,0.38461538461538464,0.39473684210526316,0.6666666666666666,,,,,0.05154639175257732,0.2,0.2,1.0,0.5263157894736842,0.6,,,,,,,,0.1724137931034483,0.6,,,0.034482758620689655,1.0,0.36082474226804123,0.3333333333333333,0.44457631578947365,0.4389352941176471,0.39823965517241383,0.1826086956521739,0.19090909090909092,0.15833333333333333,0.2833333333333333,10.239130434782613,35.92,0.36658653846153844,1.0,,,,,,,,,,,True,,,
2060,1610612750,Marko Jaric,Marko Jaric,2060,MIN,28835.0,481,-22,882,881,211,232,103.0,1763,22.0,37.0,3.0,6.0,3.0,7.0,2.0,8.0,15.0,48.0,2.0,5.0,1.0,2.0,1.0,2.0,6.0,24.0,1.0,2.0,1.0,8.0,39.0,93,8.0,29.0,15.0,117.0,879,4.0,10.0,2.0,4.0,,14.0,3.0,16,2.0,10.0,4.0,16.0,30.0,48.0,24.0,,6.0,2.0,22.0,6.0,6.0,,43.0,15.0,58.0,11.0,4.0,15.0,9.0,19.0,131.0,5.0,11.0,13.0,32.0,6.0,51,16.0,67,4.0,26.0,18.0,8.0,13.0,4.0,11.0,16.0,2.0,2.0,3.0,29.0,1.0,4.0,17.0,43.0,1.0,2.0,31.0,1.0,1.0,21.0,1.0,,9.0,2.0,3.0,1.0,1.0,1.0,3.0,,1.0,16.0,211,5.0,2.0,0.38461538461538464,0.4166666666666667,1.0,0.27586206896551724,0.5,0.2,0.2962962962962963,0.41935483870967744,0.4,0.1875,0.4180327868852459,0.5,0.23076923076923078,0.4431818181818182,0.5,0.27586206896551724,0.23770491803278687,,0.06451612903225806,0.10810810810810811,0.25,,,15.988083416087388,0.4482758620689655,0.15789473684210525,0.08791208791208792,0.031609195402298854,0.13,0.04950495049504951,0.09698275862068965,0.035634743875278395,0.06382978723404255,0.025,0.017241379310344827,0.058823529411764705,0.07317073170731707,0.08247422680412371,0.10416666666666667,0.12345679012345678,0.15789473684210525,0.06060606060606061,,0.30327868852459017,0.5945945945945946,0.6666666666666666,0.3181818181818182,0.06557377049180328,0.25,0.3333333333333333,1.0,0.39344262295081966,0.3125,0.3125,0.4,0.040983606557377046,0.4,0.4,1.0,0.19672131147540983,0.25,0.25,1.0,0.42857142857142855,0.5,,0.14285714285714285,0.5,1.0,0.14285714285714285,0.5,1.0,0.2692307692307692,0.42857142857142855,0.07692307692307693,0.5,0.3076923076923077,0.125,0.5409836065573771,0.2727272727272727,0.48892874999999997,0.5077045454545455,0.475738,0.06923076923076923,0.0891089108910891,0.11965811965811966,0.13675213675213677,10.563440860215056,27.265517241379307,0.23922902494331066,1.0,1.0,,,,,,,,,,True,,,
2556,1610612750,Marcus Banks,Marcus Banks,2556,MIN,35371.0,590,-5,1133,1124,332,366,109.0,2257,41.0,66.0,1.0,4.0,14.0,20.0,5.0,14.0,33.0,82.0,,1.0,,,,,9.0,23.0,,,3.0,11.0,79.0,162,9.0,24.0,49.0,234.0,1191,2.0,9.0,,,2.0,6.0,26.0,45,3.0,11.0,30.0,91.0,58.0,100.0,15.0,12.0,2.0,,23.0,9.0,12.0,,83.0,16.0,99.0,11.0,5.0,38.0,12.0,33.0,214.0,3.0,7.0,16.0,27.0,5.0,48,10.0,58,1.0,24.0,8.0,16.0,25.0,9.0,17.0,22.0,1.0,8.0,2.0,47.0,4.0,14.0,24.0,62.0,1.0,7.0,49.0,1.0,2.0,62.0,4.0,2.0,24.0,8.0,2.0,,2.0,,2.0,1.0,,91.0,332,13.0,8.0,0.3670886075949367,0.3717948717948718,0.5555555555555556,0.375,,0.2727272727272727,0.375,0.4876543209876543,0.2222222222222222,0.5777777777777777,0.49731182795698925,0.2222222222222222,0.5446428571428571,0.544392523364486,0.3,0.6066666666666667,0.12903225806451613,,0.07407407407407407,0.12121212121212122,0.14285714285714285,0.024390243902439025,,20.69785884218874,0.5319148936170213,0.11627906976744186,0.06474820143884892,0.01837270341207349,0.13445378151260504,0.033707865168539325,0.08022388059701492,0.02127659574468085,0.017699115044247787,0.025974025974025976,0.015706806282722512,0.027777777777777776,0.053691275167785234,0.05555555555555555,0.07865168539325842,0.11627906976744186,0.18181818181818182,0.0125,0.5,0.3548387096774194,0.6212121212121212,0.7068965517241379,0.2926829268292683,0.07526881720430108,0.35714285714285715,0.4166666666666667,0.2,0.44086021505376344,0.4024390243902439,0.4125,0.48484848484848486,0.005376344086021506,,,,0.12365591397849462,0.391304347826087,0.391304347826087,0.5555555555555556,0.4444444444444444,0.25,,,,,,,,0.35714285714285715,0.7,,,0.19642857142857142,0.2727272727272727,0.4838709677419355,0.391304347826087,0.47569324324324347,0.432025,0.4703145454545455,0.11650485436893204,0.13186813186813187,0.02564102564102564,0.3888888888888889,10.82716049382716,26.487499999999997,0.29302736098852605,1.0,1.0,0.058823529411764705,,,,,,,,,True,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,17342.0,289,-63,517,515,108,81,60.0,1032,6.0,17.0,,,2.0,3.0,1.0,7.0,18.0,65.0,,,,,,,10.0,32.0,1.0,2.0,3.0,9.0,25.0,89,10.0,32.0,9.0,89.0,544,,1.0,1.0,2.0,,3.0,8.0,17,3.0,9.0,2.0,27.0,12.0,38.0,18.0,12.0,,,32.0,10.0,6.0,,31.0,9.0,40.0,6.0,3.0,16.0,6.0,9.0,89.0,1.0,2.0,3.0,10.0,1.0,14,3.0,17,2.0,3.0,2.0,1.0,10.0,1.0,8.0,7.0,1.0,2.0,,17.0,2.0,3.0,3.0,17.0,,1.0,22.0,,5.0,10.0,1.0,5.0,3.0,,,,,,,,,27.0,108,1.0,,0.24,0.24,0.6,0.3125,0.5,0.3333333333333333,0.3125,0.2808988764044944,,0.47058823529411764,0.3305785123966942,0.5,0.4807692307692308,0.34146341463414637,0.5,0.4807692307692308,0.2644628099173554,,0.06741573033707865,0.17647058823529413,,0.046153846153846156,,24.137931034482758,0.5882352941176471,0.05,0.04672897196261682,0.010362694300518135,0.058823529411764705,0.017543859649122806,0.04905660377358491,0.012,0.0196078431372549,,0.01020408163265306,0.02,0.04054054054054054,0.029850746268656716,0.0684931506849315,0.05128205128205128,0.08333333333333333,0.025974025974025976,,0.14049586776859505,0.35294117647058826,0.42857142857142855,0.5,0.05785123966942149,0.14285714285714285,0.14285714285714285,,0.5371900826446281,0.27692307692307694,0.2903225806451613,0.16666666666666666,,,,,0.2644628099173554,0.3125,0.3125,0.6,,,,,,,0.6666666666666666,0.5,1.0,0.11538461538461539,0.6666666666666666,,,0.34615384615384615,0.3333333333333333,0.4049586776859504,0.3125,0.4518824999999999,0.496625,0.42235,0.024390243902439025,0.03296703296703297,0.033707865168539325,0.30337078651685395,14.415730337078646,25.571875000000002,0.20889748549323017,1.0,,,,,,,,,,,True,,,
1853,1610612750,Anthony Carter,Anthony Carter,1853,MIN,10488.0,175,-45,327,330,78,94,39.0,657,5.0,10.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,17.0,,,,,,,2.0,5.0,1.0,1.0,,2.0,12.0,30,2.0,5.0,10.0,40.0,352,2.0,2.0,1.0,1.0,2.0,9.0,3.0,6,,2.0,2.0,8.0,8.0,16.0,3.0,3.0,2.0,1.0,4.0,2.0,,,24.0,11.0,35.0,8.0,3.0,14.0,4.0,6.0,81.0,,3.0,,10.0,1.0,11,3.0,14,,4.0,2.0,2.0,3.0,5.0,3.0,7.0,2.0,,,10.0,,4.0,6.0,16.0,2.0,,9.0,,,13.0,1.0,,6.0,1.0,2.0,,2.0,,2.0,2.0,,8.0,78,4.0,,0.3333333333333333,0.36363636363636365,0.5,0.4,1.0,,0.5,0.4,1.0,0.5,0.42857142857142855,1.1666666666666667,0.375,0.4878048780487805,1.125,0.4444444444444444,0.14285714285714285,,,,,,,13.550135501355014,0.3,0.08333333333333333,0.072992700729927,0.024390243902439025,,,0.06289308176100629,0.018518518518518517,0.022727272727272728,0.04,0.018518518518518517,,0.07407407407407407,0.0625,0.0784313725490196,,,,1.0,0.2857142857142857,0.5,0.5,0.2,0.08571428571428572,1.0,1.0,,0.4857142857142857,0.23529411764705882,0.23529411764705882,0.75,,,,,0.14285714285714285,0.4,0.4,0.5,0.6666666666666666,1.0,,,,,0.3333333333333333,1.0,,0.25,0.5,,,0.25,,0.42857142857142855,0.5,0.4749939393939394,0.5539499999999999,0.4735333333333333,0.15,0.17142857142857143,0.225,0.2,11.386666666666665,33.62,0.23853211009174313,,,,,,,,,,,,True,,,
2648,1610612750,Ronald Dupree,Ronald Dupree,2648,MIN,5356.0,89,-33,171,176,56,75,22.0,347,7.0,10.0,1.0,2.0,5.0,7.0,1.0,3.0,3.0,6.0,,,,,,,,,,,,,11.0,19,,,9.0,31.0,180,2.0,4.0,,,2.0,6.0,7.0,11,,,4.0,18.0,16.0,6.0,,,4.0,,,,2.0,,3.0,,3.0,,,2.0,,1.0,6.0,1.0,7.0,1.0,6.0,2.0,9,8.0,17,,4.0,4.0,,,,,3.0,1.0,,,3.0,1.0,1.0,6.0,18.0,1.0,2.0,16.0,1.0,3.0,19.0,1.0,,9.0,1.0,,,,,,,2.0,18.0,56,1.0,,0.7272727272727273,0.8888888888888888,,,,,,0.5789473684210527,0.5,0.6363636363636364,0.5789473684210527,0.5,0.6363636363636364,0.5535714285714286,0.5,0.6428571428571429,,,0.10526315789473684,0.1,0.3333333333333333,,,15.816326530612246,,0.5,0.10344827586206896,0.09722222222222222,0.06666666666666667,0.058823529411764705,0.0958904109589041,0.0898876404494382,0.09090909090909091,0.058823529411764705,0.12121212121212122,0.08333333333333333,0.05555555555555555,,0.1724137931034483,0.08333333333333333,,,,0.5263157894736842,0.7,0.7777777777777778,0.7142857142857143,0.15789473684210525,0.3333333333333333,0.5,1.0,0.3157894736842105,0.5,0.5,0.6666666666666666,,,,,,,,,0.5,0.5,,,,,,,,0.6363636363636364,0.7142857142857143,,,,,0.5263157894736842,,0.5173315789473684,0.5714,0.547490909090909,0.3333333333333333,0.3333333333333333,0.1935483870967742,0.5806451612903226,7.594736842105264,,0.32748538011695905,,,,,,,,,,,,True,,,
