EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Fg2aBlocked,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Loose Ball Fouls,BlockedLongMidRange,RecoveredBlocks,3SecondViolations,BlocksRecoveredPct,DefensiveGoaltends,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveMakes,on,Corner3PctBlocked,Blocked3s,BlockedCorner3,Clear Path Fouls,OffensiveGoaltends,BlockedArc3
101110,1610612757,Martell Webster,Martell Webster,101110,POR,15184.0,253,-40,470,472,160.0,144.0,53.0,942,9.0,11.0,3.0,3.0,2.0,3.0,2.0,2.0,11.0,25.0,4.0,19.0,1.0,3.0,10.0,6.0,24.0,1.0,1.0,9.0,22.0,38,10.0,43.0,13.0,87.0,507,4.0,5.0,2.0,1.0,9.0,5.0,8.0,4.0,19.0,4.0,26.0,24.0,20.0,30.0,4.0,24.0,6.0,7.0,4.0,11.0,3.0,1.0,2.0,3.0,2.0,26.0,1.0,3.0,1.0,5.0,15,20,5.0,25,6.0,4.0,2.0,7.0,3.0,5.0,7.0,2.0,14.0,2.0,3.0,23.0,2.0,14.0,1.0,3.0,14.0,1.0,1.0,7.0,3.0,3.0,3.0,1.0,26.0,160.0,9.0,0.5454545454545454,0.6,1.0,0.23255813953488372,0.21052631578947367,0.23255813953488372,0.5789473684210527,0.8,0.625,0.4567901234567901,0.5714285714285714,0.4074074074074074,0.4942528735632184,0.5625,0.43103448275862066,0.5308641975308642,18.84328358208955,0.5,0.03571428571428571,0.0847457627118644,0.021897810218978103,0.1,0.014925373134328358,0.0881057268722467,0.0196078431372549,0.02702702702702703,0.02564102564102564,0.01639344262295082,0.022727272727272728,0.056338028169014086,0.08888888888888889,0.11475409836065574,0.11428571428571428,0.06666666666666667,0.13580246913580246,0.8181818181818182,0.8181818181818182,0.5555555555555556,0.024691358024691357,1.0,1.0,0.5,0.30864197530864196,0.44,0.44,0.5454545454545454,0.2345679012345679,0.21052631578947367,0.21052631578947367,1.0,0.2962962962962963,0.25,0.25,1.0,0.42857142857142855,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.6666666666666666,0.37037037037037035,0.3,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.25,0.502367901234568,0.4590000000000001,0.4992166666666667,0.08045977011494253,0.1590909090909091,0.10344827586206896,0.2988505747126437,12.907894736842104,24.102325581395352,0.3404255319148936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
101127,1610612757,Jarrett Jack,Jarrett Jack,101127,POR,36491.0,608,-74,1117,1119,350.0,340.0,134.0,2236,23.0,40.0,2.0,4.0,11.0,19.0,19.0,38.0,23.0,61.0,2.0,10.0,1.0,,2.0,2.0,17.0,,,6.0,65.0,139,4.0,27.0,45.0,187.0,1176,4.0,9.0,1.0,,8.0,21.0,42.0,,8.0,14.0,56.0,44.0,86.0,12.0,2.0,16.0,2.0,69.0,12.0,81.0,5.0,7.0,27.0,12.0,30.0,174.0,2.0,1.0,1.0,16.0,47,68,4.0,72,9.0,4.0,5.0,17.0,5.0,12.0,21.0,5.0,38.0,14.0,25.0,60.0,7.0,47.0,,4.0,60.0,8.0,8.0,26.0,1.0,,1.0,,56.0,350.0,8.0,0.3384615384615385,0.34375,1.0,0.14814814814814814,,0.15384615384615385,0.4676258992805755,0.4444444444444444,0.5,0.42771084337349397,0.4,0.42,0.48138297872340424,0.4,0.4824561403508772,0.16265060240963855,17.865612648221344,0.4473684210526316,0.018518518518518517,0.1111111111111111,0.002512562814070352,0.12903225806451613,0.020833333333333332,0.11517367458866545,0.006072874493927126,0.008403361344537815,,,,0.11538461538461539,0.09345794392523364,0.11875,0.0963855421686747,0.1951219512195122,0.24096385542168675,0.575,0.6764705882352942,0.34782608695652173,0.2289156626506024,0.5,0.5428571428571428,0.21052631578947367,0.3674698795180723,0.3770491803278688,0.38333333333333336,0.43478260869565216,0.060240963855421686,0.2,0.2,1.0,0.10240963855421686,0.11764705882352941,0.11764705882352941,1.0,0.4,0.5,0.5,0.1,,0.38,0.5789473684210527,0.04,,0.12,,0.4036144578313253,0.125,0.45219969696969686,0.466225,0.4692551020408163,0.14130434782608695,0.16560509554140126,0.0427807486631016,0.2994652406417112,10.827338129496402,24.929629629629627,0.3133393017009848,1.0,10.0,5.0,2.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,0.07194244604316546,0.15,0.07894736842105263,0.01639344262295082,0.13157894736842105,0.06451612903225806,0.024096385542168676,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1520,1610612757,Charles Smith,Charles Smith,1520,POR,3484.0,58,3,112,113,41.0,39.0,15.0,225,,4.0,,2.0,,,,1.0,3.0,5.0,2.0,4.0,1.0,,2.0,2.0,4.0,,1.0,2.0,3.0,10,4.0,8.0,4.0,22.0,107,,3.0,1.0,,3.0,2.0,4.0,1.0,4.0,,7.0,6.0,,12.0,,4.0,2.0,5.0,,5.0,,,3.0,1.0,1.0,10.0,1.0,,,1.0,3,5,1.0,6,2.0,2.0,,1.0,,1.0,2.0,,3.0,,3.0,13.0,2.0,3.0,,,6.0,,,2.0,1.0,1.0,1.0,,7.0,41.0,2.0,1.0,1.0,1.0,0.5,0.25,0.5,0.3,,0.5,0.5,0.375,0.4375,0.5238095238095238,0.375,0.3888888888888889,0.4444444444444444,18.46153846153846,0.3333333333333333,,0.07142857142857142,,0.1111111111111111,0.07142857142857142,0.0784313725490196,0.0196078431372549,,,,0.1,,0.16666666666666666,0.07142857142857142,,0.3333333333333333,0.2222222222222222,,,,0.05555555555555555,,,,0.2777777777777778,0.6,0.6,1.0,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,0.5,,,0.25,,,,0.25,,0.25,0.5,0.6666666666666666,0.5,0.5182222222222223,0.623775,0.47178749999999997,0.1,0.16666666666666666,0.13636363636363635,0.3181818181818182,10.39,24.049999999999997,0.36607142857142855,,3.0,1.0,,,,,,1.0,,1.0,0.3,0.5,1.0,,0.16666666666666666,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,
1739,1610612757,Ruben Patterson,Ruben Patterson,1739,POR,30997.0,517,-55,929,950,343.0,316.0,117.0,1879,75.0,131.0,8.0,19.0,27.0,44.0,9.0,47.0,2.0,8.0,,,,,,,5.0,,,4.0,86.0,186,,5.0,82.0,254.0,1019,9.0,24.0,,5.0,23.0,32.0,65.0,,4.0,42.0,106.0,88.0,84.0,,14.0,2.0,,20.0,4.0,24.0,3.0,1.0,14.0,1.0,5.0,52.0,6.0,26.0,,18.0,22,44,32.0,76,24.0,16.0,8.0,22.0,4.0,9.0,25.0,13.0,47.0,17.0,10.0,39.0,7.0,90.0,5.0,4.0,133.0,14.0,,56.0,4.0,2.0,4.0,3.0,106.0,343.0,8.0,0.5116279069767442,0.5569620253164557,,,,,0.46236559139784944,0.375,0.49230769230769234,0.450261780104712,0.375,0.463768115942029,0.5059760956175299,0.38333333333333336,0.53,0.02617801047120419,27.576601671309195,0.46808510638297873,,0.06267806267806268,0.07647058823529412,0.16666666666666666,0.08333333333333333,0.08714596949891068,0.07766990291262135,0.06201550387596899,0.11458333333333333,0.06086956521739131,0.0784313725490196,0.0625,0.07954545454545454,0.05185185185185185,0.17391304347826086,0.15384615384615385,0.6858638743455497,0.5725190839694656,0.7075471698113207,0.5333333333333333,0.24607329842931938,0.19148936170212766,0.20930232558139536,0.2222222222222222,0.041884816753926704,0.25,0.2857142857142857,1.0,,,,,0.02617801047120419,,,,0.7916666666666666,0.42105263157894735,0.25,,,0.6376811594202898,0.6136363636363636,,,0.057971014492753624,,0.7120418848167539,,0.5200106951871657,0.4897052631578947,0.5000439393939394,0.24034334763948498,0.24561403508771928,0.09055118110236221,0.41732283464566927,2.984408602150537,50.62,0.36921420882669537,3.0,30.0,4.0,6.0,3.0,1.0,9.0,3.0,18.0,1.0,14.0,0.16129032258064516,0.19083969465648856,0.0851063829787234,0.125,0.13793103448275862,0.09523809523809523,0.08823529411764706,,,,,,3.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,True,,,,,,
689,1610612757,Theo Ratliff,Theo Ratliff,689,POR,78083.0,1301,-184,2374,2380,692.0,731.0,287.0,4754,58.0,81.0,19.0,32.0,16.0,23.0,43.0,88.0,7.0,20.0,,,,,,,,,,,108.0,189,,,54.0,270.0,2557,24.0,42.0,,12.0,60.0,26.0,44.0,,,19.0,71.0,128.0,88.0,,40.0,,,18.0,10.0,28.0,8.0,2.0,8.0,3.0,7.0,66.0,20.0,65.0,4.0,40.0,129,190,89.0,279,18.0,16.0,2.0,19.0,5.0,8.0,28.0,11.0,47.0,5.0,68.0,143.0,13.0,101.0,11.0,19.0,83.0,5.0,,35.0,88.0,70.0,88.0,7.0,71.0,692.0,19.0,0.5925925925925926,0.7272727272727273,,,,,0.5714285714285714,0.5714285714285714,0.5909090909090909,0.5714285714285714,0.5714285714285714,0.5909090909090909,0.5921052631578947,0.5882352941176471,0.6120689655172413,,10.114012504597278,0.40425531914893614,0.043478260869565216,0.15017462165308498,0.07566938300349244,0.14545454545454545,0.09009009009009009,0.1490299823633157,0.0786308973172988,0.08455882352941177,0.0743801652892562,0.06956521739130435,0.09032258064516129,0.13015873015873017,0.12844036697247707,0.18404907975460122,0.13756613756613756,0.16279069767441862,0.42857142857142855,0.7160493827160493,0.7532467532467533,0.6379310344827587,0.4656084656084656,0.48863636363636365,0.5058823529411764,0.46511627906976744,0.10582010582010581,0.35,0.35,1.0,,,,,,,,,0.7619047619047619,0.59375,0.10526315789473684,,,0.5227272727272727,0.6956521739130435,,,,,0.42857142857142855,,0.45514179894179896,0.5182542857142858,0.47871363636363623,0.1598173515981735,0.1598173515981735,0.2222222222222222,0.26296296296296295,5.446560846560846,,0.2914911541701769,,7.0,21.0,4.0,2.0,1.0,2.0,8.0,9.0,17.0,8.0,0.037037037037037035,0.04938271604938271,0.03409090909090909,,0.2916666666666667,0.08955223880597014,0.05405405405405406,,,,,,11.0,1.0,56.0,4.0,0.6363636363636364,11.0,,,,,,,,,,,True,,,,,,
2216,1610612757,Zach Randolph,Zach Randolph,2216,POR,46501.0,775,-82,1387,1383,370.0,399.0,179.0,2770,88.0,156.0,40.0,66.0,21.0,38.0,34.0,91.0,49.0,122.0,2.0,6.0,1.0,2.0,3.0,1.0,7.0,,1.0,4.0,171.0,369,3.0,13.0,91.0,442.0,1490,48.0,85.0,1.0,16.0,112.0,36.0,82.0,3.0,7.0,35.0,116.0,162.0,180.0,9.0,64.0,7.0,1.0,27.0,21.0,48.0,21.0,,12.0,3.0,12.0,117.0,14.0,57.0,4.0,22.0,85,117,75.0,192,18.0,11.0,7.0,28.0,2.0,7.0,30.0,21.0,58.0,11.0,22.0,64.0,14.0,107.0,7.0,4.0,124.0,15.0,2.0,54.0,2.0,,2.0,1.0,116.0,370.0,9.0,0.47368421052631576,0.5827338129496403,1.0,0.23076923076923078,0.42857142857142855,0.23076923076923078,0.4634146341463415,0.5647058823529412,0.43902439024390244,0.4594240837696335,0.5581395348837209,0.4550561797752809,0.5057339449541285,0.5894736842105263,0.5321100917431193,0.034031413612565446,30.545229244114,0.4827586206896552,0.1,0.17276422764227642,0.1043956043956044,0.14193548387096774,0.11666666666666667,0.16537867078825347,0.1066066066066066,0.18823529411764706,0.09032258064516129,0.049773755656108594,0.12222222222222222,0.21084337349397592,0.1953125,0.12626262626262627,0.1619047619047619,0.1,0.4083769633507853,0.5641025641025641,0.6376811594202898,0.4431818181818182,0.23821989528795812,0.37362637362637363,0.4146341463414634,0.35294117647058826,0.3193717277486911,0.4016393442622951,0.4049586776859504,0.6122448979591837,0.015706806282722512,0.3333333333333333,0.3333333333333333,1.0,0.01832460732984293,0.14285714285714285,0.14285714285714285,1.0,0.7674418604651163,0.6060606060606061,0.2,0.011627906976744186,,0.42696629213483145,0.5526315789473685,0.033707865168539325,0.6666666666666666,0.0449438202247191,0.25,0.4424083769633508,0.14285714285714285,0.460619895287958,0.5209378205128206,0.4556685393258427,0.12826603325415678,0.1323529411764706,0.25339366515837103,0.26244343891402716,8.22710027100271,24.030769230769234,0.26676279740447006,,28.0,10.0,17.0,3.0,2.0,6.0,5.0,15.0,2.0,12.0,0.07588075880758807,0.11538461538461539,0.0989010989010989,0.00819672131147541,0.2564102564102564,0.1,0.09497206703910614,,,,,,8.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,True,,,,,,
2032,1610612757,Darius Miles,Darius Miles,2032,POR,16067.0,268,-17,483,489,171.0,176.0,55.0,972,23.0,38.0,3.0,5.0,6.0,10.0,7.0,18.0,14.0,41.0,,2.0,,,1.0,1.0,2.0,,1.0,1.0,44.0,97,1.0,4.0,25.0,116.0,502,6.0,10.0,,1.0,13.0,16.0,31.0,1.0,2.0,18.0,53.0,52.0,36.0,3.0,6.0,2.0,1.0,14.0,3.0,17.0,3.0,,3.0,2.0,9.0,37.0,2.0,7.0,,14.0,23,39,9.0,48,10.0,8.0,2.0,11.0,1.0,9.0,10.0,2.0,21.0,13.0,5.0,14.0,4.0,35.0,2.0,,44.0,6.0,,14.0,10.0,5.0,10.0,1.0,53.0,171.0,3.0,0.5909090909090909,0.6341463414634146,1.0,0.25,0.5,0.25,0.4536082474226804,0.6,0.5161290322580645,0.4504950495049505,0.6,0.5303030303030303,0.48333333333333334,0.5416666666666666,0.5638297872340425,0.039603960396039604,25.58983666061706,0.5238095238095238,,0.11616161616161616,0.03888888888888889,0.23333333333333334,0.05714285714285714,0.1434108527131783,0.04186046511627907,0.05084745762711865,0.02127659574468085,0.04054054054054054,0.07142857142857142,0.06060606060606061,0.0425531914893617,0.2,0.2682926829268293,0.15789473684210525,0.37623762376237624,0.6052631578947368,0.6764705882352942,0.4782608695652174,0.1782178217821782,0.3888888888888889,0.4666666666666667,0.7142857142857143,0.40594059405940597,0.34146341463414637,0.34146341463414637,0.7142857142857143,0.019801980198019802,,,,0.019801980198019802,0.5,0.5,1.0,0.5,0.6,,,,0.30303030303030304,0.6,0.030303030303030304,,0.030303030303030304,1.0,0.4158415841584158,0.5,0.4626925742574257,0.48961428571428567,0.44963939393939395,0.12844036697247707,0.13333333333333333,0.11206896551724138,0.45689655172413796,9.901030927835052,24.200000000000003,0.35403726708074534,,7.0,2.0,2.0,,,2.0,,11.0,3.0,11.0,0.07216494845360824,0.10526315789473684,0.16666666666666666,,0.1,,0.041666666666666664,,,,,,,2.0,6.0,,0.6,1.0,,,,,,,,,,,True,,,,,,
2038,1610612757,Joel Przybilla,Joel Przybilla,2038,POR,825.0,14,4,26,26,4.0,10.0,2.0,52,,,,,,,,1.0,,,,,,,,,,,,,,1,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5,6,,6,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,3.571428571428571,,,0.3125,,0.25,,0.3,,,,,,0.25,0.75,,0.25,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4006,,,,,,,13.4,,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,True,,,,,,
2413,1610612757,Juan Dixon,Juan Dixon,2413,POR,43135.0,719,-125,1328,1332,383.0,442.0,167.0,2660,36.0,62.0,4.0,8.0,12.0,18.0,22.0,48.0,54.0,132.0,11.0,26.0,2.0,2.0,8.0,16.0,48.0,,3.0,16.0,112.0,242,27.0,74.0,61.0,366.0,1477,8.0,22.0,2.0,3.0,22.0,28.0,61.0,5.0,24.0,35.0,106.0,104.0,120.0,63.0,4.0,48.0,16.0,54.0,4.0,58.0,2.0,2.0,30.0,11.0,13.0,120.0,2.0,6.0,,14.0,40,56,8.0,64,16.0,4.0,12.0,28.0,7.0,18.0,19.0,10.0,47.0,11.0,22.0,64.0,2.0,55.0,,5.0,79.0,5.0,7.0,23.0,2.0,2.0,2.0,,106.0,383.0,12.0,0.4642857142857143,0.4727272727272727,0.7777777777777778,0.36486486486486486,0.20833333333333334,0.36486486486486486,0.4628099173553719,0.36363636363636365,0.45901639344262296,0.4825949367088608,0.3958333333333333,0.4176470588235294,0.5171919770773639,0.4230769230769231,0.5,0.23417721518987342,25.984251968503937,0.5957446808510638,,0.08771929824561403,0.012170385395537525,0.08588957055214724,0.015873015873015872,0.08723747980613894,0.012924071082390954,0.023809523809523808,0.014492753623188406,,,0.0880503144654088,0.07692307692307693,0.09580838323353294,0.09009009009009009,0.07692307692307693,0.1962025316455696,0.5806451612903226,0.6923076923076923,0.4722222222222222,0.1518987341772152,0.4583333333333333,0.5,0.3181818181818182,0.4177215189873418,0.4090909090909091,0.421875,0.5185185185185185,0.08227848101265822,0.4230769230769231,0.4230769230769231,0.8181818181818182,0.1518987341772152,0.3333333333333333,0.3333333333333333,0.75,0.3333333333333333,0.5,0.25,0.08333333333333333,,0.21176470588235294,0.6666666666666666,0.09411764705882353,0.25,0.18823529411764706,0.1875,0.43037974683544306,0.3333333333333333,0.4608841772151899,0.47706842105263164,0.4554870588235294,0.07164179104477612,0.08846153846153847,0.060109289617486336,0.2896174863387978,12.26487603305785,24.155405405405407,0.2884036144578313,,18.0,2.0,2.0,3.0,2.0,4.0,3.0,14.0,,14.0,0.0743801652892562,0.16129032258064516,0.08333333333333333,0.030303030303030304,0.05405405405405406,0.05555555555555555,0.013071895424836602,1.0,1.0,0.5,0.5,1.0,1.0,,1.0,,0.5,,18.0,1.0,0.013333333333333334,,,,,,,,True,,,,,,
2566,1610612757,Travis Outlaw,Travis Outlaw,2566,POR,22640.0,377,-55,687,680,167.0,155.0,75.0,1367,11.0,22.0,4.0,7.0,,1.0,5.0,17.0,29.0,55.0,2.0,9.0,1.0,1.0,1.0,3.0,12.0,1.0,1.0,4.0,45.0,94,5.0,21.0,21.0,126.0,714,7.0,13.0,2.0,5.0,22.0,8.0,17.0,2.0,5.0,1.0,23.0,56.0,34.0,12.0,8.0,12.0,3.0,9.0,3.0,12.0,1.0,2.0,6.0,1.0,2.0,27.0,5.0,12.0,1.0,5.0,40,47,18.0,65,12.0,5.0,7.0,4.0,1.0,2.0,9.0,2.0,13.0,2.0,15.0,43.0,4.0,23.0,3.0,,31.0,1.0,,16.0,11.0,9.0,11.0,1.0,23.0,167.0,6.0,0.6222222222222222,0.6829268292682927,0.8,0.23809523809523808,0.4,0.23809523809523808,0.4787234042553192,0.5384615384615384,0.47058823529411764,0.45652173913043476,0.5666666666666667,0.5,0.4846153846153846,0.6111111111111112,0.5,0.1826086956521739,18.547341115434502,0.3076923076923077,0.047619047619047616,0.14492753623188406,0.047619047619047616,0.07462686567164178,0.07575757575757576,0.13119533527696792,0.05345911949685535,0.058823529411764705,0.06666666666666667,0.027522935779816515,0.07142857142857142,0.09090909090909091,0.12698412698412698,0.21359223300970873,0.043478260869565216,0.14285714285714285,0.19130434782608696,0.5,0.5789473684210527,0.6363636363636364,0.14782608695652175,0.29411764705882354,0.3333333333333333,0.4,0.4782608695652174,0.5272727272727272,0.5576923076923077,0.6551724137931034,0.0782608695652174,0.2222222222222222,0.2222222222222222,0.5,0.10434782608695652,0.25,0.2727272727272727,1.0,0.4666666666666667,0.5714285714285714,0.25,0.06666666666666667,0.06666666666666667,0.045454545454545456,,0.045454545454545456,1.0,0.18181818181818182,0.25,0.3739130434782609,0.25,0.4489691304347827,0.4852499999999999,0.39690681818181817,0.12307692307692308,0.14678899082568808,0.1746031746031746,0.18253968253968253,13.251063829787233,24.36190476190476,0.2430858806404658,,8.0,2.0,2.0,2.0,1.0,,,,1.0,,0.0851063829787234,0.13636363636363635,0.11764705882352941,0.05454545454545454,0.13333333333333333,0.08333333333333333,0.03636363636363636,1.0,1.0,0.5,1.0,,1.0,1.0,7.0,,0.6363636363636364,2.0,3.0,,,1.0,0.047619047619047616,0.08333333333333333,,,,,True,,,,,,
