EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,HeaveMakes,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,on
101111,1610612761,Charlie Villanueva,Charlie Villanueva,101111,TOR,53096.0,885,-33,1713,1723,570,638,199.0,3436,91.0,140.0,32.0,45.0,34.0,50.0,52.0,115.0,18.0,51.0,8.0,26.0,1.0,2.0,5.0,12.0,20.0,57.0,1.0,3.0,3.0,17.0,161.0,306.0,28.0,83.0,42.0,448.0,1912,38.0,56.0,2.0,5.0,11.0,93.0,53.0,94.0,8.0,29.0,19.0,149.0,182.0,140.0,81.0,3.0,54.0,1.0,56.0,20.0,17.0,23.0,10.0,33.0,4.0,6.0,9.0,1.0,13.0,76.0,15.0,47.0,3.0,32.0,75,23.0,130,65.0,195,8.0,32.0,20.0,12.0,27.0,2.0,15.0,21.0,1.0,12.0,4.0,48.0,5.0,13.0,66.0,116.0,12.0,11.0,63.0,7.0,5.0,64.0,8.0,33.0,3.0,32.0,26.0,2.0,4.0,32.0,19.0,1.0,2.0,149.0,570,9.0,3.0,0.5652173913043478,0.6791044776119403,0.9642857142857143,0.3373493975903614,0.4,0.27586206896551724,0.34146341463414637,0.5261437908496732,0.6785714285714286,0.5638297872340425,0.5218508997429306,0.6721311475409836,0.5284552845528455,0.5371702637889688,0.6940298507462687,0.5559701492537313,0.2133676092544987,0.05555555555555555,0.06428571428571428,0.06956521739130435,23.8828967642527,0.5625,0.3150684931506849,0.05263157894736842,0.1358695652173913,0.08188153310104529,0.15609756097560976,0.07246376811594203,0.14134742404227213,0.0793854033290653,0.1485148514851485,0.040697674418604654,0.05,0.09090909090909091,0.04,0.1210762331838565,0.14634146341463414,0.14563106796116504,0.1437908496732026,0.19230769230769232,0.044444444444444446,0.59375,0.35989717223650386,0.65,0.6946564885496184,0.5714285714285714,0.29562982005141386,0.45217391304347826,0.48598130841121495,0.5576923076923077,0.13110539845758354,0.35294117647058826,0.35294117647058826,0.5555555555555556,0.06683804627249357,0.3076923076923077,0.3076923076923077,1.0,0.14652956298200515,0.3508771929824561,0.3508771929824561,0.95,0.7377049180327869,0.7111111111111111,0.09375,0.03278688524590164,0.5,1.0,0.04918032786885246,0.3333333333333333,1.0,0.4065040650406504,0.68,0.0975609756097561,0.4166666666666667,0.13821138211382114,0.17647058823529413,0.5732647814910026,0.35714285714285715,0.4864862113402062,0.5082602040816325,0.4925758196721312,0.07971014492753623,0.09969788519637462,0.20758928571428573,0.3325892857142857,6.307843137254901,24.84939759036144,0.3327495621716287,,,,,,,,,,,,,,,,,True
101121,1610612761,Joey Graham,Joey Graham,101121,TOR,37368.0,623,-18,1189,1202,362,420,126.0,2391,28.0,46.0,3.0,6.0,9.0,14.0,19.0,36.0,18.0,48.0,7.0,20.0,1.0,3.0,1.0,5.0,4.0,18.0,,2.0,2.0,5.0,65.0,130.0,11.0,38.0,55.0,218.0,1296,9.0,17.0,1.0,5.0,7.0,28.0,16.0,37.0,3.0,10.0,20.0,61.0,86.0,44.0,33.0,,6.0,1.0,17.0,4.0,11.0,19.0,4.0,23.0,1.0,3.0,10.0,5.0,4.0,50.0,6.0,18.0,2.0,16.0,44,13.0,73,26.0,99,3.0,10.0,8.0,2.0,8.0,4.0,5.0,25.0,2.0,3.0,3.0,33.0,2.0,2.0,44.0,90.0,8.0,12.0,57.0,3.0,9.0,67.0,5.0,29.0,7.0,6.0,5.0,1.0,,6.0,2.0,,,61.0,362,12.0,6.0,0.6615384615384615,0.6935483870967742,1.0,0.2894736842105263,0.2,0.3,0.2972972972972973,0.5,0.5294117647058824,0.43243243243243246,0.4851190476190476,0.4772727272727273,0.43617021276595747,0.5477386934673367,0.5384615384615384,0.5258620689655172,0.2261904761904762,0.08461538461538462,0.10869565217391304,0.1111111111111111,17.391304347826086,0.24242424242424243,0.21666666666666667,0.05714285714285714,0.1164021164021164,0.043373493975903614,0.10191082802547771,0.046875,0.11214953271028037,0.04419889502762431,0.051470588235294115,0.017094017094017096,0.05555555555555555,0.04395604395604396,0.05405405405405406,0.05755395683453238,0.15555555555555556,0.1476510067114094,0.09009009009009009,0.13043478260869565,0.03896103896103896,0.3333333333333333,0.27380952380952384,0.6086956521739131,0.6829268292682927,0.75,0.21428571428571427,0.5277777777777778,0.59375,0.3684210526315789,0.2857142857142857,0.375,0.391304347826087,0.8333333333333334,0.11904761904761904,0.35,0.35,1.0,0.10714285714285714,0.2222222222222222,0.2222222222222222,1.0,0.2727272727272727,0.5,,0.13636363636363635,0.3333333333333333,1.0,0.09090909090909091,,,0.2978723404255319,0.6428571428571429,0.10638297872340426,0.2,0.10638297872340426,0.4,0.5,0.23529411764705882,0.47916467065868257,0.4865900000000001,0.4739152173913044,0.15104166666666666,0.18831168831168832,0.12844036697247707,0.2798165137614679,8.766153846153848,24.84473684210526,0.30445752733389403,1.0,2.0,0.041666666666666664,,,,,,,,,,,,,,True
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,89197.0,1487,-108,2841,2861,936,996,316.0,5702,67.0,126.0,6.0,9.0,19.0,31.0,7.0,30.0,51.0,113.0,2.0,10.0,,,1.0,4.0,5.0,33.0,,2.0,,12.0,125.0,269.0,7.0,43.0,78.0,349.0,3171,11.0,18.0,,2.0,,22.0,30.0,69.0,1.0,16.0,35.0,98.0,64.0,186.0,15.0,6.0,8.0,2.0,31.0,5.0,29.0,185.0,103.0,288.0,68.0,35.0,80.0,33.0,72.0,679.0,6.0,23.0,1.0,29.0,78,4.0,111,30.0,141,3.0,42.0,22.0,20.0,65.0,13.0,47.0,36.0,9.0,18.0,4.0,101.0,6.0,18.0,45.0,93.0,,2.0,96.0,2.0,13.0,92.0,8.0,31.0,18.0,4.0,2.0,1.0,1.0,4.0,3.0,,3.0,98.0,936,11.0,17.0,0.256,0.2644628099173554,0.7142857142857143,0.16279069767441862,,0.0625,0.17073170731707318,0.4646840148698885,0.6111111111111112,0.43478260869565216,0.4342948717948718,0.55,0.37058823529411766,0.49291784702549574,0.55,0.46634615384615385,0.13782051282051283,0.10780669144981413,0.19047619047619047,0.13333333333333333,14.17421167655323,0.6435643564356436,0.032520325203252036,0.01098901098901099,0.08505997818974918,0.024083769633507852,0.08734939759036145,0.017142857142857144,0.08566853482786228,0.022222222222222223,0.031446540880503145,0.014234875444839857,0.025280898876404494,0.009302325581395349,0.02962962962962963,0.06784660766961652,0.06944444444444445,0.11049723756906077,0.08333333333333333,0.09782608695652174,0.02054794520547945,0.75,0.40384615384615385,0.5317460317460317,0.6568627450980392,0.19402985074626866,0.09615384615384616,0.23333333333333334,0.2692307692307692,0.14285714285714285,0.36217948717948717,0.45132743362831856,0.45535714285714285,0.35294117647058826,0.03205128205128205,0.2,0.2,1.0,0.10576923076923077,0.15151515151515152,0.15151515151515152,0.6,0.45,0.6666666666666666,0.16666666666666666,,,,0.1,,,0.36470588235294116,0.6129032258064516,0.047058823529411764,0.25,0.1411764705882353,,0.5416666666666666,0.16129032258064516,0.49000064724919085,0.46245,0.4824457831325301,0.09253731343283582,0.10616438356164383,0.06303724928366762,0.2808022922636103,9.177695167286243,26.51627906976744,0.32946145723336856,,,0.008849557522123894,3.0,2.0,,,,,,,,,,,,True
147,1610612761,Jalen Rose,Jalen Rose,147,TOR,27014.0,450,-46,855,861,288,292,88.0,1716,15.0,31.0,,,4.0,6.0,23.0,47.0,24.0,58.0,9.0,25.0,,1.0,3.0,8.0,2.0,14.0,,1.0,,5.0,62.0,136.0,11.0,39.0,80.0,237.0,978,4.0,6.0,,2.0,4.0,12.0,20.0,37.0,3.0,13.0,49.0,98.0,34.0,90.0,30.0,3.0,,,14.0,2.0,11.0,31.0,15.0,46.0,7.0,8.0,18.0,8.0,5.0,107.0,1.0,2.0,,17.0,25,8.0,50,3.0,53,2.0,8.0,,8.0,4.0,,3.0,13.0,2.0,1.0,1.0,17.0,,6.0,20.0,44.0,4.0,5.0,70.0,1.0,2.0,96.0,5.0,28.0,20.0,2.0,1.0,,1.0,2.0,2.0,,,98.0,288,4.0,18.0,0.27419354838709675,0.27419354838709675,0.9090909090909091,0.28205128205128205,,0.23076923076923078,0.28205128205128205,0.45588235294117646,0.6666666666666666,0.5405405405405406,0.44857142857142857,0.5,0.49,0.5344036697247706,0.6,0.6298701298701299,0.22285714285714286,0.08088235294117647,0.25806451612903225,0.06382978723404255,24.581589958158993,0.23529411764705882,0.21621621621621623,,0.0847457627118644,0.006872852233676976,0.18681318681318682,0.01,0.10880829015544041,0.0076726342710997444,,0.011235955056179775,0.009615384615384616,0.017543859649122806,,0.05309734513274336,0.07407407407407407,0.1171875,0.19696969696969696,0.16,0.02197802197802198,1.0,0.17714285714285713,0.4838709677419355,0.6521739130434783,0.4,0.26857142857142857,0.48936170212765956,0.5227272727272727,0.043478260869565216,0.3314285714285714,0.41379310344827586,0.41379310344827586,0.4166666666666667,0.14285714285714285,0.36,0.36,0.8888888888888888,0.08,0.14285714285714285,0.14285714285714285,1.0,,,,0.125,,,0.125,,,0.12,0.6666666666666666,0.16,0.375,0.1,,0.4,0.14285714285714285,0.46181228571428573,0.412375,0.464362,0.1414141414141414,0.1761006289308176,0.05063291139240506,0.41350210970464135,10.797058823529413,24.048717948717947,0.3368421052631579,,,,3.0,5.0,,,,,,,,,,,,True
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,59769.0,996,-78,1911,1921,672,717,207.0,3832,48.0,76.0,4.0,7.0,18.0,23.0,11.0,35.0,32.0,82.0,42.0,88.0,4.0,11.0,17.0,34.0,22.0,71.0,2.0,5.0,8.0,32.0,91.0,193.0,64.0,159.0,81.0,455.0,2133,8.0,12.0,6.0,16.0,9.0,43.0,29.0,50.0,25.0,66.0,38.0,171.0,100.0,82.0,177.0,15.0,10.0,7.0,63.0,21.0,6.0,46.0,10.0,56.0,4.0,6.0,21.0,6.0,19.0,122.0,3.0,10.0,1.0,32.0,73,8.0,113,14.0,127,4.0,32.0,22.0,10.0,20.0,4.0,9.0,21.0,1.0,11.0,2.0,41.0,2.0,13.0,31.0,77.0,4.0,9.0,89.0,2.0,13.0,107.0,13.0,41.0,14.0,5.0,4.0,,1.0,5.0,4.0,,,171.0,672,13.0,13.0,0.5494505494505495,0.5813953488372093,0.921875,0.4025157232704403,0.375,0.3787878787878788,0.4144736842105263,0.47150259067357514,0.6666666666666666,0.58,0.53125,0.6071428571428571,0.5732758620689655,0.5721518987341773,0.6515151515151515,0.6296296296296297,0.45170454545454547,0.031088082901554404,0.039473684210526314,0.05714285714285714,20.297951582867782,0.4878048780487805,0.1,0.015873015873015872,0.11812297734627832,0.01592356687898089,0.1523809523809524,0.012244897959183673,0.12681159420289856,0.014891179839633447,0.020512820512820513,0.009950248756218905,0.017241379310344827,0.013888888888888888,0.009900990099009901,0.06751054852320675,0.10135135135135136,0.18025751072961374,0.14583333333333334,0.16666666666666666,0.022727272727272728,0.8,0.2159090909090909,0.631578947368421,0.6575342465753424,0.5,0.09943181818181818,0.3142857142857143,0.3333333333333333,0.45454545454545453,0.23295454545454544,0.3902439024390244,0.3950617283950617,0.65625,0.25,0.4772727272727273,0.4827586206896552,0.9761904761904762,0.20170454545454544,0.30985915492957744,0.3142857142857143,0.8181818181818182,0.25,0.5714285714285714,,0.39285714285714285,0.36363636363636365,0.75,0.17857142857142858,0.4,0.5,0.19827586206896552,0.782608695652174,0.29310344827586204,0.5,0.27586206896551724,0.25,0.6676136363636364,0.3333333333333333,0.514693168604651,0.5546785714285714,0.5056083333333335,0.11548556430446194,0.18552036199095023,0.0945054945054945,0.3758241758241758,9.522279792746115,25.152201257861627,0.3516483516483517,1.0,,0.012195121951219513,4.0,5.0,1.0,2.0,2.0,2.0,3.0,0.012578616352201259,0.011363636363636364,0.014084507042253521,0.01875,,,True
2229,1610612761,Mike James,Mike James,2229,TOR,40648.0,677,-2,1311,1320,440,423,148.0,2631,50.0,94.0,5.0,10.0,17.0,33.0,12.0,29.0,32.0,80.0,14.0,28.0,,1.0,5.0,10.0,36.0,74.0,6.0,9.0,13.0,35.0,94.0,203.0,50.0,102.0,75.0,413.0,1457,6.0,13.0,6.0,10.0,4.0,34.0,36.0,72.0,18.0,45.0,37.0,163.0,52.0,136.0,114.0,36.0,2.0,1.0,73.0,36.0,11.0,48.0,23.0,71.0,10.0,13.0,24.0,5.0,19.0,165.0,3.0,8.0,,23.0,37,3.0,63,11.0,74,4.0,12.0,8.0,4.0,19.0,3.0,12.0,18.0,2.0,7.0,2.0,37.0,2.0,17.0,14.0,48.0,2.0,8.0,71.0,1.0,6.0,83.0,6.0,25.0,17.0,2.0,,1.0,1.0,2.0,2.0,,,163.0,440,11.0,17.0,0.2765957446808511,0.27956989247311825,0.76,0.49019607843137253,0.6,0.4,0.49504950495049505,0.4630541871921182,0.46153846153846156,0.5,0.5540983606557377,0.6521739130434783,0.5384615384615384,0.5997067448680352,0.68,0.5948905109489051,0.3344262295081967,0.054187192118226604,0.10638297872340426,0.034482758620689655,25.609756097560975,0.5135135135135135,0.05555555555555555,,0.08644859813084112,0.019138755980861243,0.1411042944785276,0.01675977653631285,0.10152284263959391,0.018425460636515914,0.025,0.030303030303030304,0.006289308176100629,0.02702702702702703,,0.06338028169014084,0.07272727272727272,0.11363636363636363,0.13178294573643412,0.17647058823529413,0.02702702702702703,1.0,0.3081967213114754,0.5319148936170213,0.5952380952380952,0.24,0.09508196721311475,0.41379310344827586,0.42857142857142855,0.25,0.26229508196721313,0.4,0.4,0.34375,0.09180327868852459,0.5,0.5,0.8571428571428571,0.24262295081967214,0.4864864864864865,0.4864864864864865,0.7222222222222222,0.43478260869565216,0.5,0.2,0.043478260869565216,,,0.391304347826087,0.6666666666666666,1.0,0.28205128205128205,0.5151515151515151,0.08547008547008547,0.5,0.29914529914529914,0.37142857142857144,0.6426229508196721,0.4931506849315068,0.498271875,0.5124375000000001,0.48617456896551725,0.07716049382716049,0.11261261261261261,0.08232445520581114,0.3946731234866828,8.515270935960592,24.854901960784318,0.3356216628527841,,,,1.0,5.0,,,,,,,,,,,,True
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,57774.0,963,-68,1838,1839,609,632,205.0,3677,90.0,147.0,26.0,42.0,38.0,59.0,32.0,98.0,56.0,123.0,,1.0,,,,1.0,,3.0,,,,3.0,178.0,368.0,,4.0,188.0,544.0,2068,29.0,55.0,,,29.0,87.0,59.0,112.0,,4.0,86.0,204.0,186.0,170.0,,,40.0,1.0,2.0,,27.0,34.0,18.0,52.0,11.0,7.0,19.0,7.0,8.0,122.0,20.0,51.0,1.0,40.0,102,20.0,162,72.0,234,9.0,15.0,11.0,4.0,34.0,4.0,16.0,30.0,5.0,18.0,8.0,64.0,6.0,18.0,36.0,74.0,7.0,7.0,197.0,5.0,18.0,240.0,24.0,115.0,17.0,33.0,25.0,1.0,7.0,34.0,22.0,,2.0,204.0,609,12.0,17.0,0.5224719101123596,0.5886075949367089,,,,,,0.483695652173913,0.5272727272727272,0.5267857142857143,0.478494623655914,0.5272727272727272,0.5086206896551724,0.5666666666666667,0.5958904109589042,0.6219512195121951,0.010752688172043012,0.07336956521739131,0.11564625850340136,0.10204081632653061,26.318335752298015,0.53125,0.2777777777777778,0.016666666666666666,0.17435897435897435,0.0845771144278607,0.18518518518518517,0.08849557522123894,0.1772784019975031,0.0856453558504222,0.12,0.10112359550561797,0.04,0.06451612903225806,0.11764705882352941,0.1583710407239819,0.20437956204379562,0.17180616740088106,0.23225806451612904,0.06557377049180328,0.05555555555555555,0.6470588235294118,0.3951612903225806,0.6122448979591837,0.6923076923076923,0.4888888888888889,0.26344086021505375,0.32653061224489793,0.36363636363636365,0.40625,0.33064516129032256,0.45528455284552843,0.45528455284552843,0.6428571428571429,0.002688172043010753,,,,0.008064516129032258,,,,0.7636363636363637,0.6190476190476191,0.19230769230769232,,,,,,,0.5086206896551724,0.6440677966101694,0.008620689655172414,,0.02586206896551724,,0.40591397849462363,,0.4586933962264151,0.4955826086956521,0.4845056521739131,0.24838012958963282,0.25054466230936817,0.15992647058823528,0.375,8.209510869565218,28.450000000000003,0.33133841131664854,4.0,2.0,,1.0,,,,,,,,,,,1.0,1.0,True
2588,1610612761,Matt Bonner,Matt Bonner,2588,TOR,40732.0,679,-84,1258,1264,391,446,140.0,2522,9.0,18.0,6.0,10.0,6.0,9.0,10.0,29.0,25.0,47.0,7.0,27.0,1.0,2.0,3.0,7.0,38.0,86.0,2.0,5.0,8.0,24.0,44.0,94.0,45.0,113.0,22.0,245.0,1404,15.0,22.0,3.0,7.0,3.0,42.0,21.0,38.0,11.0,31.0,13.0,88.0,60.0,28.0,135.0,,18.0,1.0,85.0,38.0,6.0,11.0,9.0,20.0,3.0,6.0,3.0,1.0,7.0,49.0,10.0,20.0,1.0,9.0,56,8.0,73,31.0,104,4.0,20.0,14.0,6.0,7.0,1.0,4.0,7.0,,3.0,1.0,14.0,1.0,4.0,46.0,91.0,8.0,5.0,30.0,7.0,6.0,25.0,2.0,9.0,3.0,9.0,8.0,1.0,,10.0,2.0,,,88.0,391,8.0,3.0,0.6818181818181818,0.8571428571428571,1.0,0.39823008849557523,0.42857142857142855,0.3548387096774194,0.4017857142857143,0.46808510638297873,0.6818181818181818,0.5526315789473685,0.538647342995169,0.6724137931034483,0.5434782608695652,0.5622119815668203,0.7,0.5945945945945946,0.5458937198067633,0.06382978723404255,0.16666666666666666,0.06896551724137931,16.336633663366335,0.5,0.14814814814814814,0.023255813953488372,0.1362530413625304,0.04975124378109453,0.06164383561643835,0.055865921787709494,0.11669658886894076,0.05163511187607573,0.05263157894736842,0.043859649122807015,0.05161290322580645,0.04504504504504504,0.07352941176470588,0.1048951048951049,0.11650485436893204,0.17575757575757575,0.04672897196261682,0.10256410256410256,0.0380952380952381,0.2,0.08695652173913043,0.5,0.6,0.3333333333333333,0.14009661835748793,0.3448275862068966,0.37037037037037035,0.4,0.22705314009661837,0.5319148936170213,0.5434782608695652,0.92,0.13043478260869565,0.25925925925925924,0.2692307692307692,1.0,0.41545893719806765,0.4418604651162791,0.4418604651162791,1.0,0.3448275862068966,0.6,,0.06896551724137931,0.5,1.0,0.1724137931034483,0.4,1.0,0.13043478260869565,0.6666666666666666,0.10144927536231885,0.42857142857142855,0.34782608695652173,0.3333333333333333,0.6328502415458938,0.4470588235294118,0.48849587378640785,0.49725277777777777,0.4724695652173914,0.04672897196261682,0.0891089108910891,0.17142857142857143,0.35918367346938773,12.093617021276595,25.191150442477884,0.3108108108108108,1.0,,0.02127659574468085,,2.0,,1.0,,1.0,1.0,0.008849557522123894,0.037037037037037035,,0.008849557522123894,1.0,1.0,True
2737,1610612761,Rafael Araujo,Rafael Araujo,2737,TOR,12912.0,215,-33,420,420,95,92,40.0,840,10.0,27.0,1.0,6.0,1.0,4.0,2.0,17.0,3.0,9.0,,1.0,,,,,,,,,,,15.0,53.0,,1.0,6.0,36.0,445,1.0,11.0,,,1.0,3.0,2.0,13.0,,,6.0,10.0,28.0,2.0,,,2.0,,,,9.0,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,1.0,10.0,1.0,7.0,19,7.0,33,12.0,45,2.0,9.0,7.0,2.0,7.0,,3.0,7.0,,4.0,1.0,14.0,1.0,3.0,17.0,36.0,3.0,3.0,15.0,3.0,2.0,10.0,,1.0,4.0,,,,,,,,1.0,10.0,95,4.0,4.0,0.9333333333333333,1.0,,,,,,0.2830188679245283,0.09090909090909091,0.15384615384615385,0.2777777777777778,0.09090909090909091,0.15384615384615385,0.3050847457627119,0.125,0.2777777777777778,0.018518518518518517,0.16981132075471697,0.2222222222222222,0.17647058823529413,15.698924731182794,0.5,0.4117647058823529,0.1,0.152,0.058823529411764705,0.17073170731707318,0.02702702702702703,0.1566265060240964,0.05314009661835749,0.038461538461538464,0.07692307692307693,0.06060606060606061,0.041666666666666664,,0.1111111111111111,0.26666666666666666,0.12,0.17857142857142858,0.15384615384615385,0.06666666666666667,,0.5,0.37037037037037035,0.47619047619047616,0.9,0.3148148148148148,0.11764705882352941,0.14285714285714285,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.018518518518518517,,,,,,,,0.5454545454545454,0.16666666666666666,,,,,,,,0.3076923076923077,0.25,,,,,0.5185185185185185,,0.4803472222222222,0.47522999999999993,0.4493153846153846,0.01818181818181818,0.018518518518518517,0.08333333333333333,0.2777777777777778,5.9188679245283025,22.9,0.2261904761904762,1.0,3.0,,,,,,,,,,,,,,,True
2776,1610612761,Pape Sow,Pape Sow,2776,TOR,8480.0,141,-6,269,271,101,97,38.0,540,9.0,18.0,3.0,7.0,2.0,3.0,,6.0,,2.0,,,,,,,,,,,,,9.0,26.0,,,23.0,41.0,296,3.0,8.0,,,2.0,8.0,2.0,6.0,,,12.0,16.0,8.0,10.0,,,4.0,,,,2.0,2.0,,2.0,,,2.0,,,4.0,1.0,17.0,1.0,4.0,17,6.0,27,19.0,46,4.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,12.0,31.0,1.0,,23.0,3.0,3.0,27.0,3.0,12.0,3.0,6.0,5.0,,1.0,6.0,5.0,,,16.0,101,3.0,3.0,0.4444444444444444,0.5714285714285714,,,,,,0.34615384615384615,0.375,0.3333333333333333,0.34615384615384615,0.375,0.3333333333333333,0.5394736842105263,0.4444444444444444,0.6153846153846154,,0.07692307692307693,0.05555555555555555,0.16666666666666666,13.968253968253968,0.5,0.5,0.1111111111111111,0.18478260869565216,0.17,0.14814814814814814,0.034482758620689655,0.17647058823529413,0.13953488372093023,0.16666666666666666,0.23333333333333334,0.125,,0.125,0.23333333333333334,0.23076923076923078,0.1111111111111111,0.21052631578947367,,0.26666666666666666,0.8333333333333334,0.6923076923076923,0.5,0.5294117647058824,0.4444444444444444,0.23076923076923078,,,,0.07692307692307693,,,,,,,,,,,,0.875,0.42857142857142855,0.3333333333333333,,,,,,,0.5,0.6666666666666666,,,,,0.6923076923076923,,0.5138923076923078,0.5682875000000001,0.47454999999999997,0.34285714285714286,0.34285714285714286,0.1951219512195122,0.3902439024390244,3.6923076923076916,,0.3754646840148699,3.0,,,,,,,,,,,,,,,,True
