EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG3A,Points,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,PenaltyPointsPct,Avg3ptShotDistance,Fouls,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,on,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Fg3aBlocked,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,BlockedCorner3,Arc3PctBlocked,OffensiveGoaltends,HeaveMakes,Clear Path Fouls,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,154.0,3,4.0,6,6,6.0,3.0,12,1.0,1.0,2,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,6.0,16.666666666666668,1.0,0.5,1.0,1.0,0.4013,0.4013,19.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,154.0,3,4.0,6,6,6.0,3.0,12,,1.0,2,1.0,,,,,,,,6.0,33.333333333333336,,,,,0.573525,0.573525,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,23.6,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612743,Andre Miller,Andre Miller,1889,DEN,154.0,3,4.0,6,6,6.0,3.0,12,1.0,2.0,2,2.0,,,,,,,,6.0,33.333333333333336,,,,0.5,0.56645,0.56645,8.05,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,2.0,2.0,,,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,1.0,1.0,1.0,,0.5,1.0,,0.5,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,154.0,3,4.0,6,6,6.0,3.0,12,,1.0,2,1.0,,,,,,,,6.0,16.666666666666668,,,,,0.8581,0.8581,,1.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,1610612743,Bryon Russell,Bryon Russell,935,DEN,154.0,3,4.0,6,6,6.0,3.0,12,,,2,,1.0,1.0,1.0,2.0,,1.0,1.0,6.0,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101125,1610612743,Julius Hodge,Julius Hodge,101125,DEN,1978.0,33,2.0,70,74,54.0,57.0,144,1.0,13.0,65,7.0,5.0,6.0,4.0,13.0,1.0,2.0,7.0,54.0,32.05128205128205,0.05263157894736842,0.0625,,0.07692307692307693,0.5481461538461538,0.507157142857143,2.8846153846153846,0.7714285714285715,4.0,10.0,3.0,4.0,,,5.0,,13.0,4.0,,10.0,4.0,2.0,2.0,10.0,0.4,0.6666666666666666,0.38461538461538464,0.5714285714285714,0.38461538461538464,0.5714285714285714,0.38235294117647056,0.5555555555555556,,0.7692307692307693,0.4,0.5714285714285714,0.5,,0.5714285714285714,0.75,,0.7692307692307693,0.7692307692307693,,7.0,1.0,0.07692307692307693,,False,6.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,6.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,2.0,4.0,1.0,8.0,6.0,2.0,1.0,1.0,4.0,8.0,3.0,1.0,2.0,1.0,0.5,0.5,0.4,0.3076923076923077,0.3,0.5,0.5,0.23809523809523808,0.17857142857142858,0.375,0.25,0.1111111111111111,0.5,0.5,0.15384615384615385,1.0,1.0,0.75,0.6666666666666666,0.51005,0.1875,0.1875,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,30969.0,516,-27.0,1024,1030,349.0,386.0,2054,61.0,159.0,1077,48.0,9.0,13.0,6.0,30.0,56.0,77.0,115.0,349.0,18.786857624262847,0.15819209039548024,0.15086206896551724,0.13068181818181818,0.3546511627906977,0.5071915204678363,0.50015,8.064150943396227,0.3408203125,52.0,84.0,14.0,26.0,4.0,3.0,75.0,13.0,213.0,20.0,9.0,64.0,120.0,10.0,4.0,64.0,0.8,0.9090909090909091,0.4716981132075472,0.4166666666666667,0.45348837209302323,0.37719298245614036,0.5144927536231884,0.4444444444444444,0.0755813953488372,0.4883720930232558,0.6190476190476191,0.6933333333333334,0.75,0.023255813953488372,0.45614035087719296,0.5384615384615384,0.05263157894736842,0.563953488372093,0.3004694835680751,26.161538461538463,87.0,14.0,0.12727272727272726,0.1527777777777778,False,138.0,12.0,22.0,14.0,20.0,57.0,16.0,36.0,38.0,21.0,30.0,18.0,13.0,4.0,3.0,2.0,33.0,38.0,4.0,10.0,6.0,1.0,7.0,1.0,16.0,6.0,34.0,11.0,4.0,56.0,81.0,40.0,6.0,16.0,5.0,0.4444444444444444,0.43243243243243246,0.475,0.08176100628930817,0.10714285714285714,0.21428571428571427,0.625,0.08638743455497382,0.07505070993914807,0.09848484848484848,0.11290322580645161,0.1743119266055046,0.07894736842105263,0.05063291139240506,0.08139534883720931,0.32786885245901637,0.3333333333333333,0.5945945945945946,0.5454545454545454,0.5043666666666666,0.19900497512437812,0.2127659574468085,0.1784037558685446,3.0,1.0,2.0,9.0,1.0,6.0,2.0,1.0,6.0,1.0,6.0,1.0,8.0,2.0,1.0,1.0,4.0,1.0,7.0,6.0,3.0,1.0,5.0,2.0,11.0,13.0,9.0,3.0,1.0,13.0,8.0,2.0,1.0,0.15384615384615385,0.1111111111111111,0.16666666666666666,0.01639344262295082,0.22580645161290322,0.029411764705882353,0.036036036036036036,0.06914893617021277,0.04285714285714286,0.024390243902439025,0.2028985507246377,0.6153846153846154,0.21428571428571427,0.2727272727272727,0.6666666666666666,0.95,0.05232558139534884,0.2222222222222222,0.2222222222222222,1.0,0.08333333333333333,0.02702702702702703,0.10526315789473684,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612743,Greg Buckner,Greg Buckner,1761,DEN,105326.0,1755,9.0,3425,3446,1137.0,1157.0,6871,46.0,173.0,3613,59.0,109.0,127.0,47.0,272.0,131.0,178.0,209.0,1137.0,12.554557124518613,0.11665182546749778,0.11133069828722003,0.11428571428571428,0.1108433734939759,0.5443773493975904,0.5246458333333334,6.292485549132949,0.33197080291970804,66.0,100.0,24.0,31.0,96.0,35.0,94.0,242.0,489.0,35.0,85.0,182.0,136.0,86.0,54.0,182.0,0.723404255319149,0.723404255319149,0.5433526011560693,0.5932203389830508,0.5373493975903615,0.5555555555555556,0.5594965675057209,0.5723270440251572,0.5831325301204819,0.24096385542168675,0.66,0.7096774193548387,0.7424242424242424,0.23132530120481928,0.2152777777777778,0.7741935483870968,0.24305555555555555,0.8240963855421687,0.3721881390593047,24.348760330578518,180.0,38.0,0.09620253164556962,0.10380622837370242,False,414.0,2.0,9.0,27.0,16.0,43.0,2.0,13.0,40.0,22.0,52.0,,11.0,18.0,12.0,53.0,23.0,31.0,3.0,22.0,30.0,3.0,9.0,4.0,52.0,12.0,77.0,7.0,4.0,81.0,55.0,21.0,12.0,35.0,12.0,0.15384615384615385,0.45454545454545453,0.45454545454545453,0.06358381502890173,0.07,0.1111111111111111,0.4230769230769231,0.01910299003322259,0.020051746442432083,0.022058823529411766,0.017241379310344827,0.11290322580645161,0.07547169811320754,0.013888888888888888,0.06506024096385542,0.34782608695652173,0.35555555555555557,0.20454545454545456,0.2222222222222222,0.5413838709677419,0.04941176470588235,0.11475409836065574,0.081799591002045,12.0,6.0,57.0,146.0,20.0,50.0,86.0,31.0,,30.0,255.0,,146.0,57.0,6.0,9.0,8.0,,9.0,32.0,13.0,2.0,5.0,26.0,11.0,19.0,9.0,4.0,6.0,20.0,6.0,2.0,0.9883720930232558,0.35537190082644626,0.35294117647058826,0.35537190082644626,0.021739130434782608,0.07258064516129033,,0.023391812865497075,0.01773049645390071,0.013574660633484163,0.04132231404958678,0.1238390092879257,0.3,0.4444444444444444,0.5,0.5,0.8125,0.35180722891566263,0.3904109589041096,0.3904109589041096,0.9824561403508771,1.0,0.13636363636363635,0.3472222222222222,0.4,0.3904109589041096,29.0,4.0,10.0,8.0,25.0,12.0,3.0,1.0,13.0,3.0,1.0,1.0,0.3870967741935484,0.004132231404958678,0.010416666666666666,0.3020833333333333,0.30526315789473685,1.0,0.6666666666666666,1.0,0.5681818181818182,0.32,1.0,0.2857142857142857,,,,,,,,,,,
1863,1610612743,Earl Boykins,Earl Boykins,1863,DEN,92538.0,1542,-54.0,3030,2994,1075.0,1039.0,6024,279.0,482.0,3263,148.0,188.0,230.0,87.0,502.0,38.0,60.0,81.0,1075.0,23.388952819332566,0.03850050658561297,0.0444104134762634,0.04295942720763723,0.42208774583963693,0.4721252647503782,0.4609725,12.347510373443978,0.3547854785478548,56.0,99.0,20.0,31.0,32.0,5.0,209.0,179.0,756.0,57.0,52.0,257.0,130.0,48.0,23.0,257.0,0.31100478468899523,0.31100478468899523,0.4336099585062241,0.38513513513513514,0.4568835098335855,0.405,0.5027397260273972,0.4979508196721312,0.2708018154311649,0.14977307110438728,0.5656565656565656,0.6511627906976745,0.4642857142857143,0.048411497730711045,0.155,0.6451612903225806,0.025,0.4205748865355522,0.33994708994708994,24.98994413407821,73.0,20.0,0.06269592476489028,0.0639269406392694,False,383.0,1.0,3.0,104.0,106.0,152.0,16.0,31.0,65.0,95.0,288.0,,39.0,42.0,26.0,79.0,15.0,21.0,5.0,50.0,33.0,7.0,16.0,6.0,83.0,28.0,20.0,,4.0,124.0,174.0,44.0,36.0,14.0,34.0,0.5161290322580645,0.6770833333333334,0.6770833333333334,0.08091286307053942,0.13131313131313133,0.11538461538461539,0.6024096385542169,0.013357079252003561,0.013908205841446454,0.013192612137203167,0.00851063829787234,0.030508474576271188,0.06,0.01466275659824047,0.1573373676248109,0.37992831541218636,0.4,0.0625,0.3333333333333333,0.4467046511627906,0.06340057636887608,0.0854368932038835,0.08597883597883597,47.0,4.0,54.0,147.0,16.0,47.0,62.0,17.0,,16.0,132.0,,147.0,54.0,16.0,22.0,5.0,1.0,2.0,25.0,34.0,3.0,1.0,7.0,11.0,4.0,3.0,1.0,,4.0,,,0.7096774193548387,0.3463687150837989,0.3076923076923077,0.3463687150837989,0.05017921146953405,0.01694915254237288,0.010638297872340425,0.015873015873015872,0.015717092337917484,0.018604651162790697,0.01,0.040293040293040296,,0.4519230769230769,0.5108695652173914,0.1276595744680851,0.3113207547169811,0.22239031770045387,0.3673469387755102,0.3673469387755102,0.6851851851851852,,0.08333333333333333,0.235,0.3404255319148936,0.3673469387755102,8.0,3.0,,8.0,13.0,11.0,54.0,,12.0,1.0,,,0.6470588235294118,,,0.25,0.25,0.875,0.75,1.0,0.2708333333333333,0.6153846153846154,0.875,,25.0,,,,,,,,,,
2035,1610612743,DerMarr Johnson,DerMarr Johnson,2035,DEN,55275.0,921,-34.0,1792,1798,491.0,521.0,3590,45.0,145.0,1887,33.0,45.0,55.0,23.0,120.0,55.0,77.0,96.0,491.0,17.99511002444988,0.08566978193146417,0.0911300121506683,0.11564625850340136,0.14754098360655737,0.5322144262295083,0.5062787500000001,7.437931034482755,0.2739955357142857,51.0,75.0,10.0,13.0,99.0,33.0,75.0,160.0,352.0,12.0,47.0,85.0,102.0,25.0,18.0,85.0,0.68,0.7183098591549296,0.5172413793103449,0.36363636363636365,0.521311475409836,0.45,0.5450310559006211,0.47752808988764045,0.5245901639344263,0.2459016393442623,0.68,0.7727272727272727,0.6274509803921569,0.32459016393442625,0.1625,0.7692307692307693,0.4125,0.7704918032786885,0.24147727272727273,24.126250000000002,85.0,20.0,0.11049723756906077,0.12408759124087591,False,207.0,7.0,10.0,25.0,18.0,34.0,11.0,20.0,43.0,13.0,48.0,8.0,16.0,10.0,6.0,19.0,13.0,19.0,2.0,12.0,34.0,8.0,1.0,4.0,46.0,8.0,51.0,,6.0,41.0,42.0,17.0,7.0,6.0,6.0,0.55,0.6142857142857143,0.6142857142857143,0.1103448275862069,0.12,0.24,0.2608695652173913,0.01951951951951952,0.021052631578947368,0.014150943396226415,0.008064516129032258,0.05527638190954774,0.06818181818181818,0.013071895424836602,0.08196721311475409,0.4,0.4090909090909091,0.2857142857142857,0.7,0.508715625,0.05396825396825397,0.10967741935483871,0.12215909090909091,6.0,8.0,23.0,61.0,5.0,14.0,56.0,15.0,,16.0,159.0,,61.0,23.0,4.0,3.0,5.0,1.0,2.0,7.0,11.0,1.0,,3.0,7.0,25.0,14.0,8.0,3.0,26.0,18.0,,0.9464285714285714,0.35,0.3404255319148936,0.35,0.022222222222222223,0.031746031746031744,0.02127659574468085,0.026455026455026454,0.02727272727272727,0.028037383177570093,0.024390243902439025,0.06711409395973154,0.6923076923076923,0.24,0.3157894736842105,0.8333333333333334,0.7777777777777778,0.2,0.3770491803278688,0.38333333333333336,0.9565217391304348,0.42857142857142855,0.22857142857142856,0.175,0.35714285714285715,0.3770491803278688,33.0,3.0,11.0,4.0,7.0,7.0,9.0,3.0,7.0,7.0,1.0,,0.4666666666666667,0.01875,0.020202020202020204,0.3333333333333333,0.3402061855670103,0.9393939393939394,0.375,0.6666666666666666,0.2,0.5714285714285714,1.0,0.3333333333333333,1.0,1.0,0.01639344262295082,,,,,,,,
