EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,PtsAssisted2s,PtsPutbacks,ThreePtAssists,Arc3Assists,FTOffRebounds,LostBallSteals,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,OffFTReboundPct,OffAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Travels,BlockedAtRim,Corner3Assists,SecondChanceTurnovers,2pt And 1 Free Throw Trips,DefensiveGoaltends,SelfOReb,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LostBallTurnovers,BlockedLongMidRange,PtsUnassisted3s,Loose Ball Fouls Drawn,on,Loose Ball Fouls,OffensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,2997.0,50,-12,95,101,50.0,65.0,9,196,2.0,1.0,1.0,2.0,5.0,2.0,2.0,9.0,9.0,13.0,89,2.0,1.0,1.0,1.0,3.0,6.0,8.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,5.0,17.0,2.0,19.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,6.0,3.0,4.0,9.0,2.0,6.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,50.0,1.0,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.4642857142857143,0.16666666666666666,0.6666666666666666,0.2222222222222222,0.5,0.5,19.23076923076923,0.3333333333333333,0.7142857142857143,0.25,0.02857142857142857,0.18181818181818182,0.2,0.23529411764705882,0.05,0.1,0.2,0.1,0.45454545454545453,0.21052631578947367,0.18181818181818182,1.0,0.2222222222222222,0.5555555555555556,0.4,0.4,0.2222222222222222,0.5,0.3333333333333333,0.2222222222222222,0.42057777777777783,0.45185,0.45483333333333337,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.6153846153846154,8.055555555555555,0.5263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101160,1610612763,Lawrence Roberts,Lawrence Roberts,101160,MEM,2879.0,48,6,90,96,44.0,59.0,7,186,8.0,2.0,2.0,2.0,5.0,5.0,9.0,18.0,3.0,21.0,78,2.0,,4.0,4.0,8.0,2.0,10.0,6.0,1.0,,1.0,,3.0,,2.0,7.0,7.0,,14.0,3.0,17.0,1.0,,,,,1.0,,1.0,,1.0,3.0,1.0,3.0,,4.0,2.0,,,,,,10.0,44.0,1.0,,0.5,0.5,0.5,0.5,0.525,1.0,0.5555555555555556,0.05555555555555555,0.125,,21.649484536082475,,,0.2413793103448276,0.058823529411764705,0.35,,0.2857142857142857,0.05405405405405406,,,,0.2857142857142857,0.29411764705882354,0.3684210526315789,,0.4444444444444444,0.2777777777777778,0.4,0.4,0.2777777777777778,1.0,0.25,0.4444444444444444,0.44042777777777775,0.62645,0.42050000000000004,0.1,0.1,0.19047619047619047,0.47619047619047616,7.622222222222222,0.4888888888888889,5.0,2.0,2.0,2.0,2.0,12.0,4.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.8571428571428571,1.0,1.0,0.3333333333333333,0.25,0.625,0.7142857142857143,0.6,1.0,0.4,0.4,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101194,1610612763,Anthony Roberson,Anthony Roberson,101194,MEM,5295.0,88,-1,162,170,56.0,73.0,15,332,7.0,,2.0,,1.0,13.0,9.0,21.0,2.0,35.0,148,2.0,,4.0,4.0,9.0,2.0,13.0,8.0,2.0,4.0,5.0,,11.0,,,1.0,3.0,2.0,6.0,,6.0,1.0,1.0,2.0,,2.0,1.0,,3.0,1.0,,6.0,,4.0,,2.0,1.0,,,,,,13.0,56.0,2.0,,0.42857142857142855,0.4444444444444444,0.532258064516129,0.39285714285714285,0.546875,1.0,0.43333333333333335,0.09523809523809523,0.2857142857142857,,19.774011299435028,0.6666666666666666,0.18181818181818182,0.05172413793103448,,0.03571428571428571,,0.046511627906976744,,,,,,0.10344827586206896,0.041666666666666664,,0.22580645161290322,0.03225806451612903,,,0.41935483870967744,,0.14285714285714285,0.5483870967741935,0.4674854838709677,0.35245000000000004,0.4424071428571428,0.03125,0.045454545454545456,0.11428571428571428,0.37142857142857144,12.047619047619047,0.345679012345679,2.0,,,7.0,2.0,10.0,,1.0,1.0,,,0.5555555555555556,0.5555555555555556,1.0,1.0,,,0.2857142857142857,0.4,,,0.5384615384615384,0.5384615384615384,0.7142857142857143,,,2.0,2.0,3.0,8.0,1.0,5.0,5.0,10.0,1.0,5.0,15.0,8.0,3.0,1.0,3.0,1.0,1.0,0.5,0.2,0.5,0.3225806451612903,0.06451612903225806,1.0,1.0,1.0,0.25806451612903225,0.375,0.375,1.0,0.35714285714285715,0.2,0.375,24.9,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1610612763,Jake Tsakalidis,Jake Tsakalidis,2054,MEM,980.0,16,-6,31,30,8.0,19.0,3,61,1.0,,,,,1.0,1.0,2.0,,2.0,34,,,,,,,,,,1.0,1.0,,2.0,,,1.0,4.0,,5.0,,5.0,,,,,,1.0,,1.0,,1.0,1.0,,2.0,1.0,2.0,1.0,,2.0,,2.0,,,8.0,,,0.5,,0.5,,0.3333333333333333,,,,,,11.76470588235294,,,0.3076923076923077,,0.3333333333333333,,0.3125,,,,0.3333333333333333,,0.5,0.3333333333333333,,0.5,,,,0.5,,,0.5,0.4517,,,0.3333333333333333,0.3333333333333333,,,8.75,0.25806451612903225,1.0,,,,,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,4941.0,82,-1,153,161,54.0,70.0,14,314,9.0,2.0,1.0,,3.0,13.0,10.0,25.0,6.0,26.0,144,2.0,1.0,3.0,2.0,7.0,2.0,6.0,14.0,2.0,2.0,3.0,,7.0,,2.0,1.0,4.0,,5.0,2.0,7.0,1.0,1.0,1.0,,1.0,2.0,,3.0,2.0,3.0,6.0,1.0,8.0,1.0,10.0,6.0,,2.0,,2.0,,6.0,54.0,,,0.4,0.2857142857142857,0.4,0.2857142857142857,0.4482758620689655,0.75,0.3333333333333333,0.08,0.1111111111111111,0.07692307692307693,19.16167664670659,0.3333333333333333,,0.07407407407407407,0.034482758620689655,0.04,,0.06329113924050633,0.03125,,,,0.0625,0.10714285714285714,0.045454545454545456,,0.36,0.12,,,0.52,1.0,0.14285714285714285,0.36,0.44839999999999997,0.57645,0.40681428571428574,0.20689655172413793,0.20689655172413793,0.11538461538461539,0.23076923076923078,10.515999999999998,0.35294117647058826,6.0,1.0,1.0,4.0,1.0,6.0,,1.0,,,,0.3,0.3,0.5,0.5,,0.13333333333333333,0.6666666666666666,0.75,,,0.3076923076923077,0.3333333333333333,0.75,0.5,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073,1610612763,Brian Cardinal,Brian Cardinal,2073,MEM,1754.0,29,14,52,54,3.0,6.0,3,106,2.0,1.0,,,1.0,3.0,3.0,6.0,,18.0,43,1.0,,2.0,,,,,4.0,,5.0,6.0,2.0,13.0,,2.0,3.0,1.0,2.0,6.0,2.0,8.0,1.0,1.0,,,,2.0,,2.0,,2.0,6.0,2.0,,,,,,,,,,,3.0,,,0.5,,0.9,,0.9,1.0,,,,,21.818181818181817,,0.6666666666666666,0.0625,0.1,0.2,,0.12903225806451613,0.09090909090909091,,,,0.16666666666666666,,0.14285714285714285,,0.2,0.1,,,0.3,1.0,,0.6,0.44930999999999993,0.568,,,,0.1111111111111111,,11.733333333333334,0.057692307692307696,1.0,1.0,,2.0,1.0,2.0,,1.0,1.0,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,0.25,0.5,0.5,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,1.0,1.0,3.0,3.0,,,4.0,4.0,,,12.0,3.0,3.0,2.0,1.0,,1.0,1.0,,1.0,0.4,0.1,1.0,1.0,1.0,0.3,1.0,1.0,1.0,,,1.0,24.675,,,,,,,1.0,0.09090909090909091,1.0,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,1610612763,Antonio Burks,Antonio Burks,2766,MEM,2727.0,45,14,85,92,35.0,42.0,5,177,1.0,,1.0,,2.0,5.0,2.0,8.0,1.0,5.0,71,,,,2.0,2.0,1.0,5.0,2.0,,6.0,10.0,1.0,24.0,,,,1.0,,1.0,,1.0,2.0,,2.0,,1.0,1.0,,3.0,1.0,1.0,2.0,,4.0,2.0,1.0,1.0,,,,,,5.0,35.0,,,0.25,1.0,0.25,1.0,0.3125,,1.25,,,,12.222222222222221,0.6666666666666666,,0.03571428571428571,,,,0.022222222222222223,,,,,,0.0625,,,0.125,0.25,,,0.625,,0.5,0.125,0.4072,,0.57795,0.125,0.125,,1.0,14.35,0.4117647058823529,1.0,,1.0,1.0,,2.0,,4.0,2.0,,2.0,0.5,0.5,,,,,1.0,1.0,,,0.2,0.2,1.0,,1.0,,,,,,,,,,,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,1610612763,Damon Stoudamire,Damon Stoudamire,757,MEM,237.0,4,4,6,6,1.0,1.0,2,12,1.0,,,,,2.0,2.0,3.0,,4.0,2,1.0,,2.0,,,,,4.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,1.0,,,,,50.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,,0.3333333333333333,0.4369,0.3415,,,,0.5,,12.133333333333335,0.16666666666666666,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,260.0,4,-7,9,9,6.0,8.0,2,18,1.0,,,,,,,1.0,2.0,2.0,13,,,,,,2.0,2.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,2.0,6.0,,1.0,,,,,0.5,,1.0,1.0,1.0,,18.181818181818183,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,0.5974,,,,,,1.0,,0.6666666666666666,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,1314.0,22,-5,38,38,7.0,7.0,6,76,1.0,1.0,,2.0,3.0,,3.0,4.0,1.0,7.0,39,1.0,,2.0,,,,,2.0,,,,,,,1.0,,3.0,,3.0,1.0,4.0,1.0,1.0,,,,,,,,,,,2.0,,2.0,1.0,,2.0,1.0,2.0,2.0,,7.0,,,0.75,,0.75,,0.7,1.0,,,,,11.363636363636363,,,0.2,0.0625,,,0.1875,0.05555555555555555,,,0.3333333333333333,,0.4,,1.0,0.25,0.75,0.6666666666666666,0.6666666666666666,,1.0,,0.25,0.44785,0.5483,,0.2,0.2,0.2857142857142857,,4.574999999999999,0.18421052631578946,1.0,1.0,,,1.0,4.0,2.0,,,,,0.6666666666666666,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
