EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,StepOutOfBoundsTurnovers,ShortMidRangeAssists,Technical Free Throw Trips,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,on,Arc3PctBlocked,3SecondViolations,HeaveMakes,Blocked3s,BlockedArc3
101111,1610612761,Charlie Villanueva,Charlie Villanueva,101111,TOR,22059.0,368,-98,700,698,90,120,95,1398,24.0,43.0,7.0,12.0,2.0,3.0,19.0,44.0,12.0,33.0,4.0,16.0,1.0,1.0,2.0,4.0,18.0,2.0,3.0,7.0,55.0,120.0,8.0,34.0,16.0,150,809,10.0,17.0,3.0,2.0,22.0,4.0,12.0,4.0,9.0,2.0,22.0,64.0,46.0,24.0,14.0,1.0,17.0,4.0,4.0,4.0,4.0,8.0,3.0,1.0,3.0,1.0,20.0,3.0,21.0,1.0,14.0,28.0,5.0,47,25.0,72,6.0,5.0,3.0,2.0,12.0,1.0,8.0,7.0,2.0,4.0,3.0,19.0,6.0,2.0,12.0,25.0,2.0,1.0,18.0,1.0,2.0,21.0,1.0,9.0,2.0,7.0,5.0,1.0,1.0,7.0,4.0,22.0,90,3.0,2.0,0.5818181818181818,0.6666666666666666,1.0,0.23529411764705882,0.4444444444444444,0.24242424242424243,0.4583333333333333,0.5882352941176471,0.3333333333333333,0.43506493506493504,0.5,0.47619047619047616,0.4573170731707317,0.5238095238095238,0.4782608695652174,0.22077922077922077,0.03333333333333333,0.023255813953488372,0.06818181818181818,22.536945812807883,0.631578947368421,0.23809523809523808,0.1111111111111111,0.13793103448275862,0.07924528301886792,0.17721518987341772,0.03614457831325301,0.14893617021276595,0.06896551724137931,0.09411764705882353,0.07407407407407407,0.0707070707070707,0.038461538461538464,0.03225806451612903,0.15254237288135594,0.11290322580645161,0.14634146341463414,0.11864406779661017,0.35,0.07058823529411765,0.5714285714285714,0.2792207792207792,0.5581395348837209,0.5714285714285714,0.7083333333333334,0.2857142857142857,0.4318181818181818,0.4634146341463415,0.21052631578947367,0.21428571428571427,0.36363636363636365,0.36363636363636365,0.9166666666666666,0.1038961038961039,0.25,0.25,1.0,0.11688311688311688,0.2222222222222222,0.2222222222222222,1.0,0.6,0.5833333333333334,0.14285714285714285,0.05,0.1,0.14285714285714285,0.6666666666666666,0.09523809523809523,0.5,0.3333333333333333,0.42857142857142855,0.5,0.23529411764705882,0.48800653594771237,0.533035294117647,0.4669250000000001,0.05555555555555555,0.0703125,0.14666666666666667,0.14666666666666667,8.434166666666668,24.652941176470588,0.12857142857142856,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101121,1610612761,Joey Graham,Joey Graham,101121,TOR,9752.0,163,-44,314,321,103,114,31,635,7.0,9.0,1.0,1.0,1.0,1.0,13.0,18.0,6.0,16.0,1.0,4.0,1.0,,2.0,1.0,7.0,1.0,,,26.0,43.0,2.0,11.0,16.0,74,374,3.0,5.0,2.0,,6.0,6.0,12.0,,2.0,5.0,17.0,18.0,34.0,6.0,2.0,,7.0,1.0,2.0,3.0,1.0,4.0,,1.0,1.0,2.0,9.0,,2.0,,8.0,10.0,3.0,21,2.0,23,,2.0,2.0,,4.0,1.0,1.0,6.0,1.0,3.0,,10.0,1.0,1.0,13.0,23.0,3.0,2.0,15.0,,1.0,19.0,3.0,8.0,3.0,2.0,2.0,,,2.0,,17.0,103,1.0,3.0,0.34615384615384615,0.36,1.0,0.18181818181818182,,0.18181818181818182,0.6046511627906976,0.6,0.5,0.5370370370370371,0.42857142857142855,0.42857142857142855,0.5967741935483871,0.42857142857142855,0.5,0.2037037037037037,0.046511627906976744,0.1111111111111111,0.05555555555555555,20.512820512820515,0.4,0.21428571428571427,,0.09900990099009901,0.01904761904761905,0.19047619047619047,,0.1258741258741259,0.014285714285714285,0.037037037037037035,,0.0196078431372549,,,0.05714285714285714,0.047619047619047616,0.15555555555555556,0.2,0.16666666666666666,,,0.16666666666666666,0.7777777777777778,0.875,0.2857142857142857,0.3333333333333333,0.7222222222222222,0.7647058823529411,0.3076923076923077,0.2962962962962963,0.375,0.375,0.5,0.07407407407407407,0.25,0.25,1.0,0.12962962962962962,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,1.0,,0.14285714285714285,0.14285714285714285,0.07142857142857142,1.0,0.14285714285714285,,,,0.37037037037037035,0.14285714285714285,0.43723518518518517,0.43607857142857137,0.42588214285714276,0.13559322033898305,0.16666666666666666,0.08108108108108109,0.22972972972972974,10.586046511627904,24.60909090909091,0.32802547770700635,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,8480.0,141,-6,269,271,101,97,38,540,4.0,10.0,,,2.0,5.0,1.0,2.0,9.0,19.0,1.0,1.0,,1.0,1.0,,1.0,,,,14.0,31.0,1.0,2.0,8.0,39,296,1.0,3.0,,,2.0,6.0,13.0,1.0,1.0,5.0,20.0,6.0,22.0,3.0,,,1.0,,5.0,7.0,11.0,18.0,8.0,3.0,2.0,4.0,47.0,,1.0,,1.0,9.0,,10,1.0,11,,2.0,2.0,,5.0,1.0,3.0,3.0,1.0,2.0,,8.0,1.0,1.0,4.0,9.0,,,9.0,,1.0,9.0,1.0,2.0,3.0,,,,,,,20.0,101,4.0,3.0,0.21428571428571427,0.21428571428571427,1.0,0.5,1.0,0.5,0.45161290322580644,0.3333333333333333,0.46153846153846156,0.4696969696969697,0.3333333333333333,0.5357142857142857,0.527027027027027,0.3333333333333333,0.5882352941176471,0.06060606060606061,0.16129032258064516,0.5,,14.285714285714286,0.625,,,0.09782608695652174,0.01,0.037037037037037035,,0.08403361344537816,0.007751937984496124,0.03333333333333333,,,,,0.1,0.07692307692307693,0.1111111111111111,0.05263157894736842,,,,0.30303030303030304,0.4,0.8,0.25,0.06060606060606061,0.5,0.5,,0.5757575757575758,0.47368421052631576,0.47368421052631576,0.2222222222222222,0.030303030303030304,1.0,1.0,1.0,0.030303030303030304,,,,,,,,,0.35714285714285715,0.4,0.07142857142857142,1.0,,,0.36363636363636365,,0.4522393939393939,0.37156666666666666,0.4753107142857143,0.058823529411764705,0.0625,0.05128205128205128,0.5128205128205128,12.538709677419353,24.35,0.3754646840148699,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,
147,1610612761,Jalen Rose,Jalen Rose,147,TOR,5544.0,92,-17,173,177,59,66,16,350,3.0,10.0,,,1.0,2.0,6.0,8.0,4.0,10.0,1.0,4.0,1.0,1.0,2.0,,2.0,,,,13.0,28.0,1.0,6.0,14.0,43,193,,1.0,1.0,2.0,2.0,7.0,11.0,1.0,2.0,8.0,25.0,16.0,10.0,3.0,,,2.0,,3.0,7.0,1.0,8.0,1.0,,2.0,4.0,17.0,,,,4.0,4.0,1.0,9,,9,,2.0,2.0,,3.0,,1.0,2.0,1.0,2.0,,5.0,,,3.0,9.0,2.0,,12.0,1.0,,19.0,1.0,5.0,3.0,,,,,,,25.0,59,2.0,3.0,0.6153846153846154,0.6153846153846154,1.0,0.16666666666666666,0.5,0.16666666666666666,0.4642857142857143,,0.6363636363636364,0.4264705882352941,,0.6538461538461539,0.4878048780487805,0.3333333333333333,0.6666666666666666,0.17647058823529413,0.10714285714285714,0.3,,23.46938775510204,0.6,0.3333333333333333,,0.07142857142857142,,0.2857142857142857,,0.11428571428571428,,,,,,,0.09523809523809523,0.06666666666666667,0.05,0.375,0.16666666666666666,,,0.29411764705882354,0.3,0.42857142857142855,1.0,0.23529411764705882,0.75,0.75,0.16666666666666666,0.29411764705882354,0.4,0.4,1.0,0.11764705882352941,0.25,0.25,1.0,0.058823529411764705,,,,,,,0.5,,0.15384615384615385,0.5,0.15384615384615385,0.5,,,0.47058823529411764,,0.4942705882352941,0.4096,0.4605769230769231,0.13157894736842105,0.15625,0.046511627906976744,0.5813953488372093,8.553571428571429,24.03333333333333,0.34104046242774566,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,True,,,,,
2776,1610612761,Pape Sow,Pape Sow,2776,TOR,35378.0,590,-137,1121,1134,247,317,138,2255,40.0,84.0,16.0,36.0,6.0,11.0,6.0,23.0,7.0,16.0,,,,,,,,,,,53.0,123.0,,,41.0,147,1300,18.0,40.0,,4.0,40.0,8.0,19.0,,,13.0,29.0,68.0,38.0,,18.0,,,,19.0,8.0,,8.0,,,4.0,4.0,16.0,5.0,48.0,1.0,17.0,62.0,13.0,92,54.0,146,8.0,21.0,9.0,12.0,7.0,2.0,3.0,23.0,1.0,4.0,7.0,30.0,4.0,5.0,60.0,118.0,7.0,8.0,54.0,7.0,9.0,57.0,7.0,28.0,4.0,19.0,13.0,1.0,5.0,19.0,12.0,29.0,247,8.0,4.0,0.6415094339622641,0.7727272727272727,,,,,0.43089430894308944,0.45,0.42105263157894735,0.43089430894308944,0.45,0.42105263157894735,0.4966216216216216,0.46511627906976744,0.5370370370370371,,0.15447154471544716,0.17857142857142858,0.17391304347826086,13.819875776397515,0.23333333333333334,0.34210526315789475,0.041666666666666664,0.18618618618618618,0.11510791366906475,0.14166666666666666,0.03816793893129771,0.17439293598233996,0.09671532846715329,0.14705882352941177,0.17391304347826086,0.04819277108433735,0.025,0.058823529411764705,0.16831683168316833,0.23469387755102042,0.16417910447761194,0.17857142857142858,0.05555555555555555,0.1568627450980392,0.631578947368421,0.6829268292682927,0.47619047619047616,0.5797101449275363,0.65,0.18699186991869918,0.2608695652173913,0.3157894736842105,0.5,0.13008130081300814,0.4375,0.4375,0.7142857142857143,,,,,,,,,0.9,0.4444444444444444,0.375,,,0.5789473684210527,0.5454545454545454,,,,,0.6829268292682927,,0.5081780487804877,0.5419257142857142,0.47332631578947365,0.19444444444444445,0.19444444444444445,0.272108843537415,0.19727891156462585,3.9723577235772356,,0.22033898305084745,,,,7.0,4.0,2.0,,,,,,,,,,,,,,,,,,True,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,29802.0,497,-157,939,946,171,250,116,1885,20.0,37.0,4.0,6.0,4.0,7.0,7.0,26.0,27.0,52.0,5.0,24.0,2.0,1.0,4.0,17.0,50.0,4.0,3.0,10.0,54.0,115.0,22.0,74.0,62.0,236,1120,6.0,10.0,6.0,3.0,27.0,6.0,13.0,4.0,14.0,8.0,32.0,56.0,52.0,51.0,6.0,2.0,48.0,17.0,1.0,37.0,5.0,42.0,4.0,1.0,13.0,21.0,89.0,2.0,10.0,3.0,16.0,27.0,2.0,45,15.0,60,5.0,17.0,9.0,8.0,8.0,,5.0,14.0,2.0,3.0,1.0,22.0,3.0,3.0,13.0,30.0,,4.0,53.0,,4.0,70.0,5.0,31.0,1.0,2.0,2.0,,,2.0,,32.0,171,6.0,1.0,0.5185185185185185,0.5490196078431373,0.7727272727272727,0.2972972972972973,0.2857142857142857,0.3055555555555556,0.46956521739130436,0.6,0.46153846153846156,0.4603174603174603,0.75,0.4444444444444444,0.536697247706422,0.7941176470588235,0.5161290322580645,0.3915343915343915,0.008695652173913044,0.02702702702702703,,22.22222222222222,0.36363636363636365,0.06896551724137931,0.16666666666666666,0.10112359550561797,0.028089887640449437,0.16494845360824742,0.017857142857142856,0.11813186813186813,0.02564102564102564,0.017543859649122806,0.029411764705882353,0.03571428571428571,0.015151515151515152,0.021739130434782608,0.08641975308641975,0.0625,0.14150943396226415,0.12121212121212122,0.25806451612903225,0.045871559633027525,,0.19576719576719576,0.5405405405405406,0.5555555555555556,0.35,0.13756613756613756,0.2692307692307692,0.2692307692307692,0.42857142857142855,0.2751322751322751,0.5192307692307693,0.5192307692307693,0.6666666666666666,0.12698412698412698,0.20833333333333334,0.20833333333333334,1.0,0.26455026455026454,0.34,0.34,0.7058823529411765,0.375,0.6666666666666666,,0.125,0.25,0.25925925925925924,0.5714285714285714,0.14814814814814814,0.25,0.37037037037037035,0.3,0.5873015873015873,0.3541666666666667,0.5067336021505378,0.5441366666666667,0.5252979166666666,0.16589861751152074,0.2198581560283688,0.11440677966101695,0.13559322033898305,10.636521739130435,25.445945945945947,0.18210862619808307,6.0,3.0,2.0,1.0,,,1.0,3.0,4.0,15.0,3.0,5.0,0.6666666666666666,0.5,1.0,0.75,0.6666666666666666,0.06578947368421052,,,,,,True,,,,,
2229,1610612761,Mike James,Mike James,2229,TOR,27733.0,462,-110,876,890,156,230,104,1766,19.0,38.0,3.0,7.0,7.0,10.0,9.0,25.0,28.0,69.0,3.0,8.0,2.0,,3.0,21.0,32.0,6.0,3.0,6.0,56.0,132.0,24.0,40.0,28.0,212,1017,6.0,13.0,8.0,,21.0,12.0,27.0,3.0,9.0,8.0,41.0,16.0,96.0,42.0,2.0,,32.0,21.0,11.0,62.0,22.0,84.0,13.0,9.0,26.0,27.0,190.0,,8.0,,7.0,24.0,,31,8.0,39,3.0,18.0,9.0,9.0,22.0,4.0,12.0,12.0,1.0,10.0,1.0,34.0,1.0,6.0,9.0,26.0,,3.0,32.0,2.0,3.0,33.0,2.0,12.0,2.0,1.0,,,1.0,1.0,1.0,41.0,156,3.0,2.0,0.14285714285714285,0.14545454545454545,0.5833333333333334,0.6,0.3333333333333333,0.6,0.42424242424242425,0.46153846153846156,0.4444444444444444,0.5348837209302325,0.5,0.4583333333333333,0.5648648648648649,0.5,0.5125,0.23255813953488372,0.08333333333333333,0.23684210526315788,0.08,21.834496510468597,0.6470588235294118,,,0.09266409266409266,0.02416918429003021,0.07608695652173914,,0.08831908831908832,0.018433179723502304,0.05357142857142857,0.011111111111111112,0.007751937984496124,,,0.06666666666666667,0.08536585365853659,0.11764705882352941,0.09090909090909091,0.038461538461538464,0.037037037037037035,1.0,0.22093023255813954,0.5,0.6551724137931034,0.15789473684210525,0.14534883720930233,0.36,0.391304347826087,,0.4011627906976744,0.4057971014492754,0.4057971014492754,0.17857142857142858,0.046511627906976744,0.375,0.375,0.6666666666666666,0.18604651162790697,0.65625,0.65625,0.5714285714285714,0.3333333333333333,0.42857142857142855,,0.09523809523809523,0.2857142857142857,0.2777777777777778,0.7,0.08333333333333333,,0.16666666666666666,0.5,0.45348837209302323,0.65625,0.47770087209302314,0.505765625,0.4830444444444446,0.07103825136612021,0.08450704225352113,0.09905660377358491,0.19339622641509435,11.607575757575756,24.8625,0.1780821917808219,1.0,9.0,4.0,,,,,3.0,3.0,30.0,,1.0,0.375,,,0.5,0.6666666666666666,0.024390243902439025,1.0,,,,,True,,,,,
2254,1610612761,Loren Woods,Loren Woods,2254,TOR,1215.0,20,-20,38,39,10,18,4,77,1.0,1.0,1.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,2.0,5.0,,,,4,57,1.0,1.0,,,2.0,,2.0,,,,,,4.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,2.0,,3,1.0,4,,,,,,1.0,,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,10,,,,,,,,,0.4,1.0,,0.4,1.0,,0.4,1.0,,,,,,13.953488372093023,,,,0.2857142857142857,0.08333333333333333,0.25,,0.2727272727272727,0.06666666666666667,0.2,,,,,0.5,,0.25,0.3333333333333333,,,,0.2,1.0,1.0,,0.2,,,,0.6,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,,,,,,,0.2,,0.40758,0.5634,0.34135000000000004,,,0.5,,12.78,,0.2631578947368421,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2588,1610612761,Matt Bonner,Matt Bonner,2588,TOR,7279.0,121,-18,234,241,67,119,30,475,3.0,3.0,2.0,2.0,1.0,1.0,4.0,8.0,3.0,11.0,1.0,3.0,,,1.0,7.0,18.0,2.0,1.0,3.0,10.0,22.0,8.0,21.0,5.0,49,265,6.0,7.0,2.0,1.0,13.0,3.0,5.0,1.0,4.0,4.0,13.0,8.0,12.0,24.0,6.0,,18.0,7.0,3.0,1.0,,1.0,,,,1.0,2.0,3.0,8.0,,4.0,10.0,6.0,20,11.0,31,1.0,2.0,1.0,1.0,3.0,,2.0,3.0,,1.0,2.0,6.0,,1.0,7.0,13.0,,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,,,2.0,,13.0,67,1.0,2.0,0.4,0.5714285714285714,1.0,0.38095238095238093,0.25,0.38095238095238093,0.45454545454545453,0.8571428571428571,0.6,0.5116279069767442,0.6666666666666666,0.5,0.532608695652174,0.7222222222222222,0.5416666666666666,0.4883720930232558,0.13636363636363635,,0.125,19.548872180451127,0.5,0.6,,0.1388888888888889,0.1038961038961039,0.13793103448275862,0.09090909090909091,0.13861386138613863,0.1,0.125,0.05555555555555555,0.11428571428571428,0.08,0.125,0.1724137931034483,0.0625,0.14814814814814814,0.1,0.2222222222222222,0.05263157894736842,,0.06976744186046512,1.0,1.0,0.3333333333333333,0.18604651162790697,0.5,0.5714285714285714,,0.2558139534883721,0.2727272727272727,0.3333333333333333,1.0,0.06976744186046512,0.3333333333333333,0.5,1.0,0.4186046511627907,0.3888888888888889,0.3888888888888889,1.0,0.2222222222222222,1.0,,,0.2222222222222222,0.1111111111111111,1.0,0.1111111111111111,,0.3333333333333333,0.3333333333333333,0.5581395348837209,0.3888888888888889,0.48381395348837214,0.4901375,0.46751111111111116,0.045454545454545456,0.045454545454545456,0.2653061224489796,0.2653061224489796,12.568181818181818,24.861904761904768,0.2863247863247863,,,,,,,,,,,,1.0,,,,,,0.045454545454545456,,1.0,0.047619047619047616,0.18181818181818182,0.3333333333333333,True,,,,,
2857,1610612761,Andre Barrett,Andre Barrett,2857,TOR,4725.0,79,-10,160,161,57,53,25,321,8.0,12.0,3.0,3.0,4.0,6.0,,3.0,4.0,14.0,1.0,2.0,,,1.0,1.0,3.0,,,1.0,12.0,29.0,2.0,5.0,1.0,31,199,4.0,4.0,,1.0,9.0,7.0,14.0,,2.0,,14.0,2.0,22.0,3.0,2.0,,3.0,1.0,3.0,6.0,5.0,11.0,4.0,1.0,2.0,3.0,27.0,1.0,4.0,,2.0,6.0,,8,5.0,13,2.0,4.0,1.0,3.0,5.0,2.0,2.0,3.0,,3.0,,8.0,,1.0,,2.0,1.0,,3.0,,,1.0,1.0,1.0,,,,,,,,14.0,57,2.0,,0.08333333333333333,0.09090909090909091,0.5,0.4,,0.4,0.41379310344827586,1.0,0.5,0.4411764705882353,1.0,0.4375,0.45588235294117646,1.125,0.4375,0.14705882352941177,0.10344827586206896,0.08333333333333333,0.3333333333333333,21.98952879581152,0.625,,,0.12,0.06451612903225806,0.1111111111111111,0.08333333333333333,0.11764705882352941,0.06756756756756757,0.043478260869565216,,0.10714285714285714,,0.5,0.15384615384615385,0.07142857142857142,0.13043478260869565,0.18181818181818182,,0.11764705882352941,,0.35294117647058826,0.6666666666666666,0.7272727272727273,,0.08823529411764706,,,,0.4117647058823529,0.2857142857142857,0.3076923076923077,0.25,0.058823529411764705,0.5,0.5,1.0,0.08823529411764706,0.3333333333333333,0.3333333333333333,,0.75,1.0,,,,0.375,0.6666666666666666,0.0625,,0.0625,,0.5,0.3333333333333333,0.48185,0.5231750000000001,0.4868375,0.029411764705882353,0.034482758620689655,0.2903225806451613,0.45161290322580644,9.841379310344827,24.240000000000002,0.35625,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,0.07142857142857142,,True,,,,,
