EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DeadBallTurnovers,Offensive Fouls,3SecondViolations,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,BlockedShortMidRange,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PtsUnassisted3s,ShortMidRangeAssists,Offensive Fouls Drawn,Technical Free Throw Trips,LongMidRangePctBlocked,Blocked3s,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations,HeaveAttempts,BlockedCorner3,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Clear Path Fouls
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,3972.0,66,-41.0,144,139,78.0,97,16.0,283,7.0,11.0,2.0,2.0,3.0,6.0,2.0,5.0,4.0,13.0,13.0,29.0,5.0,31.0,177,2.0,2.0,4.0,8.0,6.0,16.0,5.0,17.0,16.0,10.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,5.0,8.0,4.0,1.0,3.0,4.0,2.0,7.0,9.0,8.0,14.0,2.0,6.0,2.0,3.0,3.0,3.0,3.0,2.0,17.0,78.0,1.0,2.0,0.6153846153846154,0.7272727272727273,0.4482758620689655,1.0,0.375,0.4482758620689655,1.0,0.375,0.4428571428571428,0.8,0.3863636363636363,0.0344827586206896,0.2,24.074074074074076,1.0,0.0465116279069767,0.119047619047619,0.0909090909090909,0.0555555555555555,0.1020408163265306,0.1,0.375,0.0416666666666666,0.1052631578947368,0.1111111111111111,1.0,0.3793103448275862,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.1724137931034483,0.4,0.5,0.5,0.4482758620689655,0.3076923076923077,0.3076923076923077,0.5,1.0,1.0,0.375,0.5,0.3793103448275862,0.459003448275862,0.55185,0.46005,0.1818181818181818,0.1818181818181818,0.2580645161290322,0.5483870967741935,9.610344827586207,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
101161,1610612765,Amir Johnson,Amir Johnson,101161,DET,233.0,4,-4.0,11,11,,11,,22,1.0,1.0,,,,,,1.0,,,1.0,2.0,,2.0,14,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,,,36.36363636363637,,,,,,,,,,,,1.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,0.5,0.58105,,,,,,,5.9,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
2230,1610612765,Maurice Evans,Maurice Evans,2230,DET,24053.0,401,-23.0,740,731,181.0,176,131.0,1471,26.0,39.0,10.0,21.0,5.0,8.0,6.0,15.0,12.0,27.0,44.0,81.0,16.0,152.0,773,12.0,28.0,5.0,35.0,11.0,15.0,5.0,36.0,52.0,36.0,16.0,1.0,14.0,18.0,9.0,40.0,25.0,9.0,26.0,38.0,31.0,69.0,8.0,5.0,3.0,13.0,1.0,14.0,38.0,16.0,20.0,2.0,10.0,1.0,7.0,4.0,7.0,5.0,,36.0,181.0,4.0,,0.5909090909090909,0.7222222222222222,0.5432098765432098,0.4285714285714285,0.7333333333333333,0.5483870967741935,0.4411764705882353,0.5740740740740741,0.5714285714285714,0.4861111111111111,0.5806451612903226,0.0123456790123456,,16.079295154185022,0.6153846153846154,0.0890410958904109,0.0786163522012578,0.1551724137931034,0.1,0.0775193798449612,0.073170731707317,0.0677966101694915,0.0847457627118644,0.0952380952380952,0.1351351351351351,0.7142857142857143,0.314516129032258,0.6666666666666666,0.6842105263157895,0.5,0.1209677419354838,0.4,0.4,0.5,0.2177419354838709,0.4444444444444444,0.4444444444444444,0.8333333333333334,0.6176470588235294,0.4761904761904761,0.2962962962962963,0.625,0.6612903225806451,0.5079596774193549,0.5187862068965517,0.4699611111111111,0.0757575757575757,0.1123595505617977,0.2302631578947368,0.2368421052631578,8.048148148148147,0.2445945945945946,5.0,1.0,,10.0,31.0,2.0,5.0,1.0,9.0,6.0,12.0,1.0,2.0,3.0,16.0,43.0,2.0,6.0,3.0,12.0,48.0,12.0,6.0,4.0,2.0,2.0,5.0,5.0,1.0,3.0,4.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,0.3720930232558139,0.3333333333333333,0.25,0.3720930232558139,0.3467741935483871,0.0256410256410256,0.1071428571428571,0.0303030303030303,0.072463768115942,0.088235294117647,0.0571428571428571,0.1034482758620689,0.0775193798449612,0.1904761904761904,0.064516129032258,0.25,0.3225806451612903,0.3225806451612903,1.0,0.0967741935483871,0.5,0.5,1.0,0.1,0.1470588235294117,0.4,1.0,0.0294117647058823,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.5,24.090697674418607,,,,,,,,,,,,,,,True,,,,,,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,36005.0,600,-1.0,1094,1096,287.0,298,173.0,2190,17.0,39.0,2.0,4.0,5.0,9.0,6.0,24.0,32.0,88.0,55.0,151.0,42.0,158.0,1160,9.0,19.0,3.0,21.0,15.0,36.0,18.0,51.0,36.0,74.0,2.0,12.0,124.0,155.0,65.0,341.0,15.0,6.0,40.0,46.0,24.0,70.0,19.0,12.0,7.0,45.0,11.0,27.0,77.0,49.0,58.0,1.0,20.0,8.0,3.0,,3.0,2.0,,51.0,287.0,7.0,7.0,0.3272727272727272,0.3333333333333333,0.3642384105960264,0.4736842105263157,0.4166666666666667,0.3694267515923566,0.4736842105263157,0.4342105263157895,0.4239130434782608,0.5,0.51,0.0794701986754966,0.125,17.44097486671744,0.4222222222222222,0.0883002207505518,0.0328947368421052,0.0689655172413793,0.0851851851851851,0.0410447761194029,0.0165289256198347,0.0227272727272727,0.0445344129554655,0.081081081081081,0.0508474576271186,0.6666666666666666,0.2484076433121019,0.4358974358974359,0.5483870967741935,0.3529411764705882,0.1528662420382165,0.25,0.2857142857142857,,0.5605095541401274,0.3636363636363636,0.367816091954023,0.375,0.2105263157894736,0.5,0.2368421052631578,0.5555555555555556,0.286624203821656,0.4321347133757961,0.4173,0.4132184210526317,0.1136363636363636,0.1176470588235294,0.1329113924050632,0.3227848101265823,11.862251655629144,0.2623400365630713,26.0,8.0,,,1.0,,,,1.0,2.0,5.0,,1.0,1.0,2.0,6.0,,,1.0,2.0,3.0,5.0,2.0,31.0,16.0,15.0,51.0,7.0,2.0,,2.0,19.0,10.0,9.0,7.0,3.0,,3.0,3.0,,,3.0,,0.5,0.3333333333333333,,0.5,0.3333333333333333,0.0382165605095541,0.2051282051282051,,0.0454545454545454,0.0875,0.1395348837209302,0.027027027027027,0.0776699029126213,0.099009900990099,0.1071428571428571,0.0229885057471264,0.0063694267515923,,,,0.0318471337579617,0.4,0.4,0.5,,,,,,0.0263157894736842,,0.0263157894736842,1.0,0.4,26.15,3.0,8.0,4.0,3.0,0.0113636363636363,,,,,,,,,,True,,,,,,,,
2545,1610612765,Darko Milicic,Darko Milicic,2545,DET,6599.0,110,-62.0,224,218,102.0,103,34.0,442,7.0,8.0,2.0,3.0,4.0,4.0,,2.0,8.0,16.0,15.0,26.0,3.0,33.0,264,2.0,4.0,,4.0,7.0,11.0,2.0,16.0,26.0,4.0,4.0,,4.0,6.0,,14.0,7.0,3.0,11.0,16.0,8.0,24.0,4.0,3.0,1.0,11.0,5.0,10.0,16.0,7.0,8.0,,4.0,,11.0,6.0,12.0,7.0,1.0,16.0,102.0,2.0,,0.8666666666666667,1.0,0.5769230769230769,0.5,0.6363636363636364,0.5555555555555556,0.5,0.6363636363636364,0.532258064516129,0.4,0.6666666666666666,,,15.96958174904943,0.3636363636363636,0.1341463414634146,0.0833333333333333,0.2142857142857142,0.1458333333333333,0.0729166666666666,0.2,0.0555555555555555,0.0434782608695652,0.1071428571428571,0.2727272727272727,0.5833333333333334,0.2962962962962963,0.875,0.875,0.7142857142857143,0.074074074074074,,,,0.5925925925925926,0.5,0.5,1.0,0.75,0.6666666666666666,0.3636363636363636,1.0,0.3333333333333333,0.4434537037037038,0.4841749999999999,0.4488272727272727,0.1290322580645161,0.1333333333333333,0.1212121212121212,0.4848484848484848,12.334615384615384,0.4553571428571428,7.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,2.0,,2.0,3.0,,1.0,2.0,,1.0,1.0,,2.0,,,2.0,2.0,,3.0,,5.0,,,,,,0.037037037037037,,0.2222222222222222,0.0625,,,,0.1333333333333333,0.1538461538461538,,,,,,,0.037037037037037,,,,,,,,,,,,,,25.6,,1.0,,,,1.0,1.0,1.0,,,,,,,True,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,18968.0,316,12.0,572,578,131.0,148,78.0,1150,34.0,53.0,2.0,6.0,10.0,15.0,14.0,32.0,29.0,76.0,77.0,161.0,41.0,222.0,606,5.0,15.0,,16.0,21.0,37.0,7.0,55.0,112.0,42.0,,9.0,29.0,33.0,13.0,70.0,8.0,3.0,15.0,18.0,10.0,28.0,15.0,9.0,6.0,21.0,7.0,2.0,26.0,34.0,48.0,4.0,20.0,3.0,,,,,,55.0,131.0,4.0,2.0,0.7272727272727273,0.7272727272727273,0.4782608695652174,0.3333333333333333,0.5675675675675675,0.5142045454545454,0.4705882352941176,0.5853658536585366,0.5564102564102564,0.4705882352941176,0.6111111111111112,0.0559006211180124,0.0625,32.23880597014925,0.7142857142857143,0.0625,0.0334728033472803,0.0625,0.0625,0.0374531835205992,0.0142857142857142,0.0465116279069767,0.0396825396825396,0.0897435897435897,0.0606060606060606,,0.3011363636363636,0.6415094339622641,0.7391304347826086,0.6764705882352942,0.1818181818181818,0.4375,0.4666666666666667,0.5,0.4318181818181818,0.3815789473684211,0.3815789473684211,0.896551724137931,0.3529411764705882,0.3333333333333333,0.3658536585365853,0.6666666666666666,0.3863636363636363,0.4563285714285714,0.487975,0.4422674999999999,0.1041666666666666,0.1129943502824858,0.072072072072072,0.2477477477477477,9.963975155279504,0.229020979020979,6.0,3.0,,7.0,11.0,2.0,2.0,,1.0,2.0,4.0,,2.0,3.0,9.0,15.0,2.0,2.0,2.0,4.0,27.0,4.0,2.0,4.0,2.0,2.0,13.0,2.0,,,1.0,3.0,3.0,,,2.0,,,,2.0,,,,1.0,0.6,1.0,0.5,0.6,0.0852272727272727,0.1320754716981132,,,0.0714285714285714,0.0526315789473684,0.1111111111111111,0.04,0.0535714285714285,0.0666666666666666,0.0129870129870129,0.0625,0.6363636363636364,0.6363636363636364,1.0,0.0227272727272727,0.5,0.5,1.0,0.5,0.1176470588235294,1.0,1.0,,0.024390243902439,,0.073170731707317,0.6666666666666666,0.5,24.57333333333333,,3.0,4.0,7.0,,,,,,,,,,,True,,,,,,,,
2568,1610612765,Carlos Delfino,Carlos Delfino,2568,DET,12864.0,214,-48.0,407,401,133.0,130,59.0,808,17.0,27.0,3.0,3.0,3.0,4.0,,2.0,5.0,15.0,22.0,44.0,18.0,83.0,460,3.0,5.0,6.0,12.0,6.0,10.0,11.0,26.0,22.0,22.0,4.0,5.0,13.0,14.0,6.0,29.0,8.0,7.0,22.0,34.0,10.0,44.0,4.0,3.0,1.0,11.0,4.0,8.0,23.0,18.0,24.0,2.0,12.0,1.0,4.0,3.0,4.0,2.0,,26.0,133.0,3.0,1.0,0.5,0.55,0.5,0.6,0.6,0.5078125,0.6,0.46875,0.5533333333333333,0.75,0.5909090909090909,0.1136363636363636,,17.99163179916318,0.3636363636363636,0.1486486486486486,0.0509554140127388,0.2413793103448276,0.1638418079096045,0.053475935828877,0.0606060606060606,0.027027027027027,0.057471264367816,0.1136363636363636,0.3043478260869565,0.5,0.421875,0.6296296296296297,0.7727272727272727,0.4705882352941176,0.03125,,,,0.234375,0.3333333333333333,0.3333333333333333,0.6,0.6,1.0,0.25,0.75,0.734375,0.52902421875,0.476,0.4780312499999999,0.1621621621621621,0.2222222222222222,0.144578313253012,0.3132530120481928,6.786363636363637,0.3267813267813267,7.0,1.0,,4.0,10.0,,,1.0,3.0,3.0,10.0,,,3.0,7.0,20.0,,,1.0,6.0,21.0,10.0,3.0,1.0,1.0,,5.0,2.0,,5.0,1.0,4.0,3.0,1.0,3.0,,,,2.0,,2.0,,1.0,1.0,0.35,,0.1666666666666666,0.35,0.3125,0.1851851851851851,0.3333333333333333,,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.1707317073170731,0.1587301587301587,,0.0333333333333333,0.15625,0.4,0.4,1.0,0.15625,0.3,0.3,1.0,0.3333333333333333,,,,,0.1875,0.3333333333333333,0.1875,,0.3,24.855,,2.0,1.0,,,,,,,,,,,,True,,,,,,,,
905,1610612765,Dale Davis,Dale Davis,905,DET,1111.0,19,-4.0,34,34,15.0,19,4.0,68,,1.0,,,,,,,,,,1.0,,,45,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,2.0,3.0,,,,1.0,1.0,1.0,3.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,15.0,2.0,,,,,,,,,,,,,,,7.5,,0.1,0.1818181818181818,,0.0833333333333333,0.1428571428571428,0.4,,,,,,1.0,,,,,,,,,,,,,,,,1.0,0.5079,,,0.5,0.5,,,,0.4411764705882353,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,15771.0,263,27.0,456,467,144.0,123,77.0,923,21.0,40.0,7.0,16.0,6.0,16.0,1.0,6.0,,2.0,22.0,48.0,21.0,65.0,481,7.0,16.0,5.0,19.0,7.0,18.0,5.0,19.0,26.0,18.0,10.0,5.0,13.0,18.0,4.0,41.0,32.0,7.0,51.0,68.0,32.0,100.0,3.0,2.0,1.0,8.0,,9.0,14.0,36.0,42.0,1.0,20.0,2.0,15.0,12.0,15.0,8.0,,19.0,144.0,3.0,1.0,0.5909090909090909,0.7647058823529411,0.4583333333333333,0.4375,0.3888888888888889,0.44,0.4375,0.35,0.4577464788732394,0.4318181818181818,0.38,0.1041666666666666,0.1666666666666666,14.031971580817052,0.375,0.2537313432835821,0.1568627450980392,0.1666666666666666,0.2386831275720164,0.1434977578475336,0.1206896551724138,0.2195121951219512,0.1523809523809524,0.1363636363636363,0.2222222222222222,0.5333333333333333,0.8,0.525,0.5833333333333334,0.5714285714285714,0.12,0.1666666666666666,0.2,1.0,0.04,,,,1.0,0.4375,0.8,0.375,0.84,0.5131408163265306,0.50114375,0.4712052631578947,0.2898550724637681,0.2985074626865671,0.2923076923076923,0.2923076923076923,1.7937499999999995,0.3157894736842105,5.0,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,2.0,,,,2.0,,,,5.0,2.0,3.0,6.0,,,10.0,4.0,9.0,7.0,2.0,3.0,,,1.0,,1.0,6.0,1.0,2.0,,,,,,0.04,0.1,0.5555555555555556,,,,,0.25,0.3406593406593406,0.0666666666666666,0.2222222222222222,0.02,,,,0.02,,,,0.1428571428571428,,,,,0.05,,0.05,,,31.75,,3.0,4.0,,,,,,,1.0,,,,,True,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,229.0,4,-3.0,6,8,1.0,3,,14,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
