EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ShortMidRangeAssists,LongMidRangeAssists,Offensive Fouls,3SecondViolations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGA,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Corner3Assists,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,DefThreePtRebounds,LostBallTurnovers,BlockedShortMidRange,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,FTOffRebounds,LostBallSteals,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,DefCorner3ReboundPct,Arc3PctAssisted,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Assists,BadPassOutOfBoundsTurnovers,ShortMidRangePctAssisted,on,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,OffThreePtRebounds,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Technical Free Throw Trips,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Clear Path Fouls
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,2326.0,39,-22.0,81,83,29.0,52.0,11.0,164,2.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,9.0,5.0,9.0,103,2.0,3.0,1.0,5.0,2.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,7.0,4.0,11.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,6.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,29.0,1.0,0.5,1.0,0.2222222222222222,0.6666666666666666,0.5,0.2222222222222222,0.6666666666666666,0.5,0.3,0.5,0.5833333333333334,20.43010752688172,0.75,0.25,0.19230769230769232,0.16,0.15625,0.125,0.2222222222222222,0.1111111111111111,0.14285714285714285,0.125,0.14285714285714285,0.2727272727272727,0.14285714285714285,1.0,0.5555555555555556,0.4,0.4,0.5,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.5555555555555556,0.49377777777777776,0.6218666666666667,0.56025,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.7777777777777778,6.5,0.35802469135802467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101161,1610612765,Amir Johnson,Amir Johnson,101161,DET,2326.0,39,-22.0,81,83,29.0,52.0,11.0,164,5.0,6.0,1.0,2.0,1.0,1.0,1.0,,5.0,7.0,4.0,20.0,103,1.0,2.0,,2.0,1.0,1.0,4.0,9.0,6.0,4.0,2.0,3.0,3.0,1.0,6.0,3.0,1.0,,1.0,3.0,4.0,,,,2.0,2.0,2.0,,4.0,,3.0,7.0,2.0,,4.0,1.0,1.0,2.0,2.0,2.0,2.0,,9.0,29.0,1.0,0.6,0.75,0.7142857142857143,0.5,1.0,0.8,0.5,1.25,0.8333333333333334,0.5,1.125,17.204301075268816,0.5,,0.038461538461538464,0.12,0.03125,0.09375,0.1111111111111111,0.2222222222222222,,,,0.09090909090909091,,1.0,0.6,0.8333333333333334,0.8333333333333334,0.6,0.1,,1.0,0.5,,0.5,1.0,0.9,0.58468,0.55475,0.577075,0.09090909090909091,0.125,0.1,0.45,1.6857142857142857,0.35802469135802467,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.3,0.3,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101165,1610612765,Alex Acker,Alex Acker,101165,DET,1137.0,19,,40,41,15.0,24.0,8.0,81,,2.0,,1.0,,2.0,1.0,4.0,2.0,7.0,,7.0,42,,1.0,,,2.0,6.0,,4.0,,4.0,,3.0,4.0,1.0,9.0,1.0,2.0,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,4.0,15.0,,,,0.2857142857142857,,0.3333333333333333,0.3181818181818182,,0.25,0.3181818181818182,,0.25,25.0,1.0,,0.14285714285714285,0.08333333333333333,0.125,0.06666666666666667,,,0.25,,0.25,0.125,,,0.18181818181818182,,,,0.09090909090909091,0.36363636363636365,1.0,,,0.25,,0.5454545454545454,0.44667727272727276,0.5918,0.45916875,,,,0.5714285714285714,11.171428571428573,0.375,,1.0,,1.0,1.0,4.0,,2.0,,,2.0,,,1.0,,0.25,,0.25,0.36363636363636365,0.09090909090909091,,,,0.125,,26.3,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.5,1.0,0.5,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.125,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,1610612765,Kelvin Cato,Kelvin Cato,1509,DET,1137.0,19,,40,41,15.0,24.0,8.0,81,1.0,1.0,,,,,2.0,2.0,2.0,5.0,,4.0,42,,,,,1.0,2.0,,2.0,4.0,,,1.0,2.0,1.0,5.0,,1.0,1.0,3.0,,3.0,,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,2.0,,2.0,1.0,,2.0,15.0,,1.0,1.0,0.4,,0.5,0.4,,0.5,0.4,,0.5,14.583333333333334,0.5,0.25,0.07142857142857142,,0.125,,,,,,,0.125,,0.5,0.2,1.0,1.0,1.0,0.4,0.4,,,,,,0.2,0.41513999999999995,,0.36605,,,,0.5,10.76,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,0.2,,0.5,0.5,0.5,,,,,,1.0,1.0,2.0,0.5,0.5,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,1610612765,Carlos Delfino,Carlos Delfino,2568,DET,2029.0,34,-16.0,69,70,28.0,41.0,11.0,139,5.0,7.0,,,,2.0,,4.0,7.0,11.0,3.0,23.0,87,1.0,2.0,,2.0,1.0,4.0,2.0,4.0,6.0,8.0,,1.0,1.0,1.0,2.0,,3.0,2.0,8.0,1.0,9.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,3.0,,5.0,2.0,,,,,,,4.0,28.0,,0.42857142857142855,0.42857142857142855,0.6363636363636364,0.5,0.25,0.7692307692307693,0.5,0.25,0.7666666666666667,0.5,0.4,20.98765432098765,0.5,0.2857142857142857,0.13043478260869565,,0.2222222222222222,,,,,,,0.2727272727272727,,,0.5384615384615384,0.7142857142857143,0.7142857142857143,0.2,,0.3076923076923077,,,,0.5,,0.6923076923076923,0.5403192307692308,0.36275,0.4646,0.2,0.15384615384615385,0.08695652173913043,0.17391304347826086,6.245454545454544,0.4057971014492754,1.0,1.0,,,2.0,2.0,,,6.0,,,,,,1.0,1.0,,1.0,0.15384615384615385,0.07692307692307693,1.0,1.0,1.0,,,25.55,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,0.5,0.5,0.07692307692307693,1.0,1.0,,1.0,3.0,,,0.75,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1610612765,Ben Wallace,Ben Wallace,1112,DET,187.0,3,-6.0,5,6,5.0,,,11,1.0,1.0,,,1.0,1.0,2.0,,1.0,3.0,1.0,3.0,10,,,,,1.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,2.0,1.0,2.0,,1.0,,,,,,3.0,5.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.375,,0.375,57.14285714285714,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,,,0.3333333333333333,1.0,0.3333333333333333,0.4771,,0.4771,,,,1.0,4.366666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,100.0,2,-5.0,2,3,2.0,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612765,Maurice Evans,Maurice Evans,2230,DET,297.0,5,-6.0,12,13,1.0,11.0,,25,1.0,1.0,,,,,1.0,,2.0,2.0,,4.0,16,,,,,,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,0.5,0.5,1.0,,,1.0,,,1.0,,,16.666666666666668,,,,,0.2,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,0.5,0.59535,,,,,,,6.2,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,0.5,,,,,,,,,,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,1610612765,Tony Delk,Tony Delk,960,DET,856.0,14,-13.0,28,28,12.0,17.0,3.0,56,2.0,2.0,,,,,1.0,,2.0,3.0,,4.0,42,,,,,,,,,,4.0,,,2.0,,6.0,,,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,12.0,,,,0.6666666666666666,,,0.3333333333333333,,,0.3333333333333333,,,18.75,,,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,0.16666666666666666,,,,,,,0.8333333333333334,0.55335,,0.6015,,,,,4.033333333333333,0.42857142857142855,,1.0,,,,3.0,,1.0,,,,,,,,,,,0.5,0.16666666666666666,,,,,,24.366666666666664,,,2.0,1.0,,2.0,,,2.0,1.0,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612765,Carlos Arroyo,Carlos Arroyo,2306,DET,233.0,4,-4.0,11,11,,11.0,,22,,,,,,,,1.0,1.0,1.0,,2.0,14,,,,,,,,,,2.0,,2.0,2.0,1.0,4.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,18.181818181818183,1.0,,0.3333333333333333,,0.2,,,,,0.5,,,,,,,,,,1.0,,,,,,,0.3825,,,,,,,15.8,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
