EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,FoulsDrawn,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,SecondChanceArc3FGA,FG3A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,Arc3Frequency,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,SecondChanceFG3M,PenaltyFtPoints,PtsAssisted3s,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3Assists,FTDefRebounds,LostBallSteals,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,DefFTReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceFtPoints,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,ShortMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,on,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,HeaveAttempts,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,Clear Path Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,DefensiveGoaltends,Fg3aBlocked,FTOffRebounds,BlockedCorner3,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,OffensiveGoaltends
101108,1610612740,Chris Paul,Chris Paul,101108,NOK,536.0,9,5.0,17,16,12.0,3.0,4.0,33,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,15,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,12.0,0.5,1.0,0.5,1.0,0.5,1.0,18.181818181818183,0.3333333333333333,0.14285714285714285,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5090250000000001,0.3266,0.5775,0.8,9.375,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101178,1610612740,Arvydas Macijauskas,Arvydas Macijauskas,101178,NOK,1128.0,19,,33,34,3.0,3.0,7.0,67,1.0,1.0,,,1.0,3.0,2.0,4.0,2.0,6.0,40,,,,,2.0,1.0,2.0,,5.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,3.0,0.5,,0.2857142857142857,,0.375,,22.5,,0.07142857142857142,,0.14285714285714285,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,0.5714285714285714,0.44604285714285713,0.5214,,,14.7,0.09090909090909091,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.42857142857142855,1.0,0.14285714285714285,0.3333333333333333,1.0,0.42857142857142855,1.0,0.125,0.2,26.133333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,1610612740,Marc Jackson,Marc Jackson,1531,NOK,1593.0,27,-24.0,48,49,11.0,7.0,9.0,97,3.0,3.0,,,1.0,3.0,4.0,7.0,,8.0,59,3.0,1.0,2.0,2.0,6.0,1.0,1.0,,2.0,1.0,2.0,6.0,,,1.0,,,2.0,11.0,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5,17.54385964912281,0.09090909090909091,0.1,0.2,0.42857142857142855,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,0.42857142857142855,0.4699285714285714,0.5494,0.42415,0.25,8.9,0.22916666666666666,,,,,2.0,,,,,1.0,2.0,2.0,3.0,,0.25,0.5,,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,,,,,,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.14285714285714285,0.08333333333333333,0.2,0.14285714285714285,0.6666666666666666,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,1610612740,Marcus Fizer,Marcus Fizer,2033,NOK,2339.0,39,-12.0,72,72,26.0,13.0,10.0,144,1.0,1.0,,,4.0,9.0,8.0,16.0,1.0,20.0,84,,3.0,5.0,7.0,10.0,1.0,1.0,,2.0,2.0,6.0,7.0,,,1.0,2.0,,7.0,26.0,0.5,0.6,0.5588235294117647,0.6,0.5555555555555556,0.5833333333333334,24.390243902439025,0.125,0.20689655172413793,0.125,0.058823529411764705,1.0,1.0,0.5294117647058824,0.4444444444444444,0.4444444444444444,,,0.11764705882352941,0.3912264705882353,0.58725,0.36832000000000004,0.35,13.69375,0.3611111111111111,,,1.0,1.0,6.0,,,,,4.0,1.0,1.0,2.0,,0.375,0.375,0.058823529411764705,0.5,0.3076923076923077,0.25,1.0,,,,,22.9,,,6.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,1.5,1.5,0.0625,0.16666666666666666,0.03571428571428571,,0.02857142857142857,,,0.0625,,0.35294117647058826,,,0.15,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5,0.058823529411764705,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,1610612740,Desmond Mason,Desmond Mason,2046,NOK,512.0,9,5.0,17,15,12.0,3.0,4.0,32,,,,,,,,,,,15,,,,,,,,,,1.0,1.0,2.0,,,,,,,12.0,,,,,,,,0.5,0.16666666666666666,0.5,,,,,,,,,,,,,,,0.7058823529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,3.0,,,,,,0.1111111111111111,,0.09090909090909091,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,1610612740,Linton Johnson,Linton Johnson,2669,NOK,1827.0,30,-17.0,55,57,14.0,10.0,6.0,112,1.0,1.0,,,2.0,2.0,3.0,4.0,,6.0,69,,1.0,2.0,2.0,6.0,1.0,2.0,,5.0,4.0,5.0,5.0,1.0,,,,,2.0,14.0,0.75,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5,11.475409836065573,0.2857142857142857,0.17391304347826086,0.16666666666666666,0.14285714285714285,1.0,1.0,0.2857142857142857,1.0,1.0,,,0.5714285714285714,0.4785,,0.36515,0.3333333333333333,12.725,0.2545454545454545,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,0.42857142857142855,,,,,0.14285714285714285,1.0,,,24.2,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,2.0,,,,,,,,,,,,,,0.6666666666666666,,,,,0.2857142857142857,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612740,P.J. Brown,P.J. Brown,136,NOK,340.0,6,2.0,12,11,12.0,3.0,1.0,23,,1.0,,1.0,,1.0,,3.0,2.0,2.0,13,,,3.0,2.0,,,,,,,1.0,2.0,,,1.0,2.0,,2.0,12.0,,,,,0.25,0.25,30.769230769230766,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,0.3333333333333333,0.4433,,0.4433,1.0,7.833333333333333,1.0,,,,,,,,,,1.0,,,,,,,,,0.5,1.0,,,,,,,,,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,,,1.0,0.3333333333333333,1.0,0.2,,0.2,,,0.3333333333333333,,0.3333333333333333,,,1.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,1610612740,JR Smith,JR Smith,2747,NOK,1118.0,19,-11.0,36,36,23.0,10.0,3.0,72,,1.0,,,2.0,3.0,2.0,4.0,,4.0,40,,2.0,3.0,4.0,2.0,,,,,,2.0,2.0,1.0,1.0,,,,4.0,23.0,0.5,0.6666666666666666,0.4,0.6666666666666666,0.4,0.6666666666666666,15.384615384615383,,0.13333333333333333,,0.2,,,0.6,0.6666666666666666,0.6666666666666666,,,0.4,0.45058,,0.3993,1.0,14.625,0.6388888888888888,1.0,,1.0,,2.0,1.0,,,,2.0,1.0,1.0,1.0,,0.5,0.5,0.2,1.0,0.3333333333333333,,,0.2,,,,25.6,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101138,1610612740,Brandon Bass,Brandon Bass,101138,NOK,406.0,7,10.0,12,12,3.0,3.0,,24,1.0,2.0,1.0,1.0,,1.0,2.0,4.0,,4.0,12,,1.0,1.0,2.0,,,,,,1.0,3.0,3.0,,,1.0,,,2.0,3.0,0.5,1.0,0.5,1.0,0.5,1.0,33.333333333333336,0.25,0.3333333333333333,,0.5,0.5,1.0,0.25,,,1.0,1.0,0.5,0.490175,,0.5539,0.5,5.625,0.25,,,,,4.0,,,,,1.0,,,,,1.0,1.0,,,0.5,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,0.25,,,,,,,,,0.25,,,,1.0,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,0.5,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,1610612740,Moochie Norris,Moochie Norris,983,NOK,1803.0,30,-17.0,55,56,14.0,10.0,6.0,111,2.0,2.0,,,1.0,4.0,3.0,8.0,4.0,16.0,69,,,1.0,6.0,4.0,3.0,3.0,1.0,6.0,1.0,2.0,3.0,,,4.0,9.0,1.0,6.0,14.0,0.375,,0.6,0.75,0.5714285714285714,0.6,26.666666666666668,0.07692307692307693,0.09090909090909091,0.16666666666666666,0.2,1.0,1.0,0.4,0.25,0.25,,,0.4,0.440745,,0.3744,0.375,11.95,0.2545454545454545,2.0,,2.0,,2.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.2,0.5,0.1111111111111111,,0.5,0.2,,0.16666666666666666,0.2,26.2,,,2.0,,,,,2.0,1.0,,1.0,1.0,,,1.0,2.0,,,,,,,0.2,0.043478260869565216,,,,,0.2,,,,,,,,,2.0,,3.0,3.0,,2.0,2.0,0.5,1.0,,1.0,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
