EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,OffensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,on,Corner3PctBlocked
101128,1610612758,Francisco Garcia,Francisco Garcia,101128,SAC,78072.0,1301,-31.0,2483,2498,759,622,283.0,4981,53.0,87.0,8.0,15.0,14.0,22.0,11.0,21.0,27.0,80.0,13.0,48.0,1.0,3.0,12.0,26.0,89.0,4.0,7.0,4.0,21.0,91.0,188.0,39.0,137.0,78.0,377.0,2575,15.0,25.0,4.0,8.0,9.0,51.0,22.0,45.0,7.0,33.0,43.0,108.0,102.0,80.0,102.0,15.0,18.0,1.0,88.0,26.0,11.0,77.0,17.0,94.0,13.0,4.0,41.0,11.0,25.0,205.0,11.0,28.0,35.0,109.0,2.0,146.0,39.0,185.0,4.0,41.0,30.0,11.0,41.0,10.0,30.0,34.0,2.0,11.0,3.0,6.0,75.0,8.0,19.0,77.0,135.0,5.0,8.0,87.0,6.0,7.0,101.0,10.0,1.0,32.0,2.0,20.0,41.0,6.0,4.0,21.0,2.0,7.0,13.0,47.0,25.0,1.0,108.0,759,17.0,17.0,0.5604395604395604,0.6219512195121951,0.8717948717948718,0.2846715328467153,0.5,0.21212121212121213,0.2867647058823529,0.48404255319148937,0.6,0.4888888888888889,0.46,0.6363636363636364,0.4166666666666667,0.5094850948509485,0.6710526315789473,0.5194174757281553,0.42153846153846153,0.05851063829787234,0.10344827586206896,0.09523809523809523,15.851481613709389,0.5466666666666666,0.020618556701030927,0.11822125813449023,0.03317535545023697,0.13513513513513514,0.036544850498338874,0.12193056731583404,0.03406113537117904,0.030303030303030304,0.03977272727272727,0.032036613272311214,0.045454545454545456,0.012345679012345678,0.09795918367346938,0.13740458015267176,0.1180722891566265,0.12222222222222222,0.16455696202531644,0.02185792349726776,0.5319148936170213,0.2676923076923077,0.6091954022988506,0.6794871794871795,0.5660377358490566,0.06461538461538462,0.5238095238095238,0.5789473684210527,0.18181818181818182,0.24615384615384617,0.3375,0.3375,0.7037037037037037,0.1476923076923077,0.2708333333333333,0.2708333333333333,1.0,0.27384615384615385,0.29213483146067415,0.29213483146067415,0.8076923076923077,0.45454545454545453,0.5333333333333333,0.125,0.030303030303030304,0.21212121212121213,0.5714285714285714,0.5,0.28205128205128205,0.6363636363636364,0.15384615384615385,0.25,0.2692307692307692,0.19047619047619047,0.6892307692307692,0.29545454545454547,0.5287986111111111,0.5077354166666667,0.5351363636363636,0.09742120343839542,0.1523809523809524,0.014388489208633094,0.13527851458885942,0.2864721485411141,9.11808510638298,24.608759124087594,0.30567861457913814,,,,,,,,,,,,,,True,
101179,1610612758,Ronnie Price,Ronnie Price,101179,SAC,6597.0,110,-30.0,215,217,120,108,24.0,432,8.0,12.0,,1.0,6.0,8.0,,,3.0,11.0,1.0,6.0,1.0,,3.0,3.0,12.0,,1.0,1.0,5.0,11.0,23.0,4.0,18.0,5.0,39.0,216,,2.0,,2.0,3.0,3.0,7.0,13.0,1.0,8.0,4.0,21.0,14.0,8.0,9.0,3.0,,1.0,11.0,3.0,2.0,8.0,,8.0,,,3.0,1.0,4.0,16.0,1.0,3.0,1.0,8.0,,9.0,4.0,13.0,1.0,3.0,2.0,1.0,6.0,1.0,3.0,2.0,,3.0,,,8.0,,4.0,2.0,4.0,,1.0,5.0,,1.0,5.0,,1.0,2.0,,,,,,,,,,,,,21.0,120,1.0,,0.6363636363636364,0.6363636363636364,0.75,0.2222222222222222,,0.125,0.23529411764705882,0.4782608695652174,,0.5384615384615384,0.4146341463414634,,0.40476190476190477,0.4418604651162791,0.2,0.45652173913043476,0.43902439024390244,0.08695652173913043,0.16666666666666666,,20.98765432098765,0.75,,0.09523809523809523,0.0379746835443038,0.07142857142857142,0.04,0.09183673469387756,0.038461538461538464,0.043478260869565216,,0.05,0.058823529411764705,,0.09523809523809523,0.07407407407407407,0.1111111111111111,0.09090909090909091,,0.045454545454545456,,0.2926829268292683,0.6666666666666666,0.8,0.5,,,,,0.2682926829268293,0.2727272727272727,0.2727272727272727,1.0,0.14634146341463414,0.16666666666666666,0.16666666666666666,1.0,0.2926829268292683,0.25,0.25,0.6666666666666666,0.25,,,0.25,0.25,,,0.38095238095238093,0.75,0.14285714285714285,,0.23809523809523808,0.2,0.7317073170731707,0.2727272727272727,0.5133349999999999,0.50305,0.5349595238095238,0.046511627906976744,0.08,,0.07692307692307693,0.5384615384615384,9.334782608695653,26.566666666666666,0.5581395348837209,1.0,,,,,,,,,,,,,True,
1710,1610612758,Mike Bibby,Mike Bibby,1710,SAC,46923.0,782,-26.0,1515,1522,511,425,171.0,3037,25.0,47.0,3.0,3.0,8.0,15.0,9.0,25.0,87.0,183.0,10.0,26.0,4.0,1.0,4.0,46.0,123.0,8.0,15.0,20.0,53.0,121.0,255.0,56.0,149.0,93.0,503.0,1622,10.0,12.0,10.0,19.0,3.0,53.0,32.0,74.0,21.0,57.0,55.0,182.0,90.0,152.0,153.0,15.0,2.0,,123.0,46.0,6.0,78.0,14.0,92.0,11.0,3.0,43.0,7.0,28.0,198.0,3.0,4.0,27.0,29.0,1.0,57.0,8.0,65.0,2.0,21.0,13.0,8.0,42.0,2.0,31.0,14.0,3.0,11.0,1.0,,56.0,3.0,23.0,19.0,52.0,4.0,4.0,104.0,,8.0,110.0,11.0,5.0,35.0,1.0,21.0,2.0,,,1.0,,,1.0,2.0,1.0,,182.0,511,15.0,21.0,0.371900826446281,0.375,0.9107142857142857,0.37583892617449666,0.5263157894736842,0.3684210526315789,0.37583892617449666,0.4745098039215686,0.8333333333333334,0.43243243243243246,0.5074257425742574,0.8064516129032258,0.4847328244274809,0.5544444444444444,0.7878787878787878,0.5590062111801242,0.3688118811881188,0.023529411764705882,0.0851063829787234,0.08,29.5906432748538,0.75,0.016666666666666666,0.053703703703703705,0.007889546351084813,0.1588235294117647,0.015625,0.07887323943661972,0.010014306151645207,0.02,,0.0037174721189591076,0.021897810218978103,,0.06040268456375839,0.06382978723404255,0.044,0.11764705882352941,0.2549019607843137,0.009345794392523364,0.5,0.11633663366336634,0.5319148936170213,0.5813953488372093,0.24,0.06188118811881188,0.36,0.391304347826087,0.3333333333333333,0.452970297029703,0.47540983606557374,0.47540983606557374,0.41379310344827586,0.06435643564356436,0.38461538461538464,0.38461538461538464,1.0,0.30445544554455445,0.37398373983739835,0.3770491803278688,0.8913043478260869,0.0967741935483871,1.0,0.3333333333333333,0.12903225806451613,0.4838709677419355,0.5333333333333333,1.0,0.11450381679389313,0.5333333333333333,0.030534351145038167,0.25,0.40458015267175573,0.37735849056603776,0.48514851485148514,0.37398373983739835,0.46740556930693083,0.5179979166666667,0.45184427480916034,0.08391608391608392,0.12544802867383512,0.006666666666666667,0.10536779324055666,0.36182902584493043,14.690980392156858,25.015436241610743,0.3372937293729373,,2.0,1.0,1.0,0.006711409395973154,0.008130081300813009,0.0196078431372549,0.5,1.0,,,,,True,
1730,1610612758,Brian Skinner,Brian Skinner,1730,SAC,14989.0,250,-17.0,474,473,145,133,63.0,947,13.0,21.0,6.0,9.0,5.0,8.0,10.0,18.0,,3.0,,,,,,,,,,,,23.0,42.0,,,7.0,53.0,458,7.0,11.0,,,1.0,15.0,7.0,13.0,,,3.0,17.0,20.0,26.0,,,12.0,,,,3.0,4.0,4.0,8.0,3.0,1.0,3.0,,1.0,20.0,4.0,15.0,8.0,27.0,7.0,42.0,20.0,62.0,,8.0,6.0,2.0,1.0,,,6.0,,1.0,,1.0,7.0,1.0,,20.0,35.0,3.0,5.0,17.0,4.0,1.0,18.0,2.0,,8.0,,2.0,9.0,,,7.0,,1.0,1.0,9.0,6.0,,17.0,145,,2.0,0.43478260869565216,0.5882352941176471,,,,,,0.5476190476190477,0.6363636363636364,0.5384615384615384,0.5476190476190477,0.6363636363636364,0.5384615384615384,0.53,0.625,0.5666666666666667,,0.07142857142857142,0.047619047619047616,0.1111111111111111,10.536044362292051,0.14285714285714285,0.2916666666666667,0.1291866028708134,0.08333333333333333,0.1702127659574468,0.07272727272727272,0.13671875,0.08085106382978724,0.06666666666666667,0.07317073170731707,0.09574468085106383,0.075,0.06666666666666667,0.10606060606060606,0.17307692307692307,0.12087912087912088,0.12903225806451613,0.25,,0.6666666666666666,0.5,0.6190476190476191,0.65,0.5384615384615384,0.42857142857142855,0.5555555555555556,0.625,0.3,0.07142857142857142,,,,,,,,,,,,0.8181818181818182,0.6666666666666666,,,,,,0.6153846153846154,0.625,,,,,0.5,,0.4782214285714286,0.539,0.503076923076923,0.16666666666666666,0.16666666666666666,,0.2830188679245283,0.32075471698113206,4.276190476190476,,0.3059071729957806,1.0,,,1.0,,,0.05263157894736842,,,2.0,,,,True,
949,1610612758,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,SAC,35387.0,590,-2.0,1111,1107,315,277,124.0,2218,53.0,82.0,8.0,14.0,15.0,19.0,27.0,59.0,19.0,44.0,,1.0,,,,1.0,7.0,,,,5.0,99.0,185.0,1.0,8.0,74.0,275.0,1165,14.0,22.0,,,9.0,37.0,24.0,41.0,,5.0,37.0,85.0,96.0,102.0,3.0,,16.0,,7.0,1.0,22.0,33.0,13.0,46.0,9.0,4.0,16.0,7.0,10.0,105.0,3.0,21.0,17.0,62.0,11.0,90.0,24.0,114.0,2.0,15.0,9.0,6.0,17.0,3.0,10.0,19.0,3.0,7.0,,3.0,36.0,2.0,7.0,42.0,90.0,4.0,8.0,73.0,6.0,3.0,94.0,12.0,,38.0,,15.0,8.0,,,6.0,,1.0,1.0,8.0,6.0,1.0,85.0,315,10.0,11.0,0.48484848484848486,0.5274725274725275,1.0,0.125,,,0.125,0.5351351351351351,0.6363636363636364,0.5853658536585366,0.5207253886010362,0.6363636363636364,0.5217391304347826,0.5876068376068376,0.6607142857142857,0.6439393939393939,0.04145077720207254,0.11891891891891893,0.1951219512195122,0.1016949152542373,21.565495207667734,0.4722222222222222,0.2972972972972973,0.1486810551558753,0.059154929577464786,0.16666666666666666,0.02040816326530612,0.15221579961464354,0.04780876494023904,0.08602150537634409,0.022222222222222223,0.06395348837209303,0.018867924528301886,0.024390243902439025,0.11214953271028037,0.15447154471544716,0.1657754010695187,0.17105263157894737,0.15384615384615385,0.029411764705882353,0.75,0.42487046632124353,0.6463414634146342,0.803030303030303,0.5471698113207547,0.30569948186528495,0.4576271186440678,0.5094339622641509,0.037037037037037035,0.22797927461139897,0.4318181818181818,0.4318181818181818,0.9473684210526315,0.0051813471502590676,,,,0.03626943005181347,0.14285714285714285,0.16666666666666666,1.0,0.6363636363636364,0.5714285714285714,0.125,,,,,0.41304347826086957,0.7894736842105263,,,0.10869565217391304,,0.46632124352331605,0.14285714285714285,0.4680249999999999,0.4903894736842105,0.4759977777777778,0.1735159817351598,0.18009478672985782,,0.13454545454545455,0.3090909090909091,7.031891891891891,26.5875,0.28352835283528355,,,1.0,,0.125,0.14285714285714285,,,,2.0,1.0,,,True,
1802,1610612758,Brad Miller,Brad Miller,1802,SAC,48613.0,810,32.0,1543,1557,441,310,172.0,3100,31.0,56.0,6.0,12.0,6.0,18.0,29.0,51.0,52.0,127.0,2.0,5.0,,1.0,2.0,11.0,24.0,2.0,2.0,8.0,13.0,112.0,234.0,13.0,29.0,72.0,335.0,1630,16.0,34.0,2.0,2.0,9.0,47.0,25.0,62.0,9.0,15.0,36.0,113.0,156.0,68.0,36.0,3.0,12.0,2.0,22.0,11.0,17.0,75.0,31.0,106.0,22.0,9.0,36.0,10.0,29.0,243.0,7.0,22.0,24.0,104.0,23.0,151.0,32.0,183.0,3.0,13.0,9.0,4.0,27.0,9.0,21.0,17.0,1.0,6.0,,2.0,44.0,2.0,9.0,37.0,55.0,4.0,1.0,76.0,10.0,10.0,84.0,8.0,6.0,30.0,,13.0,9.0,,,9.0,,,,9.0,6.0,3.0,113.0,441,4.0,12.0,0.6964285714285714,0.7358490566037735,0.9230769230769231,0.4482758620689655,1.0,0.6,0.48148148148148145,0.47863247863247865,0.47058823529411764,0.4032258064516129,0.5,0.5277777777777778,0.5,0.552013422818792,0.575,0.5833333333333334,0.11026615969581749,0.07264957264957266,0.19642857142857142,0.09803921568627451,19.677790563866516,0.6136363636363636,0.39655172413793105,0.18309859154929578,0.042884990253411304,0.14906832298136646,0.03723404255319149,0.1755829903978052,0.04136947218259629,0.06206896551724138,0.021505376344086023,0.04,0.029411764705882353,0.057692307692307696,0.11486486486486487,0.25149700598802394,0.17786561264822134,0.13157894736842105,0.19148936170212766,0.025423728813559324,0.6666666666666666,0.21292775665399238,0.5535714285714286,0.6888888888888889,0.7096774193548387,0.19391634980988592,0.5686274509803921,0.6304347826086957,0.3793103448275862,0.4828897338403042,0.4094488188976378,0.4126984126984127,0.8653846153846154,0.019011406844106463,0.4,0.4,1.0,0.09125475285171103,0.4583333333333333,0.4583333333333333,0.9090909090909091,0.3333333333333333,0.5,0.5,,0.05555555555555555,1.0,1.0,0.23376623376623376,0.3333333333333333,0.025974025974025976,0.5,0.16883116883116883,0.6153846153846154,0.3231939163498099,0.5,0.44527490421455945,0.4464540000000001,0.4397006578947369,0.10526315789473684,0.1171875,,0.14029850746268657,0.3373134328358209,11.78247863247863,26.734482758620693,0.2858068697342839,1.0,,,3.0,,,0.05660377358490566,,,,,0.007874015748031496,,True,
1903,1610612758,Kenny Thomas,Kenny Thomas,1903,SAC,44185.0,736,-32.0,1408,1419,422,358,170.0,2827,63.0,97.0,16.0,27.0,14.0,24.0,20.0,40.0,20.0,71.0,,,,,,,1.0,,,,1.0,103.0,208.0,,1.0,56.0,262.0,1477,22.0,44.0,,,7.0,51.0,25.0,48.0,,1.0,21.0,71.0,146.0,60.0,,,18.0,,1.0,,21.0,50.0,19.0,69.0,14.0,5.0,25.0,5.0,20.0,157.0,17.0,42.0,33.0,86.0,14.0,133.0,62.0,195.0,2.0,20.0,11.0,9.0,19.0,11.0,13.0,30.0,3.0,6.0,1.0,7.0,49.0,4.0,10.0,27.0,50.0,3.0,5.0,70.0,9.0,8.0,84.0,12.0,,40.0,,8.0,9.0,1.0,1.0,6.0,,,3.0,10.0,6.0,2.0,71.0,422,5.0,7.0,0.7087378640776699,0.776595744680851,,,,,,0.4951923076923077,0.5,0.5208333333333334,0.49282296650717705,0.5,0.5102040816326531,0.5346938775510204,0.5204081632653061,0.5725806451612904,0.004784688995215311,0.10096153846153846,0.17525773195876287,0.05,18.409517845961176,0.3877551020408163,0.2692307692307692,0.17916666666666667,0.08316831683168317,0.20121951219512196,0.10967741935483871,0.18478260869565216,0.0893939393939394,0.12056737588652482,0.10344827586206896,0.05776173285198556,0.11206896551724138,0.10256410256410256,0.11851851851851852,0.21212121212121213,0.19718309859154928,0.24528301886792453,0.1206896551724138,0.023809523809523808,0.6,0.46411483253588515,0.6494845360824743,0.7875,0.6984126984126984,0.19138755980861244,0.5,0.5263157894736842,0.65,0.3397129186602871,0.28169014084507044,0.2898550724637681,0.8,,,,,0.004784688995215311,,,,0.6136363636363636,0.5925925925925926,0.375,,,,,0.4897959183673469,0.5833333333333334,,,0.02040816326530612,,0.4688995215311005,,0.47335673076923074,0.48854615384615374,0.45065208333333323,0.16877637130801687,0.1694915254237288,,0.1946564885496183,0.27099236641221375,8.08125,38.7,0.2997159090909091,1.0,,,3.0,,,0.05454545454545454,,,3.0,,0.028169014084507043,,True,
2755,1610612758,Kevin Martin,Kevin Martin,2755,SAC,36138.0,602,31.0,1166,1174,378,245,123.0,2340,37.0,60.0,4.0,5.0,8.0,18.0,13.0,29.0,14.0,42.0,9.0,15.0,,3.0,6.0,15.0,42.0,1.0,3.0,4.0,11.0,64.0,131.0,24.0,57.0,57.0,257.0,1201,7.0,11.0,1.0,3.0,1.0,18.0,15.0,35.0,7.0,17.0,23.0,74.0,76.0,52.0,60.0,12.0,4.0,1.0,41.0,15.0,12.0,21.0,8.0,29.0,6.0,2.0,6.0,,15.0,66.0,5.0,11.0,13.0,49.0,2.0,64.0,16.0,80.0,1.0,25.0,19.0,6.0,11.0,3.0,6.0,12.0,,5.0,1.0,3.0,23.0,5.0,8.0,15.0,47.0,1.0,2.0,51.0,2.0,7.0,69.0,6.0,,29.0,1.0,7.0,3.0,,,2.0,,,1.0,3.0,2.0,,74.0,378,1.0,6.0,0.59375,0.6129032258064516,0.8333333333333334,0.42105263157894735,0.3333333333333333,0.4117647058823529,0.42857142857142855,0.48854961832061067,0.6363636363636364,0.42857142857142855,0.5319148936170213,0.6071428571428571,0.49038461538461536,0.58675799086758,0.6428571428571429,0.578125,0.30319148936170215,0.0916030534351145,0.16666666666666666,0.034482758620689655,18.629715165511932,0.4782608695652174,0.05263157894736842,0.10816777041942605,0.028720626631853787,0.12037037037037036,0.03496503496503497,0.11051693404634581,0.030418250950570342,0.018518518518518517,0.023809523809523808,0.03664921465968586,0.03669724770642202,0.029411764705882353,0.07079646017699115,0.05384615384615385,0.1619047619047619,0.136986301369863,0.08571428571428572,0.011764705882352941,0.6666666666666666,0.3191489361702128,0.6166666666666667,0.74,0.7297297297297297,0.15425531914893617,0.4482758620689655,0.4642857142857143,0.46153846153846156,0.22340425531914893,0.3333333333333333,0.34146341463414637,0.35714285714285715,0.0797872340425532,0.6,0.6,0.7777777777777778,0.22340425531914893,0.35714285714285715,0.36585365853658536,0.8666666666666667,0.35714285714285715,0.8,0.5,,0.21428571428571427,0.3333333333333333,,0.34615384615384615,0.4444444444444444,0.11538461538461539,0.5,0.21153846153846154,0.36363636363636365,0.6223404255319149,0.36585365853658536,0.5167842245989305,0.4449576923076923,0.5114794117647059,0.14150943396226415,0.18831168831168832,0.017241379310344827,0.07003891050583658,0.28793774319066145,8.0412213740458,24.882456140350875,0.3241852487135506,,,1.0,,0.017543859649122806,0.023809523809523808,,,,,,0.023809523809523808,1.0,True,
1719,1610612758,Bonzi Wells,Bonzi Wells,1719,SAC,11361.0,189,-2.0,357,354,100,76,47.0,711,19.0,37.0,6.0,14.0,4.0,10.0,8.0,13.0,7.0,17.0,,2.0,,,,,4.0,,,,2.0,34.0,67.0,,6.0,13.0,81.0,381,8.0,19.0,,,7.0,23.0,10.0,21.0,,2.0,7.0,27.0,34.0,34.0,,,14.0,,4.0,,8.0,13.0,4.0,17.0,4.0,,5.0,4.0,4.0,38.0,11.0,14.0,6.0,17.0,,23.0,26.0,49.0,4.0,10.0,5.0,5.0,9.0,,5.0,4.0,,4.0,,,13.0,,2.0,5.0,17.0,,4.0,19.0,1.0,2.0,22.0,2.0,,11.0,,1.0,3.0,,,3.0,,,,3.0,3.0,,27.0,100,2.0,1.0,0.5,0.6296296296296297,,,,,,0.5074626865671642,0.42105263157894735,0.47619047619047616,0.4657534246575342,0.42105263157894735,0.43478260869565216,0.4879518072289157,0.5,0.5,0.0821917808219178,0.11940298507462686,0.13513513513513514,0.15384615384615385,23.188405797101453,0.6923076923076923,,0.136,0.11965811965811966,0.16666666666666666,0.2558139534883721,0.14285714285714285,0.15625,0.1388888888888889,0.16666666666666666,0.08771929824561403,0.2777777777777778,0.14285714285714285,0.16666666666666666,0.13043478260869565,0.12244897959183673,0.16666666666666666,0.16666666666666666,0.14285714285714285,1.0,0.5068493150684932,0.5135135135135135,0.59375,0.47368421052631576,0.1780821917808219,0.6153846153846154,0.7272727272727273,0.625,0.2328767123287671,0.4117647058823529,0.4375,0.42857142857142855,0.0273972602739726,,,,0.0547945205479452,,,,0.7368421052631579,0.42857142857142855,,,,,,0.43478260869565216,0.4,,,0.08695652173913043,,0.589041095890411,,0.49602986111111125,0.49906428571428574,0.46187727272727275,0.13414634146341464,0.14473684210526316,,0.2839506172839506,0.3333333333333333,6.08955223880597,26.466666666666665,0.2801120448179272,1.0,,,1.0,,,0.08333333333333333,,,,,0.058823529411764705,,True,
722,1610612758,Corliss Williamson,Corliss Williamson,722,SAC,12531.0,209,7.0,395,399,132,108,39.0,794,8.0,18.0,2.0,5.0,2.0,3.0,7.0,25.0,5.0,12.0,,,,,,,,,,,,20.0,55.0,,,20.0,60.0,375,2.0,8.0,,,6.0,10.0,7.0,17.0,,,4.0,18.0,22.0,18.0,,,2.0,,,,4.0,5.0,3.0,8.0,1.0,2.0,3.0,2.0,,19.0,2.0,9.0,3.0,22.0,4.0,29.0,11.0,40.0,1.0,4.0,1.0,3.0,7.0,4.0,5.0,12.0,,2.0,,2.0,19.0,,6.0,19.0,38.0,3.0,4.0,30.0,,4.0,27.0,1.0,,12.0,,2.0,3.0,,,2.0,,1.0,,3.0,2.0,,18.0,132,5.0,2.0,0.55,0.5789473684210527,,,,,,0.36363636363636365,0.25,0.4117647058823529,0.36363636363636365,0.25,0.4117647058823529,0.4411764705882353,0.45454545454545453,0.42857142857142855,,0.07272727272727272,0.1111111111111111,0.08,19.727891156462583,0.3684210526315789,0.18181818181818182,0.12643678160919541,0.0661764705882353,0.06666666666666667,0.05128205128205128,0.1141552511415525,0.06285714285714286,0.15151515151515152,0.05263157894736842,0.03076923076923077,0.038461538461538464,0.07692307692307693,0.12195121951219512,0.10204081632653061,0.14285714285714285,0.07142857142857142,0.058823529411764705,0.03333333333333333,0.6666666666666666,0.32727272727272727,0.4444444444444444,0.5,0.5,0.45454545454545453,0.28,0.30434782608695654,0.5714285714285714,0.21818181818181817,0.4166666666666667,0.4166666666666667,0.6,,,,,,,,,0.625,0.4,,,,,,0.17647058823529413,0.6666666666666666,,,,,0.32727272727272727,,0.4505599999999999,0.5634,0.43882352941176467,0.18181818181818182,0.18181818181818182,,0.16666666666666666,0.3,7.618181818181818,,0.3341772151898734,,,,,,,,,,,,,,True,
