EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Blocked3s,BlockedCorner3,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,BlockedLongMidRange,Corner3PctBlocked,PenaltyCorner3Accuracy,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,BlockedArc3,Clear Path Fouls,on,HeaveMakes
101109,1610612766,Raymond Felton,Raymond Felton,101109,CHA,86534.0,1442,-100,2796,2815,769,746,372,5611,90,202,10.0,19.0,25.0,58.0,14.0,48.0,59.0,144,8.0,19.0,1.0,3.0,1.0,57.0,153.0,9.0,14.0,14.0,46.0,163,394,65.0,172.0,83.0,604,3049,15.0,35.0,10.0,17.0,1.0,61.0,38.0,112,14.0,47.0,40.0,158.0,78.0,248.0,147.0,48.0,14.0,10.0,143.0,57.0,31.0,1.0,212.0,55.0,267.0,22.0,33.0,70.0,34.0,108.0,589.0,10.0,36.0,4.0,37,74,7.0,118,50.0,168,14.0,61.0,33.0,28.0,73.0,20.0,43.0,38,4.0,30.0,1.0,1.0,111,7.0,33.0,37,108,4.0,6.0,121.0,2.0,12.0,118.0,17.0,2.0,53.0,1.0,12.0,4.0,3.0,1.0,4.0,2.0,1.0,158.0,769,23.0,11.0,0.2392638036809816,0.25,0.7538461538461538,0.37790697674418605,0.5882352941176471,0.2978723404255319,0.4012345679012346,0.4137055837563452,0.42857142857142855,0.3392857142857143,0.46024734982332155,0.5769230769230769,0.3710691823899371,0.4902439024390244,0.5754716981132075,0.42896174863387976,0.303886925795053,0.005813953488372093,0.07868020304568528,0.12376237623762376,0.10416666666666667,0.006944444444444444,0.006535947712418301,22.365988909426985,0.6576576576576577,0.06140350877192982,0.038461538461538464,0.0814081408140814,0.03361344537815126,0.13261648745519714,0.03205128205128205,0.09343434343434344,0.033261026753434564,0.04221635883905013,0.018867924528301886,0.03333333333333333,0.028846153846153848,0.038461538461538464,0.08490566037735849,0.052132701421800945,0.09473684210526316,0.0972972972972973,0.20212765957446807,0.04861111111111111,0.5,0.3568904593639576,0.44554455445544555,0.5084745762711864,0.14444444444444443,0.08480565371024736,0.2916666666666667,0.32558139534883723,0.14285714285714285,0.254416961130742,0.4097222222222222,0.4125874125874126,0.4067796610169492,0.03356890459363958,0.42105263157894735,0.42105263157894735,1.0,0.2703180212014134,0.37254901960784315,0.375,0.7192982456140351,0.36538461538461536,0.5263157894736842,0.2,0.057692307692307696,0.3333333333333333,1.0,0.2692307692307692,0.6428571428571429,0.5555555555555556,0.36477987421383645,0.43103448275862066,0.006289308176100629,0.2893081761006289,0.30434782608695654,0.6607773851590106,0.3986013986013986,0.5049263963963965,0.49897209302325574,0.49037866666666685,0.08955223880597014,0.12325581395348838,0.005780346820809248,0.10099337748344371,0.26158940397350994,8.252538071065988,26.944186046511632,0.275035765379113,,,,,,,,,,,,,True,
101118,1610612766,Sean May,Sean May,101118,CHA,9548.0,159,-19,309,311,140,152,52,620,12,23,6.0,13.0,7.0,14.0,10.0,23.0,9.0,33,,,,,,,,,,,,31,79,,,20.0,82,318,7.0,21.0,,,8.0,22.0,17.0,41,,,13.0,47.0,40.0,22.0,,,8.0,,,,10.0,,7.0,2.0,9.0,1.0,1.0,4.0,1.0,2.0,20.0,1.0,17.0,1.0,3,19,5.0,27,19.0,46,3.0,5.0,2.0,3.0,8.0,2.0,4.0,7,,4.0,,3.0,15,3.0,8.0,10,21,2.0,2.0,22.0,3.0,,27.0,3.0,,11.0,,4.0,4.0,2.0,2.0,5.0,4.0,,47.0,140,5.0,4.0,0.6451612903225806,0.7407407407407407,,,,,,0.3924050632911392,0.3333333333333333,0.4146341463414634,0.3924050632911392,0.3333333333333333,0.4146341463414634,0.45054945054945056,0.4230769230769231,0.5,,,0.12658227848101267,0.17391304347826086,0.17391304347826086,0.06060606060606061,,28.41823056300268,0.5333333333333333,0.3125,0.07692307692307693,0.17757009345794392,0.1223021582733813,0.1111111111111111,0.034482758620689655,0.16417910447761194,0.10714285714285714,0.2127659574468085,0.12195121951219512,0.0392156862745098,,0.1111111111111111,0.10344827586206896,0.22580645161290322,0.19148936170212766,0.11764705882352941,0.1,0.07894736842105263,0.8,0.2911392405063291,0.5217391304347826,0.631578947368421,0.5833333333333334,0.2911392405063291,0.43478260869565216,0.5263157894736842,0.4,0.4177215189873418,0.2727272727272727,0.2903225806451613,1.0,,,,,,,,,0.6190476190476191,0.46153846153846156,0.3333333333333333,,,,,,,0.34146341463414637,0.5,,,,0.2911392405063291,,0.43955443037974684,0.5159999999999999,0.45166585365853656,0.12643678160919541,0.12643678160919541,,0.2682926829268293,0.573170731707317,9.992405063291141,,0.45307443365695793,1.0,1.0,,,,,,,,,,,True,
101187,1610612766,Alan Anderson,Alan Anderson,101187,CHA,15548.0,259,-29,504,517,140,179,67,1021,16,32,2.0,6.0,4.0,9.0,3.0,8.0,4.0,16,6.0,19.0,,,9.0,5.0,11.0,,1.0,3.0,6.0,23,56,11.0,30.0,8.0,87,548,3.0,8.0,,1.0,,6.0,4.0,10,3.0,15.0,3.0,20.0,26.0,20.0,30.0,3.0,2.0,,11.0,5.0,8.0,,10.0,4.0,14.0,,4.0,7.0,2.0,1.0,32.0,2.0,8.0,,5,15,1.0,21,10.0,31,4.0,6.0,3.0,3.0,7.0,2.0,7.0,5,,,,2.0,12,1.0,2.0,6,21,,1.0,12.0,,1.0,10.0,1.0,,5.0,,1.0,2.0,2.0,,2.0,2.0,,20.0,140,2.0,,0.5652173913043478,0.5909090909090909,0.9090909090909091,0.36666666666666664,,0.2,0.36666666666666664,0.4107142857142857,0.375,0.4,0.45930232558139533,0.3333333333333333,0.34,0.47802197802197804,0.3333333333333333,0.37037037037037035,0.3488372093023256,,0.14285714285714285,0.1875,0.125,0.0625,,17.435897435897438,0.5833333333333334,0.058823529411764705,,0.08982035928143713,0.0446927374301676,0.09433962264150944,0.025974025974025976,0.09090909090909091,0.0390625,0.04477611940298507,0.023255813953488372,0.057971014492753624,0.023255813953488372,0.029411764705882353,0.0625,0.10869565217391304,0.10526315789473684,0.10256410256410256,0.07142857142857142,0.09090909090909091,1.0,0.37209302325581395,0.5,0.6153846153846154,0.625,0.09302325581395349,0.375,0.42857142857142855,0.3333333333333333,0.18604651162790697,0.25,0.26666666666666666,0.5,0.22093023255813954,0.3157894736842105,0.3157894736842105,1.0,0.12790697674418605,0.45454545454545453,0.45454545454545453,0.8,0.6666666666666666,0.3333333333333333,0.5,,,,0.1111111111111111,,,0.36,0.4444444444444444,0.36,0.24,0.5,0.7209302325581395,0.45454545454545453,0.5193837209302324,0.5342055555555556,0.5402580000000001,0.05555555555555555,0.08333333333333333,,0.06896551724137931,0.22988505747126436,7.041071428571429,23.759999999999998,0.2777777777777778,,,,,,,,,,,,,True,
1908,1610612766,Jumaine Jones,Jumaine Jones,1908,CHA,125302.0,2088,-248,4054,4076,1280,1276,537,8130,70,118,25.0,39.0,25.0,39.0,15.0,38.0,98.0,245,62.0,148.0,2.0,12.0,35.0,53.0,187.0,6.0,23.0,15.0,62.0,183,401,115.0,335.0,88.0,799,4420,31.0,62.0,8.0,35.0,21.0,107.0,55.0,101,28.0,97.0,48.0,242.0,274.0,92.0,327.0,18.0,46.0,3.0,184.0,53.0,17.0,4.0,49.0,14.0,63.0,6.0,8.0,21.0,8.0,20.0,140.0,30.0,69.0,6.0,57,205,9.0,271,105.0,376,13.0,68.0,47.0,21.0,51.0,6.0,30.0,23,1.0,21.0,,5.0,74,12.0,26.0,109,200,13.0,10.0,124.0,19.0,26.0,121.0,11.0,,36.0,4.0,25.0,22.0,19.0,2.0,22.0,16.0,4.0,242.0,1280,26.0,25.0,0.7486338797814208,0.85625,0.9478260869565217,0.34328358208955223,0.22857142857142856,0.28865979381443296,0.3463855421686747,0.456359102244389,0.5,0.5445544554455446,0.4830163043478261,0.44329896907216493,0.4898989898989899,0.5063371356147022,0.4908256880733945,0.5238095238095238,0.45516304347826086,0.011940298507462687,0.04239401496259352,0.1016949152542373,0.07894736842105263,0.00816326530612245,0.0106951871657754,18.38517256071581,0.6891891891891891,0.05389221556886228,0.039735099337748346,0.16192733017377567,0.044689119170984455,0.1325581395348837,0.06302521008403361,0.1544811320754717,0.04900990099009901,0.05263157894736842,0.038338658146964855,0.04148783977110158,0.05625,0.07692307692307693,0.12222222222222222,0.17363344051446947,0.1900990099009901,0.136986301369863,0.12318840579710146,0.03170731707317073,0.7272727272727273,0.16032608695652173,0.5932203389830508,0.660377358490566,0.5,0.051630434782608696,0.39473684210526316,0.42857142857142855,0.7333333333333333,0.3328804347826087,0.4,0.40329218106995884,0.9285714285714286,0.20108695652173914,0.4189189189189189,0.4246575342465753,0.9516129032258065,0.25407608695652173,0.28342245989304815,0.2864864864864865,0.9433962264150944,0.4020618556701031,0.6410256410256411,,0.12371134020618557,0.16666666666666666,1.0,0.23711340206185566,0.2608695652173913,1.0,0.19696969696969696,0.6410256410256411,0.17676767676767677,0.31313131313131315,0.24193548387096775,0.6154891304347826,0.28804347826086957,0.49852251023192334,0.5153666666666669,0.487641282051282,0.05235602094240838,0.08450704225352113,0.011834319526627219,0.13391739674593242,0.30287859824780977,12.269825436408981,24.69074626865672,0.31573754316724223,,,13.0,1.0,1.0,0.013513513513513514,0.37142857142857144,,,,,,True,
2679,1610612766,Matt Carroll,Matt Carroll,2679,CHA,38159.0,636,14,1253,1253,479,487,179,2506,19,42,3.0,6.0,10.0,18.0,17.0,28.0,27.0,73,16.0,44.0,,1.0,19.0,17.0,45.0,1.0,7.0,7.0,21.0,63,143,33.0,89.0,71.0,296,1312,8.0,15.0,1.0,8.0,3.0,22.0,24.0,48,12.0,40.0,34.0,118.0,72.0,54.0,96.0,3.0,4.0,1.0,44.0,17.0,14.0,2.0,17.0,5.0,22.0,3.0,2.0,3.0,5.0,9.0,49.0,5.0,14.0,1.0,20,40,,60,20.0,80,1.0,20.0,13.0,7.0,11.0,5.0,4.0,11,2.0,7.0,,,22,5.0,6.0,24,51,5.0,3.0,63.0,1.0,6.0,87.0,8.0,8.0,32.0,1.0,10.0,8.0,6.0,2.0,8.0,3.0,1.0,118.0,479,10.0,8.0,0.5714285714285714,0.5901639344262295,0.9696969696969697,0.3707865168539326,0.125,0.3,0.375,0.4405594405594406,0.5333333333333333,0.5,0.4849137931034483,0.41304347826086957,0.4772727272727273,0.5411985018726592,0.44,0.5523809523809524,0.38362068965517243,0.02247191011235955,0.0979020979020979,0.2619047619047619,0.07142857142857142,0.0136986301369863,,19.726027397260275,0.5,,0.025,0.10362694300518134,0.030973451327433628,0.15151515151515152,0.029411764705882353,0.11583011583011583,0.03054662379421222,0.029411764705882353,0.025,0.034653465346534656,0.04672897196261682,,0.08088235294117647,0.11,0.12,0.13953488372093023,0.17391304347826086,0.008547008547008548,0.375,0.1810344827586207,0.4523809523809524,0.6129032258064516,0.3157894736842105,0.1206896551724138,0.6071428571428571,0.6538461538461539,0.4117647058823529,0.3146551724137931,0.3698630136986301,0.375,0.8518518518518519,0.1896551724137931,0.36363636363636365,0.38095238095238093,1.0,0.1939655172413793,0.37777777777777777,0.37777777777777777,0.9411764705882353,0.2608695652173913,0.5,0.3333333333333333,0.043478260869565216,,,0.30434782608695654,0.14285714285714285,1.0,0.20454545454545456,0.5555555555555556,0.2159090909090909,0.23863636363636365,0.3333333333333333,0.5646551724137931,0.38636363636363635,0.4937145652173916,0.470107894736842,0.49193430232558144,0.12840466926070038,0.19161676646706588,0.011111111111111112,0.07432432432432433,0.39864864864864863,11.558741258741257,24.723595505617972,0.3822825219473264,,,5.0,,,0.045454545454545456,0.2631578947368421,,,,,,True,
1510,1610612766,Brevin Knight,Brevin Knight,1510,CHA,73693.0,1228,-182,2397,2405,682,669,302,4802,45,113,3.0,9.0,14.0,30.0,12.0,47.0,84.0,205,,,,,,,6.0,,,,4.0,141,365,,6.0,140.0,422,2652,8.0,26.0,,,6.0,22.0,38.0,86,,4.0,76.0,152.0,100.0,182.0,,,2.0,,6.0,,25.0,,242.0,84.0,326.0,59.0,25.0,106.0,28.0,108.0,736.0,5.0,12.0,1.0,14,78,8.0,100,18.0,118,6.0,79.0,32.0,47.0,48.0,27.0,36.0,45,1.0,12.0,4.0,4.0,93,6.0,23.0,43,103,3.0,4.0,129.0,3.0,10.0,175.0,8.0,20.0,57.0,,24.0,3.0,1.0,2.0,3.0,1.0,1.0,152.0,682,19.0,20.0,0.3546099290780142,0.35714285714285715,,,,,,0.3863013698630137,0.3076923076923077,0.4418604651162791,0.38005390835579517,0.3076923076923077,0.4222222222222222,0.45495495495495497,0.3620689655172414,0.562015503875969,0.016172506738544475,,0.0684931506849315,0.17699115044247787,0.06382978723404255,0.00975609756097561,,19.477693144722526,0.5161290322580645,0.0851063829787234,0.011111111111111112,0.10372340425531915,0.01282051282051282,0.05263157894736842,0.0199203187250996,0.09037328094302555,0.014321819713563605,0.019417475728155338,0.017045454545454544,0.0066518847006651885,0.02247191011235955,0.0136986301369863,0.10357142857142858,0.06666666666666667,0.1267123287671233,0.05235602094240838,0.05333333333333334,0.029850746268656716,0.3333333333333333,0.3045822102425876,0.39823008849557523,0.4838709677419355,0.13333333333333333,0.12668463611859837,0.2553191489361702,0.2727272727272727,0.16666666666666666,0.5525606469002695,0.4097560975609756,0.41379310344827586,0.5,,,,,0.016172506738544475,,,,0.34615384615384615,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.4666666666666667,,0.044444444444444446,,0.32075471698113206,,0.46048800539083556,0.45029444444444444,0.4667405555555555,0.1357142857142857,0.13768115942028986,,0.052132701421800945,0.36018957345971564,11.459726027397258,26.366666666666664,0.28452231956612434,,,,,,,,,,,,,True,
2056,1610612766,Primoz Brezec,Primoz Brezec,2056,CHA,69099.0,1152,-233,2194,2180,533,461,279,4374,88,137,29.0,52.0,20.0,31.0,45.0,92.0,84.0,198,,,,,,,,,,,,217,427,,,77.0,511,2489,36.0,77.0,,,14.0,86.0,47.0,87,,,25.0,119.0,292.0,142.0,,,50.0,,,,28.0,,16.0,11.0,27.0,5.0,6.0,4.0,2.0,10.0,65.0,15.0,72.0,2.0,28,91,21.0,140,89.0,229,3.0,11.0,7.0,4.0,21.0,4.0,6.0,25,2.0,15.0,3.0,5.0,46,7.0,8.0,76,122,8.0,7.0,110.0,15.0,6.0,112.0,13.0,1.0,53.0,,9.0,18.0,15.0,2.0,18.0,8.0,4.0,119.0,533,13.0,9.0,0.6728110599078341,0.7604166666666666,,,,,,0.5081967213114754,0.4675324675324675,0.5402298850574713,0.5081967213114754,0.4675324675324675,0.5402298850574713,0.5367647058823529,0.48314606741573035,0.5721153846153846,,,0.06557377049180328,0.13138686131386862,0.06521739130434782,0.020202020202020204,,20.632411067193676,0.45652173913043476,0.25925925925925924,0.029411764705882353,0.1348148148148148,0.08200455580865604,0.12121212121212122,0.06302521008403361,0.13134657836644592,0.07795698924731183,0.13937282229965156,0.05714285714285714,0.052884615384615384,0.05806451612903226,0.07228915662650602,0.13414634146341464,0.1656441717791411,0.11654135338345864,0.1464968152866242,0.06756756756756757,0.016666666666666666,0.4444444444444444,0.32084309133489464,0.6423357664233577,0.7394957983193278,0.5681818181818182,0.2154566744730679,0.4891304347826087,0.5232558139534884,0.5333333333333333,0.4637002341920375,0.42424242424242425,0.4329896907216495,0.8571428571428571,,,,,,,,,0.6753246753246753,0.5576923076923077,0.06896551724137931,,,,,,,0.3563218390804598,0.6451612903225806,,,,0.32084309133489464,,0.45351498829039794,0.5115015384615385,0.45085862068965515,0.11349036402569593,0.11349036402569593,,0.16829745596868884,0.2328767123287671,10.309133489461358,,0.24293527803099363,,,,,1.0,,,1.0,1.0,3.0,,,True,
2063,1610612766,Jake Voskuhl,Jake Voskuhl,2063,CHA,24249.0,404,-2,783,802,283,311,111,1585,23,35,10.0,17.0,6.0,12.0,5.0,18.0,30.0,77,1.0,1.0,,,1.0,,1.0,,,,1.0,58,130,1.0,2.0,23.0,142,825,12.0,25.0,,,6.0,30.0,20.0,46,1.0,2.0,12.0,55.0,88.0,28.0,3.0,,20.0,,1.0,,3.0,,13.0,5.0,18.0,2.0,3.0,6.0,1.0,6.0,41.0,3.0,27.0,1.0,12,33,9.0,54,31.0,85,4.0,12.0,2.0,10.0,8.0,2.0,6.0,8,,2.0,,1.0,16,3.0,5.0,41,83,6.0,4.0,36.0,5.0,7.0,37.0,3.0,,14.0,,6.0,12.0,6.0,6.0,12.0,11.0,3.0,55.0,283,18.0,6.0,0.7586206896551724,0.9166666666666666,1.0,0.5,,0.5,0.5,0.4461538461538462,0.48,0.43478260869565216,0.45075757575757575,0.48,0.4479166666666667,0.47651006711409394,0.5357142857142857,0.4824561403508772,0.015151515151515152,,0.023076923076923078,0.08571428571428572,,,,18.151815181518153,0.5,0.25,0.045454545454545456,0.14864864864864866,0.08766233766233766,0.125,0.031578947368421054,0.14150943396226415,0.07444168734491315,0.15151515151515152,0.0784313725490196,0.05063291139240506,0.014925373134328358,0.07142857142857142,0.12987012987012986,0.10526315789473684,0.19318181818181818,0.140625,0.09375,0.05714285714285714,0.9166666666666666,0.26515151515151514,0.6571428571428571,0.71875,0.4782608695652174,0.13636363636363635,0.2777777777777778,0.2777777777777778,0.8,0.5833333333333334,0.38961038961038963,0.38961038961038963,0.9666666666666667,0.007575757575757576,1.0,1.0,1.0,0.007575757575757576,,,,0.68,0.5882352941176471,,,,,,,,0.25,0.5,0.020833333333333332,0.020833333333333332,,0.2803030303030303,,0.4426428030303031,0.503775,0.4433322916666666,0.0979020979020979,0.09929078014184398,,0.2112676056338028,0.3873239436619718,11.823846153846155,24.25,0.3614303959131545,,,1.0,,,,1.0,,1.0,,,,True,
2222,1610612766,Gerald Wallace,Gerald Wallace,2222,CHA,50487.0,841,-58,1649,1649,507,470,223,3298,121,208,22.0,42.0,36.0,61.0,5.0,21.0,8.0,24,1.0,5.0,,,3.0,1.0,6.0,,1.0,1.0,3.0,134,253,2.0,11.0,103.0,377,1798,25.0,48.0,,1.0,24.0,74.0,41.0,74,1.0,6.0,44.0,129.0,126.0,142.0,6.0,,30.0,,6.0,1.0,36.0,,24.0,14.0,38.0,10.0,4.0,12.0,2.0,10.0,90.0,15.0,53.0,1.0,29,94,30.0,153,69.0,222,12.0,65.0,47.0,18.0,23.0,3.0,14.0,23,3.0,9.0,1.0,4.0,46,1.0,13.0,23,68,3.0,10.0,156.0,7.0,16.0,165.0,17.0,,75.0,,16.0,51.0,43.0,6.0,52.0,31.0,1.0,129.0,507,13.0,16.0,0.4701492537313433,0.5294117647058824,1.0,0.18181818181818182,,0.16666666666666666,0.18181818181818182,0.5296442687747036,0.5208333333333334,0.5540540540540541,0.5189393939393939,0.5102040816326531,0.53125,0.5576923076923077,0.5606060606060606,0.5657894736842105,0.041666666666666664,,0.1422924901185771,0.14903846153846154,0.19047619047619047,0.041666666666666664,,20.052219321148826,0.5,0.5172413793103449,0.014285714285714285,0.18395303326810175,0.0853462157809984,0.1657142857142857,0.078125,0.1793002915451895,0.08364083640836409,0.1087866108786611,0.1111111111111111,0.05653710247349823,0.07751937984496124,0.07936507936507936,0.12698412698412698,0.25,0.19801980198019803,0.18548387096774194,0.11764705882352941,0.1348314606741573,0.5961538461538461,0.7878787878787878,0.5817307692307693,0.6836158192090396,0.45454545454545453,0.07954545454545454,0.23809523809523808,0.29411764705882354,0.2,0.09090909090909091,0.3333333333333333,0.34782608695652173,0.875,0.01893939393939394,0.2,0.2,1.0,0.022727272727272728,0.16666666666666666,0.16666666666666666,1.0,0.8571428571428571,0.5238095238095238,0.09090909090909091,,,,0.02040816326530612,,,0.7625,0.5901639344262295,0.0375,0.0375,0.3333333333333333,0.8295454545454546,0.16666666666666666,0.5620958333333332,0.5441564102564104,0.568665625,0.2329192546583851,0.24115755627009647,,0.1962864721485411,0.3421750663129973,2.2972332015810273,24.572727272727274,0.3074590661006671,1.0,1.0,,,2.0,,,9.0,,1.0,,,True,
2731,1610612766,Emeka Okafor,Emeka Okafor,2731,CHA,9634.0,161,-31,296,299,84,81,38,595,15,24,6.0,9.0,1.0,6.0,4.0,23.0,4.0,9,,,,,,,,,,,,23,56,,,8.0,54,304,9.0,14.0,,,4.0,22.0,5.0,16,,,4.0,14.0,34.0,12.0,,,10.0,,,,4.0,,3.0,,3.0,,,1.0,,2.0,6.0,5.0,12.0,,9,21,3.0,33,17.0,50,,2.0,1.0,1.0,2.0,,1.0,5,1.0,1.0,,2.0,7,1.0,1.0,11,19,1.0,1.0,14.0,,2.0,12.0,,,6.0,,,4.0,4.0,,4.0,4.0,2.0,14.0,84,,,0.7391304347826086,0.9444444444444444,,,,,,0.4107142857142857,0.6428571428571429,0.3125,0.4107142857142857,0.6428571428571429,0.3125,0.43548387096774194,0.6875,0.3684210526315789,,,0.07142857142857142,0.125,0.043478260869565216,,,20.17543859649123,0.2857142857142857,0.21428571428571427,,0.18584070796460178,0.1016949152542373,0.32142857142857145,0.14705882352941177,0.2127659574468085,0.1118421052631579,0.047619047619047616,0.11904761904761904,0.10909090909090909,0.125,0.2,0.25,0.2,0.14814814814814814,0.2857142857142857,0.42857142857142855,,1.0,0.42857142857142855,0.625,0.7142857142857143,0.6666666666666666,0.4107142857142857,0.17391304347826086,0.18181818181818182,0.75,0.16071428571428573,0.4444444444444444,0.4444444444444444,1.0,,,,,,,,,0.6428571428571429,0.6666666666666666,0.16666666666666666,,,,,,,0.375,0.16666666666666666,,,,0.42857142857142855,,0.4698678571428572,0.5121363636363636,0.45096875000000003,0.0967741935483871,0.0967741935483871,,0.4074074074074074,0.25925925925925924,5.692857142857145,,0.28378378378378377,,,,,,,,2.0,,1.0,,,True,
