EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,OffensiveGoaltends,3SecondViolations,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveMakes,BlockedLongMidRange,on,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3
101106,1610612749,Andrew Bogut,Andrew Bogut,101106,MIL,46484.0,775,34,1481,1473,456,501,215,2954,82.0,149.0,39.0,63.0,19.0,31.0,12.0,42.0,4.0,12.0,1.0,98.0,203.0,1.0,40.0,236.0,1551,41.0,70.0,4.0,86.0,26.0,51.0,21.0,73.0,112.0,84.0,70.0,1.0,23.0,47.0,15.0,62.0,8.0,7.0,22.0,8.0,17.0,139.0,5.0,66.0,1.0,28.0,96.0,18.0,142.0,72.0,214.0,19.0,22.0,16.0,6.0,18.0,7.0,11.0,18.0,1.0,7.0,1.0,4.0,36.0,2.0,6.0,53.0,92.0,7.0,4.0,74.0,11.0,21.0,70.0,4.0,28.0,10.0,21.0,17.0,4.0,21.0,10.0,1.0,1.0,73.0,456,13.0,8.0,0.5714285714285714,0.8888888888888888,0.4827586206896552,0.5857142857142857,0.5098039215686274,0.4803921568627451,0.5857142857142857,0.5098039215686274,0.4957983193277311,0.581081081081081,0.5367647058823529,0.004901960784313725,0.11330049261083744,0.09395973154362416,0.21428571428571427,15.722543352601155,0.5,0.3673469387755102,0.019230769230769232,0.2046908315565032,0.11578947368421053,0.18064516129032257,0.030864197530864196,0.1987179487179487,0.09699453551912568,0.17467248908296942,0.1037037037037037,0.05825242718446602,0.03571428571428571,0.02,0.2866666666666667,0.16806722689075632,0.165,0.18867924528301888,0.16326530612244897,0.2375,0.47619047619047616,0.7303921568627451,0.5503355704697986,0.6074074074074074,0.5365853658536586,0.20588235294117646,0.2857142857142857,0.36363636363636365,0.6666666666666666,0.058823529411764705,0.3333333333333333,0.3333333333333333,1.0,0.004901960784313725,0.9,0.6190476190476191,0.07692307692307693,0.6078431372549019,0.6129032258064516,0.7352941176470589,0.5185997549019608,0.5431753846153847,0.48498823529411766,0.12280701754385964,0.12334801762114538,0.3644067796610169,0.3093220338983051,2.780295566502463,31.7,0.30790006752194465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1983,1610612749,Jermaine Jackson,Jermaine Jackson,1983,MIL,1783.0,30,-32,62,67,29,23,9,129,1.0,3.0,,1.0,,,,1.0,,,1.0,1.0,4.0,1.0,1.0,3.0,75,,2.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,4.0,,3.0,2.0,,5.0,4.0,9.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,3.0,,,4.0,1.0,,1.0,1.0,1.0,,,,,,,,,,29,,,1.0,1.0,0.25,,,0.2,,,0.3,,,0.2,,,,8.450704225352114,1.0,,,0.14285714285714285,0.18181818181818182,0.23076923076923078,,0.18518518518518517,0.13333333333333333,0.1,0.25,0.25,,,0.14285714285714285,,0.25,0.09090909090909091,1.0,,,0.6,0.3333333333333333,0.3333333333333333,1.0,0.2,,,,,,,,0.2,0.5,,,,,0.8,0.46372,0.40195000000000003,0.35140000000000005,0.2,0.25,,,3.05,26.5,0.46774193548387094,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2048,1610612749,Jamaal Magloire,Jamaal Magloire,2048,MIL,43344.0,722,-25,1353,1348,432,508,194,2701,73.0,118.0,23.0,37.0,19.0,34.0,16.0,53.0,2.0,10.0,,91.0,181.0,,62.0,244.0,1451,26.0,43.0,20.0,72.0,23.0,51.0,31.0,77.0,116.0,66.0,32.0,,19.0,6.0,5.0,11.0,3.0,2.0,4.0,,2.0,27.0,16.0,58.0,2.0,26.0,111.0,23.0,160.0,76.0,236.0,8.0,7.0,4.0,3.0,17.0,1.0,5.0,37.0,2.0,12.0,,10.0,54.0,8.0,18.0,41.0,77.0,7.0,12.0,91.0,16.0,4.0,117.0,7.0,45.0,17.0,21.0,18.0,3.0,21.0,13.0,1.0,2.0,77.0,432,5.0,16.0,0.6373626373626373,0.7733333333333333,0.5027624309392266,0.6046511627906976,0.45098039215686275,0.5027624309392266,0.6046511627906976,0.45098039215686275,0.5169491525423728,0.5806451612903226,0.506578947368421,,0.10497237569060773,0.0847457627118644,0.16981132075471697,18.401015228426395,0.3148148148148148,0.5,0.03773584905660377,0.23029045643153526,0.11350293542074363,0.19696969696969696,0.12598425196850394,0.22312703583061888,0.11598746081504702,0.1319796954314721,0.10606060606060606,0.0989010989010989,0.12643678160919541,0.125,0.20754716981132076,0.2248062015503876,0.25257731958762886,0.20987654320987653,0.17647058823529413,0.11428571428571428,0.6190476190476191,0.6519337016574586,0.6186440677966102,0.6759259259259259,0.6575342465753424,0.292817679558011,0.3018867924528302,0.36363636363636365,0.5,0.055248618784530384,0.2,0.2,1.0,,0.8604651162790697,0.6216216216216216,0.2608695652173913,0.6666666666666666,0.5588235294117647,0.6519337016574586,0.4852165745856354,0.5132117647058824,0.4813039215686274,0.2054794520547945,0.2054794520547945,0.29508196721311475,0.3155737704918033,3.4331491712707183,,0.31929046563192903,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2412,1610612749,Jiri Welsch,Jiri Welsch,2412,MIL,22902.0,382,-99,750,756,261,277,98,1506,17.0,28.0,3.0,4.0,4.0,7.0,3.0,10.0,6.0,34.0,17.0,26.0,72.0,22.0,19.0,95.0,830,4.0,8.0,,17.0,7.0,23.0,10.0,24.0,24.0,28.0,4.0,17.0,3.0,17.0,7.0,24.0,5.0,2.0,10.0,2.0,5.0,55.0,3.0,7.0,,8.0,18.0,7.0,33.0,10.0,43.0,2.0,16.0,13.0,3.0,9.0,3.0,2.0,10.0,1.0,7.0,,,19.0,4.0,3.0,8.0,36.0,2.0,6.0,30.0,3.0,7.0,25.0,1.0,11.0,2.0,1.0,,1.0,1.0,1.0,,,24.0,261,7.0,2.0,0.46153846153846156,0.5,0.3611111111111111,0.5,0.30434782608695654,0.40425531914893614,0.7727272727272727,0.25925925925925924,0.4481132075471698,0.7727272727272727,0.35294117647058826,0.23404255319148937,0.041666666666666664,0.07142857142857142,0.1,14.551804423748544,0.47368421052631576,0.28,,0.07531380753138076,0.02564102564102564,0.09523809523809523,0.03614457831325301,0.0804953560371517,0.028089887640449437,0.03571428571428571,0.03125,0.010309278350515464,0.047619047619047616,,0.05063291139240506,0.11594202898550725,0.06593406593406594,0.08620689655172414,0.11538461538461539,0.037037037037037035,1.0,0.2978723404255319,0.6071428571428571,0.6538461538461539,0.4117647058823529,0.10638297872340426,0.3,0.3333333333333333,0.3333333333333333,0.3617021276595745,0.17647058823529413,0.17647058823529413,0.6666666666666666,0.18085106382978725,0.36363636363636365,0.75,0.3333333333333333,0.25925925925925924,0.5714285714285714,0.5319148936170213,0.4855728723404257,0.44458000000000003,0.43298888888888887,0.10576923076923077,0.13414634146341464,0.17894736842105263,0.25263157894736843,9.958333333333334,25.477272727272734,0.348,4.0,4.0,0.14814814814814814,,,2.0,5.0,6.0,3.0,3.0,8.0,3.0,3.0,24.0,6.0,1.0,1.0,0.36363636363636365,1.0,0.36363636363636365,0.045454545454545456,0.058823529411764705,0.05319148936170213,0.4,0.4,1.0,0.35294117647058826,0.375,1.0,0.2727272727272727,1.0,1.0,0.35294117647058826,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2590,1610612749,Mo Williams,Mo Williams,2590,MIL,91871.0,1531,-95,2947,2939,961,1069,404,5886,73.0,144.0,5.0,12.0,21.0,40.0,35.0,80.0,86.0,214.0,140.0,194.0,438.0,191.0,96.0,703.0,3205,18.0,38.0,6.0,60.0,60.0,130.0,58.0,256.0,116.0,272.0,10.0,133.0,24.0,176.0,54.0,230.0,36.0,18.0,91.0,30.0,55.0,514.0,8.0,22.0,,42.0,69.0,2.0,113.0,30.0,143.0,8.0,52.0,31.0,21.0,62.0,13.0,50.0,43.0,4.0,12.0,4.0,6.0,105.0,7.0,29.0,60.0,146.0,,8.0,140.0,3.0,28.0,113.0,10.0,39.0,18.0,7.0,5.0,2.0,7.0,5.0,,,256.0,961,22.0,17.0,0.29896907216494845,0.30687830687830686,0.4429223744292237,0.47368421052631576,0.46153846153846156,0.4825119236883943,0.5510204081632653,0.4900990099009901,0.5147710487444609,0.5566037735849056,0.5495689655172413,0.3036565977742448,0.0547945205479452,0.125,0.025,22.876391329818393,0.5904761904761905,0.018518518518518517,,0.07419354838709677,0.02,0.13291139240506328,0.024922118380062305,0.08908507223113965,0.0211118930330753,0.025943396226415096,0.015151515151515152,0.01699029126213592,0.02654867256637168,0.021052631578947368,0.05573770491803279,0.05220883534136546,0.10372340425531915,0.1201923076923077,0.1574074074074074,0.025236593059936908,0.7142857142857143,0.2289348171701113,0.5069444444444444,0.5793650793650794,0.2602739726027397,0.1271860095389507,0.4375,0.44871794871794873,0.17142857142857143,0.34022257551669316,0.40186915887850466,0.4095238095238095,0.38372093023255816,0.22257551669316375,0.24489795918367346,0.4166666666666667,0.2,0.19801980198019803,0.525,0.5325914149443561,0.4752331723027377,0.47993125000000003,0.44645257731958776,0.06069802731411229,0.0835117773019272,0.08534850640113797,0.36415362731152207,10.666438356164383,25.897905759162313,0.32609433322022396,59.0,72.0,0.29207920792079206,,1.0,19.0,51.0,54.0,3.0,5.0,73.0,6.0,11.0,162.0,54.0,3.0,0.7397260273972602,0.38219895287958117,0.5454545454545454,0.3967391304347826,0.015706806282722512,0.014285714285714285,0.08108108108108109,0.37254901960784315,0.38,1.0,0.38571428571428573,0.391304347826087,0.6481481481481481,0.10204081632653061,0.6,0.6666666666666666,0.40601503759398494,3.0,6.0,5.0,13.0,21.0,26.0,57.0,7.0,1.0,7.0,1.0,0.3611111111111111,0.018691588785046728,0.0196078431372549,0.12244897959183673,0.5,1.0,0.06435643564356436,0.38461538461538464,0.3559322033898305,0.005208333333333333,,,True,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,62849.0,1047,-12,2042,2028,736,831,278,4070,83.0,138.0,9.0,16.0,35.0,57.0,32.0,76.0,55.0,149.0,86.0,170.0,363.0,124.0,165.0,667.0,2238,22.0,40.0,13.0,66.0,61.0,125.0,93.0,266.0,178.0,162.0,16.0,86.0,24.0,42.0,21.0,63.0,16.0,5.0,25.0,3.0,14.0,147.0,5.0,29.0,1.0,24.0,70.0,6.0,100.0,35.0,135.0,4.0,30.0,23.0,7.0,34.0,5.0,13.0,22.0,2.0,21.0,1.0,1.0,56.0,7.0,20.0,17.0,66.0,2.0,10.0,139.0,2.0,,187.0,10.0,63.0,30.0,1.0,1.0,,1.0,1.0,,1.0,266.0,736,16.0,29.0,0.5235294117647059,0.5493827160493827,0.46831955922865015,0.55,0.488,0.5154004106776181,0.4818181818181818,0.5242424242424243,0.5788091068301225,0.5409836065573771,0.6197183098591549,0.2546201232032854,0.06611570247933884,0.13043478260869565,0.039473684210526314,26.590330788804074,0.6071428571428571,0.07894736842105263,0.016129032258064516,0.10835913312693499,0.03934871099050204,0.1085972850678733,0.02262443438914027,0.10841983852364476,0.03549060542797495,0.04482758620689655,0.0449438202247191,0.02973977695167286,0.024844720496894408,0.016666666666666666,0.05429864253393665,0.11042944785276074,0.15267175572519084,0.12142857142857143,0.08641975308641975,0.017241379310344827,1.0,0.28336755646817247,0.6014492753623188,0.6916666666666667,0.5421686746987951,0.15605749486652978,0.42105263157894735,0.4383561643835616,0.53125,0.3059548254620123,0.3691275167785235,0.3767123287671233,0.4909090909090909,0.17659137577002054,0.2909090909090909,0.5625,0.4444444444444444,0.34545454545454546,0.6140350877192983,0.5379876796714579,0.48224774127310044,0.4842329787234042,0.4872900000000001,0.11829944547134935,0.15144230769230768,0.09895052473763119,0.3988005997001499,9.347933884297518,25.11129032258064,0.3604309500489716,29.0,40.0,0.17575757575757575,,1.0,21.0,38.0,33.0,1.0,7.0,54.0,3.0,15.0,132.0,33.0,1.0,0.8148148148148148,0.43548387096774194,0.2,0.43548387096774194,0.008064516129032258,,0.07802874743326489,0.5526315789473685,0.5675675675675675,0.9523809523809523,0.38372093023255816,0.38372093023255816,0.7272727272727273,0.12727272727272726,0.14285714285714285,,0.38372093023255816,2.0,8.0,6.0,11.0,11.0,17.0,30.0,,,8.0,1.0,0.425,0.020134228187919462,0.02631578947368421,0.14545454545454545,0.25,1.0,0.06666666666666667,0.5454545454545454,0.3793103448275862,0.008,,,True,,,
2429,1610612749,Dan Gadzuric,Dan Gadzuric,2429,MIL,26809.0,447,-64,854,854,210,249,112,1708,69.0,112.0,16.0,29.0,10.0,24.0,13.0,39.0,2.0,8.0,,84.0,159.0,,17.0,185.0,931,16.0,36.0,4.0,36.0,12.0,32.0,4.0,28.0,138.0,30.0,26.0,,12.0,6.0,2.0,8.0,2.0,,5.0,,1.0,18.0,8.0,35.0,,13.0,53.0,6.0,72.0,43.0,115.0,4.0,12.0,9.0,3.0,8.0,,6.0,13.0,1.0,2.0,,,21.0,3.0,4.0,58.0,96.0,10.0,9.0,43.0,6.0,7.0,36.0,8.0,21.0,1.0,20.0,14.0,6.0,20.0,10.0,,,28.0,210,8.0,1.0,0.8214285714285714,0.971830985915493,0.5283018867924528,0.4444444444444444,0.375,0.5283018867924528,0.4444444444444444,0.375,0.5346820809248555,0.46153846153846156,0.4,,0.07547169811320754,0.08928571428571429,0.05128205128205128,19.576185671039354,0.38095238095238093,0.1935483870967742,,0.20384615384615384,0.10479041916167664,0.13829787234042554,0.08421052631578947,0.1864406779661017,0.10023310023310024,0.17355371900826447,0.07407407407407407,0.06060606060606061,0.041666666666666664,0.21739130434782608,0.13095238095238096,0.23376623376623376,0.24242424242424243,0.15384615384615385,0.10344827586206896,0.06557377049180328,0.5,0.7044025157232704,0.6160714285714286,0.6764705882352942,0.8115942028985508,0.24528301886792453,0.3333333333333333,0.35135135135135137,0.8461538461538461,0.050314465408805034,0.25,0.25,1.0,,0.8055555555555556,0.5517241379310345,0.1875,0.75,0.4166666666666667,0.7044025157232704,0.516008176100629,0.5085125,0.49701249999999997,0.12209302325581395,0.12209302325581395,0.1945945945945946,0.15135135135135136,2.9163522012578618,,0.2459016393442623,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
389,1610612749,Toni Kukoc,Toni Kukoc,389,MIL,34253.0,571,-14,1090,1092,313,347,149,2182,15.0,31.0,2.0,5.0,3.0,8.0,11.0,25.0,17.0,33.0,62.0,43.0,89.0,75.0,20.0,166.0,1194,5.0,10.0,4.0,14.0,12.0,24.0,13.0,46.0,34.0,52.0,8.0,62.0,2.0,56.0,17.0,73.0,9.0,8.0,39.0,9.0,8.0,163.0,3.0,12.0,,16.0,41.0,14.0,71.0,15.0,86.0,3.0,18.0,13.0,5.0,27.0,5.0,20.0,8.0,,7.0,,1.0,35.0,2.0,5.0,34.0,51.0,2.0,2.0,27.0,3.0,3.0,31.0,2.0,9.0,6.0,13.0,8.0,5.0,13.0,2.0,,1.0,46.0,313,6.0,6.0,0.3953488372093023,0.4358974358974359,0.48314606741573035,0.5,0.5,0.4451219512195122,0.4166666666666667,0.4583333333333333,0.46629213483146065,0.4666666666666667,0.5227272727272727,0.4573170731707317,0.02247191011235955,0.06451612903225806,,16.87797147385103,0.7714285714285715,0.3181818181818182,,0.119533527696793,0.0316622691292876,0.13445378151260504,0.022222222222222223,0.12337662337662338,0.029182879377431907,0.02564102564102564,0.045454545454545456,0.02962962962962963,0.021052631578947368,0.025,0.07692307692307693,0.14444444444444443,0.13970588235294118,0.11842105263157894,0.16279069767441862,0.030612244897959183,0.15384615384615385,0.18902439024390244,0.4838709677419355,0.5172413793103449,0.26666666666666666,0.1524390243902439,0.44,0.44,0.18181818181818182,0.20121951219512196,0.5151515151515151,0.5151515151515151,0.6470588235294118,0.3780487804878049,0.4166666666666667,0.4,,0.2222222222222222,0.375,0.6463414634146342,0.4851634146341464,0.49385000000000007,0.4746583333333333,0.05813953488372093,0.09375,0.08433734939759036,0.27710843373493976,9.61573033707865,25.505333333333333,0.2871559633027523,9.0,12.0,0.25,,,1.0,13.0,19.0,,1.0,20.0,,2.0,57.0,19.0,,0.95,0.26666666666666666,,0.26666666666666666,,,0.07926829268292683,0.07692307692307693,0.07692307692307693,1.0,0.3064516129032258,0.3064516129032258,0.9473684210526315,0.08333333333333333,,,0.3064516129032258,,1.0,,3.0,3.0,3.0,3.0,,,,1.0,0.25,,,0.08333333333333333,,,0.08333333333333333,,0.3333333333333333,0.013157894736842105,,,True,,,
2250,1610612749,Bobby Simmons,Bobby Simmons,2250,MIL,44869.0,748,-19,1464,1450,501,544,191,2914,33.0,67.0,9.0,14.0,14.0,27.0,6.0,26.0,36.0,85.0,33.0,75.0,178.0,58.0,55.0,283.0,1564,12.0,22.0,10.0,43.0,26.0,51.0,30.0,115.0,94.0,56.0,18.0,33.0,20.0,33.0,14.0,47.0,10.0,4.0,23.0,3.0,7.0,108.0,13.0,25.0,,19.0,55.0,9.0,83.0,38.0,121.0,4.0,18.0,10.0,8.0,11.0,3.0,6.0,22.0,,5.0,1.0,5.0,33.0,6.0,6.0,36.0,81.0,5.0,12.0,56.0,4.0,2.0,65.0,2.0,18.0,14.0,5.0,3.0,2.0,5.0,4.0,,1.0,115.0,501,14.0,13.0,0.6266666666666667,0.7121212121212122,0.42134831460674155,0.5454545454545454,0.5098039215686274,0.4830508474576271,0.66,0.5666666666666667,0.5263157894736842,0.7166666666666667,0.6129032258064516,0.2457627118644068,0.11235955056179775,0.19402985074626866,0.19230769230769232,17.702782711663705,0.3333333333333333,0.14516129032258066,,0.11802575107296137,0.044563279857397504,0.12101910828025478,0.09090909090909091,0.1187800963081862,0.05397727272727273,0.035,0.05714285714285714,0.04524886877828054,0.10309278350515463,0.06521739130434782,0.08974358974358974,0.07964601769911504,0.16243654822335024,0.15384615384615385,0.05660377358490566,0.03571428571428571,0.8,0.2838983050847458,0.4925373134328358,0.6111111111111112,0.48484848484848486,0.11016949152542373,0.23076923076923078,0.2857142857142857,0.6666666666666666,0.3601694915254237,0.4235294117647059,0.43373493975903615,0.75,0.13983050847457626,0.56,0.6428571428571429,0.1111111111111111,0.36,0.5185185185185185,0.5296610169491526,0.46690402542372883,0.48806904761904757,0.4798113333333333,0.07142857142857142,0.09278350515463918,0.1519434628975265,0.40636042402826855,9.812921348314605,24.794827586206896,0.3422131147540984,14.0,24.0,0.18666666666666668,,,11.0,25.0,15.0,3.0,3.0,26.0,3.0,3.0,78.0,15.0,2.0,1.0,0.4482758620689655,1.0,0.4482758620689655,0.034482758620689655,0.030303030303030304,0.1059322033898305,0.44,0.4583333333333333,1.0,0.45454545454545453,0.46875,1.0,0.12,1.0,1.0,0.45454545454545453,,,4.0,10.0,7.0,11.0,,,,3.0,,0.4583333333333333,0.023529411764705882,0.04,,,,0.13333333333333333,0.4,0.5,,,,True,,,
2294,1610612749,Charlie Bell,Charlie Bell,2294,MIL,25925.0,432,-19,818,821,227,242,105,1639,15.0,32.0,3.0,4.0,1.0,4.0,1.0,9.0,13.0,39.0,36.0,29.0,80.0,62.0,18.0,160.0,880,4.0,11.0,1.0,9.0,3.0,9.0,5.0,41.0,28.0,30.0,2.0,34.0,8.0,20.0,10.0,30.0,5.0,5.0,9.0,5.0,6.0,70.0,4.0,3.0,,9.0,24.0,,33.0,7.0,40.0,,19.0,6.0,13.0,8.0,2.0,7.0,4.0,,1.0,,,12.0,1.0,4.0,13.0,48.0,1.0,1.0,25.0,1.0,5.0,28.0,,12.0,2.0,2.0,1.0,,2.0,2.0,,,41.0,227,11.0,2.0,0.4827586206896552,0.5,0.3625,0.36363636363636365,0.3333333333333333,0.5,0.26666666666666666,0.6428571428571429,0.5128205128205128,0.28125,0.640625,0.43661971830985913,0.1,0.1875,0.2222222222222222,17.8343949044586,0.6666666666666666,,,0.1016949152542373,0.009900990099009901,0.09183673469387756,0.03773584905660377,0.09880239520958084,0.017114914425427872,0.018018018018018018,,0.007936507936507936,0.05263157894736842,,0.08450704225352113,0.12,0.1,0.11290322580645161,0.05555555555555555,,1.0,0.22535211267605634,0.46875,0.5769230769230769,0.3333333333333333,0.06338028169014084,0.1111111111111111,0.14285714285714285,1.0,0.2746478873239437,0.3333333333333333,0.3333333333333333,0.6153846153846154,0.2535211267605634,0.26666666666666666,0.75,,0.14285714285714285,0.25,0.6619718309859155,0.5065574468085107,0.46759230769230764,0.4932018518518519,0.07792207792207792,0.13043478260869565,0.05625,0.25625,10.11375,25.06129032258065,0.2775061124694376,10.0,19.0,0.35714285714285715,,1.0,11.0,26.0,17.0,,2.0,28.0,,4.0,78.0,16.0,,0.9285714285714286,0.45161290322580644,,0.4426229508196721,,,0.18309859154929578,0.4230769230769231,0.4230769230769231,1.0,0.4722222222222222,0.4722222222222222,0.8823529411764706,0.13333333333333333,,,0.47058823529411764,,2.0,4.0,9.0,6.0,10.0,6.0,1.0,,,,0.5263157894736842,,,0.13333333333333333,,,0.32142857142857145,0.4444444444444444,0.6,,1.0,1.0,True,,,
