EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFtPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,StepOutOfBoundsTurnovers,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on
101143,1610612753,Travis Diener,Travis Diener,101143,ORL,8016.0,134,-38,259,254,105,106,39,513,2.0,7.0,3.0,7.0,2.0,4.0,9.0,27.0,1.0,3.0,11.0,2,7,12.0,34.0,3.0,43,287,1.0,1.0,1.0,2.0,1.0,2.0,5.0,15.0,3.0,20,4,30.0,6.0,1.0,26.0,9.0,6,1.0,7,1.0,5.0,1.0,15,1.0,2.0,4,7,11,3.0,14,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,6,4.0,6,16,5,1.0,4.0,2.0,20,105,7.0,2.0,1.0,1.0,0.8333333333333334,0.35294117647058826,0.3333333333333333,0.36363636363636365,0.2857142857142857,1.0,0.5,0.4878048780487805,0.5,0.5,0.5,0.5,0.5263157894736842,0.8292682926829268,16.065573770491802,0.5,0.125,0.10144927536231885,0.12121212121212122,0.02857142857142857,0.10784313725490197,0.007246376811594203,0.034482758620689655,0.09523809523809523,0.16129032258064516,0.17391304347826086,0.038461538461538464,0.17073170731707318,0.2857142857142857,0.2857142857142857,1.0,0.17073170731707318,0.42857142857142855,0.42857142857142855,1.0,0.6585365853658537,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.5,0.23529411764705882,0.5,0.6470588235294118,0.2727272727272727,0.8292682926829268,0.34615384615384615,0.5016775,0.465875,0.50140625,0.046511627906976744,0.46511627906976744,20.74285714285714,25.6735294117647,0.40540540540540543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,105911.0,1765,-29,3181,3191,691,621,400,6372,57.0,134.0,,,,,,4.0,1.0,,2.0,236,450,,4.0,68.0,540,3483,46.0,74.0,1.0,109.0,52.0,80.0,,2.0,23.0,127,342,,,,4.0,,33,7.0,40,7.0,18.0,13.0,87,12.0,10.0,43,157,233,108.0,341,8.0,41.0,30.0,11.0,29.0,8.0,22.0,40.0,69,6.0,129,197,99,13.0,101.0,10.0,127,691,12.0,11.0,0.7245762711864406,0.8465346534653465,,,,,0.5244444444444445,0.6216216216216216,0.65,0.5198237885462555,0.6133333333333333,0.6341463414634146,0.536779324055666,0.6337209302325582,0.6479591836734694,0.00881057268722467,15.684123937482862,0.42028985507246375,0.08333333333333333,0.1310517529215359,0.12536443148688048,0.08163265306122448,0.12978585334198572,0.07086044830079537,0.09166666666666666,0.11388888888888889,0.14365671641791045,0.13114754098360656,0.042105263157894736,0.29515418502202645,0.4253731343283582,0.4253731343283582,0.9122807017543859,,,,,0.00881057268722467,,,,0.013333333333333334,,,0.024390243902439025,,0.3392070484581498,,0.4536692731277533,0.5134345588235294,0.44833414634146346,0.20185185185185187,0.2351851851851852,8.516222222222222,26.475,0.2172272870166614,104.0,150.0,36.0,54.0,26.0,30.0,75.0,166.0,17.0,130.0,68.0,25.0,2.0,86.0,33.0,2.0,7.0,7.0,6.0,8.0,11.0,21.0,3.0,42.0,51.0,44.0,1.0,6.0,51.0,28.0,2.0,2.0,8.0,5.0,0.05555555555555555,0.1,0.060240963855421686,0.29464285714285715,0.06957928802588997,0.07317073170731707,0.08231707317073171,0.05823293172690763,0.037037037037037035,0.1291390728476821,0.1111111111111111,0.5490196078431373,0.3303964757709251,0.6933333333333334,0.7703703703703704,0.6538461538461539,0.3656387665198238,0.45180722891566266,0.4807692307692308,0.68,0.72,0.6666666666666666,0.1388888888888889,0.36585365853658536,0.8666666666666667,0.08519269776876268,0.08588957055214724,,,,,,,,,,,,,,,,,,,,,,,True
1883,1610612753,Steve Francis,Steve Francis,1883,ORL,85524.0,1425,-10,2610,2592,894,747,346,5202,66.0,179.0,5.0,14.0,1.0,4.0,12.0,44.0,4.0,3.0,16.0,181,402,17.0,58.0,176.0,589,2760,19.0,41.0,5.0,49.0,59.0,127.0,4.0,20.0,98.0,228,86,24.0,27.0,2.0,42.0,12.0,174,39.0,213,27.0,99.0,48.0,465,8.0,,34,96,135,48.0,183,8.0,40.0,21.0,19.0,64.0,16.0,38.0,59.0,123,47.0,47,115,178,7.0,219.0,30.0,228,894,16.0,30.0,0.23756906077348067,0.2471264367816092,0.47058823529411764,0.29310344827586204,0.2,0.30357142857142855,0.4502487562189055,0.4634146341463415,0.4645669291338583,0.4489130434782609,0.44565217391304346,0.4421768707482993,0.5259856630824373,0.4803921568627451,0.5615763546798029,0.12608695652173912,22.63962765957447,0.5203252032520326,,0.101159114857745,0.11724137931034483,0.04878048780487805,0.10492332526230831,0.0425531914893617,0.031007751937984496,0.0802675585284281,0.13126491646778043,0.13366336633663367,0.034782608695652174,0.38913043478260867,0.3687150837988827,0.3793103448275862,0.19696969696969696,0.030434782608695653,0.35714285714285715,0.35714285714285715,0.8,0.09565217391304348,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.08695652173913043,0.027210884353741496,0.25,0.10884353741496598,0.1875,0.48478260869565215,0.2857142857142857,0.47809115720524015,0.4686587499999999,0.4869493103448275,0.0831918505942275,0.3870967741935484,9.574378109452738,25.71896551724138,0.3425287356321839,93.0,165.0,11.0,18.0,41.0,67.0,22.0,58.0,8.0,276.0,14.0,23.0,27.0,40.0,5.0,6.0,26.0,15.0,7.0,6.0,14.0,5.0,18.0,86.0,9.0,8.0,,1.0,10.0,4.0,2.0,,,3.0,0.05721393034825871,0.08484848484848485,0.06896551724137931,0.04504504504504504,0.04149377593360996,0.04093567251461988,0.052,0.03494623655913978,0.11428571428571428,0.0735930735930736,0.07954545454545454,0.4,0.358695652173913,0.5636363636363636,0.6158940397350994,0.3010752688172043,0.12608695652173912,0.3793103448275862,0.4074074074074074,0.09090909090909091,0.391304347826087,0.6111111111111112,,0.4557823129251701,0.6119402985074627,0.16287878787878787,0.1829787234042553,1.0,1.0,1.0,12.0,4.0,1.0,5.0,1.0,1.0,0.2,0.027932960893854747,0.021739130434782608,0.25,,,,,,,,,,True
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,126684.0,2111,29,3866,3852,1231,1104,476,7718,88.0,198.0,25.0,43.0,8.0,15.0,79.0,204.0,22.0,19.0,61.0,215,459,104.0,247.0,200.0,942,4166,27.0,56.0,27.0,97.0,61.0,135.0,27.0,76.0,90.0,293,162,285.0,27.0,2.0,202.0,79.0,162,19.0,181,13.0,71.0,68.0,381,8.0,7.0,45,131,195,53.0,248,7.0,59.0,42.0,17.0,58.0,20.0,34.0,49.0,107,28.0,100,181,155,10.0,234.0,28.0,293,1231,25.0,23.0,0.3767441860465116,0.391304347826087,0.9134615384615384,0.42105263157894735,0.35526315789473684,0.42448979591836733,0.4684095860566449,0.48214285714285715,0.45185185185185184,0.5254957507082153,0.46987951807228917,0.48104265402843605,0.5713391739674594,0.5053763440860215,0.556640625,0.34985835694050993,20.572207084468666,0.5420560747663551,0.04046242774566474,0.09576023391812866,0.10688836104513064,0.02973977695167286,0.09837898267188373,0.028186274509803922,0.026905829596412557,0.06937799043062201,0.1180327868852459,0.11148648648648649,0.02005730659025788,0.2804532577903683,0.4444444444444444,0.4489795918367347,0.3977272727272727,0.060906515580736544,0.5813953488372093,0.5813953488372093,0.96,0.28895184135977336,0.3872549019607843,0.3872549019607843,0.8987341772151899,0.26506024096385544,0.07109004739336493,0.5333333333333333,0.2890995260663507,0.3114754098360656,0.5821529745042493,0.3910891089108911,0.4781482954545455,0.4856013888888888,0.46716833333333335,0.1029723991507431,0.31104033970276007,10.066884531590416,25.36842105263158,0.31841696844283496,89.0,164.0,14.0,29.0,30.0,53.0,38.0,97.0,19.0,268.0,16.0,26.0,23.0,38.0,19.0,4.0,24.0,6.0,4.0,6.0,15.0,7.0,13.0,78.0,17.0,13.0,2.0,2.0,17.0,11.0,,,,1.0,0.05664488017429194,0.12195121951219512,0.041237113402061855,0.12179487179487179,0.027879677182685254,0.032397408207343416,0.026627218934911243,0.02491103202846975,0.043478260869565216,0.08823529411764706,0.096,0.6470588235294118,0.23229461756373937,0.5426829268292683,0.6180555555555556,0.4157303370786517,0.13739376770538245,0.3917525773195876,0.40860215053763443,0.23684210526315788,0.3493975903614458,0.4827586206896552,0.2857142857142857,0.25118483412322273,0.5660377358490566,0.10116731517509728,0.14885496183206107,5.0,6.0,8.0,6.0,1.0,,35.0,,,0.2962962962962963,0.010101010101010102,0.060240963855421686,0.2727272727272727,2.0,0.4,1.0,1.0,,,,,,True
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,181251.0,3021,24,5542,5532,1773,1625,707,11074,8.0,39.0,,,,,,2.0,,,2.0,468,879,,2.0,356.0,1292,5972,118.0,196.0,,320.0,118.0,228.0,,2.0,163.0,399,496,,,1.0,1.0,,100,25.0,125,19.0,57.0,33.0,275,32.0,9.0,147,493,734,288.0,1022,28.0,64.0,37.0,27.0,97.0,15.0,36.0,119.0,216,58.0,149,277,466,7.0,598.0,61.0,399,1773,21.0,53.0,0.5299145299145299,0.6391752577319587,,,,,0.5324232081911263,0.6020408163265306,0.5175438596491229,0.5312145289443814,0.6020408163265306,0.5130434782608696,0.5622280243690165,0.6274509803921569,0.5619718309859155,0.0022701475595913734,21.456661947459494,0.44907407407407407,0.03734439834024896,0.251530612244898,0.2483108108108108,0.09876543209876543,0.2507836990595611,0.11792054099746407,0.10943396226415095,0.21859706362153344,0.2612197928653625,0.2634146341463415,0.08695652173913043,0.04426787741203178,0.20512820512820512,0.20512820512820512,0.75,,,,,0.0022701475595913734,,,,,,,0.008695652173913044,,0.6435868331441543,,0.4977928409090908,0.5269196629213484,0.49585764192139753,0.2476780185758514,0.3088235294117647,3.2229806598407276,52.45,0.31992060627932156,357.0,565.0,108.0,170.0,90.0,149.0,103.0,275.0,84.0,440.0,160.0,85.0,10.0,247.0,94.0,6.0,61.0,36.0,25.0,18.0,44.0,34.0,65.0,272.0,115.0,78.0,8.0,29.0,115.0,57.0,15.0,2.0,8.0,13.0,0.09670079635949944,0.11858407079646018,0.06545454545454546,0.41409691629955947,0.12095984329089128,0.18376068376068377,0.08527131782945736,0.08980582524271845,0.05084745762711865,0.27615062761506276,0.21428571428571427,0.4956521739130435,0.641316685584563,0.631858407079646,0.7168674698795181,0.5826330532212886,0.31214528944381387,0.37454545454545457,0.40077821011673154,0.3300970873786408,0.8673469387755102,0.6352941176470588,0.16666666666666666,0.6478260869565218,0.6040268456375839,0.25,0.2504604051565378,,,,6.0,6.0,,,,,,,,,,,,,,,,,,True
2052,1610612753,DeShawn Stevenson,DeShawn Stevenson,2052,ORL,132019.0,2200,-135,4022,4038,1108,989,514,8060,149.0,335.0,1.0,2.0,1.0,2.0,1.0,8.0,,,5.0,312,657,2.0,10.0,139.0,769,4457,32.0,75.0,,80.0,79.0,181.0,1.0,7.0,49.0,210,410,6.0,,2.0,6.0,1.0,106,23.0,129,14.0,56.0,37.0,281,9.0,2.0,42,98,151,50.0,201,10.0,50.0,34.0,16.0,52.0,9.0,32.0,46.0,98,24.0,50,138,156,26.0,185.0,7.0,210,1108,20.0,6.0,0.657051282051282,0.6810631229235881,1.0,0.2,0.14285714285714285,0.25,0.4748858447488584,0.4266666666666667,0.43646408839779005,0.47226386806596704,0.4266666666666667,0.42819148936170215,0.5140374331550802,0.47619047619047616,0.4861111111111111,0.014992503748125937,18.31168831168831,0.5306122448979592,0.012345679012345678,0.06735395189003436,0.09929078014184398,0.04326923076923077,0.07454739084132056,0.027522935779816515,0.040697674418604654,0.05043859649122807,0.07401574803149606,0.09523809523809523,0.03367003367003367,0.5022488755622189,0.44477611940298506,0.44610778443113774,0.7986577181208053,0.0029985007496251873,0.5,0.5,1.0,0.01199400299850075,0.125,0.14285714285714285,1.0,,0.010638297872340425,0.5,0.026595744680851064,,0.43478260869565216,0.16666666666666666,0.4782598644578313,0.49229558823529407,0.484498108108108,0.10403120936280884,0.27308192457737324,10.218721461187213,30.8,0.27548483341621083,151.0,280.0,22.0,43.0,44.0,85.0,12.0,42.0,16.0,214.0,22.0,47.0,13.0,39.0,11.0,4.0,20.0,8.0,8.0,5.0,21.0,1.0,23.0,97.0,11.0,6.0,2.0,3.0,11.0,8.0,1.0,,,,0.0715372907153729,0.14285714285714285,0.14285714285714285,0.06875,0.025390625,0.04021937842778794,0.013157894736842105,0.019704433497536946,0.05555555555555555,0.07692307692307693,0.10852713178294573,0.7272727272727273,0.4197901049475262,0.5392857142857143,0.6291666666666667,0.5298013245033113,0.06296851574212893,0.2857142857142857,0.3333333333333333,0.5,0.5733333333333334,0.5116279069767442,0.36363636363636365,0.4521276595744681,0.5176470588235295,0.13090418353576247,0.1326949384404925,,,,9.0,1.0,,1.0,,,,0.0029850746268656717,,,,,,,1.0,0.1,0.125,,,True
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,46544.0,776,39,1416,1419,551,509,180,2835,44.0,121.0,7.0,13.0,2.0,5.0,3.0,15.0,3.0,,10.0,115,256,10.0,28.0,70.0,330,1491,5.0,12.0,5.0,26.0,45.0,99.0,2.0,15.0,24.0,120,78,27.0,3.0,,15.0,3.0,63,15.0,78,14.0,28.0,25.0,171,1.0,,6,33,41,8.0,49,5.0,31.0,17.0,14.0,31.0,6.0,19.0,18.0,49,23.0,27,80,75,11.0,84.0,8.0,120,551,23.0,7.0,0.3391304347826087,0.34210526315789475,0.9,0.35714285714285715,0.13333333333333333,0.35714285714285715,0.44921875,0.4166666666666667,0.45454545454545453,0.45774647887323944,0.5588235294117647,0.42105263157894735,0.5093457943925234,0.6190476190476191,0.46511627906976744,0.09859154929577464,22.75522755227552,0.6326530612244898,,0.06613226452905811,0.0379746835443038,0.01282051282051282,0.0593607305936073,0.013582342954159592,0.016666666666666666,0.05228758169934641,0.07758620689655173,0.05504587155963303,0.03787878787878788,0.426056338028169,0.36363636363636365,0.36363636363636365,0.4772727272727273,0.045774647887323945,0.5384615384615384,0.5384615384615384,1.0,0.0528169014084507,0.2,0.2,0.6666666666666666,0.17647058823529413,0.043859649122807015,0.4,0.08771929824561403,,0.41901408450704225,0.2,0.457500528169014,0.48369375000000003,0.4426710526315791,0.07878787878787878,0.36363636363636365,10.383203125,24.392857142857142,0.3891242937853107,51.0,91.0,3.0,7.0,21.0,37.0,20.0,44.0,7.0,152.0,2.0,18.0,10.0,7.0,2.0,3.0,12.0,3.0,9.0,,3.0,2.0,7.0,36.0,3.0,,2.0,1.0,3.0,1.0,,,,,0.0703125,0.17582417582417584,0.045454545454545456,0.029850746268656716,0.0136986301369863,0.011834319526627219,0.023622047244094488,0.009302325581395349,,0.06140350877192982,,0.3333333333333333,0.3204225352112676,0.5604395604395604,0.68,0.27450980392156865,0.15492957746478872,0.45454545454545453,0.47619047619047616,0.2,0.4117647058823529,0.42857142857142855,0.6666666666666666,0.32456140350877194,0.5675675675675675,0.11501597444089456,0.12631578947368421,2.0,2.0,3.0,1.0,1.0,,3.0,,,0.6,,0.11764705882352941,0.6666666666666666,1.0,0.5,1.0,0.5,,,,,,True
255,1610612753,Grant Hill,Grant Hill,255,ORL,28612.0,477,-34,892,888,259,237,105,1780,33.0,79.0,1.0,3.0,1.0,2.0,1.0,2.0,,1.0,2.0,95,181,2.0,5.0,51.0,247,977,8.0,20.0,,25.0,23.0,46.0,2.0,4.0,29.0,81,58,3.0,3.0,1.0,1.0,1.0,36,4.0,40,3.0,25.0,6.0,84,,,9,36,49,8.0,57,1.0,19.0,12.0,7.0,13.0,5.0,6.0,14.0,27,7.0,22,39,62,13.0,66.0,12.0,81,259,1.0,10.0,0.30526315789473685,0.30851063829787234,0.5,0.4,0.5,0.5,0.5248618784530387,0.4,0.5,0.5268817204301075,0.4,0.52,0.5744186046511628,0.5,0.6230769230769231,0.026881720430107527,23.772102161100197,0.48148148148148145,,0.12080536912751678,0.10227272727272728,,0.11658031088082901,0.02030456852791878,,0.06741573033707865,0.15079365079365079,0.10714285714285714,0.012987012987012988,0.42473118279569894,0.4177215189873418,0.4230769230769231,0.3939393939393939,0.016129032258064516,0.3333333333333333,0.3333333333333333,,0.010752688172043012,0.5,0.5,1.0,,0.04,0.5,0.04,0.5,0.3602150537634409,1.0,0.46049270270270276,0.45279473684210525,0.4749714285714284,0.10121457489878542,0.32793522267206476,10.025414364640884,27.26,0.29035874439461884,43.0,62.0,4.0,8.0,14.0,17.0,19.0,40.0,9.0,132.0,2.0,11.0,5.0,8.0,4.0,,7.0,2.0,1.0,,6.0,2.0,8.0,25.0,5.0,3.0,,2.0,5.0,3.0,,,,2.0,0.06077348066298342,0.0967741935483871,0.1,0.17391304347826086,0.02203856749311295,0.017391304347826087,0.03125,0.019736842105263157,,0.13253012048192772,0.09375,0.6,0.3333333333333333,0.6935483870967742,0.7678571428571429,0.32558139534883723,0.21505376344086022,0.475,0.5277777777777778,0.10526315789473684,0.4,0.5,0.25,0.34,0.8235294117647058,0.12315270935960591,0.12626262626262627,,,,1.0,,,,,,,0.012658227848101266,,,,,,,,,,,,True
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,80121.0,1335,151,2496,2493,852,850,306,4989,103.0,213.0,10.0,22.0,4.0,5.0,45.0,94.0,4.0,17.0,41.0,219,413,55.0,116.0,105.0,708,2671,18.0,36.0,4.0,47.0,67.0,139.0,21.0,46.0,54.0,251,94,144.0,21.0,2.0,92.0,45.0,185,43.0,228,29.0,93.0,74.0,499,4.0,1.0,25,74,102,25.0,127,2.0,49.0,24.0,25.0,61.0,12.0,42.0,41.0,102,35.0,58,131,116,9.0,132.0,16.0,251,852,23.0,16.0,0.2146118721461187,0.2175925925925926,0.8727272727272727,0.47413793103448276,0.45652173913043476,0.4824561403508772,0.5302663438256658,0.5,0.48201438848920863,0.5699432892249527,0.525,0.5324324324324324,0.6034188034188034,0.5476190476190477,0.5763888888888888,0.21928166351606806,24.147627416520212,0.5980392156862745,0.010309278350515464,0.08466819221967964,0.099601593625498,0.024691358024691357,0.088,0.023506366307541625,0.028985507246376812,0.09025270758122744,0.08717948717948718,0.06134969325153374,0.009174311926605505,0.40264650283553877,0.4835680751173709,0.4835680751173709,0.2912621359223301,0.04158790170132325,0.45454545454545453,0.45454545454545453,0.9,0.1776937618147448,0.4787234042553192,0.4787234042553192,0.8666666666666667,0.1,0.02702702702702703,0.8,0.22162162162162163,0.4146341463414634,0.5198487712665406,0.4891304347826087,0.48253282732447816,0.4660486842105264,0.47585027322404366,0.06638418079096045,0.3545197740112994,10.758111380145275,25.40603448275862,0.34134615384615385,101.0,159.0,10.0,18.0,38.0,64.0,15.0,41.0,5.0,344.0,6.0,28.0,18.0,20.0,3.0,6.0,19.0,5.0,6.0,4.0,13.0,5.0,16.0,55.0,7.0,2.0,3.0,2.0,7.0,4.0,,,,1.0,0.06779661016949153,0.1509433962264151,0.0975609756097561,0.03,0.023282887077997673,0.02631578947368421,0.009708737864077669,0.02865329512893983,,0.07246376811594203,0.17045454545454544,0.5714285714285714,0.3005671077504726,0.6352201257861635,0.7481481481481481,0.15841584158415842,0.07750472589792061,0.36585365853658536,0.40540540540540543,0.06666666666666667,0.45,0.5555555555555556,0.1,0.34594594594594597,0.59375,0.0984182776801406,0.12168141592920353,,2.0,2.0,14.0,,,3.0,,,0.5,,,0.5,,,,1.0,,,,1.0,0.008547008547008548,True
278,1610612753,Stacey Augmon,Stacey Augmon,278,ORL,14228.0,237,38,427,427,159,177,62,854,2.0,4.0,,,,,,,,,,14,42,,,12.0,40,438,5.0,10.0,,10.0,5.0,14.0,,,6.0,16,16,,,,,,14,4.0,18,4.0,2.0,10.0,40,,3.0,4,13,18,12.0,30,3.0,6.0,3.0,3.0,4.0,,2.0,2.0,6,1.0,6,23,13,2.0,17.0,5.0,16,159,5.0,4.0,0.5714285714285714,0.8,,,,,0.3333333333333333,0.5,0.35714285714285715,0.3333333333333333,0.5,0.35714285714285715,0.39215686274509803,0.5,0.42105263157894735,,11.4,0.6666666666666666,0.15789473684210525,0.08783783783783784,0.08695652173913043,,0.08762886597938144,0.04864864864864865,,0.09523809523809523,0.10144927536231885,0.07142857142857142,0.12,0.09523809523809523,0.5,0.5,1.0,,,,,,,,,,,,,,0.40476190476190477,,0.44234047619047606,0.45827,0.43458571428571424,0.25,0.4,6.402380952380952,,0.37236533957845436,8.0,17.0,4.0,6.0,2.0,5.0,4.0,21.0,,12.0,8.0,3.0,2.0,9.0,1.0,,2.0,,1.0,3.0,1.0,,,4.0,1.0,1.0,,,1.0,,,,,,0.07142857142857142,0.058823529411764705,0.09523809523809523,0.047619047619047616,0.052941176470588235,0.08333333333333333,0.05454545454545454,0.01818181818181818,,0.05405405405405406,0.1111111111111111,,0.40476190476190477,0.47058823529411764,0.5,0.5,0.5,0.19047619047619047,0.21052631578947367,0.5,0.6,0.6666666666666666,,0.35714285714285715,0.4,0.08695652173913043,0.08695652173913043,,,,,1.0,,,,,,,,,,,,,,,,,,True
