EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,SelfOReb,Offensive Fouls,Assisted3sPct,DefThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,DefensiveGoaltends,OffensiveGoaltends,SecondChanceAtRimPctAssisted,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,on,Blocked3s,BlockedArc3,BlockedCorner3
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,2951.0,49,-31,95,89,70,45,15,184,2.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,6,3.0,3.0,1.0,3.0,1.0,2.0,4,13,1.0,6.0,4.0,15,94,1.0,3.0,1.0,3.0,3.0,9.0,1.0,5.0,4.0,13,4,4.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3,1.0,5,1.0,6,5,11,3,2.0,1.0,3,1.0,1.0,3.0,2.0,2.0,6,1.0,4.0,6,10,2.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,13,70,3,1.0,0.5,0.6666666666666666,0.16666666666666666,0.2,0.16666666666666666,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.2894736842105263,0.3333333333333333,0.32142857142857145,0.3333333333333333,0.375,0.375,0.3157894736842105,0.23076923076923078,0.25,0.6666666666666666,23.893805309734514,0.5,0.16666666666666666,0.2,0.16666666666666666,0.09090909090909091,0.058823529411764705,0.1282051282051282,0.08,0.16666666666666666,0.10526315789473684,0.08333333333333333,0.16666666666666666,0.23076923076923078,0.4,0.21052631578947367,0.5,0.6666666666666666,0.5,0.15789473684210525,0.3333333333333333,1.0,0.3157894736842105,0.16666666666666666,0.16666666666666666,1.0,0.15789473684210525,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.21428571428571427,0.6666666666666666,0.21428571428571427,0.14285714285714285,0.5,0.5263157894736842,0.3333333333333333,0.46228684210526316,0.4312,0.47090714285714286,0.05,0.07142857142857142,0.2,0.8666666666666667,11.223076923076926,24.78333333333333,0.7368421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,9820.0,164,-57,315,319,172,124,42,634,7.0,17.0,2.0,2.0,6.0,11.0,3.0,6.0,8.0,19,,,1.0,9.0,1.0,7.0,18,42,1.0,9.0,8.0,47,355,3.0,6.0,,6.0,13.0,29.0,1.0,7.0,1.0,30,16,20.0,,2.0,9.0,1.0,3.0,13.0,19.0,7.0,44.0,2.0,3,,9,,13,5,18,14,9.0,5.0,11,,8.0,6.0,3.0,1.0,17,2.0,12.0,9,17,8.0,13.0,1.0,5.0,1.0,,,,,,30,172,2,1.0,0.4444444444444444,0.47058823529411764,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.42857142857142855,0.5,0.4482758620689655,0.38235294117647056,0.42857142857142855,0.4027777777777778,0.41228070175438597,0.42857142857142855,0.40540540540540543,0.17647058823529413,0.07142857142857142,0.17647058823529413,,20.498614958448755,0.6470588235294118,,,0.0967741935483871,0.0297029702970297,0.05405405405405406,0.1092436974789916,0.036231884057971016,,,0.03225806451612903,0.027777777777777776,0.12903225806451613,,0.3333333333333333,0.4117647058823529,0.5,0.42857142857142855,0.11764705882352941,0.5,0.5,0.37254901960784315,0.42105263157894735,0.42105263157894735,0.5,,0.17647058823529413,0.1111111111111111,0.1111111111111111,0.2857142857142857,1.0,0.3055555555555556,0.5454545454545454,,0.19444444444444445,0.14285714285714285,0.5098039215686274,0.1111111111111111,0.4749450980392157,0.40712000000000004,0.47235833333333344,0.08928571428571429,0.10638297872340426,0.1276595744680851,0.6382978723404256,10.042857142857141,25.533333333333335,0.546031746031746,1.0,1.0,3.0,6.0,5.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,0.15384615384615385,0.08333333333333333,0.16666666666666666,0.15384615384615385,0.26666666666666666,0.03571428571428571,0.3333333333333333,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,42185.0,703,-45,1344,1363,608,519,176,2707,30.0,54.0,3.0,3.0,9.0,18.0,17.0,40.0,17.0,64,6.0,1.0,8.0,37.0,3.0,15.0,64,158,10.0,43.0,116.0,274,1493,4.0,9.0,6.0,14.0,23.0,56.0,4.0,16.0,71.0,129,28,100.0,12.0,2.0,37.0,8.0,6.0,53.0,74.0,19.0,169.0,1.0,3,,26,,38,4,42,16,12.0,4.0,12,4.0,6.0,13.0,6.0,1.0,25,3.0,11.0,24,41,97.0,129.0,5.0,39.0,27.0,3.0,2.0,,3.0,1.0,129,608,4,26.0,0.21875,0.2222222222222222,0.23255813953488372,0.25,0.23255813953488372,0.4050632911392405,0.4444444444444444,0.4107142857142857,0.39303482587064675,0.26666666666666666,0.4027777777777778,0.5193050193050193,0.3888888888888889,0.5772727272727273,0.21393034825870647,0.0379746835443038,0.09259259259259259,0.025,18.23453608247423,0.48,,,0.06582278481012659,0.0066815144766146995,0.006535947712418301,0.07037037037037037,0.006644518272425249,0.00909090909090909,,0.008620689655172414,0.057971014492753624,0.0896551724137931,0.3333333333333333,0.26865671641791045,0.5555555555555556,0.6122448979591837,0.26666666666666666,0.19900497512437812,0.425,0.4358974358974359,0.31840796019900497,0.265625,0.265625,0.29411764705882354,0.029850746268656716,0.18407960199004975,0.21621621621621623,0.21621621621621623,0.2,1.0,0.25,0.5,0.013888888888888888,0.20833333333333334,0.2,0.48258706467661694,0.21621621621621623,0.4681298994974875,0.4686916666666667,0.44537928571428576,0.16810344827586207,0.20634920634920634,0.051094890510948905,0.4708029197080292,9.724050632911394,25.972093023255812,0.4523809523809524,5.0,6.0,18.0,21.0,16.0,5.0,9.0,25.0,12.0,1.0,5.0,0.6,0.08275862068965517,0.015503875968992248,,0.044642857142857144,0.0784313725490196,0.008620689655172414,0.058823529411764705,0.5,0.3333333333333333,2.0,1.0,1.0,3.0,1.0,1.0,13.0,8.0,1.0,0.09302325581395349,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,60599.0,1010,-56,1942,1960,839,773,269,3902,33.0,66.0,21.0,41.0,15.0,32.0,1.0,6.0,,3,,,,2.0,,2.0,34,75,,2.0,37.0,105,2115,22.0,46.0,11.0,55.0,16.0,37.0,,2.0,23.0,55,24,44.0,,40.0,1.0,,10.0,21.0,27.0,11.0,60.0,26.0,91,5.0,99,22.0,149,122,271,33,20.0,13.0,16,3.0,9.0,22.0,7.0,1.0,38,7.0,13.0,92,179,68.0,74.0,,27.0,12.0,31.0,22.0,,31.0,15.0,55,839,24,11.0,0.35294117647058826,0.8571428571428571,,,,0.4533333333333333,0.4782608695652174,0.43243243243243246,0.44155844155844154,0.4782608695652174,0.41025641025641024,0.46875,0.5,0.4583333333333333,0.025974025974025976,0.13333333333333333,0.12121212121212122,0.3333333333333333,6.6489361702127665,0.42105263157894735,0.22448979591836735,0.05555555555555555,0.17098445595854922,0.14130434782608695,0.11016949152542373,0.1613722998729352,0.13295454545454546,0.15789473684210525,0.09060402684563758,0.09782608695652174,0.17435897435897435,0.1643835616438356,0.4838709677419355,0.8571428571428571,0.5,0.5689655172413793,0.36363636363636365,0.07792207792207792,0.16666666666666666,0.25,0.03896103896103896,,,,,0.025974025974025976,,,0.8913043478260869,0.5121951219512195,0.8205128205128205,0.46875,,0.05128205128205128,,0.8831168831168831,,0.5513986666666667,0.5532022727272728,0.5534540540540541,0.27,0.2755102040816326,0.5238095238095238,0.5238095238095238,2.161333333333333,48.95,0.43202883625128735,,,,6.0,6.0,,3.0,7.0,28.0,5.0,11.0,,0.1346153846153846,0.21142857142857144,0.15384615384615385,0.17575757575757575,0.14482758620689656,0.1724137931034483,,,,,,,2.0,14.0,13.0,18.0,4.0,9.0,0.1111111111111111,,,,,,1.0,2.0,1.0,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,True,,,
1916,1610612764,Calvin Booth,Calvin Booth,1916,WAS,5313.0,89,21,173,166,86,73,25,339,3.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,13,,,,1.0,,1.0,8,21,,1.0,1.0,17,166,1.0,4.0,,2.0,3.0,9.0,,1.0,,6,12,4.0,,2.0,1.0,,,4.0,4.0,2.0,8.0,,5,1.0,5,3.0,11,6,17,2,1.0,1.0,2,,2.0,,,,2,,1.0,9,16,2.0,2.0,,1.0,,5.0,1.0,,5.0,2.0,6,86,4,,0.75,0.8571428571428571,,,,0.38095238095238093,0.25,0.3333333333333333,0.36363636363636365,0.25,0.3,0.3695652173913043,0.25,0.3,0.045454545454545456,,,,12.315270935960593,1.0,0.2727272727272727,0.09090909090909091,0.09615384615384616,0.09090909090909091,,0.11940298507462686,0.06578947368421052,0.09090909090909091,0.12903225806451613,,0.06666666666666667,0.1,0.4,0.18181818181818182,0.75,0.75,0.6666666666666666,0.18181818181818182,0.25,0.25,0.5909090909090909,0.3076923076923077,0.3076923076923077,0.75,,0.045454545454545456,,,0.5,0.5,0.2,0.5,,0.1,,0.22727272727272727,,0.4507113636363636,0.498575,0.4656650000000001,0.043478260869565216,0.045454545454545456,0.11764705882352941,0.35294117647058826,12.314285714285715,24.0,0.49710982658959535,,,,,,,,2.0,3.0,,,,0.2,,,0.11764705882352941,0.1111111111111111,,1.0,,,,,,,,,1.0,,4.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,14533.0,242,-39,460,465,139,131,62,925,19.0,31.0,7.0,13.0,5.0,5.0,4.0,18.0,,2,,,,,,,23,51,,,8.0,54,471,8.0,16.0,,16.0,5.0,7.0,,,2.0,12,18,28.0,,12.0,,,7.0,,,,,4.0,10,3.0,24,9.0,39,17,56,4,1.0,3.0,8,1.0,2.0,8.0,6.0,2.0,16,,6.0,19,29,18.0,11.0,,6.0,,15.0,9.0,,15.0,9.0,12,139,3,,0.391304347826087,0.5294117647058824,,,,0.45098039215686275,0.5,0.7142857142857143,0.45098039215686275,0.5,0.7142857142857143,0.48214285714285715,0.5,0.6666666666666666,,0.13725490196078433,0.16129032258064516,0.1111111111111111,13.508442776735459,0.5,0.45,0.1875,0.15384615384615385,0.06134969325153374,0.0784313725490196,0.14705882352941177,0.06542056074766354,0.06818181818181818,0.0821917808219178,0.09302325581395349,0.15384615384615385,0.18181818181818182,0.6,0.6078431372549019,0.6129032258064516,0.7307692307692307,0.3157894736842105,0.35294117647058826,0.2222222222222222,0.25,0.0392156862745098,,,,,,,,0.8125,0.5384615384615384,0.7142857142857143,1.0,,,,0.6078431372549019,,0.5003745098039216,0.5612928571428571,0.5268857142857143,0.10714285714285714,0.10714285714285714,0.2962962962962963,0.2222222222222222,3.825490196078431,,0.30217391304347824,,,,,,,,,6.0,1.0,2.0,,0.125,0.021739130434782608,,0.11764705882352941,0.08571428571428572,0.05,0.75,,,,,,1.0,2.0,5.0,2.0,1.0,6.0,0.23076923076923078,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,8158.0,136,-14,254,261,135,139,47,515,13.0,17.0,6.0,10.0,8.0,11.0,6.0,15.0,,1,,,,,,,19,33,,,9.0,47,276,6.0,11.0,4.0,16.0,10.0,16.0,,,7.0,27,26,12.0,,10.0,,,3.0,1.0,1.0,,2.0,4.0,14,,14,3.0,20,18,38,3,2.0,1.0,4,,,3.0,4.0,1.0,7,1.0,3.0,9,24,17.0,20.0,,8.0,3.0,6.0,1.0,,6.0,2.0,27,135,6,2.0,0.6842105263157895,0.9285714285714286,,,,0.5757575757575758,0.5454545454545454,0.625,0.5757575757575758,0.5454545454545454,0.625,0.5595238095238095,0.5714285714285714,0.5869565217391305,,0.09090909090909091,,0.2,15.857605177993529,0.5714285714285714,0.21428571428571427,,0.15730337078651685,0.15384615384615385,0.10256410256410256,0.15315315315315314,0.13846153846153847,0.15384615384615385,0.12244897959183673,0.13333333333333333,0.14814814814814814,0.17142857142857143,0.3333333333333333,0.5151515151515151,0.7647058823529411,0.7647058823529411,0.6153846153846154,0.45454545454545453,0.4,0.5,0.030303030303030304,,,,,,,,0.9090909090909091,0.6,0.6875,0.7272727272727273,,,,0.5151515151515151,,0.48053030303030303,0.5263545454545455,0.51630625,0.20512820512820512,0.20512820512820512,0.3404255319148936,0.574468085106383,3.9212121212121214,,0.531496062992126,,,,,,,,1.0,3.0,1.0,1.0,,0.13636363636363635,0.25,,0.14814814814814814,0.125,0.09090909090909091,0.8333333333333334,,,,,,,3.0,3.0,3.0,2.0,5.0,0.16666666666666666,,,,,,,,,0.16666666666666666,1.0,2.0,,,,,,,,,,,,,,,,,,,True,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,16912.0,282,-41,533,541,176,155,77,1074,15.0,23.0,5.0,9.0,4.0,7.0,2.0,13.0,3.0,16,2.0,2.0,1.0,6.0,1.0,3.0,20,52,1.0,8.0,19.0,62,592,6.0,12.0,5.0,17.0,5.0,13.0,1.0,5.0,3.0,16,18,22.0,,10.0,5.0,1.0,4.0,14.0,16.0,4.0,34.0,3.0,17,,12,5.0,27,20,47,4,2.0,2.0,6,1.0,3.0,7.0,3.0,,13,2.0,5.0,15,34,23.0,30.0,,15.0,1.0,6.0,4.0,,6.0,4.0,16,176,3,1.0,0.45,0.6,0.125,0.2,0.14285714285714285,0.38461538461538464,0.5,0.38461538461538464,0.35833333333333334,0.5,0.3611111111111111,0.4246575342465753,0.5666666666666667,0.36363636363636365,0.13333333333333333,0.07692307692307693,0.043478260869565216,0.23076923076923078,13.76,0.46153846153846156,0.19230769230769232,,0.07947019867549669,0.08717948717948718,0.04838709677419355,0.10091743119266056,0.07782101167315175,0.14035087719298245,0.0898876404494382,0.061224489795918366,0.09615384615384616,0.06451612903225806,0.6666666666666666,0.38333333333333336,0.6521739130434783,0.6818181818181818,0.4666666666666667,0.21666666666666667,0.15384615384615385,0.2,0.26666666666666666,0.1875,0.1875,0.6666666666666666,0.03333333333333333,0.1,0.16666666666666666,0.16666666666666666,0.75,0.5555555555555556,0.3888888888888889,0.5714285714285714,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.5166666666666667,0.2,0.47700172413793096,0.5241916666666667,0.46744375000000005,0.20833333333333334,0.234375,0.27419354838709675,0.25806451612903225,7.996153846153845,32.8375,0.3302063789868668,,,3.0,2.0,2.0,,6.0,4.0,10.0,1.0,4.0,1.0,0.14925373134328357,0.02040816326530612,,0.08108108108108109,0.15555555555555556,0.029411764705882353,,1.0,,,,,,2.0,,2.0,3.0,2.0,0.13636363636363635,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,
2852,1610612764,Awvee Storey,Awvee Storey,2852,WAS,2666.0,44,-13,89,88,81,58,13,177,3.0,4.0,,,3.0,4.0,,,,10,,,1.0,2.0,1.0,2.0,3,14,1.0,2.0,3.0,12,87,,,,,3.0,10.0,1.0,2.0,3.0,12,6,,,,2.0,1.0,1.0,,1.0,,3.0,,1,,3,,6,1,7,2,1.0,1.0,1,,1.0,,,,1,,1.0,3,10,4.0,6.0,,2.0,1.0,1.0,,,1.0,,12,81,3,1.0,1.0,1.0,0.5,0.5,0.5,0.21428571428571427,,0.3,0.28125,,0.375,0.3157894736842105,,0.4,0.125,0.07142857142857142,0.25,,19.41747572815534,1.0,,,0.13636363636363635,0.030303030303030304,,0.2,0.022727272727272728,0.16666666666666666,,,0.18181818181818182,0.14285714285714285,,0.25,0.75,1.0,1.0,,,,0.625,,,,,0.125,0.5,0.5,,,0.3333333333333333,0.75,,0.16666666666666666,0.5,0.375,0.5,0.48801562500000006,,0.5262375,0.1111111111111111,0.125,,1.0,13.371428571428568,25.75,0.9101123595505618,,,3.0,1.0,,1.0,,,3.0,,,1.0,0.375,,,,0.25,,,1.0,,,,,,,1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2873,1610612764,Billy Thomas,Billy Thomas,2873,WAS,4471.0,75,-13,147,145,70,60,22,292,,,,,,,,,1.0,8,5.0,5.0,3.0,13.0,2.0,6.0,1,8,5.0,18.0,,17,154,,,,9.0,,4.0,4.0,11.0,,12,2,,,,12.0,3.0,,3.0,4.0,2.0,9.0,2.0,2,,1,,1,4,5,8,6.0,2.0,2,,2.0,1.0,,,3,1.0,1.0,2,7,,,,,,1.0,,1.0,1.0,,12,70,3,,1.0,1.0,0.2777777777777778,0.36363636363636365,0.29411764705882354,0.125,,,0.3269230769230769,0.9,0.4,0.3269230769230769,0.9,0.4,0.6923076923076923,,,,17.058823529411764,0.6666666666666666,,,0.02564102564102564,0.043478260869565216,0.06060606060606061,0.01694915254237288,0.05063291139240506,,,0.07692307692307693,,0.06666666666666667,,,,,,,,,0.3076923076923077,0.125,0.125,1.0,0.19230769230769232,0.5,0.23076923076923078,0.23076923076923078,,,,,0.3333333333333333,0.4,0.3333333333333333,0.6923076923076923,0.25,0.471168,0.4995,0.4694464285714286,,,0.5294117647058824,0.7058823529411765,18.124999999999996,27.388888888888893,0.47619047619047616,3.0,5.0,15.0,1.0,1.0,,1.0,,,,1.0,1.0,,0.2222222222222222,,,,,,1.0,0.6,2.0,2.0,2.0,,1.0,,,,,,0.4,0.4,1.0,0.4,0.4,1.0,,,,,,1.0,2.0,3.0,0.6,0.5,1.0,0.6666666666666666,1.0,,,,,,,,,,,True,,,
