EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,Technical Free Throw Trips,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,on
101113,1610612744,Ike Diogu,Ike Diogu,101113,GSW,18939.0,316,-87,597,603,172,200,78,1200,38,52,13.0,20.0,9.0,12.0,12.0,24.0,3.0,5.0,53,81,33.0,139,708,13.0,20.0,9.0,35.0,15.0,24.0,12.0,42.0,62.0,44,22.0,7.0,8.0,1.0,9.0,1.0,5.0,2.0,1.0,19.0,5.0,25.0,1.0,5.0,17,4.0,26,31.0,57,2.0,4,3.0,1.0,5.0,1.0,2.0,19,1.0,3.0,3.0,24,5.0,8.0,31.0,67,5.0,12.0,31,4.0,2.0,41.0,4.0,19.0,1.0,2.0,9.0,4.0,5.0,9.0,5.0,3.0,2.0,42.0,172,8.0,2.0,0.5849056603773585,0.7380952380952381,0.654320987654321,0.65,0.625,0.654320987654321,0.65,0.625,0.702020202020202,0.6730769230769231,0.6774193548387096,0.08641975308641975,0.07692307692307693,0.125,17.77456647398844,0.20833333333333334,0.12903225806451613,0.1111111111111111,0.09497206703910614,0.11261261261261261,0.08771929824561403,0.0625,0.09322033898305085,0.09933774834437085,0.16666666666666666,0.12698412698412698,0.05747126436781609,0.0847457627118644,0.0847457627118644,0.06666666666666667,0.12,0.1388888888888889,0.1,0.5555555555555556,0.6419753086419753,0.7307692307692307,0.7916666666666666,0.5526315789473685,0.2962962962962963,0.5,0.5714285714285714,0.6666666666666666,0.06172839506172839,0.6,0.6,0.6666666666666666,1.0,0.65,0.15384615384615385,0.5,0.75,0.6419753086419753,0.47976172839506176,0.5399588235294117,0.4657708333333333,0.20618556701030927,0.19791666666666666,1.0,0.2517985611510791,0.302158273381295,4.04567901234568,0.288107202680067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101145,1610612744,Monta Ellis,Monta Ellis,101145,GSW,15914.0,265,15,537,518,264,240,80,1055,27,49,6.0,10.0,11.0,24.0,5.0,10.0,3.0,14.0,35,73,12.0,109,527,6.0,12.0,1.0,19.0,16.0,37.0,4.0,48.0,26.0,44,8.0,9.0,13.0,4.0,17.0,3.0,6.0,1.0,6.0,38.0,2.0,5.0,,4.0,10,3.0,17,7.0,24,,11,5.0,6.0,10.0,1.0,6.0,11,2.0,4.0,3.0,21,,10.0,6.0,24,,5.0,22,,6.0,21.0,1.0,11.0,,,4.0,,2.0,6.0,2.0,,,48.0,264,6.0,,0.37142857142857144,0.41935483870967744,0.4794520547945205,0.5,0.43243243243243246,0.5159574468085106,0.6,0.46808510638297873,0.5240384615384616,0.59375,0.48,0.1232876712328767,0.14285714285714285,,19.809825673534075,0.47619047619047616,0.1111111111111111,,0.059880239520958084,0.02631578947368421,0.06779661016949153,0.03076923076923077,0.061946902654867256,0.027450980392156862,0.0410958904109589,0.02702702702702703,0.0125,0.043478260869565216,0.046511627906976744,0.05357142857142857,0.07352941176470588,0.06666666666666667,,0.3333333333333333,0.5212765957446809,0.5510204081632653,0.6428571428571429,0.4074074074074074,0.10638297872340426,0.5,0.5,0.2,0.14893617021276595,0.21428571428571427,0.25,0.3333333333333333,0.6666666666666666,0.6,,0.5106382978723404,0.4583333333333333,0.7446808510638298,0.5161132978723404,0.5181863636363636,0.49573191489361706,0.10576923076923077,0.13253012048192772,,0.1743119266055046,0.44036697247706424,4.975342465753425,0.49162011173184356,4.0,12.0,2.0,2.0,1.0,5.0,5.0,9.0,1.0,3.0,5.0,9.0,21.0,2.0,3.0,4.0,10.0,27.0,9.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.4,0.42857142857142855,0.22340425531914893,0.14285714285714285,0.07142857142857142,0.1276595744680851,0.3333333333333333,0.3333333333333333,1.0,0.09574468085106383,0.5555555555555556,0.5555555555555556,1.0,0.13333333333333333,1.0,1.0,0.06666666666666667,0.10638297872340426,0.2,0.10638297872340426,0.6,0.5555555555555556,24.06666666666667,,,,,,,,,,,,,,,True
101198,1610612744,Will Bynum,Will Bynum,101198,GSW,1282.0,21,-18,46,45,23,29,3,91,2,5,,,,,,1.0,,1.0,2,7,,4,57,,,,,,,,,2.0,2,,2.0,1.0,,1.0,,,1.0,,2.0,,,,,2,,2,,2,,1,1.0,,1.0,1.0,,2,,1.0,,3,1.0,1.0,,2,,1.0,1,,,,,,,,,,,,,,,,23,1.0,,0.5,0.5,0.2857142857142857,,,0.25,,,0.25,,,0.2857142857142857,0.2,1.0,22.448979591836736,0.3333333333333333,,,0.2222222222222222,,,,0.14285714285714285,,,,,,,0.3333333333333333,0.25,,,,0.625,0.4,0.5,0.5,0.125,,,,0.125,,,,,,,,,0.75,0.5437625,,0.5694,,,,,,3.3714285714285714,0.5,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,0.125,,,,,,,0.125,,,,,,,,,,1.0,,,25.2,,,,,,,,,,,,,,,True
2211,1610612744,Troy Murphy,Troy Murphy,2211,GSW,150984.0,2516,-121,4903,4878,1417,1454,603,9781,159,264,50.0,86.0,44.0,71.0,37.0,131.0,109.0,262.0,305,657,251.0,1035,5285,61.0,120.0,29.0,157.0,78.0,153.0,95.0,293.0,366.0,244,80.0,57.0,60.0,41.0,101.0,14.0,39.0,2.0,19.0,243.0,68.0,118.0,9.0,112.0,370,66.0,548,195.0,743,29.0,47,36.0,11.0,53.0,7.0,23.0,55,3.0,30.0,15.0,108,15.0,23.0,80.0,191,19.0,23.0,250,24.0,11.0,319.0,33.0,138.0,,32.0,26.0,13.0,11.0,26.0,14.0,1.0,2.0,293.0,1417,26.0,29.0,0.6,0.690566037735849,0.4642313546423135,0.5083333333333333,0.5098039215686274,0.4677804295942721,0.48484848484848486,0.48058252427184467,0.5266666666666666,0.5198675496688742,0.5528301886792453,0.0867579908675799,0.14393939393939395,0.1450381679389313,19.284188034188034,0.49074074074074076,0.4,0.05325443786982249,0.21191294387170675,0.07082833133253301,0.22764227642276422,0.09226594301221167,0.21537086684539766,0.07740324594257178,0.09618874773139746,0.06046511627906977,0.05693430656934306,0.08073394495412844,0.16458333333333333,0.25865580448065173,0.21161290322580645,0.24147727272727273,0.07021791767554479,0.5384615384615384,0.315035799522673,0.6022727272727273,0.7035398230088495,0.5471698113207547,0.15632458233890215,0.2824427480916031,0.33035714285714285,0.40540540540540543,0.3126491646778043,0.41603053435114506,0.41603053435114506,0.7431192660550459,0.6515151515151515,0.5813953488372093,0.16,0.3446601941747573,0.6197183098591549,0.5310262529832935,0.4777780167264038,0.4933434343434343,0.4835965853658539,0.14634146341463414,0.18110236220472442,,0.15169082125603864,0.28309178743961355,9.232724505327246,0.2890067305731185,6.0,25.0,1.0,2.0,2.0,7.0,52.0,156.0,10.0,12.0,46.0,58.0,181.0,2.0,12.0,14.0,53.0,171.0,155.0,52.0,27.0,,,,2.0,6.0,0.9827586206896551,0.32044198895027626,0.16666666666666666,0.2641509433962264,0.32222222222222224,0.2159904534606205,,0.19285714285714287,0.029832935560859187,0.24,0.24,1.0,0.18615751789976134,0.3333333333333333,0.33548387096774196,0.9807692307692307,0.015151515151515152,0.5,1.0,0.07575757575757576,0.03398058252427184,0.2857142857142857,0.22330097087378642,0.2608695652173913,0.33548387096774196,25.324861878453035,1.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0055248618784530384,0.00641025641025641,0.125,0.1,1.0,,True
2399,1610612744,Mike Dunleavy,Mike Dunleavy,2399,GSW,102499.0,1708,-79,3360,3337,842,747,394,6697,91,125,14.0,20.0,18.0,28.0,23.0,74.0,60.0,165.0,174,364,108.0,606,3645,17.0,31.0,12.0,58.0,31.0,74.0,38.0,142.0,246.0,102,22.0,15.0,101.0,53.0,154.0,16.0,49.0,16.0,36.0,361.0,10.0,31.0,2.0,48.0,139,10.0,197,43.0,240,9.0,40,24.0,16.0,43.0,12.0,31.0,42,3.0,12.0,8.0,85,6.0,15.0,71.0,135,10.0,12.0,155,10.0,33.0,141.0,15.0,63.0,,15.0,21.0,9.0,8.0,21.0,11.0,2.0,,142.0,842,11.0,13.0,0.7068965517241379,0.754601226993865,0.47802197802197804,0.5483870967741935,0.4189189189189189,0.469811320754717,0.5348837209302325,0.41935483870967744,0.5109612141652614,0.58,0.48299319727891155,0.04120879120879121,0.056,0.08108108108108109,17.744046061240514,0.5058823529411764,0.10416666666666667,0.015748031496062992,0.11554447215295095,0.02745792736935341,0.13994169096209913,0.02040816326530612,0.12095730918499353,0.0253242742433601,0.03814713896457766,0.016835016835016835,0.025806451612903226,0.024,0.09815950920245399,0.11143695014662756,0.1287313432835821,0.11203319502074689,0.031141868512110725,0.5238095238095238,0.2358490566037736,0.728,0.7711864406779662,0.6813186813186813,0.13962264150943396,0.3108108108108108,0.3382352941176471,0.5652173913043478,0.3113207547169811,0.36363636363636365,0.36809815950920244,0.8,0.46511627906976744,0.7,0.21428571428571427,0.22580645161290322,0.6428571428571429,0.5490566037735849,0.48267155009451795,0.48915156249999997,0.4918658536585365,0.10899653979238755,0.1529126213592233,,0.09570957095709572,0.23432343234323433,10.68901098901099,0.2505952380952381,18.0,52.0,1.0,4.0,4.0,16.0,32.0,114.0,8.0,10.0,34.0,50.0,166.0,4.0,12.0,14.0,50.0,135.0,113.0,32.0,37.0,,,,4.0,1.0,0.9,0.30120481927710846,0.3333333333333333,0.28,0.30303030303030304,0.3132075471698113,0.012121212121212121,0.20588235294117646,0.09811320754716982,0.34615384615384615,0.34615384615384615,1.0,0.21509433962264152,0.2807017543859649,0.2807017543859649,0.84375,0.09302325581395349,0.25,1.0,0.18604651162790697,0.12903225806451613,0.25,0.27419354838709675,0.29411764705882354,0.2831858407079646,25.194578313253015,3.0,15.0,1.0,,1.0,,,,,,0.008695652173913044,0.375,1.0,,True
965,1610612744,Derek Fisher,Derek Fisher,965,GSW,91035.0,1517,-29,2926,2910,987,1056,374,5836,43,97,2.0,7.0,21.0,38.0,20.0,63.0,89.0,216.0,152,376,150.0,661,3141,15.0,36.0,9.0,69.0,59.0,133.0,84.0,268.0,102.0,202,8.0,27.0,162.0,58.0,220.0,27.0,99.0,18.0,45.0,498.0,6.0,18.0,1.0,28.0,50,4.0,82,25.0,107,4.0,69,31.0,38.0,67.0,17.0,48.0,34,,19.0,2.0,101,10.0,32.0,51.0,145,5.0,10.0,170,10.0,29.0,178.0,8.0,41.0,3.0,35.0,1.0,1.0,,2.0,2.0,,,268.0,987,34.0,36.0,0.3355263157894737,0.34459459459459457,0.40425531914893614,0.4166666666666667,0.44360902255639095,0.4705340699815838,0.5263157894736842,0.46464646464646464,0.5203583061889251,0.5573770491803278,0.5408163265306123,0.07180851063829788,0.1958762886597938,0.09523809523809523,21.222914811516773,0.6633663366336634,0.03669724770642202,0.01,0.04975124378109453,0.017543859649122806,0.0924092409240924,0.013986013986013986,0.05963302752293578,0.016494845360824743,0.020289855072463767,0.015209125475285171,0.01674641148325359,0.01597444089456869,0.058823529411764705,0.05017921146953405,0.04405286343612335,0.07142857142857142,0.013793103448275862,1.0,0.17863720073664824,0.44329896907216493,0.5512820512820513,0.11627906976744186,0.11602209944751381,0.31746031746031744,0.3508771929824561,0.1,0.39779005524861877,0.41203703703703703,0.4158878504672897,0.4943820224719101,0.12280701754385964,0.2857142857142857,,0.1919191919191919,0.5526315789473685,0.4861878453038674,0.4546604243542435,0.46113571428571426,0.4460469543147207,0.07599309153713299,0.10024449877750612,0.01764705882352941,0.1043872919818457,0.405446293494705,12.729521276595747,0.3373205741626794,22.0,53.0,1.0,4.0,9.0,28.0,47.0,114.0,17.0,13.0,37.0,69.0,167.0,10.0,21.0,22.0,65.0,177.0,114.0,47.0,31.0,1.0,1.0,,,3.0,0.855072463768116,0.41317365269461076,0.47619047619047616,0.3384615384615385,0.41317365269461076,0.30755064456721914,0.009259259259259259,0.1518987341772152,0.09760589318600368,0.41509433962264153,0.41509433962264153,1.0,0.20994475138121546,0.41228070175438597,0.41228070175438597,0.7872340425531915,0.07017543859649122,0.25,1.0,0.2982456140350877,0.1414141414141414,0.32142857142857145,0.18686868686868688,0.35135135135135137,0.41228070175438597,24.933532934131733,9.0,30.0,,,2.0,,24.0,,,,0.008620689655172414,0.5294117647058824,1.0,,True
1884,1610612744,Baron Davis,Baron Davis,1884,GSW,87470.0,1458,-33,2858,2841,872,900,330,5699,98,175,8.0,12.0,26.0,58.0,23.0,82.0,42.0,128.0,163,385,139.0,681,3088,12.0,25.0,5.0,50.0,37.0,119.0,57.0,209.0,48.0,278,4.0,31.0,262.0,101.0,363.0,30.0,158.0,30.0,74.0,827.0,15.0,15.0,1.0,24.0,102,1.0,127,31.0,158,7.0,65,25.0,40.0,65.0,14.0,55.0,48,2.0,10.0,13.0,113,5.0,31.0,47.0,121,2.0,7.0,186,3.0,15.0,209.0,23.0,83.0,3.0,28.0,12.0,4.0,5.0,13.0,8.0,1.0,,209.0,872,24.0,26.0,0.147239263803681,0.14906832298136646,0.42337662337662335,0.48,0.31092436974789917,0.44208809135399674,0.4411764705882353,0.38,0.4822190611664296,0.46296296296296297,0.4336099585062241,0.08051948051948052,0.13142857142857142,0.07317073170731707,25.154130702836007,0.5752212389380531,0.009615384615384616,0.01098901098901099,0.09855072463768116,0.016611295681063124,0.0851063829787234,0.030927835051546393,0.09567198177676538,0.021613832853025938,0.023411371237458192,0.012396694214876033,0.013812154696132596,0.03910614525139665,0.0763888888888889,0.07801418439716312,0.12473118279569892,0.09644670050761421,0.020833333333333332,0.6153846153846154,0.28548123980424145,0.56,0.6447368421052632,0.21428571428571427,0.13376835236541598,0.2804878048780488,0.3026315789473684,0.043478260869565216,0.20880913539967375,0.328125,0.3333333333333333,0.047619047619047616,0.23529411764705882,0.6666666666666666,0.125,0.29,0.4482758620689655,0.6574225122349103,0.48634753289473676,0.48033285714285706,0.465766581632653,0.1274074074074074,0.18651685393258427,0.013043478260869565,0.07342143906020558,0.3069016152716593,8.350389610389607,0.30510846745976206,11.0,27.0,1.0,6.0,4.0,11.0,61.0,201.0,20.0,22.0,70.0,72.0,228.0,7.0,26.0,26.0,81.0,105.0,197.0,61.0,71.0,1.0,1.0,,3.0,3.0,0.4861111111111111,0.3157894736842105,0.2692307692307692,0.32098765432098764,0.32142857142857145,0.3719412724306688,0.015625,0.058823529411764705,0.04404567699836868,0.4074074074074074,0.4074074074074074,0.5454545454545454,0.3278955954323002,0.3034825870646766,0.305,0.47540983606557374,0.11764705882352941,0.16666666666666666,,0.39215686274509803,0.055,0.36363636363636365,0.35,0.3142857142857143,0.3096446700507614,26.032894736842103,6.0,111.0,4.0,1.0,2.0,,3.0,,0.0043859649122807015,0.004975124378109453,0.007874015748031496,0.3,0.8333333333333334,1.0,True
2554,1610612744,Mickael Pietrus,Mickael Pietrus,2554,GSW,37785.0,630,-70,1222,1218,355,406,168,2440,45,79,4.0,9.0,17.0,26.0,4.0,15.0,9.0,35.0,58,129,43.0,246,1303,5.0,14.0,6.0,28.0,19.0,40.0,14.0,88.0,82.0,34,6.0,22.0,17.0,8.0,25.0,3.0,8.0,2.0,7.0,58.0,10.0,16.0,,8.0,41,2.0,51,26.0,77,2.0,17,3.0,14.0,16.0,2.0,10.0,20,,6.0,7.0,36,3.0,8.0,32.0,72,6.0,7.0,55,2.0,6.0,75.0,7.0,30.0,,11.0,4.0,1.0,3.0,4.0,2.0,,,88.0,355,10.0,8.0,0.7068965517241379,0.7454545454545455,0.4496124031007752,0.35714285714285715,0.475,0.4720930232558139,0.4782608695652174,0.5285714285714286,0.4939759036144578,0.5185185185185185,0.5301204819277109,0.17054263565891473,0.24050632911392406,0.2,20.028109627547433,0.4444444444444444,0.047619047619047616,,0.09318181818181819,0.038461538461538464,0.06896551724137931,0.050761421319796954,0.08812949640287769,0.04241435562805873,0.035211267605633804,0.030612244897959183,0.045454545454545456,0.07194244604316546,0.056910569105691054,0.096,0.11458333333333333,0.07317073170731707,0.019230769230769232,0.5,0.3674418604651163,0.569620253164557,0.75,0.7333333333333333,0.06976744186046512,0.26666666666666666,0.3333333333333333,0.25,0.16279069767441862,0.2571428571428571,0.2571428571428571,0.7777777777777778,0.391304347826087,0.4444444444444444,0.25,0.37142857142857144,0.6538461538461539,0.7674418604651163,0.5349356807511738,0.4749617647058824,0.5375073529411766,0.12605042016806722,0.19736842105263158,,0.11382113821138211,0.35772357723577236,6.813178294573644,0.2905073649754501,24.0,60.0,3.0,5.0,9.0,19.0,5.0,26.0,4.0,3.0,11.0,29.0,86.0,4.0,9.0,12.0,30.0,81.0,25.0,5.0,5.0,,,,,1.0,0.9310344827586207,0.3372093023255814,0.4444444444444444,0.4,0.3411764705882353,0.4,,0.058823529411764705,0.27906976744186046,0.4,0.4,1.0,0.12093023255813953,0.19230769230769232,0.19230769230769232,0.6,0.21739130434782608,0.6,1.0,0.17391304347826086,0.2714285714285714,0.47368421052631576,0.15714285714285714,0.2727272727272727,0.2,24.733720930232558,1.0,6.0,1.0,,,,,,,,,0.25,1.0,,True
2202,1610612744,Jason Richardson,Jason Richardson,2202,GSW,121407.0,2023,-42,3968,3942,1057,1099,474,7910,191,307,23.0,51.0,43.0,71.0,48.0,150.0,89.0,241.0,328,698,185.0,1228,4275,33.0,80.0,13.0,148.0,68.0,144.0,86.0,312.0,326.0,330,30.0,54.0,120.0,53.0,173.0,14.0,59.0,18.0,43.0,399.0,18.0,54.0,3.0,47.0,157,6.0,210,75.0,285,14.0,61,40.0,21.0,73.0,12.0,38.0,48,1.0,35.0,4.0,121,11.0,31.0,62.0,151,11.0,17.0,202,8.0,9.0,272.0,22.0,115.0,2.0,29.0,25.0,19.0,5.0,25.0,16.0,,,312.0,1057,19.0,27.0,0.4969512195121951,0.5207667731629393,0.4699140401146132,0.4125,0.4722222222222222,0.5112745098039215,0.5487804878048781,0.49130434782608695,0.5367132867132867,0.5692307692307692,0.5492957746478874,0.07736389684813753,0.09446254071661238,0.10666666666666667,27.9126213592233,0.6033057851239669,0.049586776859504134,0.022900763358778626,0.11040787623066103,0.04051012753188297,0.11779448621553884,0.030252100840336135,0.11202635914332784,0.03734439834024896,0.05057471264367816,0.03380281690140845,0.03683241252302026,0.024886877828054297,0.08395061728395062,0.10669975186104218,0.13029315960912052,0.1366906474820144,0.027944111776447105,0.64,0.30098039215686273,0.6221498371335505,0.6870503597122302,0.5340314136125655,0.14705882352941177,0.32,0.3582089552238806,0.3333333333333333,0.23627450980392156,0.36929460580912865,0.38362068965517243,0.5056179775280899,0.4146341463414634,0.45098039215686275,0.21739130434782608,0.30869565217391304,0.6056338028169014,0.6166666666666667,0.49925496070726927,0.5109406593406592,0.48971293859649123,0.10493273542600896,0.14538558786346398,0.006172839506172839,0.12052117263843648,0.254071661237785,8.578796561604584,0.26638104838709675,38.0,87.0,7.0,12.0,12.0,25.0,91.0,235.0,31.0,18.0,61.0,129.0,322.0,23.0,43.0,30.0,86.0,303.0,233.0,91.0,39.0,,,,1.0,,0.7829457364341085,0.40062111801242234,0.5348837209302325,0.3488372093023256,0.403125,0.3156862745098039,0.03734439834024896,0.0743801652892562,0.08529411764705883,0.4367816091954023,0.4367816091954023,0.8421052631578947,0.23039215686274508,0.3872340425531915,0.3888888888888889,0.7582417582417582,0.0975609756097561,0.5833333333333334,0.7142857142857143,0.25203252032520324,0.10869565217391304,0.48,0.26521739130434785,0.29508196721311475,0.3905579399141631,25.03726708074534,16.0,84.0,2.0,1.0,2.0,,,1.0,0.003105590062111801,0.00425531914893617,0.0457516339869281,0.5161290322580645,0.9375,,True
2560,1610612744,Zarko Cabarkapa,Zarko Cabarkapa,2560,GSW,4792.0,80,-63,151,153,78,70,24,304,1,5,,2.0,1.0,3.0,1.0,4.0,5.0,10.0,7,19,3.0,23,214,1.0,4.0,1.0,3.0,4.0,8.0,3.0,17.0,10.0,4,,1.0,1.0,1.0,2.0,1.0,,,1.0,5.0,,3.0,,2.0,5,,7,3.0,10,,3,2.0,1.0,,,,3,,,2.0,3,1.0,2.0,7.0,16,3.0,,4,2.0,,4.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,17.0,78,1.0,1.0,0.7142857142857143,0.7142857142857143,0.3684210526315789,0.25,0.5,0.43478260869565216,0.25,0.6363636363636364,0.46,0.3,0.6538461538461539,0.05263157894736842,0.2,,16.0,,,,0.14705882352941177,0.05263157894736842,0.11764705882352941,,0.13725490196078433,0.0379746835443038,0.05,0.0625,0.047619047619047616,,0.4,0.09090909090909091,,0.07142857142857142,,,0.21739130434782608,0.2,0.25,,0.17391304347826086,0.25,0.25,,0.43478260869565216,0.5,0.5,1.0,0.5,,,0.2727272727272727,0.3333333333333333,0.391304347826087,0.4697282608695653,0.5336,0.5263772727272727,0.041666666666666664,0.05,,0.13043478260869565,0.7391304347826086,12.657894736842104,0.5165562913907285,,,,,,,2.0,4.0,,2.0,3.0,2.0,4.0,,,2.0,3.0,6.0,4.0,2.0,,,,,,,1.0,0.5,,0.6666666666666666,0.5,0.17391304347826086,,0.3333333333333333,,,,,0.17391304347826086,0.5,0.5,1.0,,,,,,,0.2727272727272727,0.6666666666666666,0.5,25.225,,,,,,,,,,,,,,,True
