EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Loose Ball Fouls,Loose Ball Fouls Drawn,HeaveAttempts,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,DefFTReboundPct,OffFTReboundPct,3SecondViolations,OffCorner3ReboundPct,Blocked3s,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,HeaveMakes,Corner3PctBlocked,BlockedCorner3
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,33844.0,564,-21,1053,1053,392,359,141,2106,30,50,4.0,5.0,7.0,12.0,7.0,26.0,23,73,6.0,8.0,2.0,2.0,2.0,3.0,20.0,53.0,3.0,5.0,10.0,21.0,60,149,26.0,61.0,24.0,222,1089,6.0,18,5.0,7.0,27.0,17.0,44,12.0,24.0,16.0,86,82,38,69.0,9.0,4.0,53.0,20.0,12,56,7.0,63,6.0,1.0,22.0,4.0,30,133,1.0,7,14.0,36,50,8,58,1.0,16,8.0,8.0,19,2.0,8.0,8.0,11.0,1.0,2.0,27,5.0,15,26,51,1.0,3.0,33,10.0,35.0,3.0,2.0,12.0,6.0,3.0,2.0,1.0,3.0,2.0,1.0,86,392,7.0,6.0,0.6833333333333333,0.7068965517241379,0.8846153846153846,0.4262295081967213,0.7142857142857143,0.5,0.4262295081967213,0.40268456375838924,0.3333333333333333,0.38636363636363635,0.4714285714285714,0.54,0.5147058823529411,0.4911111111111111,0.54,0.5512820512820513,0.2904761904761905,0.08053691275167785,0.14,0.11538461538461539,0.0273972602739726,20.75782537067545,0.7037037037037037,0.0997229916897507,0.018617021276595744,0.1111111111111111,0.011764705882352941,0.1026694045174538,0.01735357917570499,0.023622047244094488,0.0125,0.01775147928994083,0.015151515151515152,0.12244897959183673,0.14583333333333334,0.059880239520958084,0.10638297872340426,0.125,0.009259259259259259,0.6666666666666666,0.23809523809523808,0.6,0.6976744186046512,0.5,0.12380952380952381,0.2692307692307692,0.30434782608695654,0.5714285714285714,0.3476190476190476,0.3150684931506849,0.323943661971831,0.9565217391304348,0.0380952380952381,0.75,0.75,0.8333333333333334,0.2523809523809524,0.37735849056603776,0.37735849056603776,0.9,0.2,0.8,0.5,0.08,1.0,0.5,0.2,0.6,1.0,0.17647058823529413,0.5833333333333334,0.04411764705882353,0.6666666666666666,0.3088235294117647,0.47619047619047616,0.5285714285714286,0.37735849056603776,0.47117583732057416,0.48703571428571424,0.45242761194029846,0.0547945205479452,0.0759493670886076,0.12162162162162163,0.38738738738738737,11.056375838926177,25.02131147540984,0.37226970560303896,,,,,,,,,,,,,,,,,,,,,,,True,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,3167.0,53,-3,100,97,38,33,14,197,2,5,,1.0,,,,1.0,3,8,,1.0,,,,1.0,1.0,3.0,,,,,5,14,1.0,4.0,2.0,15,102,,1,,,1.0,,4,,1.0,2.0,2,8,2,3.0,,,3.0,1.0,3,3,,3,,,2.0,,1,6,,4,2.0,2,4,4,8,2.0,1,,1.0,3,,3.0,,,,,3,,1,2,4,,,4,,3.0,,,2.0,,,,,,,,2,38,,,0.8,0.8,1.0,0.25,,,0.25,0.35714285714285715,,,0.3611111111111111,,,0.375,0.25,0.14285714285714285,0.2222222222222222,0.21428571428571427,0.2,1.0,0.125,20.17543859649123,1.0,0.06451612903225806,0.0975609756097561,0.14285714285714285,,0.08888888888888889,0.0851063829787234,0.23076923076923078,,0.05555555555555555,,0.125,,0.08333333333333333,0.18181818181818182,,0.25,,0.2777777777777778,0.4,0.5,0.5,0.05555555555555555,,,,0.4444444444444444,0.375,0.42857142857142855,1.0,0.05555555555555555,,,,0.16666666666666666,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,0.2,,,,0.5,0.3333333333333333,0.485225,0.6758,0.40717,0.1,0.125,0.06666666666666667,0.13333333333333333,12.200000000000001,24.725,0.38,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,
101156,1610612762,Robert Whaley,Robert Whaley,101156,UTA,6381.0,106,-29,191,194,103,98,32,385,8,15,5.0,6.0,5.0,10.0,2.0,11.0,2,7,,,,,,,,,,,,,12,33,,,3.0,27,208,6.0,8,,,14.0,7.0,18,,,3.0,17,12,12,,,10.0,,,2,9,,9,,,5.0,,4,18,,9,4.0,8,12,9,21,3.0,3,1.0,2.0,4,,1.0,3.0,3.0,,,7,,2,14,24,,3.0,4,1.0,6.0,,,2.0,1.0,5.0,4.0,1.0,5.0,2.0,1.0,17,103,3.0,1.0,0.5,0.8571428571428571,,,,,,0.36363636363636365,0.75,0.3888888888888889,0.36363636363636365,0.75,0.3888888888888889,0.375,0.7,0.40476190476190477,,0.06060606060606061,,0.18181818181818182,,18.94273127753304,0.5714285714285714,0.13114754098360656,0.11538461538461539,0.15384615384615385,,0.13793103448275862,0.10465116279069768,0.2608695652173913,0.09090909090909091,0.030303030303030304,,0.15789473684210525,0.15,0.09090909090909091,0.058823529411764705,0.3333333333333333,0.15789473684210525,0.4,0.45454545454545453,0.5333333333333333,0.5333333333333333,0.375,0.3333333333333333,0.18181818181818182,0.2222222222222222,0.5,0.21212121212121213,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,,0.75,0.8333333333333334,,,,,,,,0.5555555555555556,0.5,,,,,0.45454545454545453,,0.4512424242424242,0.50285,0.470911111111111,0.05714285714285714,0.05714285714285714,0.5185185185185185,0.6296296296296297,6.381818181818183,,0.5392670157068062,2.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,True,,,
1960,1610612762,Milt Palacio,Milt Palacio,1960,UTA,82536.0,1376,-91,2540,2548,976,948,349,5088,117,229,7.0,15.0,46.0,84.0,9.0,25.0,44,133,,2.0,,,,1.0,1.0,14.0,,1.0,,9.0,170,387,1.0,16.0,98.0,441,2663,12.0,24,,1.0,26.0,59.0,137,,10.0,45.0,163,158,182,,3.0,4.0,11.0,1.0,47,136,54.0,190,35.0,19.0,56.0,20.0,60,434,2.0,14,29.0,85,117,17,134,3.0,47,22.0,25.0,62,7.0,34.0,48.0,28.0,5.0,5.0,110,4.0,48,55,125,,19.0,124,6.0,150.0,8.0,,57.0,22.0,14.0,6.0,4.0,14.0,13.0,,163,976,20.0,21.0,0.4647058823529412,0.47023809523809523,,0.0625,,,0.07692307692307693,0.4392764857881137,0.5,0.4306569343065693,0.42555831265508687,0.48,0.4013605442176871,0.4651898734177215,0.4482758620689655,0.45786516853932585,0.03970223325062035,0.12144702842377261,0.1703056768558952,0.24,0.015037593984962405,19.776498476125973,0.5636363636363636,0.09670079635949944,0.01440329218106996,0.10780669144981413,0.011834319526627219,0.09930313588850175,0.014022787028921999,0.01238390092879257,0.005208333333333333,0.019693654266958426,0.014388489208633094,0.09848484848484848,0.07906976744186046,0.105,0.11822660098522167,0.07575757575757576,0.017341040462427744,0.9285714285714286,0.5682382133995038,0.5109170305676856,0.6157894736842106,0.3418803418803419,0.062034739454094295,0.36,0.47368421052631576,0.4444444444444444,0.33002481389578164,0.3308270676691729,0.33587786259541985,0.7954545454545454,0.004962779156327543,,,,0.034739454094292806,0.07142857142857142,0.07142857142857142,,0.6,0.4666666666666667,0.2857142857142857,,,,0.04,,,0.5714285714285714,0.5476190476190477,0.006802721088435374,,0.061224489795918366,,0.607940446650124,0.09090909090909091,0.4977273749999999,0.4590931818181819,0.4852833333333334,0.1261061946902655,0.13073394495412843,0.05895691609977324,0.36961451247165533,6.829198966408269,30.58125,0.384251968503937,2.0,,,,4.0,,3.0,1.0,3.0,2.0,4.0,0.02654867256637168,0.008547008547008548,,,,,,,,,,True,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,40383.0,673,78,1219,1227,424,408,170,2446,27,43,15.0,23.0,7.0,13.0,6.0,22.0,14,46,,,,,,,,,,,,,47,111,,,71.0,165,1197,17.0,30,,,52.0,13.0,34,,,41.0,67,62,32,,,20.0,,,7,33,3.0,36,2.0,1.0,18.0,3.0,12,75,6.0,48,10.0,68,83,58,141,3.0,17,14.0,3.0,9,,5.0,9.0,4.0,,2.0,18,1.0,4,47,98,,4.0,97,27.0,95.0,3.0,,32.0,17.0,6.0,4.0,,6.0,4.0,4.0,67,424,9.0,16.0,0.6595744680851063,0.8378378378378378,,,,,,0.42342342342342343,0.5666666666666667,0.38235294117647056,0.42342342342342343,0.5666666666666667,0.38235294117647056,0.5254777070063694,0.6046511627906976,0.5775862068965517,,0.06306306306306306,0.06976744186046512,0.13636363636363635,0.021739130434782608,12.323943661971832,0.5,0.1548974943052392,0.10084033613445378,0.08264462809917356,0.0759493670886076,0.1392857142857143,0.0972972972972973,0.1780821917808219,0.04950495049504951,0.07423580786026202,0.07692307692307693,0.16666666666666666,0.12371134020618557,0.16203703703703703,0.07526881720430108,0.10714285714285714,0.05357142857142857,0.6666666666666666,0.38738738738738737,0.627906976744186,0.675,0.5185185185185185,0.1981981981981982,0.2727272727272727,0.3157894736842105,0.6666666666666666,0.4144144144144144,0.30434782608695654,0.3111111111111111,0.9285714285714286,,,,,,,,,0.7666666666666667,0.6521739130434783,0.2,,,,,,,0.38235294117647056,0.5384615384615384,,,,,0.38738738738738737,,0.4429675675675676,0.5246142857142856,0.43999411764705887,0.22857142857142856,0.22857142857142856,0.3151515151515151,0.40606060606060607,8.92072072072072,,0.34782608695652173,18.0,,,,8.0,14.0,,4.0,5.0,,2.0,0.09433962264150944,0.0784313725490196,2.0,0.07142857142857142,,,,,,,,True,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,31654.0,528,-25,993,1005,446,443,134,1998,45,69,10.0,16.0,18.0,29.0,10.0,18.0,31,77,4.0,11.0,,,3.0,9.0,2.0,7.0,,1.0,1.0,3.0,86,164,6.0,18.0,68.0,258,1046,14.0,25,,1.0,48.0,31.0,62,4.0,12.0,38.0,112,142,30,18.0,,16.0,6.0,2.0,9,15,2.0,17,2.0,,9.0,,6,36,10.0,32,11.0,36,55,44,99,7.0,17,5.0,12.0,14,4.0,8.0,14.0,6.0,1.0,3.0,28,1.0,9,28,62,,5.0,71,4.0,92.0,7.0,1.0,34.0,15.0,2.0,,1.0,2.0,1.0,2.0,112,446,12.0,12.0,0.8255813953488372,0.9102564102564102,1.0,0.3333333333333333,,0.3333333333333333,0.35294117647058826,0.524390243902439,0.56,0.5,0.521978021978022,0.5384615384615384,0.5,0.5736607142857143,0.6351351351351351,0.5773195876288659,0.0989010989010989,0.054878048780487805,0.08695652173913043,0.05555555555555555,0.025974025974025976,21.894005212858385,0.5,0.11042944785276074,0.0903954802259887,0.1,0.15384615384615385,0.10779816513761468,0.10023866348448687,0.1076923076923077,0.038461538461538464,0.09302325581395349,0.14814814814814814,0.06060606060606061,0.1917808219178082,0.1038961038961039,0.08536585365853659,0.14285714285714285,0.0875,0.5,0.3791208791208791,0.6521739130434783,0.7142857142857143,0.7333333333333333,0.0989010989010989,0.5555555555555556,0.5882352941176471,0.8,0.4230769230769231,0.4025974025974026,0.41333333333333333,0.967741935483871,0.06043956043956044,0.36363636363636365,0.36363636363636365,1.0,0.038461538461538464,0.2857142857142857,0.2857142857142857,1.0,0.6153846153846154,0.625,0.3,,,,0.038461538461538464,,,0.3918918918918919,0.6206896551724138,0.12162162162162163,0.3333333333333333,0.04054054054054054,0.3333333333333333,0.47802197802197804,0.3333333333333333,0.4804691666666667,0.542302380952381,0.4870383561643837,0.16267942583732056,0.17801047120418848,0.18604651162790697,0.43410852713178294,9.411585365853655,25.655555555555555,0.44914400805639476,20.0,,,,5.0,7.0,1.0,2.0,8.0,,1.0,0.16666666666666666,0.041666666666666664,,0.18181818181818182,,,,,,,,True,,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,57495.0,958,-34,1774,1771,671,644,233,3545,53,82,17.0,22.0,21.0,31.0,30.0,86.0,48,106,,1.0,,,,1.0,24.0,65.0,2.0,5.0,10.0,31.0,131,274,24.0,66.0,139.0,473,1879,27.0,46,2.0,5.0,79.0,44.0,96,10.0,32.0,72.0,190,144,118,72.0,,32.0,64.0,24.0,22,47,4.0,51,4.0,,21.0,2.0,24,106,10.0,43,35.0,115,175,61,236,9.0,15,11.0,4.0,25,4.0,10.0,36.0,15.0,2.0,7.0,61,5.0,21,61,106,,14.0,138,15.0,178.0,11.0,15.0,66.0,21.0,22.0,14.0,2.0,23.0,14.0,,190,671,11.0,19.0,0.549618320610687,0.6260869565217392,1.0,0.36363636363636365,0.4,0.3125,0.36923076923076925,0.4781021897810219,0.5869565217391305,0.4583333333333333,0.49117647058823527,0.5882352941176471,0.4609375,0.5540865384615384,0.6190476190476191,0.55,0.19411764705882353,0.08029197080291971,0.15853658536585366,0.09302325581395349,0.009433962264150943,23.313782991202345,0.4098360655737705,0.18608414239482202,0.06525037936267071,0.18324607329842932,0.08130081300813008,0.18541409147095178,0.06777493606138107,0.09130434782608696,0.06976744186046512,0.043333333333333335,0.08653846153846154,0.16304347826086957,0.21153846153846154,0.18705035971223022,0.16901408450704225,0.22448979591836735,0.056962025316455694,0.6086956521739131,0.2411764705882353,0.6463414634146342,0.7681159420289855,0.6037735849056604,0.2529411764705882,0.3488372093023256,0.38461538461538464,0.23333333333333334,0.31176470588235294,0.4528301886792453,0.45714285714285713,0.6875,0.0029411764705882353,,,,0.19117647058823528,0.36923076923076925,0.36923076923076925,1.0,0.43137254901960786,0.7727272727272727,0.11764705882352941,,,,0.09803921568627451,0.4,1.0,0.2421875,0.6774193548387096,0.0078125,,0.2421875,0.3225806451612903,0.43529411764705883,0.375,0.4530359882005901,0.4948765957446809,0.45795629921259834,0.1670886075949367,0.2006079027355623,0.16701902748414377,0.40169133192389006,10.215693430656938,25.454545454545453,0.3782412626832018,19.0,,,,10.0,10.0,1.0,8.0,25.0,1.0,6.0,0.31645569620253167,0.10256410256410256,1.0,0.05263157894736842,1.0,1.0,1.0,3.0,,,,True,,,
2743,1610612762,Kris Humphries,Kris Humphries,2743,UTA,16934.0,282,-87,520,530,193,202,84,1050,13,34,1.0,13.0,6.0,14.0,12.0,33.0,5,23,,1.0,,,,,,1.0,,,,1.0,30,90,,2.0,13.0,73,571,5.0,22,,,12.0,11.0,32,,1.0,8.0,30,42,18,,,4.0,,,7,15,1.0,16,1.0,,8.0,3.0,4,33,3.0,19,7.0,31,49,26,75,4.0,12,9.0,3.0,8,1.0,4.0,6.0,4.0,1.0,1.0,14,1.0,6,19,37,,2.0,20,,22.0,2.0,,8.0,4.0,8.0,6.0,,8.0,4.0,3.0,30,193,7.0,3.0,0.7,0.75,,,,,,0.3333333333333333,0.22727272727272727,0.34375,0.32608695652173914,0.22727272727272727,0.3333333333333333,0.35784313725490197,0.25,0.38461538461538464,0.021739130434782608,0.07777777777777778,0.11764705882352941,0.09090909090909091,,18.589743589743588,0.5714285714285714,0.17032967032967034,0.08333333333333333,0.11864406779661017,0.0967741935483871,0.15767634854771784,0.08494208494208494,0.13513513513513514,0.07017543859649122,0.05154639175257732,0.08,0.05084745762711865,0.19148936170212766,0.25,0.10869565217391304,0.15384615384615385,0.07547169811320754,0.5,0.3695652173913043,0.38235294117647056,0.43333333333333335,0.9230769230769231,0.358695652173913,0.36363636363636365,0.4,0.3333333333333333,0.25,0.21739130434782608,0.21739130434782608,1.0,0.010869565217391304,,,,0.010869565217391304,,,,0.5909090909090909,0.07692307692307693,,,,,,,,0.42424242424242425,0.42857142857142855,,,0.030303030303030304,,0.391304347826087,,0.4512494505494504,0.49225,0.44654374999999996,0.08163265306122448,0.08333333333333333,0.1643835616438356,0.410958904109589,8.000000000000002,33.7,0.37115384615384617,2.0,,,,,2.0,1.0,4.0,11.0,1.0,2.0,0.44,0.14814814814814814,,0.16666666666666666,,,2.0,,,,,True,,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,16800.0,280,-74,509,504,153,146,66,1013,18,34,10.0,22.0,8.0,12.0,2.0,6.0,1,5,,,,,,,,,,,,,21,45,,,11.0,53,548,10.0,22,,,24.0,8.0,12,,,4.0,20,22,20,,,20.0,,,4,15,3.0,18,3.0,,4.0,,11,39,1.0,29,8.0,37,45,32,77,3.0,1,1.0,,11,1.0,9.0,4.0,2.0,,,15,3.0,4,30,41,,1.0,16,1.0,22.0,,,11.0,,18.0,10.0,,18.0,12.0,3.0,20,153,2.0,,0.5238095238095238,1.0,,,,,,0.4666666666666667,0.45454545454545453,0.6666666666666666,0.4666666666666667,0.45454545454545453,0.6666666666666666,0.4732142857142857,0.48,0.625,,0.08888888888888889,0.058823529411764705,0.3333333333333333,,11.993243243243244,0.7333333333333333,0.19170984455958548,0.15104166666666666,0.16,0.03225806451612903,0.18518518518518517,0.13452914798206278,0.22950819672131148,0.14705882352941177,0.10309278350515463,0.041666666666666664,0.20833333333333334,0.1509433962264151,0.20652173913043478,0.2222222222222222,,0.15789473684210525,0.6666666666666666,0.7555555555555555,0.5294117647058824,0.5625,0.4444444444444444,0.13333333333333333,0.3333333333333333,0.5,1.0,0.1111111111111111,0.2,0.2,1.0,,,,,,,,,1.0,0.45454545454545453,,,,,,,,1.0,0.6666666666666666,,,,,0.7555555555555555,,0.508371111111111,0.5575045454545455,0.54415,0.19642857142857142,0.19642857142857142,0.4528301886792453,0.37735849056603776,3.446666666666667,,0.3005893909626719,4.0,,,,3.0,1.0,,2.0,,,8.0,,0.10526315789473684,1.0,,,,1.0,,,,,True,,,
2484,1610612762,Devin Brown,Devin Brown,2484,UTA,32285.0,538,-18,992,993,403,365,148,1985,34,61,7.0,15.0,13.0,25.0,9.0,27.0,13,47,8.0,19.0,,1.0,4.0,8.0,9.0,30.0,2.0,4.0,4.0,15.0,56,135,17.0,49.0,60.0,223,1005,8.0,23,2.0,5.0,29.0,21.0,48,8.0,23.0,28.0,94,66,46,51.0,,6.0,29.0,9.0,12,32,1.0,33,1.0,,18.0,5.0,9,67,2.0,22,14.0,17,38,27,65,5.0,16,13.0,3.0,20,,10.0,13.0,10.0,2.0,4.0,33,4.0,12,21,48,,5.0,70,13.0,81.0,5.0,4.0,36.0,5.0,3.0,1.0,1.0,3.0,3.0,,94,403,8.0,6.0,0.5892857142857143,0.6226415094339622,1.0,0.3469387755102041,0.4,0.34782608695652173,0.3541666666666667,0.4148148148148148,0.34782608695652173,0.4375,0.4429347826086957,0.39285714285714285,0.4647887323943662,0.5022727272727273,0.4393939393939394,0.5280898876404494,0.266304347826087,0.08888888888888889,0.13114754098360656,0.14814814814814814,,21.53191489361702,0.6060606060606061,0.04956268221574344,0.0535279805352798,0.11570247933884298,0.029411764705882353,0.0668103448275862,0.05010438413361169,0.036231884057971016,0.08247422680412371,0.05113636363636364,0.018867924528301886,0.061946902654867256,0.03896103896103896,0.0457516339869281,0.1276595744680851,0.07407407407407407,0.05319148936170213,1.0,0.33152173913043476,0.5573770491803278,0.6415094339622641,0.6176470588235294,0.14673913043478262,0.3333333333333333,0.391304347826087,0.2222222222222222,0.2554347826086957,0.2765957446808511,0.2765957446808511,0.7692307692307693,0.10326086956521739,0.42105263157894735,0.42105263157894735,1.0,0.16304347826086957,0.3,0.3103448275862069,1.0,0.5357142857142857,0.4666666666666667,0.2857142857142857,0.03571428571428571,,,0.14285714285714285,0.5,1.0,0.352112676056338,0.52,0.11267605633802817,0.5,0.2112676056338028,0.26666666666666666,0.5978260869565217,0.3103448275862069,0.49362923497267763,0.5065270833333333,0.49638857142857135,0.16744186046511628,0.21686746987951808,0.13004484304932734,0.42152466367713004,8.546666666666669,24.871428571428574,0.40625,7.0,1.0,0.02040816326530612,0.03333333333333333,2.0,,1.0,3.0,7.0,,1.0,0.1346153846153846,0.06,,0.06666666666666667,,,,,,,,True,,,
