EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Corner3Assists,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,FTOffRebounds,StepOutOfBoundsTurnovers,Clear Path Fouls,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,DefensiveGoaltends,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked
101122,1610612754,Danny Granger,Danny Granger,101122,IND,5936.0,99,3.0,192,189,82.0,76.0,29.0,381,6.0,11.0,2.0,1.0,3.0,3.0,2.0,9.0,1.0,8.0,23.0,1.0,4.0,20.0,171,4.0,3.0,3.0,1.0,7.0,2.0,4.0,12.0,4.0,1.0,4.0,4.0,2.0,6.0,2.0,2.0,1.0,1.0,14.0,1.0,7.0,4.0,7.0,2.0,13.0,8.0,21.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,7.0,15.0,1.0,5.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,82.0,5.0,0.75,0.75,0.3478260869565217,0.1428571428571428,0.3333333333333333,0.1428571428571428,0.3703703703703703,0.25,0.25,0.0416666666666666,0.1739130434782608,0.3636363636363636,13.513513513513512,0.2857142857142857,0.1147540983606557,0.0933333333333333,0.2666666666666666,0.0333333333333333,0.1447368421052631,0.0761904761904762,0.16,0.0833333333333333,0.0384615384615384,0.0434782608695652,0.1176470588235294,0.1764705882352941,0.074074074074074,0.3333333333333333,0.0833333333333333,0.6666666666666666,0.4583333333333333,0.5454545454545454,0.8571428571428571,0.6666666666666666,0.125,0.375,0.2222222222222222,0.2222222222222222,1.0,0.0416666666666666,0.5,0.4285714285714285,0.3333333333333333,0.5,0.4783333333333333,0.47505,0.452,0.1111111111111111,0.1153846153846153,0.15,0.2,8.117391304347825,24.8,0.4270833333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
101180,1610612754,Sarunas Jasikevicius,Sarunas Jasikevicius,101180,IND,13134.0,219,123.0,427,416,175.0,150.0,54.0,843,3.0,10.0,1.0,1.0,2.0,15.0,4.0,7.0,30.0,16.0,32.0,31.0,31.0,117.0,372,5.0,,7.0,3.0,6.0,21.0,45.0,8.0,24.0,29.0,2.0,21.0,9.0,30.0,6.0,14.0,1.0,6.0,69.0,1.0,4.0,5.0,18.0,1.0,24.0,5.0,29.0,2.0,12.0,8.0,8.0,2.0,16.0,,6.0,4.0,15.0,,18.0,,31.0,7.0,,,,,,,,45.0,175.0,1.0,0.25,0.25,0.5,0.5,0.6825396825396826,0.75,0.7631578947368421,0.5833333333333334,0.8653846153846154,0.492063492063492,0.0625,0.2,19.047619047619047,0.0769230769230769,0.1,0.0303030303030303,0.1282051282051282,0.0185185185185185,0.1050228310502283,0.0268817204301075,0.0434782608695652,0.0555555555555555,,0.0227272727272727,0.1111111111111111,0.12,0.0789473684210526,0.1071428571428571,0.08,,0.1587301587301587,0.3,0.375,0.6666666666666666,0.238095238095238,0.1111111111111111,0.5714285714285714,0.5714285714285714,,0.4761904761904761,0.1666666666666666,0.125,0.5,0.6507936507936508,0.4950290322580645,0.437,0.49716,0.1304347826086956,0.1891891891891892,0.0598290598290598,0.3846153846153846,7.746875000000001,26.65483870967742,0.4098360655737705,9.0,1.0,1.0,17.0,1.0,1.0,6.0,10.0,18.0,2.0,1.0,1.0,6.0,10.0,33.0,21.0,1.0,17.0,3.0,4.0,8.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,7.0,0.6111111111111112,0.5806451612903226,1.0,0.6,0.6,0.4,0.5833333333333334,0.5,0.1818181818181818,0.6,0.6,0.2222222222222222,0.0158730158730158,1.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5882352941176471,0.1666666666666666,1.0,0.625,0.6,0.5862068965517241,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,19751.0,329,79.0,623,604,176.0,148.0,78.0,1227,10.0,20.0,4.0,3.0,6.0,6.0,6.0,10.0,26.0,19.0,36.0,31.0,23.0,97.0,601,8.0,4.0,13.0,4.0,11.0,13.0,30.0,28.0,10.0,26.0,6.0,7.0,8.0,15.0,7.0,4.0,2.0,1.0,38.0,6.0,9.0,11.0,44.0,8.0,63.0,16.0,79.0,,6.0,3.0,7.0,1.0,12.0,2.0,3.0,19.0,32.0,3.0,24.0,5.0,26.0,6.0,2.0,2.0,,,2.0,1.0,,30.0,176.0,3.0,0.7368421052631579,0.7777777777777778,0.5277777777777778,0.3636363636363636,0.5522388059701493,0.4473684210526316,0.6038961038961039,0.5416666666666666,0.6,0.4626865671641791,0.1666666666666666,0.25,12.588401697312587,0.3076923076923077,0.1938325991189427,0.0461538461538461,0.1746031746031746,0.0845070422535211,0.1896551724137931,0.056390977443609,0.0307692307692307,0.0172413793103448,0.0833333333333333,0.0535714285714285,0.1969696969696969,0.1940298507462686,0.1914893617021276,0.14,,0.5,0.2985074626865671,0.5,0.6666666666666666,0.7,0.0895522388059701,0.1492537313432835,0.6,0.6,0.8333333333333334,0.3880597014925373,0.4,0.3157894736842105,0.5,0.7611940298507462,0.5192432835820895,0.5309416666666668,0.4979394736842105,0.0833333333333333,0.1463414634146341,0.134020618556701,0.3092783505154639,7.169444444444445,24.687096774193545,0.2825040128410915,3.0,1.0,5.0,11.0,1.0,1.0,2.0,6.0,12.0,3.0,1.0,2.0,3.0,8.0,36.0,,,11.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,,5.0,,5.0,5.0,1.0,0.3870967741935484,0.5,0.375,0.3870967741935484,0.375,0.45,0.4166666666666667,0.3076923076923077,0.5,0.6,0.6666666666666666,0.0746268656716417,0.2,0.2,1.0,0.4230769230769231,0.4230769230769231,1.0,0.1,1.0,0.3157894736842105,0.3333333333333333,0.4230769230769231,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.1666666666666666,0.04,0.2,0.25,0.1,1.0,0.1052631578947368,0.5,,,,,,,,,True,,,,,,,
1897,1610612754,Metta World Peace,Metta World Peace,1897,IND,36200.0,603,129.0,1151,1136,377.0,307.0,144.0,2287,58.0,96.0,21.0,16.0,33.0,26.0,25.0,61.0,37.0,91.0,183.0,54.0,74.0,310.0,1129,28.0,7.0,37.0,25.0,63.0,28.0,102.0,72.0,110.0,37.0,20.0,21.0,14.0,35.0,12.0,12.0,8.0,1.0,84.0,3.0,23.0,6.0,35.0,11.0,52.0,26.0,78.0,6.0,42.0,17.0,27.0,5.0,43.0,4.0,16.0,11.0,45.0,6.0,102.0,4.0,121.0,51.0,7.0,3.0,4.0,,11.0,7.0,,102.0,377.0,6.0,0.3956043956043956,0.4285714285714285,0.4972677595628415,0.3968253968253968,0.4978902953586498,0.4204545454545454,0.5290102389078498,0.5285714285714286,0.4434782608695652,0.2278481012658227,0.1092896174863388,0.1041666666666666,25.55301296720061,0.2619047619047619,0.081967213114754,0.0628415300546448,0.06,0.0236220472440944,0.0777988614800759,0.0527383367139959,0.0655737704918032,0.1016949152542373,0.0238095238095238,0.0208333333333333,0.0854700854700854,0.0692307692307692,0.0888888888888888,0.0625,0.0566037735849056,0.6363636363636364,0.4050632911392405,0.6041666666666666,0.6744186046511628,0.4827586206896552,0.1097046413502109,0.2573839662447257,0.4098360655737705,0.4166666666666667,0.2,0.1561181434599156,0.7241379310344828,0.375,0.4848484848484848,0.6329113924050633,0.5017035864978903,0.5188978260869564,0.4955090909090909,0.1834532374100719,0.2276785714285714,0.1193548387096774,0.3290322580645161,8.022950819672134,24.82037037037037,0.3275412684622067,8.0,4.0,17.0,14.0,,1.0,7.0,18.0,18.0,15.0,,1.0,8.0,25.0,39.0,15.0,,14.0,2.0,25.0,16.0,1.0,10.0,1.0,6.0,12.0,4.0,10.0,,,,15.0,14.0,0.7222222222222222,0.3333333333333333,,0.32,0.3333333333333333,0.5357142857142857,0.5172413793103449,0.3720930232558139,0.05,0.3076923076923077,0.4705882352941176,0.375,0.0717299578059071,0.2352941176470588,0.2352941176470588,1.0,0.3783783783783784,0.3783783783783784,0.6428571428571429,0.0344827586206896,,0.2045454545454545,0.3888888888888889,0.3783783783783784,,13.0,,1.0,7.0,14.0,,3.0,,0.3461538461538461,,0.032258064516129,0.6190476190476191,,,0.0795454545454545,0.1428571428571428,4.0,2.0,2.0,2.0,0.0163934426229508,0.3076923076923077,,,True,,,,,,,
2410,1610612754,Fred Jones,Fred Jones,2410,IND,12665.0,211,88.0,408,405,179.0,159.0,52.0,813,6.0,9.0,,4.0,7.0,6.0,3.0,12.0,14.0,11.0,27.0,20.0,19.0,62.0,373,,6.0,6.0,8.0,17.0,13.0,32.0,8.0,14.0,14.0,1.0,12.0,8.0,20.0,7.0,6.0,4.0,2.0,48.0,1.0,1.0,1.0,13.0,2.0,16.0,2.0,18.0,,6.0,5.0,8.0,,15.0,,7.0,6.0,18.0,1.0,13.0,,23.0,7.0,,,,,1.0,1.0,,32.0,179.0,2.0,0.3636363636363636,0.3636363636363636,0.4074074074074074,0.4705882352941176,0.4574468085106383,0.4523809523809524,0.5344827586206896,1.0,0.5714285714285714,0.425531914893617,0.037037037037037,,15.8008658008658,0.1052631578947368,0.08125,0.0081967213114754,0.027027027027027,0.0204081632653061,0.0710659898477157,0.0116959064327485,,0.0232558139534883,,0.0277777777777777,0.0222222222222222,0.1063829787234042,0.1029411764705882,0.037037037037037,,1.0,0.1914893617021276,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.1276595744680851,0.2553191489361702,0.25,0.25,0.3333333333333333,0.2978723404255319,,0.3333333333333333,0.5714285714285714,0.6170212765957447,0.495313829787234,,0.4918404761904761,0.1320754716981132,0.2121212121212121,0.0967741935483871,0.5161290322580645,10.074074074074074,24.99,0.4387254901960784,2.0,3.0,6.0,4.0,,,1.0,3.0,7.0,,,,1.0,4.0,18.0,3.0,,4.0,1.0,1.0,7.0,1.0,7.0,,,5.0,,1.0,,,,5.0,4.0,0.8571428571428571,0.35,,0.25,0.35,,,0.4666666666666667,,0.3333333333333333,0.4,0.5,0.1276595744680851,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.75,,,0.1428571428571428,0.3333333333333333,0.2857142857142857,,,,,1.0,,,,,0.1666666666666666,,,,,,0.0476190476190476,,1.0,,1.0,,,,,,True,,,,,,,
1513,1610612754,Scot Pollard,Scot Pollard,1513,IND,5904.0,98,9.0,183,183,31.0,17.0,23.0,366,9.0,14.0,6.0,2.0,3.0,1.0,2.0,4.0,,11.0,19.0,,4.0,26.0,207,6.0,2.0,10.0,3.0,4.0,,6.0,16.0,6.0,,4.0,,,,,,,,,1.0,7.0,,15.0,1.0,16.0,8.0,24.0,,7.0,2.0,1.0,,2.0,1.0,,12.0,16.0,,8.0,1.0,5.0,3.0,2.0,2.0,,,2.0,1.0,,6.0,31.0,3.0,0.7272727272727273,1.0,0.5789473684210527,0.75,0.5789473684210527,0.75,0.6190476190476191,0.7142857142857143,0.75,,0.2105263157894736,0.2857142857142857,10.576923076923077,0.2,0.217391304347826,0.1206896551724138,,0.0625,0.1923076923076923,0.1081081081081081,0.1111111111111111,0.25,,0.0909090909090909,0.3125,0.2,0.1739130434782608,,,0.5,0.7368421052631579,0.6428571428571429,0.9,0.6666666666666666,0.0526315789473684,0.2105263157894736,0.5,0.5,1.0,,1.0,0.75,0.6666666666666666,0.7368421052631579,0.5031157894736843,0.5507833333333333,0.494325,0.15,0.15,0.3846153846153846,0.2307692307692307,4.531578947368421,,0.1693989071038251,,,,,,,,,,4.0,,,,,,,,,,5.0,1.0,1.0,1.0,,,,1.0,2.0,,,,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,4.0,,,,6.0,,,,,,,0.6666666666666666,,,,,,,,,,0.25,,,True,,,,,,,
1533,1610612754,Anthony Johnson,Anthony Johnson,1533,IND,7207.0,120,,229,233,79.0,85.0,29.0,462,3.0,5.0,,1.0,1.0,3.0,2.0,5.0,4.0,5.0,13.0,7.0,2.0,21.0,249,2.0,,3.0,1.0,2.0,2.0,4.0,2.0,8.0,4.0,2.0,12.0,4.0,16.0,4.0,6.0,2.0,4.0,36.0,2.0,,1.0,3.0,,4.0,2.0,6.0,,5.0,3.0,2.0,,13.0,,2.0,6.0,11.0,,4.0,1.0,4.0,1.0,1.0,1.0,,,1.0,,,4.0,79.0,2.0,0.2,0.2,0.3846153846153846,0.5,0.475,0.25,0.4772727272727273,0.5,0.3333333333333333,0.35,0.1538461538461538,0.2,13.461538461538462,,0.0375,,0.0714285714285714,0.0769230769230769,0.0425531914893617,0.0246913580246913,,,,0.0588235294117647,,0.05,0.0555555555555555,0.0833333333333333,,,0.25,0.6,0.75,,0.15,0.25,0.4,0.4,0.5,0.2,,0.25,1.0,0.6,0.4641649999999999,0.5439,0.4051125,0.0476190476190476,0.0714285714285714,0.1428571428571428,0.1904761904761904,9.592307692307692,23.914285714285715,0.3449781659388646,,,3.0,3.0,1.0,1.0,,1.0,3.0,,1.0,1.0,,2.0,9.0,,,3.0,,2.0,11.0,1.0,8.0,,3.0,,,,,,,1.0,1.0,1.0,0.4285714285714285,1.0,,0.4285714285714285,,0.5,0.8461538461538461,,,,,0.15,,,,0.75,0.75,1.0,0.3333333333333333,1.0,0.25,,0.75,,,,,1.0,,,1.0,,0.3333333333333333,,0.1111111111111111,,,1.0,0.25,,,,,,,,,,True,,,,,,,
1536,1610612754,Stephen Jackson,Stephen Jackson,1536,IND,25370.0,423,66.0,806,798,242.0,179.0,99.0,1604,23.0,43.0,5.0,5.0,10.0,18.0,12.0,29.0,43.0,42.0,90.0,50.0,15.0,156.0,812,7.0,2.0,15.0,7.0,17.0,9.0,50.0,40.0,44.0,43.0,7.0,28.0,3.0,31.0,3.0,19.0,4.0,5.0,65.0,3.0,7.0,7.0,25.0,,32.0,10.0,42.0,2.0,14.0,6.0,9.0,,19.0,2.0,5.0,10.0,30.0,1.0,20.0,,25.0,7.0,4.0,2.0,,2.0,5.0,4.0,,50.0,242.0,5.0,0.4761904761904761,0.4878048780487805,0.4666666666666667,0.4117647058823529,0.5035714285714286,0.5857142857142857,0.5098684210526315,0.5,0.6097560975609756,0.3571428571428571,0.0777777777777777,0.1162790697674418,18.607181719260065,,0.0833333333333333,0.026615969581749,0.1029411764705882,0.036144578313253,0.0869565217391304,0.0289017341040462,0.0434782608695652,0.0123456790123456,0.0222222222222222,0.0161290322580645,0.048780487804878,0.0760869565217391,0.1111111111111111,0.0925925925925925,0.028169014084507,0.8,0.3071428571428571,0.5348837209302325,0.6052631578947368,0.6956521739130435,0.1285714285714285,0.2071428571428571,0.4137931034482758,0.4137931034482758,0.3333333333333333,0.3071428571428571,0.3846153846153846,0.2857142857142857,0.5,0.6642857142857143,0.4930482142857143,0.4887681818181818,0.49189,0.0476190476190476,0.0721649484536082,0.0961538461538461,0.3205128205128205,8.064444444444442,25.022,0.3002481389578164,7.0,1.0,7.0,18.0,3.0,5.0,9.0,16.0,19.0,2.0,3.0,6.0,9.0,18.0,51.0,6.0,,18.0,,8.0,10.0,1.0,7.0,1.0,3.0,7.0,1.0,,,1.0,,5.0,5.0,0.8947368421052632,0.38,0.5,0.5,0.38,0.2857142857142857,0.5,0.5263157894736842,0.1428571428571428,0.3888888888888889,0.4375,,0.05,0.1428571428571428,0.1428571428571428,1.0,0.4186046511627907,0.4186046511627907,0.8888888888888888,0.3846153846153846,0.6,0.4571428571428571,0.5625,0.4186046511627907,,2.0,1.0,,2.0,2.0,,,,0.1111111111111111,,0.0952380952380952,0.4,0.0769230769230769,0.6666666666666666,0.0571428571428571,,1.0,1.0,,,,0.5,1.0,,True,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,27966.0,466,107.0,888,879,288.0,210.0,108.0,1767,46.0,69.0,18.0,14.0,21.0,85.0,19.0,55.0,1.0,105.0,209.0,2.0,79.0,292.0,881,31.0,14.0,48.0,30.0,58.0,30.0,93.0,128.0,82.0,1.0,14.0,23.0,5.0,28.0,5.0,17.0,4.0,2.0,61.0,17.0,19.0,22.0,72.0,9.0,103.0,40.0,143.0,2.0,12.0,9.0,19.0,4.0,29.0,4.0,11.0,19.0,41.0,3.0,81.0,7.0,105.0,51.0,25.0,21.0,,4.0,25.0,19.0,,93.0,288.0,5.0,0.6095238095238096,0.6530612244897959,0.5023923444976076,0.5172413793103449,0.504739336492891,0.525,0.568359375,0.631578947368421,0.6038961038961039,0.0094786729857819,0.0669856459330143,0.1159420289855072,28.21782178217822,0.2727272727272727,0.2195121951219512,0.069090909090909,0.2857142857142857,0.1789473684210526,0.2320987654320987,0.0972972972972973,0.0681818181818181,0.0549450549450549,0.0833333333333333,0.1891891891891892,0.2307692307692307,0.2941176470588235,0.1555555555555555,0.2698412698412698,0.0224719101123595,0.76,0.3270142180094786,0.6666666666666666,0.7540983606557377,0.6956521739130435,0.4028436018957346,0.2606635071090047,0.3454545454545454,0.3454545454545454,0.8947368421052632,0.0047393364928909,0.5806451612903226,0.35,0.6666666666666666,0.3364928909952606,0.4388751184834125,0.4776260869565217,0.4307125,0.2064777327935222,0.2081632653061224,0.1643835616438356,0.3184931506849315,8.569856459330143,24.9,0.3243243243243243,40.0,1.0,1.0,,,,,1.0,1.0,17.0,,,1.0,2.0,3.0,,,,,3.0,10.0,3.0,6.0,1.0,4.0,6.0,3.0,15.0,,1.0,,9.0,9.0,1.0,0.5,,0.5,0.5,0.5483870967741935,0.5483870967741935,0.3448275862068966,0.3571428571428571,0.4705882352941176,0.5063291139240507,0.375,0.0047393364928909,1.0,1.0,1.0,,,,,,0.0166666666666666,,,,11.0,,1.0,1.0,14.0,4.0,1.0,,0.0705882352941176,0.0930232558139534,0.1428571428571428,0.6111111111111112,,,0.0166666666666666,1.0,,,,3.0,,0.2727272727272727,,1.0,True,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,790.0,13,2.0,24,26,9.0,9.0,1.0,50,3.0,3.0,,2.0,2.0,1.0,,,,3.0,4.0,,,6.0,27,,,,2.0,2.0,,4.0,6.0,,,1.0,1.0,,1.0,,1.0,,,2.0,,,,4.0,,4.0,,4.0,,,,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,,,1.0,,,4.0,9.0,,1.0,1.0,0.75,1.0,0.75,1.0,0.75,,1.0,,0.25,,16.0,,0.3076923076923077,,,,0.3076923076923077,,,,,,,0.3333333333333333,0.3333333333333333,,,,0.75,1.0,1.0,1.0,0.25,,,,,,,1.0,1.0,0.75,0.5174000000000001,,0.5167,,,,0.6666666666666666,2.075,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,
