EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,Corner3Assists,FTDefRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,DefFTReboundPct,DefCorner3ReboundPct,FTOffRebounds,Travels,Loose Ball Fouls,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips,BlockedCorner3,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes
101119,1610612750,Rashad McCants,Rashad McCants,101119,MIN,12016.0,200,-52,359,361,61,55,40.0,720,14.0,28.0,2.0,2.0,4.0,6.0,4.0,11.0,4.0,14.0,2.0,6.0,1.0,1.0,2.0,6.0,19.0,1.0,3.0,1.0,4.0,22.0,53.0,8.0,25.0,15.0,83.0,388,2.0,3.0,1.0,4.0,1.0,8.0,5.0,9.0,2.0,6.0,2.0,18.0,28.0,16.0,24.0,4.0,1.0,18.0,6.0,4.0,5.0,1.0,6.0,1.0,3.0,1.0,1.0,13.0,1.0,5.0,4.0,18.0,22.0,6.0,28.0,1.0,11.0,8.0,3.0,10.0,7.0,7.0,2.0,3.0,17.0,2.0,5.0,8.0,30.0,5.0,22.0,23.0,1.0,12.0,2.0,1.0,1.0,2.0,1.0,18.0,61,4.0,0.6363636363636364,0.7,1.0,0.32,0.25,0.3333333333333333,0.3333333333333333,0.4150943396226415,0.6666666666666666,0.5555555555555556,0.4358974358974359,0.5,0.5333333333333333,0.4662921348314606,0.5,0.5625,0.3205128205128205,0.0754716981132075,0.1071428571428571,0.0714285714285714,26.108374384236456,0.5882352941176471,0.1168831168831168,0.0347222222222222,0.1081081081081081,0.0212765957446808,0.1151832460732984,0.031413612565445,0.0232558139534883,0.088235294117647,0.0149253731343283,0.025,0.1224489795918367,0.1081081081081081,0.1176470588235294,0.1333333333333333,0.0232558139534883,0.5,0.358974358974359,0.5,0.56,0.5714285714285714,0.141025641025641,0.3636363636363636,0.3636363636363636,0.75,0.1794871794871795,0.2857142857142857,0.3076923076923077,0.75,0.0769230769230769,0.3333333333333333,0.3333333333333333,1.0,0.2435897435897435,0.3157894736842105,0.3157894736842105,1.0,0.2857142857142857,1.0,0.1428571428571428,0.4285714285714285,0.3333333333333333,1.0,0.4,0.6666666666666666,0.1333333333333333,0.5,0.2666666666666666,0.25,0.6794871794871795,0.3333333333333333,0.4995344155844155,0.517675,0.4726071428571428,0.1348314606741573,0.1875,0.0963855421686747,0.216867469879518,6.701886792452829,25.768,0.1699164345403899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1607,1610612750,Troy Hudson,Troy Hudson,1607,MIN,30439.0,507,25,936,924,357,340,109.0,1860,17.0,36.0,,,4.0,10.0,4.0,18.0,32.0,89.0,3.0,4.0,,,,27.0,65.0,2.0,4.0,11.0,28.0,53.0,143.0,30.0,69.0,29.0,225.0,1002,1.0,4.0,2.0,4.0,4.0,12.0,20.0,46.0,11.0,28.0,16.0,89.0,20.0,86.0,39.0,,,65.0,27.0,11.0,59.0,12.0,71.0,7.0,25.0,12.0,22.0,154.0,,5.0,6.0,12.0,19.0,5.0,24.0,,9.0,6.0,3.0,6.0,3.0,11.0,1.0,3.0,17.0,1.0,7.0,7.0,35.0,4.0,46.0,30.0,3.0,6.0,3.0,1.0,1.0,3.0,1.0,89.0,357,7.0,0.1886792452830188,0.1886792452830188,0.4333333333333333,0.4347826086956521,0.5,0.3928571428571428,0.4347826086956521,0.3706293706293706,0.25,0.4347826086956521,0.4622641509433962,0.5,0.4932432432432432,0.4954954954954955,0.6,0.5426829268292683,0.3254716981132075,0.0769230769230769,0.2222222222222222,0.0112359550561797,22.462406015037597,0.3529411764705882,0.035820895522388,0.015015015015015,0.0625,,0.0417633410672853,0.0116279069767441,0.0108695652173913,0.0240963855421686,0.0126582278481012,,0.0535714285714285,0.0227272727272727,0.0296296296296296,0.0684931506849315,,0.3333333333333333,0.1698113207547169,0.4722222222222222,0.6071428571428571,0.1764705882352941,0.0849056603773584,0.2222222222222222,0.25,,0.419811320754717,0.3595505617977528,0.3636363636363636,0.21875,0.0188679245283018,0.75,0.75,1.0,0.3066037735849056,0.4153846153846154,0.4153846153846154,0.3703703703703703,,,,0.5,0.5,,0.1351351351351351,0.4,,,0.3783783783783784,0.3928571428571428,0.4952830188679245,0.4153846153846154,0.4538568396226414,0.3953428571428571,0.4270608108108109,0.027906976744186,0.0410958904109589,0.0533333333333333,0.3955555555555555,13.07902097902098,25.34057971014492,0.3814102564102564,51.0,5.0,1.0,2.0,1.0,1.0,16.0,6.0,7.0,1.0,1.0,7.0,0.1111111111111111,0.0344827586206896,0.0434782608695652,,,,,,,,,,,,,,,,,,,,True,,,,,
1709,1610612750,Michael Olowokandi,Michael Olowokandi,1709,MIN,38204.0,637,6,1122,1123,240,208,117.0,2245,23.0,42.0,3.0,10.0,3.0,7.0,45.0,106.0,2.0,9.0,,,,,,,,,,,,70.0,157.0,,,16.0,156.0,1163,8.0,26.0,,,5.0,21.0,14.0,35.0,,,5.0,33.0,96.0,44.0,,6.0,,,,10.0,7.0,4.0,11.0,2.0,2.0,,5.0,26.0,8.0,28.0,15.0,83.0,108.0,37.0,145.0,1.0,19.0,14.0,5.0,5.0,2.0,26.0,,3.0,31.0,1.0,9.0,33.0,86.0,11.0,36.0,31.0,3.0,15.0,23.0,18.0,4.0,23.0,14.0,33.0,240,9.0,0.6857142857142857,0.7164179104477612,,,,,,0.445859872611465,0.3076923076923077,0.4,0.445859872611465,0.3076923076923077,0.4,0.4561403508771929,0.3387096774193548,0.4125,,0.0636942675159235,0.0714285714285714,0.1111111111111111,16.03174603174603,0.1612903225806451,0.1848552338530066,0.0646651270207852,0.1630434782608695,0.0952380952380952,0.1811460258780036,0.06963249516441,0.0490196078431372,0.0575539568345323,0.078125,0.1111111111111111,0.1515151515151515,0.2148760330578512,0.1887755102040816,0.1184210526315789,0.0131578947368421,0.6086956521739131,0.267515923566879,0.5476190476190477,0.5897435897435898,0.782608695652174,0.6751592356687898,0.4245283018867924,0.45,0.6444444444444445,0.0573248407643312,0.2222222222222222,0.25,0.5,,,,,,,,,0.3846153846153846,0.3,,,,,0.2,0.4285714285714285,,,,,0.267515923566879,,0.4250165605095542,0.4604894736842105,0.41074,0.0887573964497041,0.0887573964497041,0.1346153846153846,0.2115384615384615,6.717834394904459,,0.213903743315508,,2.0,10.0,,1.0,5.0,3.0,,2.0,1.0,8.0,1.0,0.0566037735849056,0.3703703703703703,0.375,1.0,6.0,9.0,3.0,6.0,0.0303030303030303,0.0476190476190476,0.3333333333333333,,,,,,,,,,,,True,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,93280.0,1555,72,2817,2805,777,731,309.0,5622,101.0,138.0,16.0,24.0,32.0,39.0,33.0,90.0,100.0,219.0,25.0,50.0,11.0,5.0,12.0,33.0,93.0,2.0,7.0,12.0,26.0,234.0,447.0,58.0,143.0,163.0,805.0,2944,27.0,48.0,7.0,18.0,20.0,95.0,58.0,109.0,17.0,38.0,81.0,248.0,304.0,164.0,138.0,14.0,,93.0,33.0,33.0,89.0,23.0,112.0,12.0,36.0,17.0,36.0,247.0,6.0,30.0,34.0,104.0,154.0,36.0,190.0,5.0,21.0,17.0,4.0,44.0,27.0,42.0,2.0,17.0,86.0,6.0,20.0,34.0,90.0,16.0,144.0,182.0,17.0,67.0,14.0,6.0,6.0,15.0,12.0,248.0,777,11.0,0.6495726495726496,0.6696035242290749,0.7931034482758621,0.4055944055944055,0.3888888888888889,0.4473684210526316,0.4055944055944055,0.5234899328859061,0.5625,0.5321100917431193,0.5440677966101695,0.5681818181818182,0.5680272108843537,0.595952023988006,0.6118421052631579,0.6577540106951871,0.2423728813559322,0.0738255033557047,0.1304347826086956,0.0091324200913242,23.6941472624292,0.5116279069767442,0.0936093609360936,0.0288739172281039,0.1354581673306772,0.024793388429752,0.1013215859030837,0.0281030444964871,0.0366300366300366,0.0211267605633802,0.0290456431535269,0.0319148936170212,0.0981912144702842,0.064516129032258,0.1078651685393258,0.1421319796954314,0.0190114068441064,0.8,0.2338983050847457,0.7318840579710145,0.8416666666666667,0.594059405940594,0.1525423728813559,0.3666666666666666,0.4285714285714285,0.4848484848484848,0.3711864406779661,0.45662100456621,0.4608294930875576,0.76,0.0847457627118644,0.5,0.5,0.96,0.1576271186440678,0.3548387096774194,0.358695652173913,0.6666666666666666,0.3636363636363636,0.6666666666666666,0.1666666666666666,0.106060606060606,0.2857142857142857,0.5,0.2653061224489796,0.8205128205128205,0.0816326530612244,0.4166666666666667,0.1768707482993197,0.4615384615384615,0.4762711864406779,0.3548387096774194,0.4843294915254238,0.49393125,0.486358163265306,0.1060842433697348,0.1348088531187122,0.1180124223602484,0.3080745341614906,11.138255033557048,24.44125874125874,0.275825346112886,36.0,11.0,16.0,8.0,2.0,4.0,14.0,10.0,26.0,2.0,2.0,24.0,0.1444444444444444,0.1975308641975308,0.1111111111111111,,14.0,8.0,,,,,0.3125,5.0,1.0,1.0,1.0,1.0,1.0,0.0069930069930069,0.010752688172043,0.4545454545454545,0.8,0.0069444444444444,True,,,,,
2060,1610612750,Marko Jaric,Marko Jaric,2060,MIN,71053.0,1184,116,2152,2139,524,527,227.0,4291,63.0,123.0,3.0,11.0,14.0,27.0,9.0,17.0,45.0,121.0,7.0,16.0,2.0,3.0,6.0,18.0,61.0,3.0,5.0,7.0,23.0,117.0,261.0,25.0,77.0,57.0,366.0,2239,8.0,25.0,3.0,7.0,2.0,27.0,26.0,52.0,10.0,29.0,21.0,103.0,108.0,126.0,66.0,2.0,2.0,59.0,18.0,21.0,165.0,25.0,190.0,15.0,43.0,40.0,82.0,405.0,4.0,21.0,23.0,68.0,94.0,25.0,119.0,8.0,62.0,42.0,20.0,50.0,43.0,28.0,1.0,7.0,78.0,2.0,13.0,45.0,103.0,8.0,83.0,83.0,9.0,35.0,11.0,8.0,2.0,12.0,7.0,103.0,524,16.0,0.4615384615384615,0.4655172413793103,0.88,0.3246753246753247,0.4285714285714285,0.3448275862068966,0.3333333333333333,0.4482758620689655,0.32,0.5,0.4571005917159763,0.390625,0.5061728395061729,0.488,0.3970588235294117,0.5364583333333334,0.2278106508875739,0.0804597701149425,0.1544715447154471,,18.726746589499797,0.6410256410256411,0.0794392523364486,0.026615969581749,0.125,0.0238095238095238,0.0875,0.0261233019853709,0.0585365853658536,0.0133928571428571,0.0166666666666666,0.0305343511450381,0.0884353741496598,0.0651162790697674,0.0806916426512968,0.1041666666666666,0.0467836257309941,0.5833333333333334,0.363905325443787,0.5121951219512195,0.6057692307692307,0.4761904761904761,0.0502958579881656,0.5294117647058824,0.6,0.2222222222222222,0.3579881656804733,0.371900826446281,0.371900826446281,0.4888888888888889,0.0473372781065088,0.4375,0.4375,1.0,0.1804733727810651,0.2950819672131147,0.2950819672131147,0.8333333333333334,0.34375,0.2727272727272727,0.0625,0.15625,0.6,1.0,0.3333333333333333,0.5185185185185185,0.074074074074074,0.5,0.2839506172839506,0.3043478260869565,0.591715976331361,0.3050847457627119,0.5009147321428572,0.464492,0.4861012500000001,0.0961538461538461,0.1219512195121951,0.0737704918032786,0.2814207650273224,9.619923371647513,25.750649350649347,0.2434944237918215,9.0,10.0,3.0,9.0,,,,,11.0,1.0,2.0,10.0,0.1176470588235294,0.0483870967741935,0.2,,6.0,6.0,,,,,0.6666666666666666,,,,,1.0,1.0,,,,,,True,,,,,
2204,1610612750,Eddie Griffin,Eddie Griffin,2204,MIN,36655.0,611,4,1108,1106,292,250,127.0,2214,39.0,58.0,23.0,35.0,6.0,12.0,12.0,26.0,11.0,52.0,2.0,8.0,1.0,,4.0,4.0,28.0,,1.0,2.0,10.0,62.0,136.0,6.0,36.0,24.0,166.0,1165,25.0,42.0,,2.0,7.0,57.0,12.0,31.0,2.0,14.0,7.0,37.0,68.0,56.0,18.0,44.0,1.0,27.0,4.0,8.0,17.0,4.0,21.0,4.0,10.0,1.0,6.0,46.0,7.0,41.0,19.0,101.0,127.0,50.0,177.0,4.0,8.0,4.0,4.0,6.0,1.0,7.0,,5.0,13.0,1.0,3.0,34.0,56.0,3.0,34.0,47.0,5.0,22.0,69.0,56.0,11.0,69.0,43.0,37.0,292,6.0,0.5483870967741935,0.85,1.0,0.1666666666666666,,0.1428571428571428,0.1714285714285714,0.4558823529411764,0.5952380952380952,0.3870967741935484,0.4127906976744186,0.5681818181818182,0.3333333333333333,0.4300518134715025,0.5816326530612245,0.37,0.2093023255813953,0.0588235294117647,0.0862068965517241,0.0384615384615384,16.388225934765313,0.4615384615384615,0.2139830508474576,0.0995145631067961,0.2065217391304347,0.0660377358490566,0.2127659574468085,0.0926640926640926,0.1707317073170731,0.0543478260869565,0.0761421319796954,0.057471264367816,0.1702127659574468,0.2627118644067797,0.2289156626506024,0.1884057971014492,0.0434782608695652,0.6231884057971014,0.3372093023255814,0.6724137931034483,0.7358490566037735,0.4102564102564102,0.1511627906976744,0.4615384615384615,0.48,0.75,0.3023255813953488,0.2115384615384615,0.22,0.8181818181818182,0.0465116279069767,0.25,0.25,1.0,0.1627906976744186,0.1428571428571428,0.1538461538461538,1.0,0.7954545454545454,0.6571428571428571,0.0227272727272727,0.0227272727272727,,,0.2666666666666666,0.5,0.0888888888888888,,0.2222222222222222,0.2,0.5465116279069767,0.1481481481481481,0.4805105263157894,0.5310666666666667,0.4741624999999999,0.1164021164021164,0.1437908496732026,0.3433734939759036,0.2228915662650602,8.67941176470588,25.4,0.2635379061371841,,,7.0,1.0,1.0,2.0,2.0,,4.0,2.0,,4.0,0.0384615384615384,0.2258064516129032,0.2608695652173913,2.0,,3.0,2.0,1.0,0.0555555555555555,0.1052631578947368,0.0434782608695652,,2.0,,,,,0.0555555555555555,0.0714285714285714,,,,True,,,,,
2239,1610612750,Trenton Hassell,Trenton Hassell,2239,MIN,69762.0,1163,88,2098,2087,548,495,224.0,4185,48.0,86.0,8.0,16.0,14.0,22.0,37.0,70.0,39.0,96.0,2.0,3.0,,1.0,2.0,2.0,6.0,,,2.0,4.0,124.0,252.0,4.0,9.0,51.0,311.0,2176,13.0,26.0,,,10.0,36.0,30.0,59.0,3.0,6.0,17.0,86.0,136.0,112.0,12.0,8.0,2.0,4.0,2.0,16.0,71.0,13.0,84.0,6.0,29.0,17.0,25.0,181.0,7.0,23.0,7.0,37.0,46.0,31.0,77.0,3.0,19.0,10.0,9.0,23.0,16.0,26.0,2.0,7.0,49.0,9.0,16.0,29.0,95.0,9.0,70.0,70.0,12.0,38.0,13.0,8.0,3.0,15.0,13.0,86.0,548,16.0,0.5483870967741935,0.5666666666666667,1.0,0.4444444444444444,,0.5,0.5714285714285714,0.492063492063492,0.5,0.5084745762711864,0.4980842911877394,0.5,0.5307692307692308,0.5362068965517242,0.5806451612903226,0.589041095890411,0.0344827586206896,0.0634920634920634,0.127906976744186,,14.376590330788805,0.4693877551020408,0.0439952437574316,0.029449423815621,0.0380434782608695,0.0445859872611464,0.0429268292682926,0.0319829424307036,0.031413612565445,0.0363636363636363,0.0243243243243243,0.0327868852459016,0.0566666666666666,0.0363636363636363,0.0373831775700934,0.0347222222222222,0.0265486725663716,0.8666666666666667,0.3295019157088122,0.5581395348837209,0.64,0.4791666666666667,0.2681992337164751,0.5285714285714286,0.5692307692307692,0.2972972972972973,0.367816091954023,0.40625,0.40625,0.8717948717948718,0.0114942528735632,0.6666666666666666,0.6666666666666666,1.0,0.0229885057471264,0.3333333333333333,0.3333333333333333,1.0,0.6153846153846154,0.5,,,,,0.3384615384615385,0.6363636363636364,0.0307692307692307,0.5,0.0615384615384615,0.5,0.3639846743295019,0.5,0.4479631274131274,0.4798782608695651,0.449765625,0.1324041811846689,0.1366906474820144,0.1157556270096463,0.2765273311897106,9.228968253968254,30.84444444444444,0.2612011439466158,,7.0,2.0,4.0,2.0,2.0,10.0,,3.0,2.0,1.0,3.0,0.0714285714285714,0.0425531914893617,0.05,1.0,9.0,3.0,1.0,,0.0175438596491228,0.0857142857142857,0.125,,,,,2.0,2.0,,,,,,True,,,,,
2648,1610612750,Ronald Dupree,Ronald Dupree,2648,MIN,4711.0,79,-26,137,144,42,51,19.0,281,3.0,5.0,,1.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,5.0,9.0,,,6.0,16.0,168,,1.0,,,1.0,1.0,2.0,2.0,,,,4.0,8.0,2.0,,,,,,1.0,3.0,1.0,4.0,1.0,3.0,,,9.0,3.0,3.0,4.0,3.0,8.0,6.0,14.0,,3.0,1.0,2.0,2.0,,4.0,1.0,2.0,6.0,2.0,1.0,5.0,13.0,,7.0,14.0,,6.0,,,,,,4.0,42,,0.8,0.8,,,,,,0.5555555555555556,,1.0,0.5555555555555556,,1.0,0.5,0.25,1.0,,0.1111111111111111,0.2,,14.012738853503183,0.3333333333333333,0.0638297872340425,0.0612244897959183,0.25,0.2307692307692307,0.1111111111111111,0.0967741935483871,,,0.1111111111111111,0.2222222222222222,0.0769230769230769,0.0833333333333333,0.0454545454545454,0.25,,,0.5555555555555556,0.6,0.75,0.6666666666666666,,,,,0.4444444444444444,0.5,0.5,1.0,,,,,,,,,1.0,,,,,,0.5,1.0,,,,,0.5555555555555556,,0.5265888888888889,,0.4922499999999999,0.4,0.4,0.0625,0.25,8.666666666666666,,0.3065693430656934,,,1.0,,1.0,,,,1.0,,,,,0.2,0.25,,,2.0,,1.0,,0.25,,,,,,,,,,,,,True,,,,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,80855.0,1348,112,2439,2431,689,647,259.0,4870,103.0,160.0,20.0,34.0,26.0,49.0,92.0,187.0,100.0,206.0,,2.0,1.0,,1.0,6.0,15.0,,,3.0,7.0,295.0,553.0,6.0,17.0,175.0,783.0,2521,30.0,65.0,,1.0,14.0,74.0,77.0,150.0,3.0,8.0,69.0,232.0,358.0,232.0,15.0,42.0,1.0,14.0,6.0,22.0,135.0,23.0,158.0,16.0,74.0,17.0,44.0,339.0,14.0,60.0,41.0,239.0,308.0,77.0,385.0,10.0,43.0,28.0,15.0,36.0,21.0,38.0,2.0,15.0,74.0,2.0,18.0,39.0,96.0,12.0,199.0,220.0,29.0,96.0,45.0,38.0,7.0,45.0,22.0,232.0,689,19.0,0.6067796610169491,0.6532846715328468,0.8333333333333334,0.3529411764705882,,0.375,0.375,0.5334538878842676,0.4615384615384615,0.5133333333333333,0.5333333333333333,0.4545454545454545,0.5158227848101266,0.5867269984917044,0.5068493150684932,0.5927835051546392,0.0298245614035087,0.0397830018083182,0.09375,0.0145631067961165,26.87819110138585,0.4864864864864865,0.2456320657759506,0.0671140939597315,0.1961722488038277,0.0744680851063829,0.2368866328257191,0.0683918669131238,0.0913043478260869,0.0392156862745098,0.0709046454767726,0.0785714285714285,0.1705882352941176,0.3374485596707819,0.2538461538461538,0.2108433734939759,0.0425531914893617,0.4888888888888889,0.2807017543859649,0.64375,0.7103448275862069,0.6601941747572816,0.3280701754385965,0.4919786096256685,0.5027322404371585,0.4130434782608695,0.3614035087719298,0.4854368932038835,0.4926108374384236,0.73,0.0035087719298245,,,,0.0263157894736842,0.4,0.4,0.8333333333333334,0.5151515151515151,0.5882352941176471,0.0151515151515151,,,,0.310126582278481,0.5306122448979592,0.0063291139240506,,0.0443037974683544,0.4285714285714285,0.3105263157894737,0.4285714285714285,0.4326794894366197,0.4610604838709677,0.4233092948717948,0.1507064364207221,0.1548387096774193,0.0945083014048531,0.2962962962962963,9.8379746835443,26.71764705882353,0.2824928249282493,3.0,7.0,28.0,8.0,,10.0,6.0,6.0,26.0,,3.0,25.0,0.0213903743315508,0.4,0.1395348837209302,3.0,12.0,6.0,,,0.04,0.0625,0.1,,,,,,,,,,,,True,,,,,
2058,1610612750,Mark Madsen,Mark Madsen,2058,MIN,11098.0,185,6,341,338,106,117,50.0,679,5.0,9.0,2.0,5.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,,,6.0,11.0,,,4.0,16.0,356,2.0,5.0,,,3.0,7.0,2.0,6.0,,,3.0,7.0,12.0,,,,,,,2.0,2.0,1.0,3.0,1.0,1.0,,1.0,7.0,5.0,6.0,5.0,24.0,32.0,12.0,44.0,1.0,6.0,3.0,3.0,,,5.0,,,5.0,1.0,3.0,16.0,37.0,2.0,12.0,8.0,,,5.0,4.0,1.0,5.0,4.0,7.0,106,5.0,1.0,1.0,,,,,,0.5454545454545454,0.4,0.3333333333333333,0.5454545454545454,0.4,0.3333333333333333,0.5333333333333333,0.4375,0.3888888888888889,,0.1818181818181818,0.2222222222222222,,5.0,,0.2033898305084746,0.0454545454545454,0.119047619047619,0.1351351351351351,0.18125,0.0650887573964497,0.075,0.054054054054054,0.0181818181818181,0.1470588235294117,0.2051282051282051,0.238095238095238,0.1896551724137931,0.0909090909090909,0.3333333333333333,0.8,0.8181818181818182,0.5555555555555556,0.7142857142857143,1.0,0.1818181818181818,0.5,0.5,1.0,,,,,,,,,,,,,1.0,0.4,,,,,0.8333333333333334,0.4,,,,,0.8181818181818182,,0.5524272727272728,0.57275,0.5574666666666667,,,0.4375,0.4375,1.009090909090909,,0.3108504398826979,,,3.0,,,2.0,5.0,,4.0,,1.0,2.0,,0.375,0.2222222222222222,1.0,,2.0,,3.0,0.0714285714285714,,1.0,,,,,,,,,,,,True,,,,,
