EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyOffPossExcludingTakeFouls,TsPct,SecondChanceTsPct,Usage,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,Loose Ball Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Arc3Assists,BadPassOutOfBoundsTurnovers,LongMidRangePctAssisted,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,BlocksRecoveredPct,LongMidRangeAssists,ShortMidRangeFGM,PtsPutbacks,OffTwoPtRebounds,2pt And 1 Free Throw Trips,OffTwoPtReboundPct,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Technical Free Throw Trips,on,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,HeaveAttempts,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,Clear Path Fouls,3pt And 1 Free Throw Trips,HeaveMakes
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,443.0,7,-9,11,10,3.0,1,1.0,21,2.0,2.0,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,3.0,0.5,0.5,33.333333333333336,0.5,0.5,0.1428571428571428,1.0,1.0,1.0,0.5,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,1610612763,Bobby Jackson,Bobby Jackson,1517,MEM,1245.0,21,17,35,34,8.0,7,8.0,69,2.0,19.0,30,,3.0,,2.0,3.0,1.0,1.0,,,2.0,2.0,4.0,2.0,1.0,,8.0,0.7307692307692307,1.5,33.333333333333336,0.5,,0.2,,0.0769230769230769,0.125,0.1578947368421052,0.2285714285714285,1.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,7.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0,8.0,9.0,3.0,1.0,3.0,2.0,5.0,2.0,3.0,12.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,0.6,1.0,0.5,0.6,0.5714285714285714,0.5,0.7083333333333334,1.5,0.625,0.7,0.4166666666666667,0.1666666666666666,0.2222222222222222,0.3333333333333333,1.0,0.1666666666666666,0.5,0.5,0.0833333333333333,0.3333333333333333,0.75,0.75,0.1666666666666666,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.25,1.0,0.25,0.5833333333333334,0.3333333333333333,0.4771916666666667,0.4377,0.4248375,0.3684210526315789,13.242857142857146,24.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,1610612763,John Thomas,John Thomas,1519,MEM,1501.0,25,12,42,40,11.0,8,8.0,82,,4.0,38,,4.0,,,,2.0,,1.0,,2.0,3.0,2.0,,,,11.0,1.0,1.0,7.692307692307692,1.0,,,,,,1.0,0.2619047619047619,2.0,2.0,,,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,,1.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.5004,,0.5799,0.5,2.25,,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,1386.0,23,10,38,36,11.0,4,8.0,74,,6.0,33,,,,4.0,5.0,,,,,,1.0,1.0,,,,11.0,0.3,,20.833333333333336,,,0.1333333333333333,,,,,0.2894736842105263,,1.0,,,4.0,2.0,2.0,,,1.0,1.0,,3.0,,,5.0,2.0,5.0,,,,,1.0,1.0,,3.0,,6.0,3.0,,2.0,1.0,3.0,1.0,1.0,7.0,,2.0,1.0,3.0,2.0,1.0,,,,,3.0,1.0,0.4,,1.0,0.4,,,0.3,,1.5,1.5,0.5,,0.1538461538461538,,,0.1,,,,0.4,,,0.2,1.0,1.0,1.0,0.3,,,,,,,1.0,1.0,,0.6,,0.48896,,0.5433,0.5,15.5,24.5,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,0.2,1.0,1.0,0.1666666666666666,0.0666666666666666,0.2,0.4,0.1428571428571428,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612763,Dahntay Jones,Dahntay Jones,2563,MEM,1066.0,18,-2,32,30,5.0,4,3.0,62,2.0,4.0,34,,,,1.0,1.0,,1.0,,,1.0,2.0,2.0,2.0,1.0,,5.0,0.6666666666666666,,11.76470588235294,,,0.0714285714285714,,0.3333333333333333,0.5,,0.15625,,,,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,2.0,2.0,1.0,,6.0,,1.0,,,,,,,,,,,,,,,1.0,,0.5,,,,0.5,,0.0909090909090909,,,,,,,0.5,1.0,1.0,0.5,,,,,,,,,,,1.0,,,0.5,,0.527575,,0.61575,,21.6,23.6,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,224.0,4,2,7,5,2.0,5,1.0,12,,2.0,7,,,1.0,1.0,1.0,,,,,,2.0,,,,,2.0,1.0,,11.11111111111111,,1.0,0.5,1.0,,,,0.2857142857142857,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.5956,,,,1.7,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,1610612763,Antonio Burks,Antonio Burks,2766,MEM,256.0,4,-5,7,6,3.0,1,,13,,,8,,,,,,,,,,,,,,,,3.0,,,14.285714285714285,,,,,,,,0.4285714285714285,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.332,,0.332,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101160,1610612763,Lawrence Roberts,Lawrence Roberts,101160,MEM,747.0,12,15,21,21,5.0,3,6.0,42,,8.0,16,,2.0,,1.0,4.0,1.0,,1.0,,1.0,1.0,4.0,7.0,4.0,,5.0,0.5714285714285714,0.5,28.57142857142857,1.0,,0.1666666666666666,,0.5714285714285714,0.5714285714285714,0.25,0.238095238095238,3.0,3.0,1.0,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,0.1666666666666666,0.5,,0.75,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,0.75,,0.49455,,,,3.125,,1.0,1.0,,,1.0,1.0,6.0,,,,,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,,,,,,2.0,,,,,,,0.5,0.375,0.5,,,,,,,,,,1.0,2.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1610612763,Eddie Jones,Eddie Jones,224,MEM,353.0,6,14,8,9,4.0,3,4.0,17,1.0,3.0,2,,2.0,,,1.0,,,,,,,,1.0,,,4.0,0.5,1.0,14.285714285714285,,,,,,,0.6666666666666666,0.5,1.0,1.0,,,1.0,,,,,,,,,,1.0,2.0,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,0.5,0.5,0.5,1.0,0.5,0.5,,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,,,,,,,,,0.5,,0.4452,0.5278,0.4452,0.6666666666666666,9.25,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,0.5,1.0,,,1.0,,,,,,,0.3333333333333333,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,284.0,5,6,9,9,3.0,4,1.0,18,,2.0,7,,,,2.0,4.0,,,,,,,1.0,2.0,1.0,,3.0,0.5,,18.181818181818183,,,0.5,,0.5,0.5,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,0.6666666666666666,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.65,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,0.6666666666666666,1.0,1.0,,,,,,,,,,,1.0,,0.5,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
