EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Usage,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,AtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG3M,FG3A,Points,SecondChanceFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Corner3Assists,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Charge Fouls,Blocked2s,BlockedAtRim,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedCorner3,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,PtsUnassisted3s,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,BadPassOutOfBoundsTurnovers,Corner3PctAssisted,LostBallTurnovers,NonShootingPenaltyNonTakeFouls,LongMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PenaltyFtPoints,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,Technical Free Throw Trips,BlockedArc3,BlockedLongMidRange,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,on,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,Defensive 3 Seconds Violations,OffensiveGoaltends
1626188,1610612747,Quinn Cook,Quinn Cook,1626188,LAL,168.0,3,-7.0,7,7,7.0,14,1.0,1.0,13,1.0,1.0,1.0,3.0,14.285714285714285,1.0,1.0,0.5636,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1628398,1610612747,Kyle Kuzma,Kyle Kuzma,1628398,LAL,834.0,14,-9.0,28,25,10.0,53,1.0,2.0,34,1.0,1.0,,3.0,29.032258064516128,0.14285714285714285,0.8571428571428571,0.5434142857142857,2.35,3.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,3.0,5.0,13.0,1.0,4.0,9.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.5,0.2,0.08333333333333333,0.25,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.7142857142857143,0.6,0.6,1.0,1.0,0.6,0.5712,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
201162,1610612747,Jared Dudley,Jared Dudley,201162,LAL,411.0,7,-8.0,19,17,17.0,36,,,19,,,,,5.2631578947368425,,1.0,0.4557,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,26.8,9.0,1.0,1.0,9.0,1.0,0.4557,0.47368421052631576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
201580,1610612747,JaVale McGee,JaVale McGee,201580,LAL,8109.0,135,17.0,274,270,31.0,544,23.0,30.0,297,7.0,7.0,2.0,21.0,12.8125,0.71875,0.78125,0.5648265625,2.6199999999999997,39.0,17.0,3.0,6.0,,2.0,,20.0,,2.0,41.0,,30.0,,2.0,,5.0,12.0,28.0,44.0,2.0,1.0,4.0,4.0,5.0,9.0,22.0,,9.0,4.0,10.0,0.75,1.0,,,,0.6666666666666666,0.625,0.640625,0.0625,0.4444444444444444,0.2,0.18115942028985507,0.25,0.7391304347826086,0.7727272727272727,0.7058823529411765,0.1875,0.5,0.5,1.0,0.0625,,,,,,0.57795,25.15,31.0,1.0,1.0,31.0,0.3333333333333333,0.6458666666666667,0.11313868613138686,5.0,8.0,2.0,2.0,1.0,1.0,5.0,8.0,10.0,2.0,2.0,4.0,10.0,10.0,1.0,7.0,9.0,13.0,3.0,16.0,2.0,1.0,1.0,3.0,2.0,10.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,8.0,3.0,1.0,4.0,0.625,1.0,0.625,0.6666666666666666,0.625,0.6666666666666666,0.03333333333333333,0.043478260869565216,0.6,0.16666666666666666,0.125,0.11864406779661017,0.12213740458015267,0.11428571428571428,0.17647058823529413,0.1,0.13513513513513514,0.09090909090909091,0.14285714285714285,0.18518518518518517,0.1875,0.0625,0.18181818181818182,0.8,0.03125,1.0,0.625,0.6666666666666666,1.0,0.0625,0.06666666666666667,0.24390243902439024,0.0975609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2747,1610612747,JR Smith,JR Smith,2747,LAL,412.0,7,-8.0,19,17,17.0,36,,,19,,,,,15.789473684210526,,1.0,0.5408000000000001,,,,,,,2.0,,,1.0,3.0,3.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.5,0.5,1.0,,,,,,,,,,,,0.6666666666666666,,,,,,,24.666666666666668,9.0,1.0,1.0,9.0,1.0,0.5082,0.47368421052631576,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1627936,1610612747,Alex Caruso,Alex Caruso,1627936,LAL,738.0,12,-8.0,24,22,7.0,46,,,25,,,,,25.925925925925924,,1.0,0.55512,,3.0,,,,,4.0,1.0,,1.0,5.0,3.0,1.0,,3.0,4.0,,,,2.0,2.0,,,,,2.0,2.0,,,1.0,,1.0,,,1.0,0.2,0.2,,0.3,0.3,1.0,,,0.125,,,,,,,,,0.8,,,,1.0,,0.54555,25.18,4.0,2.0,2.0,4.0,1.0,0.54045,0.16666666666666666,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,0.2222222222222222,,,,,,,,,0.3333333333333333,0.2,,,,1.0,,,,,,,,,,1.0,1.0,,0.2,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
202693,1610612747,Markieff Morris,Markieff Morris,202693,LAL,767.0,13,-14.0,24,25,12.0,49,,,34,,,,,3.7037037037037033,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,5.0,,,,,,,,,,,,,,1.0,0.14285714285714285,0.0625,0.2,,,,,,,,,,,,,,,,9.0,,,9.0,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2544,1610612747,LeBron James,LeBron James,2544,LAL,7582.0,126,29.0,251,249,12.0,500,26.0,40.0,272,12.0,39.0,6.0,90.0,27.27272727272727,0.4642857142857143,0.75,0.5386818181818182,5.6825,39.0,16.0,4.0,7.0,8.0,14.0,2.0,23.0,9.0,16.0,81.0,3.0,12.0,12.0,14.0,8.0,6.0,10.0,25.0,30.0,3.0,1.0,11.0,10.0,9.0,20.0,4.0,,2.0,2.0,2.0,0.2608695652173913,0.2727272727272727,0.4444444444444444,0.5625,0.5625,0.575,0.6517857142857143,0.6639344262295082,0.2857142857142857,0.55,0.18867924528301888,0.1953125,0.20512820512820512,0.6153846153846154,0.6956521739130435,0.3125,0.125,0.5714285714285714,0.5714285714285714,0.25,0.25,0.5714285714285714,0.5714285714285714,0.375,0.2222222222222222,0.5714285714285714,0.49060000000000004,27.0375,22.0,1.0,1.0,22.0,1.0,0.5709,0.08764940239043825,1.0,3.0,,,7.0,8.0,3.0,6.0,12.0,,,5.0,34.0,2.0,3.0,3.0,2.0,15.0,,5.0,2.0,2.0,3.0,1.0,2.0,1.0,,1.0,15.0,1.0,13.0,2.0,5.0,,,,2.0,,,5.0,0.5,,0.6666666666666666,1.5,0.6666666666666666,1.25,0.075,0.11538461538461539,,0.2,0.02857142857142857,0.057692307692307696,0.040983606557377046,,0.11764705882352941,,0.03225806451612903,0.09523809523809523,0.14705882352941177,0.14814814814814814,0.42857142857142855,0.14285714285714285,0.09523809523809523,1.0,0.125,0.3333333333333333,0.3333333333333333,,,0.1,0.11627906976744186,0.14814814814814814,0.06172839506172839,1.0,2.0,15.0,0.03571428571428571,0.5,0.5,5.0,1.0,1.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,27.0,14.0,7.0,6.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,0.1111111111111111,1.0,1.0,0.5,1.0,1.0,0.058823529411764705,,,,,,,,,,,,,,True,,,,,,,,,,
201980,1610612747,Danny Green,Danny Green,201980,LAL,6999.0,117,26.0,233,234,10.0,467,9.0,18.0,256,2.0,4.0,2.0,10.0,16.666666666666668,0.21951219512195122,0.7804878048780488,0.5511756097560975,6.766666666666667,36.0,3.0,4.0,7.0,2.0,8.0,,7.0,8.0,23.0,39.0,1.0,8.0,24.0,8.0,2.0,,5.0,10.0,15.0,5.0,3.0,3.0,2.0,1.0,4.0,10.0,,3.0,3.0,3.0,0.5714285714285714,0.5714285714285714,1.0,0.34782608695652173,0.34782608695652173,0.3888888888888889,0.4634146341463415,0.4642857142857143,0.5609756097560976,0.75,0.10638297872340426,0.08771929824561403,0.05714285714285714,0.3333333333333333,0.375,0.3333333333333333,0.17073170731707318,0.5714285714285714,0.5714285714285714,0.75,0.1951219512195122,0.25,0.25,1.0,,0.25,0.5239666666666667,24.01304347826087,18.0,,1.0,18.0,,0.6238666666666667,0.07725321888412018,,3.0,1.0,1.0,2.0,1.0,,3.0,,1.0,2.0,5.0,6.0,,1.0,2.0,3.0,5.0,,5.0,2.0,2.0,,,,6.0,1.0,,6.0,,3.0,1.0,2.0,,,,,,,5.0,,0.5,,0.8333333333333334,,0.8333333333333334,0.05555555555555555,0.1111111111111111,,0.07462686567164178,0.04477611940298507,0.0425531914893617,0.043859649122807015,0.03125,0.125,,0.07692307692307693,,0.0967741935483871,,0.14285714285714285,0.25,0.08,,0.04878048780487805,0.75,,0.3333333333333333,1.0,0.047619047619047616,0.10526315789473684,,0.1282051282051282,6.0,15.0,,0.36585365853658536,0.4,0.4,,1.0,1.0,,,,1.0,,,,1.0,,2.0,2.0,,,,,,,,1.0,,,0.25,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,True,,,,,,,,,,
203484,1610612747,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,LAL,7187.0,120,26.0,239,238,14.0,477,4.0,8.0,262,1.0,7.0,,15.0,15.957446808510639,0.1,0.9,0.57113375,9.3875,36.0,2.0,,,6.0,15.0,2.0,2.0,13.0,32.0,46.0,4.0,4.0,39.0,15.0,6.0,1.0,5.0,6.0,6.0,5.0,3.0,3.0,3.0,,3.0,4.0,,,,,1.0,1.0,1.0,0.40625,0.40625,0.25,0.5375,0.5476190476190477,0.8,1.0,0.10204081632653061,0.04918032786885246,0.1388888888888889,0.5,0.5,1.0,,,,,0.375,0.4,0.4,1.0,0.5,0.4,0.6129375,24.5875,22.0,2.0,4.0,22.0,0.4,0.56468,0.09205020920502092,,,,1.0,4.0,3.0,,,3.0,,1.0,6.0,,,,,,1.0,,,,2.0,,,,1.0,1.0,,6.0,1.0,4.0,,2.0,,,,,,,6.0,,,0.375,0.6,0.375,0.6,,,,0.0136986301369863,,,,,,,,,,0.041666666666666664,,,,,0.1,,,0.2,,0.047619047619047616,0.2,0.06521739130434782,0.13043478260869565,7.0,17.0,,0.425,0.4117647058823529,0.4117647058823529,,1.0,,1.0,,,2.0,1.0,1.0,1.0,2.0,,6.0,4.0,2.0,,,,,,0.25,0.5,,,0.5,,,0.5,1.0,0.5,,1.0,2.0,,2.0,0.4,0.5,,,,,,,,True,,,,,,,,,,
