EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,FoulsDrawn,TwoPtShootingFoulsDrawn,Assisted3sPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Arc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Steals,BadPassSteals,LostBallSteals,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefLongMidRangeReboundPct,BlocksRecoveredPct,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted2s,DeadBallTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,AtRimPctAssisted,PenaltyArc3Accuracy,ShootingFouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FTDefRebounds,StepOutOfBoundsTurnovers,Charge Fouls Drawn,DefFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeFGM,SecondChanceTurnovers,Offensive Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,DefensiveGoaltends,OffensiveGoaltends
1626188,1610612747,Quinn Cook,Quinn Cook,1626188,LAL,1456.0,24.0,-35.0,54,53.0,23.0,29.0,2.0,107,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,6.0,2.0,4.0,1.0,13.0,78.0,2.0,4.0,1.0,1.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,23.0,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.4,0.4,19.642857142857142,1.0,0.1111111111111111,0.05555555555555555,0.14285714285714285,0.3,0.6666666666666666,0.6666666666666666,0.2,0.5,0.5,0.1,0.4,0.5,0.5,0.4,1.0,0.2,0.7,0.5,0.512815,0.54271,0.38461538461538464,7.783333333333334,26.275,0.42592592592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627936,1610612747,Alex Caruso,Alex Caruso,1627936,LAL,112.0,2.0,-4.0,5,4.0,5.0,3.0,1.0,9,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628398,1610612747,Kyle Kuzma,Kyle Kuzma,1628398,LAL,446.0,7.0,-11.0,17,17.0,2.0,11.0,1.0,34,,,,,,,,1.0,4.0,1.0,,,1.0,4.0,2.0,5.0,24.0,,,1.0,2.0,2.0,,,4.0,1.0,,,,,,,,1.0,2.0,3.0,,,,,2.0,,2.0,2.0,0.25,0.25,,,0.375,,0.5,0.5,1.0,27.77777777777778,,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,1.0,0.25,0.25,,,1.0,1.0,0.25,0.5111625,0.47175,0.4,,25.674999999999997,0.11764705882352941,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.125,0.5,1.0,1.0,0.2,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612747,Danny Green,Danny Green,201980,LAL,25.0,,,1,1.0,1.0,1.0,1.0,2,,1.0,,1.0,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,50.0,,,,,1.0,,,,,,,,,,1.0,,,1.0,,0.3735,0.3735,,2.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202693,1610612747,Markieff Morris,Markieff Morris,202693,LAL,214.0,4.0,-7.0,8,8.0,4.0,6.0,1.0,16,,,,,,1.0,,,,,,1.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,11.11111111111111,,,,,,,,1.0,,,,,,,,,,,,0.3812,,,12.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200765,1610612747,Rajon Rondo,Rajon Rondo,200765,LAL,21.0,,,1,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201162,1610612747,Jared Dudley,Jared Dudley,201162,LAL,1271.0,21.0,-30.0,49,46.0,22.0,28.0,1.0,95,,,,,,,1.0,,2.0,1.0,,1.0,,2.0,,,69.0,,,1.0,,,,,2.0,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,22.0,,,,,,,,,0.6666666666666666,8.0,1.0,0.14285714285714285,0.125,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,1.0,0.6666666666666666,,0.46986666666666665,0.47625,,22.1,26.15,0.4489795918367347,,,,,1.0,,,,,,,0.1111111111111111,,,0.125,,,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203484,1610612747,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,LAL,87.0,1.0,-4.0,4,3.0,4.0,2.0,,7,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1610612747,Dwight Howard,Dwight Howard,2730,LAL,1123.0,19.0,-27.0,40,41.0,20.0,18.0,1.0,81,2.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,9.0,59.0,1.0,1.0,2.0,1.0,6.0,,,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,4.0,,6.0,20.0,0.5,0.5,1.0,1.0,0.875,0.8333333333333334,0.75,0.75,0.5,17.073170731707318,,,0.0625,,0.5,1.0,1.0,,,,,0.5,0.5,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,0.567725,0.5260333333333334,0.6666666666666666,1.15,28.049999999999997,0.5,,,3.0,,1.0,,8.0,1.0,1.0,,,0.125,,,0.14285714285714285,1.0,0.2,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201580,1610612747,JaVale McGee,JaVale McGee,201580,LAL,168.0,3.0,-7.0,7,7.0,,7.0,,14,,,,,,,,,1.0,,,,,1.0,,,13.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,28.57142857142857,,,,,,,,,,,,1.0,,,,,,1.0,,0.48975,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
