EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Corner3Assists,DefTwoPtRebounds,DefTwoPtReboundPct,DefAtRimReboundPct,Arc3Frequency,PenaltyArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,LostBallSteals,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,Fg2aBlocked,LostBallTurnovers,Offensive Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,OffTwoPtRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,OffTwoPtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,Blocked3s,BlockedCorner3,RecoveredBlocks,BlocksRecoveredPct,on,LongMidRangeFGA,PtsUnassisted3s,Technical Free Throw Trips,LongMidRangeFrequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsPutbacks,HeaveAttempts,Fg3aBlocked,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,LongMidRangeFGM,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,LongMidRangePctBlocked,Defensive 3 Seconds Violations,3SecondViolations,OffensiveGoaltends
1627936,1610612747,Alex Caruso,Alex Caruso,1627936,LAL,428.0,7,6,16,16,3.0,3.0,2.0,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,13.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,21.05263157894737,1.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.545725,0.60255,0.3333333333333333,0.5,2.7,23.4,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628398,1610612747,Kyle Kuzma,Kyle Kuzma,1628398,LAL,338.0,6,1,12,12,6.0,8.0,1.0,24,,,,,,,1.0,,,11.0,1.0,,2.0,2.0,,6.0,1.0,2.0,2.0,,,,,,,,,,,,6.0,,,,,,1.0,7.142857142857142,,0.2,0.25,0.3333333333333333,,,,,,,1.0,0.5148,0.5148,,,,25.8,0.5,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629659,1610612747,Talen Horton-Tucker,Talen Horton-Tucker,1629659,LAL,1015.0,17,5,40,40,15.0,16.0,5.0,80,3.0,5.0,2.0,1.0,4.0,7.0,5.0,,14.0,34.0,2.0,4.0,,,,,3.0,5.0,5.0,2.0,,,,,,,,,,,15.0,0.5,0.5,0.5714285714285714,0.5833333333333334,0.5833333333333334,0.4166666666666667,26.08695652173913,,0.17647058823529413,0.21739130434782608,0.16666666666666666,0.4166666666666667,0.6,0.6,0.3333333333333333,0.16666666666666666,0.2,0.8333333333333334,0.5898375,0.63286,,,4.0,24.52,0.375,3.0,1.0,3.0,,2.0,0.3333333333333333,,0.25,0.2,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,7.0,4.0,6.0,1.0,2.0,3.0,4.0,7.0,1.0,1.0,0.4,0.5,0.4,0.6666666666666666,0.7,0.7,0.5,0.5,0.2,0.16666666666666666,0.5,0.5,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6,0.6666666666666666,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201162,1610612747,Jared Dudley,Jared Dudley,201162,LAL,323.0,5,-3,15,14,15.0,14.0,1.0,29,,,,,,,1.0,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,1.0,6.25,,,,,,,,,,,1.0,0.4557,0.4557,,,,26.8,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203484,1610612747,Kentavious Caldwell-Pope,Kentavious Caldwell-Pope,203484,LAL,53.0,1,3,2,1,2.0,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1610612747,Dwight Howard,Dwight Howard,2730,LAL,270.0,4,-6,13,13,13.0,13.0,1.0,26,,,,,,,,3.0,3.0,13.0,,,,,,,2.0,2.0,2.0,,,,,1.0,3.0,6.0,,,,,13.0,,,,,0.5,,28.57142857142857,,0.25,0.25,0.2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,3.0,2.0,,,,,,,0.5,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202693,1610612747,Markieff Morris,Markieff Morris,202693,LAL,618.0,10,5,23,24,,,4.0,47,3.0,4.0,1.0,,4.0,5.0,2.0,,8.0,21.0,,8.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,0.8,0.5714285714285714,0.5714285714285714,0.2857142857142857,29.629629629629626,1.0,,0.08333333333333333,,0.5714285714285714,0.75,1.0,1.0,0.14285714285714285,,0.8571428571428571,0.5730999999999999,,,,3.46,23.7,,1.0,,1.0,,1.0,0.2,,0.14285714285714285,,,,1.0,1.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,0.5,,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.25,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612747,LeBron James,LeBron James,2544,LAL,280.0,5,6,11,11,,,1.0,22,,1.0,,,,1.0,1.0,,,7.0,,,,3.0,,6.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.5,25.0,1.0,,,,0.5,,,,,,1.0,0.459175,,,,3.4,24.8,,1.0,,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612747,Danny Green,Danny Green,201980,LAL,588.0,10,6,21,22,,2.0,4.0,43,,,2.0,,,,3.0,,6.0,19.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,11.538461538461538,,,,,,,,,0.6666666666666666,,1.0,0.58495,,,,,24.166666666666668,,1.0,,1.0,,,,,0.3333333333333333,,,,,,1.0,,1.0,2.0,,,,,,6.0,1.0,,,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203076,1610612747,Anthony Davis,Anthony Davis,203076,LAL,412.0,7,2,14,15,,2.0,3.0,29,1.0,1.0,,,1.0,2.0,,2.0,4.0,14.0,,2.0,,1.0,,2.0,1.0,1.0,3.0,,,,,2.0,2.0,2.0,1.0,,,,,1.0,1.0,0.5,0.5,0.6666666666666666,,27.77777777777778,,0.14285714285714285,0.1111111111111111,0.2,0.5,1.0,1.0,1.0,,,0.5,0.45095,,0.3333333333333333,0.3333333333333333,5.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,0.25,0.2857142857142857,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
