EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted3s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ThreePtAssists,Assists,Corner3Assists,AssistPoints,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Fg2aBlocked,TwoPtAssists,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,PtsUnassisted2s,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,LongMidRangeAssists,Charge Fouls,LiveBallTurnovers,BadPassTurnovers,LiveBallTurnoverPct,on,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Loose Ball Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Fg3aBlocked,Travels,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,BlockedCorner3,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts
101107,1610612749,Marvin Williams,Marvin Williams,101107,MIL,645.0,11.0,-1,24,25,13.0,7.0,2.0,49,1.0,1.0,1.0,1.0,1.0,1.0,3.0,23,1.0,3.0,1.0,3.0,4.0,4.0,1.0,12.0,1.0,1.0,1.0,0.75,0.75,0.5,7.692307692307692,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.502075,0.3983,9.5,23.9,0.5416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101141,1610612749,Ersan Ilyasova,Ersan Ilyasova,101141,MIL,1405.0,23.0,-17,51,52,22.0,12.0,3.0,103,1.0,,1.0,4.0,1.0,5.0,9.0,60,1.0,3.0,1.0,3.0,4.0,4.0,2.0,20.0,1.0,0.2,0.2,0.3888888888888889,0.45,0.5555555555555556,20.37037037037037,0.25,0.1,0.18181818181818182,,0.5,0.2,,0.1111111111111111,0.1111111111111111,,,,0.6666666666666666,0.5278,0.5198999999999999,12.349999999999998,24.72,0.43137254901960786,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.125,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.4444444444444444,0.25,0.25,1.0,0.6666666666666666,0.25,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626192,1610612749,Pat Connaughton,Pat Connaughton,1626192,MIL,639.0,11.0,-6,24,25,10.0,7.0,1.0,49,,,,1.0,,,4.0,27,,,2.0,1.0,3.0,3.0,1.0,8.0,,,,1.0,1.0,,12.0,0.3333333333333333,0.25,0.2727272727272727,,,0.5,,,,,,,1.0,0.6188,,2.1,,0.4166666666666667,1.0,1.0,,,,,,1.0,2.0,,,2.0,2.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6188,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628978,1610612749,Donte DiVincenzo,Donte DiVincenzo,1628978,MIL,1132.0,19.0,-14,40,43,20.0,12.0,2.0,83,1.0,,1.0,3.0,1.0,3.0,6.0,47,1.0,3.0,3.0,1.0,4.0,4.0,1.0,18.0,1.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.42857142857142855,0.5,19.047619047619047,0.1,0.375,0.2222222222222222,,0.25,,0.5,0.16666666666666666,0.16666666666666666,,,,0.8333333333333334,0.5710000000000001,0.53015,5.733333333333333,25.833333333333332,0.5,1.0,2.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,,,,,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,0.5,,,,,,1.0,2.0,1.0,5.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201588,1610612749,George Hill,George Hill,201588,MIL,1155.0,19.0,-9,40,40,19.0,9.0,3.0,80,2.0,,,4.0,,,8.0,46,1.0,,1.0,,1.0,2.0,3.0,18.0,,,,0.5,0.6666666666666666,,18.6046511627907,,0.125,0.058823529411764705,,,,,0.5,,,,,0.5,0.5527,0.4178,2.875,,0.475,2.0,2.0,,,,,,2.0,4.0,,,4.0,4.0,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,4.0,2.0,4.0,,,0.5,,,0.6666666666666666,0.16666666666666666,0.5,1.0,1.0,,,,,,,,,,,,0.5,,,,,2.0,1.0,5.0,,11.0,1.0,,,1.0,,,,,0.25,,,,4.0,2.0,,,,,1.0,,,,,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.125,0.05263157894736842,0.2,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,1610612749,Kyle Korver,Kyle Korver,2594,MIL,713.0,12.0,-14,27,28,10.0,8.0,1.0,55,1.0,1.0,2.0,3.0,1.0,4.0,9.0,34,1.0,3.0,,,,,1.0,8.0,1.0,0.25,0.25,0.5,0.5625,0.5714285714285714,28.57142857142857,,,,,,,,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,0.5054928571428571,0.4266,17.3,24.2,0.37037037037037035,,,1.0,2.0,,2.0,,2.0,2.0,1.0,,2.0,4.0,4.0,2.0,,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,,,,,,0.4444444444444444,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,,0.4501,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203114,1610612749,Khris Middleton,Khris Middleton,203114,MIL,398.0,7.0,-3,14,13,7.0,,2.0,27,1.0,,1.0,1.0,,4.0,2.0,16,1.0,,,1.0,1.0,1.0,3.0,7.0,,,,,0.16666666666666666,0.8,37.5,0.16666666666666666,,0.14285714285714285,0.5,,,,0.2,0.2,,,,0.8,0.53155,0.5310875,12.0,25.9,0.5,,,,,,3.0,2.0,,2.0,,3.0,2.0,2.0,,3.0,,,,,,,,,,,2.0,1.0,2.0,,,,,,0.2,,,,,,,,,,0.6,,,,0.5,,1.0,,,,,,1.0,2.0,,5.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,0.25,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203507,1610612749,Giannis Antetokounmpo,Giannis Antetokounmpo,203507,MIL,213.0,4.0,-2,6,6,5.0,5.0,,12,,,,1.0,,,2.0,8,1.0,,,,,,,5.0,,,,1.0,1.0,,33.333333333333336,,,,,,,,,,,,,1.0,0.7881,0.7881,1.2,,0.8333333333333334,1.0,1.0,,,,,,1.0,,1.0,,,2.0,2.0,,,,,,1.0,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201572,1610612749,Brook Lopez,Brook Lopez,201572,MIL,273.0,5.0,-3,11,9,2.0,,1.0,20,1.0,,,1.0,,,,13,,,,1.0,1.0,1.0,,2.0,,,,,,,16.666666666666668,0.5,,0.25,,,0.5,,1.0,,,,,,0.4068,,10.2,,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202339,1610612749,Eric Bledsoe,Eric Bledsoe,202339,MIL,26.0,,2,2,1,2.0,,,3,,,,,,,,2,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
