EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Charge Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGA,PenaltyFG2M,OffThreePtRebounds,OffRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,ShortMidRangePctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Corner3FGM,LostBallSteals,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls Drawn,ShortMidRangeAssists,SecondChanceTurnovers,on,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,SelfOReb,StepOutOfBoundsTurnovers,Loose Ball Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,Charge Fouls Drawn,Offensive Fouls Drawn,SecondChanceAtRimPctAssisted
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,1356.0,23.0,-3.0,45.0,47,9.0,11.0,3.0,92,3.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,6.0,47.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,8.0,8.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,9.0,1.0,1.0,0.6,0.42857142857142855,0.42857142857142855,0.2857142857142857,18.75,0.5,0.5,0.2222222222222222,0.38095238095238093,0.3333333333333333,0.5,1.0,0.25,1.0,0.42857142857142855,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.4883285714285715,7.840000000000001,25.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627763,1610612754,Malcolm Brogdon,Malcolm Brogdon,1627763,IND,1917.0,32.0,-3.0,63.0,64,9.0,24.0,3.0,127,2.0,5.0,2.0,4.0,5.0,5.0,11.0,5.0,23.0,64.0,2.0,5.0,3.0,6.0,2.0,15.0,1.0,3.0,4.0,4.0,2.0,1.0,,2.0,1.0,1.0,,,,,,9.0,0.2,0.2,0.45454545454545453,0.5,0.575,0.3125,33.33333333333333,1.0,0.16666666666666666,0.07692307692307693,0.12903225806451613,0.2857142857142857,0.125,,0.1,,0.3125,0.4,0.5,0.5,0.125,0.25,0.3125,0.625,0.43041999999999997,9.627272727272727,27.4,0.14285714285714285,1.0,3.0,2.0,1.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,2.0,8.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,4.0,2.0,0.5,0.4,0.4,0.25,0.2,0.09090909090909091,0.2,0.2,0.75,0.75,0.4,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,0.4,0.484975,0.2,0.26666666666666666,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628410,1610612754,Edmond Sumner,Edmond Sumner,1628410,IND,2430.0,40.0,-6.0,82.0,81,13.0,27.0,4.0,163,1.0,1.0,3.0,,1.0,2.0,4.0,3.0,6.0,79.0,2.0,1.0,,,,,3.0,2.0,5.0,6.0,2.0,2.0,,2.0,2.0,5.0,,,,,,13.0,0.5,0.5,0.5,0.2857142857142857,0.375,0.42857142857142855,11.627906976744185,1.0,0.09523809523809523,0.16666666666666666,0.1282051282051282,0.2,,,0.13333333333333333,,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,,0.14285714285714285,0.5714285714285714,0.5382285714285715,6.050000000000001,23.933333333333334,0.15853658536585366,1.0,,,,1.0,,2.0,,1.0,1.0,2.0,4.0,2.0,,,,1.0,1.0,,,,,,,,,1.0,2.0,,4.0,,,,0.6666666666666666,0.3333333333333333,0.25,,,,,,,,,0.5,0.5,,0.64795,,,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.07142857142857142,0.02857142857142857,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628988,1610612754,Aaron Holiday,Aaron Holiday,1628988,IND,330.0,6.0,-5.0,12.0,12,,8.0,,24,,,,,1.0,,,1.0,,11.0,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,16.666666666666668,1.0,,,,,,,,,,,,,,,1.0,1.0,0.5556,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203933,1610612754,T.J. Warren,T.J. Warren,203933,IND,1917.0,32.0,-3.0,63.0,64,9.0,24.0,3.0,127,1.0,3.0,4.0,3.0,4.0,3.0,10.0,4.0,12.0,64.0,4.0,4.0,3.0,3.0,3.0,6.0,2.0,3.0,6.0,7.0,,,3.0,3.0,1.0,6.0,,,,,,9.0,0.6666666666666666,0.6666666666666666,0.3,0.42857142857142855,0.42857142857142855,0.2857142857142857,25.757575757575758,,0.16666666666666666,0.15384615384615385,0.16129032258064516,0.14285714285714285,0.125,0.3333333333333333,,,0.21428571428571427,0.3333333333333333,0.5,1.0,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.5,0.4659642857142857,10.67,25.925,0.14285714285714285,,,2.0,1.0,,2.0,,1.0,2.0,,,,2.0,6.0,,2.0,1.0,,,,,,2.0,2.0,,,2.0,,,,1.0,0.5,0.5,,,0.1,0.3333333333333333,,,,0.5,0.5,1.0,0.5,,,0.5,0.39535,,,,,2.0,,,,1.0,,,,,,,,0.04,,0.6666666666666666,0.5,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.2,0.5,0.5,0.5042,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203200,1610612754,Justin Holiday,Justin Holiday,203200,IND,1556.0,26.0,-11.0,51.0,50,8.0,19.0,4.0,101,,,,1.0,1.0,1.0,1.0,2.0,8.0,58.0,2.0,1.0,,,,,1.0,,2.0,2.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,8.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,7.2727272727272725,,,0.08333333333333333,0.05,,,,0.1,,,,,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5202666666666667,20.8,24.0,0.1568627450980392,,1.0,1.0,,,2.0,,,,,,,,6.0,,1.0,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,1.0,,,,,0.5,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203506,1610612754,Victor Oladipo,Victor Oladipo,203506,IND,544.0,9.0,10.0,19.0,19,5.0,,,38,,,,,3.0,,,3.0,7.0,10.0,,3.0,,1.0,,3.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,5.0,,,,0.5,0.7,1.0,26.31578947368421,,0.1111111111111111,,0.07692307692307693,,0.25,,,,,,,,,,1.0,1.0,0.5275500000000001,,26.266666666666666,0.2631578947368421,,,1.0,,,1.0,4.0,,,,2.0,2.0,,,3.0,1.0,,,1.0,1.0,,,2.0,1.0,,,2.0,4.0,1.0,2.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,0.25,1.0,0.2857142857142857,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203960,1610612754,JaKarr Sampson,JaKarr Sampson,203960,IND,1074.0,18.0,-3.0,37.0,34,4.0,16.0,1.0,71,4.0,4.0,2.0,2.0,,5.0,8.0,,10.0,32.0,8.0,,1.0,1.0,,2.0,3.0,1.0,4.0,4.0,,,1.0,1.0,,2.0,,,,,,4.0,0.8,0.8,0.625,0.625,0.625,,23.684210526315788,,0.1111111111111111,0.3333333333333333,0.2222222222222222,,0.25,,0.42857142857142855,,0.5,1.0,1.0,0.75,0.25,0.25,,0.5,0.4278375,8.5875,,0.10810810810810811,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,0.3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203926,1610612754,Doug McDermott,Doug McDermott,203926,IND,513.0,9.0,-3.0,19.0,17,4.0,3.0,1.0,36,,,,,1.0,,,2.0,,15.0,,1.0,,1.0,,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,4.0,,,,,,1.0,15.0,1.0,0.3333333333333333,,0.125,0.3333333333333333,,,,,,,,,,,0.5,1.0,0.603225,,24.65,0.21052631578947367,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204456,1610612754,T.J. McConnell,T.J. McConnell,204456,IND,513.0,9.0,-3.0,19.0,17,4.0,3.0,1.0,36,,,2.0,,,,2.0,,1.0,15.0,,,3.0,3.0,2.0,6.0,1.0,,1.0,1.0,2.0,,,2.0,,,,,,,,4.0,,,,,0.16666666666666666,,25.0,1.0,,0.2,0.125,,,,0.2,,,,,,1.0,,,,0.3895,7.05,,0.21052631578947367,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,0.4104,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
