EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsAssisted2s,PtsPutbacks,OffThreePtRebounds,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Offensive Fouls Drawn,BlockedAtRim,DefensiveGoaltends,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DefShortMidRangeReboundPct,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,LongMidRangePctBlocked,BlockedLongMidRange,Loose Ball Fouls,OffLongMidRangeReboundPct,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls,Charge Fouls Drawn,Corner3PctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceTurnovers,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,HeaveMakes,Technical Free Throw Trips,FTOffRebounds,Travels,Blocked3s,BlockedArc3,BlockedCorner3,OffFTReboundPct,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,3SecondViolations
1626169,1610612761,Stanley Johnson,Stanley Johnson,1626169,TOR,963.0,16,-2.0,36,36,11.0,20,5.0,72,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,11.0,43,1.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,2.0,0.5,0.5,0.5,0.5,1.0,0.625,1.0,0.6875,1.0,0.5,0.5,1.0,21.42857142857143,0.125,0.09090909090909091,0.06666666666666667,0.05263157894736842,0.2,0.16666666666666666,0.25,1.0,1.0,0.25,0.5,0.5,0.5,0.5,1.0,1.0,0.75,0.5,0.473525,0.6954,0.125,0.25,0.18181818181818182,4.4,27.525,0.3055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626178,1610612761,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson,1626178,TOR,2318.0,39,9.0,84,85,35.0,46,9.0,169,4.0,6.0,1.0,2.0,3.0,,1.0,4.0,9.0,,1.0,6.0,14.0,95,1.0,2.0,8.0,4.0,,,1.0,,,1.0,2.0,3.0,2.0,,1.0,,8.0,3.0,1.0,5.0,5.0,10.0,,1.0,,5.0,,5.0,8.0,,2.0,8.0,35.0,1.0,,,,0.4444444444444444,0.5,0.4,0.5,0.5,0.8,0.1,,,15.957446808510639,0.05555555555555555,0.16666666666666666,0.14705882352941177,0.13157894736842105,0.2222222222222222,,0.6,0.6666666666666666,0.6666666666666666,0.3,0.1,,,,1.0,0.5,0.7,,0.550065,0.7456,0.16666666666666666,0.18181818181818182,0.5714285714285714,3.266666666666667,25.5,0.4166666666666667,2.0,3.0,2.0,3.0,2.0,6.0,6.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6,1.0,0.25,0.1,0.125,0.11764705882352941,0.16666666666666666,0.2,0.3333333333333333,0.16666666666666666,1.0,0.5,1.0,0.6666666666666666,0.6048,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628449,1610612761,Chris Boucher,Chris Boucher,1628449,TOR,1309.0,22,4.0,50,48,29.0,37,5.0,98,,4.0,,3.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0,,8.0,57,1.0,4.0,5.0,,6.0,,4.0,2.0,,,1.0,1.0,1.0,,,,3.0,2.0,3.0,5.0,2.0,7.0,,,,2.0,,2.0,,,,5.0,29.0,,1.0,0.5,0.5,0.2,0.25,0.4444444444444444,0.4166666666666667,0.4444444444444444,0.4166666666666667,0.4444444444444444,,,16.07142857142857,0.3,0.18181818181818182,0.2631578947368421,0.1,,0.5,0.4444444444444444,,,0.1111111111111111,0.4444444444444444,0.5,0.5,1.0,0.5,,0.8888888888888888,0.5,0.5597888888888889,0.5871833333333334,,,0.625,3.3200000000000003,26.25,0.58,,2.0,,2.0,,,,2.0,,,2.0,2.0,,,,,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,0.2222222222222222,,0.3333333333333333,,0.2,0.4,,0.3333333333333333,1.0,,1.0,,0.6167,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628778,1610612761,Paul Watson,Paul Watson,1628778,TOR,347.0,6,2.0,13,13,1.0,11,2.0,26,1.0,1.0,,,,,,1.0,1.0,,,,2.0,18,,,,,,,,,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,6.666666666666667,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,0.7865,,,,,1.1,,0.07692307692307693,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629744,1610612761,Matt Thomas,Matt Thomas,1629744,TOR,1674.0,28,10.0,63,62,29.0,37,7.0,125,1.0,1.0,,,,1.0,4.0,3.0,3.0,2.0,5.0,,12.0,71,1.0,1.0,2.0,,6.0,,4.0,1.0,,1.0,3.0,4.0,3.0,,1.0,,11.0,,2.0,5.0,,5.0,1.0,1.0,1.0,2.0,,,,,,2.0,29.0,1.0,1.0,0.4,0.4,1.0,1.0,0.75,0.5,0.75,0.5,0.625,,,12.67605633802817,0.15384615384615385,,0.20833333333333334,,,0.14285714285714285,0.125,1.0,1.0,,0.5,0.25,0.3333333333333333,1.0,,,0.75,0.25,0.5123125000000001,0.454175,,,0.16666666666666666,14.033333333333333,26.660000000000004,0.4603174603174603,,,,,,,,6.0,,,3.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,0.2727272727272727,,,,0.2,0.14285714285714285,0.5,,,1.0,,,,,,,1.0,,1.0,,,,,,,,0.5,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.25,1.0,1.0,1.0,0.125,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629056,1610612761,Terence Davis,Terence Davis,1629056,TOR,1077.0,18,-1.0,41,40,28.0,26,3.0,81,,,,,1.0,3.0,4.0,,1.0,3.0,6.0,6.0,15.0,45,,1.0,9.0,,9.0,,4.0,3.0,,1.0,,1.0,,,,,2.0,,2.0,3.0,,3.0,1.0,2.0,2.0,1.0,,3.0,6.0,,2.0,9.0,28.0,,1.0,0.5,0.5,,,0.6428571428571429,0.5,0.75,0.75,0.8571428571428571,,,26.666666666666664,0.2,,0.15789473684210525,,,,,,,0.14285714285714285,0.5714285714285714,0.75,0.75,1.0,,,0.8571428571428571,0.75,0.5035428571428572,0.4567333333333334,0.2222222222222222,0.6666666666666666,0.6,4.4,25.733333333333334,0.6829268292682927,,,,,,,6.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,0.5,0.1111111111111111,,,,0.3333333333333333,,0.25,,,,,,,,,1.0,2.0,1.0,2.0,,,,0.5,,,,0.6666666666666666,0.5,,,,2.0,,,,,,,,,,,0.2857142857142857,,,,,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201586,1610612761,Serge Ibaka,Serge Ibaka,201586,TOR,1009.0,17,5.0,34,37,6.0,9,4.0,71,2.0,2.0,,,2.0,,2.0,3.0,5.0,,2.0,,6.0,38,,1.0,,2.0,,,2.0,,,,1.0,1.0,1.0,,,,3.0,1.0,2.0,4.0,1.0,5.0,,1.0,,1.0,,,,,,,6.0,,,,,0.6,,0.42857142857142855,,0.42857142857142855,,0.2857142857142857,,,21.05263157894737,0.25,0.14285714285714285,0.2,0.05555555555555555,0.25,0.2,0.2857142857142857,1.0,1.0,0.2857142857142857,0.2857142857142857,,,,,,0.5714285714285714,,0.5139214285714285,0.4123,,,,8.139999999999999,25.450000000000003,0.17647058823529413,1.0,1.0,1.0,1.0,,2.0,,4.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,,,,1.0,0.2,,,1.0,0.5,1.0,1.0,0.6405,0.3333333333333333,1.0,,,,,,1.0,,,0.5,0.5,1.0,,,,1.0,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,1.0,0.5,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626181,1610612761,Norman Powell,Norman Powell,1626181,TOR,1195.0,20,8.0,42,42,24.0,24,4.0,84,4.0,5.0,1.0,2.0,,2.0,5.0,4.0,5.0,2.0,5.0,,14.0,45,1.0,2.0,8.0,2.0,6.0,,5.0,2.0,,2.0,,2.0,,,1.0,1.0,4.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,8.0,24.0,,1.0,0.4,0.4,0.8,0.5,0.7,0.8,0.7,0.8,0.5,,,23.913043478260867,,,0.058823529411764705,,,,0.5,0.8,0.8,,0.5,0.4,0.4,1.0,0.4,0.5,1.0,0.4,0.51902,0.49715,,,0.5714285714285714,2.28,27.96,0.5714285714285714,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,0.75,0.75,,,,,0.14285714285714285,,,,,0.2,,,,0.75,,,,,,2.0,3.0,2.0,3.0,,,,0.6666666666666666,,,,0.6,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627783,1610612761,Pascal Siakam,Pascal Siakam,1627783,TOR,417.0,7,,13,14,6.0,7,1.0,27,1.0,1.0,1.0,1.0,1.0,,,2.0,3.0,,,2.0,6.0,17,2.0,2.0,4.0,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,,,,1.0,2.0,,1.0,4.0,6.0,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,1.0,,,,26.666666666666668,,,,0.16666666666666666,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,0.5,1.0,0.3333333333333333,,0.4787333333333333,0.5103500000000001,0.25,0.25,0.6666666666666666,8.9,,0.46153846153846156,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627832,1610612761,Fred VanVleet,Fred VanVleet,1627832,TOR,687.0,11,1.0,23,25,3.0,6,1.0,48,1.0,2.0,,1.0,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,6.0,26,,1.0,,2.0,3.0,,2.0,1.0,,4.0,,4.0,,,3.0,,8.0,,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,3.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.5,,0.6,,0.6,,,20.833333333333336,0.2,,0.18181818181818182,,,,0.4,0.5,0.5,,0.4,0.5,0.5,1.0,1.0,,1.0,0.5,0.5143000000000001,0.3308,0.2,0.5,,2.7,25.866666666666664,0.13043478260869565,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,0.2,,,,,1.0,,,0.5,,,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
