EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,ThreePtAssists,Arc3Assists,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,SecondChanceFg2Pct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,PenaltyAtRimFGM,PtsPutbacks,Fg2aBlocked,SelfOReb,BadPassTurnovers,Charge Fouls,FG2APctBlocked,AtRimPctBlocked,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,ShortMidRangePctBlocked,Corner3Assists,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,LostBallSteals,on,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,BlockedShortMidRange,Travels,Charge Fouls Drawn,SecondChanceCorner3FGA,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct
1626209,1610612757,Mario Hezonja,Mario Hezonja,1626209,POR,1513.0,25,24,53,52,24,25,11,105,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,7.0,2.0,3.0,14.0,43,3.0,3.0,1.0,6.0,2.0,6.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,8.0,4.0,1.0,1.0,6,6,2.0,2.0,2.0,2.0,1.0,6.0,24,1.0,0.25,0.25,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.7,0.75,0.7,0.75,0.3,18.75,1.0,0.5,0.125,0.25,0.20833333333333334,0.5,0.25,0.25,0.2,0.3,1.0,1.0,0.2,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.6666666666666666,0.515155,0.43852499999999994,0.42857142857142855,8.742857142857142,25.266666666666666,0.4528301886792453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629014,1610612757,Anfernee Simons,Anfernee Simons,1629014,POR,1891.0,32,23,65,66,31,29,13,131,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,6.0,5.0,7.0,24.0,59,1.0,3.0,2.0,10.0,2.0,2.0,3.0,12.0,4.0,3.0,4.0,5.0,1.0,1.0,2.0,11.0,2.0,2.0,,4,4,1.0,1.0,3.0,1.0,,10.0,31,,0.5,0.5,0.2,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.3333333333333333,0.7307692307692307,0.8,0.8,0.8333333333333334,0.5384615384615384,23.076923076923077,0.3333333333333333,,0.2,0.1,0.13333333333333333,,0.07142857142857142,0.16666666666666666,0.07692307692307693,0.15384615384615385,0.5,0.5,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.3076923076923077,0.75,0.75,,0.2,0.6153846153846154,0.75,0.49788076923076924,0.54845,0.4166666666666667,13.133333333333333,24.685714285714283,0.47692307692307695,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,6.0,2.0,2.0,2.0,1.0,1.0,1.5,2.0,1.0,0.2,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.2,0.2,1.0,1.0,0.26666666666666666,0.25,0.2857142857142857,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629018,1610612757,Gary Trent Jr.,Gary Trent Jr.,1629018,POR,1027.0,17,-7,35,39,14,18,6,74,1.0,,,,3.0,1.0,1.0,,,4.0,1.0,1.0,3.0,48,,1.0,,,,,,3.0,1.0,1.0,,1.0,,,,3.0,2.0,,,2,2,,,,,,,14,,,,,1.0,1.0,,,0.3,,0.3,,0.2,11.11111111111111,,,,0.2857142857142857,0.14285714285714285,,,0.6666666666666666,0.2,,,,0.6,,,,0.2,1.0,1.0,,,0.4,1.0,0.41018,0.2911,,15.475,24.8,0.4,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629117,1610612757,Wenyen Gabriel,Wenyen Gabriel,1629117,POR,1161.0,19,11,39,37,10,11,8,76,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,6.0,1.0,3.0,12.0,30,1.0,1.0,2.0,5.0,8.0,,3.0,,3.0,1.0,,,,,,,1.0,,,1,4,1.0,1.0,3.0,5.0,,5.0,10,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6111111111111112,0.8333333333333334,0.6,0.8333333333333334,0.3333333333333333,27.659574468085108,0.3333333333333333,,,0.07692307692307693,0.05263157894736842,,,0.25,0.3333333333333333,0.2222222222222222,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.45851666666666663,0.4422,0.4166666666666667,7.6000000000000005,25.46666666666667,0.2564102564102564,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,,,,2.0,2.0,1.0,2.0,,,,4.0,2.0,,1.0,,1.0,0.5,0.8333333333333334,0.75,,,,,,,0.3333333333333333,1.0,,,,0.5,0.1,0.14285714285714285,,0.5,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.18181818181818182,0.125,0.15789473684210525,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.4444,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629658,1610612757,Jaylen Hoard,Jaylen Hoard,1629658,POR,2485.0,41,12,84,87,34,38,17,171,11.0,,,1.0,1.0,,,,7.0,12.0,,,14.0,92,6.0,8.0,,12.0,10.0,4.0,,,,,1.0,1.0,1.0,,,2.0,2.0,2.0,,4,9,1.0,,2.0,5.0,,12.0,34,1.0,0.7142857142857143,1.0,,,,0.5833333333333334,0.75,0.5833333333333334,0.75,0.5833333333333334,0.75,,13.333333333333332,0.5,,0.14285714285714285,0.08695652173913043,0.10810810810810811,0.16666666666666666,0.13333333333333333,,0.9166666666666666,,,,0.08333333333333333,1.0,1.0,1.0,,,,,,0.9166666666666666,,0.5733416666666667,0.5754625,0.8571428571428571,3.133333333333333,,0.40476190476190477,7.0,,,,,,,,,,,,6.0,,,,,,,,1.0,,,,1.0,,,,,,,0.75,0.75,,0.2,,,,,,,0.875,,,,,,,0.42857142857142855,6.0,4.0,3.0,4.0,1.0,4.0,5.0,1.0,1.0,,1.0,,0.75,0.12121212121212122,0.09090909090909091,0.11363636363636363,0.2,,0.1,0.5454545454545454,0.6,0.6666666666666666,,1.0,,0.5791,3.0,5.0,4.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.09090909090909091,0.125,0.25,0.75,0.3333333333333333,0.7142857142857143,,,,,,True,,,,,,,,,,,,,,,,,,,,
1629121,1610612757,Jaylen Adams,Jaylen Adams,1629121,POR,1244.0,21,22,42,42,18,19,10,84,4.0,,1.0,,,,4.0,1.0,3.0,5.0,,4.0,6.0,34,3.0,4.0,1.0,6.0,2.0,4.0,,,4.0,,1.0,2.0,,,1.0,5.0,1.0,1.0,,2,3,,,,1.0,,6.0,18,,0.3333333333333333,0.3333333333333333,,,,0.6,0.75,0.3333333333333333,0.6,0.3333333333333333,0.6,0.4444444444444444,17.307692307692307,,,0.14285714285714285,0.08333333333333333,0.10526315789473684,,0.125,,0.4444444444444444,0.1111111111111111,,,,,,,0.4444444444444444,,,,0.2,0.8888888888888888,,0.5513499999999999,0.5976699999999999,1.0,2.56,26.225,0.42857142857142855,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,0.2,,,,,,,0.6,,,,,,,,3.0,,,,1.0,,1.0,,1.0,,,1.0,,,0.125,0.05555555555555555,,,0.14285714285714285,0.75,0.75,0.3333333333333333,,,,,,3.0,,1.0,,,,0.2,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,
203468,1610612757,CJ McCollum,CJ McCollum,203468,POR,1114.0,19,-10,37,41,16,19,7,78,3.0,1.0,4.0,,2.0,2.0,3.0,,3.0,9.0,2.0,3.0,15.0,56,2.0,5.0,,6.0,,6.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,,,7.0,2.0,,,2,5,2.0,1.0,3.0,,,6.0,16,,,,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.5,0.4,0.5357142857142857,0.5,0.25,35.41666666666667,0.6666666666666666,,,0.2222222222222222,0.13333333333333333,,0.2,0.25,0.25,0.3333333333333333,0.25,0.3333333333333333,0.16666666666666666,,,,0.25,0.6666666666666666,0.6666666666666666,0.5,,0.5,0.6666666666666666,0.46061250000000004,0.44702000000000003,0.4,8.433333333333334,25.066666666666666,0.43243243243243246,2.0,,,,,1.0,1.0,,3.0,1.0,1.0,2.0,7.0,,2.0,1.0,,,,,1.0,,2.0,,3.0,4.0,,2.0,,1.0,,0.8333333333333334,0.875,,,,,,,0.3333333333333333,1.0,0.4,,,,0.14285714285714285,0.18181818181818182,,0.4666666666666667,2.0,1.0,1.0,2.0,,3.0,3.0,1.0,,,,,0.5,0.15,,0.13043478260869565,0.14285714285714285,,,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,,0.4764,1.0,2.0,2.0,1.0,1.0,1.0,,0.1111111111111111,,0.3333333333333333,0.16666666666666666,1.0,,1.0,0.25,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,
202355,1610612757,Hassan Whiteside,Hassan Whiteside,202355,POR,318.0,5,5,10,11,5,5,3,21,,,,,,,,,,,,,,12,,,,,,,,,,,,1.0,,,,3.0,,2.0,1.0,3,3,,,,1.0,,,5,,,,,,,,,,,,,,,,0.5,1.0,,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2546,1610612757,Carmelo Anthony,Carmelo Anthony,2546,POR,985.0,16,-4,33,35,12,17,6,68,,,2.0,2.0,4.0,1.0,1.0,,2.0,6.0,1.0,1.0,9.0,48,,1.0,,,,4.0,3.0,,1.0,1.0,,1.0,,,,3.0,3.0,,1.0,4,4,1.0,1.0,2.0,2.0,,,12,,,,1.0,1.0,1.0,0.3333333333333333,,0.5,,0.5625,,0.14285714285714285,23.25581395348837,0.5,1.0,,0.375,0.21428571428571427,,0.4,0.3333333333333333,,0.2857142857142857,,,0.5714285714285714,0.5,0.5,,0.14285714285714285,1.0,1.0,1.0,,0.14285714285714285,1.0,0.4284071428571429,0.4092,,15.983333333333334,24.5,0.36363636363636365,,,,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,2.0,3.0,,2.0,,,,,0.5,,,,,,,,,,,,,0.25,0.2857142857142857,,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,0.16666666666666666,,,,,,,0.5,,,1.0,,True,,,,,,,,,,,,,,,,,,,,
203994,1610612757,Jusuf Nurkic,Jusuf Nurkic,203994,POR,687.0,11,-16,22,25,6,9,4,47,4.0,,1.0,,1.0,1.0,2.0,,2.0,6.0,1.0,2.0,7.0,38,,2.0,,,,4.0,3.0,,2.0,1.0,,,,,,,,2.0,,2,5,,,,,,,6,,,,1.0,0.5,0.5,0.3333333333333333,,0.4375,,0.4375,,0.25,26.666666666666668,,,0.5,,0.25,,,,0.5,0.125,,,0.125,,,,0.25,0.5,0.5,1.0,,0.75,0.5,0.5203625000000001,0.49315,,5.466666666666666,25.35,0.2727272727272727,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.5,,,,,,,0.2857142857142857,2.0,2.0,1.0,3.0,,3.0,3.0,,,,,,0.3333333333333333,0.1875,,0.17647058823529413,0.3333333333333333,,,0.5,0.5,,,0.6666666666666666,,0.4936666666666667,1.0,,2.0,,1.0,,,,,0.25,0.2,0.5,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,
