EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,LostBallSteals,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,BlockingFouls,Offensive Fouls Drawn,SecondChanceFg3Pct,AtRimPctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,ShortMidRangeFGM,HeaveAttempts,StepOutOfBoundsTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Offensive Fouls,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Charge Fouls Drawn,Charge Fouls,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedLongMidRange
101141,1610612755,Ersan Ilyasova,Ersan Ilyasova,101141,PHI,4532.0,76,26.0,154,157,75,87.0,23.0,311,9.0,16.0,3.0,7.0,4.0,9.0,6.0,1.0,1.0,1.0,6.0,3.0,9.0,23.0,7.0,8.0,26.0,137.0,3.0,11.0,2.0,8.0,4.0,11.0,4.0,3.0,11.0,12.0,6.0,6.0,6.0,3.0,1.0,5.0,5.0,4.0,1.0,10.0,1.0,9.0,1.0,5.0,11.0,2.0,18.0,11.0,29.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,11.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,11.0,75,2.0,3.0,0.6666666666666666,1.0,0.391304347826087,0.2727272727272727,0.36363636363636365,0.3,0.2727272727272727,0.26666666666666666,0.37142857142857144,0.3333333333333333,0.3055555555555556,0.23333333333333334,0.14285714285714285,0.13043478260869565,0.3333333333333333,1.0,0.16666666666666666,20.652173913043477,0.6666666666666666,0.3333333333333333,0.2,0.20754716981132076,0.17647058823529413,0.16129032258064516,0.03571428571428571,0.19047619047619047,0.12658227848101267,0.2,0.19047619047619047,0.13333333333333333,0.04,0.17647058823529413,0.18181818181818182,0.2857142857142857,0.17857142857142858,0.25,0.5333333333333333,0.5625,0.5625,0.6666666666666666,0.2,0.03333333333333333,0.03333333333333333,0.2,0.6363636363636364,0.42857142857142855,0.6,0.4444444444444444,0.06666666666666667,0.2,0.7666666666666667,0.543765,0.5385500000000001,0.5305633333333334,0.09375,0.12,0.3076923076923077,0.4230769230769231,3.634782608695652,25.857142857142858,0.487012987012987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
101161,1610612755,Amir Johnson,Amir Johnson,101161,PHI,670.0,11,7.0,22,21,16,14.0,4.0,43,1.0,3.0,,1.0,1.0,3.0,,,,,,,1.0,3.0,,,2.0,21.0,,1.0,,,1.0,3.0,,,2.0,2.0,,,,,,,2.0,,,6.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,16,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,10.714285714285714,,,,,0.125,,,,0.08333333333333333,0.25,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,,1.0,0.3333333333333333,,,1.0,0.6422,0.4908,0.6422,,,,1.0,1.1666666666666667,,0.7272727272727273,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1626147,1610612755,Justin Anderson,Justin Anderson,1626147,PHI,1233.0,21,4.0,42,42,26,18.0,2.0,84,1.0,1.0,,,1.0,1.0,,,1.0,,4.0,3.0,1.0,1.0,5.0,,5.0,41.0,,,,,1.0,1.0,3.0,,5.0,2.0,,,4.0,,,,,,,,,,,4.0,1.0,1.0,6.0,,6.0,,1.0,,2.0,1.0,,1.0,,2.0,,1.0,3.0,6.0,,,,,,,,,,,,,5.0,25,,,1.0,1.0,1.0,,1.0,0.4166666666666667,,0.625,0.4166666666666667,,0.625,0.8333333333333334,,,,,,18.181818181818183,1.0,0.25,,0.1,,0.3333333333333333,,0.22727272727272727,,,,,,,,0.25,0.3,,0.16666666666666666,1.0,1.0,1.0,,,0.16666666666666666,0.6666666666666666,,,0.25,1.0,,0.75,1.0,0.5348666666666667,,0.5161374999999999,,,,1.0,1.8,24.740000000000002,0.6190476190476191,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.2,0.5,0.25,0.25,1.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
200755,1610612755,JJ Redick,JJ Redick,200755,PHI,6926.0,115,39.0,229,230,75,95.0,25.0,459,4.0,6.0,,,1.0,1.0,2.0,12.0,5.0,1.0,20.0,8.0,10.0,20.0,25.0,5.0,55.0,221.0,,,,3.0,2.0,4.0,9.0,5.0,18.0,18.0,2.0,,20.0,3.0,,4.0,7.0,3.0,,17.0,,,,2.0,2.0,,4.0,,4.0,,3.0,3.0,3.0,3.0,2.0,,1.0,5.0,,3.0,5.0,7.0,,8.0,,,7.0,1.0,1.0,3.0,1.0,1.0,,1.0,18.0,74,,3.0,0.9,0.9,0.5,,0.5,0.5555555555555556,0.75,0.5,0.5729166666666666,0.75,0.5625,0.5555555555555556,,0.15,0.5,,,20.622568093385215,0.6,,,0.0273972602739726,,0.0425531914893617,,0.03333333333333333,,,,,,,0.06060606060606061,,0.024390243902439025,,0.13333333333333333,0.6666666666666666,1.0,1.0,0.044444444444444446,0.26666666666666666,0.1111111111111111,0.4444444444444444,,,0.07692307692307693,1.0,0.07692307692307693,0.6153846153846154,0.6888888888888889,0.49509,0.48675,0.5201653846153846,0.022222222222222223,0.05,0.05454545454545454,0.32727272727272727,13.725,25.863999999999997,0.32751091703056767,3.0,2.0,6.0,2.0,10.0,3.0,30.0,6.0,,1.0,0.4,0.3333333333333333,0.4,0.16666666666666666,0.3,0.3,1.0,0.25,0.3,6.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.8333333333333334,0.8,0.8,1.0,0.5,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,
204456,1610612755,T.J. McConnell,T.J. McConnell,204456,PHI,9302.0,155,40.0,309,314,130,150.0,38.0,623,14.0,17.0,3.0,4.0,4.0,7.0,14.0,2.0,1.0,,2.0,2.0,23.0,33.0,3.0,3.0,55.0,302.0,3.0,4.0,2.0,8.0,8.0,16.0,2.0,3.0,22.0,12.0,34.0,2.0,1.0,,,14.0,23.0,12.0,1.0,55.0,3.0,3.0,,6.0,12.0,2.0,20.0,6.0,26.0,1.0,6.0,4.0,4.0,3.0,2.0,1.0,,6.0,,4.0,7.0,13.0,,8.0,,,5.0,3.0,3.0,1.0,,,,,22.0,128,2.0,1.0,0.2608695652173913,0.2727272727272727,0.696969696969697,0.75,0.5,0.7222222222222222,0.75,0.5277777777777778,0.7432432432432432,0.8,0.5789473684210527,0.08333333333333333,,,,,,12.112676056338028,0.6666666666666666,0.15384615384615385,,0.11764705882352941,0.031914893617021274,0.1,0.061224489795918366,0.1111111111111111,0.04195804195804196,0.04,0.041666666666666664,,0.06818181818181818,0.1282051282051282,0.10256410256410256,0.125,0.09615384615384616,0.125,0.4722222222222222,0.8235294117647058,0.8235294117647058,0.21428571428571427,0.3888888888888889,0.05555555555555555,0.027777777777777776,0.05555555555555555,1.0,0.75,0.3888888888888889,0.5714285714285714,,0.1111111111111111,0.5555555555555556,0.4869,0.52755,0.4517176470588235,0.08333333333333333,0.09090909090909091,0.14545454545454545,0.4,6.581818181818182,40.166666666666664,0.42071197411003236,9.0,8.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,1.0,0.6666666666666666,0.5,1.0,0.125,0.5,0.5,1.0,0.5,1.0,,1.0,,,,,,,1.0,1.0,1.0,,3.0,,,,,,1.0,1.0,1.0,,,,,,9.0,1.0,1.0,0.6428571428571429,0.6428571428571429,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,
201158,1610612755,Marco Belinelli,Marco Belinelli,201158,PHI,4014.0,67,33.0,132,136,75,77.0,19.0,268,6.0,7.0,,,2.0,3.0,2.0,6.0,,,11.0,7.0,7.0,15.0,11.0,3.0,29.0,120.0,,,,,2.0,8.0,7.0,2.0,15.0,14.0,,,11.0,1.0,,5.0,10.0,2.0,1.0,25.0,,,,2.0,3.0,1.0,6.0,,6.0,,3.0,2.0,,,1.0,,,1.0,,1.0,2.0,4.0,,4.0,,,3.0,1.0,1.0,,,,,,15.0,75,,,1.0,1.0,0.4666666666666667,,0.25,0.5,,0.43333333333333335,0.5192307692307693,,0.43333333333333335,0.4230769230769231,,0.06666666666666667,0.5,,,17.088607594936708,,0.25,,0.05172413793103448,,0.1,,0.0641025641025641,,,,,,,0.08,0.08333333333333333,0.1111111111111111,,0.2692307692307692,0.8571428571428571,0.8571428571428571,1.0,0.07692307692307693,0.23076923076923078,,0.4230769230769231,,,0.2,0.6666666666666666,,0.4666666666666667,0.6923076923076923,0.5375730769230769,0.5821,0.5449733333333333,0.038461538461538464,0.06666666666666667,,0.5172413793103449,9.520000000000001,26.272727272727273,0.5681818181818182,5.0,4.0,4.0,3.0,4.0,3.0,9.0,4.0,1.0,0.75,0.36363636363636365,0.42857142857142855,0.36363636363636365,,0.36363636363636365,0.36363636363636365,0.75,0.42857142857142855,0.36363636363636365,,,,,,3.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,0.5,1.0,1.0,3.0,2.0,,,,,,,,,,,,True,,,,,,
1627732,1610612755,Ben Simmons,Ben Simmons,1627732,PHI,3642.0,61,-21.0,119,124,38,56.0,14.0,243,7.0,11.0,1.0,1.0,1.0,2.0,13.0,2.0,,,,,11.0,26.0,,8.0,30.0,137.0,1.0,1.0,,2.0,3.0,6.0,,8.0,14.0,16.0,6.0,,,2.0,,7.0,9.0,5.0,,20.0,1.0,2.0,1.0,7.0,7.0,1.0,15.0,4.0,19.0,,1.0,,3.0,3.0,4.0,,1.0,7.0,2.0,1.0,3.0,5.0,,7.0,,,10.0,,1.0,4.0,,,,,10.0,36,,2.0,0.7272727272727273,0.7272727272727273,0.4230769230769231,1.0,0.5,0.4230769230769231,1.0,0.5,0.4838709677419355,1.0,0.6363636363636364,,,0.07692307692307693,0.07692307692307693,,,27.941176470588232,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.21212121212121213,0.05,0.2916666666666667,0.058823529411764705,0.24561403508771928,0.05263157894736842,0.15384615384615385,,,0.06666666666666667,0.2,0.3,0.125,0.3,,0.4230769230769231,0.6363636363636364,0.7,0.8571428571428571,0.5,0.07692307692307693,,,1.0,1.0,0.3333333333333333,0.5,,,0.4230769230769231,0.47385769230769237,0.7842,0.40051666666666663,0.037037037037037035,0.037037037037037035,0.06666666666666667,0.4666666666666667,5.838461538461539,,0.31932773109243695,2.0,1.0,,,,,,,1.0,,,,,0.25,,,,,,,,,,,,,,1.0,2.0,2.0,,,,0.09090909090909091,,,,,,,,,,,,4.0,,1.0,0.3076923076923077,0.3333333333333333,0.5,,,1.0,,,,,,,,,,,True,,,,,,
203496,1610612755,Robert Covington,Robert Covington,203496,PHI,3286.0,55,17.0,115,117,64,71.0,18.0,232,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,7.0,3.0,3.0,7.0,9.0,1.0,22.0,110.0,1.0,1.0,1.0,6.0,1.0,4.0,5.0,1.0,9.0,4.0,2.0,,7.0,,,5.0,7.0,3.0,,16.0,,2.0,,4.0,8.0,2.0,14.0,2.0,16.0,,2.0,1.0,3.0,1.0,,2.0,,3.0,,2.0,3.0,7.0,,1.0,,,2.0,,,1.0,2.0,2.0,,2.0,9.0,62,1.0,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,1.0,0.25,0.65625,1.25,0.4444444444444444,0.6470588235294118,1.0,0.45,0.5625,,,,,,14.705882352941176,1.0,0.4,,0.2,0.05555555555555555,0.23529411764705882,,0.21052631578947367,0.03636363636363636,0.08333333333333333,0.05,,,0.15789473684210525,0.36363636363636365,0.1,0.2,,0.25,0.5,0.5,0.5,0.125,0.0625,0.125,0.4375,0.5,1.0,0.2222222222222222,0.5,0.2222222222222222,0.3333333333333333,0.8125,0.5554625,0.6733,0.5539444444444445,,,0.2727272727272727,0.4090909090909091,7.042857142857144,26.0,0.5565217391304348,2.0,2.0,3.0,,5.0,2.0,15.0,3.0,1.0,1.0,0.5555555555555556,0.4,0.5555555555555556,0.5,0.42857142857142855,0.42857142857142855,1.0,,0.42857142857142855,1.0,2.0,,,2.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,0.5,1.0,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,True,,,,,,
1626158,1610612755,Richaun Holmes,Richaun Holmes,1626158,PHI,231.0,4,4.0,8,7,6,4.0,1.0,15,,,,,,,,1.0,,,,,,1.0,,,,8.0,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,11.11111111111111,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.3662,,0.3662,,,,,16.6,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201573,1610612755,Jerryd Bayless,Jerryd Bayless,201573,PHI,73.0,1,2.0,2,2,2,2.0,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
