EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,SecondChanceFG2A,OffThreePtRebounds,OffRebounds,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,FG3M,FtPoints,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,LostBallTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,PenaltyCorner3FGM,Arc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3M,NonHeaveArc3FGA,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,DeadBallTurnovers,Travels,ShootingFouls,Loose Ball Fouls Drawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGA,NonHeaveArc3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,ShortMidRangeAssists,SelfOReb,LostBallSteals,2pt And 1 Free Throw Trips,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,PenaltyArc3FGM,PtsUnassisted3s,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,OffCorner3ReboundPct,Offensive Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,HeaveAttempts,BlockingFouls,Charge Fouls,Loose Ball Fouls,BlockedShortMidRange,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,3SecondViolations,SecondChanceCorner3FGM,SecondChanceFG3M,Technical Free Throw Trips,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGA,SecondChanceArc3Frequency
1626145,1610612750,Tyus Jones,Tyus Jones,1626145,MIN,2213.0,37,2.0,70,72,27,23,7,142,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4,2.0,2.0,67,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,5.0,2.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,26,1.0,1.0,0.25,0.5,0.16666666666666666,0.25,0.16666666666666666,0.25,0.3333333333333333,0.5,0.3333333333333333,1.0,8.974358974358974,1.0,0.16666666666666666,0.17857142857142858,0.175,0.2,0.3333333333333333,0.16666666666666666,0.25,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,0.3333333333333333,1.0,0.5,0.5,0.5,0.8333333333333334,0.6687416666666666,0.80805,0.7115625,1.0,1.825,22.9,0.38571428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
1627875,1610612750,Marcus Georges-Hunt,Marcus Georges-Hunt,1627875,MIN,168.0,3,-3.0,6,8,6,8,1,14,,1.0,,1.0,,,,,,1,,,7,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,6,,,,,,,,,,,,,14.285714285714285,,,,,,,,,1.0,,,,,,,1.0,,,1.0,0.8083,,0.8083,,0.6,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201565,1610612750,Derrick Rose,Derrick Rose,201565,MIN,2201.0,37,-15.0,74,76,15,28,5,150,3.0,7.0,,1.0,1.0,1.0,,,6.0,14,1.0,18.0,88,,,2.0,,2.0,,1.0,2.0,1.0,3.0,1.0,2.0,,7.0,3.0,,3.0,3.0,,,3.0,2.0,3.0,,14,,,0.42857142857142855,,0.5,,0.5294117647058824,0.3333333333333333,0.06666666666666667,0.07142857142857142,0.14285714285714285,,25.0,1.0,,0.15789473684210525,0.08823529411764706,,,0.2,,0.4666666666666667,0.42857142857142855,0.5,,0.06666666666666667,0.06666666666666667,,0.5,,,0.5333333333333333,0.5280266666666666,0.3696,0.3482,0.1111111111111111,9.457142857142857,23.2,0.20270270270270271,,1.0,,,,,,,3.0,6.0,1.0,1.0,3.0,2.0,12.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5,1.0,1.0,1.0,0.0625,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
203476,1610612750,Gorgui Dieng,Gorgui Dieng,203476,MIN,4215.0,70,-1.0,136,143,47,54,14,279,1.0,3.0,,,5.0,4.0,,2.0,4.0,13,5.0,17.0,136,,2.0,2.0,2.0,8.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,,9.0,7.0,6.0,15.0,18.0,2.0,2.0,,,1.0,8.0,46,0.5,0.5,0.3076923076923077,1.0,0.3888888888888889,0.875,0.425,0.8,0.2777777777777778,0.07692307692307693,0.3333333333333333,,13.72549019607843,,0.20689655172413793,0.14583333333333334,0.16883116883116883,0.21428571428571427,0.2,0.175,,0.16666666666666666,0.3333333333333333,0.5,,0.2777777777777778,0.2222222222222222,,,,0.5,0.4444444444444444,0.4921333333333334,0.47395,0.45371249999999996,0.47058823529411764,9.830769230769231,23.619999999999997,0.34558823529411764,1.0,2.0,,3.0,,0.028985507246376812,,0.5,1.0,5.0,2.0,2.0,3.0,1.0,4.0,6.0,,6.0,3.0,4.0,1.0,1.0,1.0,0.4,0.4,0.2777777777777778,0.2,0.2,0.5,0.5,1.0,0.05263157894736842,0.07142857142857142,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.4,0.1111111111111111,0.0392156862745098,0.0625,0.06666666666666667,0.2,0.25,0.4,0.4,0.5,1.0,0.05555555555555555,0.5,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
2037,1610612750,Jamal Crawford,Jamal Crawford,2037,MIN,3158.0,53,-2.0,105,111,37,48,11,216,2.0,4.0,1.0,1.0,7.0,2.0,,,7.0,16,7.0,25.0,112,,2.0,6.0,2.0,5.0,6.0,,3.0,1.0,4.0,,3.0,,9.0,5.0,1.0,6.0,7.0,1.0,1.0,,,2.0,5.0,36,0.42857142857142855,0.42857142857142855,0.4375,0.3333333333333333,0.43478260869565216,0.25,0.46296296296296297,0.2777777777777778,0.30434782608695654,,,,24.786324786324787,,0.05263157894736842,0.15151515151515152,0.11538461538461539,0.125,,0.1111111111111111,0.3333333333333333,0.17391304347826086,0.5,0.5,0.5,0.30434782608695654,0.08695652173913043,,0.125,1.0,,0.4782608695652174,0.45911521739130434,0.42300000000000004,0.4743375,0.2,10.399999999999999,25.5,0.3523809523809524,1.0,2.0,,1.0,,,,0.5,2.0,5.0,1.0,2.0,5.0,1.0,8.0,6.0,,2.0,4.0,8.0,4.0,,1.0,0.2857142857142857,0.2857142857142857,0.21739130434782608,0.4,0.4,0.5,0.5,1.0,0.14814814814814814,0.2,3.0,,5.0,,,,5.0,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,0.125,,,,,,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.5,0.21739130434782608,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.2,0.2,1.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
201166,1610612750,Aaron Brooks,Aaron Brooks,201166,MIN,159.0,3,,6,6,6,6,2,12,2.0,2.0,2.0,2.0,,,,,2.0,2,1.0,4.0,4,,2.0,2.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,4.0,6,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,50.0,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,,,,0.6666666666666666,1.0,,1.0,0.5383166666666667,,0.5383166666666667,1.0,1.55,27.2,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
202357,1610612750,Nemanja Bjelica,Nemanja Bjelica,202357,MIN,1853.0,31,-15.0,65,67,25,31,8,132,2.0,5.0,,1.0,1.0,,,,3.0,6,4.0,16.0,71,,1.0,2.0,,3.0,2.0,,2.0,,2.0,,,,4.0,6.0,1.0,8.0,12.0,2.0,1.0,1.0,,1.0,3.0,25,0.3333333333333333,0.5,0.5,0.5,0.6,0.5,0.6666666666666666,0.75,0.4,,,,17.808219178082194,1.0,0.08333333333333333,0.2727272727272727,0.20588235294117646,,0.3333333333333333,0.2222222222222222,0.5,0.5,0.4,0.4,0.5,0.1,,,0.5,,,0.9,0.577055,0.5659333333333333,0.4193,0.1875,1.45,26.325,0.38461538461538464,2.0,3.0,1.0,4.0,0.1111111111111111,0.10810810810810811,0.125,0.6666666666666666,,,,2.0,4.0,1.0,4.0,6.0,1.0,5.0,3.0,5.0,3.0,,1.0,0.5,0.5,,,,,,,0.25,0.375,1.0,,4.0,2.0,7.0,,4.0,3.0,,1.0,,,2.0,,,,,,,,2.0,,,0.6666666666666666,0.6666666666666666,0.875,0.5,,0.10714285714285714,,0.1,,,1.0,1.0,,,0.4,,0.4375,2.0,,2.0,,,1.0,,0.5,0.5,1.0,,0.5,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.18181818181818182,0.4,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
203952,1610612750,Andrew Wiggins,Andrew Wiggins,203952,MIN,2703.0,45,9.0,87,92,35,42,10,179,5.0,6.0,2.0,2.0,5.0,,,,8.0,20,3.0,25.0,81,,5.0,9.0,2.0,16.0,10.0,1.0,1.0,1.0,2.0,,1.0,,5.0,9.0,1.0,10.0,10.0,1.0,1.0,1.0,,1.0,16.0,34,0.625,0.625,0.4,0.5555555555555556,0.41304347826086957,0.5909090909090909,0.46296296296296297,0.6153846153846154,0.13043478260869565,0.05,0.16666666666666666,,28.571428571428573,1.0,0.045454545454545456,0.25,0.1724137931034483,,0.5,0.24242424242424243,0.3333333333333333,0.2608695652173913,0.8333333333333334,1.0,0.8,0.21739130434782608,,,0.18181818181818182,1.0,,0.391304347826087,0.46447608695652165,,0.46649545454545455,0.64,10.655,25.633333333333336,0.40229885057471265,,,,,,,,,3.0,9.0,,1.0,6.0,3.0,6.0,,1.0,,6.0,10.0,4.0,,,0.3333333333333333,0.3333333333333333,0.391304347826087,0.3333333333333333,0.3333333333333333,,,,0.18518518518518517,0.17391304347826086,,,3.0,,,1.0,3.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,0.5,,,,,,,,,,1.0,,,,0.3333333333333333,0.13043478260869565,,,1.0,2.0,1.0,1.0,,1.0,,0.3333333333333333,0.3333333333333333,,0.18181818181818182,0.3333333333333333,,,,,,,1.0,,,,1.0,3.0,1.0,1.0,0.5,0.25,,,,,,,,True,,,,,,,,,,,,,,,,,
201959,1610612750,Taj Gibson,Taj Gibson,201959,MIN,1384.0,23,14.0,40,42,15,9,5,82,2.0,2.0,,,,,,,2.0,2,,4.0,26,,,,,,2.0,,,1.0,1.0,,,,3.0,3.0,1.0,5.0,7.0,1.0,,,,1.0,,15,0.5,0.5,1.0,,1.0,,1.0,,,,,,6.25,,0.07142857142857142,0.15789473684210525,0.12121212121212122,0.1111111111111111,,0.17647058823529413,,1.0,1.0,1.0,0.5,,,,,,,1.0,0.7888999999999999,,,,0.7000000000000001,,0.375,,,1.0,2.0,0.16666666666666666,0.09523809523809523,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,,,0.5,,0.06666666666666667,,0.3333333333333333,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,0.25,,,,,True,,,,,,,,,,,,,,,,,
202710,1610612750,Jimmy Butler,Jimmy Butler,202710,MIN,1649.0,27,6.0,48,51,9,7,2,99,3.0,7.0,,1.0,3.0,1.0,,,6.0,12,1.0,14.0,46,,,1.0,,,4.0,1.0,1.0,1.0,2.0,,,1.0,5.0,2.0,2.0,5.0,7.0,1.0,1.0,1.0,,1.0,,9,0.3333333333333333,0.3333333333333333,0.5,,0.46153846153846156,,0.5,,0.07692307692307693,0.08333333333333333,0.14285714285714285,,28.30188679245283,1.0,0.16666666666666666,0.10526315789473684,0.12903225806451613,0.16666666666666666,,0.13333333333333333,,0.5384615384615384,0.42857142857142855,0.5,0.6666666666666666,0.23076923076923078,0.07692307692307693,,1.0,,,0.6153846153846154,0.5612576923076923,0.5148,0.5261,,5.291666666666667,24.4,0.1875,2.0,2.0,1.0,2.0,0.14285714285714285,0.08695652173913043,0.3333333333333333,1.0,2.0,2.0,,,2.0,,8.0,,1.0,1.0,3.0,3.0,,,,,,0.15384615384615385,1.0,1.0,,,,0.07142857142857142,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,0.0625,,,0.25,,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,0.14285714285714285,0.16666666666666666,,,,,1.0,,0.5,,,,1.0,,,,True,,,,,,,,,,,,,,,,,
