EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,LongMidRangeAssists,PenaltyTurnovers,BlockingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PtsPutbacks,Corner3Assists,LostBallSteals,Charge Fouls Drawn,Offensive Fouls Drawn,3SecondViolations,SecondChanceCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,SelfOReb,LostBallTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGA,Arc3PctBlocked,SecondChanceArc3Frequency
1626145,1610612750,Tyus Jones,Tyus Jones,1626145,MIN,1713.0,29,10.0,52,51,13,15,6,103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2,1.0,4.0,49,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,1.0,3.0,9.0,4.0,1.0,5.0,5.0,2.0,13,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.3333333333333333,5.084745762711865,0.07142857142857142,0.19047619047619047,0.14285714285714285,0.125,0.15789473684210525,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.6666666666666666,0.6965833333333333,0.80805,0.824125,0.5,5.6499999999999995,23.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1626157,1610612750,Karl-Anthony Towns,Karl-Anthony Towns,1626157,MIN,5997.0,100,-53.0,189,189,20,13,16,378,4.0,8.0,2.0,2.0,5.0,14.0,1.0,,,10.0,24,7.0,34.0,245,,3.0,4.0,1.0,6.0,16.0,3.0,,3.0,,2.0,6.0,16.0,13.0,32.0,40.0,6.0,20,0.8,0.8,0.4166666666666667,0.75,0.46774193548387094,0.6,0.4722222222222222,0.5,0.22580645161290322,20.77294685990338,0.2826086956521739,0.3018867924528302,0.29292929292929293,0.25,0.3,0.3076923076923077,0.25806451612903225,0.5,0.6666666666666666,1.0,0.45161290322580644,0.35714285714285715,0.4166666666666667,0.6,0.03225806451612903,,0.4,1.0,,0.4838709677419355,0.4771683333333333,0.6648499999999999,0.49455,0.17647058823529413,6.3875,31.357142857142858,0.10582010582010581,1.0,2.0,1.0,2.0,3.0,6.0,1.0,3.0,5.0,1.0,2.0,1.0,3.0,4.0,9.0,1.0,5.0,3.0,4.0,1.0,3.0,5.0,3.0,8.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,7.0,2.0,3.0,1.0,6.0,1.0,1.0,1.0,9.0,11.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.42857142857142855,0.5,0.5,0.5,0.375,0.16666666666666666,0.25,0.14285714285714285,0.42857142857142855,0.5,0.08771929824561403,0.10344827586206896,0.09302325581395349,0.09090909090909091,0.08333333333333333,0.09090909090909091,0.11764705882352941,0.08333333333333333,0.3333333333333333,0.25,0.6666666666666666,0.06451612903225806,0.5,0.5,1.0,0.1935483870967742,0.5,0.5,1.0,1.0,0.5,1.0,0.2,0.6,0.14285714285714285,0.17857142857142858,0.08823529411764706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201565,1610612750,Derrick Rose,Derrick Rose,201565,MIN,1355.0,23,,40,39,4,6,4,79,5.0,7.0,1.0,1.0,,1.0,1.0,,,7.0,13,2.0,21.0,47,,1.0,3.0,,2.0,8.0,2.0,2.0,4.0,2.0,1.0,10.0,2.0,,2.0,2.0,2.0,4,0.5714285714285714,0.5714285714285714,0.5384615384615384,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7,0.3333333333333333,0.13333333333333333,40.0,,0.15384615384615385,0.08333333333333333,,0.2222222222222222,,0.4666666666666667,0.7142857142857143,0.8333333333333334,0.6,0.06666666666666667,,,,0.06666666666666667,,0.3333333333333333,1.0,,0.6,0.50775,,0.5054666666666666,0.09523809523809523,9.06153846153846,23.700000000000003,0.1,,,2.0,5.0,1.0,1.0,,2.0,1.0,,,,,6.0,6.0,,1.0,1.0,1.0,,,,,,,,3.0,3.0,,,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,0.07692307692307693,0.14285714285714285,,1.0,,,,,,,,,,,,,0.3333333333333333,0.4,0.4,0.5,0.06666666666666667,1.0,1.0,1.0,,,,,1.0,0.06666666666666667,0.07692307692307693,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201959,1610612750,Taj Gibson,Taj Gibson,201959,MIN,7381.0,123,-39.0,229,231,35,22,21,460,10.0,13.0,1.0,2.0,4.0,6.0,,,,14.0,22,,31.0,271,,1.0,3.0,,2.0,18.0,1.0,1.0,2.0,,1.0,5.0,8.0,2.0,13.0,20.0,2.0,35,0.6428571428571429,0.6923076923076923,0.6363636363636364,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.6739130434782609,0.3333333333333333,,10.588235294117649,0.03333333333333333,0.1111111111111111,0.07575757575757576,0.030303030303030304,0.12280701754385964,0.06666666666666667,0.5909090909090909,0.7692307692307693,0.8333333333333334,0.6,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.75,,,0.6666666666666666,0.5,,0.5909090909090909,0.5575863636363636,0.6168333333333333,0.5665,0.06451612903225806,5.5227272727272725,,0.15283842794759825,2.0,3.0,,3.0,,,,,3.0,2.0,4.0,,4.0,10.0,,,,,1.0,,3.0,4.0,3.0,7.0,1.0,,1.0,1.0,3.0,1.0,,4.0,1.0,6.0,,8.0,1.0,,,4.0,3.0,1.0,2.0,,2.0,,,2.0,,2.0,1.0,,,,,0.5,0.5,0.5,0.045454545454545456,0.07692307692307693,,0.25,0.375,0.05555555555555555,0.08571428571428572,0.06542056074766354,0.07142857142857142,0.03333333333333333,0.07142857142857142,0.10526315789473684,0.0625,,0.25,0.5,0.13636363636363635,,,,,,,,0.75,0.6666666666666666,0.5,,,0.08695652173913043,0.08695652173913043,0.12903225806451613,,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
202710,1610612750,Jimmy Butler,Jimmy Butler,202710,MIN,6024.0,100,-40.0,186,188,25,8,16,374,7.0,15.0,,1.0,2.0,9.0,8.0,2.0,1.0,11.0,26,14.0,49.0,229,2.0,,2.0,2.0,3.0,6.0,5.0,4.0,9.0,1.0,1.0,22.0,7.0,8.0,16.0,18.0,3.0,25,0.2727272727272727,0.2727272727272727,0.4230769230769231,,0.5,0.375,0.5568181818181818,0.375,0.35,23.78640776699029,0.1568627450980392,0.125,0.14018691588785046,0.14814814814814814,0.11904761904761904,0.14285714285714285,0.375,0.4666666666666667,0.5833333333333334,0.42857142857142855,0.225,0.2222222222222222,0.25,,0.2,0.5,0.25,,0.25,0.725,0.5239625,0.545625,0.4614625,0.061224489795918366,4.865384615384615,24.41428571428571,0.13440860215053763,,2.0,2.0,2.0,3.0,6.0,1.0,6.0,9.0,,2.0,2.0,5.0,16.0,15.0,,6.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,,5.0,,2.0,,4.0,,1.0,,8.0,10.0,,3.0,,1.0,,,,1.0,1.0,,,0.8333333333333334,0.42857142857142855,0.42857142857142855,,0.375,0.5,0.15384615384615385,0.2,0.1111111111111111,0.8,0.14285714285714285,0.017241379310344827,0.03333333333333333,0.022727272727272728,0.045454545454545456,,,0.0625,,0.15,0.25,,0.05,1.0,1.0,,0.15,0.5,0.5,0.6666666666666666,0.5,,,0.25,0.5,0.09090909090909091,0.10344827586206896,0.10204081632653061,3.0,2.0,2.0,1.0,0.375,0.42857142857142855,1.0,,3.0,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.07142857142857142,0.125,0.05555555555555555,0.5,1.0,1.0,0.06666666666666667,,,,,,,True,,,,,
2037,1610612750,Jamal Crawford,Jamal Crawford,2037,MIN,1352.0,23,9.0,42,42,7,14,3,84,,,,,,1.0,1.0,,,,4,2.0,5.0,38,,,,,,,3.0,1.0,4.0,,2.0,9.0,1.0,2.0,3.0,3.0,,7,,,,,0.25,,0.35714285714285715,,0.3333333333333333,17.391304347826086,0.18181818181818182,0.06666666666666667,0.11538461538461539,0.2857142857142857,0.06666666666666667,,,,,,0.16666666666666666,,,,0.16666666666666666,,,,,0.3333333333333333,0.457875,,,,17.825,24.65,0.16666666666666666,,,,3.0,,1.0,,1.0,2.0,,,,,,3.0,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,2.0,,,1.0,2.0,2.0,,1.0,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,0.16666666666666666,,,,,,,,,0.14285714285714285,0.2,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,
203952,1610612750,Andrew Wiggins,Andrew Wiggins,203952,MIN,6778.0,113,-47.0,213,214,35,16,20,427,11.0,18.0,1.0,2.0,5.0,9.0,6.0,,,18.0,33,14.0,49.0,255,,3.0,6.0,3.0,8.0,14.0,5.0,4.0,9.0,3.0,3.0,22.0,11.0,1.0,12.0,15.0,8.0,35,0.3888888888888889,0.4117647058823529,0.5454545454545454,0.5,0.4787234042553192,0.3333333333333333,0.49,0.36363636363636365,0.2978723404255319,23.949579831932773,0.01818181818181818,0.16666666666666666,0.09917355371900827,0.03333333333333333,0.16981132075471697,0.15384615384615385,0.3829787234042553,0.6111111111111112,0.6875,0.45454545454545453,0.19148936170212766,0.5555555555555556,0.625,0.2,0.1276595744680851,,0.2222222222222222,0.5,,0.6808510638297872,0.513527659574468,0.5077,0.4718388888888889,0.16326530612244897,6.709090909090909,24.74285714285714,0.1643192488262911,1.0,2.0,2.0,6.0,2.0,8.0,3.0,3.0,4.0,1.0,2.0,,2.0,22.0,9.0,,8.0,2.0,3.0,2.0,1.0,2.0,,3.0,2.0,2.0,3.0,1.0,4.0,2.0,,7.0,,9.0,2.0,13.0,1.0,,,9.0,9.0,2.0,3.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.5,0.5,0.3333333333333333,0.09090909090909091,0.1111111111111111,0.1111111111111111,0.42857142857142855,,0.029850746268656716,0.029411764705882353,0.0297029702970297,0.07407407407407407,,,0.05555555555555555,,,,0.5,0.1276595744680851,0.3333333333333333,0.3333333333333333,0.5,0.1702127659574468,0.25,0.25,1.0,1.0,0.5,,0.3333333333333333,0.25,0.08163265306122448,0.08823529411764706,0.04081632653061224,1.0,,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,2.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,,0.043478260869565216,,,,0.06666666666666667,,2.0,1.0,1.0,,,True,,,,,
203476,1610612750,Gorgui Dieng,Gorgui Dieng,203476,MIN,1384.0,23,14.0,40,42,15,9,5,82,,1.0,,,,,4.0,,2.0,,1,4.0,6.0,26,,,,2.0,3.0,,1.0,,1.0,,1.0,2.0,3.0,3.0,6.0,7.0,3.0,15,,,,,0.6,0.75,0.6,0.75,0.8,12.5,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.3333333333333333,0.17647058823529413,,0.2,,,,,,,,0.8,,,,1.0,1.0,0.59158,0.5453,0.602475,0.5,1.9,23.299999999999997,0.375,,1.0,,,,,,2.0,,,1.0,,,,6.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,3.0,,,3.0,,3.0,1.0,,1.0,0.5,0.5,,,,,,,,,0.06666666666666667,,0.047619047619047616,,0.16666666666666666,,,,,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,2.0,,,,0.5,0.5,1.0,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,1.0,0.5,True,,,,,
201952,1610612750,Jeff Teague,Jeff Teague,201952,MIN,4921.0,82,-49.0,154,159,21,7,14,313,6.0,9.0,2.0,2.0,2.0,8.0,2.0,,,8.0,18,13.0,33.0,195,,2.0,2.0,,4.0,,10.0,6.0,16.0,4.0,8.0,38.0,4.0,4.0,8.0,9.0,4.0,21,,,0.4444444444444444,1.0,0.45161290322580644,1.0,0.4714285714285714,1.0,0.41935483870967744,25.146198830409357,0.10526315789473684,0.08888888888888889,0.0963855421686747,0.05,0.06060606060606061,0.16666666666666666,0.2903225806451613,0.6666666666666666,0.8571428571428571,,0.25806451612903225,0.25,0.25,,0.06451612903225806,,1.0,1.0,,0.7096774193548387,0.5002758064516128,0.3784,0.5864,0.12121212121212122,5.172222222222222,25.546153846153842,0.13636363636363635,1.0,1.0,,1.0,4.0,11.0,,4.0,5.0,1.0,1.0,1.0,3.0,16.0,9.0,,11.0,4.0,2.0,2.0,,1.0,,1.0,2.0,1.0,4.0,4.0,4.0,,2.0,8.0,,4.0,,8.0,,,,6.0,9.0,1.0,5.0,,1.0,1.0,1.0,1.0,,2.0,,,0.75,0.3076923076923077,0.3076923076923077,1.0,1.0,0.75,0.1111111111111111,0.2222222222222222,,0.5,,0.0196078431372549,,0.0125,,0.041666666666666664,,,,0.13333333333333333,0.3333333333333333,,0.03225806451612903,,,,0.3548387096774194,0.36363636363636365,0.36363636363636365,0.75,1.0,1.0,,,0.36363636363636365,0.14285714285714285,0.22727272727272727,0.09090909090909091,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,2.0,,,,True,,,,,
1626145,1610612750,Tyus Jones,Tyus Jones,1626145,MIN,1585.0,26,-7.0,54,54,18,20,4,108,,2.0,,1.0,,1.0,1.0,,1.0,,3,1.0,,56,,,1.0,1.0,,,3.0,1.0,4.0,1.0,2.0,9.0,3.0,1.0,4.0,4.0,,17,,,,,,,,,0.25,8.620689655172415,0.125,0.1875,0.16666666666666666,,0.15384615384615385,0.3333333333333333,0.5,,,,0.25,,,,0.25,,0.5,,0.5,0.75,0.59105,,0.599,,2.1999999999999997,22.8,0.3333333333333333,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
