EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Offensive Fouls Drawn,BlockedLongMidRange,OffLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,SecondChanceFG3A,PenaltyFtPoints,Fg2aBlocked,Corner3Assists,LostBallSteals,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceTurnovers,Blocked3s,BlockedCorner3,RecoveredBlocks,3SecondViolations,ShortMidRangePctBlocked,DefAtRimReboundPct,BlocksRecoveredPct,Clear Path Fouls,PtsUnassisted3s,HeaveAttempts,OffThreePtRebounds,PenaltyTurnovers,BlockingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Technical Free Throw Trips,on,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,SelfOReb,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg3Pct,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedArc3,SecondChanceArc3FGA,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3Frequency,Charge Fouls,OffCorner3ReboundPct,Travels,Offensive Fouls,Charge Fouls Drawn,OffensiveGoaltends,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockingFouls,3pt And 1 Free Throw Trips,Arc3PctBlocked,DefensiveGoaltends
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,86.0,1,-6,3,3,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200746,1610612759,LaMarcus Aldridge,LaMarcus Aldridge,200746,SAS,1642.0,27,-37,57,58,115,79,16.0,28.0,6.0,1.0,4.0,2.0,4.0,3.0,8.0,2.0,8.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,16.0,1.0,1.0,1.0,0.375,1.0,0.375,1.0,0.4444444444444444,1.0,16.129032258064516,0.36363636363636365,0.1111111111111111,0.25,0.4,0.6666666666666666,0.14285714285714285,0.5,0.25,0.25,1.0,0.5,0.5,0.5,1.0,0.376425,0.2757,0.1111111111111111,0.1111111111111111,0.25,13.162500000000001,0.2807017543859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200752,1610612759,Rudy Gay,Rudy Gay,200752,SAS,2156.0,36,-25,68,69,137,83,6.0,16.0,8.0,3.0,6.0,1.0,5.0,6.0,13.0,2.0,23.0,,1.0,,6.0,1.0,,1.0,,,,2.0,4.0,1.0,6.0,8.0,2.0,2.0,,,2.0,5.0,3.0,,5.0,3.0,,,,,6.0,1.0,0.5,0.6,0.46153846153846156,,0.5833333333333334,,0.575,,28.94736842105263,0.06666666666666667,0.26666666666666666,0.16666666666666666,,0.14285714285714285,0.25,0.3333333333333333,0.5,0.5,0.6666666666666666,0.2777777777777778,0.2,0.2,,0.46122777777777774,0.4901,0.15,0.2,,11.569230769230767,0.08823529411764706,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,2.0,1.0,6.0,9.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2777777777777778,1.0,1.0,0.07407407407407407,0.05405405405405406,0.2,0.1,0.3333333333333333,0.1111111111111111,1.0,1.0,0.5,0.05555555555555555,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.3888888888888889,0.5,0.5013333333333333,0.08695652173913043,26.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,1739.0,29,-14,54,57,111,66,2.0,11.0,5.0,,1.0,,1.0,,2.0,,3.0,,,,,1.0,,1.0,,,1.0,2.0,,2.0,2.0,3.0,,,,,,3.0,1.0,,,,1.0,,1.0,,2.0,,,,,,0.25,,0.25,,10.0,0.11764705882352941,,0.07142857142857142,,0.25,,0.16666666666666666,,,,0.16666666666666666,,,,0.46010833333333334,0.4242,,,,14.049999999999999,0.037037037037037035,,,,,1.0,1.0,,3.0,1.0,1.0,4.0,,,,1.0,,3.0,,3.0,,,1.0,,1.0,,,,1.0,,,1.0,0.25,0.25,,,,0.6666666666666666,,,0.05555555555555555,0.03571428571428571,,,,,,,,0.16666666666666666,1.0,1.0,1.0,0.5,,,,,,1.0,0.6666666666666666,,,,26.4,1.0,1.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,4000.0,67,-36,132,132,264,153,21.0,41.0,14.0,3.0,8.0,5.0,15.0,14.0,32.0,5.0,33.0,2.0,4.0,5.0,6.0,5.0,1.0,6.0,,2.0,1.0,13.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,,4.0,2.0,9.0,,7.0,3.0,,,,5.0,21.0,,0.21428571428571427,0.21428571428571427,0.4375,0.5,0.3783783783783784,0.5,0.4125,0.5,30.136986301369863,0.02857142857142857,0.10714285714285714,0.06349206349206349,,0.06666666666666667,0.15789473684210525,0.21621621621621623,0.375,0.375,,0.40540540540540543,0.3333333333333333,0.3333333333333333,0.6,0.46535540540540543,0.5290250000000001,0.07692307692307693,0.08823529411764706,0.15151515151515152,11.631250000000001,0.1590909090909091,6.0,9.0,,1.0,,3.0,,2.0,,,5.0,,2.0,,,22.0,,,2.0,,2.0,,,,3.0,3.0,,1.0,,1.0,,,,,,,0.13513513513513514,0.75,,,,,,,0.24324324324324326,0.6666666666666666,0.75,,0.08108108108108109,,,,0.05405405405405406,,,,0.3333333333333333,,,0.3783783783783784,,0.4575833333333334,,24.74,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03125,0.1111111111111111,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,3184.0,53,-14,106,103,209,115,15.0,27.0,11.0,2.0,5.0,,1.0,4.0,10.0,5.0,16.0,1.0,3.0,2.0,4.0,5.0,4.0,9.0,3.0,1.0,,22.0,8.0,8.0,16.0,17.0,,,4.0,1.0,5.0,1.0,6.0,,6.0,3.0,,,1.0,2.0,15.0,,0.5,0.5,0.4,0.3333333333333333,0.4230769230769231,0.3333333333333333,0.5,0.3333333333333333,17.94871794871795,0.2962962962962963,0.32,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.25,0.38461538461538464,0.4,0.5,,0.07692307692307693,,,,0.4703461538461538,0.43603333333333333,0.1875,0.23076923076923078,0.125,7.1899999999999995,0.14150943396226415,2.0,4.0,,1.0,1.0,1.0,,2.0,,1.0,3.0,,1.0,,,4.0,3.0,,2.0,,4.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,0.3333333333333333,0.3333333333333333,,,,0.23076923076923078,0.2,,0.02631578947368421,0.018518518518518517,,,0.4444444444444444,0.3076923076923077,0.5,0.5,1.0,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,,,,1.0,,,0.5384615384615384,,0.6915,,24.899999999999995,,,0.0625,1.0,1.0,,,,1.0,1.0,,1.0,,,0.1,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,652.0,11,-3,19,20,39,21,,3.0,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10.526315789473685,,,,,,,,,,,0.5,,,,0.46137500000000004,,,,,14.4,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,1597.0,27,-17,58,57,115,69,19.0,32.0,8.0,,2.0,,1.0,1.0,5.0,1.0,9.0,1.0,3.0,3.0,,,1.0,1.0,,,,3.0,1.0,3.0,4.0,5.0,2.0,,1.0,,1.0,5.0,2.0,,2.0,1.0,,,,3.0,19.0,1.0,,,0.2,0.3333333333333333,0.4,0.25,0.4090909090909091,0.3,18.46153846153846,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.75,,0.16666666666666666,0.2,,,,0.1,,,,0.41185555555555553,0.40786666666666666,0.09090909090909091,0.16666666666666666,0.3333333333333333,7.279999999999999,0.3275862068965517,1.0,2.0,,,,,2.0,5.0,1.0,2.0,5.0,,,,1.0,2.0,3.0,,4.0,2.0,,,,1.0,,,,4.0,1.0,,0.5,0.4,0.5,,,,0.5,,,,0.03333333333333333,,,,0.2,0.5,0.5,,,,,,0.5,0.4,0.4,0.5,,,0.25,0.7,0.5,,,30.660000000000004,,,,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,,,0.2,,,0.25,1.0,,,,,,0.5,,,,3.0,1.0,1.0,1.0,1.0,0.125,0.16666666666666666,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,1908.0,32,-2,66,63,129,58,5.0,9.0,8.0,,1.0,,,,1.0,2.0,5.0,,,3.0,,2.0,,2.0,,,1.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,,,1.0,7.0,1.0,,2.0,1.0,,,,3.0,5.0,1.0,,,,,0.21428571428571427,0.75,0.3125,0.75,12.162162162162163,0.09523809523809523,0.08333333333333333,0.09090909090909091,0.2222222222222222,,0.14285714285714285,0.14285714285714285,,,,,,,,0.4765357142857143,0.418875,0.125,0.5,0.6,6.2,0.07575757575757576,,,,,,2.0,1.0,4.0,1.0,1.0,6.0,,,2.0,2.0,,3.0,,4.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,0.16666666666666666,0.16666666666666666,,,0.5,0.8571428571428571,1.0,,,,,,,,,,,0.2857142857142857,,,,0.5714285714285714,0.25,0.25,1.0,,,0.5,0.8571428571428571,0.25,0.3165,0.4,26.233333333333338,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,0.5,0.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612759,Kyle Anderson,Kyle Anderson,203937,SAS,1961.0,33,-3,63,65,128,71,14.0,26.0,5.0,2.0,4.0,,,9.0,11.0,,18.0,,1.0,,12.0,,,,,,,,1.0,,1.0,4.0,3.0,2.0,,,1.0,4.0,,,,,,,,,14.0,2.0,0.6666666666666666,0.75,0.8181818181818182,,0.6923076923076923,,0.6923076923076923,,20.28985507246377,,0.058823529411764705,0.02631578947368421,,,0.08333333333333333,0.3076923076923077,0.5,0.6666666666666666,0.5,,,,,0.5064958333333334,0.5201250000000001,,,,3.9545454545454546,0.2222222222222222,7.0,7.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,2.0,2.0,1.0,6.0,,2.0,,,,2.0,,3.0,1.0,1.0,,1.0,,,,,,0.5,0.5,0.5,0.15384615384615385,1.0,,0.10526315789473684,0.1111111111111111,,0.125,,0.5384615384615384,1.0,1.0,0.7142857142857143,0.07692307692307693,,,,0.07692307692307693,,,,0.5,1.0,,0.6923076923076923,,0.5465,0.1111111111111111,35.95,,,0.1,,,,,,1.0,,1.0,,,,0.09090909090909091,,,,,1.0,,,,,0.25,,,,,1.0,1.0,,,0.125,0.16666666666666666,1.0,,,,,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
