EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Clear Path Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,Fg3aBlocked,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,Loose Ball Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceTsPct,FG3APctBlocked,Corner3PctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,SecondChanceAtRimAccuracy,DeadBallTurnovers,SecondChanceTurnovers,BlockedCorner3,3SecondViolations,OffLongMidRangeReboundPct,BadPassOutOfBoundsTurnovers,Offensive Fouls,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,OffAtRimReboundPct,PtsUnassisted3s,BadPassTurnovers,BlockingFouls,3pt And 1 Free Throw Trips,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,BlockingFoulsDrawn,Loose Ball Fouls Drawn,OffensiveGoaltends,LongMidRangePctBlocked,BlockedLongMidRange,Arc3PctBlocked,DefensiveGoaltends,Charge Fouls
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,1035.0,17,3,35,37,21,14,1.0,72,3.0,4.0,3.0,4.0,1.0,2.0,4.0,6.0,2.0,10.0,42,3.0,4.0,2.0,8.0,2.0,6.0,4.0,4.0,3.0,1.0,12.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,21,0.25,0.25,0.6666666666666666,0.75,0.6666666666666666,0.75,0.7142857142857143,0.8,22.22222222222222,1.0,0.5,0.2222222222222222,0.13333333333333333,0.5,0.25,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.75,0.6666666666666666,0.5929666666666668,0.682175,0.14285714285714285,0.14285714285714285,0.8,4.066666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,1895.0,32,-7,63,65,30,29,3.0,128,,2.0,,1.0,1.0,2.0,3.0,6.0,5.0,17.0,77,,2.0,4.0,7.0,2.0,4.0,,2.0,,,4.0,1.0,,1.0,2.0,,,,,,,,1.0,2.0,3.0,7.0,2.0,,,,7.0,30,0.3333333333333333,0.3333333333333333,0.5,,0.42857142857142855,0.21428571428571427,0.47058823529411764,0.3888888888888889,25.37313432835821,,,0.05,0.03333333333333333,,,0.14285714285714285,,,,0.14285714285714285,0.5,0.5,0.14285714285714285,,0.7142857142857143,0.4678653846153846,0.4711083333333333,0.125,0.25,0.4117647058823529,9.416666666666666,0.47619047619047616,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,2.0,8.0,1.0,1.0,5.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.2857142857142857,0.5714285714285714,0.16666666666666666,0.5,0.07692307692307693,0.037037037037037035,0.2,0.1,0.14285714285714285,0.14285714285714285,1.0,1.0,0.5,0.07142857142857142,1.0,1.0,1.0,0.5,0.14285714285714285,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,0.5714285714285714,0.16666666666666666,29.025000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1628401,1610612759,Derrick White,Derrick White,1628401,SAS,1089.0,18,2,38,38,24,16,1.0,76,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,7.0,45,2.0,2.0,,4.0,2.0,2.0,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,2.0,4.0,24,0.5,0.5,0.5,1.0,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,15.384615384615383,,,,,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.5,0.49141666666666667,0.5409666666666667,,,0.5714285714285714,9.950000000000001,0.631578947368421,,,1.0,,,,,1.0,2.0,1.0,1.0,2.0,,,1.0,3.0,,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,0.5,,0.5,0.3333333333333333,,,,,,,,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,,0.3333333333333333,0.5,26.6,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,4947.0,82,3,167,167,55,58,19.0,334,,1.0,,,,1.0,,2.0,8.0,17.0,181,,,3.0,9.0,,,,6.0,,,12.0,6.0,,10.0,11.0,2.0,2.0,,1.0,1.0,1.0,,3.0,10.0,6.0,11.0,2.0,,,,9.0,55,,,,,0.25,0.375,0.3695652173913043,0.45,12.631578947368421,1.0,,0.13333333333333333,0.13513513513513514,0.14285714285714285,0.17647058823529413,0.05555555555555555,,,,0.05555555555555555,,,,,0.9444444444444444,0.5150583333333333,0.514875,0.14285714285714285,0.5,0.5294117647058824,4.65,0.32934131736526945,,,,1.0,7.0,,3.0,2.0,9.0,5.0,3.0,16.0,,2.0,8.0,9.0,,9.0,2.0,,6.0,2.0,2.0,,1.0,,,,2.0,1.0,1.0,0.1875,0.25,0.1875,0.8888888888888888,,,,0.012345679012345678,,0.09523809523809523,,,,,,0.3888888888888889,0.14285714285714285,0.16666666666666666,1.0,0.5,0.2222222222222222,0.2222222222222222,1.0,,0.375,,0.625,0.2222222222222222,25.287500000000005,,,,,,,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.25,0.0625,0.14285714285714285,0.13793103448275862,0.02857142857142857,0.03571428571428571,0.13636363636363635,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.4,0.425775,0.058823529411764705,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
203464,1610612759,Brandon Paul,Brandon Paul,203464,SAS,152.0,3,5,7,6,7,6,,13,,,,,,,,,,,7,,,,,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
203530,1610612759,Joffrey Lauvergne,Joffrey Lauvergne,203530,SAS,352.0,6,3,12,13,9,2,1.0,25,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,10,1.0,1.0,,2.0,,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,2.0,9,,,1.0,1.0,1.0,1.0,1.0,1.0,7.692307692307692,,,0.2,0.14285714285714285,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5364,0.5364,,,1.0,1.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
203937,1610612759,Kyle Anderson,Kyle Anderson,203937,SAS,1346.0,22,-8,44,47,11,19,3.0,91,6.0,6.0,,,1.0,2.0,7.0,8.0,1.0,15.0,47,,,1.0,1.0,10.0,4.0,,,,,,1.0,,1.0,3.0,3.0,2.0,1.0,,,,,,4.0,1.0,2.0,1.0,,,,1.0,11,0.7142857142857143,0.8333333333333334,0.875,,0.7,,0.6818181818181818,0.25,22.916666666666668,,,0.07142857142857142,0.045454545454545456,,0.16666666666666666,0.6,1.0,1.0,0.6666666666666666,0.2,0.5,1.0,,,0.8,0.5133833333333333,0.62265,0.09090909090909091,0.1111111111111111,0.06666666666666667,3.025,0.25,1.0,,,,1.0,,1.0,,1.0,,,2.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,2.0,,,,,,,,,,0.2,0.125,,0.07142857142857142,0.09090909090909091,0.3333333333333333,,,,,,,0.1,,,,0.1,,,,1.0,1.0,,,,35.95,,,,,,1.0,,,,,,2.0,,,1.0,,,,,3.0,1.0,,,,0.125,0.2,,,,,,0.5465,,0.13333333333333333,1.0,1.0,2.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,2143.0,36,-14,72,70,10,15,8.0,142,3.0,4.0,,,1.0,3.0,4.0,8.0,3.0,11.0,80,,1.0,,,6.0,2.0,3.0,6.0,3.0,,15.0,5.0,,8.0,9.0,,,,,,2.0,,,1.0,4.0,4.0,2.0,,,1.0,,10,0.75,0.75,0.5,,0.4,,0.4583333333333333,,17.5,,,0.22727272727272727,0.2222222222222222,0.25,0.25,0.4,0.75,0.75,1.0,0.3,0.3333333333333333,0.3333333333333333,,,0.6,0.48858499999999994,0.4213,0.16666666666666666,0.2,,6.012499999999999,0.1388888888888889,1.0,,1.0,,,,,,2.0,,,2.0,1.0,,,,,2.0,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,0.2,,,0.041666666666666664,0.02702702702702703,,0.2,,0.1,,,,,,,,0.2,,,,1.0,,,,,25.65,1.0,,,1.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,0.21428571428571427,,,0.1111111111111111,0.4,,,,0.6915,,,,,,,,,,2.0,1.0,1.0,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,1208.0,20,-6,40,40,2,3,5.0,80,1.0,1.0,,,,,1.0,2.0,,2.0,42,,,,,2.0,,,1.0,,,2.0,2.0,,2.0,3.0,,,,,,,,1.0,1.0,,,,2.0,,2.0,,2,1.0,1.0,0.5,,0.25,,0.25,,9.090909090909092,,,0.18181818181818182,0.10526315789473684,,,0.25,1.0,1.0,1.0,,,,,,0.75,0.4334,0.4242,,,,11.649999999999999,0.05,,,1.0,,,,,,2.0,1.0,,2.0,,,1.0,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,0.5,,,0.07142857142857142,0.045454545454545456,,0.3333333333333333,,0.25,,,,,,,,0.5,,,,,,,1.0,,28.05,,,2.0,1.0,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,2125.0,35,1,74,72,30,33,12.0,146,1.0,2.0,,1.0,1.0,2.0,2.0,7.0,2.0,6.0,84,,3.0,2.0,2.0,2.0,2.0,1.0,5.0,,1.0,11.0,4.0,,6.0,6.0,1.0,1.0,,1.0,1.0,3.0,3.0,3.0,6.0,1.0,2.0,,,,1.0,2.0,30,0.5,0.5,0.2857142857142857,,0.2,,0.2727272727272727,0.2,15.555555555555555,0.3333333333333333,,0.23529411764705882,0.20689655172413793,,0.5,0.2,0.5,0.5,1.0,0.2,0.5,0.5,0.25,,0.5,0.45862499999999995,0.47686249999999997,,,0.3333333333333333,11.27142857142857,0.40540540540540543,,,3.0,,,,,,3.0,1.0,,3.0,,,1.0,,,3.0,,,4.0,3.0,1.0,,,,,,1.0,1.0,,,,,0.3,,,,,,0.125,,0.3,,,,,,,,0.3,,,,,,,0.25,,25.466666666666665,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,2.0,1.0,,,1.0,,,,0.16666666666666666,,,0.2222222222222222,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
