EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,OffRebounds,SelfOReb,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,LongMidRangeAssists,DefThreePtRebounds,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,DefArc3ReboundPct,ShortMidRangeAssists,DeadBallTurnovers,Offensive Fouls,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChancePointsPct,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,SecondChanceTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,OffensiveGoaltends,OffAtRimReboundPct,SecondChanceArc3FGM,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,BlockingFouls,3pt And 1 Free Throw Trips,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,Charge Fouls,BlockedCorner3,3SecondViolations,Corner3PctBlocked,Clear Path Fouls
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,1025.0,17,5,35,36,21,14,1.0,71,3.0,4.0,3.0,4.0,1.0,2.0,4.0,6.0,2.0,10.0,40,3.0,4.0,2.0,8.0,2.0,6.0,4.0,4.0,3.0,1.0,12.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,21,0.25,0.25,0.6666666666666666,0.75,0.6666666666666666,0.75,0.7142857142857143,0.8,22.22222222222222,1.0,0.5,0.2222222222222222,0.13333333333333333,0.5,0.25,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.75,0.6666666666666666,0.5929666666666668,0.682175,0.14285714285714285,0.14285714285714285,0.8,4.066666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,1089.0,18,2,38,38,24,16,1.0,76,,1.0,,1.0,1.0,2.0,3.0,5.0,3.0,15.0,45,,2.0,2.0,5.0,2.0,4.0,,1.0,,,2.0,,,,1.0,,,,,,,,1.0,1.0,2.0,5.0,2.0,,,,5.0,24,0.3333333333333333,0.3333333333333333,0.6,,0.5454545454545454,0.21428571428571427,0.5384615384615384,0.3125,33.333333333333336,,,,,,,0.09090909090909091,,,,0.18181818181818182,0.5,0.5,0.14285714285714285,,0.6363636363636364,0.46073000000000003,0.4711083333333333,0.15384615384615385,0.2857142857142857,0.3333333333333333,10.68,0.631578947368421,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,6.0,1.0,5.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.4,0.5454545454545454,0.2,1.0,0.16666666666666666,0.07692307692307693,0.3333333333333333,0.25,0.18181818181818182,1.0,1.0,0.5,0.09090909090909091,1.0,1.0,1.0,0.45454545454545453,0.2,0.2,1.0,0.14285714285714285,1.0,0.5714285714285714,0.25,30.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628401,1610612759,Derrick White,Derrick White,1628401,SAS,1089.0,18,2,38,38,24,16,1.0,76,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,,7.0,45,2.0,2.0,,4.0,2.0,2.0,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,2.0,4.0,24,0.5,0.5,0.5,1.0,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,15.384615384615383,,,,,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.5,0.3333333333333333,1.0,0.5,0.49141666666666667,0.5409666666666667,,,0.5714285714285714,9.950000000000001,0.631578947368421,,1.0,,,,,1.0,2.0,1.0,1.0,2.0,,1.0,3.0,,2.0,1.0,,1.0,1.0,,,,,1.0,0.5,,0.5,0.3333333333333333,,,,,,,0.16666666666666666,,,,,,,,0.3333333333333333,0.5,0.5,1.0,,,0.3333333333333333,0.5,26.6,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,1089.0,18,2,38,38,24,16,1.0,76,,,,,,,,,5.0,8.0,45,,,3.0,6.0,,,,1.0,,,2.0,3.0,,4.0,4.0,1.0,1.0,,,,,,1.0,2.0,4.0,7.0,1.0,,,,6.0,24,,,,,0.375,0.5,0.5714285714285714,0.6,17.94871794871795,,,0.3,0.25,,0.25,,,,,,,,,,1.0,0.4916999999999999,0.4761499999999999,0.3333333333333333,1.0,0.75,,0.631578947368421,,,,,,,1.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,,4.0,1.0,,1.0,,,,,,1.0,0.25,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,1.0,0.25,0.25,1.0,,,1.0,0.25,26.1,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,1.0,1.0,0.3333333333333333,0.53505,0.2,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203464,1610612759,Brandon Paul,Brandon Paul,203464,SAS,152.0,3,5,7,6,7,6,,13,,,,,,,,,,,7,,,,,,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203530,1610612759,Joffrey Lauvergne,Joffrey Lauvergne,203530,SAS,352.0,6,3,12,13,9,2,1.0,25,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,10,1.0,1.0,,2.0,,2.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,2.0,9,,,1.0,1.0,1.0,1.0,1.0,1.0,7.692307692307692,,,0.2,0.14285714285714285,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5364,0.5364,,,1.0,1.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612759,Kyle Anderson,Kyle Anderson,203937,SAS,153.0,3,-2,5,6,5,6,,11,,,,,,,,,1.0,1.0,6,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,1.0,5,,,,,,,0.5,0.5,20.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,432.0,7,-4,14,13,3,2,,27,2.0,2.0,,,,,2.0,2.0,,4.0,22,,,,,4.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,3,1.0,1.0,1.0,,1.0,,1.0,,14.285714285714285,,,0.25,0.2,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,0.5593,,,,,1.7,0.21428571428571427,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,64.0,1,-3,3,2,3,2,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,3,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627749,1610612759,Dejounte Murray,Dejounte Murray,1627749,SAS,4730.0,79,-21,145,147,13,14,15.0,292,2.0,4.0,,,3.0,7.0,6.0,19.0,5.0,29.0,160,1.0,2.0,,8.0,2.0,10.0,2.0,5.0,2.0,,12.0,9.0,,14.0,18.0,3.0,1.0,2.0,2.0,,4.0,,2.0,10.0,5.0,7.0,2.0,1.0,,1.0,8.0,13,0.16666666666666666,0.2,0.3157894736842105,0.5,0.48,1.0,0.5178571428571429,1.0,19.875776397515526,0.5,,0.2,0.19444444444444445,0.125,0.16666666666666666,0.16,0.5,0.6666666666666666,,0.28,0.42857142857142855,0.6,,,0.4,0.481552,0.496475,0.10714285714285714,0.09523809523809523,0.27586206896551724,10.757894736842104,0.0896551724137931,1.0,8.0,4.0,5.0,2.0,2.0,,1.0,,4.0,6.0,2.0,2.0,12.0,,1.0,,3.0,3.0,1.0,2.0,4.0,1.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,0.24,0.15789473684210525,0.25,0.0392156862745098,0.047619047619047616,0.05263157894736842,0.08333333333333333,0.32,0.125,0.125,1.0,0.2,0.8,0.8,1.0,0.04,,,,0.5,1.0,,,24.066666666666666,,,1.0,1.0,1.0,,,,2.0,1.0,5.0,,1.0,,,0.18518518518518517,0.29411764705882354,0.16666666666666666,,,0.5913666666666667,0.14285714285714285,0.19047619047619047,1.0,2.0,,False,2.0,2.0,2.0,2.0,2.0,3.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,0.06060606060606061,0.047619047619047616,0.06896551724137931,0.4,1.0,0.4,1.0,1.0,0.3448275862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
