EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Corner3Assists,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedCorner3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyArc3FGM,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,FTOffRebounds,OffFTReboundPct,on,3pt And 1 Free Throw Trips,Corner3PctBlocked,Clear Path Fouls
101130,1610612760,Johan Petro,Johan Petro,101130,SEA,31291.0,522,-85.0,982,988,262.0,316,136,1970,24.0,44.0,6.0,15.0,10.0,14.0,32.0,72.0,22.0,52.0,78.0,168,10.0,166.0,1047,14.0,32.0,28.0,19.0,30.0,4.0,42.0,124.0,32.0,12.0,7.0,21.0,2.0,23.0,2.0,13.0,3.0,5.0,48.0,8.0,22.0,24.0,60.0,8.0,92.0,30.0,122.0,3.0,10.0,9.0,1.0,15.0,3.0,9.0,20.0,6.0,1.0,9.0,35.0,5.0,10.0,37.0,63.0,7.0,5.0,17.0,3.0,1.0,13.0,1.0,5.0,2.0,15.0,7.0,1.0,7.0,15.0,8.0,2.0,1.0,3.0,42.0,262.0,4.0,2.0,0.7948717948717948,0.8611111111111112,0.4642857142857143,0.4375,0.6333333333333333,0.4642857142857143,0.4375,0.6333333333333333,0.47701149425287354,0.4375,0.6363636363636364,0.041666666666666664,0.13636363636363635,0.013888888888888888,18.41409691629956,0.42857142857142855,0.23529411764705882,0.17391304347826086,0.06043956043956044,0.19834710743801653,0.0851063829787234,0.18025751072961374,0.06550218340611354,0.09090909090909091,0.0625,0.04054054054054054,0.05,0.14705882352941177,0.18811881188118812,0.19767441860465115,0.1518987341772152,0.20512820512820512,0.18604651162790697,0.037037037037037035,0.5333333333333333,0.2619047619047619,0.5454545454545454,0.631578947368421,0.625,0.42857142857142855,0.4444444444444444,0.4507042253521127,0.8125,0.30952380952380953,0.4230769230769231,0.4230769230769231,0.9545454545454546,0.46875,0.4,0.16666666666666666,0.4666666666666667,0.7142857142857143,0.2619047619047619,0.43899880952380954,0.45471428571428574,0.48551,0.029069767441860465,0.029069767441860465,0.1686746987951807,0.25301204819277107,9.329166666666666,0.2668024439918534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101153,1610612760,Mickael Gelabale,Mickael Gelabale,101153,SEA,74312.0,1239,-70.0,2356,2364,662.0,730,320,4720,69.0,94.0,19.0,24.0,16.0,24.0,12.0,37.0,30.0,86.0,111.0,217,66.0,321.0,2574,23.0,32.0,65.0,25.0,47.0,36.0,95.0,150.0,72.0,26.0,11.0,43.0,13.0,56.0,8.0,21.0,6.0,16.0,125.0,15.0,44.0,34.0,77.0,3.0,114.0,59.0,173.0,8.0,24.0,21.0,3.0,25.0,3.0,13.0,24.0,12.0,2.0,7.0,49.0,4.0,17.0,58.0,108.0,3.0,8.0,73.0,5.0,7.0,82.0,12.0,36.0,11.0,20.0,13.0,,7.0,22.0,10.0,1.0,,,95.0,662.0,14.0,11.0,0.6756756756756757,0.7653061224489796,0.511520737327189,0.71875,0.5319148936170213,0.48295454545454547,0.7027027027027027,0.47580645161290325,0.5367892976588629,0.7386363636363636,0.5792682926829268,0.05069124423963134,0.0851063829787234,0.08108108108108109,12.770642201834862,0.5102040816326531,0.03896103896103896,0.09612983770287141,0.0535931790499391,0.12408759124087591,0.057692307692307696,0.10325581395348837,0.0545790934320074,0.03982300884955752,0.06397306397306397,0.053691275167785234,0.06315789473684211,0.04285714285714286,0.08032128514056225,0.10144927536231885,0.10434782608695652,0.11363636363636363,0.14285714285714285,0.06153846153846154,0.45454545454545453,0.3560606060606061,0.7340425531914894,0.8023255813953488,0.6231884057971014,0.14015151515151514,0.32432432432432434,0.35294117647058826,0.5,0.32575757575757575,0.3488372093023256,0.3488372093023256,0.8666666666666667,0.6486486486486487,0.7916666666666666,0.2631578947368421,0.3870967741935484,0.6666666666666666,0.5340909090909091,0.5048170454545455,0.526575,0.4992274193548386,0.125,0.14937759336099585,0.20249221183800623,0.29595015576323985,8.92258064516129,0.28098471986417656,9.0,35.0,1.0,4.0,3.0,10.0,2.0,12.0,1.0,1.0,5.0,11.0,47.0,2.0,5.0,13.0,3.0,15.0,33.0,12.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,0.23404255319148937,0.4,0.2,0.23404255319148937,0.17803030303030304,0.13257575757575757,0.2571428571428571,0.2571428571428571,1.0,0.045454545454545456,0.16666666666666666,0.16666666666666666,1.0,0.10810810810810811,0.25,1.0,0.02702702702702703,1.0,1.0,0.16129032258064516,0.3,0.08064516129032258,0.16666666666666666,23.948936170212768,,,,,,,,,,,,,,,True,,,
1504,1610612760,Danny Fortson,Danny Fortson,1504,SEA,1107.0,18,-11.0,32,31,,8,6,63,3.0,4.0,2.0,2.0,,,1.0,1.0,,,4.0,5,2.0,10.0,48,3.0,3.0,6.0,,,,,2.0,6.0,6.0,,,,,,,,,,1.0,2.0,,2.0,,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,5.0,2.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,1.0,,0.25,1.0,0.8,1.0,,0.8,1.0,,0.8333333333333334,1.0,,,,,15.384615384615383,,,0.18181818181818182,0.14285714285714285,,0.25,0.16666666666666666,0.16666666666666666,0.25,,0.14285714285714285,0.25,,0.25,0.3333333333333333,,,,1.0,,0.8,0.75,0.75,0.3333333333333333,0.2,1.0,1.0,,,,,,0.6666666666666666,1.0,,,,0.8,0.5459400000000001,0.52335,,0.16666666666666666,0.16666666666666666,0.6,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2248,1610612760,Earl Watson,Earl Watson,2248,SEA,44916.0,749,-12.0,1444,1453,304.0,424,193,2897,27.0,60.0,,6.0,7.0,16.0,10.0,31.0,25.0,61.0,62.0,152,37.0,260.0,1542,4.0,13.0,18.0,15.0,38.0,12.0,69.0,26.0,98.0,2.0,16.0,137.0,32.0,169.0,20.0,69.0,31.0,37.0,370.0,,10.0,20.0,38.0,2.0,60.0,10.0,70.0,3.0,38.0,15.0,23.0,40.0,13.0,33.0,27.0,7.0,1.0,4.0,67.0,6.0,7.0,22.0,48.0,,3.0,54.0,2.0,2.0,60.0,3.0,25.0,5.0,7.0,3.0,2.0,2.0,8.0,4.0,,,,69.0,304.0,8.0,5.0,0.20967741935483872,0.21311475409836064,0.40789473684210525,0.3076923076923077,0.39473684210526316,0.435546875,0.425,0.3904109589041096,0.45774647887323944,0.4090909090909091,0.4107142857142857,0.10526315789473684,0.16666666666666666,0.12903225806451613,21.017964071856287,0.5970149253731343,0.041666666666666664,0.07802874743326489,0.0205761316872428,0.12121212121212122,,0.08895705521472393,0.015037593984962405,0.025974025974025976,0.022222222222222223,0.013157894736842105,,,0.040268456375838924,0.09923664122137404,0.09178743961352658,0.11428571428571428,0.13333333333333333,0.02158273381294964,0.5,0.234375,0.45,0.54,0.14814814814814814,0.12109375,0.3225806451612903,0.37037037037037035,0.4,0.23828125,0.4098360655737705,0.423728813559322,0.2,0.3,,,0.2191780821917808,0.4375,0.640625,0.4818466666666667,0.46835,0.46814861111111106,0.0931899641577061,0.14367816091954022,0.06923076923076923,0.2653846153846154,9.494736842105267,0.21052631578947367,4.0,13.0,1.0,2.0,,3.0,29.0,91.0,2.0,5.0,32.0,33.0,104.0,3.0,7.0,1.0,9.0,35.0,72.0,90.0,29.0,12.0,3.0,1.0,,1.0,0.7272727272727273,0.3173076923076923,0.42857142857142855,0.2571428571428571,0.32038834951456313,0.40625,0.05078125,0.3076923076923077,0.3076923076923077,1.0,0.35546875,0.31868131868131866,0.31868131868131866,0.6896551724137931,0.1,0.5,1.0,0.25,0.4,1.0,0.0410958904109589,,0.4383561643835616,0.32222222222222224,25.523076923076925,9.0,27.0,1.0,1.0,0.03278688524590164,0.28125,0.009523809523809525,,,,,,,,True,,,
2366,1610612760,Mike Wilks,Mike Wilks,2366,SEA,16719.0,279,20.0,524,526,214.0,197,69,1050,15.0,26.0,,1.0,5.0,8.0,7.0,10.0,10.0,32.0,32.0,68,22.0,98.0,550,,3.0,5.0,13.0,27.0,10.0,42.0,14.0,50.0,,4.0,28.0,11.0,39.0,7.0,9.0,7.0,12.0,89.0,3.0,5.0,2.0,17.0,,19.0,8.0,27.0,,9.0,5.0,4.0,9.0,1.0,7.0,5.0,2.0,1.0,,14.0,1.0,6.0,7.0,21.0,1.0,1.0,28.0,1.0,4.0,27.0,3.0,9.0,5.0,3.0,,1.0,2.0,3.0,2.0,,,,42.0,214.0,5.0,5.0,0.21875,0.21875,0.47058823529411764,,0.48148148148148145,0.4935064935064935,0.375,0.5333333333333333,0.5454545454545454,0.5,0.5555555555555556,0.058823529411764705,0.07692307692307693,,17.05685618729097,0.6428571428571429,,0.09239130434782608,0.027777777777777776,0.03278688524590164,0.0625,0.07755102040816327,0.03508771929824561,0.024390243902439025,0.031746031746031744,0.02631578947368421,0.05555555555555555,0.08333333333333333,0.06349206349206349,0.14,0.08450704225352113,0.04878048780487805,,,0.6666666666666666,0.33766233766233766,0.5769230769230769,0.625,0.2,0.12987012987012986,0.7,0.7,0.2857142857142857,0.4155844155844156,0.3125,0.3333333333333333,0.2,0.25,,,0.26666666666666666,0.625,0.45454545454545453,0.4746805194805193,0.5184375000000001,0.44345000000000007,0.10843373493975904,0.12162162162162163,0.05102040816326531,0.42857142857142855,9.966176470588236,0.4083969465648855,1.0,2.0,,,,,3.0,7.0,1.0,1.0,3.0,4.0,9.0,1.0,1.0,2.0,2.0,3.0,9.0,7.0,3.0,4.0,1.0,,,,0.75,0.4444444444444444,1.0,0.6666666666666666,0.4444444444444444,0.11688311688311688,0.025974025974025976,0.5,0.5,1.0,0.09090909090909091,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,,0.25,1.0,1.0,,,0.1,0.42857142857142855,25.15555555555555,2.0,3.0,,,0.0625,0.6666666666666666,,2.0,,,,,,,True,,,
2557,1610612760,Luke Ridnour,Luke Ridnour,2557,SEA,21843.0,364,-75.0,696,703,282.0,279,90,1399,15.0,28.0,2.0,3.0,10.0,18.0,22.0,50.0,16.0,38.0,53.0,116,35.0,159.0,796,5.0,12.0,10.0,23.0,45.0,15.0,73.0,16.0,90.0,,8.0,38.0,13.0,51.0,12.0,17.0,10.0,11.0,115.0,1.0,4.0,2.0,28.0,,30.0,5.0,35.0,2.0,9.0,3.0,6.0,13.0,6.0,12.0,16.0,1.0,1.0,2.0,29.0,3.0,10.0,14.0,33.0,,4.0,37.0,,1.0,42.0,2.0,15.0,7.0,5.0,2.0,2.0,1.0,5.0,2.0,,,,73.0,282.0,6.0,7.0,0.1509433962264151,0.1509433962264151,0.45689655172413796,0.4166666666666667,0.5111111111111111,0.43661971830985913,0.4166666666666667,0.5178571428571429,0.49074074074074076,0.4166666666666667,0.553030303030303,0.06896551724137931,0.10714285714285714,0.1,23.75621890547264,0.4482758620689655,,0.109375,0.015810276679841896,0.02564102564102564,0.014492753623188406,0.08982035928143713,0.015527950310559006,0.01639344262295082,0.020618556701030927,0.010526315789473684,,0.043478260869565216,0.02666666666666667,0.09859154929577464,0.17272727272727273,0.022727272727272728,0.029411764705882353,0.028169014084507043,0.4,0.19718309859154928,0.5357142857142857,0.6,0.2,0.352112676056338,0.44,0.4888888888888889,0.045454545454545456,0.2676056338028169,0.42105263157894735,0.42105263157894735,0.25,0.25,0.6666666666666666,0.5,0.32142857142857145,0.5555555555555556,0.38028169014084506,0.4405158450704225,0.451225,0.4571910714285714,0.0967741935483871,0.11627906976744186,0.06289308176100629,0.4591194968553459,9.768965517241377,0.4051724137931034,2.0,7.0,,,2.0,3.0,4.0,19.0,,,8.0,6.0,26.0,,,,4.0,11.0,12.0,19.0,4.0,1.0,,,,,0.6666666666666666,0.23076923076923078,,0.36363636363636365,0.23076923076923078,0.18309859154929578,0.04929577464788732,0.2857142857142857,0.2857142857142857,1.0,0.13380281690140844,0.21052631578947367,0.21052631578947367,0.5,,,,,,,0.05357142857142857,0.6666666666666666,0.14285714285714285,0.21052631578947367,25.253846153846155,2.0,6.0,,,,0.25,,,,,,,,,True,,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,24839.0,414,10.0,795,802,316.0,324,104,1597,19.0,30.0,6.0,8.0,7.0,11.0,25.0,51.0,19.0,41.0,63.0,122,84.0,294.0,889,10.0,19.0,42.0,19.0,45.0,50.0,112.0,38.0,88.0,8.0,7.0,15.0,10.0,25.0,7.0,11.0,2.0,2.0,60.0,3.0,14.0,7.0,46.0,9.0,62.0,17.0,79.0,9.0,12.0,11.0,1.0,13.0,2.0,9.0,8.0,4.0,,2.0,21.0,2.0,7.0,18.0,41.0,3.0,4.0,60.0,3.0,,100.0,3.0,27.0,19.0,12.0,12.0,,,14.0,10.0,,,,112.0,316.0,5.0,19.0,0.30158730158730157,0.3220338983050847,0.5163934426229508,0.5263157894736842,0.4222222222222222,0.5329949238578681,0.5576923076923077,0.4305555555555556,0.6008230452674898,0.6774193548387096,0.5490196078431373,0.05737704918032787,0.03333333333333333,0.09803921568627451,29.042904290429043,0.6190476190476191,0.3103448275862069,0.17100371747211895,0.05761316872427984,0.08235294117647059,0.02912621359223301,0.1497175141242938,0.049132947976878616,0.04411764705882353,0.09090909090909091,0.04081632653061224,0.04,,0.18888888888888888,0.15254237288135594,0.16666666666666666,0.07547169811320754,0.09375,0.09375,0.7142857142857143,0.15228426395939088,0.6333333333333333,0.6551724137931034,0.3684210526315789,0.25888324873096447,0.49019607843137253,0.5434782608695652,0.16,0.20812182741116753,0.4634146341463415,0.475,0.42105263157894735,0.3076923076923077,0.75,0.16666666666666666,0.1527777777777778,0.6363636363636364,0.5329949238578681,0.46038749999999995,0.48467083333333333,0.44673732394366195,0.13392857142857142,0.18493150684931506,0.14285714285714285,0.38095238095238093,9.403278688524587,0.39748427672955977,5.0,12.0,,2.0,2.0,4.0,23.0,63.0,3.0,5.0,23.0,28.0,75.0,3.0,7.0,13.0,8.0,27.0,63.0,62.0,23.0,3.0,,2.0,1.0,1.0,0.75,0.37333333333333335,0.42857142857142855,0.2962962962962963,0.3783783783783784,0.38071065989847713,0.06091370558375635,0.4166666666666667,0.4166666666666667,1.0,0.3197969543147208,0.36507936507936506,0.3709677419354839,0.6956521739130435,0.07692307692307693,,,0.19230769230769232,0.6,1.0,0.05555555555555555,0.5,0.3194444444444444,0.3709677419354839,25.604,6.0,21.0,1.0,3.0,0.024390243902439025,0.2608695652173913,0.038461538461538464,2.0,1.0,0.013333333333333334,0.015873015873015872,,,,True,,,
200754,1610612760,Mouhamed Sene,Mouhamed Sene,200754,SEA,6435.0,107,-60.0,198,201,62.0,83,30,399,5.0,10.0,2.0,4.0,2.0,4.0,5.0,17.0,1.0,5.0,11.0,32,13.0,35.0,234,2.0,6.0,11.0,4.0,13.0,9.0,17.0,12.0,10.0,4.0,2.0,,,,,,,,,1.0,13.0,1.0,15.0,3.0,19.0,14.0,33.0,2.0,1.0,1.0,,3.0,,1.0,6.0,2.0,,3.0,9.0,2.0,3.0,9.0,16.0,2.0,,12.0,3.0,,19.0,1.0,4.0,6.0,5.0,1.0,,4.0,6.0,5.0,1.0,,,17.0,62.0,2.0,6.0,0.5454545454545454,0.6666666666666666,0.34375,0.3333333333333333,0.3076923076923077,0.34375,0.3333333333333333,0.3076923076923077,0.4268292682926829,0.55,0.4473684210526316,0.0625,0.1,0.058823529411764705,21.36752136752137,0.3333333333333333,0.375,0.234375,0.14942528735632185,0.05555555555555555,0.06666666666666667,0.1951219512195122,0.13725490196078433,0.2857142857142857,0.09090909090909091,0.12121212121212122,0.08333333333333333,,0.18181818181818182,0.3,0.21212121212121213,,0.125,0.10526315789473684,0.8333333333333334,0.3125,0.5,0.5555555555555556,0.6,0.53125,0.29411764705882354,0.3125,0.6,0.15625,0.2,0.2,,0.6666666666666666,0.5,,0.3076923076923077,0.5,0.3125,0.41615625,0.44201666666666667,0.3904461538461538,0.11428571428571428,0.11428571428571428,0.3142857142857143,0.4857142857142857,7.84375,0.31313131313131315,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,True,,,
988,1610612760,Randy Livingston,Randy Livingston,988,SEA,1549.0,26,-42.0,43,45,5.0,3,7,88,,1.0,,,,,,,,2.0,,3,,,70,,,,,1.0,,,,,,,4.0,,4.0,,1.0,2.0,1.0,8.0,,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,7.692307692307692,1.0,,,0.041666666666666664,,,,0.03571428571428571,,0.1111111111111111,,,,,,,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,,,,,,,,0.3333333333333333,0.4408,,0.398,,,,,13.166666666666666,0.11627906976744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2404,1610612760,Chris Wilcox,Chris Wilcox,2404,SEA,42232.0,704,36.0,1359,1360,364.0,390,183,2719,71.0,104.0,20.0,29.0,12.0,20.0,38.0,110.0,9.0,23.0,118.0,237,69.0,305.0,1472,23.0,37.0,66.0,20.0,47.0,22.0,62.0,164.0,72.0,32.0,15.0,17.0,4.0,21.0,2.0,13.0,1.0,3.0,46.0,11.0,48.0,24.0,70.0,19.0,113.0,59.0,172.0,11.0,20.0,14.0,6.0,16.0,1.0,6.0,22.0,10.0,1.0,5.0,38.0,5.0,7.0,34.0,57.0,3.0,8.0,74.0,7.0,3.0,98.0,12.0,48.0,7.0,10.0,7.0,,3.0,10.0,4.0,4.0,,3.0,62.0,364.0,4.0,7.0,0.6949152542372882,0.803921568627451,0.4978902953586498,0.6216216216216216,0.425531914893617,0.49372384937238495,0.6216216216216216,0.40816326530612246,0.5407801418439716,0.673469387755102,0.47692307692307695,0.06329113924050633,0.028846153846153848,0.10909090909090909,20.356234096692113,0.42105263157894735,0.4523809523809524,0.15765765765765766,0.10105263157894737,0.14545454545454545,0.08148148148148149,0.15435139573070608,0.09672131147540984,0.11904761904761904,0.12021857923497267,0.06626506024096386,0.061224489795918366,0.13513513513513514,0.13768115942028986,0.1504424778761062,0.17616580310880828,0.14705882352941177,0.14285714285714285,0.10576923076923077,0.4,0.4351464435146444,0.6826923076923077,0.7029702970297029,0.7183098591549296,0.4602510460251046,0.34545454545454546,0.3877551020408163,0.631578947368421,0.09623430962343096,0.391304347826087,0.391304347826087,0.7777777777777778,0.7837837837837838,0.6896551724137931,0.2,0.40816326530612246,0.6,0.4435146443514644,0.4871493670886076,0.5382272727272728,0.48446808510638295,0.17454545454545456,0.17582417582417584,0.21639344262295082,0.20327868852459016,5.248523206751054,0.2678440029433407,,,,,,,,2.0,,,2.0,,2.0,,,20.0,,2.0,,,,2.0,3.0,,,,,,,,,0.008368200836820083,,,,,0.008368200836820083,,,,,,,,,,,,0.04081632653061224,,69.44999999999999,,,2.0,,,,,,,,,2.0,,,True,,,
