EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,LongMidRangePctBlocked,OffCorner3ReboundPct,3SecondViolations,DefensiveGoaltends,on,OffensiveGoaltends,3pt And 1 Free Throw Trips
101110,1610612757,Martell Webster,Martell Webster,101110,POR,59881.0,998,-112,1843,1843,465,557,247,3686,30.0,54.0,11.0,20.0,11.0,18.0,6.0,14.0,22.0,71.0,27.0,67.0,3.0,5.0,3.0,11.0,26.0,69.0,5.0,8.0,5.0,20.0,58.0,139.0,53.0,136.0,49.0,324.0,2024.0,11.0,24.0,8.0,13.0,10.0,56.0,14.0,31.0,8.0,31.0,16.0,68.0,64.0,52.0,153.0,6.0,18.0,2.0,67.0,26.0,10.0,2.0,26.0,7.0,33.0,3.0,4.0,13.0,6.0,7.0,73.0,5.0,16.0,1.0,31.0,70.0,7.0,108.0,22.0,130.0,7.0,17.0,10.0,7.0,21.0,4.0,13.0,27.0,2.0,8.0,3.0,11.0,48.0,4.0,5.0,30.0,72.0,1.0,4.0,57.0,2.0,4.0,73.0,3.0,21.0,4.0,11.0,14.0,11.0,1.0,2.0,14.0,8.0,1.0,68.0,465,15.0,11.0,0.5517241379310345,0.6530612244897959,0.9622641509433962,0.3897058823529412,0.6153846153846154,0.25806451612903225,0.39552238805970147,0.4172661870503597,0.4583333333333333,0.45161290322580644,0.5,0.6216216216216216,0.41935483870967744,0.525974025974026,0.6666666666666666,0.4473684210526316,0.49454545454545457,0.014705882352941176,0.07194244604316546,0.14814814814814814,0.14285714285714285,0.014925373134328358,0.014492753623188406,16.69010782934834,0.4375,0.11864406779661017,0.018518518518518517,0.11146496815286625,0.022598870056497175,0.16145833333333334,0.028409090909090908,0.12317073170731707,0.023755656108597284,0.029914529914529916,0.0375,0.009554140127388535,0.04716981132075472,0.06467661691542288,0.1329479768786127,0.13385826771653545,0.16666666666666666,0.14583333333333334,0.046357615894039736,0.5714285714285714,0.19636363636363635,0.5555555555555556,0.6521739130434783,0.36666666666666664,0.05090909090909091,0.42857142857142855,0.5,0.16666666666666666,0.2581818181818182,0.30985915492957744,0.30985915492957744,0.9090909090909091,0.24363636363636362,0.40298507462686567,0.4090909090909091,0.9629629629629629,0.2509090909090909,0.37681159420289856,0.38235294117647056,0.9615384615384616,0.5405405405405406,0.55,0.09090909090909091,0.13513513513513514,0.6,1.0,0.21621621621621623,0.625,1.0,0.2903225806451613,0.6111111111111112,0.1774193548387097,0.2727272727272727,0.3225806451612903,0.25,0.6909090909090909,0.3880597014925373,0.522240476190476,0.5386933333333334,0.5299050000000001,0.08417508417508418,0.1337579617834395,0.02857142857142857,0.1728395061728395,0.20987654320987653,10.979856115107914,24.566911764705875,0.2523060227889311,,,,,,,,,True,,
101127,1610612757,Jarrett Jack,Jarrett Jack,101127,POR,159050.0,2651,-302,4840,4847,1252,1371,622,9687,122.0,201.0,7.0,13.0,36.0,62.0,44.0,96.0,91.0,228.0,18.0,44.0,1.0,2.0,3.0,11.0,45.0,136.0,4.0,11.0,9.0,40.0,257.0,525.0,63.0,180.0,243.0,946.0,5371.0,17.0,34.0,5.0,13.0,22.0,71.0,65.0,128.0,12.0,51.0,129.0,295.0,66.0,448.0,165.0,24.0,2.0,7.0,129.0,45.0,31.0,,331.0,86.0,417.0,36.0,50.0,156.0,54.0,121.0,920.0,2.0,16.0,,49.0,136.0,5.0,190.0,18.0,208.0,1.0,86.0,45.0,41.0,93.0,23.0,58.0,94.0,13.0,35.0,5.0,17.0,187.0,13.0,50.0,83.0,202.0,6.0,23.0,211.0,5.0,12.0,279.0,19.0,78.0,1.0,46.0,8.0,5.0,1.0,2.0,9.0,7.0,5.0,295.0,1252,33.0,41.0,0.12840466926070038,0.12890625,0.873015873015873,0.35,0.38461538461538464,0.23529411764705882,0.36416184971098264,0.4895238095238095,0.5,0.5078125,0.49858156028368794,0.5212765957446809,0.46368715083798884,0.561035758323058,0.6140350877192983,0.5877551020408164,0.2553191489361702,,0.05904761904761905,0.1044776119402985,0.041666666666666664,,,17.87889645288427,0.49732620320855614,0.03676470588235294,,0.08197709463532249,0.008839779005524863,0.09315589353612168,0.0045045045045045045,0.08466819221967964,0.007985803016858917,0.013986013986013986,0.003992015968063872,0.008141112618724558,0.007326007326007326,0.0738255033557047,0.06338028169014084,0.10204081632653061,0.08629441624365482,0.11363636363636363,0.0029498525073746312,0.7777777777777778,0.2851063829787234,0.6069651741293532,0.6777777777777778,0.14754098360655737,0.13617021276595745,0.4583333333333333,0.4782608695652174,0.045454545454545456,0.32340425531914896,0.3991228070175439,0.4099099099099099,0.14285714285714285,0.062411347517730496,0.4090909090909091,0.4090909090909091,0.9444444444444444,0.19290780141843972,0.33088235294117646,0.33088235294117646,0.8444444444444444,0.2765957446808511,0.5384615384615384,,0.0425531914893617,0.5,1.0,0.23404255319148937,0.36363636363636365,1.0,0.3463687150837989,0.5806451612903226,0.061452513966480445,0.2727272727272727,0.22346368715083798,0.225,0.5404255319148936,0.3488372093023256,0.4785166905444124,0.4777464285714285,0.4702748554913295,0.10326797385620914,0.13356164383561644,0.0055248618784530384,0.07505285412262157,0.3118393234672304,10.011999999999999,25.463333333333335,0.25867768595041324,1.0,47.0,1.0,1.0,0.02631578947368421,,,,True,,
101195,1610612757,Luke Schenscher,Luke Schenscher,101195,POR,2327.0,39,-19,74,75,30,58,8,149,1.0,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,4.0,,,3.0,5.0,89.0,,1.0,,,,,,1.0,,,2.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,,1.0,3.0,4.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,4.0,7.0,1.0,1.0,3.0,1.0,,4.0,,2.0,,,2.0,1.0,,1.0,2.0,1.0,,2.0,30,2.0,,1.0,1.0,,,,,,0.25,,,0.25,,,0.4166666666666667,,0.5,,,0.25,,1.0,,,8.333333333333334,,,,0.043478260869565216,0.08823529411764706,,,0.03333333333333333,0.07692307692307693,0.09090909090909091,,0.125,,0.1111111111111111,,,,,0.5,0.5,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.75,,0.490025,0.5773,0.367,0.3333333333333333,0.3333333333333333,,,0.4,1.225,,0.40540540540540543,,,,,,,,,True,,
1711,1610612757,Raef LaFrentz,Raef LaFrentz,1711,POR,11446.0,191,-105,345,354,62,91,33,699,5.0,13.0,1.0,7.0,,,4.0,7.0,9.0,21.0,,2.0,,1.0,,,,10.0,,,,2.0,18.0,41.0,,12.0,5.0,41.0,421.0,2.0,9.0,,1.0,2.0,6.0,1.0,2.0,,2.0,1.0,3.0,26.0,10.0,,,2.0,,10.0,,3.0,,3.0,2.0,5.0,1.0,1.0,,1.0,2.0,12.0,2.0,9.0,,4.0,16.0,1.0,21.0,11.0,32.0,3.0,5.0,1.0,4.0,7.0,1.0,5.0,2.0,,2.0,,,9.0,,3.0,24.0,34.0,2.0,1.0,7.0,,1.0,9.0,3.0,5.0,,1.0,6.0,5.0,,1.0,6.0,3.0,2.0,3.0,62,2.0,1.0,0.7222222222222222,0.7647058823529411,,,,,,0.43902439024390244,0.2222222222222222,0.5,0.33962264150943394,0.2,0.25,0.36607142857142855,0.2727272727272727,0.3,0.22641509433962265,,0.07317073170731707,0.15384615384615385,0.14285714285714285,,,16.75257731958763,0.7777777777777778,0.07692307692307693,,0.14285714285714285,0.07086614173228346,0.11764705882352941,0.041666666666666664,0.136986301369863,0.06285714285714286,0.08888888888888889,0.13793103448275862,0.018867924528301886,,0.21951219512195122,0.13793103448275862,0.07142857142857142,0.07692307692307693,0.25,0.09375,0.5,0.24528301886792453,0.38461538461538464,0.45454545454545453,0.8,0.1320754716981132,0.5714285714285714,0.6666666666666666,0.5,0.39622641509433965,0.42857142857142855,0.42857142857142855,0.7777777777777778,0.03773584905660377,,,,0.18867924528301888,,,,0.7,0.14285714285714285,,0.1,,,,,,,,,,0.5,,0.4716981132075472,,0.47929339622641504,0.544775,0.46375,0.09090909090909091,0.11627906976744186,,0.14634146341463414,0.07317073170731707,11.514634146341463,24.841666666666665,0.17971014492753623,,,,,,0.08333333333333333,,,True,,
200750,1610612757,Brandon Roy,Brandon Roy,200750,POR,83338.0,1389,-130,2542,2539,611,677,340,5081,80.0,145.0,13.0,23.0,13.0,26.0,41.0,102.0,63.0,145.0,21.0,41.0,2.0,3.0,5.0,10.0,19.0,62.0,2.0,4.0,4.0,16.0,184.0,392.0,40.0,103.0,104.0,592.0,2839.0,20.0,41.0,4.0,7.0,6.0,58.0,34.0,83.0,9.0,26.0,55.0,150.0,98.0,270.0,108.0,12.0,10.0,3.0,59.0,19.0,24.0,,95.0,47.0,142.0,29.0,18.0,40.0,13.0,42.0,331.0,7.0,30.0,,29.0,102.0,2.0,133.0,37.0,170.0,20.0,42.0,33.0,9.0,45.0,3.0,17.0,41.0,6.0,28.0,1.0,12.0,86.0,6.0,20.0,37.0,89.0,3.0,8.0,129.0,,12.0,119.0,6.0,39.0,,23.0,7.0,4.0,,3.0,7.0,5.0,,150.0,611,7.0,20.0,0.266304347826087,0.2737430167597765,0.9,0.3883495145631068,0.5714285714285714,0.34615384615384615,0.4,0.46938775510204084,0.4878048780487805,0.40963855421686746,0.49292929292929294,0.5416666666666666,0.43577981651376146,0.5372050816696915,0.5686274509803921,0.5357142857142857,0.2080808080808081,,0.061224489795918366,0.11724137931034483,0.06862745098039216,,,21.476736345246124,0.5232558139534884,0.029850746268656716,,0.11208791208791209,0.031023784901758014,0.11507936507936507,0.029914529914529916,0.11273666092943202,0.030807660283097418,0.047021943573667714,0.04436860068259386,0.005633802816901409,0.0273972602739726,0.08504398826979472,0.0730593607305936,0.16285714285714287,0.11229946524064172,0.12307692307692308,0.08368200836820083,0.7142857142857143,0.29292929292929293,0.5517241379310345,0.625,0.2625,0.20606060606060606,0.4019607843137255,0.43157894736842106,0.1951219512195122,0.29292929292929293,0.43448275862068964,0.43448275862068964,0.31746031746031744,0.08282828282828283,0.5121951219512195,0.5121951219512195,1.0,0.12525252525252525,0.3064516129032258,0.3064516129032258,0.7894736842105263,0.4791666666666667,0.5652173913043478,0.07692307692307693,0.0625,0.6666666666666666,1.0,0.08333333333333333,0.5,1.0,0.23853211009174313,0.5,0.09174311926605505,0.5,0.14678899082568808,0.25,0.501010101010101,0.3220338983050847,0.4694265243902438,0.51108875,0.4447391509433963,0.07386363636363637,0.09176470588235294,,0.09797297297297297,0.2533783783783784,9.331632653061224,24.85145631067961,0.24036191974822974,1.0,1.0,,,,0.03409090909090909,1.0,,True,,
200771,1610612757,Sergio Rodriguez,Sergio Rodriguez,200771,POR,7085.0,118,-54,226,222,62,66,32,448,3.0,9.0,1.0,1.0,,,,1.0,5.0,13.0,,2.0,,,,1.0,1.0,9.0,,1.0,,3.0,8.0,23.0,1.0,11.0,1.0,20.0,245.0,2.0,4.0,,1.0,,4.0,,3.0,,4.0,1.0,1.0,2.0,14.0,3.0,,,,9.0,1.0,4.0,,11.0,6.0,17.0,3.0,3.0,1.0,2.0,8.0,40.0,,2.0,,5.0,7.0,,12.0,2.0,14.0,,4.0,1.0,3.0,7.0,2.0,6.0,5.0,,1.0,,,12.0,1.0,5.0,1.0,7.0,,1.0,3.0,,1.0,2.0,,,,1.0,,,,,,,,1.0,62,,1.0,0.125,0.125,1.0,0.09090909090909091,,,0.09090909090909091,0.34782608695652173,0.5,,0.27941176470588236,0.4,,0.2857142857142857,0.4,0.0625,0.3235294117647059,,0.17391304347826086,0.3333333333333333,,,,18.287937743190664,0.5833333333333334,,,0.11290322580645161,0.021505376344086023,0.21739130434782608,,0.1411764705882353,0.016666666666666666,0.02857142857142857,0.05555555555555555,,,0.047619047619047616,,0.21428571428571427,0.11764705882352941,0.5,,,0.2647058823529412,0.3333333333333333,0.5,,0.029411764705882353,,,,0.38235294117647056,0.38461538461538464,0.4166666666666667,0.2,0.058823529411764705,,,,0.2647058823529412,0.1111111111111111,0.1111111111111111,1.0,0.2,1.0,,,,,0.2,,,,,0.14285714285714285,,0.42857142857142855,,0.5882352941176471,0.1111111111111111,0.47939545454545457,0.3972333333333333,0.406625,,,,0.2,0.05,11.52608695652174,25.909090909090914,0.2743362831858407,,,,,0.07692307692307693,,,,True,,
2410,1610612757,Fred Jones,Fred Jones,2410,POR,9181.0,153,-82,284,282,80,85,24,566,3.0,9.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,12.0,1.0,3.0,,,,,2.0,8.0,1.0,3.0,2.0,2.0,7.0,27.0,3.0,11.0,7.0,30.0,348.0,1.0,2.0,1.0,3.0,2.0,7.0,1.0,6.0,2.0,2.0,1.0,9.0,8.0,6.0,9.0,,,,8.0,2.0,2.0,,16.0,2.0,18.0,1.0,1.0,10.0,,6.0,38.0,1.0,1.0,,4.0,3.0,,7.0,2.0,9.0,1.0,7.0,6.0,1.0,5.0,,4.0,3.0,,1.0,1.0,1.0,8.0,,1.0,11.0,20.0,1.0,1.0,7.0,,,10.0,,4.0,,1.0,3.0,3.0,,,3.0,1.0,,9.0,80,3.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.2727272727272727,0.3333333333333333,1.0,0.2727272727272727,0.25925925925925924,0.5,0.16666666666666666,0.3026315789473684,0.5,0.5,0.3488372093023256,0.5833333333333334,0.5,0.2894736842105263,,0.07407407407407407,0.1111111111111111,0.16666666666666666,,,16.451612903225804,0.625,,,0.030303030303030304,0.009900990099009901,0.1,0.047619047619047616,0.050359712230215826,0.01639344262295082,0.03125,,,0.09090909090909091,0.08108108108108109,,,0.12903225806451613,,0.04,0.3333333333333333,0.23684210526315788,0.3333333333333333,0.375,0.3333333333333333,0.15789473684210525,0.3333333333333333,0.4,0.5,0.3157894736842105,0.16666666666666666,0.16666666666666666,1.0,0.07894736842105263,0.3333333333333333,0.3333333333333333,1.0,0.21052631578947367,0.25,0.25,1.0,0.2,1.0,1.0,,,,0.6,0.3333333333333333,1.0,0.25,0.5,,,0.25,1.0,0.5263157894736842,0.25,0.47684999999999994,0.5489833333333334,0.44969375,0.09523809523809523,0.12903225806451613,,0.23333333333333334,0.3,10.485185185185186,23.809090909090912,0.28169014084507044,,,,,,,,,True,,
2566,1610612757,Travis Outlaw,Travis Outlaw,2566,POR,44142.0,736,-97,1387,1388,526,569,159,2775,34.0,55.0,15.0,20.0,15.0,23.0,27.0,48.0,45.0,135.0,2.0,5.0,,,,1.0,1.0,7.0,,1.0,1.0,3.0,106.0,238.0,3.0,12.0,72.0,293.0,1540.0,21.0,37.0,,1.0,5.0,47.0,45.0,84.0,1.0,4.0,36.0,129.0,112.0,100.0,9.0,,28.0,,7.0,1.0,16.0,,23.0,7.0,30.0,1.0,6.0,17.0,4.0,2.0,67.0,5.0,24.0,4.0,21.0,48.0,4.0,73.0,33.0,106.0,2.0,29.0,14.0,15.0,20.0,2.0,14.0,18.0,3.0,6.0,,3.0,38.0,5.0,11.0,41.0,73.0,3.0,8.0,65.0,3.0,3.0,91.0,6.0,39.0,1.0,8.0,41.0,32.0,,9.0,41.0,24.0,5.0,129.0,526,10.0,8.0,0.5283018867924528,0.6086956521739131,1.0,0.25,,0.25,0.25,0.44537815126050423,0.5675675675675675,0.5357142857142857,0.442,0.5526315789473685,0.5284090909090909,0.5017123287671232,0.573170731707317,0.5863636363636363,0.048,,0.06722689075630252,0.14545454545454545,0.125,,,20.97902097902098,0.5263157894736842,0.09090909090909091,0.08163265306122448,0.10690423162583519,0.046875,0.11797752808988764,0.05747126436781609,0.11004784688995216,0.048414023372287146,0.06338028169014084,0.03418803418803419,0.043478260869565216,0.05454545454545454,0.08771929824561403,0.1623931623931624,0.08695652173913043,0.1259259259259259,0.09302325581395349,0.01639344262295082,0.5853658536585366,0.22,0.6181818181818182,0.723404255319149,0.29411764705882354,0.192,0.5625,0.6428571428571429,0.48148148148148145,0.54,0.3333333333333333,0.3383458646616541,0.7333333333333333,0.02,0.4,0.4,1.0,0.028,0.14285714285714285,0.14285714285714285,1.0,0.5263157894736842,0.75,,,,,0.02631578947368421,,,0.26136363636363635,0.6521739130434783,0.011363636363636364,,0.03409090909090909,0.3333333333333333,0.268,0.14285714285714285,0.43365883534136546,0.4750191176470589,0.4214545977011495,0.14084507042253522,0.14391143911439114,0.07692307692307693,0.16040955631399317,0.4402730375426621,12.728991596638656,26.416666666666668,0.37923576063446285,,,,,0.014814814814814815,0.0625,1.0,3.0,True,,
2424,1610612757,Dan Dickau,Dan Dickau,2424,POR,3511.0,59,25,121,110,42,56,14,231,3.0,6.0,,1.0,,2.0,,2.0,3.0,8.0,,,,,,,4.0,8.0,1.0,1.0,,1.0,6.0,16.0,4.0,8.0,4.0,28.0,112.0,1.0,2.0,1.0,1.0,,5.0,,4.0,,1.0,3.0,3.0,2.0,10.0,3.0,9.0,,,8.0,4.0,2.0,,7.0,1.0,8.0,,1.0,3.0,1.0,3.0,17.0,1.0,,,4.0,4.0,,8.0,1.0,9.0,,2.0,2.0,,,1.0,,3.0,,,1.0,1.0,3.0,,1.0,4.0,9.0,,,5.0,,1.0,6.0,,1.0,,2.0,,,,,,,,3.0,42,1.0,2.0,0.16666666666666666,0.16666666666666666,0.25,0.5,1.0,,0.5,0.375,0.5,,0.5,0.8333333333333334,,0.5185185185185185,0.8333333333333334,0.21428571428571427,0.3333333333333333,,0.125,0.3333333333333333,,,,22.22222222222222,,,,0.1,,0.25,0.08333333333333333,0.14285714285714285,0.02127659574468085,,,,0.1111111111111111,0.2,,0.058823529411764705,0.3333333333333333,,,,0.25,0.5,0.75,,0.08333333333333333,,,,0.3333333333333333,0.375,0.375,0.3333333333333333,,,,,0.3333333333333333,0.5,0.5,0.25,0.3333333333333333,,,,,,0.3333333333333333,1.0,,0.4,,,,0.2,,0.5833333333333334,0.5,0.47905,0.53785,0.49493,0.04,0.058823529411764705,,0.17857142857142858,0.10714285714285714,11.2375,25.2375,0.34710743801652894,,,,,,,,,True,,
101211,1610612757,Stephen Graham,Stephen Graham,101211,POR,6094.0,102,-46,185,192,78,67,22,377,4.0,10.0,,4.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,,,2.0,2.0,1.0,5.0,,1.0,,1.0,7.0,17.0,3.0,8.0,4.0,27.0,229.0,,4.0,,1.0,,,3.0,5.0,2.0,3.0,,12.0,12.0,2.0,9.0,,,,5.0,1.0,3.0,,3.0,1.0,4.0,,1.0,1.0,,2.0,9.0,,4.0,,,4.0,1.0,5.0,4.0,9.0,,2.0,,2.0,1.0,1.0,,7.0,,1.0,,1.0,8.0,1.0,,8.0,17.0,,3.0,3.0,,,4.0,,2.0,,,,,,,,,,12.0,78,,,0.8571428571428571,0.8571428571428571,1.0,0.375,,0.6666666666666666,0.375,0.4117647058823529,,0.6,0.46,,0.75,0.5,,0.75,0.32,,0.17647058823529413,0.1,0.5,,,16.74641148325359,0.125,0.14285714285714285,,0.0784313725490196,0.06451612903225806,,,0.05,0.05063291139240506,0.08695652173913043,0.043478260869565216,0.0625,,0.0625,,0.13636363636363635,,,,,0.4,0.4,0.4444444444444444,0.75,0.16,0.25,0.5,1.0,0.12,0.6666666666666666,0.6666666666666666,1.0,0.12,0.6666666666666666,0.6666666666666666,1.0,0.2,0.2,0.2,1.0,0.8,,,,,,0.2,,,0.375,0.3333333333333333,0.25,1.0,0.125,,0.72,0.2,0.5180279999999999,0.55353,0.5156000000000001,0.07407407407407407,0.10526315789473684,,,0.4444444444444444,6.08235294117647,24.075,0.42162162162162165,,,,,,,,,True,,
