EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTOffRebounds,OffFTReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedCorner3,OffensiveGoaltends,on
101124,1610612763,Hakim Warrick,Hakim Warrick,101124,MEM,84583.0,1410,-305,2716,2723,875,816,283,5439,150.0,243.0,28.0,44.0,47.0,73.0,40.0,101.0,52.0,112.0,5.0,3.0,242.0,456.0,5.0,193.0,677.0,3100,34.0,57.0,30.0,98.0,68.0,123.0,3.0,74.0,210.0,300.0,184.0,44.0,3.0,2.0,45.0,27.0,23.0,50.0,19.0,4.0,16.0,3.0,8.0,123.0,20.0,60.0,38.0,109.0,33.0,180.0,80.0,260,13.0,30.0,19.0,11.0,56.0,6.0,22.0,61.0,5.0,34.0,1.0,16.0,117.0,8.0,42.0,79.0,160.0,10.0,27.0,192.0,10.0,15.0,245.0,29.0,124.0,13.0,23.0,17.0,1.0,5.0,23.0,12.0,5.0,2.0,2.0,210.0,875,17.0,10.0,0.6198347107438017,0.6818181818181818,0.5307017543859649,0.5964912280701754,0.5528455284552846,0.5249457700650759,0.5964912280701754,0.5396825396825397,0.5949033391915641,0.6621621621621622,0.625,0.010845986984815618,0.09868421052631579,0.15637860082304528,0.0594059405940594,0.008928571428571428,22.565789473684212,0.47863247863247865,0.3626373626373626,0.12645011600928074,0.06920415224913495,0.11875,0.06451612903225806,0.12436548223350254,0.06796941376380629,0.10610932475884244,0.05555555555555555,0.043478260869565216,0.04905660377358491,0.15555555555555556,0.11447811447811448,0.14705882352941177,0.12465373961218837,0.11304347826086956,0.13333333333333333,0.07692307692307693,0.5217391304347826,0.527114967462039,0.6172839506172839,0.7317073170731707,0.66,0.21908893709327548,0.39603960396039606,0.42105263157894735,0.425,0.24295010845986983,0.4642857142857143,0.46846846846846846,0.6538461538461539,0.010845986984815618,0.7719298245614035,0.6363636363636364,0.14285714285714285,0.5793650793650794,0.6438356164383562,0.023809523809523808,0.5379609544468547,0.4898911572052402,0.5348916666666668,0.5004918699186992,0.22302158273381295,0.2250453720508167,0.1447562776957164,0.310192023633678,6.394517543859652,45.839999999999996,0.32216494845360827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101160,1610612763,Lawrence Roberts,Lawrence Roberts,101160,MEM,45721.0,762,-25,1472,1472,448,387,179,2944,61.0,118.0,17.0,32.0,23.0,42.0,6.0,21.0,3.0,12.0,1.0,,70.0,151.0,1.0,69.0,209.0,1604,17.0,33.0,12.0,46.0,25.0,49.0,,26.0,76.0,106.0,34.0,20.0,1.0,,32.0,13.0,10.0,23.0,8.0,2.0,10.0,1.0,2.0,56.0,21.0,51.0,14.0,100.0,16.0,130.0,75.0,205,4.0,27.0,14.0,13.0,20.0,1.0,10.0,8.0,,10.0,,3.0,28.0,5.0,7.0,49.0,108.0,14.0,4.0,74.0,5.0,8.0,96.0,12.0,47.0,7.0,11.0,8.0,,3.0,11.0,3.0,1.0,,4.0,76.0,448,11.0,6.0,0.7571428571428571,0.8833333333333333,0.46357615894039733,0.5151515151515151,0.5102040816326531,0.4605263157894737,0.5151515151515151,0.5102040816326531,0.538659793814433,0.6052631578947368,0.5846153846153846,0.006578947368421052,0.2119205298013245,0.2627118644067797,0.047619047619047616,,13.18289786223278,0.7142857142857143,0.35555555555555557,0.18518518518518517,0.10344827586206896,0.12727272727272726,0.11538461538461539,0.1753846153846154,0.10666666666666667,0.09900990099009901,0.13559322033898305,0.08670520231213873,0.1111111111111111,0.13793103448275862,0.17989417989417988,0.2014388489208633,0.1792452830188679,0.13414634146341464,0.10714285714285714,0.08163265306122448,0.2727272727272727,0.7763157894736842,0.5169491525423728,0.7011494252873564,0.7213114754098361,0.13815789473684212,0.2857142857142857,0.3,1.0,0.07894736842105263,0.25,0.25,1.0,0.006578947368421052,0.9696969696969697,0.53125,0.29411764705882354,0.8571428571428571,0.5476190476190477,,0.7828947368421053,0.5309741721854305,0.5535827586206896,0.534085714285714,0.25133689839572193,0.25268817204301075,0.22009569377990432,0.36363636363636365,2.6596026490066227,58.1,0.30434782608695654,3.0,0.04838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1088,1610612763,Chucky Atkins,Chucky Atkins,1088,MEM,79413.0,1324,-60,2595,2579,954,802,287,5174,73.0,131.0,4.0,5.0,31.0,56.0,16.0,39.0,34.0,86.0,158.0,53.0,123.0,256.0,193.0,147.0,612.0,2878,10.0,13.0,9.0,71.0,52.0,100.0,68.0,98.0,265.0,24.0,222.0,,2.0,156.0,18.0,166.0,59.0,225.0,48.0,11.0,92.0,18.0,56.0,509.0,5.0,6.0,26.0,54.0,4.0,84.0,12.0,96,5.0,34.0,17.0,17.0,50.0,14.0,40.0,36.0,3.0,10.0,,5.0,86.0,3.0,32.0,26.0,86.0,2.0,11.0,148.0,2.0,13.0,187.0,8.0,52.0,40.0,2.0,1.0,1.0,,3.0,1.0,,,2.0,265.0,954,20.0,40.0,0.0975609756097561,0.0975609756097561,0.48046875,0.7692307692307693,0.52,0.5178173719376392,0.775,0.49702380952380953,0.5664794007490637,0.7717391304347826,0.58,0.4298440979955457,0.0703125,0.12213740458015267,0.05128205128205128,,21.305841924398624,0.5813953488372093,0.043478260869565216,0.06315789473684211,0.007481296758104738,0.08099688473520249,0.01694915254237288,0.06802721088435375,0.010027347310847767,0.015873015873015872,0.004878048780487805,,0.011764705882352941,0.05,0.059233449477351915,0.0684931506849315,0.06303724928366762,0.08071748878923767,0.08163265306122448,0.022222222222222223,0.3333333333333333,0.29175946547884185,0.5572519083969466,0.6347826086956522,0.0821917808219178,0.08685968819599109,0.41025641025641024,0.43243243243243246,0.125,0.1915367483296214,0.3953488372093023,0.3953488372093023,0.11764705882352941,0.3518930957683742,0.125,0.8,,0.3333333333333333,0.5535714285714286,0.31547619047619047,0.7216035634743875,0.5061863228699552,0.5111716666666666,0.4922063253012048,0.10728744939271255,0.17333333333333334,0.11601307189542484,0.43300653594771243,7.883593749999997,25.63005181347149,0.3676300578034682,1.0,0.008620689655172414,18.0,35.0,4.0,8.0,6.0,15.0,55.0,10.0,19.0,15.0,73.0,14.0,27.0,21.0,162.0,57.0,55.0,2.0,1.0,8.0,1.0,1.0,1.0,0.7397260273972602,0.37823834196891193,0.5185185185185185,0.3088235294117647,0.38219895287958117,0.010362694300518135,0.012658227848101266,0.0779510022271715,0.5142857142857142,0.5142857142857142,0.8888888888888888,0.34810126582278483,0.3525641025641026,0.6909090909090909,0.2,0.5,1.0,0.475,0.5263157894736842,0.8,0.08928571428571429,0.4,0.2830188679245283,0.3525641025641026,0.005154639175257732,,,,True
200752,1610612763,Rudy Gay,Rudy Gay,200752,MEM,79193.0,1320,-38,2598,2592,779,732,298,5190,85.0,148.0,15.0,27.0,26.0,49.0,33.0,96.0,44.0,124.0,61.0,20.0,162.0,368.0,91.0,84.0,513.0,2864,23.0,46.0,17.0,69.0,50.0,103.0,28.0,37.0,170.0,164.0,160.0,28.0,1.0,60.0,36.0,43.0,15.0,58.0,13.0,2.0,32.0,3.0,8.0,131.0,20.0,39.0,42.0,110.0,7.0,159.0,61.0,220,9.0,44.0,32.0,12.0,36.0,6.0,13.0,45.0,3.0,23.0,5.0,12.0,81.0,9.0,23.0,63.0,135.0,6.0,14.0,93.0,5.0,3.0,123.0,11.0,51.0,16.0,41.0,21.0,9.0,11.0,46.0,26.0,5.0,,,170.0,779,17.0,16.0,0.5061728395061729,0.5540540540540541,0.44021739130434784,0.5,0.4854368932038835,0.4673202614379085,0.49056603773584906,0.5076335877862596,0.4980582524271845,0.5390625,0.551948051948052,0.19825708061002179,0.09782608695652174,0.18243243243243243,0.09375,,20.292815798433775,0.4444444444444444,0.08536585365853659,0.12401352874859076,0.048994974874371856,0.14736842105263157,0.0625,0.1296928327645051,0.0528673835125448,0.04950495049504951,0.06701030927835051,0.03678929765886288,0.06985294117647059,0.020833333333333332,0.10410094637223975,0.11659192825112108,0.14697406340057637,0.14720812182741116,0.14772727272727273,0.04072398190045249,0.5652173913043478,0.3224400871459695,0.5743243243243243,0.7024793388429752,0.4588235294117647,0.20915032679738563,0.34375,0.3793103448275862,0.30303030303030304,0.2701525054466231,0.3548387096774194,0.3548387096774194,0.75,0.1328976034858388,0.5094339622641509,0.5555555555555556,0.13333333333333333,0.37404580152671757,0.5306122448979592,0.15267175572519084,0.5206971677559913,0.4865422489082968,0.4871720588235294,0.49361615384615387,0.10220440881763528,0.125,0.13450292397660818,0.3313840155945419,8.534782608695652,25.183516483516488,0.2998460354118553,2.0,0.02040816326530612,11.0,30.0,1.0,2.0,3.0,8.0,24.0,1.0,5.0,8.0,35.0,2.0,7.0,11.0,93.0,12.0,24.0,,,,,5.0,5.0,0.8857142857142857,0.38461538461538464,0.2857142857142857,0.39285714285714285,0.3888888888888889,,,0.06535947712418301,0.36666666666666664,0.36666666666666664,1.0,0.39344262295081966,0.39344262295081966,0.8333333333333334,0.03773584905660377,0.5,1.0,0.09433962264150944,0.2,1.0,0.061068702290076333,0.375,0.4,0.4,,,,,True
2034,1610612763,Mike Miller,Mike Miller,2034,MEM,164379.0,2740,-303,5332,5326,1619,1487,586,10658,152.0,239.0,15.0,24.0,37.0,68.0,19.0,48.0,92.0,225.0,456.0,117.0,263.0,512.0,498.0,161.0,1293.0,5976,25.0,46.0,9.0,107.0,68.0,142.0,128.0,86.0,372.0,266.0,260.0,24.0,,456.0,30.0,238.0,60.0,298.0,38.0,22.0,115.0,42.0,81.0,656.0,13.0,36.0,83.0,232.0,11.0,326.0,52.0,378,19.0,54.0,37.0,17.0,95.0,32.0,63.0,84.0,5.0,32.0,3.0,13.0,179.0,9.0,55.0,70.0,138.0,7.0,20.0,208.0,14.0,20.0,203.0,29.0,74.0,34.0,18.0,15.0,,3.0,18.0,12.0,,2.0,1.0,372.0,1619,17.0,32.0,0.5057034220532319,0.5298804780876494,0.513671875,0.5434782608695652,0.4788732394366197,0.5603960396039604,0.5764705882352941,0.5296296296296297,0.5876146788990826,0.5944444444444444,0.5768025078369906,0.49306930693069306,0.05859375,0.09205020920502092,0.125,0.008888888888888889,21.160580290145074,0.5307262569832403,0.06358381502890173,0.1318181818181818,0.021621621621621623,0.1440972222222222,0.020030816640986132,0.1348458904109589,0.021175453759723423,0.0304,0.015909090909090907,0.016666666666666666,0.017953321364452424,0.03260869565217391,0.09317803660565724,0.14093959731543623,0.15870786516853932,0.16216216216216217,0.10059171597633136,0.038,0.6666666666666666,0.23663366336633662,0.6359832635983264,0.7004608294930875,0.5,0.047524752475247525,0.3958333333333333,0.4523809523809524,0.15789473684210525,0.22277227722772278,0.4088888888888889,0.4125560538116592,0.5869565217391305,0.4514851485148515,0.2823529411764706,0.625,0.13333333333333333,0.2518518518518518,0.5441176470588235,0.43333333333333335,0.7297029702970297,0.5126566897918732,0.5099577586206897,0.48964460966542744,0.07102272727272728,0.13285457809694792,0.08275328692962104,0.2877030162412993,9.696484375000002,25.72550200803213,0.3036384096024006,3.0,0.014925373134328358,17.0,42.0,1.0,5.0,7.0,11.0,185.0,15.0,34.0,43.0,202.0,16.0,39.0,50.0,507.0,99.0,185.0,6.0,1.0,13.0,1.0,,,0.8366336633663366,0.40562248995983935,0.41025641025641024,0.390625,0.40562248995983935,0.012048192771084338,0.010964912280701754,0.041584158415841586,0.40476190476190477,0.4146341463414634,0.9411764705882353,0.4057017543859649,0.41019955654101997,0.827027027027027,0.058823529411764705,0.2,1.0,0.4,0.4411764705882353,0.8,0.040740740740740744,0.6363636363636364,0.36752136752136755,0.4057017543859649,0.002004008016032064,0.023809523809523808,,,True
200768,1610612763,Kyle Lowry,Kyle Lowry,200768,MEM,6529.0,109,80,213,204,107,67,25,417,6.0,13.0,,,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,8.0,18.0,5.0,21.0,40.0,181,,1.0,5.0,5.0,2.0,5.0,2.0,12.0,16.0,,16.0,,,2.0,3.0,12.0,9.0,21.0,8.0,1.0,8.0,,4.0,51.0,1.0,5.0,5.0,9.0,,14.0,8.0,22,,9.0,5.0,4.0,2.0,,2.0,4.0,1.0,,,1.0,6.0,,4.0,8.0,14.0,1.0,1.0,19.0,1.0,4.0,24.0,2.0,8.0,5.0,1.0,,1.0,,1.0,,,,,16.0,107,3.0,4.0,,,0.4444444444444444,,0.4,0.41304347826086957,,0.2857142857142857,0.5882352941176471,0.625,0.5714285714285714,0.21739130434782608,0.16666666666666666,0.15384615384615385,0.5,,16.3265306122449,0.3333333333333333,,0.14516129032258066,0.08196721311475409,0.18518518518518517,0.03571428571428571,0.15730337078651685,0.06741573033707865,0.12,0.0625,0.05,0.043478260869565216,,,0.22727272727272727,0.17391304347826086,0.2631578947368421,,,,0.5652173913043478,0.46153846153846156,0.5454545454545454,,0.08695652173913043,0.5,1.0,,0.13043478260869565,0.3333333333333333,0.3333333333333333,,0.08695652173913043,,,,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.782608695652174,0.551654347826087,,0.5074857142857143,0.27586206896551724,0.3333333333333333,0.125,0.4,4.127777777777778,24.04,0.5023474178403756,2.0,0.2222222222222222,1.0,3.0,,,,1.0,,,,,1.0,,,,3.0,,,,,,,,,1.0,0.2,,,0.2,,,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,0.14285714285714285,,,,,,,,True
200792,1610612763,Alexander Johnson,Alexander Johnson,200792,MEM,31224.0,520,-9,1011,1008,297,252,113,2019,47.0,79.0,13.0,19.0,16.0,24.0,11.0,30.0,4.0,13.0,,,62.0,122.0,,60.0,184.0,1148,13.0,21.0,13.0,39.0,18.0,33.0,,22.0,58.0,84.0,40.0,22.0,,,12.0,8.0,2.0,10.0,,2.0,6.0,1.0,1.0,22.0,6.0,29.0,20.0,62.0,10.0,92.0,36.0,128,4.0,17.0,13.0,4.0,12.0,,4.0,18.0,1.0,8.0,2.0,5.0,30.0,7.0,11.0,52.0,98.0,12.0,8.0,74.0,4.0,14.0,85.0,9.0,39.0,8.0,27.0,19.0,,8.0,28.0,12.0,3.0,1.0,3.0,58.0,297,9.0,6.0,0.6774193548387096,0.8235294117647058,0.5081967213114754,0.6190476190476191,0.5454545454545454,0.5081967213114754,0.6190476190476191,0.5454545454545454,0.575,0.6964285714285714,0.6170212765957447,,0.09836065573770492,0.1518987341772152,,,16.76963812886143,0.4,0.38461538461538464,0.19254658385093168,0.09634551495016612,0.17391304347826086,0.05128205128205128,0.18764302059496568,0.08373205741626795,0.14782608695652175,0.05128205128205128,0.07407407407407407,0.04854368932038835,0.07142857142857142,0.11428571428571428,0.20930232558139536,0.24427480916030533,0.14666666666666667,0.225,0.08333333333333333,0.42857142857142855,0.6475409836065574,0.5949367088607594,0.7014925373134329,0.6595744680851063,0.2459016393442623,0.36666666666666664,0.36666666666666664,0.7272727272727273,0.10655737704918032,0.3076923076923077,0.3076923076923077,0.75,,0.9047619047619048,0.6842105263157895,0.07692307692307693,0.7272727272727273,0.6666666666666666,,0.6475409836065574,0.511305737704918,0.56966875,0.5185090909090908,0.2565789473684211,0.2565789473684211,0.21195652173913043,0.31521739130434784,4.477868852459016,,0.29376854599406527,1.0,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,True
200814,1610612763,Tarence Kinsey,Tarence Kinsey,200814,MEM,12602.0,210,-84,426,426,170,199,48,852,7.0,17.0,,1.0,2.0,7.0,1.0,3.0,9.0,28.0,2.0,2.0,17.0,48.0,8.0,8.0,48.0,508,,4.0,,,6.0,18.0,5.0,6.0,18.0,22.0,12.0,,1.0,1.0,5.0,4.0,5.0,9.0,4.0,1.0,2.0,1.0,1.0,23.0,1.0,4.0,3.0,10.0,,13.0,5.0,18,1.0,11.0,5.0,6.0,5.0,3.0,3.0,6.0,,2.0,,3.0,11.0,,6.0,9.0,21.0,2.0,,14.0,2.0,2.0,13.0,1.0,6.0,1.0,,,,,,,,,,18.0,170,4.0,1.0,0.6470588235294118,0.6470588235294118,0.3541666666666667,,0.3333333333333333,0.35714285714285715,,0.2608695652173913,0.3870967741935484,,0.32142857142857145,0.14285714285714285,0.10416666666666667,0.29411764705882354,,,15.336134453781513,0.45454545454545453,,0.07692307692307693,0.03389830508474576,0.07692307692307693,0.01694915254237288,0.07692307692307693,0.02824858757062147,0.02040816326530612,0.08695652173913043,0.021739130434782608,0.019230769230769232,,0.06896551724137931,0.07142857142857142,0.09090909090909091,,0.3,0.03333333333333333,,0.30357142857142855,0.4117647058823529,0.5833333333333334,0.8571428571428571,0.05357142857142857,0.3333333333333333,0.3333333333333333,,0.5,0.32142857142857145,0.32142857142857145,0.5555555555555556,0.03571428571428571,0.2,,,0.30434782608695654,0.2857142857142857,0.08695652173913043,0.44642857142857145,0.4713218181818182,0.40883749999999996,0.4586659090909091,0.09836065573770492,0.11320754716981132,,0.375,11.731250000000001,29.212500000000002,0.39906103286384975,,,2.0,6.0,,1.0,,3.0,,,,,2.0,,1.0,,3.0,3.0,,,,,,,,0.5,0.25,,,0.2857142857142857,,,0.10714285714285714,0.3333333333333333,0.3333333333333333,0.5,,,,0.2,,,,,,0.13043478260869565,,,,,,,,True
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,38658.0,644,-87,1263,1255,329,365,124,2518,59.0,107.0,12.0,23.0,22.0,37.0,29.0,68.0,16.0,42.0,3.0,3.0,104.0,217.0,3.0,62.0,270.0,1386,16.0,34.0,9.0,41.0,31.0,57.0,3.0,23.0,85.0,120.0,88.0,22.0,1.0,2.0,18.0,7.0,4.0,11.0,3.0,1.0,3.0,2.0,2.0,26.0,5.0,37.0,25.0,54.0,15.0,94.0,44.0,138,8.0,20.0,11.0,9.0,22.0,,10.0,23.0,3.0,12.0,1.0,7.0,45.0,4.0,7.0,46.0,90.0,5.0,11.0,74.0,8.0,3.0,88.0,10.0,42.0,7.0,34.0,26.0,,8.0,36.0,25.0,8.0,1.0,3.0,85.0,329,9.0,6.0,0.5769230769230769,0.6451612903225806,0.4792626728110599,0.47058823529411764,0.543859649122807,0.4727272727272727,0.47058823529411764,0.5166666666666667,0.5212355212355212,0.5125,0.5821917808219178,0.013636363636363636,0.08294930875576037,0.102803738317757,0.10294117647058823,,21.760916249105225,0.4888888888888889,0.3409090909090909,0.1409921671018277,0.09135802469135802,0.14367816091954022,0.03731343283582089,0.14183123877917414,0.07792207792207792,0.1079136690647482,0.07563025210084033,0.08843537414965986,0.0423728813559322,,0.096,0.16129032258064516,0.16363636363636364,0.1557377049180328,0.11538461538461539,0.08333333333333333,0.6944444444444444,0.4863636363636364,0.5514018691588785,0.6145833333333334,0.6101694915254238,0.3090909090909091,0.4264705882352941,0.47540983606557374,0.4827586206896552,0.19090909090909092,0.38095238095238093,0.38095238095238093,0.625,0.013636363636363636,0.6764705882352942,0.5217391304347826,0.08333333333333333,0.6166666666666667,0.5945945945945946,0.05,0.5,0.4831655963302751,0.5253258064516129,0.5103655172413792,0.16666666666666666,0.1686746987951807,0.15185185185185185,0.3148148148148148,5.868202764976957,34.8,0.2604908946951702,2.0,0.0425531914893617,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,True
2073,1610612763,Brian Cardinal,Brian Cardinal,2073,MEM,12200.0,203,-17,391,385,136,149,40,776,4.0,6.0,,1.0,3.0,4.0,1.0,3.0,6.0,10.0,29.0,15.0,11.0,19.0,35.0,19.0,80.0,424,,2.0,2.0,5.0,5.0,7.0,15.0,13.0,35.0,14.0,8.0,,,29.0,2.0,18.0,4.0,22.0,2.0,2.0,13.0,1.0,4.0,48.0,2.0,4.0,7.0,21.0,6.0,34.0,6.0,40,,14.0,8.0,6.0,13.0,2.0,12.0,3.0,,1.0,,,16.0,1.0,5.0,16.0,26.0,,,25.0,3.0,7.0,19.0,,6.0,2.0,1.0,1.0,,,1.0,1.0,,,2.0,35.0,136,5.0,3.0,0.6363636363636364,0.6363636363636364,0.5789473684210527,,0.7142857142857143,0.5648148148148148,0.25,0.5,0.6349206349206349,0.35714285714285715,0.625,0.6481481481481481,0.10526315789473684,0.16666666666666666,0.3333333333333333,,18.287037037037035,0.8125,0.3157894736842105,0.18584070796460178,0.03361344537815126,0.1590909090909091,0.03278688524590164,0.17834394904458598,0.03333333333333333,,0.03333333333333333,0.06521739130434782,0.0392156862745098,,0.12,0.25,0.18333333333333332,0.16129032258064516,0.15384615384615385,,1.0,0.1111111111111111,0.6666666666666666,0.8,0.5,0.05555555555555555,0.3333333333333333,0.5,,0.18518518518518517,0.6,0.6,0.8333333333333334,0.5370370370370371,0.16666666666666666,,,0.18181818181818182,0.75,0.6818181818181818,0.7592592592592593,0.4959870370370371,0.42817,0.4912363636363635,0.11475409836065574,0.24,0.0625,0.4375,11.015789473684212,25.025714285714287,0.34782608695652173,,,1.0,6.0,,1.0,,,12.0,1.0,3.0,4.0,13.0,1.0,4.0,4.0,39.0,,12.0,,,,1.0,,,1.0,0.37142857142857144,0.25,0.26666666666666666,0.37142857142857144,,,0.1111111111111111,0.16666666666666666,0.16666666666666666,1.0,0.41379310344827586,0.41379310344827586,1.0,0.16666666666666666,,,0.5,0.3333333333333333,1.0,,,0.26666666666666666,0.41379310344827586,0.027777777777777776,,,,True
