EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGM,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsPutbacks,HeaveMakes,HeaveAttempts,Fg3aBlocked,OffTwoPtRebounds,FTOffRebounds,SelfOReb,LostBallSteals,Travels,SecondChanceTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,BlockedLongMidRange,OffensiveGoaltends,ShortMidRangeAssists,Loose Ball Fouls,Offensive Fouls Drawn,ShortMidRangePctBlocked,DefensiveGoaltends,SecondChanceFtPoints,BlockedShortMidRange,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,3SecondViolations,Defensive 3 Seconds Violations,PenaltyCorner3FGM,LongMidRangePctBlocked,PenaltyCorner3Accuracy,Technical Free Throw Trips,on,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Corner3PctBlocked,BlockedCorner3
101204,1610612739,Dwayne Jones,Dwayne Jones,101204,CLE,208.0,3,9,9,1,9,18,1.0,1.0,9,1.0,1.0,1,1.0,2,1.0,3,1.0,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,20.0,1.0,1.0,0.5,0.5,0.5,0.25,1.0,1.0,1.0,1.0,0.8037,0.8,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
133,1610612739,David Wesley,David Wesley,133,CLE,1906.0,32,62,63,25,32,125,1.0,3.0,82,,,3,,5,,5,1.0,1.0,1.0,1.0,3.0,4,25,1.0,,,13.235294117647058,1.0,,0.15789473684210525,,0.16666666666666666,,,0.25,0.2,0.6,0.53522,14.466666666666667,0.4032258064516129,-16.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,8.0,2.0,1.0,2.0,3.0,19.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5625,0.3333333333333333,0.4,0.18181818181818182,0.125,0.16666666666666666,0.2,0.4,0.5,0.5,0.2,0.2,1.0,1.0,1.0,1.0,1.0,0.5943,0.2857142857142857,0.4,0.2222222222222222,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,2493.0,42,83,81,27,42,164,1.0,5.0,111,,,2,,2,,2,1.0,,4.0,1.0,3.0,2,27,1.0,,,19.587628865979383,0.25,,0.07407407407407407,,0.05714285714285714,,,0.07692307692307693,0.06666666666666667,0.7333333333333333,0.5288733333333334,15.9,0.3253012048192771,-17.0,12.0,2.0,4.0,3.0,1.0,4.0,7.0,3.0,6.0,10.0,,24.0,1.0,,,4.0,15.0,7.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,12.0,,1.0,1.0,,1.0,1.0,,,,0.8333333333333334,0.6,0.6,0.6,0.8,0.8,,0.6666666666666666,,,,,0.26666666666666666,0.5,0.5,0.2,0.4666666666666667,0.5714285714285714,0.5714285714285714,0.75,1.0,0.5714285714285714,0.6159,0.06666666666666667,0.2,,24.64,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8333333333333334,0.8333333333333334,0.2,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.557925,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
200769,1610612739,Shannon Brown,Shannon Brown,200769,CLE,12087.0,201,372,378,64,90,750,23.0,49.0,430,4.0,1.0,10,2.0,15,6.0,21,8.0,5.0,14.0,14.0,24.0,9,64,1.0,0.08163265306122448,0.17391304347826086,21.75925925925926,0.5714285714285714,0.1111111111111111,0.07692307692307693,0.02,0.07692307692307693,0.026737967914438502,0.043478260869565216,0.10416666666666667,0.3108108108108108,0.6486486486486487,0.5131212328767122,9.914285714285716,0.17204301075268819,-60.0,51.0,5.0,19.0,15.0,1.0,2.0,10.0,21.0,7.0,25.0,10.0,73.0,4.0,2.0,16.0,16.0,21.0,8.0,1.0,6.0,4.0,10.0,4.0,,4.0,2.0,24.0,3.0,7.0,2.0,2.0,14.0,8.0,,16.0,,1.0,0.28,0.25,0.42857142857142855,0.42567567567567566,0.45625,0.5714285714285714,0.33783783783783783,0.07692307692307693,0.07407407407407407,0.07407407407407407,0.08333333333333333,0.25675675675675674,0.2631578947368421,0.2631578947368421,0.20270270270270271,0.13513513513513514,0.2,0.2222222222222222,1.0,0.07692307692307693,0.125,0.5105083333333335,0.1,0.14545454545454545,0.2191780821917808,25.384,13.0,5.0,,,2.0,5.0,1.0,1.0,7.0,26.0,,1.0,3.0,6.0,3.0,2.0,0.6190476190476191,0.65,1.0,0.4,0.5833333333333334,0.5833333333333334,0.03571428571428571,0.5652173913043478,0.6842105263157895,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,0.56093,0.0958904109589041,1.0,3.0,3.0,6.0,3.0,7.0,1.0,1.0,2.0,3.0,4.0,9.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,0.5,0.4444444444444444,0.5384615384615384,0.04,0.1,0.1,0.029197080291970802,0.057692307692307696,0.015625,0.024390243902439025,1.0,0.6153846153846154,0.0945945945945946,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,0.46153846153846156,0.5,0.23076923076923078,0.6666666666666666,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
923,1610612739,Donyell Marshall,Donyell Marshall,923,CLE,5198.0,87,165,169,24,53,334,7.0,14.0,202,1.0,,9,4.0,14,2.0,16,2.0,,4.0,8.0,12.0,2,24,,0.07142857142857142,0.14285714285714285,21.54696132596685,0.5,0.3333333333333333,0.15,,0.1388888888888889,0.014285714285714285,,0.08333333333333333,0.21212121212121213,0.7878787878787878,0.5527575757575758,5.657142857142858,0.14545454545454545,-42.0,15.0,1.0,3.0,11.0,,4.0,8.0,6.0,10.0,19.0,4.0,46.0,,2.0,4.0,4.0,27.0,8.0,4.0,3.0,,3.0,,,1.0,2.0,6.0,1.0,1.0,1.0,,4.0,1.0,1.0,4.0,1.0,0.9,0.5263157894736842,0.5263157894736842,0.42857142857142855,0.6363636363636364,0.6571428571428571,0.5,0.5757575757575758,0.08333333333333333,0.21739130434782608,,0.25,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24242424242424243,0.5,0.5,1.0,,0.5,0.6527999999999999,0.029411764705882353,0.06666666666666667,0.08695652173913043,24.142105263157895,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,3.0,,2.0,2.0,1.0,,0.6666666666666666,0.8,1.0,1.0,1.25,1.25,0.15384615384615385,0.5714285714285714,0.6666666666666666,1.0,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.5,1.0,1.0,0.5069,0.10869565217391304,1.0,1.0,,2.0,1.0,4.0,,,,,1.0,3.0,,2.0,,,,1.0,1.0,,,,,2.0,1.0,2.0,2.0,,0.3333333333333333,0.3333333333333333,,,0.25,0.021739130434782608,0.05263157894736842,,,1.0,0.5,0.12121212121212122,0.25,0.25,1.0,0.5,1.0,,,,0.6666666666666666,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,
727,1610612739,Eric Snow,Eric Snow,727,CLE,7419.0,124,227,234,13,34,461,11.0,25.0,268,4.0,1.0,8,1.0,11,2.0,13,3.0,,5.0,7.0,13.0,5,13,2.0,0.16,0.2727272727272727,11.49425287356322,0.6,0.09090909090909091,0.10810810810810811,0.04,0.10101010101010101,0.018018018018018018,0.1111111111111111,0.041666666666666664,0.44,0.44,0.5054560000000001,8.164,0.05726872246696035,-37.0,31.0,4.0,9.0,,,,,9.0,,,,18.0,,,4.0,2.0,,,,13.0,8.0,21.0,4.0,4.0,5.0,4.0,50.0,2.0,4.0,1.0,,,,,4.0,,,,,0.36,0.36,0.36,1.0,,0.08,0.16666666666666666,0.11764705882352941,,0.36,0.4444444444444444,0.4444444444444444,,,,,,,,0.73655,,,0.2222222222222222,,5.0,,,,,2.0,,,,16.0,,1.0,3.0,2.0,1.0,,0.8888888888888888,0.8888888888888888,,,,,0.1,0.45454545454545453,0.625,1.0,,,,,,,0.5638,,,1.0,2.0,2.0,,5.0,,,,,2.0,2.0,,,,,,1.0,,,3.0,,,,,,,,1.0,1.0,,,,0.011627906976744186,0.03125,,,,0.8,0.2,,,,0.5,,,,,1.0,1.0,,,,,,4.0,1.0,1.0,0.2,,,,,,,,,,,,,True,,,,,,,,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,2354.0,39,71,71,13,20,142,4.0,13.0,66,1.0,,4,,4,1.0,5,3.0,1.0,5.0,,,3,13,,0.07692307692307693,,27.380952380952383,0.6,,0.125,,0.10256410256410256,0.024390243902439025,,0.16666666666666666,0.23529411764705882,0.47058823529411764,0.4794852941176471,12.27692307692308,0.18309859154929578,-7.0,8.0,3.0,7.0,,,4.0,4.0,5.0,4.0,4.0,2.0,24.0,2.0,,6.0,6.0,9.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,,,8.0,,1.0,,,2.0,2.0,,6.0,,0.75,1.0,1.0,0.38461538461538464,0.6470588235294118,0.6666666666666666,1.5,0.23529411764705882,,0.14285714285714285,,,0.4117647058823529,0.42857142857142855,0.42857142857142855,,0.23529411764705882,1.0,1.0,0.75,,1.0,0.5061,0.1111111111111111,0.14285714285714285,0.25,25.049999999999997,1.0,,,,1.0,3.0,,,2.0,4.0,3.0,1.0,2.0,2.0,,1.0,0.4,0.4,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25,0.25,0.6666666666666666,,,,,,,0.6162,0.08333333333333333,,2.0,,,1.0,2.0,,,2.0,2.0,,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.5,,,,0.03125,0.06666666666666667,,0.14285714285714285,,,0.11764705882352941,0.5,1.0,,0.6666666666666666,,,,,,,1.0,1.0,,,,1.0,,,0.5,,,,,,,,,,,,,True,,,,,,,,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,3241.0,54,99,101,47,32,200,7.0,14.0,103,2.0,,3,2.0,6,,6,1.0,1.0,5.0,4.0,7.0,5,47,,0.14285714285714285,0.2857142857142857,24.107142857142854,0.2,0.3333333333333333,0.07317073170731707,,0.07272727272727272,,,0.11764705882352941,0.35,0.65,0.5176050000000001,9.357142857142858,0.47474747474747475,-7.0,11.0,1.0,7.0,3.0,1.0,,3.0,4.0,,6.0,3.0,11.0,1.0,3.0,9.0,4.0,,3.0,,3.0,1.0,4.0,1.0,,1.0,1.0,9.0,1.0,,,1.0,6.0,3.0,1.0,9.0,1.0,,,,0.2857142857142857,0.2,0.25,0.45,0.3,0.07142857142857142,,0.1111111111111111,,0.35,0.14285714285714285,0.14285714285714285,0.15,0.15,,,,0.1111111111111111,,0.5398333333333334,0.14285714285714285,0.2,0.8181818181818182,24.86666666666667,3.0,,,,1.0,1.0,,,2.0,4.0,,,,4.0,3.0,2.0,0.5,0.5,,1.0,1.0,1.0,0.14285714285714285,0.42857142857142855,0.6,1.0,,,,,,,0.7934,0.18181818181818182,1.0,1.0,2.0,5.0,,,,,,,3.0,8.0,,,,,,,,,,1.0,,,,,,,0.375,0.3333333333333333,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,,,,0.5555555555555556,0.4,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,True,,,,,,,,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,6784.0,113,202,208,39,35,410,20.0,31.0,220,2.0,3.0,15,3.0,21,13.0,34,2.0,1.0,4.0,10.0,15.0,17,39,,0.06451612903225806,0.1,17.15481171548117,0.5,0.42857142857142855,0.20270270270270271,0.1111111111111111,0.18556701030927836,0.12149532710280374,0.18181818181818182,0.16666666666666666,0.6451612903225806,0.6451612903225806,0.5388709677419354,5.270967741935484,0.19306930693069307,-10.0,30.0,4.0,7.0,,,,,16.0,,,12.0,44.0,,2.0,12.0,10.0,,,,4.0,1.0,5.0,1.0,,3.0,1.0,11.0,3.0,4.0,2.0,,13.0,5.0,2.0,12.0,1.0,,,,0.5161290322580645,0.5161290322580645,0.5945945945945946,0.75,,0.13043478260869565,0.16216216216216217,0.11764705882352941,0.16666666666666666,0.22580645161290322,0.5714285714285714,0.5714285714285714,,,,,,,,0.6030285714285714,0.14285714285714285,0.14285714285714285,0.2727272727272727,,11.0,,,,5.0,9.0,,,16.0,22.0,,,1.0,2.0,,1.0,0.6875,0.8461538461538461,,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.38461538461538464,0.55,0.6111111111111112,1.0,,,,,,,0.6186999999999999,0.36363636363636365,5.0,8.0,3.0,4.0,1.0,4.0,,,,,5.0,7.0,,6.0,,,,10.0,,2.0,2.0,1.0,,6.0,4.0,6.0,3.0,,0.7142857142857143,0.7142857142857143,,,,0.125,0.14705882352941177,0.12903225806451613,0.15384615384615385,0.5,0.5454545454545454,0.12903225806451613,0.25,0.25,1.0,0.8888888888888888,0.625,,,,0.5714285714285714,0.75,,,2.0,1.0,,,2.0,5.0,,,6.0,1.0,0.06666666666666667,0.0625,0.4,,,,,,,True,,,,,,,,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,5279.0,88,156,156,9,8,312,12.0,28.0,179,4.0,2.0,6,1.0,8,12.0,20,1.0,1.0,6.0,4.0,9.0,7,9,,0.14285714285714285,0.3333333333333333,20.105820105820108,0.16666666666666666,0.2,0.11320754716981132,0.13333333333333333,0.1,0.13793103448275862,0.2857142857142857,0.1,0.42857142857142855,0.42857142857142855,0.4701392857142857,8.225,0.057692307692307696,-21.0,27.0,3.0,9.0,,,,,13.0,,,6.0,32.0,,2.0,6.0,12.0,,,,2.0,1.0,3.0,,1.0,2.0,,7.0,1.0,6.0,5.0,,8.0,3.0,1.0,6.0,1.0,,,,0.4642857142857143,0.4642857142857143,0.5,1.0,,0.058823529411764705,0.16666666666666666,0.07142857142857142,,0.32142857142857145,0.3333333333333333,0.3333333333333333,,,,,,,,0.4239,0.0967741935483871,0.0967741935483871,0.1875,,5.0,,,,5.0,10.0,,,12.0,14.0,,,,5.0,,,0.5384615384615384,0.7777777777777778,,0.5,0.5,0.5454545454545454,0.06666666666666667,0.4166666666666667,0.625,0.6666666666666666,,,,,,,0.540888888888889,0.375,4.0,8.0,,,5.0,7.0,,,,,2.0,2.0,,8.0,,,,10.0,,1.0,1.0,2.0,1.0,5.0,4.0,5.0,3.0,,1.0,1.0,,,,0.1388888888888889,0.13043478260869565,0.10810810810810811,0.09090909090909091,0.6,0.2,0.25,0.7142857142857143,0.7142857142857143,0.8,0.8,0.5,,,,,,,,1.0,,,,1.0,,,,2.0,1.0,0.25,,,3.0,1.0,,,,,True,,,,,,,,,
