EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,AtRimAssists,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,ShortMidRangePctBlocked,Corner3FGA,PenaltyCorner3FGA,ShortMidRangeAssists,Offensive Fouls Drawn,Technical Free Throw Trips,OffCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,FTOffRebounds,SecondChanceTurnovers,Loose Ball Fouls Drawn,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,on,StepOutOfBoundsTurnovers,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveAttempts,OffensiveGoaltends,3SecondViolations,Clear Path Fouls,HeaveMakes
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,4247.0,71,43,141,141,52.0,57,23.0,282,13.0,20.0,8.0,11.0,3.0,8.0,2.0,2.0,3.0,8.0,2.0,4.0,1.0,1.0,1.0,18.0,30.0,2.0,4.0,2.0,44.0,121,8.0,11.0,1.0,1.0,19.0,6.0,12.0,1.0,1.0,13.0,16.0,20.0,6.0,16.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,11.0,4.0,8.0,2.0,14.0,13.0,27.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,6.0,2.0,4.0,7.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,6.0,4.0,2.0,6.0,3.0,13.0,52.0,1.0,1.0,0.4444444444444444,0.8,1.0,0.5,1.0,0.5,0.6,0.7272727272727273,0.5,0.6176470588235294,0.7916666666666666,0.46153846153846156,0.6111111111111112,0.7916666666666666,0.43333333333333335,0.11764705882352941,0.06666666666666667,0.05,0.125,24.85207100591716,0.3333333333333333,1.0,0.16326530612244897,0.21153846153846154,0.2,0.10526315789473684,0.17391304347826086,0.18309859154929578,0.17647058823529413,0.14285714285714285,0.25,0.14285714285714285,0.17647058823529413,0.09090909090909091,0.19047619047619047,0.16666666666666666,0.25,0.18181818181818182,0.5,0.5882352941176471,0.65,0.6842105263157895,0.38461538461538464,0.058823529411764705,1.0,1.0,0.5,0.23529411764705882,0.375,0.42857142857142855,0.6666666666666666,0.11764705882352941,0.5,0.5,1.0,0.9166666666666666,0.7272727272727273,0.08333333333333333,1.0,1.0,0.6153846153846154,0.375,0.07692307692307693,0.7058823529411765,0.5,0.508180303030303,0.564605,0.47405833333333325,0.05714285714285714,0.06451612903225806,0.4318181818181818,0.29545454545454547,6.033333333333333,29.475,0.36879432624113473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,3187.0,53,-3,106,107,52.0,55,9.0,213,7.0,9.0,,,2.0,2.0,,1.0,4.0,11.0,,2.0,,,2.0,11.0,21.0,,2.0,,22.0,91,,,,,,5.0,9.0,2.0,,10.0,8.0,14.0,,,2.0,,1.0,3.0,1.0,4.0,,2.0,9.0,,,2.0,2.0,,4.0,,4.0,,3.0,1.0,2.0,1.0,,3.0,,1.0,1.0,4.0,,,4.0,,1.0,1.0,,,,,2.0,,1.0,2.0,1.0,10.0,52.0,1.0,,0.36363636363636365,0.36363636363636365,,,,,0.5238095238095238,,0.5555555555555556,0.4782608695652174,,0.45454545454545453,0.4782608695652174,,0.45454545454545453,0.08695652173913043,0.047619047619047616,,,23.47826086956522,0.25,,0.06451612903225806,,0.16666666666666666,,0.09302325581395349,,,,,,,0.1,0.06666666666666667,0.1,0.5,,0.5,0.391304347826087,0.7777777777777778,0.7777777777777778,0.42857142857142855,0.043478260869565216,,,,0.4782608695652174,0.36363636363636365,0.36363636363636365,0.25,0.08695652173913043,,,,,,,,,0.18181818181818182,1.0,0.18181818181818182,0.4782608695652174,,0.51145,,0.4732681818181818,,,,0.45454545454545453,10.442857142857145,25.1,0.49056603773584906,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,12116.0,202,70,393,396,115.0,128,44.0,789,5.0,8.0,,,3.0,4.0,2.0,11.0,7.0,16.0,,3.0,,1.0,2.0,14.0,35.0,,4.0,17.0,45.0,383,,2.0,,1.0,,5.0,8.0,3.0,4.0,14.0,6.0,22.0,,,3.0,,4.0,31.0,14.0,45.0,8.0,17.0,104.0,1.0,1.0,4.0,13.0,,17.0,2.0,19.0,1.0,5.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,2.0,9.0,4.0,3.0,11.0,,,17.0,20.0,,5.0,2.0,1.0,1.0,,1.0,,14.0,115.0,3.0,2.0,0.21428571428571427,0.21428571428571427,,,,,0.4,,0.625,0.358974358974359,,0.45454545454545453,0.44565217391304346,,0.5384615384615384,0.10256410256410256,0.11428571428571428,0.125,,12.415349887133184,0.5555555555555556,,0.09701492537313433,0.008064516129032258,0.08695652173913043,0.020833333333333332,0.09444444444444444,0.011627906976744186,,0.045454545454545456,,,0.06382978723404255,0.07692307692307693,0.14583333333333334,0.0967741935483871,0.06666666666666667,0.047619047619047616,,0.20512820512820512,0.625,0.7142857142857143,0.2,0.28205128205128205,0.18181818181818182,0.25,0.5,0.41025641025641024,0.4375,0.4375,0.14285714285714285,0.07692307692307693,,,,,,0.3333333333333333,,,0.36363636363636365,0.75,0.18181818181818182,0.3076923076923077,,0.465998717948718,0.46662499999999996,0.5615090909090908,0.11363636363636363,0.125,,0.3111111111111111,10.817142857142859,24.549999999999997,0.2926208651399491,6.0,10.0,,,0.2727272727272727,1.0,1.0,4.0,4.0,6.0,0.14285714285714285,0.02564102564102564,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1916,1610612764,Calvin Booth,Calvin Booth,1916,WAS,22775.0,380,42,753,752,253.0,278,93.0,1505,14.0,22.0,3.0,10.0,6.0,9.0,3.0,12.0,13.0,30.0,1.0,2.0,,,2.0,30.0,64.0,1.0,2.0,6.0,69.0,775,5.0,14.0,,,14.0,11.0,20.0,2.0,3.0,28.0,54.0,6.0,3.0,4.0,2.0,1.0,2.0,16.0,2.0,18.0,2.0,3.0,38.0,6.0,20.0,12.0,36.0,6.0,54.0,27.0,81.0,1.0,4.0,4.0,,5.0,1.0,4.0,,4.0,1.0,9.0,3.0,42.0,71.0,6.0,3.0,21.0,10.0,,2.0,3.0,29.0,18.0,9.0,29.0,19.0,28.0,253.0,6.0,3.0,0.9,0.9642857142857143,1.0,0.5,,0.5,0.46875,0.35714285714285715,0.55,0.4772727272727273,0.35714285714285715,0.5681818181818182,0.4859154929577465,0.4117647058823529,0.56,0.030303030303030304,0.03125,0.045454545454545456,,9.334889148191365,0.5555555555555556,0.2608695652173913,0.16,0.08032128514056225,0.125,0.06,0.14953271028037382,0.07449856733524356,0.07462686567164178,0.07317073170731707,0.0851063829787234,0.07407407407407407,0.16455696202531644,0.11864406779661017,0.1839080459770115,0.13043478260869565,0.1111111111111111,0.03225806451612903,0.6551724137931034,0.3333333333333333,0.6363636363636364,0.6666666666666666,0.7857142857142857,0.18181818181818182,0.25,0.2727272727272727,1.0,0.45454545454545453,0.43333333333333335,0.43333333333333335,1.0,0.030303030303030304,0.5,0.5,1.0,0.7142857142857143,0.3,,,,0.4090909090909091,0.6666666666666666,0.09090909090909091,0.36363636363636365,0.5,0.4548045454545455,0.5308916666666667,0.47733636363636367,0.029411764705882353,0.030303030303030304,0.2028985507246377,0.4057971014492754,10.142187500000002,28.35,0.33598937583001326,,12.0,,2.0,0.08333333333333333,,,1.0,10.0,,,,,1.0,4.0,1.0,1.0,1.0,6.0,1.0,2.0,0.5,0.043478260869565216,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2553,1610612764,Jarvis Hayes,Jarvis Hayes,2553,WAS,11376.0,190,40,378,380,125.0,161,45.0,758,8.0,11.0,3.0,4.0,2.0,3.0,1.0,4.0,9.0,31.0,2.0,14.0,,2.0,5.0,18.0,46.0,6.0,23.0,16.0,70.0,371,4.0,7.0,1.0,3.0,13.0,4.0,12.0,10.0,3.0,23.0,32.0,4.0,18.0,,14.0,2.0,1.0,7.0,2.0,9.0,1.0,2.0,20.0,,4.0,7.0,10.0,2.0,19.0,4.0,23.0,1.0,7.0,5.0,2.0,6.0,3.0,7.0,,3.0,3.0,13.0,5.0,5.0,13.0,1.0,2.0,9.0,19.0,,6.0,2.0,,,,,,23.0,125.0,2.0,1.0,0.8888888888888888,0.8888888888888888,1.0,0.2608695652173913,0.3333333333333333,0.2608695652173913,0.391304347826087,0.5714285714285714,0.3333333333333333,0.391304347826087,0.55,0.45454545454545453,0.44871794871794873,0.5909090909090909,0.4791666666666667,0.3333333333333333,0.021739130434782608,0.09090909090909091,,20.97902097902098,0.46153846153846156,0.2,0.09090909090909091,0.03278688524590164,0.13725490196078433,,0.10559006211180125,0.022727272727272728,0.03225806451612903,,0.041666666666666664,,,0.125,0.15789473684210525,0.17073170731707318,,0.022727272727272728,,0.15942028985507245,0.7272727272727273,0.8,0.875,0.057971014492753624,0.25,0.25,1.0,0.4492753623188406,0.2903225806451613,0.2903225806451613,0.8888888888888888,0.2028985507246377,0.14285714285714285,0.14285714285714285,1.0,0.4,0.75,0.2,,,0.13636363636363635,0.6666666666666666,0.22727272727272727,0.4927536231884058,0.14285714285714285,0.4673724637681159,0.4667785714285714,0.46171136363636356,0.09210526315789473,0.11538461538461539,0.18571428571428572,0.32857142857142857,13.926086956521738,24.765217391304354,0.3306878306878307,1.0,3.0,1.0,,,9.0,5.0,2.0,,,,0.13043478260869565,0.22727272727272727,2.0,2.0,4.0,,1.0,1.0,,1.0,0.4,,0.4,4.0,1.0,1.0,2.0,1.0,0.4444444444444444,0.4444444444444444,1.0,0.6666666666666666,0.1,1.0,1.0,0.4,0.041666666666666664,,,,,True,,,,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,15348.0,256,72,515,507,178.0,196,68.0,1022,20.0,33.0,2.0,3.0,9.0,15.0,2.0,4.0,16.0,38.0,21.0,62.0,1.0,2.0,19.0,38.0,75.0,23.0,67.0,64.0,209.0,533,2.0,3.0,1.0,2.0,14.0,15.0,28.0,21.0,29.0,77.0,14.0,62.0,39.0,2.0,62.0,21.0,4.0,34.0,9.0,43.0,7.0,12.0,95.0,,6.0,9.0,16.0,1.0,26.0,6.0,32.0,1.0,12.0,7.0,5.0,14.0,7.0,9.0,1.0,7.0,,23.0,6.0,12.0,27.0,1.0,3.0,55.0,74.0,7.0,26.0,8.0,2.0,2.0,,3.0,1.0,77.0,178.0,6.0,8.0,0.18421052631578946,0.1891891891891892,0.5652173913043478,0.34328358208955223,0.5,0.34328358208955223,0.5066666666666667,0.6666666666666666,0.5357142857142857,0.5105633802816901,0.7,0.4897959183673469,0.5994152046783626,0.7777777777777778,0.6031746031746031,0.47183098591549294,0.05333333333333334,0.09090909090909091,0.02631578947368421,32.88135593220339,0.6086956521739131,0.07692307692307693,0.1032258064516129,0.03773584905660377,0.13636363636363635,,0.11312217194570136,0.026200873362445413,0.06,0.04,0.023809523809523808,,0.12727272727272726,0.02564102564102564,0.13114754098360656,0.1276595744680851,0.15789473684210525,0.013157894736842105,0.3333333333333333,0.2323943661971831,0.6060606060606061,0.6666666666666666,0.15,0.028169014084507043,0.5,0.5,,0.2676056338028169,0.42105263157894735,0.43243243243243246,0.25,0.43661971830985913,0.3387096774193548,0.3387096774193548,0.5714285714285714,0.6,0.6666666666666666,0.4,0.5,1.0,0.30612244897959184,0.6,0.3877551020408163,0.704225352112676,0.3387096774193548,0.5045758865248227,0.6078,0.49557395833333345,0.1901840490797546,0.2765957446808511,0.06698564593301436,0.3684210526315789,10.075999999999995,26.017910447761192,0.34563106796116505,2.0,20.0,5.0,,,5.0,2.0,2.0,3.0,4.0,,0.035211267605633804,0.04081632653061224,5.0,7.0,6.0,,2.0,2.0,,,0.2857142857142857,,0.2631578947368421,2.0,,,1.0,5.0,0.4,0.4,0.5,0.5,,,,0.5,0.07246376811594203,30.0,3.0,1.0,1.0,True,,,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,12719.0,212,-13,425,426,141.0,141,51.0,851,23.0,34.0,3.0,3.0,10.0,14.0,7.0,13.0,19.0,43.0,1.0,4.0,,,3.0,49.0,90.0,3.0,7.0,18.0,125.0,459,6.0,8.0,,,13.0,16.0,28.0,5.0,12.0,47.0,36.0,62.0,6.0,6.0,4.0,1.0,5.0,12.0,2.0,14.0,2.0,5.0,30.0,5.0,4.0,7.0,17.0,1.0,25.0,9.0,34.0,1.0,15.0,10.0,5.0,7.0,5.0,12.0,1.0,2.0,3.0,19.0,1.0,4.0,11.0,,4.0,19.0,25.0,3.0,11.0,3.0,3.0,1.0,2.0,3.0,1.0,47.0,141.0,1.0,3.0,0.3673469387755102,0.391304347826087,0.6666666666666666,0.42857142857142855,,0.42857142857142855,0.5444444444444444,0.75,0.5714285714285714,0.5515463917525774,0.75,0.5303030303030303,0.5787037037037037,0.8125,0.6025641025641025,0.07216494845360824,0.05555555555555555,0.058823529411764705,0.023255813953488372,26.403326403326407,0.3684210526315789,0.07142857142857142,0.13709677419354838,0.028368794326241134,0.1346153846153846,0.09615384615384616,0.13636363636363635,0.046632124352331605,0.02564102564102564,0.04,0.025974025974025976,0.10638297872340426,0.10204081632653061,0.13333333333333333,0.17777777777777778,0.1388888888888889,0.125,0.02564102564102564,0.3333333333333333,0.35051546391752575,0.6764705882352942,0.71875,0.43478260869565216,0.13402061855670103,0.5384615384615384,0.6363636363636364,0.14285714285714285,0.44329896907216493,0.4418604651162791,0.4523809523809524,0.3684210526315789,0.041237113402061855,0.25,0.25,1.0,0.375,1.0,,,,0.42424242424242425,0.7142857142857143,0.09090909090909091,0.422680412371134,0.25,0.48924072164948446,0.38515,0.49829999999999997,0.10476190476190476,0.11224489795918367,0.104,0.376,9.882222222222223,24.914285714285715,0.33176470588235296,,5.0,3.0,,0.15384615384615385,3.0,2.0,2.0,1.0,,,0.030927835051546393,0.06060606060606061,,1.0,1.0,,,,1.0,,0.2,,,2.0,,,1.0,,0.6666666666666666,0.6666666666666666,0.5,,,,,0.5,,3.0,,,,True,,,,,,,,,,
2427,1610612764,Roger Mason Jr.,Roger Mason Jr.,2427,WAS,4650.0,78,-27,157,158,66.0,87,17.0,315,3.0,5.0,,1.0,1.0,2.0,,2.0,,6.0,3.0,14.0,,1.0,7.0,3.0,13.0,7.0,21.0,5.0,32.0,165,,1.0,,1.0,,1.0,6.0,9.0,3.0,17.0,,6.0,18.0,,14.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,9.0,,,1.0,7.0,,8.0,,8.0,,5.0,2.0,3.0,1.0,1.0,1.0,,,,2.0,1.0,3.0,10.0,1.0,1.0,3.0,6.0,,2.0,1.0,1.0,,,1.0,,17.0,66.0,,1.0,,,0.8571428571428571,0.3333333333333333,,0.3333333333333333,0.23076923076923078,,0.16666666666666666,0.39705882352941174,,0.4666666666666667,0.43243243243243246,,0.5,0.6176470588235294,0.07692307692307693,0.2,,22.285714285714285,0.5,,0.1794871794871795,,0.045454545454545456,,0.13114754098360656,,,,,,0.1111111111111111,0.3,0.15,0.05555555555555555,,,,0.14705882352941177,0.6,0.75,,0.058823529411764705,,,,0.17647058823529413,,,,0.4117647058823529,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.5,,0.5,,,0.13333333333333333,0.5,0.4666666666666667,0.7647058823529411,0.21428571428571427,0.5031176470588236,0.376,0.4699633333333333,0.05555555555555555,0.13333333333333333,,0.53125,11.676923076923076,25.214285714285715,0.42038216560509556,,2.0,,1.0,,7.0,2.0,,,,,0.20588235294117646,0.13333333333333333,2.0,,4.0,,,1.0,,1.0,0.4444444444444444,,0.2857142857142857,4.0,,,2.0,,0.5714285714285714,0.5714285714285714,1.0,,,,,1.0,,3.0,,,,True,,,,,,,,,,
2443,1610612764,Darius Songaila,Darius Songaila,2443,WAS,5750.0,96,34,185,182,59.0,80,20.0,367,11.0,15.0,2.0,5.0,2.0,3.0,5.0,6.0,7.0,15.0,,,,,,23.0,36.0,,,7.0,53.0,177,2.0,5.0,,,4.0,6.0,9.0,,,12.0,32.0,14.0,,2.0,,,1.0,6.0,1.0,7.0,,2.0,15.0,4.0,2.0,4.0,9.0,2.0,15.0,6.0,21.0,,2.0,,2.0,4.0,3.0,1.0,1.0,1.0,,5.0,2.0,7.0,13.0,2.0,,7.0,8.0,2.0,5.0,,,,,,,12.0,59.0,3.0,,0.6956521739130435,0.7272727272727273,,,,,0.6388888888888888,0.4,0.6666666666666666,0.6388888888888888,0.4,0.6666666666666666,0.6794871794871795,0.4,0.6666666666666666,,0.027777777777777776,0.06666666666666667,,21.153846153846153,0.8,0.2857142857142857,0.14285714285714285,0.03333333333333333,0.15384615384615385,0.17391304347826086,0.14606741573033707,0.07228915662650602,0.058823529411764705,0.1111111111111111,,0.13333333333333333,0.1,0.23529411764705882,0.11538461538461539,0.15,0.16666666666666666,,,0.4166666666666667,0.7333333333333333,0.7857142857142857,0.5454545454545454,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8,0.4166666666666667,0.4666666666666667,0.4666666666666667,0.8571428571428571,,,,,1.0,0.4,,,,0.3333333333333333,0.6666666666666666,,0.4166666666666667,,0.48391388888888887,0.51345,0.4380444444444444,0.1282051282051282,0.1282051282051282,0.07547169811320754,0.22641509433962265,9.719444444444445,,0.31891891891891894,1.0,4.0,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,True,,,,,,,,,,
2591,1610612764,James Lang,James Lang,2591,WAS,42.0,1,-3,1,2,1.0,2,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
