EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,StepOutOfBoundsTurnovers,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,PtsUnassisted3s,HeaveAttempts,DefensiveGoaltends,Arc3PctBlocked,Technical Free Throw Trips,on,BlockedCorner3,HeaveMakes,OffensiveGoaltends
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,41943.0,699,149.0,1275,1274,196.0,188.0,162.0,2549,63.0,91.0,18.0,29.0,10.0,13.0,14.0,40.0,9.0,25.0,86.0,156.0,19.0,191.0,1269,20.0,31.0,5.0,45.0,13.0,19.0,3.0,29.0,134.0,38.0,24.0,19.0,30.0,5.0,35.0,5.0,22.0,3.0,5.0,75.0,11.0,53.0,4.0,12.0,98.0,10.0,120.0,68.0,188.0,6.0,14.0,10.0,4.0,16.0,1.0,11.0,20.0,1.0,5.0,5.0,36.0,4.0,5.0,59.0,102.0,8.0,9.0,44.0,6.0,17.0,28.0,1.0,14.0,1.0,14.0,10.0,4.0,14.0,8.0,1.0,3.0,29.0,196.0,7.0,0.7790697674418605,0.9054054054054054,0.5512820512820513,0.6451612903225806,0.6842105263157895,0.5512820512820513,0.6451612903225806,0.6842105263157895,0.5617647058823529,0.6617647058823529,0.6904761904761905,0.12179487179487179,0.0989010989010989,0.25,14.021887824897401,0.4444444444444444,0.2777777777777778,0.09523809523809523,0.19367588932806323,0.1162280701754386,0.11214953271028037,0.09649122807017543,0.17944535073409462,0.11228070175438597,0.128,0.16312056737588654,0.07368421052631578,0.07692307692307693,0.12244897959183673,0.1686746987951807,0.2037037037037037,0.20786516853932585,0.11267605633802817,0.1111111111111111,0.11764705882352941,0.5714285714285714,0.5833333333333334,0.6923076923076923,0.7682926829268293,0.7301587301587301,0.2564102564102564,0.35,0.4666666666666667,0.8571428571428571,0.16025641025641027,0.36,0.36,1.0,0.9354838709677419,0.6206896551724138,0.2222222222222222,0.6842105263157895,0.7692307692307693,0.5833333333333334,0.5021269230769231,0.5304064516129032,0.5028421052631579,0.08284023668639054,0.08284023668639054,0.2356020942408377,0.1518324607329843,5.572435897435897,0.15372549019607842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,129656.0,2161,643.0,3985,3967,873.0,711.0,434.0,7952,30.0,52.0,,6.0,9.0,14.0,13.0,33.0,50.0,126.0,93.0,211.0,39.0,474.0,3840,4.0,16.0,3.0,32.0,14.0,35.0,9.0,91.0,152.0,34.0,,8.0,71.0,29.0,100.0,15.0,28.0,11.0,32.0,229.0,3.0,13.0,3.0,33.0,127.0,19.0,179.0,19.0,198.0,2.0,54.0,42.0,12.0,26.0,5.0,18.0,30.0,6.0,8.0,5.0,56.0,5.0,10.0,50.0,156.0,9.0,9.0,92.0,9.0,28.0,64.0,7.0,20.0,9.0,19.0,8.0,6.0,21.0,12.0,,2.0,91.0,873.0,18.0,0.8172043010752689,0.8172043010752689,0.44075829383886256,0.25,0.4,0.5154028436018957,0.453125,0.47126436781609193,0.5290178571428571,0.48484848484848486,0.48404255319148937,0.037914691943127965,0.09615384615384616,0.030303030303030304,11.257538530265803,0.4642857142857143,0.17117117117117117,0.02054794520547945,0.07805777504609711,0.01019607843137255,0.09482758620689655,0.007142857142857143,0.0810126582278481,0.00943952802359882,0.0078125,0.008152173913043478,0.01338432122370937,0.00851063829787234,0.005405405405405406,0.04585537918871252,0.07855626326963906,0.10865874363327674,0.09504132231404959,0.09433962264150944,0.008547008547008548,0.5714285714285714,0.12322274881516587,0.5769230769230769,0.6382978723404256,0.7333333333333333,0.07819905213270142,0.3939393939393939,0.40625,0.5384615384615384,0.2985781990521327,0.3968253968253968,0.4032258064516129,0.94,0.1875,,,0.16091954022988506,0.6428571428571429,0.6232227488151659,0.5198540284360188,0.5152454545454545,0.5450275862068965,0.05694760820045558,0.08928571428571429,0.06751054852320675,0.19198312236286919,12.766350710900474,0.2190715181932246,75.0,179.0,5.0,11.0,16.0,44.0,8.0,32.0,2.0,5.0,2.0,8.0,83.0,211.0,7.0,16.0,18.0,52.0,249.0,32.0,8.0,1.0,14.0,1.0,1.0,1.0,5.0,2.0,2.0,5.0,7.0,1.0,0.3933649289099526,0.4375,0.34615384615384615,0.3933649289099526,0.5,0.004739336492890996,0.015873015873015872,0.00558659217877095,0.42417061611374407,0.41899441340782123,0.42134831460674155,1.0,0.07582938388625593,0.25,0.25,1.0,0.34375,0.45454545454545453,1.0,0.15625,0.4,1.0,0.5057471264367817,0.36363636363636365,0.09195402298850575,0.25,0.25,0.023255813953488372,23.536966824644548,,,,,,True,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,163570.0,2726,748.0,5064,5018,1257.0,1003.0,561.0,10082,330.0,487.0,90.0,125.0,83.0,111.0,212.0,462.0,75.0,173.0,617.0,1122.0,362.0,1599.0,4945,113.0,178.0,44.0,270.0,146.0,233.0,119.0,411.0,570.0,664.0,140.0,92.0,198.0,75.0,273.0,50.0,125.0,19.0,54.0,621.0,56.0,141.0,16.0,94.0,499.0,40.0,633.0,213.0,846.0,27.0,66.0,40.0,26.0,125.0,14.0,56.0,99.0,11.0,69.0,28.0,224.0,15.0,46.0,119.0,202.0,16.0,23.0,470.0,19.0,11.0,568.0,67.0,274.0,42.0,190.0,151.0,35.0,190.0,102.0,21.0,11.0,411.0,1257.0,11.0,0.4619124797406807,0.5210237659963437,0.5499108734402852,0.6348314606741573,0.6266094420600858,0.5468611847922192,0.6312849162011173,0.6134453781512605,0.5789283128167995,0.6490384615384616,0.6246200607902735,0.08199643493761141,0.0944558521560575,0.09956709956709957,28.19747013352073,0.5580357142857143,0.27586206896551724,0.0893854748603352,0.24727452923686818,0.08806995627732667,0.20982142857142858,0.09773123909249563,0.24047039740470397,0.0906163753449862,0.13319672131147542,0.05399568034557235,0.07846153846153846,0.09523809523809523,0.10126582278481013,0.26666666666666666,0.27147766323024053,0.20930232558139536,0.23734177215189872,0.14393939393939395,0.06506024096385542,0.5368421052631579,0.4305923961096375,0.6776180698151951,0.7482993197278912,0.5121212121212121,0.40848806366047746,0.4588744588744589,0.5096153846153846,0.32075471698113206,0.15296198054818744,0.43352601156069365,0.43352601156069365,0.64,0.6983240223463687,0.72,0.16666666666666666,0.46638655462184875,0.7477477477477478,0.4385499557913351,0.4665492028343666,0.5111484076433119,0.46978411016949145,0.20537714712471994,0.20617005267118135,0.16885553470919323,0.2570356472795497,6.463458110516934,0.24822274881516587,1.0,2.0,,,,,,7.0,,1.0,,5.0,1.0,9.0,,1.0,,5.0,,6.0,,1.0,25.0,,,,1.0,,,4.0,36.0,,0.1111111111111111,,,0.125,0.007957559681697613,0.1111111111111111,,,0.0017683465959328027,0.5,0.5,,0.00618921308576481,,,,,,,0.00558659217877095,,,,,0.02100840336134454,,,0.1,29.077777777777776,3.0,1.0,1.0,0.14285714285714285,,True,,,
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,18790.0,313,153.0,574,560,192.0,132.0,59.0,1134,8.0,17.0,1.0,3.0,1.0,5.0,2.0,8.0,22.0,43.0,32.0,68.0,16.0,80.0,522,1.0,3.0,,2.0,9.0,22.0,6.0,24.0,34.0,30.0,2.0,5.0,45.0,14.0,59.0,9.0,21.0,5.0,19.0,132.0,2.0,1.0,,7.0,21.0,1.0,29.0,3.0,32.0,1.0,11.0,6.0,5.0,7.0,1.0,4.0,10.0,1.0,3.0,2.0,17.0,3.0,8.0,10.0,34.0,1.0,4.0,24.0,3.0,3.0,20.0,,6.0,4.0,1.0,1.0,,1.0,1.0,,,24.0,192.0,5.0,0.53125,0.5483870967741935,0.47058823529411764,0.3333333333333333,0.4090909090909091,0.47058823529411764,0.3333333333333333,0.4090909090909091,0.5128205128205128,0.3333333333333333,0.46153846153846156,0.07352941176470588,0.11764705882352941,0.25,14.6875,0.4117647058823529,0.125,,0.08786610878661087,0.006172839506172839,0.12280701754385964,0.029850746268656716,0.0945945945945946,0.013100436681222707,0.020833333333333332,,,0.04878048780487805,,0.042105263157894736,0.06349206349206349,0.16049382716049382,0.13043478260869565,0.09090909090909091,0.03333333333333333,1.0,0.25,0.47058823529411764,0.5333333333333333,0.375,0.11764705882352941,0.25,0.3333333333333333,,0.6323529411764706,0.5116279069767442,0.5238095238095238,0.6363636363636364,1.0,0.3333333333333333,,0.22727272727272727,0.2,0.25,0.4360455882352941,0.35625,0.43305909090909095,0.08108108108108109,0.08108108108108109,0.025,0.3,12.795588235294119,0.3344947735191638,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,3.0,,,,,,,,0.023255813953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,84091.0,1402,466.0,2651,2636,764.0,605.0,289.0,5287,107.0,177.0,17.0,32.0,33.0,49.0,31.0,69.0,28.0,77.0,166.0,323.0,214.0,801.0,2541,24.0,50.0,26.0,110.0,40.0,70.0,81.0,224.0,156.0,176.0,12.0,24.0,119.0,24.0,143.0,10.0,72.0,20.0,27.0,310.0,14.0,27.0,1.0,51.0,125.0,15.0,191.0,42.0,233.0,7.0,70.0,32.0,38.0,57.0,17.0,37.0,39.0,,20.0,6.0,96.0,8.0,34.0,40.0,103.0,4.0,11.0,210.0,14.0,25.0,247.0,27.0,96.0,28.0,18.0,10.0,6.0,19.0,11.0,,,224.0,764.0,14.0,0.46987951807228917,0.4875,0.5139318885448917,0.48,0.5714285714285714,0.5537735849056604,0.5675675675675675,0.55,0.6224165341812401,0.6337209302325582,0.6461988304093568,0.07430340557275542,0.096045197740113,0.08695652173913043,24.345198119543316,0.59375,0.20270270270270271,0.00980392156862745,0.12254901960784313,0.033582089552238806,0.1969111969111969,0.046511627906976744,0.1376075058639562,0.037104072398190045,0.030418250950570342,0.03056768558951965,0.038461538461538464,0.03825136612021858,0.059322033898305086,0.05307262569832402,0.1314878892733564,0.18230563002680966,0.18435754189944134,0.225,0.02766798418972332,0.5789473684210527,0.3339622641509434,0.6045197740112994,0.66875,0.5046728971962616,0.13018867924528302,0.4492753623188406,0.49206349206349204,0.3548387096774194,0.14528301886792452,0.36363636363636365,0.3684210526315789,0.4642857142857143,0.43243243243243246,0.53125,0.35294117647058826,0.3769230769230769,0.673469387755102,0.7245283018867924,0.5284347826086956,0.516933,0.5385717054263566,0.16306156405990016,0.24489795918367346,0.1373283395755306,0.27965043695380776,6.319195046439629,0.2881931346661637,24.0,50.0,2.0,6.0,7.0,15.0,61.0,157.0,10.0,18.0,14.0,45.0,85.0,207.0,12.0,24.0,21.0,60.0,225.0,157.0,61.0,,14.0,1.0,,,2.0,1.0,1.0,2.0,26.0,0.8823529411764706,0.4106280193236715,0.5,0.35,0.4106280193236715,0.3905660377358491,,0.012987012987012988,,0.09433962264150944,0.48,0.48,0.875,0.2962264150943396,0.3885350318471338,0.3885350318471338,0.8852459016393442,0.08108108108108109,0.3333333333333333,1.0,0.24324324324324326,0.5555555555555556,1.0,0.11538461538461539,0.4666666666666667,0.34615384615384615,0.3111111111111111,0.3885350318471338,0.009569377990430622,24.788405797101458,30.0,,,,20.0,True,,,
699,1610612759,Brent Barry,Brent Barry,699,SAS,64078.0,1068,275.0,1997,1970,577.0,390.0,201.0,3967,27.0,41.0,1.0,5.0,4.0,10.0,7.0,17.0,16.0,32.0,50.0,90.0,63.0,388.0,1997,4.0,10.0,4.0,42.0,10.0,22.0,22.0,96.0,76.0,24.0,2.0,7.0,66.0,15.0,81.0,6.0,33.0,13.0,20.0,177.0,3.0,7.0,,19.0,60.0,4.0,83.0,10.0,93.0,4.0,40.0,31.0,9.0,18.0,2.0,14.0,12.0,2.0,4.0,3.0,30.0,1.0,4.0,37.0,65.0,2.0,4.0,39.0,,4.0,75.0,4.0,17.0,9.0,8.0,7.0,1.0,8.0,5.0,,1.0,96.0,577.0,5.0,0.76,0.7755102040816326,0.5555555555555556,0.4,0.45454545454545453,0.6086142322097379,0.7037037037037037,0.578125,0.6314878892733564,0.7068965517241379,0.6216216216216216,0.07777777777777778,0.0975609756097561,0.11764705882352941,14.37584497521406,0.6,0.06060606060606061,,0.07643312101910828,0.012048192771084338,0.12418300653594772,0.01276595744680851,0.08422174840085288,0.012254901960784314,0.02247191011235955,0.005714285714285714,0.008771929824561403,0.02054794520547945,,0.05067567567567568,0.0892018779342723,0.09420289855072464,0.102803738317757,0.17391304347826086,0.031007751937984496,0.625,0.15355805243445692,0.6585365853658537,0.7297297297297297,0.8518518518518519,0.06367041198501873,0.4117647058823529,0.4666666666666667,0.2857142857142857,0.1198501872659176,0.5,0.5161290322580645,0.8125,0.18518518518518517,0.2,1.0,0.15625,0.4,0.8164794007490637,0.5452528089887642,0.5482117647058823,0.5238265625,0.060714285714285714,0.1650485436893204,0.10824742268041238,0.24742268041237114,8.533333333333333,0.28893340010015023,21.0,49.0,3.0,4.0,5.0,12.0,54.0,128.0,7.0,13.0,13.0,30.0,75.0,177.0,10.0,17.0,18.0,42.0,216.0,128.0,54.0,,9.0,,,,,,,,7.0,0.96,0.423728813559322,0.5882352941176471,0.42857142857142855,0.423728813559322,0.6629213483146067,,0.03125,,0.18352059925093633,0.42857142857142855,0.42857142857142855,1.0,0.4794007490636704,0.421875,0.421875,0.9444444444444444,0.14814814814814814,0.75,1.0,0.48148148148148145,0.5384615384615384,1.0,0.1875,0.4166666666666667,0.46875,0.43333333333333335,0.421875,,24.742937853107346,9.0,,,,27.0,True,,,
714,1610612759,Michael Finley,Michael Finley,714,SAS,66897.0,1115,235.0,2075,2037,605.0,503.0,257.0,4112,29.0,38.0,5.0,7.0,5.0,5.0,10.0,27.0,49.0,139.0,88.0,204.0,61.0,426.0,2107,10.0,20.0,7.0,33.0,16.0,40.0,24.0,116.0,136.0,40.0,4.0,5.0,44.0,26.0,70.0,16.0,14.0,16.0,14.0,166.0,7.0,11.0,1.0,17.0,94.0,11.0,122.0,19.0,141.0,6.0,15.0,10.0,5.0,16.0,5.0,8.0,12.0,1.0,8.0,1.0,28.0,3.0,8.0,31.0,51.0,1.0,3.0,36.0,2.0,1.0,66.0,2.0,15.0,9.0,5.0,5.0,,5.0,3.0,,,116.0,605.0,3.0,0.7727272727272727,0.7906976744186046,0.43137254901960786,0.5,0.4,0.48408488063660476,0.38235294117647056,0.4842105263157895,0.5100250626566416,0.4166666666666667,0.5280373831775701,0.024509803921568627,0.10526315789473684,,18.127659574468087,0.5714285714285714,0.1774193548387097,0.01639344262295082,0.11648079306071871,0.016272189349112426,0.08415841584158416,0.027888446215139442,0.11000991080277503,0.019417475728155338,0.023923444976076555,0.010752688172043012,0.014234875444839857,0.02027027027027027,0.038834951456310676,0.09722222222222222,0.11864406779661017,0.13427561837455831,0.07534246575342465,0.10714285714285714,0.0273972602739726,0.6,0.10079575596816977,0.7631578947368421,0.8529411764705882,0.7931034482758621,0.07161803713527852,0.37037037037037035,0.37037037037037035,0.5,0.3687002652519894,0.35251798561151076,0.35507246376811596,0.8163265306122449,0.20588235294117646,0.7142857142857143,0.6,0.05263157894736842,1.0,0.5596816976127321,0.48657114361702103,0.51245,0.4673787234042553,0.038461538461538464,0.06912442396313365,0.07746478873239436,0.27230046948356806,13.840686274509801,0.29156626506024097,16.0,56.0,,3.0,7.0,21.0,47.0,117.0,2.0,11.0,13.0,34.0,63.0,173.0,2.0,14.0,20.0,55.0,186.0,116.0,47.0,,10.0,1.0,,,,,,,7.0,0.9841269841269841,0.36416184971098264,0.14285714285714285,0.36363636363636365,0.36627906976744184,0.4588859416445623,,0.007194244604316547,,0.14854111405835543,0.2857142857142857,0.2857142857142857,1.0,0.3103448275862069,0.4017094017094017,0.4017094017094017,0.9787234042553191,0.08823529411764706,,,0.3235294117647059,0.18181818181818182,1.0,0.22105263157894736,0.3333333333333333,0.35789473684210527,0.38235294117647056,0.4051724137931034,,24.882080924855494,3.0,1.0,,,20.0,True,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,129396.0,2157,545.0,4015,3992,905.0,756.0,439.0,8007,246.0,381.0,18.0,26.0,68.0,102.0,73.0,137.0,144.0,362.0,463.0,880.0,226.0,1194.0,3939,31.0,53.0,12.0,77.0,114.0,211.0,82.0,322.0,306.0,620.0,12.0,61.0,237.0,128.0,365.0,71.0,118.0,32.0,87.0,858.0,12.0,19.0,,42.0,141.0,3.0,186.0,31.0,217.0,9.0,72.0,40.0,32.0,94.0,13.0,54.0,70.0,7.0,40.0,19.0,164.0,15.0,42.0,39.0,116.0,2.0,19.0,230.0,,11.0,287.0,28.0,126.0,31.0,4.0,3.0,,4.0,3.0,1.0,2.0,322.0,905.0,9.0,0.3304535637149028,0.3347921225382932,0.5261363636363636,0.5849056603773585,0.5402843601895735,0.531284302963776,0.6018518518518519,0.547945205479452,0.5735576923076923,0.6209677419354839,0.5962962962962963,0.06931818181818182,0.12073490813648294,0.08759124087591241,26.70807453416149,0.573170731707317,0.024793388429752067,,0.08790523690773068,0.01471727343144849,0.12103746397694524,0.028169014084507043,0.0937980522808816,0.0180547466511357,0.015113350125944584,0.021621621621621623,0.009541984732824428,0.025210084033613446,0.031914893617021274,0.08029197080291971,0.0625,0.11486486486486487,0.11203319502074689,0.14150943396226415,0.024193548387096774,0.75,0.41822173435784854,0.6456692913385826,0.7343283582089553,0.2967479674796748,0.150384193194292,0.5328467153284672,0.584,0.2328767123287671,0.3973655323819978,0.39779005524861877,0.4011142061281337,0.4375,0.48148148148148145,0.6923076923076923,0.1111111111111111,0.4657534246575342,0.6666666666666666,0.4522502744237102,0.5021837541163555,0.4508628571428571,0.510575799086758,0.12487611496531219,0.12883435582822086,0.06448911222780569,0.2696817420435511,9.305454545454545,0.22540473225404734,6.0,15.0,,,1.0,4.0,8.0,16.0,1.0,1.0,3.0,4.0,14.0,31.0,1.0,1.0,4.0,8.0,36.0,16.0,8.0,,57.0,3.0,,,,,,1.0,28.0,0.8571428571428571,0.45161290322580644,1.0,0.5,0.45161290322580644,0.03402854006586169,,0.008287292817679558,,0.01646542261251372,0.4,0.4,0.8333333333333334,0.01756311745334797,0.5,0.5,0.875,,,,0.018518518518518517,1.0,1.0,0.0182648401826484,0.25,0.0182648401826484,0.75,0.5,,24.374193548387094,6.0,,,,1.0,True,,,
2757,1610612759,Beno Udrih,Beno Udrih,2757,SAS,19453.0,324,62.0,598,593,198.0,137.0,69.0,1191,13.0,22.0,,1.0,4.0,8.0,2.0,9.0,12.0,36.0,27.0,67.0,20.0,98.0,610,3.0,9.0,,9.0,11.0,28.0,9.0,43.0,30.0,24.0,,3.0,28.0,15.0,43.0,7.0,11.0,5.0,12.0,101.0,2.0,2.0,,6.0,16.0,,22.0,4.0,26.0,1.0,7.0,5.0,2.0,6.0,1.0,4.0,13.0,5.0,2.0,1.0,19.0,1.0,4.0,14.0,29.0,,3.0,18.0,1.0,1.0,22.0,1.0,6.0,5.0,,,,,,,,43.0,198.0,5.0,0.5555555555555556,0.5555555555555556,0.40298507462686567,0.3333333333333333,0.39285714285714285,0.38235294117647056,0.375,0.4722222222222222,0.4330357142857143,0.375,0.524390243902439,0.04477611940298507,0.045454545454545456,0.2222222222222222,19.350073855243725,0.3157894736842105,,,0.06896551724137931,0.01092896174863388,0.10909090909090909,0.02,0.07665505226480836,0.014134275618374558,0.017857142857142856,,0.015625,0.014285714285714285,0.03333333333333333,0.03571428571428571,0.07352941176470588,0.1,0.07894736842105263,0.17647058823529413,0.016129032258064516,,0.21568627450980393,0.5909090909090909,0.6190476190476191,0.5384615384615384,0.08823529411764706,0.2222222222222222,0.2857142857142857,0.5,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.08333333333333333,,,0.2222222222222222,0.5,0.5588235294117647,0.48712058823529414,0.38788333333333336,0.4452611111111111,0.056074766355140186,0.08333333333333333,0.09183673469387756,0.4387755102040816,11.641791044776122,0.3311036789297659,3.0,12.0,,,1.0,2.0,5.0,23.0,1.0,3.0,3.0,6.0,8.0,35.0,1.0,3.0,4.0,8.0,24.0,23.0,5.0,2.0,8.0,1.0,,,,,,,5.0,1.0,0.22857142857142856,0.3333333333333333,0.5,0.22857142857142856,0.3431372549019608,0.05714285714285714,,0.08333333333333333,0.11764705882352941,0.25,0.2727272727272727,1.0,0.22549019607843138,0.21739130434782608,0.22727272727272727,1.0,,,,0.25,0.3333333333333333,1.0,0.05555555555555555,0.5,0.16666666666666666,0.5,0.21739130434782608,,24.485714285714288,,,,0.043478260869565216,1.0,True,,,
677,1610612759,Eric Williams,Eric Williams,677,SAS,1203.0,20,11.0,39,37,12.0,15.0,7.0,76,,,,,,,1.0,2.0,,,1.0,2.0,,14.0,40,,1.0,,,1.0,1.0,,5.0,2.0,,,,2.0,,2.0,,2.0,,,4.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,5.0,12.0,,1.0,1.0,0.5,,1.0,0.7,,0.8333333333333334,0.7,,0.8333333333333334,,,,23.913043478260867,1.0,,,0.09090909090909091,,,,0.07142857142857142,,,,,,,,,0.3333333333333333,,,,,,,,,0.2,0.5,0.5,1.0,,,,,,,,,,0.8,0.51576,0.4699,0.4946333333333333,,,,0.35714285714285715,10.55,0.3076923076923077,2.0,5.0,,,1.0,2.0,2.0,3.0,,1.0,,,4.0,8.0,,1.0,1.0,2.0,12.0,3.0,2.0,1.0,,,,,,,,,,1.0,0.5,,0.5,0.5,0.8,0.125,,0.2,0.5,0.4,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,,,,0.5,,,0.6666666666666666,0.5,,,0.6666666666666666,,23.9375,,,,,,True,,,
